Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
2,5:46,3,2,TEN 37,17,21,Marcus Mariota pass incomplete short right intended for Dexter McCluster,0.700,-0.910
2,5:40,4,2,TEN 37,17,21,Brett Kern punts 55 yards,-0.910,0.380
2,5:28,1,10,NOR 8,17,21,Mark Ingram right tackle for 3 yards (tackle by DaQuan Jones),-0.380,-0.560
2,4:52,2,7,NOR 11,17,21,Mark Ingram right guard for 1 yard (tackle by DaQuan Jones),-0.560,-0.950
2,4:11,3,6,NOR 12,17,21,Drew Brees pass complete deep right to Ben Watson for 19 yards (tackle by Michael Griffin),-0.950,1.000
2,3:40,1,10,NOR 31,17,21,Mark Ingram right guard for 4 yards (tackle by Wesley Woodyard),1.000,1.000
2,3:04,2,6,NOR 35,17,21,"Drew Brees pass complete short middle to Mark Ingram for 4 yards (tackle by Wesley Woodyard). Penalty on Terron Armstead: Offensive Holding, 10 yards (no play)",1.000,-0.350
2,2:35,2,16,NOR 25,17,21,Drew Brees pass complete short middle to Ben Watson for 10 yards (tackle by Zach Brown),-0.350,0.300
2,2:00,3,6,NOR 35,17,21,Drew Brees pass complete short left to C.J. Spiller for 2 yards (tackle by Brian Orakpo),0.300,-0.910
2,1:54,4,4,NOR 37,17,21,"Thomas Morstead punts 46 yards, out of bounds",-0.910,0.060
2,1:47,1,10,TEN 17,17,21,Marcus Mariota pass complete short left to Dexter McCluster for 7 yards (tackle by Kenny Vaccaro),-0.060,0.480
2,1:29,2,3,TEN 24,17,21,Marcus Mariota pass incomplete deep right intended for Dorial Green-Beckham,0.480,-0.370
2,1:24,3,3,TEN 24,17,21,Marcus Mariota pass complete short right to Delanie Walker for 11 yards (tackle by Stephone Anthony and Kenny Vaccaro),-0.370,1.270
2,1:00,1,10,TEN 35,17,21,Marcus Mariota pass complete deep left to Harry Douglas for 30 yards (tackle by Kyle Wilson),1.270,1.270
2,0:50,1,10,TEN 35,17,21,Timeout #1 by Tennessee Titans,1.270,3.250
2,0:50,1,10,NOR 35,17,21,Marcus Mariota pass complete short left to Dexter McCluster for 21 yards (tackle by Stephone Anthony),3.250,4.650
2,0:21,1,10,NOR 14,17,21,"Dexter McCluster right guard for 1 yard (tackle by David Hawthorne and Kenny Vaccaro). Dexter McCluster fumbles (forced by David Hawthorne), recovered by Obum Gwacham at NOR-13 (tackle by Dexter McCluster)",4.650,0.320
2,0:18,1,10,NOR 13,17,21,Drew Brees kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,17,21,"Ryan Succop kicks off 68 yards, returned by Marcus Murphy for 23 yards (tackle by David Bass)",0.000,0.280
3,14:55,1,10,NOR 20,17,21,Mark Ingram left end for 5 yards (tackle by Da'Norris Searcy),0.280,0.410
3,14:24,2,5,NOR 25,17,21,Mark Ingram right guard for 4 yards (tackle by Al Woods),0.410,0.230
3,13:50,3,1,NOR 29,17,21,Mark Ingram right tackle for no gain (tackle by Michael Griffin and DaQuan Jones),0.230,-1.440
3,13:08,4,1,NOR 29,17,21,"Thomas Morstead punts 43 yards, returned by Dexter McCluster for 5 yards (tackle by Obum Gwacham)",-1.440,-1.140
3,12:56,1,10,TEN 33,17,21,Marcus Mariota pass complete short right to Justin Hunter for 4 yards (tackle by Delvin Breaux),1.140,1.130
3,12:39,2,6,TEN 37,17,21,Marcus Mariota pass complete short middle to Dorial Green-Beckham for 14 yards (tackle by Kyle Wilson),1.130,2.320
3,11:57,1,10,NOR 49,17,21,Antonio Andrews left end for 1 yard (tackle by Michael Mauti),2.320,1.920
3,11:18,2,9,NOR 48,17,21,Marcus Mariota pass complete deep left to Dorial Green-Beckham for 20 yards (tackle by Brandon Browner). Penalty on Kenny Vaccaro: Illegal Contact (Declined),1.920,3.710
3,10:55,1,10,NOR 28,17,21,Antonio Andrews right tackle for 9 yards (tackle by Michael Mauti),3.710,4.420
3,10:13,2,1,NOR 19,17,21,Antonio Andrews left end for no gain (tackle by Stephone Anthony),4.420,3.720
3,9:32,3,1,NOR 19,17,21,Marcus Mariota left end for 5 yards (tackle by Jairus Byrd),3.720,4.650
3,8:51,1,10,NOR 14,17,21,Antonio Andrews right tackle for 2 yards (tackle by Stephone Anthony),4.650,4.330
3,8:06,2,8,NOR 12,17,21,Marcus Mariota pass incomplete short middle intended for Dorial Green-Beckham,4.330,3.430
3,8:02,3,8,NOR 12,17,21,Marcus Mariota pass complete short left to Craig Stevens for 1 yard (tackle by Kenny Vaccaro),3.430,2.700
3,7:22,4,7,NOR 11,20,21,Ryan Succop 29 yard field goal good,2.700,3.000
3,7:22,,,TEN 35,20,21,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
3,7:17,1,10,NOR 20,20,21,Drew Brees pass complete short right to Josh Hill for 11 yards (tackle by Wesley Woodyard),0.280,1.000
3,6:48,1,10,NOR 31,20,21,Drew Brees pass complete short right to Willie Snead for 7 yards (tackle by B.W. Webb),1.000,1.410
3,6:11,2,3,NOR 38,20,21,Mark Ingram left tackle for 4 yards (tackle by Wesley Woodyard),1.410,1.730
3,5:42,1,10,NOR 42,20,21,Drew Brees pass complete deep right to Brandon Coleman for 28 yards (tackle by Michael Griffin),1.730,3.580
3,5:26,1,10,TEN 30,20,21,Drew Brees pass complete short right to Ben Watson for 9 yards (tackle by Zach Brown),3.580,4.250
3,4:57,2,1,TEN 21,20,21,Mark Ingram right guard for 2 yards (tackle by Wesley Woodyard),4.250,4.310
3,4:18,1,10,TEN 19,20,21,Drew Brees sacked by Wesley Woodyard for -11 yards,4.310,2.280
3,3:39,2,21,TEN 30,20,21,Drew Brees pass incomplete deep left intended for Mark Ingram is intercepted by B.W. Webb at TEN-0,2.280,-0.280
3,3:30,1,10,TEN 20,20,21,Marcus Mariota pass incomplete short left intended for Dorial Green-Beckham,0.280,-0.270
3,3:24,2,10,TEN 20,20,21,Antonio Andrews right guard for 2 yards (tackle by Tyeler Davison),-0.270,-0.690
3,2:44,3,8,TEN 22,20,21,Marcus Mariota pass incomplete short left intended for Delanie Walker,-0.690,-1.900
3,2:40,4,8,TEN 22,20,21,"Brett Kern punts 48 yards, returned by Marcus Murphy for 8 yards (tackle by Jalston Fowler)",-1.900,-1.470
3,2:29,1,10,NOR 38,20,21,Drew Brees pass complete short left to Mark Ingram for 9 yards (tackle by Zach Brown and Coty Sensabaugh),1.470,2.140
3,1:53,2,1,NOR 47,20,21,C.J. Spiller left end for 5 yards (tackle by Cody Riggs),2.140,2.390
3,1:18,1,10,TEN 48,20,21,Mark Ingram right guard for no gain (tackle by DaQuan Jones),2.390,1.850
3,0:48,2,10,TEN 48,20,21,"Penalty on Terron Armstead: False Start, 5 yards (no play)",1.850,1.170
3,0:40,2,15,NOR 47,20,21,Drew Brees pass complete short middle to Ben Watson for 10 yards (tackle by Zach Brown),1.170,1.820
3,0:06,3,5,TEN 43,20,21,Drew Brees pass complete short left to Marques Colston for 8 yards (tackle by B.W. Webb),1.820,3.250
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 35,20,21,Mark Ingram left guard for 4 yards (tackle by Cody Riggs),3.250,3.240
4,14:29,2,6,TEN 31,20,21,Drew Brees pass incomplete short right intended for Michael Hoomanawanui,3.240,2.540
4,14:24,3,6,TEN 31,20,21,Drew Brees pass complete short right to Brandin Cooks for 6 yards (tackle by B.W. Webb),2.540,3.910
4,13:50,1,10,TEN 25,20,21,Drew Brees pass incomplete short left intended for Willie Snead (defended by Jurrell Casey),3.910,3.360
4,13:47,2,10,TEN 25,20,21,Drew Brees pass complete short middle to Mark Ingram for 14 yards (tackle by Michael Griffin and Da'Norris Searcy),3.360,4.840
4,12:59,1,10,TEN 11,20,21,Mark Ingram right tackle for -1 yards (tackle by Avery Williamson and Angelo Blackson),4.840,3.980
4,12:22,2,11,TEN 12,20,21,"Drew Brees sacked by David Bass for -9 yards. Penalty on David Bass: Roughing the Passer, 6 yards, Penalty on Brian Orakpo: Unsportsmanlike Conduct, 3 yards, Penalty on Brian Orakpo: Unsportsmanlike Conduct, 2 yards (no play)",3.980,6.970
4,12:09,1,1,TEN 1,20,21,Mark Ingram right guard for no gain (tackle by Avery Williamson),6.970,5.910
4,11:38,2,1,TEN 1,20,27,"Drew Brees pass complete short right to Michael Hoomanawanui for 1 yard, touchdown",5.910,7.000
4,11:38,,,TEN 1,20,28,Kai Forbath kicks extra point good,0.000,0.000
4,11:38,,,NOR 35,20,28,"Kai Forbath kicks off 69 yards, returned by Dexter McCluster for 32 yards (tackle by T.J. Graham). Penalty on Michael Mauti: Unnecessary Roughness, 15 yards",0.000,-1.800
4,11:25,1,10,TEN 43,20,28,Marcus Mariota pass complete short middle to Harry Douglas for 14 yards (tackle by Jairus Byrd),1.800,2.720
4,10:50,1,10,NOR 43,20,28,Antonio Andrews right tackle for -1 yards (tackle by John Jenkins and Kevin Williams),2.720,2.040
4,10:06,2,11,NOR 44,20,28,Marcus Mariota pass complete short left to Harry Douglas for 12 yards (tackle by Jairus Byrd),2.040,3.450
4,9:32,1,10,NOR 32,20,28,Antonio Andrews right guard for -1 yards (tackle by Jairus Byrd and John Jenkins),3.450,2.770
4,8:56,2,11,NOR 33,20,28,Marcus Mariota pass complete short middle to Delanie Walker for 5 yards (tackle by Jairus Byrd),2.770,2.740
4,8:12,3,6,NOR 28,20,28,"Marcus Mariota pass complete short right to Harry Douglas for 10 yards (tackle by David Hawthorne). Penalty on Kyle Wilson: Roughing the Passer, 9 yards",2.740,5.140
4,7:51,1,9,NOR 9,20,28,Antonio Andrews left guard for 1 yard (tackle by John Jenkins and Stephone Anthony),5.140,4.570
4,7:11,2,8,NOR 8,26,28,"Marcus Mariota pass complete short right to Justin Hunter for 8 yards, touchdown",4.570,7.000
4,7:11,2,,NOR 8,28,28,"Two Point Attempt: Marcus Mariota pass complete to Delanie Walker, conversion succeeds",4.570,1.000
4,7:11,,,TEN 35,28,28,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
4,7:06,1,10,NOR 20,28,28,Drew Brees pass incomplete short right intended for Michael Hoomanawanui,0.280,-0.270
4,7:01,2,10,NOR 20,28,28,"Drew Brees pass incomplete short right intended for Brandin Cooks. Penalty on Wesley Woodyard: Defensive Holding, 5 yards, Penalty on Wesley Woodyard: Unsportsmanlike Conduct, 15 yards (no play)",-0.270,1.600
4,6:55,1,10,NOR 40,28,28,"Mark Ingram left end for 2 yards (tackle by Da'Norris Searcy). Penalty on Brandin Cooks: Offensive Holding, 10 yards",1.600,1.070
4,6:38,1,18,NOR 32,28,28,Drew Brees pass complete short right to Brandin Cooks for 2 yards (tackle by Wesley Woodyard),1.070,0.240
4,5:55,2,16,NOR 34,28,28,Drew Brees sacked by Angelo Blackson for -9 yards,0.240,-1.620
4,5:14,3,25,NOR 25,28,28,Drew Brees pass complete short middle to Willie Snead for 15 yards (tackle by Avery Williamson),-1.620,-0.720
4,4:36,4,10,NOR 40,28,28,"Thomas Morstead punts 49 yards, fair catch by Dexter McCluster",-0.720,0.370
4,4:28,1,10,TEN 11,28,28,Marcus Mariota pass complete short right to Anthony Fasano for 23 yards (tackle by Kenny Vaccaro). Penalty on Brandon Browner: Defensive Holding (Declined),-0.370,-0.370
4,4:18,1,10,TEN 11,28,28,Timeout #1 by Tennessee Titans,-0.370,1.200
4,4:18,1,10,TEN 34,28,28,Marcus Mariota pass complete short right to Dorial Green-Beckham for 20 yards (tackle by Delvin Breaux),1.200,2.520
4,3:41,1,10,NOR 46,28,28,Antonio Andrews right tackle for 2 yards (tackle by Stephone Anthony and Jo-Lonn Dunbar),2.520,2.520
4,3:30,1,10,NOR 46,28,28,Timeout #1 by New Orleans Saints,2.520,2.250
4,3:30,2,8,NOR 44,28,28,Marcus Mariota pass complete short middle to Delanie Walker for 1 yard (tackle by Michael Mauti),2.250,1.680
4,2:47,3,7,NOR 43,28,28,"Marcus Mariota pass incomplete short right intended for Delanie Walker (defended by Brandon Browner). Penalty on Brandon Browner: Defensive Pass Interference, 11 yards (no play)",1.680,3.450
4,2:42,1,10,NOR 32,28,28,Dexter McCluster right guard for 2 yards (tackle by Kevin Williams and John Jenkins),3.450,3.450
4,2:37,1,10,NOR 32,28,28,Timeout #2 by New Orleans Saints,3.450,3.170
4,2:37,2,8,NOR 30,28,28,"Antonio Andrews right guard for 4 yards (tackle by Michael Mauti). Penalty on Phillip Supernaw: Offensive Holding, 11 yards (no play)",3.170,1.690
4,2:31,2,19,NOR 41,28,28,Dexter McCluster right guard for 3 yards (tackle by Kevin Williams),1.690,1.690
4,2:25,2,19,NOR 41,28,28,Timeout #3 by New Orleans Saints,1.690,1.420
4,2:25,3,16,NOR 38,28,28,Dexter McCluster right guard for 1 yard (tackle by Bobby Richardson),1.420,0.790
4,2:00,4,15,NOR 37,28,28,Ryan Succop 55 yard field goal no good,0.790,-1.930
4,1:55,1,10,NOR 45,28,28,Drew Brees pass incomplete short middle intended for Willie Snead,1.930,1.380
4,1:50,2,10,NOR 45,28,28,Drew Brees pass complete deep left to Willie Snead for 22 yards (tackle by B.W. Webb),1.380,3.380
4,1:44,1,10,TEN 33,28,28,Drew Brees sacked by Brian Orakpo for -8 yards,3.380,1.760
4,1:13,2,18,TEN 41,28,28,Drew Brees pass incomplete deep left intended for Brandin Cooks,1.760,1.090
4,1:09,3,18,TEN 41,28,28,Drew Brees pass complete short right to Marques Colston for 13 yards (tackle by B.W. Webb),1.090,1.630
4,1:01,4,5,TEN 28,28,28,"Kai Forbath 46 yard field goal no good, blocked by Brian Orakpo",1.630,-1.330
4,0:56,1,10,TEN 36,28,28,Marcus Mariota pass incomplete short left intended for Justin Hunter,1.330,0.790
4,0:52,2,10,TEN 36,28,28,Marcus Mariota pass complete short left to Justin Hunter for 5 yards (tackle by Brandon Browner and Michael Mauti),0.790,0.760
4,0:24,3,5,TEN 41,28,28,Marcus Mariota pass incomplete deep right intended for Dorial Green-Beckham (defended by Delvin Breaux),0.760,-0.650
4,0:19,4,5,TEN 41,28,28,"Brett Kern punts 40 yards, fair catch by Marcus Murphy",-0.650,-0.150
4,0:11,1,10,NOR 19,28,28,Drew Brees kneels for -1 yards,0.150,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
,,,,,,,"Titans won the coin toss, Titans to receive the overtime kickoff.",,
OT,15:00,,,NOR 35,28,28,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
OT,15:00,1,10,TEN 20,28,28,Marcus Mariota pass complete short left to Dorial Green-Beckham for 14 yards (tackle by Michael Mauti and Jairus Byrd),0.280,1.200
OT,14:25,1,10,TEN 34,28,28,Antonio Andrews left end for 15 yards (tackle by Kenny Vaccaro),1.200,2.190
OT,13:58,1,10,TEN 49,28,28,Antonio Andrews left guard for 2 yards (tackle by Cameron Jordan),2.190,1.920
OT,13:16,2,8,NOR 49,28,28,Marcus Mariota pass complete short middle to Craig Stevens for 24 yards (tackle by Jairus Byrd),1.920,3.910
OT,12:32,1,10,NOR 25,28,28,Antonio Andrews right guard for 1 yard (tackle by Kenny Vaccaro and Jo-Lonn Dunbar),3.910,3.500
OT,11:54,2,9,NOR 24,28,28,Marcus Mariota pass complete short left to Harry Douglas for 7 yards (tackle by Bobby Richardson),3.500,3.850
OT,11:10,3,2,NOR 17,28,28,Marcus Mariota pass complete short left to Dorial Green-Beckham for 9 yards (tackle by Jairus Byrd and Brandon Browner),3.850,5.370
OT,10:43,1,8,NOR 8,28,28,Marcus Mariota pass complete short middle to Delanie Walker for 3 yards (tackle by Stephone Anthony),5.370,5.150
OT,9:57,2,5,NOR 5,34,28,"Marcus Mariota pass complete short left to Anthony Fasano for 5 yards, touchdown",5.150,7.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
