Quarter,Time,Down,ToGo,Location,ARI,TAM,Detail,EPB,EPA
2,14:49,1,10,ARI 17,3,7,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",4.440,4.110
2,14:49,1,15,ARI 22,3,7,"Penalty on Arron Sears: False Start, 5 yards (no play)",4.110,3.780
2,14:43,1,20,ARI 27,3,7,Earnest Graham up the middle for 12 yards (tackle by Darnell Dockett),3.780,4.150
2,14:19,,,,3,7,Timeout #2 by Tampa Bay Buccaneers,0.000,4.150
2,14:19,2,8,ARI 15,3,7,Jeff Garcia right end for 1 yard (tackle by Alan Branch),4.150,3.500
2,13:50,3,7,ARI 14,3,7,Jeff Garcia pass incomplete short left intended for Joey Galloway,3.500,2.510
2,13:42,4,7,ARI 14,3,10,Matt Bryant 32 yard field goal good,2.510,3.000
2,,,,TAM 30,3,10,"Matt Bryant kicks off 65 yards, returned by Steve Breaston for 20 yards (tackle by Adam Hayward)",0.000,0.610
2,13:30,1,10,ARI 25,3,10,Marcel Shipp up the middle for 1 yard (tackle by Jovan Haye and Derrick Brooks),0.610,0.200
2,12:51,2,9,ARI 26,3,10,Kurt Warner pass incomplete short left intended for Marcel Shipp,0.200,-0.490
2,12:44,3,9,ARI 26,3,10,Kurt Warner pass incomplete short right intended for Anquan Boldin (defended by Gaines Adams). Penalty on Mike Gandy: Offensive Holding (Declined),-0.490,-1.630
2,12:35,4,9,ARI 26,3,10,"Mike Barr punts 38 yards, returned by Phillip Buchanon for -4 yards (tackle by Brandon Johnson). Penalty on Sammy Davis: Offensive Holding, 10 yards",-1.630,-0.410
2,12:19,1,10,TAM 22,3,10,Earnest Graham up the middle for 3 yards (tackle by Monty Beisel),0.410,0.270
2,11:44,2,7,TAM 25,3,10,Jeff Garcia pass complete short left to Alex Smith for 10 yards (tackle by Eric Green),0.270,1.270
2,11:02,1,10,TAM 35,3,10,Jeff Garcia pass complete short left to Ike Hilliard for 4 yards (tackle by Calvin Pace),1.270,1.260
2,10:14,2,6,TAM 39,3,10,Earnest Graham right end for 1 yard (tackle by Monty Beisel and Calvin Pace),1.260,0.700
2,9:33,3,5,TAM 40,3,10,Jeff Garcia pass incomplete deep middle intended for Joey Galloway,0.700,-0.720
2,9:21,4,5,TAM 40,3,10,"Josh Bidwell punts 43 yards, returned by Steve Breaston for 7 yards (tackle by Kalvin Pearson)",-0.720,-0.540
2,9:07,1,10,ARI 24,3,10,Edgerrin James up the middle for -1 yards (tackle by Ryan Sims),0.540,-0.140
2,8:34,2,11,ARI 23,3,10,Kurt Warner pass incomplete deep middle intended for Anquan Boldin (defended by Tanard Jackson),-0.140,-0.820
2,8:24,3,11,ARI 23,3,10,Kurt Warner pass incomplete short left intended for Edgerrin James,-0.820,-1.830
2,8:17,4,11,ARI 23,3,10,"Mike Barr punts 45 yards, returned by Phillip Buchanon for 5 yards (tackle by Calvin Pace)",-1.830,-1.400
2,8:06,1,10,TAM 37,3,10,Jeff Garcia pass complete short right to Alex Smith for 3 yards (tackle by Roderick Hood),1.400,1.260
2,7:28,2,7,TAM 40,3,10,Earnest Graham up the middle for 4 yards (tackle by Bertrand Berry),1.260,1.090
2,6:47,3,3,TAM 44,3,10,Jeff Garcia pass incomplete deep left intended for Joey Galloway,1.090,-0.460
2,6:40,4,3,TAM 44,3,10,"Josh Bidwell punts 56 yards, touchback",-0.460,-0.280
2,6:29,1,10,ARI 20,3,10,Edgerrin James up the middle for 2 yards (tackle by Stylez G. White and Kevin Carter),0.280,0.000
2,5:49,2,8,ARI 22,3,10,Edgerrin James up the middle for 1 yard (tackle by Kevin Carter and Ryan Sims),0.000,-0.560
2,5:49,3,7,ARI 23,3,10,"Penalty on Mike Gandy: False Start, 5 yards (no play)",-0.560,-1.330
2,4:43,3,12,ARI 18,3,10,Kurt Warner pass complete short left to Anquan Boldin for 8 yards (tackle by Ronde Barber),-1.330,-1.630
2,4:01,4,4,ARI 26,3,10,"Mike Barr punts 46 yards, returned by Ike Hilliard for 8 yards (tackle by Aaron Francisco)",-1.630,-1.330
2,3:47,1,10,TAM 36,3,10,Jeff Garcia sacked by Gerald Hayes for -5 yards,1.330,0.120
2,3:19,2,15,TAM 31,3,10,Earnest Graham up the middle for 4 yards (tackle by Monty Beisel),0.120,-0.030
2,2:33,3,11,TAM 35,3,10,Jeff Garcia sacked by Darnell Dockett for 0 yards,-0.030,-1.040
2,2:00,4,11,TAM 35,3,10,"Penalty on Maurice Stovall: False Start, 5 yards (no play)",-1.040,-1.370
2,2:00,4,16,TAM 30,3,10,"Josh Bidwell punts 57 yards, returned by Steve Breaston for 11 yards (tackle by Keith Heinrich)",-1.370,-0.540
2,1:46,1,10,ARI 24,3,10,"Penalty on Mike Gandy: False Start, 5 yards (no play)",0.540,0.130
2,1:46,1,15,ARI 19,3,10,Kurt Warner pass incomplete deep right intended for Larry Fitzgerald,0.130,-0.740
2,1:39,2,15,ARI 19,3,10,Kurt Warner pass incomplete deep middle intended for Larry Fitzgerald (defended by Tanard Jackson),-0.740,-1.430
2,1:32,3,15,ARI 19,3,10,J.J. Arrington up the middle for 5 yards (tackle by Stylez G. White and Barrett Ruud),-1.430,-1.770
2,1:25,,,,3,10,Timeout #3 by Tampa Bay Buccaneers,0.000,-1.770
2,1:25,4,10,ARI 24,3,10,"Mike Barr punts 41 yards, returned by Phillip Buchanon for no gain. Penalty on Chas Gessner: Defensive 12 On-field, 5 yards (no play)",-1.770,-1.440
2,1:15,4,5,ARI 29,3,10,"Mike Barr punts 40 yards, returned by Phillip Buchanon for 6 yards (tackle by Calvin Pace)",-1.440,-1.400
2,1:03,1,10,TAM 37,3,10,Jeff Garcia pass complete short right to Joey Galloway for 6 yards (tackle by Roderick Hood),1.400,1.670
2,0:42,2,4,TAM 43,3,10,Jeff Garcia pass incomplete short right intended for Earnest Graham,1.670,0.960
2,0:35,3,4,TAM 43,3,10,Earnest Graham up the middle for 7 yards (tackle by Antonio Smith),0.960,2.260
2,0:20,1,10,,3,10,Jeff Garcia spiked the ball,2.260,1.710
2,0:20,2,10,,3,10,Jeff Garcia pass complete short middle to Ike Hilliard for 9 yards (tackle by Calvin Pace),1.710,2.210
2,0:04,3,1,ARI 41,3,10,Jeff Garcia spiked the ball,2.210,0.530
2,0:04,4,1,ARI 41,3,10,Matt Bryant 58 yard field goal no good. Penalty on Terrence Holt: Illegal Block Above the Waist (Declined),0.530,2.130
Quarter,Time,Down,ToGo,Location,ARI,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,3,10,"Neil Rackers kicks off 69 yards, returned by Micheal Spurlock for 35 yards (tackle by Brandon Johnson)",0.000,1.330
3,14:51,1,10,TAM 36,3,10,Earnest Graham right end for 8 yards (tackle by Antrel Rolle),1.330,1.870
3,14:24,2,2,TAM 44,3,10,Earnest Graham up the middle for 1 yard (tackle by Darnell Dockett and Monty Beisel),1.870,1.290
3,13:51,3,1,TAM 45,3,10,Earnest Graham up the middle for 5 yards (tackle by Terrence Holt),1.290,2.260
3,13:17,1,10,,3,10,Jeff Garcia pass complete short left to Joey Galloway for 5 yards (tackle by Eric Green),2.260,2.390
3,12:59,2,5,ARI 45,3,10,Jeff Garcia pass incomplete short left intended for Earnest Graham,2.390,1.690
3,12:49,3,5,ARI 45,3,10,Jeff Garcia pass complete short right to Joey Galloway for 28 yards (tackle by Terrence Holt),1.690,4.440
3,12:22,1,10,ARI 17,3,10,Earnest Graham right guard for 1 yard (tackle by Gerald Hayes),4.440,4.000
3,11:44,2,9,ARI 16,3,10,"Jeff Garcia right end for 8 yards (tackle by Monty Beisel). Penalty on Calvin Pace: Face Mask (15 Yards), 4 yards",4.000,6.280
3,11:18,1,4,ARI 4,3,10,Earnest Graham left guard for 2 yards (tackle by Monty Beisel),6.280,5.720
3,10:41,2,2,ARI 2,3,16,"Earnest Graham up the middle for 2 yards, touchdown",5.720,7.000
3,,,,ARI 2,3,17,Matt Bryant kicks extra point good,0.000,0.000
3,,,,TAM 30,3,17,"Matt Bryant kicks off 66 yards, returned by Steve Breaston for 23 yards (tackle by Maurice Stovall)",0.000,0.740
3,10:23,1,10,ARI 27,3,17,Kurt Warner pass complete short right to Larry Fitzgerald for 16 yards (tackle by Jermaine Phillips),0.740,1.800
3,10:04,1,10,ARI 43,3,17,Kurt Warner pass complete short right to Bryant Johnson for 14 yards (tackle by Brian Kelly),1.800,2.720
3,9:45,1,10,TAM 43,3,17,Edgerrin James up the middle for 2 yards (tackle by Chris Hovan),2.720,2.450
3,9:13,2,8,TAM 41,3,17,Kurt Warner pass incomplete deep middle intended for Bryant Johnson,2.450,1.750
3,9:06,3,8,TAM 41,3,17,"Kurt Warner pass incomplete short middle intended for Larry Fitzgerald (defended by Tanard Jackson). Penalty on Deuce Lutui: Unnecessary Roughness, 15 yards",1.750,-0.460
3,8:58,4,23,ARI 44,3,17,Mike Barr punts 50 yards,-0.460,0.380
3,8:46,1,10,TAM 6,3,17,Earnest Graham left end for 5 yards (tackle by Eric Green and Monty Beisel),-0.380,-0.420
3,8:05,2,5,TAM 11,3,17,Earnest Graham left end for no gain (tackle by Adrian Wilson and Darnell Dockett),-0.420,-0.840
3,7:23,3,5,TAM 11,3,17,Jeff Garcia pass complete short left to Ike Hilliard for 11 yards (tackle by Ralph Brown),-0.840,0.410
3,6:45,1,10,TAM 22,3,17,Earnest Graham left guard for 3 yards (tackle by Calvin Pace),0.410,0.270
3,6:05,2,7,TAM 25,3,17,Earnest Graham right end for no gain (tackle by Darnell Dockett),0.270,-0.430
3,5:19,3,7,TAM 25,3,17,Jeff Garcia pass complete short middle to Ike Hilliard for 13 yards (tackle by Terrence Holt),-0.430,1.470
3,4:34,1,10,TAM 38,3,17,Earnest Graham up the middle for 4 yards (tackle by Rodney Bailey),1.470,1.460
3,3:56,2,6,TAM 42,3,17,Michael Bennett left guard for 2 yards (tackle by Rodney Bailey),1.460,1.020
3,3:27,3,4,TAM 44,3,17,Jeff Garcia pass complete short middle to Maurice Stovall for 9 yards (tackle by Ralph Brown),1.020,2.460
3,2:48,1,10,ARI 47,3,17,Earnest Graham up the middle for 1 yard (tackle by Calvin Pace),2.460,2.050
3,2:06,2,9,ARI 46,3,17,Jeff Garcia pass complete short right to Earnest Graham for 6 yards (tackle by Bertrand Berry),2.050,2.150
3,1:24,3,3,ARI 40,3,17,Jeff Garcia pass complete short right to Earnest Graham for 7 yards (tackle by Calvin Pace),2.150,3.380
3,0:39,1,10,ARI 33,3,17,Michael Bennett up the middle for 3 yards (tackle by Monty Beisel),3.380,3.240
Quarter,Time,Down,ToGo,Location,ARI,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,ARI 30,3,17,Michael Bennett right tackle for 1 yard (tackle by Darnell Dockett),3.240,2.680
4,14:16,3,6,ARI 29,3,17,Jeff Garcia up the middle for 14 yards (tackle by Gerald Hayes),2.680,4.580
4,13:31,1,10,ARI 15,3,17,Earnest Graham right end for 4 yards (tackle by Antrel Rolle),4.580,4.640
4,12:49,2,6,ARI 11,3,17,Earnest Graham left guard for 3 yards (tackle by Gerald Hayes),4.640,4.450
4,11:58,,,,3,17,Timeout #1 by Tampa Bay Buccaneers,0.000,4.450
4,11:58,3,3,ARI 8,3,17,Jeff Garcia pass incomplete short right intended for Alex Smith,4.450,2.980
4,11:52,4,3,ARI 8,3,17,Matt Bryant 26 yard field goal no good,2.980,-0.280
4,11:47,1,10,ARI 20,3,17,Kurt Warner pass complete short left to Larry Fitzgerald for 16 yards (tackle by Jermaine Phillips),0.280,1.330
4,11:21,1,10,ARI 36,3,17,Kurt Warner pass complete short middle to Jerheme Urban for 12 yards (tackle by Tanard Jackson),1.330,2.130
4,10:54,1,10,ARI 48,3,17,Kurt Warner pass incomplete short right intended for Jerheme Urban (defended by Tanard Jackson),2.130,1.580
4,10:48,2,10,ARI 48,3,17,Kurt Warner pass complete short middle to J.J. Arrington for 11 yards (tackle by Cato June),1.580,2.850
4,10:11,1,10,TAM 41,3,17,Kurt Warner pass complete deep middle to Anquan Boldin for 24 yards (tackle by Ronde Barber),2.850,4.440
4,9:41,1,10,TAM 17,3,17,Kurt Warner pass incomplete short right intended for Bryant Johnson (defended by Brian Kelly),4.440,3.850
4,9:35,2,10,TAM 17,3,17,Kurt Warner pass incomplete short right intended for Anquan Boldin,3.850,3.070
4,9:28,3,10,TAM 17,3,17,"Kurt Warner pass complete short middle to Leonard Pope for 8 yards (tackle by Cato June). Penalty on ARI: Illegal Shift, 5 yards (no play)",3.070,2.540
4,8:56,3,15,TAM 22,3,17,Kurt Warner pass complete short right to Larry Fitzgerald for 16 yards (tackle by Tanard Jackson),2.540,5.830
4,8:20,1,6,TAM 6,3,17,Edgerrin James up the middle for 3 yards (tackle by Jovan Haye),5.830,5.530
4,7:42,2,3,TAM 3,3,17,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,5.530,4.720
4,7:37,,,,3,17,Timeout #1 by Arizona Cardinals,0.000,4.720
4,7:37,3,3,TAM 3,9,17,"Edgerrin James up the middle for 3 yards, touchdown",4.720,7.000
4,,,,TAM 2,10,17,Neil Rackers kicks extra point good,0.000,0.000
4,,,,ARI 30,10,17,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
4,7:30,1,10,TAM 20,10,17,Earnest Graham right guard for 6 yards (tackle by Antrel Rolle and Adrian Wilson),0.280,0.540
4,6:47,2,4,TAM 26,10,17,Earnest Graham up the middle for -1 yards (tackle by Darnell Dockett),0.540,-0.300
4,6:02,3,5,TAM 25,10,17,Jeff Garcia pass complete short left to Ike Hilliard for 18 yards (tackle by Gerald Hayes),-0.300,1.800
4,5:15,1,10,TAM 43,10,17,Michael Bennett left guard for 1 yard (tackle by Antonio Smith),1.800,1.390
4,4:34,2,9,TAM 44,10,17,"Jeff Garcia pass incomplete short right intended for Michael Bennett. Penalty on John Wade: Offensive Holding, 10 yards (no play)",1.390,0.040
4,4:26,2,19,TAM 34,10,17,Jeff Garcia sacked by Darnell Dockett for -3 yards,0.040,-1.020
4,3:54,3,22,TAM 31,10,17,Earnest Graham up the middle for 3 yards (tackle by Darnell Dockett). Penalty on Davin Joseph: Face Mask (15 Yards) (Declined),-1.020,-1.110
4,3:44,4,19,TAM 34,10,17,"Josh Bidwell punts 50 yards, returned by J.J. Arrington for 10 yards (tackle by Adam Hayward)",-1.110,-0.670
4,3:31,1,10,ARI 26,10,17,Kurt Warner pass incomplete short left intended for Jerheme Urban,0.670,0.130
4,3:26,2,10,ARI 26,10,17,Kurt Warner pass incomplete deep middle intended for Jerheme Urban,0.130,-0.560
4,3:19,3,10,ARI 26,10,17,Kurt Warner pass incomplete short middle intended for Bryant Johnson (defended by Cato June),-0.560,-1.630
4,3:13,4,10,ARI 26,10,17,"Mike Barr punts 40 yards, fair catch by Ike Hilliard",-1.630,-1.200
4,3:04,1,10,TAM 34,10,17,Jeff Garcia pass incomplete short left intended for Joey Galloway,1.200,0.660
4,3:01,2,10,TAM 34,10,17,Earnest Graham right guard for -1 yards (tackle by Gerald Hayes),0.660,-0.160
4,2:56,,,,10,17,Timeout #2 by Arizona Cardinals,0.000,-0.160
4,2:56,3,11,TAM 33,10,17,Jeff Garcia right end for 3 yards (tackle by Antonio Smith),-0.160,-0.980
4,2:49,,,,10,17,Timeout #3 by Arizona Cardinals,0.000,-0.980
4,2:49,4,8,TAM 36,10,17,"Josh Bidwell punts 48 yards, returned by Steve Breaston for no gain",-0.980,0.140
4,2:39,1,10,ARI 16,10,17,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald is intercepted by Jermaine Phillips at ARI-46,-0.140,-2.520
4,2:31,1,10,ARI 46,10,17,Michael Bennett up the middle for 5 yards (tackle by Monty Beisel),2.520,2.650
4,2:00,2,5,ARI 41,10,17,Earnest Graham up the middle for 15 yards (tackle by Antrel Rolle),2.650,3.840
4,1:06,1,10,ARI 26,10,17,"Penalty on Jeff Garcia: False Start, 5 yards (no play)",3.840,3.510
4,1:01,1,15,ARI 31,10,17,"Jeff Garcia kneels for -1 yards. Penalty on Jeremy Trueblood: Disqualification, 15 yards",3.510,0.460
4,0:45,,,,10,17,Timeout #2 by Tampa Bay Buccaneers,0.000,0.460
4,0:45,2,31,ARI 47,10,17,Jeff Garcia kneels for -1 yards,0.460,-0.290
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
