Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
3,13:15,2,9,SDG 47,9,14,Tom Brady sacked by Luis Castillo for -3 yards,1.980,0.890
3,12:40,3,12,,9,14,Tom Brady pass incomplete short left intended for Donte Stallworth is intercepted by Drayton Florence at SDG-44 and returned for 7 yards (tackle by Wes Welker),0.890,-2.320
3,12:32,1,10,NWE 49,9,14,Michael Turner right guard for 4 yards (tackle by Tedy Bruschi and Mike Vrabel),2.320,2.320
3,11:59,2,6,NWE 45,9,14,Philip Rivers pass complete deep left to Vincent Jackson for 17 yards (tackle by Ellis Hobbs),2.320,3.710
3,11:23,1,10,NWE 28,9,14,Philip Rivers pass incomplete short right intended for Michael Turner,3.710,3.170
3,11:16,2,10,NWE 28,9,14,Philip Rivers pass complete short right to Chris Chambers for 15 yards,3.170,4.710
3,10:43,1,10,NWE 13,9,14,Philip Rivers pass complete short left to Vincent Jackson for 6 yards (tackle by Adalius Thomas),4.710,5.150
3,10:01,2,4,NWE 7,9,14,Michael Turner up the middle for 3 yards (tackle by Vince Wilfork and Junior Seau),5.150,5.010
3,9:22,,,,9,14,Timeout #1 by San Diego Chargers,0.000,5.010
3,9:22,3,1,NWE 4,9,14,Michael Turner left tackle for -2 yards (tackle by Junior Seau),5.010,3.010
3,8:40,4,3,NWE 6,12,14,Nate Kaeding 24 yard field goal good,3.010,3.000
3,,,,SDG 30,12,14,"Nate Kaeding kicks off 58 yards, returned by Laurence Maroney for 21 yards (tackle by Marques Harris)",0.000,1.140
3,8:31,1,10,NWE 33,12,14,Laurence Maroney up the middle for 18 yards (tackle by Clinton Hart),1.140,2.320
3,7:54,,,,12,14,Timeout #1 by New England Patriots,0.000,2.320
3,7:54,1,10,SDG 49,12,14,Laurence Maroney right end for no gain (tackle by Quentin Jammer),2.320,1.780
3,7:13,2,10,SDG 49,12,14,Tom Brady pass complete short left to Randy Moss for 18 yards (tackle by Drayton Florence),1.780,3.510
3,6:32,1,10,SDG 31,12,14,Laurence Maroney left guard for 11 yards (tackle by Shaun Phillips),3.510,4.240
3,5:53,1,10,SDG 20,12,14,Laurence Maroney left tackle for 6 yards (tackle by Stephen Cooper and Antonio Cromartie),4.240,4.640
3,5:10,2,4,SDG 14,12,14,Laurence Maroney left guard for 4 yards (tackle by Ryon Bingham and Shaun Phillips),4.640,4.910
3,4:26,1,10,SDG 10,12,14,Laurence Maroney right tackle for no gain (tackle by Ryon Bingham),4.910,4.190
3,3:48,2,10,SDG 10,12,14,Tom Brady pass complete short middle to Wes Welker for 8 yards (tackle by Marlon McCree),4.190,4.950
3,3:05,3,2,SDG 2,12,14,Tom Brady pass incomplete short middle intended for Ben Watson is intercepted by Antonio Cromartie and returned for 7 yards (tackle by Nick Kaczur),4.950,0.380
3,2:56,1,10,SDG 4,12,14,Michael Turner left guard for 12 yards (tackle by Rodney Harrison and Mike Vrabel),-0.380,-0.140
3,2:29,1,10,SDG 16,12,14,Michael Turner left tackle for 4 yards (tackle by Mike Vrabel and Rodney Harrison),-0.140,0.010
3,1:54,2,6,SDG 20,12,14,Philip Rivers pass incomplete short right intended for Antonio Gates,0.010,-0.820
3,1:48,3,6,SDG 20,12,14,Philip Rivers pass incomplete short left intended for Brandon Manumaleuna,-0.820,-2.030
3,1:44,4,6,SDG 20,12,14,Mike Scifres punts 47 yards,-2.030,-1.140
3,1:32,1,10,NWE 33,12,14,Tom Brady pass complete short left to Heath Evans for 13 yards (tackle by Shawne Merriman),1.140,1.990
3,0:47,1,10,NWE 46,12,14,Laurence Maroney up the middle for 4 yards (tackle by Ryon Bingham),1.990,1.990
Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
