Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
3,10:34,1,9,LAR 9,19,13,"Wendell Smallwood up the middle for 9 yards, touchdown",5.140,7.000
3,10:28,,,LAR 15,20,13,Jake Elliott kicks extra point good,0.000,0.000
3,10:28,,,PHI 35,20,13,"Jake Elliott kicks off 65 yards, returned by Pharoh Cooper for no gain (tackle by Malcolm Jenkins)",0.000,-0.350
3,10:23,1,10,LAR 12,20,13,John Kelly left end for -1 yards (tackle by Rasul Douglas and Haloti Ngata),-0.350,-0.850
3,10:01,2,11,LAR 11,20,13,Jared Goff pass complete short right to Josh Reynolds for 9 yards (tackle by Nathan Gerry),-0.850,-0.480
3,9:20,3,2,LAR 20,20,13,Jared Goff pass incomplete short right,-0.480,-2.030
3,9:16,4,2,LAR 20,20,13,"Johnny Hekker punts 54 yards, fair catch by Darren Sproles at PHI-26",-2.030,-0.670
3,9:07,1,10,PHI 26,20,13,Nick Foles pass complete short right to Alshon Jeffery for 13 yards (tackle by Aqib Talib),0.670,1.530
3,8:38,1,10,PHI 39,20,13,Josh Adams left end for no gain (tackle by Marcus Peters),1.530,0.990
3,8:01,2,10,PHI 39,20,13,Wendell Smallwood right tackle for 11 yards (tackle by John Johnson),0.990,2.260
3,7:20,1,10,PHI 50,20,13,Wendell Smallwood up the middle for 1 yard (tackle by Michael Brockers),2.260,1.850
3,6:43,2,9,LAR 49,20,13,Nick Foles pass complete short middle to Golden Tate for 10 yards (tackle by Nickell Robey-Coleman),1.850,2.980
3,5:55,1,10,LAR 39,20,13,Wendell Smallwood left end for 11 yards (tackle by Marcus Peters),2.980,3.710
3,5:23,1,10,LAR 28,20,13,"Wendell Smallwood up the middle for no gain (tackle by Mark Barron). Penalty on Stefen Wisniewski: Offensive Holding, 10 yards (no play)",3.710,3.050
3,5:06,1,20,LAR 38,20,13,Nick Foles pass complete short right to Alshon Jeffery for 3 yards (tackle by Cory Littleton and Ramik Wilson),3.050,2.220
3,4:29,2,17,LAR 35,20,13,Nick Foles pass complete short right to Darren Sproles for 5 yards (tackle by John Johnson),2.220,2.210
3,3:57,3,12,LAR 30,20,13,Nick Foles pass complete short middle to Nelson Agholor for 8 yards (tackle by Lamarcus Joyner),2.210,2.070
3,3:17,4,4,LAR 22,23,13,Jake Elliott 40 yard field goal good,2.070,3.000
3,3:11,,,PHI 35,23,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,3:11,1,10,LAR 25,23,13,Jared Goff pass incomplete deep left,0.610,0.060
3,3:03,2,10,LAR 25,23,13,Jared Goff pass complete short middle to Todd Gurley for 9 yards (tackle by Nigel Bradham),0.060,0.560
3,2:21,3,1,LAR 34,23,13,"Jared Goff for no gain. Jared Goff fumbles, recovered by Jared Goff at LA-28 Jared Goff sacked by Kamu Grugier-Hill for -6 yards. Jared Goff fumbles (forced by Kamu Grugier-Hill), recovered by Corey Graham at LA-28 and returned for 16 yards (tackle by Robert Woods)",0.560,-4.780
3,2:12,1,10,LAR 12,23,13,Nick Foles pass complete short left to Golden Tate for 8 yards (tackle by Mark Barron),4.780,5.600
3,1:39,2,2,LAR 4,29,13,"Wendell Smallwood up the middle for 4 yards, touchdown",5.600,7.000
3,1:34,,,LAR 15,30,13,Jake Elliott kicks extra point good,0.000,0.000
3,1:34,,,PHI 35,30,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,1:34,1,10,LAR 25,30,13,Jared Goff pass incomplete short right intended for Brandin Cooks (defended by Haloti Ngata),0.610,0.060
3,1:30,2,10,LAR 25,30,13,John Kelly up the middle for 5 yards (tackle by Nathan Gerry and Bruce Hector),0.060,0.040
3,0:48,3,5,LAR 30,30,13,Jared Goff pass incomplete short middle intended for Robert Woods,0.040,-1.370
3,0:43,4,5,LAR 30,30,13,Johnny Hekker pass incomplete short right intended for KhaDarel Hodge,-1.370,-3.580
3,0:39,1,10,LAR 30,30,13,Nick Foles pass complete short right to Zach Ertz for 9 yards (tackle by Cory Littleton),3.580,4.250
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,LAR 21,30,13,Wendell Smallwood up the middle for 3 yards (tackle by Ndamukong Suh),4.250,4.370
4,14:19,1,10,LAR 18,30,13,Nick Foles pass short right intended for Zach Ertz is intercepted by Aqib Talib at LA-5 and returned for 30 yards,4.370,-1.270
4,14:09,1,10,LAR 35,30,13,Jared Goff pass complete deep left to Brandin Cooks for 20 yards (tackle by Rasul Douglas),1.270,2.590
4,13:29,1,10,PHI 45,30,13,Jared Goff pass complete short right to Todd Gurley for 5 yards (tackle by Cre'von LeBlanc),2.590,2.720
4,13:03,2,5,PHI 40,30,13,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",2.720,2.040
4,12:40,2,10,PHI 45,30,13,Jared Goff pass complete short right to Todd Gurley for 11 yards (tackle by Malcolm Jenkins),2.040,3.310
4,12:03,1,10,PHI 34,30,13,Jared Goff pass complete short left to Tyler Higbee for 3 yards (tackle by Rasul Douglas),3.310,3.180
4,11:40,2,7,PHI 31,30,13,Jared Goff right end for 4 yards (tackle by Fletcher Cox),3.180,3.010
4,10:59,3,3,PHI 27,30,13,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Chris Long and Rasul Douglas),3.010,4.510
4,10:35,,,,,,Timeout #1 by Philadelphia Eagles,,
4,10:35,1,10,PHI 16,30,13,Jared Goff pass incomplete short left intended for Gerald Everett,4.510,3.900
4,10:30,2,10,PHI 16,30,13,"Jared Goff pass complete short right to Gerald Everett for 5 yards (tackle by Avonte Maddox). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",3.900,2.610
4,10:17,2,20,PHI 26,30,13,Jared Goff pass complete short left to Gerald Everett for 7 yards (tackle by Nathan Gerry and Nigel Bradham),2.610,2.850
4,9:36,3,13,PHI 19,30,13,Jared Goff pass incomplete deep middle intended for Todd Gurley,2.850,2.180
4,9:28,4,13,PHI 19,30,16,Greg Zuerlein 37 yard field goal good,2.180,3.000
4,9:24,,,LAR 35,30,16,"Greg Zuerlein kicks off 60 yards, returned by Shelton Gibson for no gain (tackle by Justin Davis)",0.000,0.150
4,9:17,1,10,PHI 19,30,16,Wendell Smallwood up the middle for 1 yard (tackle by Aaron Donald),0.150,-0.200
4,8:35,2,9,PHI 20,30,16,Nick Foles pass complete short right to Zach Ertz for 11 yards (tackle by Nickell Robey-Coleman),-0.200,1.000
4,8:06,1,10,PHI 31,30,16,"Josh Adams left end for no gain (tackle by John Johnson). Penalty on Richard Rodgers: Offensive Holding, 10 yards (no play)",1.000,0.340
4,7:47,1,20,PHI 21,30,16,Nick Foles pass complete short middle to Golden Tate for 7 yards (tackle by Lamarcus Joyner),0.340,0.060
4,7:08,2,13,PHI 28,30,16,Nick Foles pass complete short left to Darren Sproles for 5 yards (tackle by John Johnson),0.060,0.040
4,6:31,3,8,PHI 33,30,16,Darren Sproles up the middle for 4 yards (tackle by John Johnson). Penalty on Lane Johnson: Offensive Holding (Declined),0.040,-0.910
4,6:25,,,,,,Timeout #1 by Los Angeles Rams,,
4,6:25,4,4,PHI 37,30,16,"Cameron Johnston punts 47 yards, fair catch by Jojo Natson at LA-16",-0.910,0.140
4,6:18,1,10,LAR 16,30,16,Jared Goff pass complete short left to Robert Woods for 7 yards (tackle by Malcolm Jenkins),-0.140,0.420
4,6:03,2,3,LAR 23,30,16,Jared Goff pass complete short right to Gerald Everett for 20 yards (tackle by Cre'von LeBlanc),0.420,1.800
4,5:40,1,10,LAR 43,30,16,Jared Goff pass incomplete short middle intended for Todd Gurley,1.800,1.250
4,5:36,2,10,LAR 43,30,16,Jared Goff pass complete short left to Josh Reynolds for 10 yards (tackle by Rasul Douglas),1.250,2.460
4,5:09,1,10,PHI 47,30,16,Jared Goff pass complete short middle to Todd Gurley for 5 yards (tackle by Nigel Bradham),2.460,2.590
4,4:46,2,5,PHI 42,30,16,Jared Goff pass complete short left to Robert Woods for 8 yards (tackle by Malcolm Jenkins and Rasul Douglas),2.590,3.310
4,4:27,1,10,PHI 34,30,16,Jared Goff pass incomplete short right intended for Josh Reynolds,3.310,2.770
4,4:22,2,10,PHI 34,30,16,Jared Goff pass incomplete short left intended for Gerald Everett,2.770,2.080
4,4:19,3,10,PHI 34,30,16,Jared Goff pass complete deep middle to Josh Reynolds for 33 yards (tackle by Rasul Douglas),2.080,6.970
4,4:13,1,1,PHI 1,30,16,Jared Goff pass incomplete short right intended for Todd Gurley,6.970,5.910
4,4:10,2,1,PHI 1,30,22,"Todd Gurley up the middle for 1 yard, touchdown",5.910,7.000
4,4:06,,,PHI 15,30,23,Greg Zuerlein kicks extra point good,0.000,0.000
4,4:06,,,LAR 35,30,23,"Greg Zuerlein kicks off 50 yards, returned by Darren Sproles for no gain (tackle by KhaDarel Hodge)",0.000,-0.060
4,4:02,1,10,PHI 17,30,23,Wendell Smallwood up the middle for 1 yard (tackle by Ndamukong Suh and Marcus Peters),-0.060,-0.420
4,3:58,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:58,2,9,PHI 18,30,23,"Penalty on Dallas Goedert: False Start, 5 yards (no play)",-0.420,-1.060
4,3:58,2,14,PHI 13,30,23,"Nick Foles pass complete short right to Alshon Jeffery for 7 yards (tackle by Cory Littleton). Penalty on Lane Johnson: Illegal Block Above the Waist, 10 yards",-1.060,-1.290
4,3:52,2,17,PHI 10,30,23,Nick Foles pass incomplete short middle intended for Zach Ertz,-1.290,-2.240
4,3:47,3,17,PHI 10,30,23,Nick Foles pass complete short left to Wendell Smallwood for 5 yards (tackle by Dante Fowler and Nickell Robey-Coleman),-2.240,-2.440
4,3:03,4,12,PHI 15,30,23,"Cameron Johnston punts 52 yards, returned by Jojo Natson for 3 yards. Jojo Natson fumbles, recovered by D.J. Alexander at LA-36 (tackle by Jojo Natson)",-2.440,3.180
4,2:51,1,10,LAR 36,30,23,Josh Adams up the middle for 4 yards (tackle by Mark Barron and Cory Littleton),3.180,3.180
4,2:45,,,,,,Timeout #3 by Los Angeles Rams,,
4,2:45,2,6,LAR 32,30,23,Josh Adams up the middle for -4 yards (tackle by Lamarcus Joyner),3.180,1.950
4,2:00,3,10,LAR 36,30,23,Josh Adams up the middle for 1 yard (tackle by Michael Brockers and Aaron Donald),1.950,0.970
4,1:13,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:13,4,9,LAR 35,30,23,Jake Elliott 53 yard field goal no good,0.970,-1.800
4,1:08,1,10,LAR 43,30,23,Jared Goff pass complete short middle to Josh Reynolds for 12 yards (tackle by Cre'von LeBlanc and Malcolm Jenkins),1.800,2.590
4,0:51,1,10,PHI 45,30,23,Jared Goff pass complete short right to Gerald Everett for 6 yards,2.590,2.850
4,0:45,2,4,PHI 39,30,23,Jared Goff pass complete short left to Gerald Everett for 5 yards (tackle by Rasul Douglas),2.850,3.310
4,0:25,1,10,PHI 34,30,23,Jared Goff pass complete short right to Gerald Everett for 8 yards,3.310,3.850
4,0:20,2,2,PHI 26,30,23,Jared Goff pass complete short right to Todd Gurley for 8 yards (tackle by Avonte Maddox),3.850,4.370
4,0:05,1,10,PHI 18,30,23,Jared Goff spiked the ball,4.370,3.800
4,0:04,,,,,,Timeout #3 by Philadelphia Eagles,,
4,0:04,2,10,PHI 18,30,23,Jared Goff pass incomplete deep right intended for Josh Reynolds,3.800,3.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
