Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 17,7,0,Brandon Weeden pass incomplete deep right intended for Gary Barnidge,4.440,3.850
2,14:54,2,10,DET 17,7,0,Chris Ogbonnaya right guard for 2 yards (tackle by Ezekiel Ansah and Ashlee Palmer),3.850,3.340
2,14:19,3,8,DET 15,7,0,Brandon Weeden pass complete short left to Josh Gordon for 9 yards (tackle by Rashean Mathis and Bill Bentley),3.340,5.830
2,13:39,1,6,DET 6,7,0,Willis McGahee right guard for 2 yards (tackle by Ezekiel Ansah and Glover Quin),5.830,5.340
2,12:57,2,4,DET 4,7,6,"Brandon Weeden pass complete short left to Chris Ogbonnaya for 4 yards, touchdown",5.340,7.000
2,12:57,,,DET 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
2,12:57,,,CLE 35,7,7,"Billy Cundiff kicks off 74 yards, touchback",0.000,-0.280
2,12:52,1,10,DET 20,7,7,Matthew Stafford pass complete short right to Brandon Pettigrew for 4 yards (tackle by Craig Robertson),0.280,0.270
2,12:16,2,6,DET 24,7,7,Matthew Stafford pass incomplete short left intended for Kevin Ogletree,0.270,-0.430
2,12:13,3,6,DET 24,7,7,Matthew Stafford pass incomplete short right intended for Joique Bell,-0.430,-1.770
2,12:09,4,6,DET 24,7,7,"Sam Martin punts 52 yards, returned by Travis Benjamin for -9 yards (tackle by Don Carey). Penalty on Paul Hazel: Running Into the Kicker (Declined)",-1.770,0.220
2,11:58,1,10,CLE 15,7,7,Brandon Weeden pass incomplete deep left intended for Travis Benjamin,-0.220,-0.710
2,11:53,2,10,CLE 15,7,7,Brandon Weeden pass complete short left to Chris Ogbonnaya for 9 yards (tackle by Nick Fairley),-0.710,-0.270
2,11:22,3,1,CLE 24,7,7,Brandon Weeden pass complete short right to Josh Gordon for 16 yards (tackle by Louis Delmas),-0.270,1.600
2,10:50,1,10,CLE 40,7,7,Brandon Weeden pass complete short left to Jordan Cameron for 14 yards (tackle by Louis Delmas),1.600,2.520
2,10:07,1,10,DET 46,7,7,Willis McGahee left guard for 7 yards (tackle by Bill Bentley),2.520,2.920
2,9:30,2,3,DET 39,7,7,Willis McGahee right guard for -1 yards (tackle by Stephen Tulloch and Darius Slay),2.920,2.080
2,8:51,3,4,DET 40,7,7,Brandon Weeden pass incomplete deep right intended for Chris Ogbonnaya is intercepted by DeAndre Levy at DET-17,2.080,0.060
2,8:44,1,10,DET 17,7,7,Reggie Bush left guard for -1 yards (tackle by T.J. Ward),-0.060,-0.730
2,8:20,2,11,DET 16,7,7,Matthew Stafford pass complete deep right to Kris Durham for 24 yards (tackle by T.J. Ward),-0.730,1.600
2,7:53,1,10,DET 40,7,7,Reggie Bush left guard for 1 yard (tackle by John Hughes),1.600,1.190
2,7:27,2,9,DET 41,7,7,Matthew Stafford sacked by Craig Robertson for 0 yards,1.190,0.500
2,6:52,3,9,DET 41,7,7,Matthew Stafford pass incomplete deep left intended for Calvin Johnson (defended by T.J. Ward),0.500,-0.650
2,6:46,4,9,DET 41,7,7,"Sam Martin punts 43 yards, fair catch by Travis Benjamin",-0.650,0.140
2,6:38,1,10,CLE 16,7,7,"Brandon Weeden pass incomplete deep middle intended for Greg Little. Penalty on Darius Slay: Defensive Pass Interference, 23 yards (no play)",-0.140,1.530
2,6:31,1,10,CLE 39,7,7,Brandon Weeden left end for 9 yards (tackle by DeAndre Levy),1.530,2.200
2,5:49,2,1,CLE 48,7,7,Willis McGahee left tackle for 10 yards (tackle by Louis Delmas),2.200,2.790
2,5:03,1,10,DET 42,7,7,Brandon Weeden pass complete deep middle to Josh Gordon for 18 yards (tackle by Chris Houston),2.790,3.970
2,4:25,1,10,DET 24,7,7,MarQueis Gray up the middle for 10 yards (tackle by Glover Quin and Devin Taylor),3.970,4.650
2,3:48,1,10,DET 14,7,7,Bobby Rainey left guard for no gain (tackle by Willie Young and Louis Delmas),4.650,4.000
2,3:08,2,10,DET 14,7,7,Brandon Weeden pass complete short left to Gary Barnidge for 8 yards (tackle by Rocky McIntosh and Chris Houston),4.000,4.000
2,2:21,2,10,DET 14,7,7,Timeout #1 by Cleveland Browns,4.000,4.730
2,2:21,3,2,DET 6,7,7,Chris Ogbonnaya right guard for 2 yards (tackle by Stephen Tulloch),4.730,6.280
2,2:00,1,4,DET 4,7,7,"Penalty on Ndamukong Suh: Defensive Offside, 2 yards (no play)",6.280,6.740
2,2:00,1,2,DET 2,7,7,Willis McGahee left guard for no gain (tackle by Glover Quin),6.740,5.720
2,1:20,2,2,DET 2,7,13,"Brandon Weeden pass complete short right to Greg Little for 2 yards, touchdown",5.720,7.000
2,1:20,,,DET 2,7,14,Billy Cundiff kicks extra point good,0.000,0.000
2,1:20,,,CLE 35,7,14,"Billy Cundiff kicks off 74 yards, touchback",0.000,-0.280
2,1:16,1,10,DET 20,7,14,Matthew Stafford pass incomplete deep left intended for Patrick Edwards (defended by Chris Owens),0.280,-0.270
2,1:10,2,10,DET 20,7,14,Matthew Stafford pass incomplete short right intended for Kris Durham (defended by Joe Haden),-0.270,-0.960
2,1:04,3,10,DET 20,7,14,Matthew Stafford pass incomplete deep left intended for Patrick Edwards,-0.960,-2.030
2,0:58,4,10,DET 20,7,14,Sam Martin punts 51 yards,-2.030,-0.670
2,0:50,1,10,CLE 26,7,14,"Penalty on Nick Fairley: Neutral Zone Infraction, 5 yards (no play)",0.670,1.400
2,0:50,1,5,CLE 31,7,14,Chris Ogbonnaya left guard for 8 yards (tackle by DeAndre Levy),1.400,1.400
2,0:43,1,5,CLE 31,7,14,Timeout #2 by Cleveland Browns,1.400,1.530
2,0:43,1,10,CLE 39,7,14,Brandon Weeden pass complete deep right to Josh Gordon for 36 yards (tackle by Stephen Tulloch),1.530,3.910
2,0:27,1,10,DET 25,7,14,"Brandon Weeden pass incomplete deep right intended for Greg Little. Penalty on CLE: Illegal Shift, 5 yards (no play)",3.910,3.580
2,0:27,1,15,DET 30,7,14,Brandon Weeden pass incomplete short right intended for Chris Ogbonnaya,3.580,2.690
2,0:23,2,15,DET 30,7,14,Brandon Weeden pass incomplete deep left intended for Josh Gordon,2.690,2.010
2,0:17,3,15,DET 30,7,14,Brandon Weeden pass complete short left to Chris Ogbonnaya for 8 yards (tackle by Darius Slay),2.010,1.990
2,0:08,4,7,DET 22,7,17,Billy Cundiff 40 yard field goal good,1.990,3.000
2,0:08,,,CLE 35,7,17,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
2,0:08,1,10,DET 20,7,17,Matthew Stafford kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,7,17,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CLE 20,7,17,"Penalty on Jordan Cameron: False Start, 5 yards (no play)",0.280,-0.310
3,15:00,1,15,CLE 15,7,17,Willis McGahee left guard for 2 yards (tackle by Stephen Tulloch and Matthew Stafford),-0.310,-0.790
3,14:26,2,13,CLE 17,7,17,Brandon Weeden pass complete short right to Chris Ogbonnaya for 3 yards (tackle by Nick Fairley),-0.790,-0.960
3,13:46,3,10,CLE 20,7,17,Brandon Weeden pass complete short left to Chris Ogbonnaya for 9 yards (tackle by Bill Bentley and Chris Houston),-0.960,-1.440
3,13:04,4,1,CLE 29,7,17,"Spencer Lanning punts 50 yards, fair catch by Micheal Spurlock",-1.440,-0.340
3,12:56,1,10,DET 21,7,17,Matthew Stafford pass incomplete short left intended for Reggie Bush,0.340,-0.200
3,12:56,2,10,DET 21,7,17,Reggie Bush right guard for 4 yards (tackle by Ahtyba Rubin and D'Qwell Jackson),-0.200,-0.360
3,12:08,3,6,DET 25,7,17,"Matthew Stafford up the middle for 7 yards (tackle by Desmond Bryant). Penalty on Matthew Stafford: Delay of Game, 5 yards",-0.360,0.740
3,11:48,1,10,DET 27,7,17,Reggie Bush left guard for 39 yards (tackle by Chris Owens and Desmond Bryant),0.740,3.310
3,11:01,1,10,CLE 34,7,17,Matthew Stafford pass complete short left to Kris Durham for 6 yards (tackle by Chris Owens),3.310,3.580
3,10:24,2,4,CLE 28,7,17,Matthew Stafford pass complete short middle to Kris Durham for 7 yards (tackle by D'Qwell Jackson),3.580,4.170
3,9:46,1,10,CLE 21,7,17,Joique Bell right tackle for 3 yards (tackle by D'Qwell Jackson and Ahtyba Rubin),4.170,4.040
3,9:04,2,7,CLE 18,13,17,"Matthew Stafford pass complete short left to Reggie Bush for 18 yards, touchdown",4.040,7.000
3,9:04,,,CLE 2,14,17,David Akers kicks extra point good,0.000,0.000
3,9:04,,,DET 35,14,17,"Sam Martin kicks off 72 yards, touchback",0.000,-0.280
3,8:57,1,10,CLE 20,14,17,Brandon Weeden pass incomplete deep right intended for Greg Little,0.280,-0.270
3,8:54,2,10,CLE 20,14,17,"Penalty on Ndamukong Suh: Neutral Zone Infraction, 5 yards (no play)",-0.270,0.410
3,8:54,2,5,CLE 25,14,17,Josh Gordon left end for no gain (tackle by DeAndre Levy),0.410,-0.300
3,8:14,3,5,CLE 25,14,17,Brandon Weeden left tackle for 1 yard (tackle by Ndamukong Suh),-0.300,-1.630
3,7:34,4,4,CLE 26,14,17,"Spencer Lanning punts 44 yards, returned by Micheal Spurlock for 11 yards (tackle by Brandon Magee). Penalty on Don Carey: Offensive Holding, 10 yards",-1.630,-1.000
3,7:24,1,10,DET 31,14,17,Reggie Bush left tackle for -2 yards (tackle by Barkevious Mingo),1.000,0.190
3,6:39,2,12,DET 29,14,17,Matthew Stafford pass complete short left to Reggie Bush for 10 yards (tackle by Craig Robertson),0.190,0.830
3,6:04,3,2,DET 39,14,17,Matthew Stafford pass complete short middle to Calvin Johnson for 10 yards (tackle by Tashaun Gipson),0.830,2.190
3,5:22,1,10,DET 49,14,17,Reggie Bush right tackle for 6 yards (tackle by Tashaun Gipson and Desmond Bryant),2.190,2.460
3,4:42,2,4,CLE 45,14,17,Joique Bell right guard for 3 yards (tackle by D'Qwell Jackson and Ahtyba Rubin),2.460,2.150
3,3:59,3,1,CLE 42,14,17,Joique Bell left guard for 3 yards (tackle by D'Qwell Jackson),2.150,2.980
3,3:20,1,10,CLE 39,14,17,Reggie Bush right guard for 3 yards (tackle by T.J. Ward),2.980,2.850
3,2:43,2,7,CLE 36,14,17,Matthew Stafford pass incomplete short right intended for Kris Durham,2.850,2.150
3,2:38,3,7,CLE 36,14,17,Matthew Stafford pass complete short right to Calvin Johnson for 8 yards (tackle by Buster Skrine),2.150,3.710
3,1:55,1,10,CLE 28,14,17,Matthew Stafford pass incomplete deep middle intended for Patrick Edwards is intercepted by Tashaun Gipson at CLE--5 and returned for 35 yards (tackle by Corey Hilliard),3.710,-0.940
3,1:40,1,10,CLE 30,14,17,Willis McGahee left guard for 2 yards (tackle by C.J. Mosley),0.940,0.660
3,1:05,2,8,CLE 32,14,17,Brandon Weeden pass complete short right to Gary Barnidge for -2 yards (tackle by Glover Quin and Darius Slay),0.660,-0.300
3,1:05,3,10,CLE 30,14,17,Brandon Weeden sacked by Willie Young for -9 yards,-0.300,-1.960
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,19,CLE 21,14,17,"Spencer Lanning punts 48 yards, returned by Micheal Spurlock for 2 yards (tackle by Tank Carder)",-1.960,-1.140
4,14:49,1,10,DET 33,14,17,Joique Bell left tackle for 3 yards (tackle by Barkevious Mingo),1.140,1.000
4,14:11,2,7,DET 36,14,17,Matthew Stafford pass complete short left to Reggie Bush for 12 yards (tackle by Chris Owens),1.000,2.130
4,13:31,1,10,DET 48,14,17,Joique Bell right guard for 5 yards (tackle by Ahtyba Rubin and T.J. Ward),2.130,2.260
4,12:49,2,5,CLE 47,14,17,Matthew Stafford pass complete short left to Reggie Bush for 9 yards (tackle by D'Qwell Jackson),2.260,3.050
4,12:05,1,10,CLE 38,14,17,Matthew Stafford pass complete short right to Kris Durham for 3 yards (tackle by Buster Skrine),3.050,2.910
4,11:26,2,7,CLE 35,14,17,Matthew Stafford pass incomplete short middle intended for Ryan Broyles,2.910,2.210
4,11:24,3,7,CLE 35,14,17,Matthew Stafford pass complete short left to Brandon Pettigrew for 12 yards (tackle by Craig Robertson),2.210,4.040
4,10:41,1,10,CLE 23,20,17,"Matthew Stafford pass complete deep right to Joseph Fauria for 23 yards, touchdown",4.040,7.000
4,10:41,,,CLE 2,21,17,David Akers kicks extra point good,0.000,0.000
4,10:41,,,DET 35,21,17,"Sam Martin kicks off 73 yards, touchback",0.000,-0.280
4,10:35,1,10,CLE 20,21,17,Brandon Weeden pass complete short left to Josh Gordon for 14 yards (tackle by Louis Delmas),0.280,1.200
4,9:57,1,10,CLE 34,21,17,"Brandon Weeden pass incomplete. Penalty on Brandon Weeden: Intentional Grounding, 10 yards",1.200,-0.690
4,9:57,2,20,CLE 24,21,17,"Penalty on Jordan Cameron: False Start, 5 yards (no play)",-0.690,-1.430
4,9:49,2,25,CLE 19,21,17,Brandon Weeden pass incomplete deep right intended for Greg Little,-1.430,-2.160
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
4,9:41,3,25,CLE 19,21,17,Brandon Weeden pass complete short left to Chris Ogbonnaya for 13 yards (tackle by Chris Houston),-2.160,-1.240
4,9:05,4,12,CLE 32,21,17,"Spencer Lanning punts 44 yards, returned by Micheal Spurlock for 2 yards (tackle by Paul Hazel). Penalty on Johnson Bademosi: Unsportsmanlike Conduct, 15 yards",-1.240,-1.660
4,8:57,1,10,DET 41,21,17,Reggie Bush left tackle for 3 yards (tackle by Tashaun Gipson),1.660,1.530
4,8:17,2,7,DET 44,21,17,Matthew Stafford pass complete short middle to Kris Durham for 17 yards (tackle by Craig Robertson),1.530,2.980
4,7:38,1,10,CLE 39,21,17,Mikel Leshoure left guard for 4 yards (tackle by D'Qwell Jackson and T.J. Ward),2.980,2.980
4,6:55,2,6,CLE 35,21,17,Reggie Bush right guard for 2 yards (tackle by Buster Skrine),2.980,2.540
4,6:11,3,4,CLE 33,21,17,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by T.J. Ward),2.540,1.180
4,6:04,4,4,CLE 33,24,17,David Akers 51 yard field goal good,1.180,3.000
4,6:04,,,DET 35,24,17,"Sam Martin kicks off 70 yards, returned by Greg Little for 21 yards (tackle by Darius Slay)",0.000,0.140
4,5:59,1,10,CLE 16,24,17,Brandon Weeden pass complete short left to Josh Gordon for 15 yards (tackle by Chris Houston),-0.140,1.000
4,5:37,1,10,CLE 31,24,17,Brandon Weeden pass incomplete short right intended for Travis Benjamin (defended by Bill Bentley),1.000,0.460
4,5:31,2,10,CLE 31,24,17,Brandon Weeden pass complete short left to Jordan Cameron for 7 yards (tackle by Chris Houston),0.460,0.700
4,5:11,3,3,CLE 38,24,17,Brandon Weeden pass complete short right to Josh Gordon for 18 yards (tackle by Stephen Tulloch),0.700,2.650
4,4:44,1,10,DET 44,24,17,Brandon Weeden pass incomplete short left intended for Chris Ogbonnaya is intercepted by DeAndre Levy at CLE-49,2.650,-2.320
4,4:36,1,10,CLE 49,24,17,Reggie Bush right guard for 3 yards (tackle by Barkevious Mingo and D'Qwell Jackson),2.320,2.190
4,3:53,2,7,CLE 46,24,17,Matthew Stafford pass complete short right to Reggie Bush for 8 yards (tackle by Craig Robertson),2.190,3.050
4,3:11,1,10,CLE 38,24,17,"Penalty on Riley Reiff: False Start, 5 yards (no play)",3.050,2.720
4,3:09,1,15,CLE 43,24,17,Matthew Stafford pass incomplete short left intended for Kris Durham,2.720,1.830
4,3:07,2,15,CLE 43,24,17,Matthew Stafford pass complete short middle to Brandon Pettigrew for 12 yards (tackle by T.J. Ward),1.830,1.830
4,3:01,2,15,CLE 43,24,17,Timeout #2 by Cleveland Browns,1.830,2.740
4,3:01,3,3,CLE 31,24,17,"Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by Buster Skrine). Penalty on Quentin Groves: Roughing the Passer, 15 yards (no play)",2.740,4.510
4,2:58,1,10,CLE 16,24,17,Reggie Bush right guard for 3 yards (tackle by T.J. Ward),4.510,4.510
4,2:52,1,10,CLE 16,24,17,Timeout #3 by Cleveland Browns,4.510,4.390
4,2:52,2,7,CLE 13,24,17,Reggie Bush right guard for 3 yards (tackle by Ahtyba Rubin),4.390,4.390
4,2:05,2,7,CLE 13,24,17,Timeout #1 by Detroit Lions,4.390,4.170
4,2:05,3,4,CLE 10,30,17,"Matthew Stafford pass complete short right to Joseph Fauria for 10 yards, touchdown",4.170,7.000
4,2:05,,,CLE 2,31,17,David Akers kicks extra point good,0.000,0.000
4,2:05,,,DET 35,31,17,"Sam Martin kicks off 72 yards, touchback",0.000,-0.280
4,2:01,1,10,CLE 20,31,17,Brandon Weeden pass complete short left to Greg Little for 10 yards (tackle by Darius Slay),0.280,0.940
4,1:54,1,10,CLE 30,31,17,Brandon Weeden pass incomplete short right intended for Chris Ogbonnaya,0.940,0.390
4,1:50,2,10,CLE 30,31,17,Brandon Weeden pass incomplete short left intended for Chris Ogbonnaya,0.390,-0.300
4,1:45,3,10,CLE 30,31,17,Brandon Weeden pass complete short right to Jordan Cameron for 9 yards (tackle by Bill Bentley and Stephen Tulloch),-0.300,-0.780
4,1:17,4,1,CLE 39,31,17,Chris Ogbonnaya right guard for 6 yards (tackle by Willie Young),-0.780,1.930
4,0:57,1,10,CLE 45,31,17,Brandon Weeden pass complete short middle to Chris Ogbonnaya for 15 yards (tackle by DeAndre Levy),1.930,2.920
4,0:57,1,10,DET 40,31,17,Brandon Weeden spiked the ball,2.920,2.370
4,0:41,2,10,DET 40,31,17,"Brandon Weeden sacked by Devin Taylor for -14 yards. Brandon Weeden fumbles (forced by Devin Taylor), recovered by Brandon Weeden at CLE-CLV",2.370,-0.160
4,0:26,3,24,CLE 46,31,17,Brandon Weeden pass complete short right to Jordan Cameron for 33 yards (tackle by DeAndre Levy),-0.160,4.170
4,0:17,1,10,DET 21,31,17,Brandon Weeden pass incomplete deep right intended for Greg Little,4.170,3.630
4,0:17,2,10,DET 21,31,17,Brandon Weeden pass complete short left to Davone Bess for 12 yards (tackle by Bill Bentley),3.630,5.140
4,0:05,1,9,DET 9,31,17,Brandon Weeden pass complete short left to Jordan Cameron for 1 yard (tackle by DeAndre Levy),5.140,4.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
