Quarter,Time,Down,ToGo,Location,CAR,CLE,Detail,EPB,EPA
2,0:58,1,10,CAR 25,17,17,Christian McCaffrey left guard for 2 yards (tackle by Joe Schobert),0.610,0.330
2,0:37,2,8,CAR 27,17,17,Cam Newton pass complete deep right to Curtis Samuel for 19 yards (tackle by Terrance Mitchell),0.330,1.990
2,0:29,,,,,,Timeout #2 by Carolina Panthers,,
2,0:29,1,10,CAR 46,17,17,Cam Newton pass incomplete short right,1.990,1.450
2,0:25,2,10,CAR 46,17,17,Cam Newton pass complete short left to Jarius Wright for 6 yards (tackle by Briean Boddy-Calhoun),1.450,1.550
2,0:08,3,4,CLE 48,17,17,Cam Newton pass incomplete short left intended for Christian McCaffrey,1.550,0.070
2,0:05,4,4,CLE 48,17,17,Taylor Heinicke pass complete deep right to Curtis Samuel for 33 yards (tackle by Terrance Mitchell),0.070,0.150
Quarter,Time,Down,ToGo,Location,CAR,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,17,17,"Chandler Catanzaro kicks off 32 yards, returned by Tanner Vallejo for no gain",0.000,1.270
3,14:58,1,10,CLE 35,17,17,"Baker Mayfield pass complete short right to Jarvis Landry for -3 yards (tackle by Luke Kuechly). Jarvis Landry fumbles (forced by Luke Kuechly), recovered by Thomas Davis at CLE-32",1.270,-3.450
3,14:52,1,10,CLE 32,17,17,Cam Newton pass complete short middle to Christian McCaffrey for -8 yards (tackle by Myles Garrett),3.450,1.820
3,14:11,2,18,CLE 40,17,17,Cam Newton right end for 5 yards (tackle by Joe Schobert),1.820,1.820
3,13:25,3,13,CLE 35,17,17,Cam Newton pass incomplete short left intended for Devin Funchess,1.820,0.970
3,13:22,4,13,CLE 35,17,17,"Penalty on CAR: Delay of Game, 5 yards (no play)",0.970,0.590
3,13:22,4,18,CLE 40,17,17,"Michael Palardy punts 29 yards, fair catch by Jabrill Peppers at CLE-11",0.590,0.370
3,13:15,1,10,CLE 11,17,17,Nick Chubb left guard for no gain (tackle by Thomas Davis),-0.370,-0.780
3,12:34,2,10,CLE 11,17,17,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,-0.780,-1.420
3,12:27,3,10,CLE 11,17,17,Baker Mayfield sacked by Captain Munnerlyn for -6 yards,-1.420,-2.490
3,11:44,4,16,CLE 5,17,17,"Britton Colquitt punts 49 yards, fair catch by Kenjon Barner at CAR-46",-2.490,-1.990
3,11:37,1,10,CAR 46,17,17,Cam Newton right end for 2 yards (tackle by Joe Schobert and Tanner Vallejo),1.990,1.720
3,11:01,2,8,CAR 48,17,17,Cam Newton pass incomplete short left intended for Jarius Wright (defended by Genard Avery),1.720,1.030
3,10:57,3,8,CAR 48,17,17,Cam Newton pass complete short right to Ian Thomas for 7 yards (tackle by Damarious Randall),1.030,0.270
3,10:41,4,1,CLE 45,17,17,"Cam Newton pass complete short left to Ian Thomas for 9 yards (tackle by Damarious Randall). Penalty on Ian Thomas: Taunting, 15 yards",0.270,2.190
3,10:18,1,10,CAR 49,17,17,"Cam Newton pass short left is intercepted by T.J. Carrie at CLE-41 and returned for -4 yards. Penalty on T.J. Carrie: Defensive Holding, 5 yards (no play)",2.190,2.520
3,10:12,1,10,CLE 46,17,17,Cam Newton pass complete short middle to Ian Thomas for 16 yards (tackle by Damarious Randall),2.520,3.580
3,9:33,1,10,CLE 30,17,17,Christian McCaffrey left guard for 25 yards (tackle by Jamie Collins),3.580,6.060
3,8:58,1,5,CLE 5,17,17,Christian McCaffrey left guard for 2 yards (tackle by Larry Ogunjobi and Myles Garrett),6.060,5.530
3,8:30,2,3,CLE 3,17,17,"Christian McCaffrey left tackle for no gain. Penalty on Taylor Moton: Offensive Holding, 10 yards (no play)",5.530,3.720
3,8:27,2,13,CLE 13,17,17,Cam Newton pass incomplete short left intended for D.J. Moore,3.720,3.060
3,8:22,3,13,CLE 13,17,17,"Cam Newton right end for no gain (tackle by Emmanuel Ogbah). Penalty on Cam Newton: Illegal Motion, 5 yards (no play)",3.060,2.630
3,7:56,3,18,CLE 18,17,17,Christian McCaffrey right guard for 2 yards (tackle by Jamie Collins),2.630,2.380
3,7:15,4,16,CLE 16,20,17,Chandler Catanzaro 34 yard field goal good,2.380,3.000
3,7:11,,,CAR 35,20,17,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
3,7:11,1,10,CLE 25,20,17,"Baker Mayfield pass incomplete deep right intended for Jarvis Landry. Penalty on Kevin Zeitler: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,7:02,1,20,CLE 15,20,17,Baker Mayfield pass complete short left to Antonio Callaway for no gain (tackle by Donte Jackson),-0.410,-1.430
3,6:22,2,20,CLE 15,20,17,"Baker Mayfield pass complete short middle to Jarvis Landry for 16 yards (tackle by Donte Jackson). Penalty on Kevin Zeitler: Offensive Holding, 7 yards (no play)",-1.430,-2.020
3,5:52,2,27,CLE 8,20,17,Baker Mayfield pass complete short left to Dontrell Hilliard for 8 yards (tackle by Donte Jackson),-2.020,-2.140
3,5:03,3,19,CLE 16,20,17,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CLE-8 Baker Mayfield pass complete short right to Dontrell Hilliard for 12 yards (tackle by Captain Munnerlyn)",-2.140,-1.500
3,4:23,4,7,CLE 28,20,17,"Britton Colquitt punts 47 yards, fair catch by Kenjon Barner at CAR-25",-1.500,-0.610
3,4:16,1,10,CAR 25,20,17,Cam Newton pass complete short right to D.J. Moore for 3 yards (tackle by Jabrill Peppers),0.610,0.470
3,3:35,2,7,CAR 28,20,17,Cam Newton sacked by Myles Garrett for -1 yards,0.470,-0.360
3,2:49,3,8,CAR 27,20,17,"Cam Newton pass incomplete short left intended for D.J. Moore. Penalty on T.J. Carrie: Defensive Pass Interference, 10 yards (no play)",-0.360,1.400
3,2:46,1,10,CAR 37,20,17,Cam Newton pass incomplete short left intended for D.J. Moore (defended by T.J. Carrie),1.400,0.860
3,2:43,2,10,CAR 37,20,17,Cam Newton pass complete short right to Ian Thomas for 3 yards (tackle by Genard Avery),0.860,0.560
3,1:56,,,,,,Timeout #1 by Carolina Panthers,,
3,1:55,3,7,CAR 40,20,17,Cam Newton pass incomplete deep right intended for Devin Funchess. Penalty on Chris Clark: Offensive Holding (Declined),0.560,-0.720
3,1:49,4,7,CAR 40,20,17,"Michael Palardy punts 54 yards, returned by Jabrill Peppers for 19 yards (tackle by Shaq Thompson)",-0.720,-0.610
3,1:36,1,10,CLE 25,20,17,Baker Mayfield pass complete short right to Nick Chubb for 7 yards (tackle by James Bradberry),0.610,1.010
3,0:52,2,3,CLE 32,20,17,Baker Mayfield pass incomplete deep right intended for David Njoku,1.010,0.300
3,0:47,3,3,CLE 32,20,17,"Baker Mayfield sacked by Thomas Davis for no gain. Penalty on Captain Munnerlyn: Defensive Holding, 5 yards (no play)",0.300,1.400
3,0:30,1,10,CLE 37,20,17,Nick Chubb right guard for no gain (tackle by Luke Kuechly),1.400,0.860
Quarter,Time,Down,ToGo,Location,CAR,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CLE 37,20,17,Baker Mayfield pass complete short right to Nick Chubb for 8 yards (tackle by Thomas Davis and Efe Obada),0.860,1.220
4,14:13,3,2,CLE 45,20,17,Jarvis Landry right guard for 51 yards (tackle by Luke Kuechly),1.220,6.280
4,13:10,1,4,CAR 4,20,23,"Nick Chubb right guard for 4 yards, touchdown",6.280,7.000
4,13:05,,,CAR 15,20,23,"Penalty on Donte Jackson: Neutral Zone Infraction, 5 yards (no play)",0.000,0.000
4,13:05,,,CAR 10,20,23,Greg Joseph kicks extra point no good hit left upright,0.000,-1.000
4,13:05,,,CLE 35,20,23,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,13:05,1,10,CAR 25,20,23,Cam Newton pass incomplete short left intended for Curtis Samuel,0.610,0.060
4,13:01,2,10,CAR 25,20,23,Cam Newton pass incomplete short middle intended for Ian Thomas,0.060,-0.620
4,12:56,3,10,CAR 25,20,23,Cam Newton pass incomplete deep left intended for Curtis Samuel (defended by T.J. Carrie),-0.620,-1.700
4,12:48,4,10,CAR 25,20,23,"Michael Palardy punts 38 yards, fair catch by Jabrill Peppers at CLE-37",-1.700,-1.400
4,12:41,1,10,CLE 37,20,23,Baker Mayfield pass complete short right to Orson Charles for 9 yards (tackle by Luke Kuechly),1.400,2.070
4,11:55,2,1,CLE 46,20,23,Nick Chubb right guard for 29 yards (tackle by Donte Jackson),2.070,3.910
4,11:07,1,10,CAR 25,20,23,Duke Johnson left tackle for -6 yards (tackle by Thomas Davis and Luke Kuechly),3.910,2.550
4,10:19,2,16,CAR 31,20,23,Baker Mayfield left end for 1 yard (tackle by Thomas Davis),2.550,2.010
4,9:38,3,15,CAR 30,20,23,Baker Mayfield pass complete short middle to David Njoku for 7 yards (tackle by Shaq Thompson),2.010,1.930
4,8:51,4,8,CAR 23,20,26,Greg Joseph 41 yard field goal good,1.930,3.000
4,8:46,,,CLE 35,20,26,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,8:46,1,10,CAR 25,20,26,Christian McCaffrey right guard for 4 yards (tackle by Genard Avery and Larry Ogunjobi),0.610,0.600
4,8:14,2,6,CAR 29,20,26,Cam Newton pass complete short right to Christian McCaffrey for 12 yards (tackle by Joe Schobert),0.600,1.660
4,7:44,1,10,CAR 41,20,26,Cam Newton pass complete short right to Christian McCaffrey for 4 yards (tackle by Terrance Mitchell),1.660,1.660
4,7:12,2,6,CAR 45,20,26,Cam Newton pass complete short right to D.J. Moore for 7 yards (tackle by Terrance Mitchell),1.660,2.390
4,6:37,1,10,CLE 48,20,26,Christian McCaffrey right guard for 1 yard (tackle by Emmanuel Ogbah and Larry Ogunjobi),2.390,1.980
4,5:58,2,9,CLE 47,20,26,Cam Newton pass complete short left to Curtis Samuel for 3 yards (tackle by Briean Boddy-Calhoun),1.980,1.690
4,5:16,3,6,CLE 44,20,26,Cam Newton up the middle for 11 yards (tackle by Briean Boddy-Calhoun),1.690,3.380
4,4:37,1,10,CLE 33,20,26,Cam Newton pass complete deep right to Jarius Wright for 24 yards (tackle by Briean Boddy-Calhoun),3.380,5.140
4,4:07,1,9,CLE 9,20,26,Christian McCaffrey right tackle for 6 yards (tackle by Damarious Randall),5.140,5.530
4,3:25,2,3,CLE 3,20,26,D.J. Moore right tackle for no gain (tackle by Briean Boddy-Calhoun and Genard Avery),5.530,4.720
4,2:42,3,3,CLE 3,20,26,Cam Newton pass incomplete short right intended for Curtis Samuel,4.720,3.040
4,2:39,4,3,CLE 3,20,26,Cam Newton pass incomplete short left intended for Jarius Wright,3.040,0.380
4,2:35,1,10,CLE 3,20,26,Nick Chubb right guard for -1 yards (tackle by Eric Reid),-0.380,-0.850
4,2:31,,,,,,Timeout #2 by Carolina Panthers,,
4,2:31,2,11,CLE 2,20,26,Baker Mayfield pass complete short right to Breshad Perriman for 15 yards (tackle by Donte Jackson),-0.850,-0.060
4,2:24,1,10,CLE 17,20,26,Nick Chubb left tackle for 5 yards (tackle by Donte Jackson),-0.060,0.210
4,2:17,,,,,,Timeout #3 by Carolina Panthers,,
4,2:17,2,5,CLE 22,20,26,Baker Mayfield pass complete short right to Nick Chubb for -1 yards (tackle by Luke Kuechly),0.210,-0.750
4,2:00,3,6,CLE 21,20,26,Baker Mayfield right guard for 3 yards (tackle by Luke Kuechly and Kyle Love),-0.750,-1.770
4,1:15,4,3,CLE 24,20,26,"Britton Colquitt punts 47 yards, returned by Kenjon Barner for 6 yards (tackle by D'Juan Hines and Tavierre Thomas)",-1.770,-1.270
4,1:04,1,10,CAR 35,20,26,Cam Newton pass deep left intended for Devin Funchess is intercepted by Damarious Randall at CLE-45 and returned for 7 yards,1.270,-2.390
4,0:57,1,10,CAR 48,20,26,Baker Mayfield kneels for -1 yards,2.390,1.710
4,0:31,2,11,CAR 49,20,26,Baker Mayfield kneels for -1 yards,1.710,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
