Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
2,2:05,1,10,BAL 29,7,17,Willis McGahee left end for 4 yards (tackle by Justin Durant and Mike Peterson),0.870,0.870
2,1:59,2,6,BAL 33,7,17,Joe Flacco pass complete short left to Todd Heap for 5 yards (tackle by Justin Durant),0.870,0.830
2,1:28,3,1,BAL 38,7,17,Willis McGahee left guard for 6 yards (tackle by Mike Peterson),0.830,1.860
2,1:04,1,10,BAL 44,7,17,Joe Flacco pass complete short left to Todd Heap for 8 yards (tackle by Mike Peterson),1.860,2.400
2,0:56,2,2,JAX 48,7,17,Joe Flacco pass complete deep right to Mark Clayton for 47 yards (tackle by Brian Witherspoon). Penalty on Brian Witherspoon: Defensive Pass Interference (Declined),2.400,6.970
2,0:49,1,1,JAX 1,7,23,"Le'Ron McClain left tackle for 1 yard, touchdown",6.970,7.000
2,,,,JAX 2,7,24,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,7,24,"Steven Hauschka kicks off 73 yards, returned by Brian Witherspoon for 27 yards (tackle by Marcus Smith)",0.000,-0.540
2,0:44,1,10,JAX 24,7,24,Maurice Jones-Drew left tackle for 3 yards (tackle by Haloti Ngata),0.540,0.400
2,0:02,2,7,JAX 27,7,24,Maurice Jones-Drew left tackle for -3 yards (tackle by Bart Scott),0.400,-0.690
Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,,7,24,"Penalty on Haloti Ngata: Unnecessary Roughness, 15 yards",0.000,0.000
3,,,,BAL 15,7,24,"Steven Hauschka kicks off 73 yards, returned by Brian Witherspoon for 26 yards (tackle by Edgar Jones)",0.000,-1.470
3,15:00,1,10,JAX 38,7,24,David Garrard pass incomplete deep left intended for Troy Williamson (defended by Frank Walker),1.470,0.920
3,14:45,2,10,JAX 38,7,24,Maurice Jones-Drew right guard for 6 yards (tackle by Ray Lewis),0.920,1.020
3,14:03,3,4,JAX 44,7,24,David Garrard pass complete short right to Reggie Williams for 6 yards (tackle by Frank Walker),1.020,2.260
3,13:26,1,10,JAX 50,7,24,Maurice Jones-Drew right guard for 3 yards (tackle by Ray Lewis and Bart Scott),2.260,2.120
3,12:41,2,7,BAL 47,7,24,David Garrard pass complete short middle to Dennis Northcutt for 6 yards (tackle by Frank Walker),2.120,2.210
3,11:58,3,1,BAL 41,7,24,David Garrard up the middle for 2 yards (tackle by Brandon McKinney and Ray Lewis),2.210,2.980
3,11:17,1,10,BAL 39,7,24,Maurice Jones-Drew left tackle for 3 yards (tackle by Brandon McKinney and Marques Douglas),2.980,2.850
3,10:30,2,7,BAL 36,7,24,Maurice Jones-Drew left end for -2 yards (tackle by Terrell Suggs),2.850,1.880
3,9:49,3,9,BAL 38,7,24,David Garrard up the middle for 12 yards (tackle by Jameel McClain),1.880,3.840
3,9:07,1,10,BAL 26,7,24,"Maurice Jones-Drew right guard for 1 yard (tackle by Ray Lewis). Maurice Jones-Drew fumbles (forced by Ray Lewis), recovered by Maurice Jones-Drew at BAL-25",3.840,3.430
3,8:34,2,9,BAL 25,7,24,David Garrard pass complete short left to Dennis Northcutt for 6 yards (tackle by Ed Reed),3.430,3.570
3,8:08,3,3,BAL 19,7,24,Maurice Jones-Drew left end for -1 yards (tackle by Terrell Suggs),3.570,2.200
3,7:30,4,4,BAL 20,7,24,David Garrard pass incomplete short left intended for Dennis Northcutt (defended by Corey Ivy),2.200,-0.280
3,7:20,1,10,BAL 20,7,24,Le'Ron McClain right tackle for 5 yards (tackle by Mike Peterson and Derek Landri),0.280,0.410
3,6:45,2,5,BAL 25,7,24,Le'Ron McClain right guard for 3 yards (tackle by Rob Meier),0.410,0.100
3,6:10,3,2,BAL 28,7,24,Le'Ron McClain up the middle for 7 yards (tackle by Drayton Florence and Justin Durant),0.100,1.270
3,5:33,1,10,BAL 35,7,24,Joe Flacco pass complete short left to Troy Smith for 36 yards (tackle by Clint Ingram),1.270,3.640
3,4:50,1,10,JAX 29,7,24,Le'Ron McClain right tackle for 6 yards (tackle by Jeremy Mincey and Clint Ingram),3.640,3.910
3,4:12,2,4,JAX 23,7,24,Willis McGahee left guard for 1 yard (tackle by Clint Ingram),3.910,3.340
3,3:36,3,3,JAX 22,7,24,Joe Flacco pass incomplete short middle intended for Willis McGahee,3.340,2.090
3,3:30,4,3,JAX 22,7,27,Matt Stover 41 yard field goal good,2.090,3.000
3,,,,BAL 30,7,27,"Steven Hauschka kicks off 72 yards, returned by Brian Witherspoon for 10 yards (tackle by Marcus Smith)",0.000,0.380
3,3:26,1,10,JAX 8,7,27,"David Garrard pass complete short right to Dennis Northcutt for 11 yards (tackle by Frank Walker). Penalty on JAX: Illegal Formation, 4 yards (no play)",-0.380,-0.530
3,3:26,1,14,JAX 4,7,27,"Penalty on Tony Pashos: False Start, 2 yards (no play)",-0.530,-0.610
3,2:49,1,16,JAX 2,7,27,"Penalty on David Garrard: Delay of Game, 1 yards (no play)",-0.610,-0.650
3,2:29,1,17,JAX 1,7,27,Maurice Jones-Drew left guard for 2 yards (tackle by Brandon McKinney),-0.650,-1.150
3,1:46,2,15,JAX 3,7,27,"David Garrard pass incomplete short left intended for George Wrighster. Penalty on Marcedes Lewis: False Start, 1 yards (no play)",-1.150,-1.220
3,1:25,2,16,JAX 2,7,27,Maurice Jones-Drew left guard for no gain (tackle by Terrell Suggs),-1.220,-2.120
3,0:41,3,16,JAX 2,7,27,David Garrard pass complete short right to Marcedes Lewis for no gain,-2.120,-2.490
3,0:04,,,,7,27,Timeout #1 by Baltimore Ravens,0.000,-2.490
3,0:04,4,16,JAX 2,7,27,Steve Weatherford punts 37 yards,-2.490,-2.980
Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 39,7,27,Joe Flacco pass incomplete deep middle intended for Mark Clayton (defended by Brian Williams),2.980,2.440
4,14:54,2,10,JAX 39,7,27,Le'Ron McClain right guard for 2 yards (tackle by Mike Peterson),2.440,2.020
4,14:15,3,8,JAX 37,7,27,Joe Flacco pass incomplete short middle intended for Derrick Mason (defended by Pierson Prioleau),2.020,0.790
4,14:11,4,8,JAX 37,7,27,Sam Koch punts 32 yards,0.790,0.380
4,14:01,1,10,JAX 5,7,27,David Garrard pass incomplete deep right intended for Reggie Williams,-0.380,-0.780
4,13:56,2,10,JAX 5,7,27,Maurice Jones-Drew right tackle for 5 yards (tackle by Ray Lewis and Bart Scott),-0.780,-0.840
4,13:12,3,5,JAX 10,7,27,David Garrard pass incomplete short right intended for Reggie Williams,-0.840,-2.490
4,13:05,4,5,JAX 10,7,27,"Steve Weatherford punts 42 yards, fair catch by Jim Leonhard",-2.490,-2.130
4,12:57,1,10,BAL 48,7,27,Le'Ron McClain left guard for 2 yards (tackle by Jeremy Mincey),2.130,1.850
4,12:20,2,8,JAX 50,7,27,(tackle by Reggie Nelson),1.850,1.550
4,11:43,3,5,JAX 47,7,27,Joe Flacco pass complete short left to Derrick Mason for 3 yards (tackle by Pierson Prioleau). Penalty on Marcus Smith: Offensive Holding (Declined),1.550,0.330
4,11:20,4,2,JAX 44,7,27,"Sam Koch punts 44 yards, touchback. Penalty on JAX: Defensive 12 On-field, 5 yards (no play)",0.330,2.980
4,11:12,1,10,JAX 39,7,27,Lorenzo Neal left guard for no gain (tackle by Mike Peterson and Derrick Harvey),2.980,2.440
4,10:34,2,10,JAX 39,7,27,Joe Flacco sacked by Derrick Harvey for -9 yards,2.440,0.560
4,9:49,3,19,JAX 48,7,27,Joe Flacco pass complete short middle to Willis McGahee for 12 yards (tackle by Pierson Prioleau),0.560,0.880
4,8:59,4,7,JAX 36,7,27,"Penalty on Sam Koch: Delay of Game, 5 yards (no play)",0.880,0.530
4,8:45,4,12,JAX 41,7,27,"Sam Koch punts 41 yards, touchback",0.530,-0.280
4,8:26,1,10,JAX 20,7,27,David Garrard pass complete short right to Dennis Northcutt for 9 yards (tackle by Frank Walker),0.280,0.950
4,7:50,2,1,JAX 29,7,27,Maurice Jones-Drew up the middle for no gain (tackle by Jim Leonhard and Terrell Suggs),0.950,0.230
4,7:07,3,1,JAX 29,7,27,David Garrard pass complete short left to Greg Estandia for 9 yards (tackle by Jim Leonhard),0.230,1.470
