Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
3,10:06,3,4,GNB 39,16,14,Aaron Rodgers pass complete short right to Robert Tonyan for 8 yards (tackle by Logan Wilson),,
3,9:20,1,10,GNB 47,16,14,AJ Dillon left end for 7 yards (tackle by Logan Wilson and B.J. Hill),,
3,8:40,2,3,CIN 46,16,14,AJ Dillon left guard for 17 yards (tackle by Jessie Bates),,
3,7:58,1,10,CIN 29,16,14,AJ Dillon right guard for -1 yards (tackle by Vonn Bell),,
3,7:14,2,11,CIN 30,16,14,Aaron Rodgers pass complete short left to Aaron Jones for 2 yards (tackle by Mike Hilton and Josh Tupou),,
3,6:28,3,9,CIN 28,16,14,Aaron Rodgers pass complete short left to Davante Adams for 2 yards (tackle by Jessie Bates),,
3,5:47,4,7,CIN 26,19,14,Mason Crosby 44 yard field goal good,,
3,5:45,,,GNB 35,19,14,"Mason Crosby kicks off 65 yards, touchback.",,
3,5:45,1,10,CIN 25,19,14,Joe Mixon left end for no gain (tackle by Rashan Gary),,
3,4:54,2,10,CIN 25,19,14,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards (tackle by Eric Stokes),,
3,4:50,1,10,CIN 39,19,14,Samaje Perine right guard for 6 yards (tackle by Darnell Savage),,
3,4:14,2,4,CIN 45,19,14,Joe Burrow pass incomplete short right intended for Samaje Perine,,
3,4:00,3,4,CIN 45,19,14,Joe Burrow pass complete to Tyler Boyd for 5 yards (tackle by Darnell Savage),,
3,3:21,1,10,CIN 50,19,14,Joe Mixon right tackle for 5 yards (tackle by Kingsley Keke and Krys Barnes),,
3,2:43,2,5,GNB 45,19,14,Samaje Perine left tackle for 7 yards (tackle by Oren Burks and Tyler Lancaster),,
3,1:53,1,10,GNB 38,19,14,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,,
3,1:47,2,10,GNB 38,19,14,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Isaac Yiadom),,
3,1:04,3,2,GNB 30,19,14,Joe Burrow pass incomplete short right intended for Tee Higgins,,
3,1:02,4,2,GNB 30,19,14,"Joe Burrow scrambles for no gain (tackle by De'Vondre Campbell). Penalty on Quinton Spain: Offensive Holding, 10 yards (accepted) (no play)",,
3,0:15,4,12,GNB 40,19,14,"Penalty on CIN: Delay of Game, 5 yards (declined) (no play)",,
3,0:15,4,12,GNB 40,19,14,Kevin Huber punts 25 yards downed by Clark Harris,,
3,0:08,1,10,GNB 15,19,14,Aaron Jones right tackle for 5 yards (tackle by Akeem Davis-Gaither),,
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,GNB 20,19,14,Aaron Jones right end for 4 yards (tackle by Germaine Pratt),,
4,14:17,3,1,GNB 24,19,14,"AJ Dillon for no gain (tackle by B.J. Hill). Penalty on D.J. Reader: Tripping / Defense, 11 yards (accepted) (no play)",,
4,13:43,1,10,GNB 35,19,14,Aaron Rodgers pass complete deep middle to Davante Adams for 59 yards (tackle by Jessie Bates),,
4,13:11,1,6,CIN 6,19,14,AJ Dillon up the middle for 1 yard (tackle by D.J. Reader),,
4,12:17,,,,,,Timeout #1 by Green Bay Packers,,
4,12:17,2,5,CIN 5,19,14,AJ Dillon up the middle for 1 yard (tackle by B.J. Hill),,
4,11:31,3,4,CIN 4,19,14,Aaron Rodgers pass incomplete short left intended for Randall Cobb (defended by Mike Hilton),,
4,11:26,4,4,CIN 4,22,14,Mason Crosby 22 yard field goal good,,
4,11:20,,,GNB 35,22,14,"Mason Crosby kicks off 68 yards, returned by Brandon Wilson for 28 yards (tackle by Malik Taylor and Shemar Jean-Charles)",,
4,11:12,1,10,CIN 25,22,14,Samaje Perine left end for 11 yards (tackle by Adrian Amos),,
4,10:43,1,10,CIN 36,22,14,Joe Burrow pass complete short left to Drew Sample for 3 yards (tackle by De'Vondre Campbell and Krys Barnes),,
4,10:01,2,7,CIN 39,22,14,Samaje Perine right guard for 1 yard (tackle by De'Vondre Campbell),,
4,9:18,3,6,CIN 40,22,14,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Kevin King),,
4,8:35,1,10,CIN 50,22,14,Joe Burrow pass complete to Tyler Boyd for 2 yards (tackle by Kevin King),,
4,7:57,2,8,GNB 48,22,14,Joe Burrow pass complete short middle to Chris Evans for 7 yards (tackle by Adrian Amos),,
4,7:17,3,1,GNB 41,22,14,Samaje Perine up the middle for -1 yards (tackle by Kenny Clark),,
4,6:25,4,2,GNB 42,22,14,Joe Burrow up the middle for 2 yards (tackle by Preston Smith and Rashan Gary),,
4,5:44,1,10,GNB 40,22,14,Joe Mixon left tackle for 4 yards (tackle by Krys Barnes),,
4,5:04,2,6,GNB 36,22,14,Joe Burrow pass incomplete short middle intended for Drew Sample,,
4,5:01,3,6,GNB 36,22,14,Joe Burrow pass complete deep left to Ja'Marr Chase for 19 yards (tackle by Eric Stokes),,
4,4:16,1,10,GNB 17,22,14,Samaje Perine left guard for 9 yards (tackle by De'Vondre Campbell and Tyler Lancaster),,
4,3:34,2,1,GNB 8,22,20,"Joe Mixon right guard for 8 yards, touchdown",,
4,3:27,,,GNB 2,22,22,Two Point Attempt: Joe Burrow pass complete to to Tee Higgins for no gain,,
4,3:27,,,CIN 35,22,22,"Evan McPherson kicks off 65 yards, touchback.",,
4,3:27,1,10,GNB 25,22,22,Aaron Jones left guard for 57 yards (tackle by Vonn Bell),,
4,2:35,1,10,CIN 18,22,22,AJ Dillon up the middle for no gain (tackle by Trey Hendrickson and D.J. Reader),,
4,2:28,,,,,,Timeout #1 by Cincinnati Bengals,,
4,2:28,2,10,CIN 18,22,22,Aaron Rodgers pass incomplete short right,,
4,2:20,,,,,,Timeout #2 by Green Bay Packers,,
4,2:20,3,10,CIN 18,22,22,Aaron Rodgers pass incomplete deep right intended for Davante Adams,,
4,2:14,4,10,CIN 18,22,22,Mason Crosby 36 yard field goal no good,,
4,2:12,1,10,CIN 26,22,22,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by De'Vondre Campbell),,
4,2:00,2,1,CIN 35,22,22,Samaje Perine up the middle for 2 yards (tackle by Rashan Gary and Adrian Amos),,
4,1:34,1,10,CIN 37,22,22,Joe Burrow pass complete short middle to Chris Evans for 8 yards (tackle by Chandon Sullivan),,
4,1:12,2,2,CIN 45,22,22,Joe Burrow pass incomplete short right intended for Tee Higgins,,
4,1:07,3,2,CIN 45,22,22,Joe Burrow pass complete short middle to Tyler Boyd for 8 yards (tackle by Adrian Amos),,
4,0:41,1,10,GNB 47,22,22,Joe Burrow pass incomplete short left,,
4,0:37,2,10,GNB 47,22,22,Joe Burrow pass complete short left to Samaje Perine for 5 yards (tackle by Darnell Savage),,
4,0:31,3,5,GNB 42,22,22,Samaje Perine left guard for 3 yards (tackle by Kingsley Keke and Kenny Clark),,
4,0:26,,,,,,Timeout #3 by Green Bay Packers,,
4,0:26,4,2,GNB 39,22,22,Evan McPherson 57 yard field goal no good,,
4,0:21,1,10,GNB 47,22,22,Aaron Rodgers pass complete short middle to Davante Adams for 20 yards (tackle by Chidobe Awuzie),,
4,0:03,1,10,CIN 33,22,22,Aaron Rodgers spiked the ball,,
4,0:01,2,10,CIN 33,22,22,Mason Crosby 51 yard field goal no good,,
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,
OT,10:00,,,GNB 35,22,22,"Mason Crosby kicks off 66 yards, returned by Brandon Wilson for 26 yards (tackle by Chandon Sullivan)",,
OT,9:55,1,10,CIN 25,22,22,Joe Burrow pass short middle intended for Tyler Boyd is intercepted by De'Vondre Campbell at CIN-30 and returned for 13 yards (tackle by Joe Burrow),,
OT,9:47,1,10,CIN 17,22,22,Aaron Jones up the middle for -1 yards (tackle by Vonn Bell and Josh Tupou),,
OT,8:59,2,11,CIN 18,22,22,Aaron Jones right guard for -4 yards (tackle by Vonn Bell),,
OT,8:15,,,,,,Timeout #1 by Cincinnati Bengals,,
OT,8:15,3,15,CIN 22,22,22,Mason Crosby 40 yard field goal no good,,
OT,8:08,1,10,CIN 30,22,22,Joe Mixon up the middle for -2 yards (tackle by De'Vondre Campbell and Preston Smith),,
OT,7:29,2,12,CIN 28,22,22,Samaje Perine up the middle for 10 yards (tackle by Adrian Amos),,
OT,6:41,3,2,CIN 38,22,22,Joe Burrow pass complete deep right to Ja'Marr Chase for 21 yards,,
OT,6:30,1,10,GNB 41,22,22,Joe Mixon right end for 4 yards (tackle by Kenny Clark and Dean Lowry),,
OT,5:57,2,6,GNB 37,22,22,Joe Mixon right guard for 4 yards (tackle by Preston Smith and Henry Black),,
OT,5:02,3,2,GNB 33,22,22,Joe Mixon left tackle for 1 yard (tackle by Krys Barnes and De'Vondre Campbell),,
OT,4:21,4,1,GNB 32,22,22,Evan McPherson 49 yard field goal no good,,
OT,4:14,1,10,GNB 39,22,22,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Chidobe Awuzie),,
OT,4:10,2,10,GNB 39,22,22,Aaron Rodgers pass complete short right to Marcedes Lewis for 20 yards (tackle by Vonn Bell),,
OT,3:56,1,10,CIN 41,22,22,Aaron Jones right tackle for -1 yards (tackle by Germaine Pratt),,
OT,3:21,2,11,CIN 42,22,22,Aaron Rodgers sacked by Trey Hendrickson for -5 yards,,
OT,2:33,,,,,,Timeout #1 by Green Bay Packers,,
OT,2:33,3,16,CIN 47,22,22,"Aaron Rodgers pass complete deep middle to Randall Cobb for 16 yards (tackle by Jessie Bates) Replay Assistant challenged the first down ruling, and the original play was overturned. Aaron Rodgers pass complete deep middle to Randall Cobb for 15 yards (tackle by Jessie Bates)",,
OT,2:00,4,1,CIN 32,25,22,Mason Crosby 49 yard field goal good,,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
