Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
3,14:15,2,5,BAL 33,7,6,Joe Flacco pass incomplete short middle intended for Todd Heap (defended by David Harris),0.940,0.230
3,14:10,3,5,BAL 33,7,6,Joe Flacco pass complete short left to Todd Heap for 6 yards (tackle by Eric Smith),0.230,1.530
3,13:33,1,10,BAL 39,7,6,Ray Rice middle for 3 yards (tackle by Mike DeVito),1.530,1.390
3,12:53,2,7,BAL 42,7,6,Joe Flacco pass incomplete deep right intended for Derrick Mason,1.390,0.700
3,12:45,3,7,BAL 42,7,6,Joe Flacco pass incomplete short left intended for Ray Rice (defended by Bryan Thomas),0.700,-0.590
3,12:38,4,7,BAL 42,7,6,"Sam Koch punts 35 yards, returned by Kyle Wilson for 8 yards (tackle by David Reed)",-0.590,-1.000
3,12:29,1,10,NYJ 31,7,6,Mark Sanchez pass complete short left to LaDainian Tomlinson for 7 yards (tackle by Jameel McClain),1.000,1.410
3,12:00,2,3,NYJ 38,7,6,Mark Sanchez pass incomplete short right intended for LaDainian Tomlinson,1.410,0.700
3,11:55,3,3,NYJ 38,7,6,Mark Sanchez pass incomplete deep right intended for Jerricho Cotchery,0.700,-0.850
3,11:48,4,3,NYJ 38,7,6,"Steve Weatherford punts 47 yards, returned by Tom Zbikowski for 9 yards (tackle by James Ihedigbo). Penalty on Josh Wilson: Offensive Holding, 7 yards",-0.850,0.380
3,11:37,1,10,BAL 8,7,6,Ray Rice left tackle for 3 yards (tackle by Eric Smith),-0.380,-0.560
3,11:04,2,7,BAL 11,7,6,Joe Flacco pass incomplete short left intended for Anquan Boldin. Penalty on Marshal Yanda: Illegal Use of Hands (Declined),-0.560,-1.070
3,10:57,,,,7,6,Timeout #1 by Baltimore Ravens,0.000,-1.070
3,10:57,3,7,BAL 11,7,6,Joe Flacco pass complete deep right to Anquan Boldin for 38 yards (tackle by Jim Leonhard),-1.070,2.190
3,10:11,1,10,BAL 49,7,6,Ray Rice right guard for 4 yards (tackle by Bryan Thomas and David Harris),2.190,2.190
3,9:29,2,6,NYJ 47,7,6,"Ray Rice right guard for 3 yards (tackle by Bryan Thomas and Bart Scott). Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",2.190,2.860
3,9:08,2,1,NYJ 42,7,6,Joe Flacco pass complete deep left to Anquan Boldin for 27 yards (tackle by Kyle Wilson),2.860,4.580
3,8:27,1,10,NYJ 15,7,6,Ray Rice left tackle for 5 yards (tackle by Shaun Ellis),4.580,4.840
3,7:58,2,5,NYJ 10,7,6,Joe Flacco pass complete short left to Ray Rice for 3 yards (tackle by Eric Smith),4.840,4.680
3,7:15,3,2,NYJ 7,7,6,Joe Flacco pass incomplete short left intended for Ray Rice,4.680,3.000
3,7:11,4,2,NYJ 7,10,6,Billy Cundiff 25 yard field goal good,3.000,3.000
3,,,,BAL 30,10,6,"Billy Cundiff kicks off 70 yards, returned by Brad Smith for 32 yards (tackle by Edgar Jones)",0.000,1.070
3,7:00,1,10,NYJ 32,10,6,LaDainian Tomlinson left guard for 5 yards (tackle by Terrell Suggs and Jameel McClain),1.070,1.200
3,6:25,2,5,NYJ 37,10,6,LaDainian Tomlinson left tackle for 3 yards (tackle by Haloti Ngata),1.200,0.890
3,5:45,3,2,NYJ 40,10,6,LaDainian Tomlinson right guard for -1 yards (tackle by Chris Carr),0.890,-0.780
3,5:01,4,3,NYJ 39,10,6,"Steve Weatherford punts 56 yards, returned by Tom Zbikowski for -4 yards (tackle by James Ihedigbo)",-0.780,0.380
3,4:47,1,10,BAL 1,10,6,Joe Flacco middle for 1 yard (tackle by Sione Pouha),-0.380,-0.710
3,4:09,2,9,BAL 2,10,6,Willis McGahee left guard for -1 yards (tackle by Jim Leonhard and Bryan Thomas),-0.710,-1.420
3,3:30,3,10,BAL 1,10,6,"Joe Flacco pass incomplete deep left intended for Anquan Boldin. Penalty on Antonio Cromartie: Defensive Holding, 5 yards (no play)",-1.420,-0.380
3,3:22,1,10,BAL 6,10,6,Willis McGahee right tackle for no gain (tackle by Bryan Thomas and Bart Scott),-0.380,-0.780
3,2:41,2,10,BAL 6,10,6,Joe Flacco pass complete short left to Anquan Boldin for 7 yards,-0.780,-0.600
3,2:13,3,3,BAL 13,10,6,Joe Flacco pass incomplete deep right intended for Derrick Mason,-0.600,-2.490
3,2:07,4,3,BAL 13,10,6,"Sam Koch punts 47 yards, returned by Kyle Wilson for no gain. Kyle Wilson fumbles, recovered by Kyle Wilson at NYJ-40",-2.490,-1.600
3,1:55,1,10,NYJ 40,10,6,Brad Smith left guard for 22 yards (tackle by Tom Zbikowski and Dawan Landry),1.600,3.050
3,1:15,1,10,BAL 38,10,6,LaDainian Tomlinson right guard for 1 yard (tackle by Jarret Johnson and Terrell Suggs),3.050,2.640
3,0:06,2,9,BAL 37,10,6,"Mark Sanchez left guard for 2 yards (tackle by Trevor Pryce). Penalty on D'Brickashaw Ferguson: Offensive Holding, 10 yards (no play)",2.640,1.290
3,0:06,2,19,BAL 47,10,6,Mark Sanchez pass complete short right to Jerricho Cotchery for 13 yards (tackle by Dawan Landry),1.290,2.340
Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,BAL 34,10,6,Mark Sanchez sacked by Jarret Johnson and Terrell Suggs for -6 yards,2.340,0.590
4,14:31,4,12,BAL 40,10,6,Steve Weatherford punts 38 yards,0.590,0.380
4,14:19,1,10,BAL 2,10,6,"Penalty on Todd Heap: False Start, 1 yards (no play)",-0.380,-0.420
4,14:19,1,11,BAL 1,10,6,Joe Flacco middle for 1 yard (tackle by Shaun Ellis and David Harris),-0.420,-0.780
4,13:36,2,10,BAL 2,10,6,Le'Ron McClain left guard for -1 yards (tackle by Shaun Ellis and Mike DeVito),-0.780,-1.540
4,12:53,3,11,BAL 1,10,6,Le'Ron McClain left guard for 2 yards (tackle by Sione Pouha and Jason Taylor),-1.540,-2.490
4,12:13,4,9,BAL 3,10,6,"Sam Koch punts 54 yards, returned by Jim Leonhard for 22 yards (tackle by Haruki Nakamura)",-2.490,-3.250
4,11:59,1,10,BAL 35,10,6,LaDainian Tomlinson right guard for 1 yard (tackle by Tom Zbikowski),3.250,2.840
4,11:24,2,9,BAL 34,10,6,Mark Sanchez pass complete short right to Tony Richardson for 4 yards (tackle by Ray Lewis),2.840,2.680
4,10:39,3,5,BAL 30,10,6,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery,2.680,1.450
4,10:34,4,5,BAL 30,10,9,Nick Folk 48 yard field goal good,1.450,3.000
4,,,,NYJ 30,10,9,"Nick Folk kicks off 59 yards, returned by Jalen Parmele for 16 yards (tackle by Danny Woodhead)",0.000,0.740
4,10:24,1,10,BAL 27,10,9,Joe Flacco pass incomplete short left intended for Todd Heap. Penalty on Le'Ron McClain: Illegal Shift (Declined),0.740,0.200
4,10:19,2,10,BAL 27,10,9,Joe Flacco pass incomplete deep right intended for Todd Heap,0.200,-0.490
4,10:13,3,10,BAL 27,10,9,Joe Flacco pass complete short right to Anquan Boldin for 13 yards,-0.490,1.600
4,9:39,1,10,BAL 40,10,9,Ray Rice right guard for 4 yards (tackle by Bart Scott),1.600,1.590
4,8:55,2,6,BAL 44,10,9,Joe Flacco pass complete short right to Anquan Boldin for 4 yards (tackle by Kyle Wilson),1.590,1.420
4,8:24,3,2,BAL 48,10,9,Joe Flacco pass complete short right to Todd Heap for 5 yards (tackle by Eric Smith),1.420,2.460
4,7:42,1,10,NYJ 47,10,9,Ray Rice left end for 5 yards (tackle by Sione Pouha),2.460,2.590
4,7:02,2,5,NYJ 42,10,9,Ray Rice left tackle for no gain (tackle by Bryan Thomas and Shaun Ellis),2.590,1.880
4,6:24,3,5,NYJ 42,10,9,Joe Flacco pass incomplete short left intended for Derrick Mason (defended by David Harris),1.880,0.460
4,6:21,4,5,NYJ 42,10,9,"Sam Koch punts 34 yards, fair catch by Jim Leonhard",0.460,0.380
4,6:13,1,10,NYJ 8,10,9,LaDainian Tomlinson right guard for 18 yards (tackle by Ray Lewis and Dawan Landry),-0.380,0.670
4,5:31,1,10,NYJ 26,10,9,LaDainian Tomlinson right guard for 6 yards (tackle by Jameel McClain and Tom Zbikowski),0.670,0.940
4,4:51,2,4,NYJ 32,10,9,Mark Sanchez pass incomplete short right intended for Shonn Greene,0.940,0.230
4,4:47,3,4,NYJ 32,10,9,Mark Sanchez sacked by Haloti Ngata for -8 yards,0.230,-1.770
4,4:36,4,12,NYJ 24,10,9,"Steve Weatherford punts 49 yards, returned by Tom Zbikowski for -1 yards (tackle by Drew Coleman)",-1.770,-0.670
4,4:27,1,10,BAL 26,10,9,Joe Flacco pass complete deep left to Todd Heap for 35 yards (tackle by Eric Smith),0.670,2.980
4,3:41,1,10,NYJ 39,10,9,Ray Rice left tackle for 7 yards (tackle by Matt Kroul),2.980,3.390
4,2:56,2,3,NYJ 32,10,9,Le'Ron McClain left guard for 2 yards (tackle by Jason Taylor),3.390,2.940
4,2:15,3,1,NYJ 30,10,9,Joe Flacco right guard for 1 yard (tackle by Bart Scott and Jason Taylor),2.940,3.640
4,2:00,1,10,NYJ 29,10,9,Ray Rice left guard for -2 yards (tackle by Bryan Thomas and Mike DeVito),3.640,2.830
4,1:55,,,,10,9,Timeout #1 by New York Jets,0.000,2.830
4,1:55,2,12,NYJ 31,10,9,Ray Rice left end for -5 yards (tackle by Jason Taylor),2.830,1.490
4,1:50,,,,10,9,Timeout #2 by New York Jets,0.000,1.490
4,1:50,3,17,NYJ 36,10,9,Joe Flacco pass incomplete short right intended for Ed Dickson,1.490,0.880
4,1:44,4,17,NYJ 36,10,9,"Sam Koch punts 18 yards, fair catch by Jim Leonhard",0.880,-0.040
4,1:37,1,10,NYJ 18,10,9,"Penalty on Damien Woody: False Start, 5 yards (no play)",0.040,-0.450
4,1:37,1,15,NYJ 13,10,9,Mark Sanchez pass complete short middle to LaDainian Tomlinson for 9 yards (tackle by Tavares Gooden),-0.450,0.140
4,1:09,2,6,NYJ 22,10,9,Mark Sanchez pass incomplete short left intended for Dustin Keller,0.140,-0.660
4,1:03,3,6,NYJ 22,10,9,Mark Sanchez pass complete short left to Braylon Edwards for 9 yards (tackle by Fabian Washington),-0.660,1.000
4,0:57,,,,10,9,Timeout #3 by New York Jets,0.000,1.000
4,0:57,1,10,NYJ 31,10,9,Mark Sanchez pass incomplete short middle intended for LaDainian Tomlinson,1.000,0.460
4,0:52,2,10,NYJ 31,10,9,Mark Sanchez pass incomplete short middle intended for Dustin Keller,0.460,-0.230
4,0:47,3,10,NYJ 31,10,9,Mark Sanchez pass incomplete short left intended for Jerricho Cotchery (defended by Cory Redding),-0.230,-1.310
4,0:41,4,10,NYJ 31,10,9,Mark Sanchez pass complete short right to Dustin Keller for 9 yards,-1.310,-2.920
4,0:36,1,10,NYJ 40,10,9,Joe Flacco kneels for -1 yards,2.920,2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
