Quarter,Time,Down,ToGo,Location,BUF,OAK,Detail,EPB,EPA
4,4:25,1,10,OAK 28,24,38,Tyrod Taylor pass incomplete deep right intended for Sammy Watkins,3.710,3.170
4,4:20,2,10,OAK 28,24,38,Tyrod Taylor pass incomplete short right intended for Justin Hunter,3.170,2.480
4,4:11,3,10,OAK 28,24,38,"Penalty on Brandon Tate: False Start, 5 yards (no play)",2.480,1.820
4,4:11,3,15,OAK 33,24,38,Tyrod Taylor pass complete short left to LeSean McCoy for 16 yards (tackle by Reggie Nelson and Bruce Irvin),1.820,4.440
4,3:29,1,10,OAK 17,24,38,"Tyrod Taylor sacked by Khalil Mack for -5 yards. Tyrod Taylor fumbles (forced by Khalil Mack), recovered by Khalil Mack at OAK-22 and returned for 1 yards (tackle by Cordy Glenn)",4.440,-0.480
4,3:20,1,10,OAK 23,24,38,Latavius Murray right tackle for 2 yards (tackle by Marcell Dareus and Shaq Lawson),0.480,0.200
4,2:36,2,8,OAK 25,24,38,Latavius Murray middle for 4 yards (tackle by Kyle Williams),0.200,0.000
4,2:31,,,,24,38,Timeout #2 by Buffalo Bills,0.000,-0.040
4,2:31,3,4,OAK 29,24,38,Latavius Murray middle for 3 yards (tackle by James Ihedigbo and Preston Brown),0.040,-1.240
4,2:27,4,1,OAK 32,24,38,"Marquette King punts 68 yards, touchback. Penalty on Corey White: Roughing the Kicker, 15 yards, Penalty on Marquette King: Unsportsmanlike Conduct, 15 yards (no play)",-1.240,0.000
4,2:27,,,,24,38,Timeout #3 by Buffalo Bills,0.000,-1.070
4,2:18,1,25,OAK 32,24,38,Latavius Murray right tackle for 2 yards (tackle by Deandre Coleman and Zach Brown),1.070,-0.240
4,2:00,2,23,OAK 34,24,38,Latavius Murray right guard for 2 yards (tackle by Kyle Williams and Brandon Spikes),-0.240,-0.620
4,1:14,3,21,OAK 36,24,38,Latavius Murray middle for 3 yards (tackle by Corey Graham),-0.620,0.000
4,0:28,,,,24,38,Timeout #3 by Oakland Raiders,0.000,0.780
4,0:28,4,18,OAK 39,24,38,Marquette King punts 32 yards,-0.780,-0.870
4,0:18,1,10,BUF 29,24,38,Tyrod Taylor pass incomplete short left intended for Dezmin Lewis,0.870,0.330
4,0:10,2,10,BUF 29,24,38,Tyrod Taylor pass incomplete short middle intended for Justin Hunter,0.330,-0.360
4,0:06,3,10,BUF 29,24,38,Tyrod Taylor pass complete short left to LeSean McCoy for 14 yards (tackle by Bruce Irvin),-0.360,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
