Quarter,Time,Down,ToGo,Location,TEN,PIT,Detail,EPB,EPA
3,12:57,2,6,TEN 30,7,20,Willie Parker right guard for 5 yards (tackle by Brad Kassell),3.310,3.270
3,12:12,3,1,TEN 25,7,20,Ben Roethlisberger pass complete to Cedrick Wilson for 14 yards (tackle by Tony Beckham),3.270,4.840
3,11:42,1,10,TEN 11,7,26,"Willie Parker up the middle for 11 yards, touchdown",4.840,7.000
3,,,,TEN 2,7,27,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,7,27,"Jeff Reed kicks off 63 yards, returned by Courtney Roby for 22 yards (tackle by Andre Frazier)",0.000,0.870
3,11:31,1,10,TEN 29,7,27,"Steve McNair for no gain. Steve McNair fumbles, recovered by Steve McNair at TEN-29",0.870,0.190
3,11:03,2,11,TEN 28,7,27,Steve McNair pass complete to Drew Bennett for 10 yards (tackle by Troy Polamalu and Clark Haggans),0.190,0.830
3,10:19,3,1,TEN 38,7,27,Steve McNair pass complete to Ben Troupe for 9 yards (tackle by Chris Hope and James Farrior),0.830,2.060
3,9:29,1,10,TEN 47,7,27,Steve McNair pass incomplete intended for Tyrone Calico,2.060,1.520
3,9:23,2,10,TEN 47,7,27,"Penalty on Michael Roos: False Start, 5 yards (no play)",1.520,0.840
3,9:21,2,15,TEN 42,7,27,Steve McNair pass complete to Brandon Jones for 20 yards (tackle by Ike Taylor),0.840,3.050
3,8:43,1,10,PIT 38,7,27,Chris Brown up the middle for -1 yards (tackle by Aaron Smith),3.050,2.370
3,8:00,2,11,PIT 39,7,27,Steve McNair sacked by Clark Haggans for 0 yards,2.370,1.680
3,7:16,3,11,PIT 39,7,27,Steve McNair pass incomplete intended for Erron Kinney,1.680,0.660
3,7:10,4,11,PIT 39,7,27,"Craig Hentrich punts 39 yards, touchback",0.660,-0.280
3,7:02,1,10,PIT 20,7,27,Willie Parker right guard for 4 yards (tackle by Brad Kassell and Andre Woolfolk),0.280,0.270
3,6:22,2,6,PIT 24,7,27,Willie Parker up the middle for 3 yards (tackle by Keith Bulluck),0.270,-0.030
3,5:40,3,3,PIT 27,7,27,Ben Roethlisberger left end for 5 yards (tackle by Michael Waddell and Lamont Thompson),-0.030,1.070
3,4:53,1,10,PIT 32,7,27,Willie Parker up the middle for 9 yards (tackle by Peter Sirmon and Lamont Thompson),1.070,1.740
3,4:18,2,1,PIT 41,7,27,Willie Parker left end for 45 yards (tackle by Keith Bulluck),1.740,4.650
3,3:54,1,10,TEN 14,7,27,Verron Haynes up the middle for -3 yards (tackle by Randy Starks),4.650,3.590
3,3:14,2,13,TEN 17,7,27,"Verron Haynes up the middle for no gain (tackle by Brad Kassell). Penalty on Brad Kassell: Face Mask (15 Yards), 9 yards",3.590,5.370
3,2:47,1,8,TEN 8,7,27,Verron Haynes right tackle for 3 yards,5.370,5.150
3,2:07,2,5,TEN 5,7,33,"Verron Haynes right tackle for 5 yards, touchdown",5.150,7.000
3,,,,TEN 2,7,34,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,7,34,"Jeff Reed kicks off 59 yards, returned by Courtney Roby for 23 yards (tackle by Ricardo Colclough)",0.000,1.200
3,1:58,1,10,TEN 34,7,34,"Penalty on Michael Roos: False Start, 5 yards (no play)",1.200,0.870
3,1:47,1,15,TEN 29,7,34,Chris Brown right tackle for no gain (tackle by James Harrison and Aaron Smith),0.870,-0.020
3,1:32,2,15,TEN 29,7,34,Steve McNair pass incomplete intended for Drew Bennett (defended by Ike Taylor),-0.020,-0.690
3,1:27,3,15,TEN 29,7,34,Steve McNair pass complete to Erron Kinney for 13 yards (tackle by Troy Polamalu),-0.690,-0.590
3,0:59,4,2,TEN 42,7,34,"Steve McNair pass complete to Brandon Jones for 18 yards (tackle by Ike Taylor and Chris Hope). Penalty on Tank Williams: Offensive Holding, 10 yards (no play)",-0.590,-1.240
3,0:40,4,12,TEN 32,7,34,"Craig Hentrich punts 53 yards, returned by Antwaan Randle El for no gain. Penalty on James Harrison: Offensive Holding, 7 yards",-1.240,0.380
3,0:23,1,10,PIT 8,7,34,Verron Haynes left guard for 2 yards (tackle by Peter Sirmon and Antwan Odom),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,TEN,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,PIT 10,7,34,Ben Roethlisberger up the middle for 1 yard (tackle by Rocky Boiman and Brad Kassell),-0.630,-1.070
4,14:19,3,7,PIT 11,7,34,Verron Haynes up the middle for 5 yards (tackle by Robert Reynolds and Peter Sirmon),-1.070,-2.390
4,13:44,4,2,PIT 16,7,34,"Chris Gardocki punts 49 yards, returned by Andrae Thurman for 10 yards (tackle by Noah Herron). Penalty on Cody Spencer: Offensive Holding, 10 yards",-2.390,-1.270
4,13:32,1,10,TEN 35,7,34,Steve McNair pass incomplete intended for Ben Troupe,1.270,0.720
4,13:27,2,10,TEN 35,7,34,Steve McNair pass complete to Erron Kinney for 11 yards (tackle by James Harrison and Ike Taylor),0.720,1.990
4,12:53,1,10,TEN 46,7,34,"Steve McNair pass complete to Bo Scaife for 10 yards (tackle by James Farrior). Penalty on James Farrior: Face Mask (5 Yards), 5 yards",1.990,2.980
4,12:35,1,10,PIT 39,7,34,Steve McNair pass complete to Drew Bennett for 16 yards (tackle by Ike Taylor),2.980,4.040
4,12:16,1,10,PIT 23,7,34,Steve McNair pass complete to Bo Scaife for 12 yards (tackle by Ike Taylor),4.040,4.840
4,11:56,1,10,PIT 11,7,34,Chris Brown up the middle for 2 yards (tackle by Joey Porter),4.840,4.510
4,11:17,2,8,PIT 9,7,34,"Steve McNair pass complete to Bo Scaife for 4 yards (tackle by Troy Polamalu). Penalty on TEN: Illegal Formation, 5 yards (no play)",4.510,3.690
4,10:44,2,13,PIT 14,7,34,"Steve McNair sacked by Andre Frazier for -5 yards. Steve McNair fumbles (forced by Andre Frazier), recovered by Benji Olson at PIT-19",3.690,2.550
4,9:59,3,18,PIT 19,7,34,"Steve McNair sacked by Joey Porter for -8 yards. Steve McNair fumbles (forced by Joey Porter), recovered by Chris Hope at PIT-27 and returned for 6 yards (tackle by Chris Brown)",2.550,-1.140
4,9:50,1,10,PIT 33,7,34,Verron Haynes right guard for 1 yard (tackle by Brad Kassell),1.140,0.730
4,9:08,2,9,PIT 34,7,34,Verron Haynes right end for 2 yards (tackle by Brad Kassell),0.730,0.300
4,8:23,3,7,PIT 36,7,34,Verron Haynes up the middle for 9 yards,0.300,1.930
4,7:39,1,10,PIT 45,7,34,Verron Haynes up the middle for 2 yards (tackle by Jared Clauss),1.930,1.650
4,6:58,2,8,PIT 47,7,34,Hines Ward left end for -1 yards (tackle by Lamont Thompson),1.650,0.830
4,6:25,3,9,PIT 46,7,34,Verron Haynes up the middle for 7 yards (tackle by Jared Clauss and Rocky Boiman),0.830,0.130
4,5:41,4,2,TEN 47,7,34,"Chris Gardocki punts 47 yards, touchback",0.130,-0.280
4,5:32,1,10,TEN 20,7,34,Travis Henry right end for 4 yards (tackle by Ike Taylor),0.280,0.270
4,4:58,2,6,TEN 24,7,34,Travis Henry up the middle for 22 yards (tackle by Mike Logan),0.270,1.990
4,4:19,1,10,TEN 46,7,34,Travis Henry up the middle for 1 yard (tackle by Brett Keisel and Chris Hoke),1.990,1.590
4,3:40,,,,7,34,Timeout #1 by Tennessee Titans,0.000,1.590
4,3:39,2,9,TEN 47,7,34,Billy Volek pass incomplete intended for Drew Bennett is intercepted by Ricardo Colclough at PIT-29 and returned for 14 yards,1.590,-1.800
4,3:29,1,10,PIT 43,7,34,Noah Herron left tackle for no gain (tackle by Rocky Boiman),1.800,1.250
4,2:48,2,10,PIT 43,7,34,Noah Herron right guard for 1 yard (tackle by Donnie Nickey and Travis LaBoy),1.250,0.690
4,2:02,3,9,PIT 44,7,34,Noah Herron up the middle for 1 yard (tackle by Justin Sandy and Rien Long),0.690,-0.390
4,1:57,4,8,PIT 45,7,34,"Chris Gardocki punts 41 yards, fair catch by Andrae Thurman",-0.390,0.280
4,1:49,1,10,TEN 14,7,34,Travis Henry up the middle for 3 yards (tackle by Clint Kriewaldt),-0.280,-0.370
4,1:11,2,7,TEN 17,7,34,Travis Henry left end for -3 yards (tackle by Chris Hoke),-0.370,-1.400
4,0:32,3,10,TEN 14,7,34,Travis Henry right tackle for 3 yards (tackle by Andre Frazier and Brett Keisel),-1.400,-2.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
