Quarter,Time,Down,ToGo,Location,DAL,CLE,Detail,EPB,EPA
3,14:14,2,5,DAL 25,21,7,"Tony Romo pass complete deep right to Terrell Owens for 31 yards (tackle by Mike Adams). Penalty on Terrell Owens: Offensive Pass Interference, 10 yards (no play)",0.410,-1.070
3,13:45,2,15,DAL 15,21,7,Marion Barber right tackle for no gain (tackle by Andra Davis),-1.070,-1.860
3,13:02,3,15,DAL 15,21,7,Tony Romo pass incomplete short right intended for Isaiah Stanback,-1.860,-2.440
3,12:55,4,15,DAL 15,21,7,"Mat McBriar punts 45 yards, returned by Syndric Steptoe for 9 yards (tackle by Kevin Burnett)",-2.440,-2.190
3,12:45,1,10,CLE 49,21,7,Jamal Lewis left tackle for 5 yards (tackle by DeMarcus Ware),2.190,2.320
3,12:12,2,5,DAL 46,21,7,Jamal Lewis left guard for 3 yards (tackle by Chris L. Canty and Zach Thomas),2.320,2.010
3,11:30,3,2,DAL 43,21,7,Derek Anderson pass incomplete deep left intended for Braylon Edwards,2.010,0.400
3,11:26,4,2,DAL 43,21,7,"Dave Zastudil punts 29 yards, returned by Pacman Jones for no gain. Pacman Jones fumbles, recovered by Pacman Jones at DAL-14",0.400,0.280
3,11:17,1,10,DAL 14,21,7,Tony Romo pass complete short right to Patrick Crayton for 11 yards (tackle by Eric Wright),-0.280,0.610
3,10:56,1,10,DAL 25,21,7,Marion Barber right tackle for 5 yards (tackle by Shaun Rogers),0.610,0.740
3,10:17,2,5,DAL 30,21,7,Tony Romo pass incomplete short right intended for Marion Barber,0.740,0.040
3,10:11,3,5,DAL 30,21,7,Tony Romo pass complete short middle to Jason Witten for 19 yards (tackle by Sean Jones),0.040,2.190
3,9:34,1,10,DAL 49,21,7,Tony Romo pass incomplete short right intended for Jason Witten,2.190,1.650
3,9:28,2,10,DAL 49,21,7,Tony Romo pass complete deep middle to Patrick Crayton for 25 yards (tackle by Mike Adams),1.650,3.840
3,8:41,1,10,CLE 26,21,7,"Tony Romo pass incomplete short right intended for Marion Barber (defended by Andra Davis). Penalty on Brandon McDonald: Illegal Use of Hands, 5 yards (no play)",3.840,4.170
3,8:41,1,10,CLE 21,21,7,Marion Barber right guard for 2 yards (tackle by Willie McGinest),4.170,3.900
3,7:55,2,8,CLE 19,21,7,Tony Romo pass complete short right to Marion Barber for 4 yards (tackle by Andra Davis),3.900,3.810
3,7:13,3,4,CLE 15,21,7,Marion Barber left guard for 4 yards (tackle by Kamerion Wimbley),3.810,4.840
3,6:30,1,10,CLE 11,27,7,"Felix Jones right guard for 11 yards, touchdown",4.840,7.000
3,,,,CLE 2,28,7,Nick Folk kicks extra point good,0.000,0.000
3,,,,DAL 30,28,7,"Nick Folk kicks off 66 yards, returned by Gerard Lawson for 29 yards (tackle by Kevin Burnett)",0.000,1.140
3,6:17,1,10,CLE 33,28,7,Derek Anderson pass incomplete short left intended for Jerome Harrison (defended by Jay Ratliff),1.140,0.590
3,6:11,,,,28,7,Timeout #1 by Cleveland Browns,0.000,0.590
3,6:11,2,10,CLE 33,28,7,Derek Anderson left guard for 6 yards (tackle by Greg Ellis),0.590,0.700
3,5:29,3,4,CLE 39,28,7,Derek Anderson pass incomplete deep left intended for Jason Wright (defended by Anthony Henry),0.700,-0.780
3,5:20,4,4,CLE 39,28,7,"Penalty on Darnell Dinkins: False Start, 5 yards (no play)",-0.780,-1.110
3,5:16,4,9,CLE 34,28,7,Dave Zastudil punts 46 yards,-1.110,-0.280
3,5:13,1,10,DAL 20,28,7,Tony Romo pass complete short middle to Jason Witten for 13 yards (tackle by Andra Davis),0.280,1.140
3,4:36,1,10,DAL 33,28,7,Felix Jones right guard for 18 yards (tackle by Mike Adams),1.140,2.320
3,3:56,1,10,CLE 49,28,7,Tony Romo pass incomplete deep right intended for Terrell Owens,2.320,1.780
3,3:49,2,10,CLE 49,28,7,Tony Romo pass complete short left to Isaiah Stanback for 9 yards (tackle by Brandon McDonald),1.780,2.280
3,3:05,3,1,CLE 40,28,7,Tony Romo pass complete short left to Patrick Crayton for 17 yards (tackle by Kamerion Wimbley),2.280,4.040
3,2:38,1,10,CLE 23,28,7,"Penalty on Marc Colombo: False Start, 5 yards (no play)",4.040,3.710
3,2:17,1,15,CLE 28,28,7,Tony Romo pass complete short right to Terrell Owens for 22 yards (tackle by Mike Adams),3.710,5.830
3,1:31,1,6,CLE 6,28,7,Felix Jones right guard for 2 yards (tackle by Robaire Smith and Willie McGinest),5.830,5.340
3,0:47,2,4,CLE 4,28,7,Tony Romo pass incomplete short middle intended for Terrell Owens is intercepted by Eric Wright and returned for 20 yards (tackle by Felix Jones),5.340,0.320
3,0:38,1,10,CLE 13,28,7,Jamal Lewis left guard for 24 yards (tackle by Ken Hamlin),-0.320,1.400
Quarter,Time,Down,ToGo,Location,DAL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 37,28,7,"Jamal Lewis right guard for 7 yards (tackle by Zach Thomas). Penalty on Seth McKinney: Face Mask (15 Yards), 15 yards (no play)",1.400,0.410
4,14:34,1,25,CLE 22,28,7,Derek Anderson pass incomplete deep middle intended for Syndric Steptoe,0.410,-1.170
4,14:34,2,25,CLE 22,28,7,Derek Anderson right guard for 15 yards (tackle by Zach Thomas),-1.170,0.170
4,13:50,3,10,CLE 37,28,7,Derek Anderson pass complete short right to Syndric Steptoe for 12 yards (tackle by Ken Hamlin),0.170,2.190
4,13:11,1,10,CLE 49,28,7,Derek Anderson pass complete short right to Kellen Winslow Jr. for 9 yards (tackle by Roy Williams),2.190,2.860
4,12:41,2,1,DAL 42,28,7,Derek Anderson pass complete deep left to Steve Sanders for 18 yards (tackle by Anthony Henry),2.860,3.970
4,11:54,1,10,DAL 24,28,7,Derek Anderson left end for 3 yards (tackle by Anthony Henry),3.970,3.840
4,11:15,,,,28,7,Timeout #2 by Cleveland Browns,0.000,3.840
4,11:15,2,7,DAL 21,28,7,Derek Anderson pass incomplete short right intended for Kellen Winslow Jr.,3.840,3.140
4,11:10,3,7,DAL 21,28,7,"Penalty on Braylon Edwards: False Start, 5 yards (no play)",3.140,2.480
4,11:10,3,12,DAL 26,28,7,"Derek Anderson sacked by DeMarcus Ware for -6 yards. Derek Anderson fumbles (forced by DeMarcus Ware), recovered by Syndric Steptoe at DAL-23 and returned for 6 yards",2.480,2.410
4,10:13,4,3,DAL 17,28,10,Phil Dawson 34 yard field goal good,2.410,3.000
4,,,,CLE 30,28,10,"Phil Dawson kicks off 72 yards, touchback",0.000,0.280
4,10:13,1,10,DAL 20,28,10,Felix Jones right tackle for 3 yards (tackle by Shaun Rogers),0.280,0.140
4,9:30,2,7,DAL 23,28,10,Felix Jones left guard for 1 yard (tackle by Robaire Smith and Corey Williams),0.140,-0.430
4,8:45,3,6,DAL 24,28,10,Tony Romo pass complete short right to Patrick Crayton for 8 yards (tackle by Mike Adams),-0.430,1.070
4,8:00,1,10,DAL 32,28,10,"Felix Jones right tackle for no gain (tackle by D'Qwell Jackson). Penalty on Shaun Rogers: Defensive Holding, 5 yards",1.070,1.400
4,7:31,1,10,DAL 37,28,10,"Felix Jones right guard for -2 yards (tackle by Mike Adams). Penalty on Leonard Davis: Offensive Holding, 10 yards (no play)",1.400,0.740
4,7:04,1,20,DAL 27,28,10,"Tony Romo pass complete short left to Tashard Choice for 2 yards (tackle by Brandon McDonald). Penalty on Flozell Adams: Offensive Holding, 10 yards",0.740,0.080
4,6:35,1,28,DAL 19,28,10,Tony Romo pass complete short left to Isaiah Stanback for 15 yards (tackle by Brandon McDonald),0.080,0.450
4,5:59,2,13,DAL 34,28,10,Felix Jones right guard for 22 yards (tackle by Mike Adams),0.450,2.650
4,5:11,1,10,CLE 44,28,10,Felix Jones left guard for 4 yards (tackle by Shaun Rogers and D'Qwell Jackson),2.650,2.650
4,4:27,2,6,CLE 40,28,10,Felix Jones right guard for 1 yard (tackle by Andra Davis),2.650,2.080
4,3:48,3,5,CLE 39,28,10,Tashard Choice left tackle for 15 yards (tackle by Leon Williams),2.080,3.970
4,3:00,1,10,CLE 24,28,10,Tashard Choice right guard for 2 yards (tackle by D'Qwell Jackson),3.970,3.700
4,2:15,2,8,CLE 22,28,10,Tashard Choice left guard for 5 yards (tackle by Mike Adams),3.700,3.750
4,2:00,3,3,CLE 17,28,10,Tashard Choice left guard for 2 yards (tackle by D'Qwell Jackson),3.750,2.590
4,1:15,,,,28,10,Timeout #1 by Dallas Cowboys,0.000,2.590
4,1:15,4,1,CLE 15,28,10,Tashard Choice left guard for 2 yards (tackle by D'Qwell Jackson and Andra Davis),2.590,4.710
4,0:31,1,10,CLE 13,28,10,Tony Romo kneels for -1 yards,4.710,3.900
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
