Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
2,12:00,3,7,ATL 31,6,7,"Michael Vick middle for 1 yard (tackle by John Thornton). Michael Vick fumbles (forced by John Thornton), recovered by Todd McClure at ATL-35",-0.030,-1.040
2,11:21,4,3,ATL 35,6,7,"Michael Koenen punts 65 yards, touchback",-1.040,-0.280
2,11:12,1,10,CIN 20,6,7,T.J. Houshmandzadeh for 13 yards (tackle by Lawyer Milloy),0.280,1.140
2,10:42,1,10,CIN 33,6,7,Carson Palmer pass complete deep right to T.J. Houshmandzadeh for 19 yards (tackle by Chris Crocker),1.140,2.390
2,10:08,1,10,ATL 48,6,7,Chris Perry right end for 4 yards (tackle by Keith Brooking),2.390,2.390
2,9:36,2,6,ATL 44,6,7,Carson Palmer pass complete short middle to Chris Perry for 11 yards (tackle by Keith Brooking),2.390,3.380
2,9:02,1,10,ATL 33,6,7,Chris Perry right guard for 7 yards (tackle by Jonathan Babineaux),3.380,3.780
2,8:36,2,3,ATL 26,6,7,Carson Palmer pass complete short right to Chad Johnson for 7 yards (tackle by Jason Webster and Lawyer Milloy),3.780,4.310
2,8:02,1,10,ATL 19,6,7,Carson Palmer middle for 7 yards (tackle by Michael Boley),4.310,4.920
2,7:20,2,3,ATL 12,6,13,"Carson Palmer pass complete short left to Chad Johnson for 12 yards, touchdown",4.920,7.000
2,,,,ATL 2,6,14,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,6,14,"Shayne Graham kicks off 67 yards, returned by Allen Rossum for 16 yards (tackle by Kenny Watson)",0.000,0.150
2,7:07,1,10,ATL 19,6,14,Michael Vick pass incomplete deep middle intended for Michael Jenkins (defended by Tory James),0.150,-0.390
2,7:00,2,10,ATL 19,6,14,Michael Vick left end for 5 yards (tackle by Caleb Miller),-0.390,-0.420
2,6:24,3,5,ATL 24,6,14,Michael Vick pass complete short left to Roddy White for 8 yards (tackle by Tory James),-0.420,1.070
2,5:48,1,10,ATL 32,6,14,Jerious Norwood right tackle for 8 yards (tackle by Robert Geathers),1.070,1.610
2,5:08,2,2,ATL 40,6,14,Jerious Norwood left tackle for 2 yards (tackle by Justin Smith),1.610,1.730
2,4:33,1,10,ATL 42,6,14,Michael Vick pass complete short middle to Jerious Norwood for 7 yards (tackle by Landon Johnson and Justin Smith),1.730,2.130
2,3:49,2,3,ATL 49,6,14,"Michael Vick pass complete short right to Jerious Norwood for 11 yards (tackle by Justin Smith and Ahmad Brooks). Penalty on Alge Crumpler: Illegal Block Above the , 10 yards (no play)",2.130,0.780
2,3:22,2,13,ATL 39,6,14,Michael Vick pass complete deep middle to Ashley Lelie for 18 yards (tackle by Deltha O'Neal),0.780,2.720
2,2:45,1,10,CIN 43,6,14,Michael Vick pass complete short left to Jerious Norwood for 32 yards (tackle by Tory James and Ahmad Brooks),2.720,4.840
2,2:01,1,10,CIN 11,6,14,"Penalty on Todd McClure: False Start, 5 yards (no play)",4.840,4.340
2,2:00,1,15,CIN 16,12,14,"Michael Vick pass complete short middle to Alge Crumpler for 16 yards, touchdown",4.340,7.000
2,,,,CIN 2,13,14,Morten Andersen kicks extra point good,0.000,0.000
2,,,,ATL 30,13,14,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,1:54,1,10,CIN 20,13,14,Kenny Watson middle for 3 yards (tackle by Darrell Shropshire),0.280,0.140
2,1:32,2,7,CIN 23,13,14,Carson Palmer pass complete short right to Chris Henry for 7 yards (tackle by Jason Webster),0.140,0.940
2,1:28,1,10,CIN 30,13,14,Carson Palmer pass incomplete short left intended for Chad Johnson,0.940,0.390
2,1:23,2,10,CIN 30,13,14,Carson Palmer pass incomplete intended for Kenny Watson,0.390,-0.300
2,1:19,3,10,CIN 30,13,14,Carson Palmer pass complete deep middle to T.J. Houshmandzadeh for 17 yards (tackle by Jason Webster),-0.300,2.060
2,1:12,,,,13,14,Timeout #1 by Cincinnati Bengals,0.000,2.060
2,1:12,1,10,CIN 47,13,14,Carson Palmer pass incomplete short middle intended for Chad Johnson,2.060,1.520
2,1:09,2,10,CIN 47,13,14,"Penalty on Eric Ghiaciuc: False Start, 5 yards (no play)",1.520,0.840
2,1:09,2,15,CIN 42,13,14,"Carson Palmer pass complete short right to Tony Stewart for 12 yards (tackle by Demorrio Williams). Penalty on Kevin Mathis: Defensive Holding, 5 yards (no play)",0.840,2.060
2,1:01,1,10,CIN 47,13,14,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 18 yards (tackle by Demorrio Williams),2.060,3.250
2,0:38,1,10,ATL 35,13,14,Carson Palmer pass complete short middle to Tony Stewart for 3 yards (tackle by Lawyer Milloy),3.250,3.110
2,0:31,,,,13,14,Timeout #2 by Cincinnati Bengals,0.000,3.110
2,0:31,2,7,ATL 32,13,14,Carson Palmer pass incomplete short left intended for Chris Henry,3.110,2.410
2,0:26,3,7,ATL 32,13,14,Carson Palmer pass incomplete short right intended for Chris Henry (defended by Jason Webster),2.410,1.240
2,0:20,4,7,ATL 32,13,17,Shayne Graham 51 yard field goal good,1.240,3.000
2,,,,CIN 30,13,17,"Shayne Graham kicks off 38 yards, muffed catch by Fred McCrary, recovered by Fred McCrary at ATL-34, and returned for 7 yards",0.000,1.660
2,0:10,1,10,ATL 41,13,17,Michael Vick pass complete short right to Warrick Dunn for 5 yards (tackle by Landon Johnson),1.660,1.800
2,0:04,2,5,ATL 46,13,17,Michael Vick pass incomplete (defended by Caleb Miller),1.800,1.090
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,13,17,"Michael Koenen kicks off 67 yards, returned by Chris Perry for 25 yards (tackle by Omare Lowe)",0.000,0.810
3,14:54,1,10,CIN 28,13,17,Carson Palmer pass incomplete deep left intended for Chad Johnson,0.810,0.260
3,14:46,2,10,CIN 28,13,17,Rudi Johnson middle for -1 yards (tackle by Patrick Kerney and Grady Jackson),0.260,-0.560
3,14:08,3,11,CIN 27,13,17,"Penalty on Eric Ghiaciuc: False Start, 5 yards (no play)",-0.560,-1.220
3,13:59,3,16,CIN 22,13,17,Carson Palmer pass incomplete deep middle intended for Chad Johnson,-1.220,-1.900
3,13:54,4,16,CIN 22,13,17,"Kyle Larson punts 41 yards, returned by Allen Rossum for -2 yards (tackle by Kevin Kaesviharn)",-1.900,-1.270
3,13:43,1,10,ATL 35,13,17,Michael Vick pass complete short left to Ashley Lelie for 9 yards (tackle by Tory James and Landon Johnson),1.270,1.940
3,13:08,2,1,ATL 44,13,17,Warrick Dunn right tackle for 2 yards (tackle by John Thornton and Landon Johnson),1.940,1.990
3,12:33,1,10,ATL 46,13,17,Michael Vick right end for 10 yards (tackle by Ahmad Brooks),1.990,2.650
3,12:00,1,10,CIN 44,13,17,Warrick Dunn left tackle for 5 yards (tackle by Madieu Williams and Bryan Robinson),2.650,2.780
3,11:25,2,5,CIN 39,13,17,Michael Vick right end for 12 yards (tackle by Dexter Jackson),2.780,3.780
3,10:52,1,10,CIN 27,13,17,Michael Vick pass incomplete deep right intended for Ashley Lelie (defended by Kevin Kaesviharn),3.780,3.230
3,10:45,2,10,CIN 27,13,17,Warrick Dunn left tackle for 1 yard (tackle by Ahmad Brooks and Caleb Miller),3.230,2.680
3,10:06,3,9,CIN 26,19,17,"Michael Vick pass complete deep left to Michael Jenkins for 26 yards, touchdown",2.680,7.000
3,,,,CIN 2,20,17,Morten Andersen kicks extra point good,0.000,0.000
3,,,,ATL 30,20,17,"Michael Koenen kicks off 55 yards, returned by Chris Perry for 15 yards (tackle by Kevin Mathis)",0.000,0.940
3,9:50,1,10,CIN 30,20,17,Carson Palmer pass complete short middle to Chad Johnson for 15 yards (tackle by DeAngelo Hall and Ed Hartwell). Penalty on Jason Webster: Illegal Use of Hands (Declined),0.940,1.930
3,9:28,1,10,CIN 45,20,17,Rudi Johnson left tackle for no gain (tackle by Keith Brooking and Demorrio Williams),1.930,1.380
3,8:45,2,10,CIN 45,20,17,Rudi Johnson left end for 4 yards (tackle by Keith Brooking),1.380,1.220
3,8:06,3,6,CIN 49,20,17,Carson Palmer pass complete short middle to Reggie Kelly for 8 yards (tackle by Keith Brooking),1.220,2.720
3,7:33,1,10,ATL 43,20,17,Rudi Johnson left tackle for 5 yards (tackle by Lawyer Milloy and Demorrio Williams),2.720,2.850
3,7:09,2,5,ATL 38,20,17,Carson Palmer pass complete short right to Chad Johnson for 9 yards (tackle by DeAngelo Hall),2.850,3.640
3,6:47,1,10,ATL 29,20,17,"Carson Palmer pass incomplete deep left intended for Chris Henry. Penalty on Patrick Kerney: Roughing the Passer, 15 yards, Penalty on Chris Crocker: Defensive Holding (Declined) (no play)",3.640,4.650
3,6:40,1,10,ATL 14,20,17,Rudi Johnson right guard for 6 yards (tackle by Lawyer Milloy and Ed Hartwell),4.650,5.090
3,6:00,2,4,ATL 8,20,17,Rudi Johnson left guard for -2 yards (tackle by Grady Jackson),5.090,3.820
3,5:21,3,6,ATL 10,20,17,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 2 yards (tackle by Kevin Mathis),3.820,2.980
3,4:39,4,4,ATL 8,20,20,Shayne Graham 26 yard field goal good,2.980,3.000
3,,,,CIN 30,20,20,Shayne Graham kicks off 67 yards,0.000,1.600
3,4:34,1,10,ATL 40,20,20,Warrick Dunn right tackle for 3 yards (tackle by John Thornton),1.600,1.460
3,4:03,2,7,ATL 43,20,20,"Michael Vick pass complete short middle to Alge Crumpler for 22 yards (tackle by Deltha O'Neal and Madieu Williams). Penalty on Ahmad Brooks: Roughing the Passer, 15 yards",1.460,4.240
3,3:37,1,10,CIN 20,20,20,Michael Vick right end for 7 yards (tackle by Caleb Miller),4.240,4.830
3,3:07,2,3,CIN 13,20,20,Warrick Dunn right tackle for 5 yards (tackle by Justin Smith and Caleb Miller),4.830,5.370
3,2:30,1,8,CIN 8,26,20,"Michael Vick pass complete short right to Justin Griffith for 8 yards, touchdown",5.370,7.000
3,,,,,26,20,"Two Point Attempt: Matt Schaub pass incomplete intended for Eric Beverly, conversion fails",1.000,-1.000
3,,,,ATL 30,26,20,"Michael Koenen kicks off 69 yards, returned by Chris Perry for 26 yards (tackle by Ike Reese)",0.000,0.740
3,2:15,1,10,CIN 27,26,20,T.J. Houshmandzadeh for -7 yards (tackle by Jonathan Babineaux),0.740,-0.750
3,1:38,2,17,CIN 20,26,20,"Penalty on Carson Palmer: False Start, 5 yards (no play)",-0.750,-1.570
3,1:15,2,22,CIN 15,26,20,Carson Palmer pass complete short right to Chad Johnson for 15 yards,-1.570,-0.100
3,0:41,3,7,CIN 30,26,20,Carson Palmer pass complete short left to Chris Henry for 2 yards (tackle by Demorrio Williams),-0.100,-1.240
3,0:03,4,5,CIN 32,26,20,"Kyle Larson punts 42 yards, returned by Allen Rossum for no gain",-1.240,-0.670
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 26,26,20,Jerious Norwood middle for 10 yards (tackle by Caleb Miller),0.670,1.330
4,14:20,1,10,ATL 36,26,20,Michael Vick pass complete short middle to Alge Crumpler for 17 yards (tackle by Dexter Jackson and Madieu Williams),1.330,2.460
4,13:41,1,10,CIN 47,26,20,Michael Vick sacked by Bryan Robinson for -6 yards,2.460,1.100
4,13:05,2,16,ATL 47,26,20,Jerious Norwood right tackle for no gain (tackle by Shaun Smith),1.100,0.430
4,12:21,3,16,ATL 47,26,20,Michael Vick pass complete deep right to Roddy White for 21 yards (tackle by Deltha O'Neal),0.430,3.450
4,11:37,1,10,CIN 32,26,20,Jerious Norwood left tackle for 3 yards (tackle by Shaun Smith),3.450,3.310
4,11:02,2,7,CIN 29,26,20,Jerious Norwood left tackle for 2 yards (tackle by Domata Peko and Landon Johnson),3.310,2.870
4,10:23,3,5,CIN 27,26,20,Michael Vick pass complete short middle to Roddy White for 13 yards (tackle by Tory James),2.870,4.650
4,9:40,1,10,CIN 14,26,20,"Jerious Norwood left tackle for no gain (tackle by Shaun Smith). Penalty on Tyson Clabo: Offensive Holding, 10 yards (no play)",4.650,3.970
4,9:20,1,20,CIN 24,26,20,Michael Vick pass incomplete short middle intended for Jerious Norwood,3.970,2.740
4,9:13,2,20,CIN 24,26,20,Jerious Norwood right tackle for no gain (tackle by Landon Johnson),2.740,2.080
4,8:30,3,20,CIN 24,26,20,Warrick Dunn middle for 3 yards (tackle by Justin Smith),2.080,2.060
4,7:48,4,17,CIN 21,29,20,Morten Andersen 39 yard field goal good,2.060,3.000
4,,,,ATL 30,29,20,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
4,7:42,1,10,CIN 20,29,20,Carson Palmer pass complete short right to Chris Perry for 1 yard (tackle by Jason Webster),0.280,-0.130
4,7:09,2,9,CIN 21,29,20,Carson Palmer pass incomplete short middle intended for Chad Johnson,-0.130,-0.820
4,7:04,3,9,CIN 21,29,20,Carson Palmer pass complete deep right to Chad Johnson for 20 yards,-0.820,1.660
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
4,6:48,1,10,CIN 41,29,20,Carson Palmer pass complete short right to Chris Henry for 2 yards (tackle by Jason Webster),1.660,1.390
4,6:26,2,8,CIN 43,29,20,Carson Palmer pass incomplete short middle intended for Rudi Johnson (defended by Jonathan Babineaux),1.390,0.700
4,6:20,3,8,CIN 43,29,20,Carson Palmer sacked by Chris Crocker for -8 yards,0.700,-1.040
4,5:46,4,16,CIN 35,29,20,"Kyle Larson punts 49 yards, returned by Allen Rossum for -3 yards (tackle by Glenn Holt)",-1.040,0.320
4,5:32,1,10,ATL 13,29,20,Jerious Norwood left guard for 1 yard (tackle by Caleb Miller and Justin Smith),-0.320,-0.680
4,4:49,2,9,ATL 14,29,20,Jerious Norwood left tackle for 5 yards (tackle by Justin Smith and Domata Peko),-0.680,-0.710
4,4:40,,,,29,20,Timeout #2 by Cincinnati Bengals,0.000,-0.710
4,4:40,3,4,ATL 19,29,20,Michael Vick sacked by Justin Smith and Domata Peko for -8 yards,-0.710,-2.490
4,4:02,,,,29,20,Timeout #2 by Atlanta Falcons,0.000,-2.490
4,4:02,4,12,ATL 11,29,20,"Michael Koenen punts 51 yards, returned by Keiwan Ratliff for 7 yards (tackle by Omare Lowe)",-2.490,-1.930
4,3:49,1,10,CIN 45,29,26,"Carson Palmer pass complete deep middle to Chris Henry for 55 yards, touchdown",1.930,7.000
4,,,,ATL 2,29,27,Shayne Graham kicks extra point good,0.000,0.000
4,,,,CIN 30,29,27,"Shayne Graham kicks off 66 yards, returned by Allen Rossum for 24 yards (tackle by Andre Frazier)",0.000,0.810
4,3:35,1,10,ATL 28,29,27,Warrick Dunn right tackle for 1 yard (tackle by Robert Geathers),0.810,0.400
4,3:28,,,,29,27,Timeout #3 by Cincinnati Bengals,0.000,0.000
4,3:28,,,,29,27,Timeout #3 by Atlanta Falcons,0.000,0.400
4,3:28,2,9,ATL 29,29,27,Michael Vick pass complete short middle to Alge Crumpler for 17 yards (tackle by Deltha O'Neal),0.400,1.990
4,2:43,1,10,ATL 46,29,27,Warrick Dunn right guard for -1 yards (tackle by Domata Peko and Justin Smith),1.990,1.320
4,2:00,2,11,ATL 45,29,27,Warrick Dunn right guard for 2 yards (tackle by Domata Peko and Landon Johnson),1.320,0.890
4,1:17,3,9,ATL 47,29,27,Warrick Dunn left end for -2 yards (tackle by Brian Simmons and Dexter Jackson),0.890,-0.390
4,0:30,4,11,ATL 45,29,27,"Penalty on Michael Koenen: Delay of Game, 5 yards (no play)",-0.390,-0.720
4,0:30,4,16,ATL 40,29,27,"Michael Koenen punts 50 yards, returned by Keiwan Ratliff for 7 yards (tackle by Michael Boley)",-0.720,0.060
4,0:19,1,10,CIN 17,29,27,Carson Palmer pass complete short right to Tony Stewart for 6 yards,-0.060,0.350
4,0:13,2,4,CIN 23,29,27,"Carson Palmer sacked by Patrick Kerney for -5 yards. Carson Palmer fumbles (forced by Patrick Kerney), recovered by Michael Boley at CIN-25 (tackle by Eric Ghiaciuc)",0.350,-3.910
4,0:02,1,10,CIN 25,29,27,Michael Vick kneels for -1 yards,3.910,3.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
