Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
1,,,,BAL 2,0,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,0,7,"Jason Hanson kicks off 59 yards, returned by B.J. Sams for 16 yards (tackle by Donte Curry)",0.000,0.740
1,9:33,1,10,BAL 27,0,7,Chester Taylor right tackle for 2 yards (tackle by Earl Holmes and Shaun Rogers),0.740,0.470
1,8:58,2,8,BAL 29,0,7,Jamal Lewis right tackle for 3 yards (tackle by Kalimba Edwards and Earl Holmes),0.470,0.170
1,8:17,3,5,BAL 32,0,7,Anthony Wright pass incomplete intended for Chester Taylor. Penalty on Todd Heap: Offensive Holding (Declined),0.170,-1.240
1,8:07,4,5,BAL 32,0,7,"Dave Zastudil punts 37 yards, returned by R.W. McQuarters for 8 yards (tackle by Daniel Wilcox)",-1.240,-1.530
1,7:58,1,10,DET 39,0,7,Joey Harrington pass incomplete intended for Roy Williams (defended by Samari Rolle),1.530,0.990
1,7:52,2,10,DET 39,0,7,Kevin Jones up the middle for 3 yards (tackle by Tommy Polley),0.990,0.700
1,7:10,3,7,DET 42,0,7,Joey Harrington pass complete to Roy Williams for 12 yards (tackle by Will Demps),0.700,2.520
1,6:26,1,10,BAL 46,0,7,Kevin Jones right tackle for 3 yards (tackle by Ray Lewis),2.520,2.380
1,5:49,2,7,BAL 43,0,7,Joey Harrington pass incomplete intended for Mike Williams,2.380,1.680
1,5:45,3,7,BAL 43,0,7,Joey Harrington pass complete to Shawn Bryson for 18 yards (tackle by Ed Reed),1.680,3.910
1,5:26,1,10,BAL 25,0,7,"Joey Harrington sacked for -6 yards. Joey Harrington fumbles, recovered by Kevin Jones at BAL-29 and returned for 27 yards",3.910,6.740
,,,,,,,"BAL challenged the ruling, and the play was upheld.",,
1,5:21,1,2,BAL 2,0,7,Kevin Jones up the middle for 1 yard (tackle by Terrell Suggs and Bart Scott),6.740,5.910
1,4:44,2,1,BAL 1,0,13,"Kevin Jones left tackle for 1 yard, touchdown",5.910,7.000
1,,,,BAL 2,0,14,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,0,14,"Jason Hanson kicks off 60 yards, returned by B.J. Sams for 24 yards (tackle by Shawn Bryson)",0.000,1.200
1,4:32,1,10,BAL 34,0,14,Jamal Lewis left end for 9 yards (tackle by Kenoy Kennedy),1.200,1.870
1,3:58,2,1,BAL 43,0,14,Jamal Lewis left tackle for 10 yards (tackle by Terrence Holt),1.870,2.460
1,3:17,1,10,DET 47,0,14,Chester Taylor up the middle for 14 yards (tackle by Kenoy Kennedy and Terrence Holt),2.460,3.380
1,2:44,1,10,DET 33,0,14,Chester Taylor left end for -2 yards (tackle by Earl Holmes),3.380,2.570
1,2:07,2,12,DET 35,0,14,"Anthony Wright pass complete to Ovie Mughelli for 5 yards (tackle by Earl Holmes). Ovie Mughelli fumbles (forced by Earl Holmes), recovered by Cory Redding at DET-30 (tackle by Keydrick Vincent)",2.570,-0.940
1,1:57,1,10,DET 30,0,14,Artose Pinner up the middle for 5 yards (tackle by Will Demps),0.940,1.070
1,1:13,2,5,DET 35,0,14,"Artose Pinner left tackle for 3 yards (tackle by Tommy Polley and Jarret Johnson). Penalty on Chris McAlister: Defensive Offside, 4 yards (no play)",1.070,1.610
1,0:46,2,1,DET 39,0,14,"Joey Harrington pass incomplete intended for Mike Williams (defended by Samari Rolle). Penalty on Samari Rolle: Defensive Holding, 6 yards (no play)",1.610,1.930
1,0:38,1,10,DET 45,0,14,Joey Harrington pass incomplete intended for Mike Williams (defended by Kelly Gregg),1.930,1.380
1,0:29,2,10,DET 45,0,14,Artose Pinner right end for 4 yards (tackle by Will Demps),1.380,1.220
Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,DET 49,0,14,"Joey Harrington pass incomplete intended for Mike Williams. Penalty on Peter Boulware: Defensive Offside, 5 yards (no play)",1.220,1.880
2,14:55,3,1,BAL 46,0,14,Joey Harrington pass incomplete intended for Roy Williams is intercepted by Terrell Suggs at BAL-43 and returned for 38 yards,1.880,-4.310
2,14:45,1,10,DET 19,0,14,Chester Taylor left tackle for 12 yards (tackle by Kenoy Kennedy),4.310,5.600
2,14:06,1,7,DET 7,0,14,Jamal Lewis left end for 2 yards (tackle by Earl Holmes and James Davis),5.600,5.150
2,13:29,2,5,DET 5,0,14,Jamal Lewis up the middle for 2 yards (tackle by Kenoy Kennedy and Kalimba Edwards),5.150,4.720
2,12:50,3,3,DET 3,0,14,Anthony Wright pass incomplete intended for Randy Hymes is intercepted by Dre' Bly at DET-4 and returned for 9 yards,4.720,0.380
2,12:40,1,10,DET 4,0,14,Kevin Jones up the middle for 1 yard (tackle by Dwan Edwards and Terrell Suggs),-0.380,-0.710
2,12:08,2,9,DET 5,0,14,Kevin Jones left tackle for 3 yards (tackle by Terrell Suggs),-0.710,-0.950
2,11:27,3,6,DET 8,0,14,Joey Harrington pass incomplete intended for Kevin Johnson,-0.950,-2.490
2,11:21,4,6,DET 8,0,14,"Nick Harris punts 49 yards, returned by B.J. Sams for 6 yards (tackle by Keith Smith)",-2.490,-2.190
2,11:11,1,10,BAL 49,0,14,Chester Taylor left tackle for 1 yard (tackle by Shaun Cody and Dan Wilkinson),2.190,1.780
2,10:35,2,9,DET 50,0,14,Anthony Wright pass complete to Jamal Lewis for 2 yards (tackle by Earl Holmes),1.780,1.360
2,9:51,3,7,DET 48,0,14,Anthony Wright for 11 yards (tackle by Terrence Holt). Penalty on Shaun Cody: Defensive Offside (Declined),1.360,3.120
2,9:30,1,10,DET 37,0,14,Anthony Wright pass complete to Derrick Mason for 21 yards (tackle by Kenoy Kennedy),3.120,4.510
2,8:59,1,10,DET 16,0,14,Jamal Lewis left end for 1 yard (tackle by Earl Holmes),4.510,4.050
2,8:20,2,9,DET 15,6,14,"Anthony Wright pass complete to Jamal Lewis for 15 yards, touchdown",4.050,7.000
2,,,,DET 2,7,14,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,7,14,"Aaron Elling kicks off 65 yards, returned by Kevin Johnson for 14 yards (tackle by Chester Taylor)",0.000,0.150
2,8:08,1,10,DET 19,7,14,Kevin Jones left end for no gain (tackle by Ray Lewis),0.150,-0.390
2,7:28,2,10,DET 19,7,14,Joey Harrington pass complete to Kevin Johnson for 6 yards (tackle by Adalius Thomas),-0.390,-0.290
2,6:49,3,4,DET 25,7,14,Joey Harrington pass complete to Kevin Johnson for 10 yards (tackle by Deion Sanders),-0.290,1.270
2,6:05,1,10,DET 35,7,14,Kevin Jones left tackle for 1 yard (tackle by Ray Lewis),1.270,0.860
2,5:22,2,9,DET 36,7,14,"Kevin Jones right end for 1 yard (tackle by Tommy Polley). Penalty on Ma'ake Kemoeatu: Defensive Holding, 5 yards",0.860,1.730
2,4:58,1,10,DET 42,7,14,Joey Harrington pass incomplete intended for Mike Williams,1.730,1.190
2,4:51,2,10,DET 42,7,14,Kevin Jones up the middle for 3 yards (tackle by Aubrayo Franklin),1.190,0.890
2,4:11,3,7,DET 45,7,14,"Joey Harrington pass incomplete intended for Mike Williams (defended by Deion Sanders). Penalty on Deion Sanders: Defensive Holding, 5 yards (no play)",0.890,2.260
2,4:06,1,10,DET 50,7,14,"Artose Pinner left tackle for 3 yards (tackle by Will Demps). Penalty on Kelly Gregg: Defensive Holding, 5 yards",2.260,2.790
2,3:41,1,10,BAL 42,7,14,"Joey Harrington pass incomplete intended for Kevin Johnson is intercepted by Chris McAlister at BAL-12. Penalty on Chris McAlister: Taunting, 6 yards",2.790,0.380
2,3:34,1,10,BAL 6,7,14,"Jamal Lewis left end for 6 yards (tackle by James Davis and Andre' Goodman). Penalty on Todd Heap: Offensive Holding, 3 yards (no play)",-0.380,-0.490
2,3:02,1,13,BAL 3,7,14,Jamal Lewis right end for 8 yards (tackle by Marcus Bell),-0.490,-0.420
2,2:23,2,5,BAL 11,7,14,Anthony Wright pass incomplete intended for Jamal Lewis,-0.420,-0.840
2,2:18,3,5,BAL 11,7,14,Anthony Wright pass complete to Derrick Mason for 4 yards (tackle by Dre' Bly and Terrence Holt),-0.840,-2.440
2,2:00,4,1,BAL 15,7,14,"Dave Zastudil punts 53 yards, returned by R.W. McQuarters for no gain",-2.440,-1.070
2,1:50,1,10,DET 32,7,14,Joey Harrington pass incomplete intended for Kevin Johnson,1.070,0.530
2,1:42,2,10,DET 32,7,14,Kevin Jones left end for 1 yard (tackle by Dale Carter),0.530,-0.030
2,1:34,,,,7,14,Timeout #2 by Baltimore Ravens,0.000,-0.030
2,1:34,3,9,DET 33,7,14,Joey Harrington pass incomplete intended for Marcus Pollard,-0.030,-1.180
2,1:32,4,9,DET 33,7,14,"Nick Harris punts 37 yards, returned by B.J. Sams for 8 yards (tackle by Bracy Walker)",-1.180,-1.470
2,1:18,1,10,BAL 38,7,14,Chester Taylor up the middle for 7 yards (tackle by Kenoy Kennedy),1.470,1.870
2,0:59,2,3,BAL 45,7,14,"Penalty on Orlando Brown: False Start, 5 yards (no play)",1.870,1.190
2,0:49,2,8,BAL 40,7,14,Chester Taylor left tackle for 9 yards (tackle by Kenoy Kennedy),1.190,2.190
2,0:32,,,,7,14,Timeout #1 by Detroit Lions,0.000,2.190
2,0:32,1,10,BAL 49,7,14,Anthony Wright pass complete to Derrick Mason for 7 yards (tackle by Dre' Bly),2.190,2.590
2,0:14,2,3,DET 44,7,14,"Anthony Wright pass incomplete intended for Derrick Mason. Penalty on Jared DeVries: Defensive Offside, 5 yards (no play)",2.590,2.980
2,0:10,1,10,DET 39,7,14,Anthony Wright pass complete to Derrick Mason for 11 yards (tackle by Dre' Bly),2.980,3.710
2,0:04,1,10,DET 28,10,14,Matt Stover 46 yard field goal good,3.710,3.000
Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,10,14,"Jason Hanson kicks off 56 yards, returned by B.J. Sams for 16 yards (tackle by Casey Fitzsimmons)",0.000,0.940
3,14:53,1,10,BAL 30,10,14,Jamal Lewis right tackle for 7 yards (tackle by Terrence Holt),0.940,1.340
3,14:22,2,3,BAL 37,10,14,Jamal Lewis up the middle for 3 yards (tackle by Kenoy Kennedy),1.340,1.600
3,13:45,1,10,BAL 40,10,14,Anthony Wright pass complete to Chester Taylor for 18 yards (tackle by James Davis),1.600,2.790
3,13:15,1,10,DET 42,10,14,Jamal Lewis right end for 11 yards (tackle by Boss Bailey and Terrence Holt),2.790,3.510
3,12:44,1,10,DET 31,10,14,Chester Taylor left tackle for -1 yards (tackle by Kalimba Edwards and Terrence Holt),3.510,2.830
3,12:09,2,11,DET 32,10,14,Anthony Wright pass complete to Chester Taylor for -1 yards (tackle by Dan Wilkinson),2.830,2.020
3,11:26,3,12,DET 33,10,14,Anthony Wright pass incomplete intended for Clarence Moore,2.020,1.150
3,11:20,4,12,DET 33,10,14,"Dave Zastudil punts 24 yards, returned by R.W. McQuarters for 18 yards (tackle by Bart Scott)",1.150,-0.740
3,11:13,1,10,DET 27,10,14,Kevin Jones up the middle for 3 yards (tackle by Adalius Thomas),0.740,0.600
3,10:36,2,7,DET 30,10,14,Joey Harrington pass complete to Paul Smith for 11 yards (tackle by Will Demps),0.600,1.660
3,9:54,1,10,DET 41,10,14,Kevin Jones left tackle for 11 yards (tackle by Adalius Thomas),1.660,2.390
3,9:10,1,10,BAL 48,10,14,Kevin Jones right tackle for 5 yards (tackle by Will Demps),2.390,2.520
3,8:36,2,5,BAL 43,10,14,"Kevin Jones up the middle for -2 yards (tackle by Terrell Suggs). Penalty on Terrell Suggs: Tripping, 10 yards",2.520,3.250
3,8:08,1,10,BAL 35,10,14,Joey Harrington pass incomplete intended for Marcus Pollard,3.250,2.700
3,8:01,2,10,BAL 35,10,14,Joey Harrington pass complete to Kevin Johnson for 9 yards,2.700,3.200
3,7:27,3,1,BAL 26,10,14,Kevin Jones right tackle for 1 yard (tackle by Bart Scott),3.200,3.910
3,6:41,1,10,BAL 25,10,14,Joey Harrington pass incomplete intended for Artose Pinner,3.910,3.360
3,6:33,2,10,BAL 25,10,14,Joey Harrington pass complete to Mike Williams for 7 yards (tackle by Samari Rolle),3.360,3.660
3,5:52,3,3,BAL 18,10,14,Joey Harrington pass complete to Scottie Vines for 10 yards (tackle by Ray Lewis),3.660,5.370
3,5:12,,,,10,14,Timeout #1 by Baltimore Ravens,0.000,5.370
3,5:12,1,8,BAL 8,10,14,Kevin Jones left end for 2 yards (tackle by Bart Scott and Kelly Gregg),5.370,4.950
3,4:30,2,6,BAL 6,10,14,"Joey Harrington pass incomplete intended for Casey Fitzsimmons. Penalty on Terrell Suggs: Roughing the Passer, 3 yards, Penalty on Terrell Suggs: Disqualification, 2 yards (no play)",4.950,6.970
3,4:24,1,1,BAL 1,10,14,Kevin Jones left tackle for no gain (tackle by Kelly Gregg),6.970,5.910
3,3:45,2,1,BAL 1,10,14,Kevin Jones right tackle for no gain (tackle by Kelly Gregg),5.910,5.170
3,3:04,3,1,BAL 1,10,14,Joey Harrington pass incomplete intended for Marcus Pollard. Penalty on Ma'ake Kemoeatu: Unsportsmanlike Conduct,5.170,6.970
3,2:57,1,1,BAL 1,10,14,Kevin Jones right tackle for no gain (tackle by Ray Lewis),6.970,5.910
3,2:22,2,1,BAL 1,10,14,Kevin Jones left tackle for no gain (tackle by Ray Lewis),5.910,5.170
3,1:43,3,1,BAL 1,10,20,"Artose Pinner up the middle for 1 yard, touchdown",5.170,7.000
,,,,,,,"BAL challenged the ruling, and the play was upheld.",,
3,,,,BAL 2,10,21,"Jason Hanson kicks extra point good. Penalty on Chris McAlister: Personal Foul, 15 yards, Penalty on B.J. Ward: Disqualification, 15 yards",0.000,0.000
3,,,,BAL 40,10,21,"Jason Hanson kicks off 40 yards, touchback",0.000,0.280
3,1:35,1,10,BAL 20,10,21,Anthony Wright sacked by Kalimba Edwards for -2 yards,0.280,-0.630
3,0:49,2,12,BAL 18,10,21,Anthony Wright pass incomplete intended for Derrick Mason (defended by Jared DeVries),-0.630,-1.330
3,0:44,3,12,BAL 18,10,21,Anthony Wright pass incomplete intended for Mark Clayton (defended by Teddy Lehman),-1.330,-2.240
3,0:37,4,12,BAL 18,10,21,"Dave Zastudil punts 50 yards, returned by R.W. McQuarters for 49 yards (tackle by Chester Taylor). Penalty on Chester Taylor: Face Mask (15 Yards), 10 yards",-2.240,-5.140
3,0:17,1,9,BAL 9,10,21,Artose Pinner left end for 7 yards (tackle by Will Demps),5.140,5.720
Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,BAL 2,10,27,"Joey Harrington pass complete to Casey Fitzsimmons for 2 yards, touchdown",5.720,7.000
4,,,,BAL 2,10,27,"Jason Hanson kicks extra point good. Penalty on Jeff Backus: Offensive Holding, 10 yards (no play)",0.000,0.000
4,,,,BAL 2,10,28,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,10,28,"Jason Hanson kicks off 61 yards, returned by B.J. Sams for 21 yards (tackle by R.W. McQuarters). Penalty on Chad Williams: Illegal Block Above the , 10 yards",0.000,-0.370
4,14:44,1,10,BAL 11,10,28,Jamal Lewis left tackle for 5 yards (tackle by Marcus Bell and Earl Holmes),-0.370,-0.300
4,14:10,2,5,BAL 16,10,28,"Anthony Wright pass incomplete intended for Todd Heap (defended by James Davis). Penalty on Keydrick Vincent: Offensive Holding, 8 yards (no play)",-0.300,-1.000
4,14:03,2,13,BAL 8,10,28,"Anthony Wright pass complete to Chester Taylor for 8 yards (tackle by Teddy Lehman). Penalty on Orlando Brown: Illegal Use of Hands, 4 yards (no play)",-1.000,-1.290
4,13:44,2,17,BAL 4,10,28,Jamal Lewis up the middle for 7 yards (tackle by Boss Bailey),-1.290,-1.420
4,13:03,3,10,BAL 11,10,28,Anthony Wright pass complete to Randy Hymes for 21 yards (tackle by Boss Bailey),-1.420,1.070
4,12:30,1,10,BAL 32,10,28,Jamal Lewis left tackle for 5 yards (tackle by Teddy Lehman),1.070,1.200
4,12:01,2,5,BAL 37,10,28,Anthony Wright pass complete to Mark Clayton for 6 yards (tackle by Teddy Lehman),1.200,1.800
4,11:26,1,10,BAL 43,10,28,Jamal Lewis for 11 yards (tackle by Kalimba Edwards),1.800,2.520
4,10:59,1,10,DET 46,10,28,"Anthony Wright pass incomplete intended for Derrick Mason. Penalty on Derrick Mason: Unsportsmanlike Conduct, 16 yards",2.520,-0.180
4,10:51,2,26,BAL 38,10,28,"Anthony Wright pass complete to Mark Clayton for no gain. Penalty on Dre' Bly: Illegal Contact, 5 yards (no play)",-0.180,1.800
4,10:34,1,10,BAL 43,10,28,Jamal Lewis left end for 5 yards (tackle by R.W. McQuarters and Teddy Lehman),1.800,1.930
4,10:05,2,5,BAL 48,10,28,Anthony Wright pass complete to Todd Heap for 48 yards (tackle by Boss Bailey),1.930,6.280
4,9:41,1,4,DET 4,10,28,Jamal Lewis right tackle for -2 yards (tackle by Jared DeVries),6.280,4.950
4,9:04,2,6,DET 6,16,28,"Anthony Wright pass complete to Todd Heap for 6 yards, touchdown. Penalty on Boss Bailey: Defensive Pass Interfere (Declined)",4.950,7.000
4,,,,DET 2,17,28,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,17,28,"Aaron Elling kicks off 71 yards, returned by R.W. McQuarters for 19 yards (tackle by Darnell Dinkins)",0.000,0.040
4,8:52,1,10,DET 18,17,28,Artose Pinner up the middle for 3 yards (tackle by Ma'ake Kemoeatu),0.040,0.010
4,8:05,2,7,DET 21,17,28,Joey Harrington up the middle for 2 yards (tackle by Chris McAlister),0.010,-0.530
4,7:16,3,5,DET 23,17,34,"Shawn Bryson right tackle for 77 yards, touchdown",-0.530,7.000
4,,,,BAL 2,17,35,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,17,35,"Jason Hanson kicks off 64 yards, returned by B.J. Sams for 28 yards (tackle by R.W. McQuarters)",0.000,1.200
4,6:58,1,10,BAL 34,17,35,Anthony Wright pass incomplete intended for Derrick Mason,1.200,0.660
4,6:55,2,10,BAL 34,17,35,Anthony Wright pass complete to Mark Clayton for 4 yards (tackle by Boss Bailey),0.660,0.500
4,6:31,3,6,BAL 38,17,35,Anthony Wright right tackle for 7 yards (tackle by Terrence Holt). Penalty on Kalimba Edwards: Defensive Offside (Declined),0.500,1.930
4,6:13,1,10,BAL 45,17,35,Anthony Wright pass incomplete intended for Mark Clayton,1.930,1.380
4,6:08,2,10,BAL 45,17,35,Anthony Wright pass incomplete intended for Derrick Mason,1.380,0.700
4,6:03,3,10,BAL 45,17,35,"Anthony Wright pass complete to Derrick Mason for 9 yards (tackle by Dre' Bly). Derrick Mason fumbles (forced by Dre' Bly), recovered by Dre' Bly at DET-40 (tackle by Derrick Mason)",0.700,-1.600
4,5:52,1,10,DET 40,17,35,Artose Pinner up the middle for 6 yards (tackle by Adalius Thomas),1.600,1.860
4,5:07,2,4,DET 46,17,35,Artose Pinner right end for no gain (tackle by Tommy Polley),1.860,1.160
4,4:22,3,4,DET 46,17,35,Artose Pinner right tackle for 3 yards (tackle by Dwan Edwards),1.160,-0.130
4,3:35,,,,17,35,Timeout #1 by Detroit Lions,0.000,-0.130
4,3:35,4,1,DET 49,17,35,Nick Harris punts 47 yards,-0.130,0.380
4,3:23,1,10,BAL 4,17,35,Jamal Lewis up the middle for 12 yards (tackle by Dre' Bly),-0.380,-0.140
4,2:59,1,10,BAL 16,17,35,Anthony Wright pass complete to Mark Clayton for 11 yards (tackle by Andre' Goodman),-0.140,0.740
4,2:35,1,10,BAL 27,17,35,Anthony Wright pass incomplete intended for Clarence Moore (defended by Andre' Goodman),0.740,0.200
4,2:30,2,10,BAL 27,17,35,Anthony Wright pass complete to Clarence Moore for 23 yards (tackle by Andre' Goodman),0.200,2.260
4,2:06,1,10,DET 50,17,35,"Anthony Wright pass incomplete intended for Clarence Moore. Penalty on Andre' Goodman: Defensive Pass Interfere, 10 yards (no play)",2.260,2.920
4,2:00,1,10,DET 40,17,35,Anthony Wright pass incomplete intended for Clarence Moore,2.920,2.370
4,1:53,2,10,DET 40,17,35,Anthony Wright pass incomplete intended for Mark Clayton,2.370,1.680
4,1:49,3,10,DET 40,17,35,Chester Taylor left end for 4 yards (tackle by Bracy Walker),1.680,0.880
4,1:40,,,,17,35,Timeout #3 by Baltimore Ravens,0.000,0.880
4,1:40,4,6,DET 36,17,35,"Anthony Wright pass incomplete intended for Clarence Moore. Penalty on Jared DeVries: Defensive Offside, 5 yards (no play)",0.880,1.410
4,1:35,4,1,DET 31,17,35,Anthony Wright pass complete to Chester Taylor for 5 yards (tackle by Teddy Lehman),1.410,3.840
4,1:14,1,10,DET 26,17,35,Anthony Wright pass complete to Chester Taylor for 2 yards (tackle by R.W. McQuarters),3.840,3.570
4,0:45,2,8,DET 24,17,35,Anthony Wright pass complete to Derrick Mason for 13 yards. Penalty on Shaun Cody: Defensive Offside (Declined),3.570,4.840
4,0:42,1,10,DET 11,17,35,"Anthony Wright pass incomplete intended for Mark Clayton. Penalty on Cory Redding: Roughing the Passer, 6 yards (no play)",4.840,6.060
4,0:36,1,5,DET 5,17,35,Jamal Lewis left end for -4 yards (tackle by Bracy Walker),6.060,4.380
4,0:12,2,9,DET 9,17,35,Anthony Wright pass incomplete intended for Jamal Lewis,4.380,3.360
4,0:08,3,9,DET 9,17,35,Anthony Wright pass incomplete intended for Randy Hymes (defended by R.W. McQuarters),3.360,2.830
4,0:04,4,9,DET 9,17,35,Anthony Wright pass incomplete intended for Todd Heap (defended by Bracy Walker),2.830,-0.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
