Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
2,7:23,2,2,SEA 40,5,14,Jameis Winston pass incomplete deep left intended for Cecil Shorts (defended by Steven Terrell),2.930,2.210
2,7:13,3,2,SEA 40,5,14,Doug Martin middle for -1 yards (tackle by Frank Clark and Bobby Wagner),2.210,0.530
2,6:39,4,3,SEA 41,5,14,"Bryan Anger punts 27 yards, fair catch by Tyler Lockett",0.530,0.280
2,6:30,1,10,SEA 14,5,14,Thomas Rawls left tackle for 5 yards (tackle by Clinton McDonald),-0.280,-0.040
2,5:59,2,5,SEA 19,5,14,Thomas Rawls middle for 1 yard (tackle by William Gholston and Akeem Spence),-0.040,-0.680
2,5:13,3,4,SEA 20,5,14,Russell Wilson sacked by Kwon Alexander for -6 yards,-0.680,-2.470
2,4:34,4,10,SEA 14,5,14,"Jon Ryan punts 43 yards, out of bounds",-2.470,-1.800
2,4:24,1,10,TAM 43,5,14,Jameis Winston pass incomplete short right intended for Mike Evans (defended by K.J. Wright),1.800,1.250
2,4:16,2,10,TAM 43,5,14,"Jameis Winston pass complete short left to Mike Evans for 8 yards (tackle by Richard Sherman). Penalty on Frank Clark: Unnecessary Roughness, 15 yards",1.250,3.310
2,3:51,1,10,SEA 34,5,14,Doug Martin right guard for 1 yard (tackle by Bobby Wagner),3.310,2.910
2,3:20,2,9,SEA 33,5,14,Jameis Winston pass complete short right to Doug Martin for -2 yards (tackle by K.J. Wright),2.910,1.950
2,2:47,3,11,SEA 35,5,14,Jameis Winston pass complete short right to Cecil Shorts for 6 yards,1.950,1.540
2,2:17,4,5,SEA 29,5,14,Roberto Aguayo 48 yard field goal no good,1.540,-1.470
2,2:10,1,10,SEA 38,5,14,Thomas Rawls middle for 7 yards (tackle by Gerald McCoy),1.470,1.870
2,2:00,2,3,SEA 45,5,14,Russell Wilson pass complete short left to Doug Baldwin for 7 yards (tackle by Alterraun Verner),1.870,2.390
2,1:34,1,10,TAM 48,5,14,Russell Wilson middle for 3 yards (tackle by Lavonte David),2.390,2.250
2,1:12,2,7,TAM 45,5,14,Russell Wilson for 8 yards,2.250,3.120
2,1:04,1,10,TAM 37,5,14,Russell Wilson left end for 8 yards (tackle by Lavonte David),3.120,0.000
2,0:53,,,,5,14,Timeout #1 by Seattle Seahawks,0.000,-3.650
2,0:53,2,2,TAM 29,5,14,Russell Wilson pass incomplete short left intended for Paul Richardson is intercepted by Alterraun Verner at TAM-15 and returned for 16 yards,3.650,-1.000
2,0:43,1,10,TAM 31,5,14,Doug Martin middle for 9 yards (tackle by Kam Chancellor),1.000,0.000
2,0:37,,,,5,14,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.680
2,0:37,2,1,TAM 40,5,14,Jameis Winston pass complete short middle to Alan Cross for 10 yards (tackle by K.J. Wright),1.680,0.000
2,0:29,,,,5,14,Timeout #2 by Tampa Bay Buccaneers,0.000,-2.260
2,0:29,1,10,,5,14,Jameis Winston pass complete short right to Russell Shepard for 18 yards (tackle by Neiko Thorpe),2.260,0.000
2,0:22,,,,5,14,Timeout #3 by Tampa Bay Buccaneers,0.000,-3.450
2,0:22,1,10,SEA 32,5,14,Jameis Winston pass incomplete deep right intended for Russell Shepard,3.450,2.900
2,0:15,2,10,SEA 32,5,14,Jameis Winston pass complete short right to Cameron Brate for 2 yards (tackle by K.J. Wright),2.900,2.480
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,5,14,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,SEA 25,5,14,"Russell Wilson pass complete short left to Jermaine Kearse for 9 yards (tackle by Chris Conte). Penalty on Joey Hunt: Chop Block, 12 yards (no play)",0.610,-0.640
3,14:35,1,22,SEA 13,5,14,Russell Wilson pass incomplete deep left intended for Jermaine Kearse (defended by Alterraun Verner),-0.640,-1.640
3,14:29,2,22,SEA 13,5,14,Russell Wilson right end for 11 yards (tackle by Chris Conte),-1.640,-0.760
3,13:42,3,11,SEA 24,5,14,Russell Wilson pass incomplete deep left intended for Tyler Lockett,-0.760,-1.770
3,13:35,4,11,SEA 24,5,14,"Jon Ryan punts 43 yards, returned by Adam Humphries for 11 yards (tackle by DeAndre Elliott)",-1.770,-1.860
3,13:27,1,10,TAM 44,5,14,Doug Martin left guard for 2 yards (tackle by Kam Chancellor and Jeremy Lane),1.860,1.590
3,12:47,2,8,TAM 46,5,14,Jameis Winston pass complete short left to Cameron Brate for 7 yards (tackle by Steven Terrell),1.590,1.820
3,12:11,3,1,SEA 47,5,14,Doug Martin left end for -3 yards (tackle by K.J. Wright),1.820,-0.060
3,11:24,4,4,,5,14,Bryan Anger punts 46 yards,-0.060,0.380
3,11:12,1,10,SEA 4,5,14,Russell Wilson pass complete short right to Doug Baldwin for 12 yards (tackle by Vernon Hargreaves),-0.380,-0.140
3,10:46,1,10,SEA 16,5,14,Russell Wilson for 13 yards,-0.140,0.870
3,10:10,1,10,SEA 29,5,14,Russell Wilson pass incomplete deep left intended for Paul Richardson,0.870,0.330
3,10:01,2,10,SEA 29,5,14,Russell Wilson pass complete short right to Doug Baldwin for 1 yard (tackle by Kwon Alexander),0.330,-0.230
3,9:17,3,9,SEA 30,5,14,Russell Wilson pass incomplete deep left intended for Tyler Lockett. Penalty on Jermaine Kearse: Offensive Pass Interference (Declined),-0.230,-1.370
3,9:11,4,9,SEA 30,5,14,Jon Ryan punts 42 yards,-1.370,-0.810
3,9:04,1,10,TAM 28,5,14,Jameis Winston pass complete short left to Russell Shepard for 5 yards (tackle by Jeremy Lane),0.810,0.940
3,8:31,2,5,TAM 33,5,14,Doug Martin middle for 3 yards (tackle by Neiko Thorpe),0.940,0.630
3,7:55,3,2,TAM 36,5,14,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Kam Chancellor),0.630,0.000
3,7:10,,,,5,14,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.990
3,7:10,1,10,TAM 46,5,14,Jameis Winston pass complete short left to Mike Evans for 10 yards (tackle by Bobby Wagner),1.990,2.650
3,6:35,1,10,SEA 44,5,14,Doug Martin middle for 5 yards (tackle by Kam Chancellor),2.650,2.780
3,5:59,2,5,SEA 39,5,14,Doug Martin left tackle for -1 yards (tackle by Cassius Marsh),2.780,1.950
3,5:18,3,6,SEA 40,5,14,Jameis Winston pass incomplete deep middle intended for Mike Evans,1.950,0.590
3,5:13,4,6,SEA 40,5,14,Bryan Anger punts 31 yards,0.590,0.380
3,5:03,1,10,SEA 9,5,14,Russell Wilson pass complete short middle to Jimmy Graham for 17 yards (tackle by Chris Conte),-0.380,0.670
3,4:29,1,10,SEA 26,5,14,Thomas Rawls middle for 1 yard (tackle by Lavonte David and Robert Ayers),0.670,0.270
3,3:53,2,9,SEA 27,5,14,Thomas Rawls middle for 8 yards (tackle by Kwon Alexander),0.270,0.630
3,3:12,3,1,SEA 35,5,14,Will Tukuafu middle for no gain (tackle by Akeem Spence and Lavonte David),0.630,-1.040
3,2:39,4,1,SEA 35,5,14,"Jon Ryan punts 45 yards, fair catch by Adam Humphries",-1.040,-0.280
3,2:30,1,10,TAM 20,5,14,Jameis Winston middle for 8 yards (tackle by Cassius Marsh),0.280,0.810
3,1:45,2,2,TAM 28,5,14,Peyton Barber middle for 4 yards (tackle by Cassius Marsh),0.810,1.070
3,1:45,1,10,TAM 32,5,14,--,1.070,0.740
3,0:47,1,15,TAM 27,5,14,"Peyton Barber middle for 3 yards (tackle by Steven Terrell and Neiko Thorpe). Penalty on Ali Marpet: Illegal Use of Hands, 10 yards (no play)",0.740,-0.230
3,0:30,1,25,TAM 17,5,14,Jameis Winston pass incomplete deep middle intended for Cecil Shorts,-0.230,-1.640
3,0:21,2,25,TAM 17,5,14,Peyton Barber middle for 7 yards (tackle by Bobby Wagner),-1.640,-1.220
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,18,TAM 24,5,14,Jameis Winston pass complete short right to Cameron Brate for 13 yards (tackle by K.J. Wright),-1.220,-0.910
4,14:13,4,5,TAM 37,5,14,"Bryan Anger punts 56 yards, returned by Tyler Lockett for no gain",-0.910,0.380
4,14:03,1,10,SEA 7,5,14,Russell Wilson left end for 7 yards (tackle by Chris Conte),-0.380,-0.250
4,13:31,2,3,SEA 14,5,14,Russell Wilson pass complete short right to Doug Baldwin for 8 yards (tackle by Vernon Hargreaves),-0.250,0.410
4,13:03,1,10,SEA 22,5,14,Russell Wilson pass complete short middle to Jimmy Graham for 9 yards (tackle by Chris Conte),0.410,1.080
4,12:36,2,1,SEA 31,5,14,Thomas Rawls middle for 2 yards (tackle by Bradley McDougald and Sealver Siliga),1.080,1.140
4,12:09,1,10,SEA 33,5,14,Russell Wilson pass incomplete short right intended for Jermaine Kearse (defended by Brent Grimes),1.140,0.590
4,12:04,2,10,SEA 33,5,14,Russell Wilson pass incomplete short right intended for Jimmy Graham,0.590,0.000
4,11:58,,,,5,14,Timeout #2 by Tampa Bay Buccaneers,0.000,0.100
4,11:58,3,10,SEA 33,5,14,Russell Wilson pass incomplete deep left intended for Tyler Lockett (defended by Bradley McDougald),-0.100,-1.180
4,11:49,4,10,SEA 33,5,14,"Jon Ryan punts 55 yards, returned by Adam Humphries for 24 yards (tackle by Nolan Frese). Adam Humphries fumbles (forced by Nolan Frese), ball out of bounds at TAM-36",-1.180,-1.330
4,11:37,1,10,TAM 36,5,14,Doug Martin left end for 11 yards (tackle by Bobby Wagner and K.J. Wright),1.330,2.060
4,10:58,1,10,TAM 47,5,14,Doug Martin right guard for 5 yards (tackle by Tony McDaniel and Ahtyba Rubin),2.060,2.190
4,10:22,2,5,SEA 48,5,14,"Doug Martin middle for 3 yards (tackle by Ahtyba Rubin and Cliff Avril). Doug Martin fumbles (forced by Ahtyba Rubin), recovered by Steven Terrell at SEA-41 (tackle by Cameron Brate)",2.190,-1.660
4,10:14,1,10,SEA 41,5,14,Russell Wilson pass complete short right to Doug Baldwin for 4 yards (tackle by Brent Grimes),1.660,1.660
4,9:41,2,6,SEA 45,5,14,Russell Wilson for 13 yards (tackle by Bradley McDougald),1.660,2.790
4,9:12,1,10,TAM 42,5,14,Russell Wilson pass complete short left to Doug Baldwin for -1 yards (tackle by Vernon Hargreaves),2.790,2.110
4,8:35,2,11,TAM 43,5,14,Russell Wilson pass complete short middle to Jimmy Graham for 13 yards (tackle by Chris Conte),2.110,3.580
4,8:08,1,10,TAM 30,5,14,Russell Wilson pass incomplete deep right intended for Jermaine Kearse,3.580,3.030
4,8:02,2,10,TAM 30,5,14,Thomas Rawls middle for 3 yards (tackle by Kwon Alexander),3.030,2.740
4,7:19,3,7,TAM 27,5,14,"Russell Wilson pass complete short left to Jimmy Graham for 5 yards (tackle by Lavonte David and Vernon Hargreaves). Jimmy Graham fumbles (forced by Lavonte David), recovered by Lavonte David at TAM-22 and returned for 53 yards (tackle by Russell Wilson)",2.740,-3.910
4,7:01,1,10,SEA 25,5,14,Adam Humphries right end for -5 yards (tackle by Cliff Avril),3.910,2.690
4,6:23,2,15,SEA 30,5,14,Jameis Winston pass complete short right to Adam Humphries for 18 yards (tackle by Richard Sherman),2.690,4.780
4,5:41,1,10,SEA 12,5,14,Doug Martin middle for 3 yards (tackle by Kam Chancellor),4.780,4.640
4,4:59,2,7,SEA 9,5,14,Doug Martin middle for -1 yards (tackle by Frank Clark and Jarran Reed),4.640,3.480
4,4:17,3,8,SEA 10,5,14,"Jameis Winston pass complete short middle to Cameron Brate for 10 yards. Penalty on Demar Dotson: Illegal Use of Hands, 10 yards (no play)",3.480,2.480
4,4:10,3,18,SEA 20,5,14,Jameis Winston pass incomplete deep left intended for Mike Evans is intercepted by Kam Chancellor at SEA-0,2.480,-0.280
4,4:06,1,10,SEA 20,5,14,Russell Wilson pass complete short left to George Farmer for 4 yards (tackle by Daryl Smith),0.280,0.270
4,3:42,2,6,SEA 24,5,14,Russell Wilson pass incomplete short left intended for George Farmer,0.270,-0.430
4,3:37,3,6,SEA 24,5,14,Russell Wilson sacked by Gerald McCoy for -8 yards,-0.430,0.000
4,3:21,,,,5,14,Timeout #1 by Seattle Seahawks,0.000,2.390
4,3:21,4,14,SEA 16,5,14,Russell Wilson pass complete deep left to Jermaine Kearse for 18 yards (tackle by Alterraun Verner),-2.390,1.200
4,2:59,1,10,SEA 34,5,14,Russell Wilson pass complete deep middle to Jimmy Graham for 21 yards (tackle by Chris Conte),1.200,2.590
4,2:26,1,10,TAM 45,5,14,Russell Wilson sacked by Ryan Russell for -6 yards,2.590,0.000
4,2:19,,,,5,14,Timeout #2 by Seattle Seahawks,0.000,-1.230
4,2:19,2,16,SEA 49,5,14,Russell Wilson pass incomplete deep middle intended for Tyler Lockett,1.230,0.560
4,2:11,3,16,SEA 49,5,14,Russell Wilson pass complete deep right to Paul Richardson for 17 yards (tackle by Brent Grimes),0.560,3.310
4,2:00,1,10,TAM 34,5,14,Russell Wilson pass complete short right to Doug Baldwin for 3 yards (tackle by Lavonte David),3.310,3.180
4,1:36,2,7,TAM 31,5,14,Russell Wilson pass incomplete deep right intended for Tyler Lockett is intercepted by Bradley McDougald at TAM-2 and returned for 32 yards,3.180,-1.200
4,1:19,1,10,TAM 34,5,14,Jameis Winston kneels for -2 yards,1.200,0.000
4,1:18,,,,5,14,Timeout #4 by Seattle Seahawks,0.000,-0.390
4,1:18,2,12,TAM 32,5,14,Jameis Winston kneels for -1 yards,0.390,-0.430
4,0:35,3,13,TAM 31,5,14,Jameis Winston kneels for -1 yards,-0.430,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
