Quarter,Time,Down,ToGo,Location,CIN,LAR,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,CIN,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,LAR 10,3,3,Randy Bullock 28 yard field goal good,2.760,3.000
2,14:57,,,CIN 35,3,3,"Randy Bullock kicks off 64 yards, returned by Jojo Natson for 14 yards (tackle by LaRoy Reynolds). Penalty on Travin Howard: Illegal Block Above the Waist, 7 yards",0.000,-0.380
2,14:53,1,10,LAR 8,3,3,Darrell Henderson right tackle for 5 yards (tackle by Jessie Bates),-0.380,-0.410
2,14:31,2,5,LAR 13,3,3,"Penalty on David Edwards: False Start, 5 yards (no play)",-0.410,-0.780
2,14:31,2,10,LAR 8,3,3,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Nick Vigil),-0.780,-0.840
2,13:47,3,5,LAR 13,3,3,Jared Goff pass complete short middle to Cooper Kupp for 31 yards (tackle by Shawn Williams),-0.840,1.860
2,13:02,1,10,LAR 44,3,3,"Jared Goff pass incomplete deep left intended for Cooper Kupp. Penalty on Robert Woods: Illegal Shift, 5 yards (no play)",1.860,1.530
2,12:56,1,15,LAR 39,3,3,Jared Goff pass complete short right to Darrell Henderson for 6 yards (tackle by Jessie Bates),1.530,1.450
2,12:16,2,9,LAR 45,3,3,Darrell Henderson left end for 1 yard (tackle by Carlos Dunlap),1.450,0.890
2,11:35,3,8,LAR 46,3,3,Jared Goff pass complete short middle to Cooper Kupp for 23 yards (tackle by Jessie Bates),0.890,3.510
2,10:49,1,10,CIN 31,3,9,"Jared Goff pass complete deep left to Josh Reynolds for 31 yards, touchdown",3.510,7.000
2,10:43,,,CIN 15,3,10,Greg Zuerlein kicks extra point good,0.000,0.000
2,10:43,,,LAR 35,3,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,10:43,1,10,CIN 25,3,10,Joe Mixon up the middle for 11 yards (tackle by Eric Weddle),0.610,1.330
2,10:05,1,10,CIN 36,3,10,Andy Dalton pass complete short right to Tyler Eifert for 5 yards (tackle by Jalen Ramsey),1.330,1.470
2,9:37,2,5,CIN 41,3,10,Andy Dalton pass complete short middle to Joe Mixon for 4 yards (tackle by Cory Littleton),1.470,1.290
2,8:58,,,,,,Timeout #1 by Cincinnati Bengals,,
2,8:58,3,1,CIN 45,3,10,Andy Dalton pass incomplete deep middle intended for Tyler Boyd,1.290,-0.390
2,8:51,,,,,,Timeout #1 by Los Angeles Rams,,
2,8:51,4,1,CIN 45,3,10,Joe Mixon up the middle for 3 yards (tackle by Taylor Rapp),-0.390,2.130
2,8:18,1,10,CIN 48,3,10,Joe Mixon right guard for 12 yards (tackle by Eric Weddle),2.130,2.920
2,7:39,1,10,LAR 40,3,10,Giovani Bernard left end for 25 yards (tackle by Jalen Ramsey),2.920,4.580
2,6:50,1,10,LAR 15,3,10,Joe Mixon up the middle for 4 yards (tackle by Taylor Rapp),4.580,4.640
2,6:19,2,6,LAR 11,3,10,"Andy Dalton pass complete short left to C.J. Uzomah for 4 yards (tackle by Taylor Rapp). Penalty on Michael Brockers: Roughing the Passer, 4 yards",4.640,6.510
2,6:01,1,3,LAR 3,3,10,Joe Mixon left guard for 2 yards (tackle by Sebastian Joseph),6.510,5.910
2,5:22,2,1,LAR 1,9,10,"Andy Dalton pass complete short right to Joe Mixon for 1 yard, touchdown",5.910,7.000
2,5:18,,,LAR 15,10,10,Randy Bullock kicks extra point good,0.000,0.000
2,5:18,,,CIN 35,10,10,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,5:18,1,10,LAR 25,10,10,Josh Reynolds right tackle for -1 yards (tackle by Carlos Dunlap),0.610,-0.070
2,4:45,2,11,LAR 24,10,10,Jared Goff pass complete short middle to Gerald Everett for 11 yards (tackle by B.W. Webb),-0.070,1.270
2,4:11,1,10,LAR 35,10,16,"Jared Goff pass complete short right to Cooper Kupp for 65 yards, touchdown",1.270,7.000
2,3:57,,,CIN 15,10,17,Greg Zuerlein kicks extra point good,0.000,0.000
2,3:57,,,LAR 35,10,17,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,3:57,1,10,CIN 25,10,17,Andy Dalton pass complete short right to Alex Erickson for 12 yards (tackle by Eric Weddle),0.610,1.400
2,3:20,1,10,CIN 37,10,17,Tyler Boyd left end for 3 yards (tackle by Samson Ebukam),1.400,1.260
2,2:47,2,7,CIN 40,10,17,"Andy Dalton pass incomplete short left. Penalty on John Jerry: Offensive Holding, 10 yards (no play)",1.260,-0.090
2,2:43,2,17,CIN 30,10,17,Andy Dalton pass complete short right to Alex Erickson for 10 yards (tackle by Jalen Ramsey),-0.090,0.560
2,2:10,3,7,CIN 40,10,17,Andy Dalton pass complete short left to Tyler Boyd for 11 yards (tackle by Marqui Christian),0.560,2.320
2,2:00,1,10,LAR 49,10,17,Andy Dalton pass complete short left to Auden Tate for 19 yards (tackle by Marqui Christian),2.320,3.580
2,1:28,1,10,LAR 30,10,17,Andy Dalton pass incomplete deep left intended for Auden Tate,3.580,3.030
2,1:24,2,10,LAR 30,10,17,Andy Dalton pass incomplete short left intended for Alex Erickson,3.030,2.340
2,1:20,3,10,LAR 30,10,17,Andy Dalton sacked by Dante Fowler for -9 yards,2.340,0.660
2,1:14,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:14,4,19,LAR 39,10,17,Kevin Huber punts 37 yards downed by Stanley Morgan,0.660,0.380
2,1:06,1,10,LAR 2,10,17,Todd Gurley up the middle for no gain (tackle by Anthony Zettel),-0.380,-0.780
2,1:01,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:01,2,10,LAR 2,10,17,Jared Goff pass incomplete short right intended for Todd Gurley (defended by Carlos Dunlap),-0.780,-1.420
2,0:58,3,10,LAR 2,10,17,Todd Gurley right tackle for 20 yards (tackle by Shawn Williams),-1.420,0.410
2,0:36,1,10,LAR 22,10,17,Jared Goff pass complete short right to Gerald Everett for 4 yards,0.410,0.410
2,0:32,2,6,LAR 26,10,17,Jared Goff pass complete short left to Josh Reynolds for 12 yards (tackle by Tony McRae),0.410,1.470
2,0:25,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:25,1,10,LAR 38,10,17,Jared Goff pass incomplete short middle intended for Josh Reynolds,1.470,0.920
2,0:21,2,10,LAR 38,10,17,Jared Goff pass incomplete deep right intended for Josh Reynolds,0.920,0.230
2,0:15,3,10,LAR 38,10,17,Todd Gurley right tackle for no gain (tackle by Geno Atkins),0.230,-0.850
2,0:09,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:09,4,10,LAR 38,10,17,Johnny Hekker punts 52 yards downed by Jake McQuaide,-0.850,1.470
Quarter,Time,Down,ToGo,Location,CIN,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,10,17,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,10,17,Robert Woods left guard for 6 yards (tackle by Carlos Dunlap),0.610,0.870
3,14:24,2,4,LAR 31,10,17,Jared Goff pass incomplete deep left intended for Cooper Kupp (defended by Tony McRae),0.870,0.170
3,14:18,3,4,LAR 31,10,17,Jared Goff pass complete short middle to Cooper Kupp for 15 yards (tackle by Jessie Bates),0.170,1.990
3,13:36,1,10,LAR 46,10,17,Robert Woods right tackle for no gain (tackle by Sam Hubbard),1.990,1.450
3,12:53,2,10,LAR 46,10,17,Jared Goff pass incomplete short left intended for Cooper Kupp,1.450,0.760
3,12:48,3,10,LAR 46,10,17,Jared Goff pass complete deep right to Cooper Kupp for 40 yards (tackle by Tony McRae). Penalty on William Jackson: Defensive Holding (Declined),0.760,4.650
3,12:20,1,10,CIN 14,10,17,Todd Gurley left tackle for 9 yards (tackle by Tony McRae and Nick Vigil),4.650,5.670
3,11:36,2,1,CIN 5,10,17,Robert Woods right end for no gain (tackle by Nick Vigil and Sam Hubbard),5.670,4.960
3,10:55,3,1,CIN 5,10,17,Todd Gurley right guard for 2 yards (tackle by Preston Brown),4.960,6.510
3,10:19,1,3,CIN 3,10,23,"Todd Gurley left end for 3 yards, touchdown",6.510,7.000
3,10:14,,,CIN 15,10,24,Greg Zuerlein kicks extra point good,0.000,0.000
3,10:14,,,LAR 35,10,24,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,10:14,1,10,CIN 25,10,24,Andy Dalton pass complete short left to Tyler Boyd for 3 yards (tackle by Darious Williams),0.610,0.470
3,9:39,2,7,CIN 28,10,24,Andy Dalton pass complete short left to Tyler Eifert for 12 yards (tackle by Darious Williams),0.470,1.600
3,9:03,1,10,CIN 40,10,24,Joe Mixon right guard for -2 yards (tackle by Taylor Rapp and Samson Ebukam),1.600,0.780
3,8:24,2,12,CIN 38,10,24,Andy Dalton pass complete short right to Tyler Boyd for 11 yards (tackle by Jalen Ramsey),0.780,1.550
3,7:48,3,1,CIN 49,10,24,Andy Dalton pass complete short right to Joe Mixon for 3 yards (tackle by Jalen Ramsey),1.550,2.390
3,7:17,1,10,LAR 48,10,24,Andy Dalton pass incomplete short right intended for C.J. Uzomah (defended by Samson Ebukam),2.390,1.850
3,7:14,2,10,LAR 48,10,24,"Andy Dalton right guard for 4 yards (tackle by Marqui Christian). Penalty on Nickell Robey-Coleman: Defensive Holding, 5 yards",1.850,2.980
3,6:49,1,10,LAR 39,10,24,Joe Mixon right guard for -2 yards (tackle by Aaron Donald),2.980,2.170
3,6:06,2,12,LAR 41,10,24,Andy Dalton pass complete short right to Auden Tate for 5 yards (tackle by Jalen Ramsey),2.170,2.150
3,5:21,,,,,,Timeout #1 by Cincinnati Bengals,,
3,5:21,3,7,LAR 36,10,24,Andy Dalton pass complete short right to Andy Dalton for -4 yards (tackle by Aaron Donald),2.150,0.590
3,4:38,4,11,LAR 40,10,24,"Kevin Huber punts 31 yards, fair catch by Jojo Natson at LA-9",0.590,0.380
3,4:31,1,10,LAR 9,10,24,Darrell Henderson right guard for 15 yards (tackle by Jessie Bates),-0.380,0.540
3,3:54,1,10,LAR 24,10,24,Darrell Henderson right tackle for 3 yards (tackle by Germaine Pratt),0.540,0.400
3,3:13,2,7,LAR 27,10,24,"Jared Goff pass complete short left to Josh Reynolds for 11 yards (tackle by William Jackson). Penalty on Rob Havenstein: Unnecessary Roughness, 13 yards (no play)",0.400,-1.470
3,2:44,2,20,LAR 14,10,24,Jared Goff pass complete deep right to Josh Reynolds for 30 yards (tackle by Shawn Williams),-1.470,1.860
3,2:03,1,10,LAR 44,10,24,Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Shawn Williams),1.860,1.320
3,1:57,2,10,LAR 44,10,24,Darrell Henderson left end for 1 yard (tackle by Nick Vigil),1.320,0.760
3,1:14,3,9,LAR 45,10,24,"Penalty on Carlos Dunlap: Neutral Zone Infraction, 5 yards (no play)",0.760,1.420
3,1:06,3,4,LAR 50,10,24,Jared Goff pass incomplete short left intended for Darrell Henderson,1.420,-0.060
3,1:02,4,4,LAR 50,10,24,Johnny Hekker punts 37 yards out of bounds,-0.060,0.320
3,0:53,1,10,CIN 13,10,24,"Joe Mixon left tackle for 3 yards (tackle by Dante Fowler). Penalty on Tanzel Smart: Defensive Holding, 5 yards",-0.320,0.340
3,0:31,1,10,CIN 21,10,24,Joe Mixon right guard for 3 yards (tackle by Michael Brockers),0.340,0.210
Quarter,Time,Down,ToGo,Location,CIN,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CIN 24,10,24,Andy Dalton pass incomplete deep left intended for Auden Tate,0.210,-0.490
4,14:56,3,7,CIN 24,10,24,Andy Dalton sacked by Ogbonnia Okoronkwo for -5 yards,-0.490,-2.140
4,14:12,4,12,CIN 19,10,24,"Kevin Huber punts 51 yards, fair catch by Jojo Natson at LA-30",-2.140,-0.940
4,14:04,1,10,LAR 30,10,24,Jared Goff pass complete short middle to Darrell Henderson for 14 yards (tackle by Shawn Williams and Preston Brown),0.940,1.860
4,13:17,1,10,LAR 44,10,24,Jared Goff pass incomplete short right,1.860,1.320
4,13:12,2,10,LAR 44,10,24,Darrell Henderson right guard for 6 yards (tackle by Andrew Brown),1.320,1.420
4,12:27,3,4,LAR 50,10,24,Jared Goff pass incomplete short middle intended for Cooper Kupp (defended by Nick Vigil),1.420,-0.060
4,12:21,4,4,LAR 50,10,24,"Johnny Hekker punts 33 yards, fair catch by Alex Erickson at CIN-17",-0.060,0.060
4,12:14,1,10,CIN 17,10,24,Andy Dalton sacked by Aaron Donald for -3 yards,-0.060,-0.970
4,11:45,2,13,CIN 14,10,24,Andy Dalton pass incomplete short left intended for Tyler Boyd (defended by Taylor Rapp),-0.970,-1.720
4,11:42,3,13,CIN 14,10,24,Andy Dalton pass complete short left to Auden Tate for 9 yards (tackle by Eric Weddle),-1.720,-1.830
4,10:57,4,4,CIN 23,10,24,Kevin Huber punts 49 yards downed by Germaine Pratt,-1.830,-0.810
4,10:45,1,10,LAR 28,10,24,Darrell Henderson right guard for 3 yards (tackle by Shawn Williams),0.810,0.670
4,10:04,2,7,LAR 31,10,24,Jared Goff pass incomplete short left intended for Mike Thomas,0.670,-0.030
4,9:59,3,7,LAR 31,10,24,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by William Jackson),-0.030,-1.310
4,9:54,4,7,LAR 31,10,24,Johnny Hekker punts 44 yards downed by Natrez Patrick,-1.310,-0.610
4,9:45,1,10,CIN 25,10,24,Joe Mixon left end for 4 yards (tackle by Dante Fowler),0.610,0.600
4,9:22,2,6,CIN 29,10,24,Joe Mixon left guard for 4 yards (tackle by Taylor Rapp),0.600,0.430
4,8:41,3,2,CIN 33,10,24,"Penalty on Bobby Hart: False Start, 5 yards (no play)",0.430,-0.230
4,8:25,3,7,CIN 28,10,24,Andy Dalton pass complete short middle to Tyler Eifert for 10 yards (tackle by Taylor Rapp),-0.230,1.470
4,7:58,1,10,CIN 38,10,24,Andy Dalton pass complete short left to Giovani Bernard for 11 yards (tackle by Troy Hill),1.470,2.190
4,7:38,1,10,CIN 49,10,24,Andy Dalton pass incomplete short left intended for Auden Tate,2.190,1.650
4,7:34,2,10,CIN 49,10,24,Andy Dalton pass incomplete deep right intended for Tyler Eifert,1.650,0.960
4,7:30,3,10,CIN 49,10,24,Andy Dalton pass incomplete short right,0.960,-0.130
4,7:25,4,10,CIN 49,10,24,Andy Dalton pass complete deep left to Auden Tate for 27 yards (tackle by Eric Weddle). Penalty on Darious Williams: Defensive Pass Interference (Declined),-0.130,3.970
4,7:14,1,10,LAR 24,10,24,Joe Mixon right guard for 3 yards (tackle by Samson Ebukam),3.970,3.840
4,6:47,2,7,LAR 21,10,24,Andy Dalton pass incomplete deep left intended for Auden Tate,3.840,3.140
4,6:45,3,7,LAR 21,10,24,Andy Dalton sacked by and Cory Littleton for -6 yards,3.140,1.670
4,6:30,,,,,,Timeout #2 by Cincinnati Bengals,,
4,6:30,4,13,LAR 27,10,24,Andy Dalton pass complete deep middle to Tyler Boyd for 18 yards (tackle by Eric Weddle),1.670,5.140
4,6:06,1,9,LAR 9,10,24,Giovani Bernard left guard for 3 yards (tackle by Morgan Fox),5.140,4.950
4,5:24,2,6,LAR 6,10,24,Andy Dalton pass incomplete short left intended for Auden Tate (defended by Troy Hill),4.950,4.040
4,5:20,3,6,LAR 6,10,24,Andy Dalton pass incomplete short middle intended for Tyler Eifert,4.040,2.990
4,5:16,4,6,LAR 6,10,24,Andy Dalton pass complete short right to Stanley Morgan for 3 yards (tackle by Cory Littleton and Jalen Ramsey),2.990,0.380
4,5:10,1,10,LAR 3,10,24,Darrell Henderson left guard for 6 yards (tackle by Andrew Brown),-0.380,-0.340
4,4:27,2,4,LAR 9,10,24,Darrell Henderson left tackle for 6 yards (tackle by Jessie Bates),-0.340,-0.220
4,3:43,1,10,LAR 15,10,24,Robert Woods left end for no gain (tackle by Renell Wren),-0.220,-0.710
4,3:35,,,,,,Timeout #4 by Cincinnati Bengals,,
4,3:35,2,10,LAR 15,10,24,Darrell Henderson left guard for 2 yards (tackle by Preston Brown),-0.710,-1.120
4,2:49,3,8,LAR 17,10,24,Darrell Henderson left tackle for 1 yard (tackle by Nick Vigil),-1.120,-2.240
4,2:06,4,7,LAR 18,10,24,"Johnny Hekker punts 56 yards, returned by Alex Erickson for no gain (tackle by Kenny Young). Penalty on Germaine Pratt: Offensive Holding, 10 yards",-2.240,0.140
4,1:53,1,10,CIN 16,10,24,Andy Dalton pass complete short middle to Alex Erickson for -6 yards (tackle by Marqui Christian),-0.140,0.010
4,1:33,2,6,CIN 20,10,24,Andy Dalton pass complete short middle to Alex Erickson for 5 yards (tackle by Cory Littleton),0.010,-0.200
4,1:09,3,1,CIN 25,10,24,Andy Dalton pass complete short middle to Auden Tate for 5 yards (tackle by Cory Littleton),-0.200,0.940
4,0:54,1,10,CIN 30,10,24,Andy Dalton spiked the ball,0.940,0.390
4,0:54,2,10,CIN 30,10,24,Andy Dalton pass complete deep left to Alex Erickson for 52 yards (tackle by Taylor Rapp),0.390,4.370
4,0:30,1,10,LAR 18,10,24,Andy Dalton spiked the ball,4.370,3.800
4,0:30,2,10,LAR 18,10,24,Andy Dalton pass incomplete deep left intended for Auden Tate,3.800,3.050
4,0:26,3,10,LAR 18,10,24,Andy Dalton pass complete short middle to Tyler Eifert for 14 yards (tackle by Cory Littleton and Taylor Rapp),3.050,6.280
4,0:11,1,4,LAR 4,10,24,Andy Dalton spiked the ball,6.280,5.340
4,0:11,2,4,LAR 4,10,24,Andy Dalton pass incomplete short left intended for Tyler Boyd,5.340,4.490
4,0:08,3,4,LAR 4,10,24,"Penalty on John Jerry: False Start, 5 yards (no play)",4.490,3.360
4,0:08,3,9,LAR 9,10,24,Andy Dalton pass incomplete short right intended for Auden Tate (defended by Nickell Robey-Coleman),3.360,2.830
4,0:05,4,9,LAR 9,10,24,Andy Dalton pass incomplete short right intended for Auden Tate (defended by Nickell Robey-Coleman),2.830,-0.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
