Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
2,9:03,1,9,IND 9,3,3,Derek Anderson pass incomplete short right intended for Kellen Winslow Jr.,5.140,4.380
2,8:58,2,9,IND 9,3,3,Jamal Lewis right guard for 1 yard (tackle by Clint Session),4.380,3.580
2,8:16,3,8,IND 8,3,3,Derek Anderson sacked by Robert Mathis for 0 yards,3.580,2.950
2,7:36,4,8,IND 8,3,6,Phil Dawson 25 yard field goal good,2.950,3.000
2,,,,CLE 30,3,6,"Phil Dawson kicks off 48 yards, returned by Jacob Tamme for 11 yards (tackle by Beau Bell)",0.000,1.140
2,7:30,1,10,IND 33,3,6,Peyton Manning pass complete short left to Reggie Wayne for 12 yards (tackle by Brandon McDonald),1.140,1.930
2,6:55,1,10,IND 45,3,6,Joseph Addai left end for 1 yard (tackle by Brandon McDonald),1.930,1.520
2,6:15,2,9,IND 46,3,6,Peyton Manning pass complete short left to Gijon Robinson for 3 yards (tackle by Kamerion Wimbley),1.520,1.220
2,5:47,3,6,IND 49,3,6,Peyton Manning pass complete short left to Dallas Clark for 17 yards (tackle by Sean Jones),1.220,3.310
2,5:12,1,10,CLE 34,3,6,Joseph Addai left guard for 14 yards (tackle by Sean Jones and Nick Sorensen),3.310,4.240
2,5:12,1,10,CLE 20,3,6,"Penalty on Jamey Richard: False Start, 5 yards (no play)",4.240,3.910
2,4:27,1,15,CLE 25,3,6,Joseph Addai left end for 6 yards (tackle by Brandon McDonald),3.910,3.820
2,3:50,2,9,CLE 19,3,6,Peyton Manning pass complete short right to Dallas Clark for 7 yards (tackle by Terry Cousin),3.820,4.340
2,3:10,3,2,CLE 12,3,6,Peyton Manning pass complete short right to Marvin Harrison for 5 yards (tackle by Eric Wright),4.340,5.600
2,2:34,1,7,CLE 7,3,6,Joseph Addai right guard for 2 yards (tackle by Leon Williams and Willie McGinest),5.600,5.150
2,2:00,2,5,CLE 5,3,6,Joseph Addai left guard for 4 yards (tackle by Nick Sorensen and Louis Leonard),5.150,5.170
2,1:17,,,,3,6,Timeout #1 by Indianapolis Colts,0.000,5.170
2,1:17,3,1,CLE 1,3,6,Joseph Addai up the middle for no gain (tackle by Shaun Rogers),5.170,3.550
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,1:09,,,,3,6,Timeout #1 by Cleveland Browns,0.000,3.550
2,1:09,4,1,CLE 1,3,6,"Peyton Manning up the middle for no gain (tackle by Brodney Pool). Peyton Manning fumbles (forced by Brodney Pool), recovered by Dallas Clark at CLE-1",3.550,0.380
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,1:04,1,10,CLE 1,3,6,Derek Anderson up the middle for 2 yards (tackle by Raheem Brock),-0.380,-0.630
2,1:00,,,,3,6,Timeout #2 by Indianapolis Colts,0.000,-0.630
2,1:00,2,8,CLE 3,3,6,Lawrence Vickers up the middle for 2 yards (tackle by Josh Thomas and Freddie Keiaho),-0.630,-0.950
2,0:56,,,,3,6,Timeout #3 by Indianapolis Colts,0.000,-0.950
2,0:56,3,6,CLE 5,3,6,Jamal Lewis right guard for no gain (tackle by Josh Thomas and Freddie Keiaho),-0.950,-2.490
2,0:10,,,,3,6,Timeout #2 by Cleveland Browns,0.000,-2.490
2,0:10,4,6,CLE 5,3,6,"Dave Zastudil punts 44 yards, returned by Keiwan Ratliff for 2 yards (tackle by Josh Cribbs)",-2.490,-2.460
2,0:03,1,10,CLE 47,3,6,Peyton Manning pass incomplete deep right intended for Dallas Clark is intercepted by Sean Jones at CLE-5 and returned for 4 yards (tackle by Marvin Harrison),2.460,0.000
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,3,6,"Adam Vinatieri kicks off 66 yards, returned by Josh Cribbs for 19 yards (tackle by Marcus Howard)",0.000,0.480
3,14:54,1,10,CLE 23,3,6,Jamal Lewis right guard for 2 yards (tackle by Antonio Johnson),0.480,0.200
3,14:24,2,8,CLE 25,3,6,Jamal Lewis left tackle for 1 yard (tackle by Antonio Johnson and Clint Session),0.200,-0.360
3,13:44,3,7,CLE 26,3,6,Derek Anderson pass incomplete short left intended for Braylon Edwards,-0.360,-1.630
3,13:40,4,7,CLE 26,3,6,"Dave Zastudil punts 53 yards, muffed catch by Keiwan Ratliff, recovered by Keiwan Ratliff and returned for -2 yards",-1.630,0.140
3,13:28,1,10,IND 16,3,6,Peyton Manning pass incomplete deep left intended for Reggie Wayne is intercepted by Brandon McDonald at IND-49,-0.140,-2.320
3,13:21,1,10,IND 49,3,6,Derek Anderson pass incomplete deep right intended for Donte Stallworth,2.320,1.780
3,13:15,2,10,IND 49,3,6,Derek Anderson pass complete short left to Donte Stallworth for 4 yards (tackle by Melvin Bullitt),1.780,1.620
3,12:34,3,6,IND 45,3,6,Derek Anderson pass complete short middle to Braylon Edwards for 20 yards (tackle by Antoine Bethea),1.620,3.910
3,11:55,1,10,IND 25,3,6,Jamal Lewis left guard for 8 yards (tackle by Antoine Bethea and Clint Session),3.910,4.550
3,11:18,2,2,IND 17,3,6,Jamal Lewis right tackle for no gain (tackle by Antonio Johnson),4.550,3.850
3,10:37,,,,3,6,Timeout #1 by Cleveland Browns,0.000,3.850
3,10:35,3,2,IND 17,3,6,Josh Cribbs up the middle for no gain (tackle by Clint Session),3.850,2.440
3,9:56,4,2,IND 17,3,6,Phil Dawson 34 yard field goal no good,2.440,-0.610
3,9:55,1,10,IND 25,3,6,Dominic Rhodes right tackle for 8 yards (tackle by Shaun Rogers),0.610,1.140
3,9:13,2,2,IND 33,3,6,Dominic Rhodes left guard for 1 yard (tackle by Kamerion Wimbley),1.140,0.560
3,8:40,3,1,IND 34,3,6,Dominic Rhodes right tackle for 2 yards (tackle by Leon Williams),0.560,1.330
3,8:01,1,10,IND 36,3,6,Peyton Manning pass complete short right to Dominic Rhodes for 4 yards (tackle by Eric Wright),1.330,1.330
3,7:39,2,6,IND 40,3,6,Dominic Rhodes left guard for no gain (tackle by Kamerion Wimbley and D'Qwell Jackson),1.330,0.630
3,6:56,3,6,IND 40,3,6,Peyton Manning pass complete deep left to Reggie Wayne for 16 yards (tackle by Sean Jones),0.630,2.650
3,6:15,1,10,CLE 44,3,6,Joseph Addai right guard for no gain (tackle by Willie McGinest),2.650,2.110
3,5:56,2,10,CLE 44,3,6,"Joseph Addai right guard for 5 yards (tackle by Alex Hall). Penalty on CLE: Defensive 12 On-field, 5 yards (no play)",2.110,2.780
3,5:34,2,5,CLE 39,3,6,Peyton Manning pass complete short middle to Anthony Gonzalez for 9 yards (tackle by Mike Adams),2.780,3.580
3,5:01,1,10,CLE 30,3,6,Joseph Addai right guard for 2 yards (tackle by Alex Hall),3.580,3.300
3,4:24,2,8,CLE 28,3,6,Peyton Manning pass incomplete deep left intended for Reggie Wayne,3.300,2.610
3,4:17,3,8,CLE 28,3,6,Peyton Manning pass incomplete short left intended for Joseph Addai,2.610,1.590
3,4:12,4,8,CLE 28,3,6,Adam Vinatieri 46 yard field goal no good,1.590,-1.400
3,4:07,1,10,CLE 37,3,6,Jamal Lewis left tackle for 1 yard (tackle by Tyjuan Hagler),1.400,0.990
3,3:33,2,9,CLE 38,3,6,Derek Anderson pass complete short left to Jamal Lewis for 7 yards (tackle by Clint Session),0.990,1.220
3,2:50,3,2,CLE 45,3,6,Derek Anderson pass complete short middle to Syndric Steptoe for 3 yards (tackle by Antoine Bethea),1.220,2.130
3,2:06,1,10,CLE 48,3,6,Derek Anderson pass incomplete short left intended for Jamal Lewis,2.130,1.580
3,2:01,2,10,CLE 48,3,6,Jamal Lewis right guard for 6 yards (tackle by Darrell Reid),1.580,1.680
3,1:20,3,4,IND 46,3,6,Derek Anderson pass incomplete short right intended for Steve Heiden,1.680,0.200
3,1:14,4,4,IND 46,3,6,Dave Zastudil punts 42 yards,0.200,0.380
3,1:04,1,10,IND 4,3,6,Dominic Rhodes right guard for 5 yards (tackle by Shaun Smith),-0.380,-0.420
3,0:17,2,5,IND 9,3,6,Peyton Manning pass complete short left to Anthony Gonzalez for 4 yards (tackle by D'Qwell Jackson),-0.420,-0.370
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,IND 13,3,6,Joseph Addai right guard for 5 yards (tackle by Shaun Smith),-0.370,0.040
4,14:23,1,10,IND 18,3,6,Dominic Rhodes right tackle for 3 yards (tackle by D'Qwell Jackson),0.040,0.010
4,13:37,2,7,IND 21,3,6,Dominic Rhodes left tackle for 4 yards (tackle by Brodney Pool and Brandon McDonald),0.010,-0.270
4,12:56,3,3,IND 25,3,6,Peyton Manning pass incomplete short right intended for Reggie Wayne,-0.270,-1.700
4,12:51,4,3,IND 25,3,6,"Hunter Smith punts 44 yards, fair catch by Josh Cribbs",-1.700,-1.000
4,12:44,1,10,CLE 31,3,6,Jamal Lewis right guard for 2 yards (tackle by Antonio Johnson),1.000,0.730
4,12:08,2,8,CLE 33,3,6,Jamal Lewis right tackle for 4 yards (tackle by Antoine Bethea),0.730,0.560
4,11:30,3,4,CLE 37,3,6,Jason Wright left guard for 6 yards (tackle by Dwight Freeney and Antoine Bethea),0.560,1.800
4,10:45,1,10,CLE 43,3,6,Jamal Lewis right tackle for 2 yards (tackle by Antonio Johnson),1.800,1.520
4,10:05,2,8,CLE 45,3,6,Derek Anderson pass incomplete short right intended for Steve Heiden (defended by Kelvin Hayden),1.520,0.830
4,9:55,3,8,CLE 45,9,6,"Derek Anderson sacked by Dwight Freeney for -8 yards. Derek Anderson fumbles (forced by Dwight Freeney), recovered by Robert Mathis at CLE-37 and returned for 37 yards, touchdown",0.830,-7.000
4,,,,CLE 2,10,6,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,10,6,"Adam Vinatieri kicks off 70 yards, returned by Josh Cribbs for 31 yards (tackle by Marcus Howard). Penalty on Alex Hall: Illegal Block Above the Waist, 10 yards",0.000,-0.380
4,9:38,1,10,CLE 10,10,6,Derek Anderson pass incomplete short left intended for Donte Stallworth,-0.380,-0.780
4,9:35,2,10,CLE 10,10,6,Derek Anderson pass complete short middle to Steve Heiden for 8 yards (tackle by Tyjuan Hagler),-0.780,-0.480
4,8:55,3,2,CLE 18,10,6,Derek Anderson pass complete short middle to Martin Rucker for 9 yards (tackle by Freddie Keiaho),-0.480,0.740
4,8:20,1,10,CLE 27,10,6,Jamal Lewis right guard for 3 yards (tackle by Josh Thomas),0.740,0.600
4,7:55,2,7,CLE 30,10,6,Jamal Lewis right guard for 3 yards (tackle by Eric Foster),0.600,0.300
4,7:14,3,4,CLE 33,10,6,Derek Anderson pass complete short left to Steve Heiden for 4 yards (tackle by Jordan Senn),0.300,1.400
4,6:31,1,10,CLE 37,10,6,Derek Anderson pass incomplete short middle intended for Jamal Lewis,1.400,0.860
4,6:27,2,10,CLE 37,10,6,Jamal Lewis right guard for 3 yards (tackle by Josh Thomas and Clint Session),0.860,0.560
4,5:47,3,7,CLE 40,10,6,Derek Anderson pass incomplete deep right intended for Steve Heiden,0.560,-0.720
4,5:42,4,7,CLE 40,10,6,"Dave Zastudil punts 60 yards, touchback",-0.720,-0.280
4,5:32,1,10,IND 20,10,6,"Dominic Rhodes right guard for -1 yards (tackle by Mike Adams). Penalty on Willie McGinest: Defensive Offside, 5 yards (no play)",0.280,1.010
4,5:03,1,5,IND 25,10,6,Dominic Rhodes right guard for 1 yard (tackle by Shaun Smith),1.010,0.540
4,4:24,2,4,IND 26,10,6,Peyton Manning pass complete short left to Reggie Wayne for 4 yards (tackle by Brodney Pool),0.540,0.940
4,3:40,1,10,IND 30,10,6,Dominic Rhodes left guard for 5 yards (tackle by Mike Adams and Corey Williams),0.940,1.070
4,2:55,2,5,IND 35,10,6,Dominic Rhodes right guard for 4 yards (tackle by Shaun Rogers),1.070,0.890
4,2:10,3,1,IND 39,10,6,Joseph Addai left guard for -1 yards (tackle by Andra Davis and Willie McGinest),0.890,-0.850
4,2:00,4,2,IND 38,10,6,Hunter Smith punts 32 yards,-0.850,-0.940
4,1:50,1,10,CLE 30,10,6,Derek Anderson pass complete short middle to Jason Wright for 5 yards (tackle by Raheem Brock),0.940,1.070
4,1:28,2,5,CLE 35,10,6,Derek Anderson pass incomplete short right intended for Jason Wright,1.070,0.370
4,1:23,3,5,CLE 35,10,6,Derek Anderson pass complete short left to Jason Wright for 10 yards (tackle by Raheem Brock),0.370,1.930
4,1:16,,,,10,6,Timeout #2 by Cleveland Browns,0.000,1.930
4,1:16,1,10,CLE 45,10,6,Derek Anderson sacked by Robert Mathis for -10 yards,1.930,0.030
4,1:07,,,,10,6,Timeout #3 by Cleveland Browns,0.000,0.030
4,1:07,2,20,CLE 35,10,6,Ken Dorsey pass incomplete deep left intended for Braylon Edwards (defended by Tim Jennings),0.030,-0.630
4,1:02,3,20,CLE 35,10,6,Ken Dorsey pass incomplete short right intended for Syndric Steptoe,-0.630,-1.040
4,0:56,4,20,CLE 35,10,6,Ken Dorsey pass incomplete deep right intended for Braylon Edwards is intercepted by Antoine Bethea at IND-36,-1.040,-1.330
4,0:45,1,10,IND 36,10,6,Peyton Manning kneels for -1 yards,1.330,0.660
4,0:27,2,11,IND 35,10,6,Peyton Manning kneels for -1 yards,0.660,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
