Quarter,Time,Down,ToGo,Location,NWE,WAS,Detail,EPB,EPA
1,3:11,2,14,WAS 15,0,3,Tom Brady pass incomplete intended for Christian Fauria,3.560,2.970
1,2:59,3,14,WAS 15,0,3,Tom Brady pass complete to Troy Brown for 9 yards (tackle by Fred Smoot),2.970,2.990
1,2:18,4,5,WAS 6,3,3,Adam Vinatieri 23 yard field goal good,2.990,3.000
1,,,,NWE 30,3,3,"Adam Vinatieri kicks off 59 yards, returned by Chad Morton for 21 yards (tackle by Aric Morris)",0.000,1.070
1,2:07,1,10,WAS 32,3,3,"Trung Canidate right guard for 5 yards (tackle by Richard Seymour). Penalty on Willie McGinest: Defensive Offside, 5 yards (no play)",1.070,1.800
1,1:48,1,5,WAS 37,3,3,Trung Canidate up the middle for 6 yards (tackle by Roman Phifer),1.800,1.800
1,1:11,1,10,WAS 43,3,3,"Patrick Ramsey pass complete to Rod Gardner for 9 yards (tackle by Tyrone Poole). Penalty on Laveranues Coles: Offensive Pass Interference, 10 yards (no play)",1.800,1.140
1,0:41,1,20,WAS 33,3,3,Patrick Ramsey pass complete to Trung Canidate for 25 yards (tackle by Rodney Harrison),1.140,2.790
1,0:06,,,,3,3,Timeout #1 by Washington Redskins,0.000,2.790
1,0:06,1,10,NWE 42,3,3,Patrick Ramsey sacked by Dan Klecko for -3 yards,2.790,1.840
Quarter,Time,Down,ToGo,Location,NWE,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,NWE 45,3,3,Patrick Ramsey pass complete to Rod Gardner for 14 yards (tackle by Eugene Wilson),1.840,3.510
2,14:27,1,10,NWE 31,3,3,Ladell Betts left end for 5 yards (tackle by Tedy Bruschi),3.510,3.640
2,13:50,2,5,NWE 26,3,3,Patrick Ramsey pass complete to Rock Cartwright for 11 yards (tackle by Roman Phifer),3.640,4.580
2,13:15,1,10,NWE 15,3,3,Patrick Ramsey right end for 7 yards (tackle by Willie McGinest),4.580,5.220
2,12:29,2,3,NWE 8,3,3,Ladell Betts left end for -3 yards (tackle by Rodney Harrison),5.220,3.780
2,11:49,3,6,NWE 11,3,3,Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Ty Law),3.780,2.720
2,11:43,4,6,NWE 11,3,6,John Hall 29 yard field goal good,2.720,3.000
2,,,,WAS 30,3,6,"John Hall kicks off 75 yards, returned by Bethel Johnson for 20 yards (tackle by Patrick Johnson)",0.000,-0.220
2,11:35,1,10,NWE 15,3,6,Tom Brady pass incomplete intended for Larry Centers,-0.220,-0.710
2,11:31,2,10,NWE 15,3,6,Kevin Faulk right end for 1 yard (tackle by Matt Bowen and Jermaine Haley),-0.710,-1.250
2,10:50,3,9,NWE 16,3,6,Tom Brady pass complete to David Givens for 11 yards (tackle by Matt Bowen),-1.250,0.740
2,10:17,1,10,NWE 27,3,6,Tom Brady pass incomplete intended for Daniel Graham,0.740,0.200
2,10:09,2,10,NWE 27,3,6,Kevin Faulk right end for 2 yards (tackle by Ifeanyi Ohalete),0.200,-0.230
2,9:30,3,8,NWE 29,3,6,Tom Brady pass incomplete intended for Deion Branch (defended by Fred Smoot),-0.230,-1.440
2,9:19,4,8,NWE 29,3,6,"Ken Walter punts 44 yards, returned by Chad Morton for 9 yards (tackle by Patrick Pass)",-1.440,-1.330
2,9:07,1,10,WAS 36,3,6,Trung Canidate up the middle for no gain (tackle by Tedy Bruschi),1.330,0.790
2,8:34,2,10,WAS 36,3,6,Ladell Betts right guard for 10 yards (tackle by Rodney Harrison),0.790,1.990
2,7:50,1,10,WAS 46,3,6,Patrick Ramsey pass complete to Laveranues Coles for 24 yards (tackle by Eugene Wilson),1.990,3.580
2,7:22,1,10,NWE 30,3,6,Trung Canidate left end for no gain (tackle by Eugene Wilson),3.580,3.030
2,6:40,2,10,NWE 30,3,6,Patrick Ramsey pass incomplete intended for Rod Gardner,3.030,2.340
2,6:30,3,10,NWE 30,3,6,Patrick Ramsey pass incomplete intended for Darnerien McCants (defended by Asante Samuel),2.340,1.410
2,6:24,4,10,NWE 30,3,6,"John Hall 48 yard field goal no good, blocked by Dan Klecko, recovered by Chris Akins",1.410,-1.070
2,6:15,1,10,NWE 32,3,6,Antowain Smith right end for 3 yards (tackle by Jeremiah Trotter),1.070,0.930
2,5:45,2,7,NWE 35,3,6,Antowain Smith right tackle for 3 yards (tackle by Jeremiah Trotter),0.930,0.630
2,5:11,3,4,NWE 38,3,6,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Jeremiah Trotter),0.630,1.930
2,4:31,1,10,NWE 45,3,6,"Tom Brady pass incomplete intended for Bethel Johnson (defended by Champ Bailey). Penalty on Champ Bailey: Defensive Pass Interference, 25 yards (no play)",1.930,3.580
2,4:25,1,10,WAS 30,3,6,Antowain Smith left guard for 2 yards (tackle by Martin Chase),3.580,3.300
2,3:55,2,8,WAS 28,3,6,Antowain Smith right end for 1 yard (tackle by Champ Bailey),3.300,2.740
2,3:13,3,7,WAS 27,3,6,Tom Brady pass incomplete intended for Deion Branch is intercepted by Ifeanyi Ohalete at WAS-0,2.740,-0.280
2,3:03,1,10,WAS 20,3,6,Trung Canidate left end for 5 yards (tackle by Willie McGinest),0.280,0.410
2,2:27,2,5,WAS 25,3,6,Trung Canidate left end for 8 yards (tackle by Eugene Wilson),0.410,1.140
2,2:00,1,10,WAS 33,3,6,Patrick Ramsey pass complete to Rod Gardner for 5 yards (tackle by Tyrone Poole),1.140,1.270
2,1:30,2,5,WAS 38,3,6,Patrick Ramsey pass incomplete intended for Ladell Betts (defended by Ty Warren),1.270,0.560
2,1:23,3,5,WAS 38,3,6,Patrick Ramsey pass incomplete intended for Ladell Betts,0.560,-0.850
2,1:18,4,5,WAS 38,3,6,"Bryan Barker punts 35 yards, returned by Troy Brown for 17 yards (tackle by Daryl Terrell). Penalty on Je'Rod Cherry: Offensive Holding, 10 yards",-0.850,-1.200
2,1:05,1,10,NWE 34,3,6,Tom Brady pass incomplete intended for Daniel Graham,1.200,0.660
2,0:59,2,10,NWE 34,3,6,Larry Centers right guard for 8 yards (tackle by Ifeanyi Ohalete and Regan Upshaw),0.660,1.030
2,0:30,3,2,NWE 42,3,6,Tom Brady pass complete to Deion Branch for 17 yards,1.030,2.850
2,0:26,1,10,WAS 41,3,6,Tom Brady pass incomplete intended for David Givens is intercepted by Champ Bailey at WAS-9,2.850,0.380
2,0:16,1,10,WAS 9,3,6,Patrick Ramsey kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,NWE,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,3,6,"John Hall kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NWE 20,3,6,Tom Brady pass complete to Troy Brown for 3 yards (tackle by Champ Bailey),0.280,0.140
3,14:31,2,7,NWE 23,3,6,Kevin Faulk left end for 3 yards (tackle by Jeremiah Trotter),0.140,-0.160
3,13:55,3,4,NWE 26,3,6,"Kevin Faulk right end for -9 yards (tackle by Champ Bailey). Kevin Faulk fumbles (forced by Champ Bailey), recovered by Matt Bowen at NWE-6 and returned for 5 yards (tackle by Deion Branch)",-0.160,-6.970
3,13:38,1,1,NWE 1,3,12,"Ladell Betts left guard for 1 yard, touchdown",6.970,7.000
3,,,,NWE 2,3,13,John Hall kicks extra point good,0.000,0.000
3,,,,WAS 30,3,13,"John Hall kicks off 64 yards, returned by Patrick Pass for 36 yards (tackle by John Hall)",0.000,1.730
3,13:28,1,10,NWE 42,3,13,Kevin Faulk left tackle for 5 yards (tackle by Bernard Holsey),1.730,1.860
3,12:52,2,5,NWE 47,3,13,Antowain Smith left guard for 10 yards (tackle by LaVar Arrington),1.860,2.720
3,12:11,1,10,WAS 43,3,13,"Penalty on Dan Koppen: False Start, 5 yards (no play)",2.720,2.390
3,11:55,1,15,WAS 48,3,13,"Troy Brown right end for 10 yards (tackle by LaVar Arrington). Penalty on NWE: Illegal Block Above the Waist, 10 yards",2.390,2.390
3,11:16,1,15,WAS 48,3,13,Antowain Smith right end for 12 yards (tackle by Matt Bowen),2.390,3.120
3,10:53,2,3,WAS 36,3,13,"Penalty on Matt Light: False Start, 5 yards (no play)",3.120,2.450
3,10:35,2,8,WAS 41,3,13,Tom Brady pass complete to David Givens for 4 yards (tackle by Fred Smoot),2.450,2.280
3,9:44,3,4,WAS 37,3,13,"Penalty on Bruce Smith: Defensive Offside, 5 yards (no play)",2.280,3.450
3,9:44,1,10,WAS 32,3,13,Antowain Smith left guard for 2 yards (tackle by Bernard Holsey and Jeremiah Trotter),3.450,3.170
3,9:02,2,8,WAS 30,3,13,Antowain Smith left guard for 3 yards (tackle by LaVar Arrington),3.170,2.870
3,8:28,3,5,WAS 27,3,13,Tom Brady pass incomplete intended for Deion Branch (defended by Peppi Zellner),2.870,1.720
3,8:19,4,5,WAS 27,3,13,Adam Vinatieri 46 yard field goal no good,1.720,-1.330
3,8:15,1,10,WAS 36,3,13,Trung Canidate up the middle for 9 yards (tackle by Rodney Harrison),1.330,2.010
3,7:43,2,1,WAS 45,3,13,Trung Canidate right guard for 7 yards (tackle by Willie McGinest),2.010,2.390
3,7:13,1,10,NWE 48,3,13,"Trung Canidate right tackle for 1 yard (tackle by Roman Phifer). Penalty on Derrick Dockery: Offensive Holding, 10 yards (no play)",2.390,1.730
3,6:55,1,20,WAS 42,3,13,"Trung Canidate left end for 23 yards (tackle by Tyrone Poole). Trung Canidate fumbles (forced by Tyrone Poole), recovered by Rod Gardner at NWE-12",1.730,4.780
3,6:05,1,10,NWE 12,3,13,Ladell Betts left end for 5 yards (tackle by Roman Phifer),4.780,5.020
3,5:20,2,5,NWE 7,3,13,"Penalty on Richard Seymour: Encroachment, 4 yards (no play)",5.020,5.790
3,5:15,2,1,NWE 3,3,19,"Rock Cartwright left end for 3 yards, touchdown",5.790,7.000
3,,,,NWE 2,3,20,John Hall kicks extra point good,0.000,0.000
3,,,,WAS 30,3,20,"John Hall kicks off 67 yards, returned by Patrick Pass for 26 yards",,
3,5:02,1,10,NWE 29,3,20,Tom Brady pass complete to Antowain Smith for 16 yards (tackle by Jessie Armstead),0.870,1.930
3,4:24,1,10,NWE 45,3,20,Antowain Smith up the middle for -3 yards (tackle by Renaldo Wynn),1.930,0.980
3,3:53,2,13,NWE 42,3,20,Antowain Smith right end for 4 yards (tackle by Kevin Mitchell),0.980,0.830
3,3:18,3,9,NWE 46,3,20,Tom Brady pass complete to Troy Brown for 20 yards (tackle by Rashad Bauman),0.830,3.310
3,2:20,,,,3,20,Timeout #1 by Washington Redskins,0.000,3.310
3,2:20,1,10,WAS 34,3,20,"Penalty on Jermaine Haley: Encroachment, 5 yards (no play)",3.310,4.040
3,2:19,1,5,WAS 29,9,20,"Tom Brady pass complete to David Givens for 29 yards, touchdown",4.040,7.000
3,,,,WAS 2,10,20,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,NWE 30,10,20,"Adam Vinatieri kicks off 54 yards, returned by Chad Morton for 14 yards (tackle by Aric Morris)",0.000,0.940
3,2:08,1,10,WAS 30,10,20,Trung Canidate right guard for 3 yards (tackle by Rick Lyle),0.940,0.800
3,1:34,,,,10,20,Timeout #1 by New England Patriots,0.000,0.800
3,1:34,2,7,WAS 33,10,20,Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Tedy Bruschi),0.800,0.100
3,1:29,3,7,WAS 33,10,20,Patrick Ramsey pass complete to Laveranues Coles for 6 yards (tackle by Rodney Harrison),0.100,-0.780
3,0:46,4,1,WAS 39,10,20,Bryan Barker punts 39 yards,-0.780,-0.410
3,0:36,1,10,NWE 22,10,20,Tom Brady pass complete to Troy Brown for 3 yards (tackle by Fred Smoot),0.410,0.270
Quarter,Time,Down,ToGo,Location,NWE,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,NWE 25,10,20,Antowain Smith up the middle for 4 yards (tackle by Renaldo Wynn),0.270,0.100
4,14:28,3,3,NWE 29,10,20,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Matt Bowen),0.100,1.270
4,13:48,1,10,NWE 35,10,20,Tom Brady pass incomplete intended for Deion Branch,1.270,0.720
4,13:41,2,10,NWE 35,10,20,Antowain Smith up the middle for 3 yards (tackle by Regan Upshaw),0.720,0.430
4,13:07,3,7,NWE 38,10,20,Tom Brady pass incomplete intended for David Givens is intercepted by Rashad Bauman at WAS-44,0.430,-1.860
4,12:49,1,10,WAS 44,10,20,Patrick Ramsey pass incomplete intended for Rod Gardner,1.860,1.320
4,12:44,2,10,WAS 44,10,20,Patrick Ramsey pass complete to Laveranues Coles for 6 yards (tackle by Ty Law),1.320,1.420
4,12:21,3,4,WAS 50,10,20,Ladell Betts left end for 7 yards (tackle by Dan Klecko and Eugene Wilson),1.420,2.720
4,11:37,1,10,NWE 43,10,20,Ladell Betts up the middle for 3 yards (tackle by Tedy Bruschi),2.720,2.580
4,11:04,2,7,NWE 40,10,20,Ladell Betts left guard for 3 yards (tackle by Rick Lyle),2.580,2.280
4,10:21,3,4,NWE 37,10,20,Patrick Ramsey pass incomplete intended for Darnerien McCants,2.280,0.790
4,10:11,4,4,NWE 37,10,20,"Bryan Barker punts 29 yards, fair catch by Troy Brown",0.790,0.380
4,10:04,1,10,NWE 8,10,20,Tom Brady pass complete to Christian Fauria for 7 yards (tackle by Champ Bailey),-0.380,-0.210
4,9:38,2,3,NWE 15,10,20,Antowain Smith up the middle for 9 yards (tackle by Jeremiah Trotter),-0.210,0.540
4,9:03,1,10,NWE 24,10,20,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Matt Bowen),0.540,0.810
4,8:30,2,4,NWE 30,10,20,Antowain Smith left end for 3 yards (tackle by Jeremiah Trotter),0.810,0.500
4,7:57,3,1,NWE 33,10,20,Tom Brady up the middle for 2 yards (tackle by Jeremiah Trotter),0.500,1.270
4,7:25,1,10,NWE 35,10,20,Tom Brady pass complete to Christian Fauria for 16 yards (tackle by Ifeanyi Ohalete),1.270,2.320
4,7:12,1,10,WAS 49,10,20,Tom Brady sacked by Renaldo Wynn for -8 yards,2.320,0.700
4,6:19,2,18,NWE 43,10,20,Larry Centers right guard for 5 yards (tackle by LaVar Arrington),0.700,0.700
4,5:41,3,13,NWE 48,10,20,Tom Brady pass incomplete intended for Larry Centers,0.700,-0.190
4,5:30,4,13,NWE 48,10,20,"Ken Walter punts 52 yards, touchback",-0.190,-0.280
4,5:19,1,10,WAS 20,10,20,Trung Canidate left guard for 1 yard (tackle by Bobby Hamilton),0.280,-0.130
4,4:43,2,9,WAS 21,10,20,Ladell Betts right end for no gain (tackle by Jarvis Green and Tedy Bruschi),-0.130,-0.820
4,3:55,3,9,WAS 21,10,20,Bryan Johnson left guard for 4 yards (tackle by Rick Lyle and Richard Seymour),-0.820,-1.700
4,3:46,,,,10,20,Timeout #2 by New England Patriots,0.000,-1.700
4,3:46,4,5,WAS 25,10,20,"Bryan Barker punts 46 yards, returned by Troy Brown for 3 yards (tackle by Todd Franz)",-1.700,-1.070
4,3:34,1,10,NWE 32,10,20,"Tom Brady pass complete to Troy Brown for 13 yards (tackle by Fred Smoot). Penalty on Larry Centers: Unnecessary Roughness, 15 yards",1.070,0.940
4,3:23,1,10,NWE 30,10,20,Tom Brady pass complete to Daniel Graham for 22 yards (tackle by Ifeanyi Ohalete),0.940,2.390
4,3:17,1,10,WAS 48,10,20,Tom Brady pass complete to Larry Centers for 14 yards,2.390,3.310
4,2:55,1,10,WAS 34,10,20,Tom Brady pass complete to Deion Branch for 15 yards (tackle by Ifeanyi Ohalete),3.310,4.310
4,2:33,1,10,WAS 19,10,20,Tom Brady pass complete to Daniel Graham for 12 yards (tackle by Fred Smoot),4.310,5.600
4,2:14,,,,10,20,Timeout #2 by Washington Redskins,0.000,5.600
4,2:14,1,7,WAS 7,16,20,"Tom Brady pass complete to Larry Centers for 7 yards, touchdown",5.600,7.000
4,,,,WAS 2,17,20,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,NWE 30,17,20,"Adam Vinatieri kicks off 62 yards, returned by Chad Morton for 10 yards",,
4,2:05,1,10,WAS 18,17,20,Ladell Betts left guard for 4 yards (tackle by Richard Seymour),0.040,0.140
4,1:59,2,6,WAS 22,17,20,Patrick Ramsey pass incomplete intended for Laveranues Coles,0.140,-0.660
4,1:55,3,6,WAS 22,17,20,"Penalty on Chris Samuels: False Start, 5 yards (no play)",-0.660,-1.340
4,1:55,3,11,WAS 17,17,20,"Penalty on Chris Samuels: False Start, 5 yards (no play)",-1.340,-2.120
4,1:55,3,16,WAS 12,17,20,Patrick Ramsey pass incomplete intended for Laveranues Coles,-2.120,-2.490
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:49,4,16,WAS 12,17,20,"Penalty on Daryl Terrell: False Start, 5 yards (no play)",-2.490,-2.490
4,1:48,4,21,WAS 7,17,20,Bryan Barker punts 38 yards,-2.490,-2.590
4,1:39,1,10,WAS 45,17,20,Tom Brady pass incomplete intended for Deion Branch,2.590,2.040
4,1:34,2,10,WAS 45,17,20,Tom Brady pass complete to Larry Centers for 5 yards (tackle by Jessie Armstead),2.040,2.010
4,1:09,3,5,WAS 40,17,20,Larry Centers up the middle for 2 yards (tackle by Jessie Armstead and Renaldo Wynn),2.010,0.720
4,0:43,4,3,WAS 38,17,20,Tom Brady pass incomplete intended for Daniel Graham,0.720,-1.470
4,0:37,1,10,WAS 38,17,20,Patrick Ramsey kneels for -1 yards,1.470,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
