Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA
2,13:39,1,10,TAM 18,0,14,Josh Freeman pass complete deep left to Arrelious Benn for 28 yards (tackle by Morgan Burnett and Tramon Williams),0.040,1.990
2,13:00,1,10,TAM 46,6,14,"LeGarrette Blount up the middle for 54 yards, touchdown",1.990,7.000
2,,,,GNB 2,7,14,Connor Barth kicks extra point good,0.000,0.000
2,,,,TAM 35,7,14,"Michael Koenen kicks off 69 yards, returned by Randall Cobb for 21 yards (tackle by Sammie Stroughter)",0.000,-0.060
2,12:42,1,10,GNB 17,7,14,Aaron Rodgers pass complete short right to Jordy Nelson for 12 yards (tackle by Ronde Barber),-0.060,0.870
2,12:23,1,10,GNB 29,7,14,Aaron Rodgers sacked by Adrian Clayborn for -4 yards,0.870,-0.210
2,11:53,2,14,GNB 25,7,14,Aaron Rodgers left end for 7 yards (tackle by E.J. Biggers),-0.210,0.040
2,11:17,3,7,GNB 32,7,14,"Aaron Rodgers pass incomplete deep right intended for Greg Jennings is intercepted by Corey Lynch at TAM-27 and returned for -7 yards (tackle by Greg Jennings). Penalty on Tim Crowder: Defensive Offside, 5 yards (no play)",0.040,0.700
2,11:08,3,2,GNB 37,7,14,Aaron Rodgers pass incomplete deep right intended for Jermichael Finley,0.700,-0.910
2,11:04,4,2,GNB 37,7,14,"Tim Masthay punts 63 yards, touchback",-0.910,-0.280
2,10:55,1,10,TAM 20,7,14,Josh Freeman sacked by Erik Walden for -3 yards,0.280,-0.790
2,10:26,2,13,TAM 17,7,14,LeGarrette Blount right guard for 5 yards (tackle by Clay Matthews),-0.790,-0.690
2,9:43,3,8,TAM 22,7,14,"Josh Freeman pass complete short left to Preston Parker for 12 yards (tackle by Sam Shields and Erik Walden). Penalty on Kregg Lumpkin: Offensive Holding (Offsetting), Penalty on Tramon Williams: Roughing the Passer (Offsetting) (no play)",-0.690,-0.690
2,9:16,3,8,TAM 22,7,14,Josh Freeman pass complete short left to Kellen Winslow Jr. for 13 yards (tackle by Morgan Burnett),-0.690,1.270
2,8:31,1,10,TAM 35,7,14,Arrelious Benn right end for 9 yards (tackle by Charles Woodson),1.270,1.940
2,8:05,2,1,TAM 44,7,14,LeGarrette Blount left tackle for 6 yards (tackle by Desmond Bishop and A.J. Hawk),1.940,2.260
2,7:28,1,10,,7,14,Josh Freeman pass complete short right to Erik Lorig for 10 yards (tackle by Brad Jones),2.260,2.920
2,6:45,1,10,GNB 40,7,14,LeGarrette Blount right end for 15 yards (tackle by Vic So'oto and Desmond Bishop),2.920,3.910
2,6:03,1,10,GNB 25,7,14,Josh Freeman pass complete short left to Mike Williams for 15 yards (tackle by Tramon Williams),3.910,4.910
2,5:21,1,10,GNB 10,7,14,LeGarrette Blount up the middle for -3 yards (tackle by Desmond Bishop and Howard Green),4.910,3.720
2,4:41,2,13,GNB 13,7,14,Josh Freeman pass incomplete short right intended for Mike Williams,3.720,3.060
2,4:37,3,13,GNB 13,7,14,Josh Freeman pass complete short right to Kregg Lumpkin for 8 yards (tackle by Morgan Burnett and Tramon Williams),3.060,3.010
2,3:55,4,5,GNB 5,10,14,Connor Barth 23 yard field goal good,3.010,3.000
2,,,,TAM 35,10,14,Michael Koenen kicks onside 3 yards. Penalty on Michael Koenen: Illegal Touch Kick (Declined),0.000,3.050
,,,,,,,"GNB challenged the loose ball recovery ruling, and the original play was overturned.",,
2,3:52,1,10,TAM 38,10,14,"Aaron Rodgers pass incomplete deep left intended for Jermichael Finley. Penalty on Jermichael Finley: Offensive Pass Interference, 10 yards (no play)",3.050,2.390
2,3:46,1,20,TAM 48,10,14,Aaron Rodgers pass complete deep right to Jermichael Finley for 30 yards (tackle by Corey Lynch),2.390,4.370
2,3:03,1,10,TAM 18,10,14,James Starks right end for 2 yards (tackle by Geno Hayes and Corey Lynch),4.370,4.090
2,2:22,2,8,TAM 16,10,14,Aaron Rodgers pass complete short left to Randall Cobb for 11 yards (tackle by Geno Hayes),4.090,6.060
2,2:02,,,,10,14,Timeout #2 by Green Bay Packers,0.000,6.060
2,2:02,1,5,TAM 5,10,20,"Aaron Rodgers pass complete short right to Jordy Nelson for 5 yards, touchdown",6.060,7.000
2,,,,TAM 2,10,21,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 35,10,21,"Mason Crosby kicks off 66 yards, returned by Sammie Stroughter for 25 yards (tackle by Andrew Quarless)",0.000,0.540
2,1:52,1,10,TAM 24,10,21,Josh Freeman pass complete short right to Mike Williams for 7 yards (tackle by Tramon Williams),0.540,0.940
2,1:18,2,3,TAM 31,10,21,Josh Freeman pass complete short middle to Kellen Winslow Jr. for 9 yards (tackle by A.J. Hawk),0.940,1.600
2,0:52,1,10,TAM 40,10,21,Josh Freeman pass complete short middle to Kellen Winslow Jr. for 17 yards (tackle by Desmond Bishop and Morgan Burnett),1.600,2.720
2,0:45,,,,10,21,Timeout #2 by Tampa Bay Buccaneers,0.000,2.720
2,0:45,1,10,GNB 43,10,21,Josh Freeman pass incomplete short right intended for Mike Williams,2.720,2.180
2,0:41,2,10,GNB 43,10,21,Josh Freeman pass incomplete short left intended for Mike Williams is intercepted by Tramon Williams at GNB-28,2.180,-0.810
2,0:32,1,10,GNB 28,10,21,Aaron Rodgers for 11 yards (tackle by Sean Jones),0.810,1.530
2,0:25,1,10,GNB 39,10,21,Aaron Rodgers pass incomplete deep right intended for Jermichael Finley,1.530,0.990
2,0:20,,,,10,21,Timeout #3 by Green Bay Packers,0.000,0.990
2,0:20,2,10,GNB 39,10,21,Aaron Rodgers pass complete short left to Greg Jennings for 2 yards (tackle by Aqib Talib),0.990,0.560
Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,10,21,"Michael Koenen kicks off 66 yards, returned by Randall Cobb for 13 yards (tackle by Adam Hayward). Penalty on Ryan Taylor: Illegal Block Above the Waist, 6 yards",0.000,-0.380
3,14:55,1,10,GNB 6,10,21,James Starks left tackle for 3 yards (tackle by Sean Jones),-0.380,-0.560
3,14:15,2,7,GNB 9,10,21,Aaron Rodgers pass incomplete deep left intended for Greg Jennings (defended by Aqib Talib),-0.560,-1.070
3,14:09,3,7,GNB 9,10,21,Aaron Rodgers pass complete short middle to Donald Driver for 35 yards (tackle by Corey Lynch),-1.070,1.860
3,13:28,1,10,GNB 44,10,21,James Starks right end for 1 yard (tackle by Quincy Black),1.860,1.450
3,12:48,2,9,GNB 45,10,21,Aaron Rodgers pass incomplete short right intended for James Jones,1.450,0.760
3,12:45,3,9,GNB 45,10,21,Aaron Rodgers sacked by Brian Price for -8 yards,0.760,-0.910
3,12:23,4,17,GNB 37,10,21,"Tim Masthay punts 50 yards, returned by Preston Parker for 16 yards. Preston Parker fumbles, ball out of bounds at TAM-29",-0.910,-0.870
3,12:09,1,10,TAM 29,10,21,Josh Freeman pass complete short left to Mike Williams for 9 yards (tackle by Tramon Williams),0.870,1.540
3,11:30,2,1,TAM 38,10,21,LeGarrette Blount up the middle for 4 yards (tackle by Erik Walden),1.540,1.730
3,10:54,1,10,TAM 42,10,21,LeGarrette Blount left end for -1 yards (tackle by Desmond Bishop),1.730,1.050
3,10:13,2,11,TAM 41,10,21,Josh Freeman right tackle for 5 yards (tackle by Erik Walden),1.050,1.030
3,9:29,3,6,TAM 46,10,21,Josh Freeman pass complete short middle to Kellen Winslow Jr. for 7 yards (tackle by Charles Woodson),1.030,2.460
3,8:43,,,,10,21,Timeout #1 by Tampa Bay Buccaneers,0.000,2.460
3,8:43,1,10,GNB 47,10,21,LeGarrette Blount left end for 3 yards (tackle by Erik Walden),2.460,2.320
3,7:58,2,7,GNB 44,10,21,Josh Freeman pass complete short right to Mike Williams for 21 yards (tackle by A.J. Hawk),2.320,4.040
3,7:14,1,10,GNB 23,10,21,LeGarrette Blount right tackle for 12 yards (tackle by Tramon Williams),4.040,4.840
3,6:33,1,10,GNB 11,10,21,Josh Freeman pass complete short left to Mike Williams for 4 yards (tackle by Desmond Bishop),4.840,4.890
3,5:50,2,6,GNB 7,10,21,LeGarrette Blount up the middle for 3 yards (tackle by Erik Walden and Morgan Burnett),4.890,4.670
3,5:07,3,3,GNB 4,10,21,"Josh Freeman pass complete short left to Kellen Winslow Jr. for 4 yards. Penalty on Kellen Winslow Jr.: Offensive Pass Interference, 10 yards (no play)",4.670,3.030
3,5:04,3,13,GNB 14,10,21,Josh Freeman pass incomplete short right intended for Arrelious Benn,3.030,2.510
3,4:57,4,13,GNB 14,13,21,Connor Barth 32 yard field goal good,2.510,3.000
3,,,,TAM 35,13,21,"Michael Koenen kicks off 73 yards, touchback",0.000,0.280
3,4:53,1,10,GNB 20,13,21,Aaron Rodgers pass incomplete short middle intended for Greg Jennings (defended by Aqib Talib),0.280,-0.270
3,4:50,2,10,GNB 20,13,21,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,-0.270,-0.960
3,4:45,3,10,GNB 20,13,21,Aaron Rodgers pass complete short left to Donald Driver for 19 yards (tackle by Elbert Mack),-0.960,1.530
3,4:07,1,10,GNB 39,13,21,Ryan Grant up the middle for 5 yards (tackle by Sean Jones),1.530,1.660
3,3:22,2,5,GNB 44,13,21,James Starks right end for -3 yards (tackle by Sean Jones). Penalty on Josh Sitton: Offensive Holding (Declined),1.660,0.560
3,2:52,3,8,GNB 41,13,21,Aaron Rodgers pass incomplete short right intended for Greg Jennings (defended by Aqib Talib),0.560,-0.650
3,2:48,4,8,GNB 41,13,21,Tim Masthay punts 50 yards,-0.650,0.380
3,2:36,1,10,TAM 9,13,21,Josh Freeman pass complete deep right to Mike Williams for 18 yards (tackle by Morgan Burnett),-0.380,0.740
3,2:06,1,10,TAM 27,13,21,LeGarrette Blount right end for 4 yards (tackle by Ryan Pickett),0.740,0.740
3,1:24,2,6,TAM 31,13,21,Josh Freeman pass complete deep left to Kellen Winslow Jr. for 37 yards (tackle by Charlie Peprah),0.740,3.450
3,0:36,1,10,GNB 32,13,21,LeGarrette Blount right tackle for 2 yards (tackle by Morgan Burnett and Ryan Pickett),3.450,3.170
Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,GNB 30,13,21,Josh Freeman pass complete short left to Kellen Winslow Jr. for 15 yards (tackle by Charlie Peprah),3.170,4.580
4,14:33,1,10,GNB 15,13,21,Josh Freeman pass complete short left to Arrelious Benn for 6 yards (tackle by Erik Walden),4.580,5.030
4,13:50,2,4,GNB 9,13,21,LeGarrette Blount left tackle for no gain (tackle by Clay Matthews),5.030,4.220
4,13:11,3,4,GNB 9,19,21,"Josh Freeman pass complete short left to Mike Williams for 9 yards, touchdown",4.220,7.000
4,,,,,19,21,"Two Point Attempt: Josh Freeman pass incomplete intended for Kellen Winslow Jr., conversion fails",1.000,-1.000
4,,,,TAM 35,19,21,"Michael Koenen kicks off 67 yards, returned by Randall Cobb for 17 yards (tackle by Preston Parker)",0.000,-0.220
4,13:02,1,10,GNB 15,19,21,Aaron Rodgers pass complete short right to James Starks for 3 yards (tackle by Da'Quan Bowers),-0.220,-0.280
4,12:27,2,7,GNB 18,19,21,Aaron Rodgers pass complete short left to James Starks for 3 yards (tackle by Quincy Black),-0.280,-0.630
4,11:45,3,4,GNB 21,19,21,"Aaron Rodgers pass incomplete deep right intended for Greg Jennings. Penalty on Myron Lewis: Defensive Holding, 5 yards (no play)",-0.630,0.670
4,11:40,1,10,GNB 26,19,21,Aaron Rodgers pass complete short right to James Starks for 12 yards (tackle by Albert Haynesworth and Ronde Barber),0.670,1.470
4,10:53,1,10,GNB 38,19,21,Aaron Rodgers pass complete short left to Donald Driver for 13 yards (tackle by Sean Jones),1.470,2.320
4,10:24,1,10,TAM 49,19,21,"Aaron Rodgers pass incomplete deep left intended for James Jones. Penalty on E.J. Biggers: Illegal Contact, 5 yards (no play)",2.320,2.650
4,10:19,1,10,TAM 44,19,21,Aaron Rodgers pass complete short middle to James Starks for 11 yards (tackle by Adrian Clayborn),2.650,3.380
4,9:39,1,10,TAM 33,19,21,James Starks right tackle for 6 yards (tackle by Brian Price),3.380,3.650
4,9:00,2,4,TAM 27,19,21,James Starks right end for 20 yards (tackle by Corey Lynch and Ronde Barber),3.650,5.600
4,8:13,1,7,TAM 7,19,21,"Penalty on Josh Sitton: False Start, 5 yards (no play)",5.600,4.640
4,7:50,1,12,TAM 12,19,21,"Aaron Rodgers pass incomplete short right intended for Donald Driver. Penalty on E.J. Biggers: Defensive Pass Interference, 10 yards (no play)",4.640,6.740
4,7:46,1,2,TAM 2,19,27,"John Kuhn left guard for 2 yards, touchdown",6.740,7.000
4,,,,TAM 2,19,28,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 35,19,28,"Mason Crosby kicks off 60 yards, returned by Sammie Stroughter for 25 yards (tackle by Patrick Lee)",0.000,0.940
4,7:35,1,10,TAM 30,19,28,LeGarrette Blount left tackle for 1 yard (tackle by Ryan Pickett),0.940,0.530
4,7:02,2,9,TAM 31,19,28,Josh Freeman pass complete short middle to LeGarrette Blount for 6 yards (tackle by Tramon Williams),0.530,0.630
4,6:17,3,3,TAM 37,19,28,Josh Freeman pass incomplete short right intended for Mike Williams,0.630,-0.910
4,6:13,4,3,TAM 37,19,28,"Michael Koenen punts 53 yards, returned by Randall Cobb for 60 yards (tackle by Kregg Lumpkin). Penalty on James Jones: Illegal Block Above the Waist, 10 yards",-0.910,-2.590
4,5:55,1,10,TAM 45,19,28,Aaron Rodgers pass incomplete short left intended for James Jones is intercepted by Elbert Mack at TAM-43 and returned for 7 yards (tackle by James Jones),2.590,-2.260
4,5:46,1,10,,19,28,Josh Freeman pass complete short right to Dezmon Briscoe for 5 yards (tackle by Tramon Williams),2.260,2.390
4,5:16,2,5,GNB 45,19,28,Josh Freeman pass incomplete short middle intended for Dezmon Briscoe (defended by B.J. Raji),2.390,1.690
4,5:11,3,5,GNB 45,19,28,Josh Freeman pass complete short middle to Kellen Winslow Jr. for 6 yards (tackle by Morgan Burnett and Erik Walden),1.690,2.980
4,4:38,1,10,GNB 39,19,28,Josh Freeman pass complete deep left to Arrelious Benn for 37 yards (tackle by Sam Shields). Penalty on Sam Shields: Illegal Contact (Declined),2.980,6.740
4,4:31,1,2,GNB 2,25,28,"Josh Freeman pass complete short left to Dezmon Briscoe for 2 yards, touchdown",6.740,7.000
4,,,,GNB 2,26,28,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 35,26,28,"Michael Koenen kicks onside 16 yards, recovered by John Kuhn. Penalty on Adam Hayward: Offside on Free Kick, 5 yards",0.000,2.520
4,4:23,1,10,TAM 46,26,28,James Starks right end for 6 yards (tackle by Quincy Black),2.520,2.790
4,3:41,2,4,TAM 40,26,28,James Starks right tackle for no gain (tackle by Sean Jones and Michael Bennett),2.790,2.080
4,3:01,3,4,TAM 40,26,34,"Aaron Rodgers pass complete deep left to Jordy Nelson for 40 yards, touchdown",2.080,7.000
4,,,,TAM 2,26,35,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 35,26,35,"Mason Crosby kicks off 64 yards, returned by Sammie Stroughter for 31 yards (tackle by M.D. Jennings)",0.000,1.070
4,2:47,1,10,TAM 32,26,35,Josh Freeman pass incomplete short right intended for Kellen Winslow Jr. is intercepted by Tramon Williams at TAM-41 and returned for 28 yards (tackle by Kregg Lumpkin),1.070,-4.710
4,2:37,1,10,TAM 13,26,35,Ryan Grant right end for 3 yards (tackle by Roy Miller),4.710,4.580
4,2:00,2,7,TAM 10,26,35,Aaron Rodgers pass complete short left to Tom Crabtree for no gain,4.580,3.650
4,1:49,,,,26,35,Timeout #2 by Tampa Bay Buccaneers,0.000,3.650
4,1:49,3,7,TAM 10,26,35,Aaron Rodgers pass complete short left to John Kuhn for -1 yards (tackle by Quincy Black and Da'Quan Bowers),3.650,2.700
4,1:40,,,,26,35,Timeout #3 by Tampa Bay Buccaneers,0.000,2.700
4,1:40,4,8,TAM 11,26,35,Mason Crosby 29 yard field goal no good,2.700,-0.280
4,1:36,1,10,TAM 20,26,35,Josh Freeman pass complete short left to Kellen Winslow Jr. for 18 yards (tackle by A.J. Hawk and Sam Shields),0.280,1.470
4,1:21,1,10,TAM 38,26,35,Josh Freeman spiked the ball,1.470,0.920
4,1:19,2,10,TAM 38,26,35,Josh Freeman sacked by Charles Woodson for -5 yards,0.920,-0.430
4,0:46,3,15,TAM 33,26,35,Josh Freeman pass incomplete short middle intended for Kellen Winslow Jr. (defended by Charlie Peprah),-0.430,-1.180
4,0:31,4,15,TAM 33,26,35,Josh Freeman pass complete short left to Kellen Winslow Jr. for 10 yards (tackle by Desmond Bishop),-1.180,-2.720
4,0:31,1,10,TAM 43,26,35,Aaron Rodgers kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
