Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
2,8:09,2,3,GNB 43,16,0,Kyle Boller pass complete short right to Steven Jackson for 8 yards (tackle by Nick Collins),2.660,3.250
2,7:36,1,10,GNB 35,16,0,Steven Jackson right tackle for 1 yard (tackle by Nick Barnett and Brady Poppinga),3.250,2.840
2,6:57,2,9,GNB 34,16,0,Kyle Boller pass complete short left to Donnie Avery for 5 yards (tackle by Nick Barnett),2.840,2.810
2,6:19,3,4,GNB 29,16,0,Kyle Boller pass complete short right to Kenneth Darby for 9 yards (tackle by Johnny Jolly),2.810,4.240
2,5:31,1,10,GNB 20,16,0,Steven Jackson right end for 4 yards (tackle by Aaron Kampman),4.240,4.280
2,4:51,2,6,GNB 16,16,6,"Kyle Boller pass complete deep right to Daniel Fells for 16 yards, touchdown",4.280,7.000
2,,,,GNB 2,16,7,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,16,7,"Josh Brown kicks off 74 yards, returned by Will Blackmon for 25 yards (tackle by Chris Chamberlain). Penalty on Brad Jones: Offensive Holding, 10 yards",0.000,-0.370
2,4:37,1,10,GNB 11,16,7,Aaron Rodgers pass complete short middle to Donald Driver for 15 yards (tackle by Craig Dahl),-0.370,0.670
2,3:58,1,10,GNB 26,16,7,Ryan Grant left guard for 1 yard,0.670,0.270
2,3:15,2,9,GNB 27,16,7,Ryan Grant right tackle for 2 yards (tackle by Gary Gibson),0.270,-0.160
2,2:33,3,7,GNB 29,16,7,Aaron Rodgers pass complete deep right to Greg Jennings for 50 yards (tackle by Ronald Bartell),-0.160,4.170
2,2:00,1,10,STL 21,22,7,"Aaron Rodgers pass complete deep left to Donald Driver for 21 yards, touchdown",4.170,7.000
2,,,,STL 2,23,7,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,23,7,"Mason Crosby kicks off 68 yards, returned by Danny Amendola for 14 yards (tackle by Brett Swain)",0.000,-0.140
2,1:47,1,10,STL 16,23,7,Steven Jackson left end for no gain (tackle by Cullen Jenkins),-0.140,-0.660
2,1:41,,,,23,7,Timeout #1 by Los Angeles Rams,0.000,-0.660
2,1:41,2,10,STL 16,23,7,Kyle Boller pass complete short right to Keenan Burton for 16 yards (tackle by Nick Collins),-0.660,1.070
2,1:34,1,10,STL 32,23,7,Kyle Boller pass complete short left to Keenan Burton for 14 yards (tackle by Clay Matthews),1.070,1.990
2,1:13,1,10,STL 46,23,7,Kyle Boller middle for 10 yards (tackle by Al Harris),1.990,2.650
2,0:37,1,10,GNB 44,23,7,Steven Jackson middle for 12 yards (tackle by Nick Barnett),2.650,3.450
2,0:26,1,10,GNB 32,23,7,Kyle Boller pass incomplete short left intended for Daniel Fells,3.450,2.900
2,0:24,2,10,GNB 32,23,7,Kyle Boller pass incomplete short middle intended for Donnie Avery,2.900,2.210
2,0:20,3,10,GNB 32,23,7,Kyle Boller middle for 13 yards (tackle by Derrick Martin),2.210,4.310
2,0:08,,,,23,7,Timeout #2 by Los Angeles Rams,0.000,4.310
2,0:08,1,10,GNB 19,23,13,"Kyle Boller pass complete deep left to Daniel Fells for 19 yards, touchdown",4.310,7.000
2,,,,GNB 2,23,14,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,23,14,Josh Brown kicks off 29 yards,0.000,1.660
2,0:01,1,10,GNB 41,23,14,Aaron Rodgers kneels for -1 yards,1.660,0.990
Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,23,14,"Josh Brown kicks off 65 yards, returned by Will Blackmon for 24 yards (tackle by Samkon Gado)",0.000,0.870
3,14:56,1,10,GNB 29,23,14,Ryan Grant left end for no gain (tackle by Gary Gibson),0.870,0.330
3,14:18,2,10,GNB 29,23,14,Aaron Rodgers pass incomplete short right intended for James Jones (defended by Gary Gibson),0.330,-0.360
3,14:13,3,10,GNB 29,23,14,Aaron Rodgers pass incomplete deep left intended for Donald Driver,-0.360,-1.440
3,14:05,4,10,GNB 29,23,14,"Jeremy Kapinos punts 52 yards, fair catch by Danny Amendola",-1.440,-0.150
3,13:57,1,10,STL 19,23,14,Steven Jackson left guard for 1 yard (tackle by Ryan Pickett),0.150,-0.200
3,13:25,2,9,STL 20,23,14,Steven Jackson middle for 10 yards (tackle by Charles Woodson),-0.200,0.940
3,12:42,1,10,STL 30,23,14,Steven Jackson middle for 4 yards (tackle by Brady Poppinga),0.940,0.930
3,12:09,2,6,STL 34,23,14,Kyle Boller pass complete short right to Steven Jackson for 13 yards (tackle by A.J. Hawk and Nick Collins),0.930,2.060
3,11:27,1,10,STL 47,23,14,Steven Jackson right tackle for 8 yards (tackle by Brady Poppinga),2.060,2.600
3,10:58,2,2,GNB 45,23,14,Kyle Boller pass incomplete short right intended for Daniel Fells,2.600,1.880
3,10:47,3,2,GNB 45,23,14,Kenneth Darby middle for 1 yard (tackle by Brandon Chillar),1.880,0.330
3,10:25,4,1,GNB 44,23,14,Kyle Boller middle for 2 yards (tackle by Ryan Pickett),0.330,2.790
3,9:42,1,10,GNB 42,23,14,Kyle Boller pass complete short right to Keenan Burton for 7 yards,2.790,3.190
3,9:16,2,3,GNB 35,23,14,Steven Jackson middle for no gain (tackle by Ryan Pickett and A.J. Hawk),3.190,2.480
3,8:38,3,3,GNB 35,23,14,Kyle Boller pass incomplete deep right intended for Donnie Avery,2.480,0.990
3,8:28,4,3,GNB 35,23,17,Josh Brown 53 yard field goal good,0.990,3.000
3,,,,STL 30,23,17,"Josh Brown kicks off 74 yards, touchback",0.000,0.280
3,8:23,1,10,GNB 20,23,17,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,0.280,-0.270
3,8:16,2,10,GNB 20,23,17,Aaron Rodgers pass incomplete short left intended for James Jones,-0.270,-0.960
3,8:12,,,,23,17,Timeout #1 by Green Bay Packers,0.000,-0.960
3,8:12,3,10,GNB 20,23,17,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,-0.960,-2.030
3,8:08,4,10,GNB 20,23,17,"Jeremy Kapinos punts 54 yards, returned by Danny Amendola for 14 yards (tackle by DeShawn Wynn)",-2.030,-1.600
3,7:56,1,10,STL 40,23,17,Steven Jackson left end for 20 yards (tackle by Brady Poppinga),1.600,2.920
3,7:33,1,10,GNB 40,23,17,Kyle Boller pass incomplete short left intended for Donnie Avery (defended by Al Harris),2.920,2.370
3,7:27,2,10,GNB 40,23,17,Steven Jackson right end for 1 yard (tackle by A.J. Hawk),2.370,1.820
3,6:47,3,9,GNB 39,23,17,Kyle Boller pass incomplete short right intended for Keenan Burton (defended by Johnny Jolly),1.820,0.660
3,6:42,4,9,GNB 39,23,17,Donnie Jones punts 37 yards,0.660,0.380
3,6:33,1,10,GNB 2,23,17,Ryan Grant middle for 1 yard (tackle by Chris Long),-0.380,-0.710
3,5:49,2,9,GNB 3,23,17,Ryan Grant left end for 9 yards (tackle by Ronald Bartell),-0.710,-0.350
3,5:28,1,10,GNB 12,23,17,Aaron Rodgers pass incomplete deep right intended for Donald Driver,-0.350,-0.780
3,5:21,2,10,GNB 12,23,17,Aaron Rodgers pass complete deep left to Jordy Nelson for 24 yards (tackle by Jonathan Wade),-0.780,1.330
3,4:46,1,10,GNB 36,23,17,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Ronald Bartell),1.330,1.990
3,4:17,1,10,GNB 46,23,17,"Ryan Grant right tackle for 10 yards. Penalty on Scott Wells: Offensive Holding, 10 yards (no play)",1.990,1.330
3,3:53,1,20,GNB 36,23,17,Aaron Rodgers pass complete short right to Ryan Grant for 5 yards (tackle by Will Witherspoon),1.330,0.780
3,3:27,2,15,GNB 41,23,17,Aaron Rodgers pass incomplete short right intended for Greg Jennings,0.780,0.100
3,3:23,3,15,GNB 41,23,17,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings,0.100,-0.650
3,3:15,4,15,GNB 41,23,17,"Jeremy Kapinos punts 51 yards, returned by Danny Amendola for 9 yards (tackle by Jarrett Bush)",-0.650,0.060
3,3:03,1,10,STL 17,23,17,Steven Jackson right end for 9 yards (tackle by A.J. Hawk),-0.060,0.750
3,2:29,2,1,STL 26,23,17,Steven Jackson right tackle for 5 yards (tackle by Charles Woodson),0.750,1.000
3,2:11,1,10,STL 31,23,17,Kyle Boller pass incomplete short left intended for Keenan Burton,1.000,0.460
3,2:05,2,10,STL 31,23,17,Steven Jackson middle for 3 yards (tackle by Brandon Chillar),0.460,0.170
3,1:30,3,7,STL 34,23,17,Kyle Boller pass incomplete short right intended for Randy McMichael,0.170,-1.110
3,1:23,4,7,STL 34,23,17,"Donnie Jones punts 56 yards, returned by Will Blackmon for 6 yards (tackle by Quincy Butler)",-1.110,0.140
3,1:12,1,10,GNB 16,23,17,Ryan Grant left tackle for 7 yards (tackle by Gary Gibson),-0.140,0.420
3,0:32,2,3,GNB 23,23,17,Ryan Grant right end for 7 yards (tackle by Craig Dahl),0.420,0.940
Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 30,23,17,Aaron Rodgers pass complete deep middle to Greg Jennings for 53 yards (tackle by Ronald Bartell),0.940,4.440
4,14:17,1,10,STL 17,23,17,Ryan Grant middle for no gain (tackle by James Hall and Craig Dahl),4.440,3.850
4,13:33,2,10,STL 17,23,17,Aaron Rodgers right end for 12 yards (tackle by LaJuan Ramsey),3.850,6.060
4,13:01,1,5,STL 5,23,17,Ryan Grant left tackle for 1 yard (tackle by James Laurinaitis and Clifton Ryan),6.060,5.340
4,12:18,2,4,STL 4,29,17,"Aaron Rodgers middle for 4 yards, touchdown",5.340,7.000
4,,,,STL 2,29,17,Mason Crosby kicks extra point no good,0.000,-1.000
4,,,,GNB 30,29,17,"Mason Crosby kicks off 63 yards, returned by Danny Amendola for 20 yards (tackle by Will Blackmon)",0.000,0.740
4,12:07,1,10,STL 27,29,17,Steven Jackson middle for 7 yards (tackle by A.J. Hawk),0.740,1.140
4,11:35,2,3,STL 34,29,17,Kyle Boller pass complete short left to Mike Karney for -2 yards (tackle by Desmond Bishop),1.140,0.170
4,10:55,3,5,STL 32,29,17,Kyle Boller pass incomplete short right intended for Donnie Avery. Penalty on Alex Barron: Illegal Formation (Declined),0.170,-1.240
4,10:50,4,5,STL 32,29,17,"Donnie Jones punts 61 yards, returned by Will Blackmon for 7 yards (tackle by Kenneth Darby). Penalty on Jarrett Bush: Offensive Holding, 6 yards",-1.240,0.380
4,10:23,1,10,GNB 6,29,17,Ryan Grant left end for 5 yards (tackle by James Laurinaitis),-0.380,-0.420
4,9:57,2,5,GNB 11,29,17,"Ryan Grant middle for 17 yards (tackle by Jonathan Wade and O.J. Atogwe). Penalty on Clifton Ryan: Illegal Use of Hands, 5 yards",-0.420,1.140
4,9:24,1,10,GNB 33,29,17,Ryan Grant right guard for -1 yards (tackle by David Vobora),1.140,0.460
4,8:47,2,11,GNB 32,29,17,DeShawn Wynn middle for 1 yard (tackle by Hollis Thomas),0.460,-0.100
4,8:01,3,10,GNB 33,29,17,Aaron Rodgers right end for 9 yards (tackle by Ronald Bartell),-0.100,-0.590
4,7:45,4,1,GNB 42,29,17,Jeremy Kapinos punts 43 yards,-0.590,0.220
4,7:31,1,10,STL 15,29,17,Steven Jackson right tackle for 1 yard (tackle by Ryan Pickett),-0.220,-0.580
4,7:00,2,9,STL 16,29,17,Kyle Boller pass complete short right to Donnie Avery for 3 yards (tackle by Desmond Bishop),-0.580,-0.880
4,6:19,3,6,STL 19,29,17,Kyle Boller pass incomplete short middle intended for Danny Amendola is intercepted by Charles Woodson at STL-26,-0.880,-3.840
4,6:12,1,10,STL 26,29,17,Donald Driver right end for 13 yards (tackle by O.J. Atogwe),3.840,4.710
4,5:36,1,10,STL 13,29,17,Ryan Grant left end for 3 yards (tackle by Will Witherspoon),4.710,4.580
4,4:50,2,7,STL 10,35,17,"Aaron Rodgers pass complete short right to John Kuhn for 10 yards, touchdown",4.580,7.000
4,,,,STL 2,36,17,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,36,17,"Mason Crosby kicks off 75 yards, returned by Danny Amendola for 30 yards (tackle by Brad Jones)",0.000,0.610
4,4:37,1,10,STL 25,36,17,Kyle Boller pass incomplete short left intended for Steven Jackson,0.610,0.060
4,4:31,2,10,STL 25,36,17,Kyle Boller pass complete short middle to Randy McMichael for 20 yards (tackle by Aaron Kampman),0.060,1.930
4,4:06,1,10,STL 45,36,17,Kyle Boller pass complete short right to Steven Jackson for 3 yards (tackle by A.J. Hawk),1.930,1.790
4,3:37,2,7,STL 48,36,17,Kyle Boller pass complete short right to Steven Jackson for 16 yards (tackle by A.J. Hawk),1.790,3.180
4,3:30,1,10,GNB 36,36,17,Kyle Boller left end for 6 yards (tackle by Charles Woodson),3.180,3.450
4,3:07,2,4,GNB 30,36,17,Kenneth Darby middle for no gain (tackle by Jarius Wynn),3.450,2.740
4,2:46,3,4,GNB 30,36,17,"Penalty on Adam Goldberg: False Start, 5 yards (no play)",2.740,2.080
4,2:43,3,9,GNB 35,36,17,Kyle Boller pass complete short middle to Donnie Avery for 4 yards (tackle by Tramon Williams),2.080,1.350
4,2:33,4,5,GNB 31,36,17,Kyle Boller pass incomplete short left intended for Daniel Fells,1.350,-1.000
4,2:27,1,10,GNB 31,36,17,Ryan Grant left guard for 2 yards (tackle by Larry Grant),1.000,0.730
4,2:22,,,,36,17,Timeout #1 by Los Angeles Rams,0.000,0.730
4,2:21,2,8,GNB 33,36,17,Ryan Grant left end for 5 yards (tackle by Gary Gibson),0.730,0.700
4,2:16,,,,36,17,Timeout #2 by Los Angeles Rams,0.000,0.700
4,2:16,3,3,GNB 38,36,17,Ryan Grant middle for 7 yards (tackle by Bradley Fletcher),0.700,1.930
4,2:00,1,10,GNB 45,36,17,Ryan Grant right guard for 3 yards (tackle by Chris Long),1.930,1.790
4,1:56,,,,36,17,Timeout #3 by Los Angeles Rams,0.000,1.790
4,1:56,2,7,GNB 48,36,17,Ryan Grant right guard for 8 yards (tackle by O.J. Atogwe and Chris Long),1.790,2.650
4,1:12,1,10,STL 44,36,17,Aaron Rodgers kneels for -1 yards,2.650,1.980
4,0:33,2,11,STL 45,36,17,Aaron Rodgers kneels for -1 yards,1.980,1.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
