Quarter,Time,Down,ToGo,Location,NOR,SDG,Detail,EPB,EPA
2,6:32,2,9,NOR 38,7,17,Drew Brees pass complete to LaDainian Tomlinson for 13 yards (tackle by Orlando Ruff),2.580,3.910
2,5:54,1,10,NOR 25,7,17,Drew Brees pass incomplete intended for LaDainian Tomlinson,3.910,3.360
2,5:49,2,10,NOR 25,7,17,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Orlando Ruff),3.360,4.060
2,5:23,3,1,NOR 16,7,17,LaDainian Tomlinson left end for 1 yard (tackle by Derrick Rodgers and Orlando Ruff),4.060,4.580
2,4:47,1,10,NOR 15,7,17,LaDainian Tomlinson left end for -1 yards (tackle by Sedrick Hodge),4.580,3.810
2,4:04,2,11,NOR 16,7,17,Drew Brees pass complete to Keenan McCardell for 7 yards (tackle by Fakhir Brown),3.810,4.220
2,3:25,3,4,NOR 9,7,17,Drew Brees pass incomplete intended for Keenan McCardell,4.220,2.900
2,3:20,4,4,NOR 9,7,20,Nate Kaeding 27 yard field goal good,2.900,3.000
2,,,,SDG 30,7,20,"Nate Kaeding kicks off 66 yards, returned by Michael Lewis for 11 yards (tackle by Hanik Milligan)",0.000,-0.220
2,3:10,1,10,NOR 15,7,20,Deuce McAllister left end for 7 yards (tackle by Donnie Edwards),-0.220,0.350
2,2:36,2,3,NOR 22,7,20,Deuce McAllister up the middle for 1 yard (tackle by Randall Godfrey and Donnie Edwards),0.350,-0.390
2,2:03,3,2,NOR 23,7,20,Aaron Brooks pass incomplete intended for Boo Williams,-0.390,-1.830
2,1:59,4,2,NOR 23,7,20,"Mitch Berger punts 48 yards, muffed catch by Eric Parker, recovered by Eric Parker and returned for no gain",-1.830,-0.870
2,1:49,1,10,SDG 29,7,20,LaDainian Tomlinson left end for 1 yard (tackle by Charles Grant),0.870,0.460
2,1:15,2,9,SDG 30,7,20,Drew Brees pass complete to Eric Parker for 7 yards,0.460,0.700
2,1:04,,,,7,20,Timeout #2 by San Diego Chargers,0.000,0.700
2,1:04,3,2,SDG 37,7,20,LaDainian Tomlinson right tackle for 3 yards (tackle by Jason Craft),0.700,1.600
2,0:41,1,10,SDG 40,7,20,Drew Brees pass complete to Eric Parker for 22 yards (tackle by Tebucky Jones),1.600,3.050
2,0:35,1,10,NOR 38,7,20,Drew Brees pass incomplete intended for Eric Parker,3.050,2.510
2,0:31,2,10,NOR 38,7,20,Drew Brees pass incomplete intended for Keenan McCardell,2.510,1.820
2,0:27,3,10,NOR 38,7,20,Drew Brees pass incomplete intended for Antonio Gates,1.820,0.720
2,0:18,,,,7,20,Timeout #3 by San Diego Chargers,0.000,0.720
2,0:18,4,10,NOR 38,7,20,"Drew Brees pass incomplete intended for Antonio Gates. Penalty on Will Smith: Roughing the Passer, 15 yards (no play)",0.720,4.040
2,0:13,1,10,NOR 23,7,20,Drew Brees sacked by Darren Howard for -7 yards,4.040,2.550
Quarter,Time,Down,ToGo,Location,NOR,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,7,20,"Nate Kaeding kicks off 58 yards, returned by Michael Lewis for 29 yards (tackle by Jamar Fletcher)",0.000,1.660
3,14:54,1,10,NOR 41,7,20,Aaron Brooks pass complete to Ernie Conwell for 28 yards (tackle by Terrence Kiel),1.660,3.510
3,14:18,1,10,SDG 31,7,20,Deuce McAllister up the middle for 2 yards (tackle by Igor Olshansky and Donnie Edwards),3.510,3.240
3,13:39,2,8,SDG 29,7,20,Aaron Brooks pass incomplete intended for Boo Williams (defended by Terrence Kiel),3.240,2.540
3,13:33,3,8,SDG 29,7,20,Aaron Brooks pass complete to Aaron Brooks for 1 yard (tackle by Jamar Fletcher),2.540,1.590
3,12:42,4,7,SDG 28,7,20,John Carney 46 yard field goal no good,1.590,-1.400
3,12:36,1,10,SDG 37,7,20,Drew Brees pass complete to Antonio Gates for 6 yards (tackle by Orlando Ruff),1.400,1.670
3,12:01,2,4,SDG 43,7,20,Drew Brees pass incomplete intended for Antonio Gates,1.670,0.960
3,11:57,3,4,SDG 43,7,20,Drew Brees pass complete to Eric Parker for 7 yards (tackle by Fakhir Brown),0.960,2.260
3,11:16,1,10,SDG 50,7,20,LaDainian Tomlinson left guard for 3 yards (tackle by Jay Bellamy),2.260,2.120
3,10:41,2,7,NOR 47,7,20,Drew Brees pass complete to Lorenzo Neal for 6 yards (tackle by Tebucky Jones),2.120,2.210
3,9:53,3,1,NOR 41,7,20,Drew Brees pass incomplete intended for Keenan McCardell (defended by Mike McKenzie),2.210,0.530
3,9:49,4,1,NOR 41,7,20,"Mike Scifres punts 31 yards, fair catch by Michael Lewis",0.530,0.380
3,9:41,1,10,NOR 10,7,20,Deuce McAllister up the middle for 2 yards (tackle by Randall Godfrey and Igor Olshansky),-0.380,-0.630
3,9:08,2,8,NOR 12,7,20,Aaron Brooks pass incomplete intended for Jerome Pathon,-0.630,-1.190
3,9:02,3,8,NOR 12,7,20,"Penalty on LeCharles Bentley: False Start, 5 yards (no play)",-1.190,-1.770
3,8:45,3,13,NOR 7,7,22,"Aaron Brooks up the middle for 15 yards (tackle by Shaun Phillips). Penalty on Wayne Gandy: Offensive Holding, 7 yards (no play). Penalty enforced in end zone, safety.",-1.770,-2.000
3,,,,NOR 20,7,22,"John Carney kicks off 66 yards, returned by Tim Dwight for 22 yards (tackle by Steve Gleason)",0.000,1.330
3,8:26,1,10,SDG 36,7,22,LaDainian Tomlinson right end for 2 yards (tackle by Derrick Rodgers),1.330,1.060
3,7:52,2,8,SDG 38,7,22,Drew Brees pass incomplete intended for Keenan McCardell,1.060,0.370
3,7:46,3,8,SDG 38,7,22,Drew Brees pass complete to Keenan McCardell for 10 yards (tackle by Fred Thomas),0.370,2.130
3,7:02,1,10,SDG 48,7,22,LaDainian Tomlinson left tackle for no gain (tackle by Derrick Rodgers),2.130,1.580
3,6:20,2,10,SDG 48,7,22,Drew Brees pass incomplete intended for Eric Parker,1.580,0.890
3,6:15,3,10,SDG 48,7,22,Drew Brees pass complete to Keenan McCardell for 25 yards (tackle by Jay Bellamy),0.890,3.780
3,5:30,1,10,NOR 27,7,22,Drew Brees pass incomplete intended for Eric Parker,3.780,3.230
3,5:23,,,,7,22,Timeout #1 by San Diego Chargers,0.000,3.230
3,5:23,2,10,NOR 27,7,22,LaDainian Tomlinson up the middle for 4 yards (tackle by Orlando Ruff),3.230,3.070
3,4:46,3,6,NOR 23,7,22,Drew Brees pass complete to LaDainian Tomlinson for 8 yards (tackle by Mike McKenzie),3.070,4.580
3,4:09,1,10,NOR 15,7,22,LaDainian Tomlinson left tackle for 8 yards (tackle by Orlando Ruff),4.580,5.410
3,3:23,2,2,NOR 7,7,22,Drew Brees pass incomplete intended for Keenan McCardell (defended by Tebucky Jones),5.410,4.680
3,3:18,3,2,NOR 7,7,28,"Drew Brees pass complete to Antonio Gates for 7 yards, touchdown",4.680,7.000
3,,,,NOR 2,7,29,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,7,29,"Nate Kaeding kicks off 65 yards, returned by Michael Lewis for 35 yards (tackle by Jesse Chatman)",0.000,1.600
3,3:07,1,10,NOR 40,7,29,"Aaron Brooks sacked by Steve Foley for 0 yards. Aaron Brooks fumbles (forced by Steve Foley), recovered by Stephen Cooper at NOR-40 (tackle by Montrae Holland). Penalty on Boo Williams: Offensive Holding (Declined)",1.600,-2.920
3,2:56,1,10,NOR 40,7,29,LaDainian Tomlinson up the middle for 5 yards (tackle by Brian Young),2.920,3.050
3,2:16,2,5,NOR 35,7,29,"Drew Brees pass incomplete intended for Antonio Gates. Penalty on Sedrick Hodge: Defensive Pass Interference, 33 yards (no play)",3.050,6.740
3,2:09,1,2,NOR 2,7,35,"Drew Brees pass complete to Antonio Gates for 2 yards, touchdown",6.740,7.000
3,,,,NOR 2,7,36,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,7,36,"Nate Kaeding kicks off 44 yards, returned by Fred McAfee for 26 yards (tackle by Jamar Fletcher)",0.000,2.390
3,1:58,1,10,SDG 48,7,36,"Aaron Brooks pass incomplete intended for Jerome Pathon. Penalty on Wayne Gandy: Offensive Holding, 10 yards (no play)",2.390,1.730
3,1:51,1,20,NOR 42,7,36,Deuce McAllister right tackle for 9 yards (tackle by Jerry Wilson and Terrence Kiel),1.730,1.710
3,1:28,2,11,SDG 49,7,36,Aaron Brooks pass complete to Boo Williams for 21 yards (tackle by Terrence Kiel),1.710,3.710
3,1:01,1,10,SDG 28,7,36,Deuce McAllister up the middle for 2 yards (tackle by Shaun Phillips and Donnie Edwards),3.710,3.440
3,0:35,2,8,SDG 26,7,36,Aaron Brooks pass complete to Deuce McAllister for 2 yards (tackle by Donnie Edwards),3.440,3.010
3,0:04,3,6,SDG 24,7,36,Aaron Brooks pass complete to Jerome Pathon for 9 yards (tackle by Donnie Edwards),3.010,4.580
Quarter,Time,Down,ToGo,Location,NOR,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 15,7,36,"Aaron Brooks pass complete to Jerome Pathon for 7 yards (tackle by Stephen Cooper). Penalty on Sammy Davis: Illegal Contact, 4 yards (no play)",4.580,4.840
4,14:33,1,10,SDG 11,7,36,Aaron Brooks pass incomplete (defended by Steve Foley),4.840,4.140
4,14:29,2,10,SDG 11,7,36,"Aaron Brooks sacked by DeQuincy Scott and Steve Foley for -5 yards. Penalty on Steve Foley: Taunting (Offsetting), Penalty on Kendyl Jacox: Personal Foul (Offsetting)",4.140,2.890
4,14:03,3,15,SDG 16,7,36,Aaron Brooks sacked by Adrian Dingle for -3 yards,2.890,2.180
4,13:56,4,18,SDG 19,10,36,John Carney 37 yard field goal good,2.180,3.000
4,,,,NOR 30,10,36,"John Carney kicks off 64 yards, returned by Tim Dwight for 17 yards (tackle by Fred McAfee). Penalty on Fred McAfee: Offside on Free Kick, 5 yards",0.000,0.810
4,13:47,1,10,SDG 28,10,36,Jesse Chatman up the middle for 5 yards (tackle by Charles Grant and Shaun Smith),0.810,0.940
4,13:04,2,5,SDG 33,10,36,Jesse Chatman right end for 2 yards (tackle by Mike McKenzie and Shaun Smith),0.940,0.500
4,12:18,3,3,SDG 35,10,36,Jesse Chatman left tackle for 7 yards (tackle by Tony Bryant and Fred Thomas),0.500,1.730
4,11:30,1,10,SDG 42,10,36,Jesse Chatman up the middle for 4 yards (tackle by Shaun Smith and Johnathan Sullivan),1.730,1.730
4,10:46,2,6,SDG 46,10,36,Jesse Chatman right tackle for 7 yards (tackle by Jay Bellamy and Orlando Ruff),1.730,2.460
4,9:58,1,10,NOR 47,10,36,"Jesse Chatman right tackle for 4 yards (tackle by Orlando Ruff and Brian Young). Penalty on Shaun Smith: Personal Foul, 15 yards",2.460,3.710
4,9:29,1,10,NOR 28,10,36,Michael Turner left tackle for 3 yards (tackle by Darren Howard),3.710,3.570
4,8:45,2,7,NOR 25,10,36,Michael Turner right tackle for 2 yards (tackle by Derrick Rodgers),3.570,3.140
4,7:48,3,5,NOR 23,10,36,Drew Brees pass complete to Kassim Osgood for 11 yards (tackle by Fakhir Brown),3.140,4.780
4,7:13,1,10,NOR 12,10,42,"Drew Brees pass complete to Kassim Osgood for 12 yards, touchdown",4.780,7.000
4,,,,NOR 2,10,43,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,10,43,Nate Kaeding kicks off 67 yards,0.000,1.600
4,7:06,1,10,NOR 40,10,43,Aaron Brooks pass incomplete intended for Jerome Pathon,1.600,1.050
4,7:01,2,10,NOR 40,10,43,Deuce McAllister up the middle for 5 yards (tackle by Jason Fisk and Terrence Kiel),1.050,1.030
4,7:01,3,5,NOR 45,10,43,Aaron Brooks pass complete to Deuce McAllister for 8 yards (tackle by Jason Fisk),1.030,2.460
4,5:49,1,10,SDG 47,10,43,Aaron Brooks pass incomplete intended for Joe Horn,2.460,1.910
4,5:43,2,10,SDG 47,10,43,Aaron Brooks pass incomplete intended for Jerome Pathon,1.910,1.220
4,5:39,3,10,SDG 47,10,43,Aaron Brooks pass complete to Boo Williams for 10 yards (tackle by Jamar Fletcher),1.220,3.120
4,5:00,1,10,SDG 37,10,43,Aaron Brooks pass complete to Joe Horn for 9 yards (tackle by Clinton Hart),3.120,3.790
4,4:40,2,1,SDG 28,10,43,Aaron Brooks pass complete to Boo Williams for 22 yards (tackle by Terrence Kiel),3.790,5.830
4,4:10,1,6,SDG 6,16,43,"Aaron Brooks pass complete to Boo Williams for 6 yards, touchdown",5.830,7.000
4,,,,SDG 2,17,43,John Carney kicks extra point good,0.000,0.000
4,,,,NOR 30,17,43,"John Carney kicks onside 13 yards, recovered by Keenan McCardell",0.000,2.720
4,4:03,1,10,NOR 43,17,43,Michael Turner right tackle for 8 yards (tackle by Orlando Ruff),2.720,3.260
4,3:21,2,2,NOR 35,17,43,Michael Turner right tackle for no gain (tackle by Derrick Rodgers and Shaun Smith),3.260,2.540
4,2:35,3,2,NOR 35,17,43,Michael Turner left guard for 4 yards (tackle by Will Smith),2.540,3.510
4,2:00,1,10,NOR 31,17,43,Philip Rivers kneels for -1 yards,3.510,2.830
4,1:19,2,11,NOR 32,17,43,Philip Rivers kneels for -2 yards,2.830,1.880
4,0:40,3,13,NOR 34,17,43,Philip Rivers kneels for -1 yards,1.880,0.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
