Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 21,0,14,Trent Green pass complete to Tony Gonzalez for 15 yards (tackle by Erik Coleman),0.340,1.330
2,14:25,1,10,KAN 36,0,14,Larry Johnson up the middle for 4 yards (tackle by Jonathan Vilma),1.330,1.330
2,13:49,2,6,KAN 40,0,14,"Trent Green pass incomplete intended for Eddie Kennison. Penalty on Ty Law: Defensive Pass Interfere, 20 yards (no play)",1.330,2.920
2,13:43,1,10,NYJ 40,0,14,Trent Green pass complete to Larry Johnson for 11 yards (tackle by Eric Barton),2.920,3.640
2,12:57,1,10,NYJ 29,0,14,Larry Johnson right tackle for 6 yards (tackle by David Barrett),3.640,3.910
2,12:14,2,4,NYJ 23,0,14,Trent Green pass incomplete intended for Larry Johnson,3.910,3.200
2,12:10,3,4,NYJ 23,0,14,Trent Green pass incomplete intended for Dante Hall,3.200,2.000
2,12:06,4,4,NYJ 23,0,17,Lawrence Tynes 41 yard field goal good,2.000,3.000
2,,,,KAN 30,0,17,"Lawrence Tynes kicks off 70 yards, returned by Justin Miller for 26 yards (tackle by Rich Scanlon)",0.000,0.670
2,11:55,1,10,NYJ 26,0,17,Curtis Martin right end for 2 yards (tackle by Kawika Mitchell and Greg Wesley),0.670,0.400
2,11:10,2,8,NYJ 28,0,17,"Chad Pennington pass complete to Curtis Martin for no gain. Penalty on Pete Kendall: Offensive Holding, 10 yards (no play)",0.400,-1.050
2,10:46,2,18,NYJ 18,0,17,Curtis Martin right end for 11 yards (tackle by Derrick Johnson),-1.050,-0.160
2,10:04,3,7,NYJ 29,0,17,"Chad Pennington pass complete to Curtis Martin for 14 yards (tackle by Greg Wesley). Chad Pennington fumbles, recovered by Chad Pennington at NYJ-25",-0.160,1.800
2,9:21,1,10,NYJ 43,0,17,Chad Pennington pass complete to Laveranues Coles for 6 yards (tackle by Derrick Johnson),1.800,2.060
2,8:40,2,4,NYJ 49,0,17,Curtis Martin right tackle for 3 yards (tackle by John Browning),2.060,1.750
2,7:59,3,1,KAN 48,0,17,Chad Pennington pass complete to Laveranues Coles for 4 yards (tackle by Kendrell Bell and Kawika Mitchell),1.750,2.650
2,7:21,1,10,KAN 44,0,17,Curtis Martin right end for 5 yards (tackle by Lional Dalton),2.650,2.780
2,6:41,2,5,KAN 39,0,17,Chad Pennington pass incomplete is intercepted by Patrick Surtain at KAN-25 and returned for 53 yards. Penalty on Jerricho Cotchery: Offensive Holding (Declined),2.780,-4.110
2,6:26,1,10,NYJ 22,0,17,Trent Green pass incomplete intended for Priest Holmes,4.110,3.560
2,6:21,2,10,NYJ 22,0,17,Trent Green pass complete to Samie Parker for 14 yards (tackle by David Barrett),3.560,5.370
2,6:00,1,8,NYJ 8,0,17,Priest Holmes up the middle for 3 yards (tackle by Victor Hobson),5.370,5.150
2,5:21,2,5,NYJ 5,0,17,Trent Green pass incomplete intended for Tony Gonzalez,5.150,4.260
2,5:16,3,5,NYJ 5,0,17,Trent Green pass incomplete intended for Samie Parker is intercepted by Ty Law at NYJ-0,4.260,-0.280
2,5:05,1,10,NYJ 20,0,17,Curtis Martin left end for -3 yards (tackle by Jared Allen and John Browning),0.280,-0.790
2,4:25,2,13,NYJ 17,0,17,Curtis Martin right end for 6 yards (tackle by Dewayne Washington),-0.790,-0.560
2,3:56,3,7,NYJ 23,0,17,Chad Pennington pass complete to Chris Baker for 11 yards (tackle by Sammy Knight),-0.560,1.200
2,3:15,1,10,NYJ 34,0,17,"Chad Pennington sacked by Derrick Johnson for -6 yards. Chad Pennington fumbles (forced by Derrick Johnson), recovered by Curtis Martin at NYJ-30",1.200,0.120
2,2:24,2,14,NYJ 30,0,17,Curtis Martin up the middle for -1 yards (tackle by Eric Hicks),0.120,-0.690
2,2:00,3,15,NYJ 29,0,17,Chad Pennington pass incomplete intended for Laveranues Coles,-0.690,-1.440
2,1:55,4,15,NYJ 29,0,17,Ben Graham punts 39 yards,-1.440,-1.070
2,1:45,1,10,KAN 32,0,17,"Trent Green pass complete to Priest Holmes for 8 yards (tackle by Jonathan Vilma). Penalty on Jordan Black: Offensive Holding, 10 yards (no play)",1.070,0.410
2,1:38,1,20,KAN 22,0,17,Priest Holmes up the middle for 3 yards (tackle by Jonathan Vilma),0.410,-0.420
2,1:31,,,,0,17,Timeout #2 by New York Jets,0.000,-0.420
2,1:31,2,17,KAN 25,0,17,Trent Green pass incomplete intended for Dante Hall,-0.420,-1.090
2,1:26,3,17,KAN 25,0,17,Priest Holmes up the middle for 4 yards (tackle by Jonathan Vilma),-1.090,-1.440
2,1:21,,,,0,17,Timeout #3 by New York Jets,0.000,-1.440
2,1:21,4,13,KAN 29,0,17,"Dustin Colquitt punts 47 yards, returned by Jerricho Cotchery for 8 yards (tackle by Kawika Mitchell)",-1.440,-1.070
2,1:12,1,10,NYJ 32,0,17,"Chad Pennington for no gain. Chad Pennington fumbles, recovered by Chad Pennington at NYJ-12",1.070,-2.240
2,0:56,,,,0,17,Timeout #1 by Kansas City Chiefs,0.000,-2.240
2,0:55,2,30,NYJ 12,0,17,Curtis Martin up the middle for 6 yards (tackle by Kawika Mitchell and Derrick Johnson),-2.240,-2.270
2,0:49,,,,0,17,Timeout #2 by Kansas City Chiefs,0.000,-2.270
2,0:49,3,24,NYJ 18,0,17,Curtis Martin up the middle for 7 yards (tackle by Sammy Knight),-2.270,-1.700
2,0:42,,,,0,17,Timeout #3 by Kansas City Chiefs,0.000,-1.700
2,0:38,4,17,NYJ 25,0,17,"Ben Graham punts 51 yards, fair catch by Dante Hall",-1.700,-0.540
2,0:31,1,10,KAN 24,0,17,Trent Green pass incomplete intended for Eddie Kennison (defended by Bryan Thomas),0.540,0.000
2,0:31,2,10,KAN 24,0,17,Trent Green pass incomplete intended for Larry Johnson (defended by Eric Barton),0.000,-0.690
2,0:25,3,10,KAN 24,0,17,Larry Johnson up the middle for 11 yards (tackle by Jonathan Vilma and Kerry Rhodes),-0.690,1.270
2,0:02,1,10,KAN 35,0,17,Trent Green sacked by John Abraham for -9 yards,1.270,-0.490
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,0,17,"Lawrence Tynes kicks off 62 yards, returned by Justin Miller for 22 yards (tackle by Keyaron Fox)",0.000,0.940
3,14:55,1,10,NYJ 30,0,17,Curtis Martin right end for -1 yards (tackle by Sammy Knight and Dewayne Washington),0.940,0.260
3,14:16,2,11,NYJ 29,0,17,Chad Pennington pass complete to Jerald Sowell for 6 yards (tackle by Derrick Johnson),0.260,0.370
3,13:35,3,5,NYJ 35,0,17,Chad Pennington pass complete to Wayne Chrebet for 10 yards (tackle by Dexter McCleon),0.370,1.930
3,13:04,1,10,NYJ 45,0,17,Curtis Martin up the middle for 4 yards (tackle by Jimmy Wilkerson),1.930,1.920
3,12:27,2,6,NYJ 49,0,17,Chad Pennington pass complete to Laveranues Coles for 13 yards (tackle by Dexter McCleon),1.920,3.050
3,11:58,1,10,KAN 38,0,17,Chad Pennington pass complete to Chris Baker for 27 yards (tackle by Greg Wesley and Sammy Knight),3.050,4.840
3,11:10,1,10,KAN 11,0,17,Chad Pennington pass complete to Wayne Chrebet for 5 yards (tackle by Sammy Knight),4.840,5.080
3,10:29,2,5,KAN 6,0,17,Curtis Martin up the middle for 1 yard (tackle by Eric Hicks),5.080,4.440
3,9:48,3,4,KAN 5,0,17,"Penalty on Jason Fabini: False Start, 5 yards (no play)",4.440,3.300
3,9:24,3,9,KAN 10,0,17,Chad Pennington pass incomplete intended for Justin McCareins,3.300,2.760
3,9:24,4,9,KAN 10,0,17,"Mike Nugent 28 yard field goal no good, blocked by John Browning, recovered by Chris Baker and returned for 6 yards",2.760,0.320
3,9:14,1,10,KAN 13,0,17,"Priest Holmes up the middle for no gain (tackle by Jonathan Vilma). Penalty on Samie Parker: Illegal Block Above the , 6 yards (no play)",-0.320,-0.610
3,8:51,1,16,KAN 7,0,17,Priest Holmes up the middle for 1 yard (tackle by Shaun Ellis),-0.610,-1.150
3,8:10,2,15,KAN 8,0,17,Trent Green pass complete to Eddie Kennison for 8 yards (tackle by Bryan Thomas),-1.150,-1.060
3,7:38,3,7,KAN 16,0,17,Trent Green pass incomplete intended for Tony Gonzalez,-1.060,-2.390
3,7:33,4,7,KAN 16,0,17,"Dustin Colquitt punts 50 yards, returned by Justin Miller for 8 yards (tackle by Chris Horn). Penalty on Darrien Johnson: Offensive Holding, 10 yards",-2.390,-0.540
3,7:22,1,10,NYJ 24,0,17,Chad Pennington pass complete to Doug Jolley for 11 yards (tackle by Greg Wesley),0.540,1.270
3,6:57,1,10,NYJ 35,0,17,Curtis Martin up the middle for 2 yards (tackle by Jared Allen),1.270,0.990
3,6:20,2,8,NYJ 37,0,17,"Chad Pennington for no gain. Chad Pennington fumbles, recovered by Kawika Mitchell at NYJ-35",0.990,-3.250
3,6:15,1,10,NYJ 35,0,17,Priest Holmes left end for 10 yards (tackle by Kerry Rhodes),3.250,3.910
3,5:51,1,10,NYJ 25,0,17,Priest Holmes right end for 4 yards (tackle by Kerry Rhodes),3.910,3.900
3,5:22,2,6,NYJ 21,0,17,Priest Holmes right end for 4 yards (tackle by Eric Barton),3.900,3.850
3,4:57,3,2,NYJ 17,0,17,Priest Holmes up the middle for 1 yard (tackle by Bryan Thomas),3.850,2.530
3,4:57,4,1,NYJ 16,0,17,"Penalty on Ronnie Cruz: False Start, 5 yards (no play)",2.530,2.080
3,4:17,4,6,NYJ 21,0,20,Lawrence Tynes 38 yard field goal good,2.080,3.000
3,,,,KAN 30,0,20,"Lawrence Tynes kicks off 68 yards, returned by Justin Miller for 29 yards (tackle by Keyaron Fox)",0.000,1.000
3,4:06,1,10,NYJ 31,0,20,Chad Pennington pass complete to Jerald Sowell for 18 yards (tackle by Derrick Johnson),1.000,2.190
3,3:42,1,10,NYJ 49,0,20,Chad Pennington pass incomplete intended for Justin McCareins,2.190,1.650
3,3:35,2,10,NYJ 49,0,20,Chad Pennington pass complete to Chris Baker for 17 yards (tackle by Sammy Knight),1.650,3.310
3,3:14,1,10,KAN 34,0,20,Chad Pennington pass incomplete intended for Wayne Chrebet,3.310,2.770
3,3:08,2,10,KAN 34,0,20,Chad Pennington pass incomplete intended for Laveranues Coles,2.770,2.080
3,3:03,3,10,KAN 34,0,20,Chad Pennington pass incomplete intended for Laveranues Coles,2.080,1.060
3,2:57,4,10,KAN 34,0,20,Chad Pennington pass incomplete intended for Wayne Chrebet,1.060,-1.200
3,2:53,1,10,KAN 34,0,20,Trent Green pass incomplete intended for Tony Gonzalez,1.200,0.660
3,2:49,2,10,KAN 34,0,20,Larry Johnson up the middle for 14 yards (tackle by Kerry Rhodes),0.660,2.130
3,2:06,1,10,KAN 48,0,20,Larry Johnson left end for 9 yards (tackle by David Barrett),2.130,2.800
3,1:39,2,1,NYJ 43,0,20,Trent Green pass complete to Eddie Kennison for 12 yards (tackle by Ty Law and Erik Coleman),2.800,3.510
3,1:02,1,10,NYJ 31,0,20,Larry Johnson up the middle for 4 yards (tackle by James Reed),3.510,3.510
3,0:20,2,6,NYJ 27,0,20,Larry Johnson up the middle for 23 yards (tackle by Jonathan Vilma),3.510,6.280
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,4,NYJ 4,0,26,"Larry Johnson up the middle for 4 yards, touchdown",6.280,7.000
4,,,,NYJ 2,0,27,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,0,27,"Lawrence Tynes kicks off 66 yards, returned by Justin Miller for 25 yards (tackle by Gary Stills)",0.000,0.870
4,14:49,1,10,NYJ 29,0,27,Chad Pennington pass incomplete intended for Doug Jolley,0.870,0.330
4,14:45,2,10,NYJ 29,0,27,Curtis Martin right end for 5 yards (tackle by Derrick Johnson),0.330,0.300
4,14:03,3,5,NYJ 34,0,27,Chad Pennington pass complete to Laveranues Coles for 9 yards (tackle by Dexter McCleon),0.300,1.800
4,13:28,1,10,NYJ 43,0,27,Chad Pennington pass complete to Doug Jolley for 7 yards (tackle by Greg Wesley and Kawika Mitchell),1.800,2.200
4,12:50,2,3,KAN 50,0,27,Chad Pennington pass incomplete intended for Justin McCareins,2.200,1.490
4,12:46,3,3,KAN 50,0,27,Chad Pennington pass complete to Justin McCareins for 8 yards,1.490,2.790
4,12:16,1,10,KAN 42,0,27,Curtis Martin up the middle for 3 yards (tackle by Sammy Knight),2.790,2.650
4,11:39,2,7,KAN 39,0,27,Chad Pennington pass complete to Chris Baker for 33 yards (tackle by Derrick Johnson),2.650,5.830
4,11:05,1,6,KAN 6,0,27,Chad Pennington pass incomplete intended for Wayne Chrebet (defended by Kawika Mitchell),5.830,4.950
4,11:00,2,6,KAN 6,0,27,Curtis Martin left end for 4 yards (tackle by Kawika Mitchell and Greg Wesley),4.950,4.950
4,10:19,3,2,KAN 2,0,27,Curtis Martin left end for no gain (tackle by Jimmy Wilkerson),4.950,3.250
4,9:38,4,2,KAN 2,0,27,Chad Pennington pass incomplete intended for Justin McCareins,3.250,0.380
4,9:34,1,10,KAN 2,0,27,Trent Green pass complete to Ronnie Cruz for 15 yards (tackle by Eric Barton),-0.380,-0.060
4,8:53,1,10,KAN 17,0,27,"Priest Holmes up the middle for 2 yards (tackle by Bryan Thomas). Penalty on Dewayne Robertson: Defensive Holding, 5 yards",-0.060,0.540
4,8:27,1,10,KAN 24,0,27,Priest Holmes left end for 5 yards (tackle by Kerry Rhodes),0.540,0.670
4,8:03,2,5,KAN 29,0,27,Trent Green pass incomplete intended for Priest Holmes,0.670,-0.030
4,7:57,3,5,KAN 29,0,27,Trent Green pass complete to Tony Gonzalez for 17 yards (tackle by Kerry Rhodes),-0.030,1.990
4,7:14,1,10,KAN 46,0,27,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Kerry Rhodes),1.990,2.850
4,6:35,1,10,NYJ 41,0,27,Priest Holmes up the middle for 1 yard (tackle by Sione Pouha),2.850,2.440
4,5:52,2,9,NYJ 40,0,27,"Trent Green pass complete to Dante Hall for 8 yards (tackle by Erik Coleman). Penalty on Eric Barton: Unnecessary Roughness, 15 yards",2.440,4.440
4,5:21,1,10,NYJ 17,0,27,Priest Holmes left end for 7 yards (tackle by David Barrett),4.440,5.100
4,4:54,2,3,NYJ 10,0,27,Priest Holmes up the middle for 4 yards (tackle by Erik Coleman),5.100,5.830
4,4:12,1,6,NYJ 6,0,27,Priest Holmes left end for -5 yards (tackle by Victor Hobson),5.830,4.020
4,3:30,2,11,NYJ 11,0,27,Priest Holmes up the middle for -5 yards (tackle by John Abraham),4.020,2.850
4,2:49,3,16,NYJ 16,0,27,Priest Holmes up the middle for 2 yards (tackle by Bryan Thomas and Jonathan Vilma),2.850,2.510
4,2:49,4,14,NYJ 14,0,27,Lawrence Tynes 32 yard field goal no good,2.510,-0.410
4,2:04,1,10,NYJ 22,0,27,Jay Fiedler pass complete to Wayne Chrebet for 18 yards (tackle by Kawika Mitchell),0.410,1.600
4,1:59,1,10,NYJ 40,0,27,Jay Fiedler pass incomplete intended for Wayne Chrebet (defended by Sammy Knight),1.600,1.050
4,1:53,2,10,NYJ 40,0,27,Jay Fiedler pass complete to Chris Baker for 8 yards,1.050,1.420
4,1:46,3,2,NYJ 48,0,27,Jay Fiedler pass complete to Laveranues Coles for 22 yards (tackle by Kawika Mitchell),1.420,3.580
4,1:20,1,10,KAN 30,0,27,Jay Fiedler pass complete to Chris Baker for 5 yards (tackle by Dewayne Washington),3.580,3.710
4,1:14,2,5,KAN 25,0,27,"Jay Fiedler for no gain. Jay Fiedler fumbles, recovered by Jay Fiedler at KAN-30",3.710,2.340
4,1:05,,,,0,27,Timeout #1 by New York Jets,0.000,2.340
4,1:05,3,10,KAN 30,0,27,Jay Fiedler pass incomplete (defended by John Browning),2.340,1.410
4,1:00,4,10,KAN 30,0,27,Jay Fiedler pass complete to Justin McCareins for 12 yards (tackle by Dexter McCleon),1.410,4.370
4,0:45,,,,0,27,Timeout #2 by New York Jets,0.000,4.370
4,0:45,1,10,KAN 18,0,27,"Penalty on Adrian Jones: False Start, 5 yards (no play)",4.370,4.040
4,0:45,1,15,KAN 23,0,27,Jay Fiedler pass incomplete intended for Laveranues Coles,4.040,3.150
4,0:39,2,15,KAN 23,0,27,Jay Fiedler pass incomplete intended for Chris Baker,3.150,2.480
4,0:34,3,15,KAN 23,6,27,"Jay Fiedler pass complete to Chris Baker for 23 yards, touchdown",2.480,7.000
4,,,,KAN 2,7,27,Mike Nugent kicks extra point good,0.000,0.000
4,,,,NYJ 30,,,"Mike Nugent kicks off 69 yards, returned by Dante Hall for 17 yards (tackle by Kerry Rhodes)",,
4,0:23,1,10,KAN 18,7,27,Trent Green kneels for -1 yards,0.040,-0.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
