Quarter,Time,Down,ToGo,Location,TEN,SFO,Detail,EPB,EPA
3,7:05,1,10,SFO 28,13,16,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 6 yards (tackle by Erik Walden and Wesley Woodyard),0.810,1.070
3,6:28,2,4,SFO 34,13,16,Carlos Hyde middle for no gain (tackle by Austin Johnson and Johnathan Cyprien),1.070,0.370
3,5:47,3,4,SFO 34,13,16,Jimmy Garoppolo pass incomplete short middle intended for Trent Taylor,0.370,-1.110
3,5:43,4,4,SFO 34,13,16,"Bradley Pinion punts 43 yards, returned by Adoree' Jackson for -2 yards (tackle by Cassius Marsh). Penalty on Daren Bates: Offensive Holding, 7 yards",-1.110,0.140
3,5:32,1,10,TEN 16,13,16,Marcus Mariota pass complete short right to Derrick Henry for 8 yards (tackle by Brock Coyle),-0.140,0.550
3,4:54,2,2,TEN 24,13,16,Derrick Henry left tackle for 1 yard (tackle by DeForest Buckner and Solomon Thomas),0.550,-0.200
3,4:29,3,1,TEN 25,13,16,Derrick Henry left end for 10 yards (tackle by Brock Coyle),-0.200,1.270
3,3:52,1,10,TEN 35,13,16,Marcus Mariota pass complete short left to Derrick Henry for 1 yard (tackle by Reuben Foster),1.270,0.860
3,3:17,2,9,TEN 36,13,16,Marcus Mariota pass complete short left to Delanie Walker for 13 yards (tackle by Eric Reid),0.860,2.190
3,2:32,1,10,TEN 49,13,16,Derrick Henry middle for 2 yards (tackle by DeForest Buckner),2.190,1.920
3,1:53,2,8,SFO 49,13,16,Derrick Henry left tackle for 4 yards (tackle by Cassius Marsh and Leon Hall),1.920,0.000
3,1:08,,,,,,Timeout #2 by Tennessee Titans,0.000,-1.750
3,1:08,3,4,SFO 45,13,16,Marcus Mariota pass complete short right to Rishard Matthews for 21 yards (tackle by Ahkello Witherspoon and Reuben Foster),1.750,3.970
3,0:36,1,10,SFO 24,13,16,"Penalty on Solomon Thomas: Defensive Offside, 5 yards (no play)",3.970,4.750
3,0:11,1,5,SFO 19,13,16,Marcus Mariota pass complete short left to Eric Decker for 12 yards (tackle by Dontae Johnson),4.750,5.600
Quarter,Time,Down,ToGo,Location,TEN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,7,SFO 7,13,16,Derrick Henry middle for 3 yards (tackle by DeForest Buckner),5.600,5.340
4,14:19,2,4,SFO 4,13,16,Derrick Henry left tackle for -4 yards (tackle by Solomon Thomas and Eric Reid),5.340,3.580
4,13:36,3,8,SFO 8,19,16,"Marcus Mariota pass complete short middle to Rishard Matthews for 8 yards, touchdown",3.580,7.000
4,13:31,,,SFO 15,20,16,Ryan Succop kicks extra point good,0.000,0.000
4,13:31,,,TEN 35,20,16,"Ryan Succop kicks off 65 yards, returned by Matt Breida for 17 yards (tackle by Daren Bates)",0.000,0.060
4,13:25,1,10,SFO 17,20,16,Jimmy Garoppolo pass complete deep right to Garrett Celek for 41 yards (tackle by Kevin Byard and Johnathan Cyprien),-0.060,2.790
4,12:42,1,10,TEN 42,20,16,Jimmy Garoppolo pass complete short left to Carlos Hyde for 6 yards (tackle by Avery Williamson),2.790,3.050
4,12:05,2,4,TEN 36,20,16,Carlos Hyde right end for 1 yard (tackle by Wesley Woodyard and Erik Walden),3.050,2.480
4,11:22,3,3,TEN 35,20,16,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 14 yards (tackle by Johnathan Cyprien),2.480,4.170
4,10:40,1,10,TEN 21,20,16,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 5 yards (tackle by LeShaun Sims),4.170,4.370
4,9:57,2,5,TEN 16,20,16,Jimmy Garoppolo pass complete short left to Jimmy Garoppolo for -6 yards (tackle by Wesley Woodyard),4.370,2.810
4,9:12,3,11,TEN 22,20,16,Jimmy Garoppolo sacked by Wesley Woodyard for -10 yards,2.810,1.240
4,8:33,4,21,TEN 32,20,19,Robbie Gould 50 yard field goal good,1.240,3.000
4,8:27,,,SFO 35,20,19,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,8:27,1,10,TEN 25,20,19,DeMarco Murray middle for 3 yards (tackle by Sheldon Day),0.610,0.470
4,7:50,2,7,TEN 28,20,19,"DeMarco Murray left guard for 2 yards (tackle by Adrian Colbert). Penalty on Quinton Spain: Offensive Holding, 10 yards",0.470,-0.610
4,7:26,2,15,TEN 20,20,19,Marcus Mariota pass complete short middle to Rishard Matthews for 8 yards (tackle by Reuben Foster),-0.610,-0.230
4,6:42,3,7,TEN 28,20,19,Marcus Mariota pass incomplete short right intended for Delanie Walker,-0.230,-1.500
4,6:35,4,7,TEN 28,20,19,Brett Kern punts 59 yards,-1.500,0.320
4,6:28,1,10,SFO 13,20,19,Jimmy Garoppolo pass complete short middle to Kendrick Bourne for 54 yards (tackle by Adoree' Jackson),-0.320,3.380
4,5:38,1,10,TEN 33,20,19,Jimmy Garoppolo pass complete short right to George Kittle for 19 yards (tackle by LeShaun Sims),3.380,4.650
4,4:59,1,10,TEN 14,20,19,"Jimmy Garoppolo pass complete short right to George Kittle for 2 yards (tackle by Jayon Brown and Wesley Woodyard). Penalty on Matt Breida: Illegal Block Above the Waist, 10 yards",4.650,4.110
4,4:47,1,18,TEN 22,20,19,Jimmy Garoppolo pass incomplete deep right intended for Marquise Goodwin (defended by Adoree' Jackson),4.110,3.010
4,4:41,2,18,TEN 22,20,19,Jimmy Garoppolo sacked by Jayon Brown for 0 yards,3.010,2.350
4,4:00,3,18,TEN 22,20,19,"Jimmy Garoppolo pass complete short right to Trent Taylor for 20 yards (tackle by Wesley Woodyard). Trent Taylor fumbles (forced by Wesley Woodyard), recovered by Laken Tomlinson at TEN-0. Penalty on Marquise Goodwin: Offensive Pass Interference, 10 yards (no play)",2.350,1.030
4,3:50,3,28,TEN 32,20,19,Carlos Hyde right end for 2 yards (tackle by Jayon Brown),1.030,0.000
4,3:50,,,,,,Timeout #1 by San Francisco 49ers,0.000,-1.410
4,3:13,4,26,TEN 30,20,22,Robbie Gould 48 yard field goal good,1.410,3.000
4,3:08,,,SFO 35,20,22,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,3:08,1,10,TEN 25,20,22,Marcus Mariota pass complete short right to Corey Davis for 13 yards (tackle by Ahkello Witherspoon),0.610,1.470
4,3:03,1,10,TEN 38,20,22,Marcus Mariota pass incomplete short middle intended for Delanie Walker (defended by DeForest Buckner),1.470,0.920
4,2:58,2,10,TEN 38,20,22,Marcus Mariota pass incomplete deep left intended for Corey Davis,0.920,0.230
4,2:54,3,10,TEN 38,20,22,Marcus Mariota pass complete short left to Eric Decker for 9 yards (tackle by Dontae Johnson),0.230,-0.260
4,2:34,4,1,TEN 47,20,22,Marcus Mariota middle for 2 yards (tackle by Earl Mitchell),-0.260,2.190
4,2:05,1,10,TEN 49,20,22,DeMarco Murray right guard for 3 yards (tackle by DeForest Buckner and Eric Reid),2.190,2.050
4,1:59,2,7,SFO 48,20,22,Marcus Mariota pass complete short left to Delanie Walker for 8 yards (tackle by Reuben Foster),2.050,2.920
4,1:55,1,10,SFO 40,20,22,DeMarco Murray left end for 1 yard (tackle by Reuben Foster),2.920,2.510
4,1:27,2,9,SFO 39,20,22,Marcus Mariota pass complete short right to Delanie Walker for 7 yards (tackle by Ahkello Witherspoon),2.510,0.000
4,1:20,,,,,,Timeout #3 by Tennessee Titans,0.000,-2.740
4,1:20,3,2,SFO 32,20,22,DeMarco Murray middle for no gain (tackle by DeForest Buckner),2.740,0.000
4,1:12,,,,,,Timeout #1 by San Francisco 49ers,0.000,-1.300
4,1:12,4,2,SFO 32,23,22,Ryan Succop 50 yard field goal good,1.300,3.000
4,1:07,,,TEN 35,23,22,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
4,1:07,1,10,SFO 25,23,22,Jimmy Garoppolo pass complete short right to Trent Taylor for 7 yards (tackle by Brice McCain),0.610,1.010
4,0:51,2,3,SFO 32,23,22,Jimmy Garoppolo pass complete short middle to George Kittle for 24 yards (tackle by Kevin Byard and Johnathan Cyprien),1.010,2.650
4,0:32,1,10,TEN 44,23,22,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 14 yards (tackle by Adoree' Jackson),2.650,3.580
4,0:17,1,10,TEN 30,23,22,Jimmy Garoppolo spiked the ball,3.580,3.030
4,0:16,2,10,TEN 30,23,22,Jimmy Garoppolo pass incomplete deep left intended for Marquise Goodwin,3.030,2.340
4,0:11,3,10,TEN 30,23,22,Carlos Hyde middle for 3 yards (tackle by Wesley Woodyard and Erik Walden),2.340,0.000
4,0:03,,,,,,Timeout #3 by San Francisco 49ers,0.000,-1.670
4,0:03,4,7,TEN 27,23,25,Robbie Gould 45 yard field goal good,1.670,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
