Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
4,4:23,1,10,MIA 43,12,30,Matt Moore pass complete short right to Jarvis Landry for 4 yards (tackle by Ross Cockrell),1.800,1.790
4,3:41,2,6,MIA 47,12,30,Matt Moore pass complete short middle to DeVante Parker for 5 yards (tackle by Artie Burns),1.790,1.750
4,3:09,3,1,PIT 48,12,30,Matt Moore pass complete short right to DeVante Parker for 8 yards,1.750,2.920
4,3:01,1,10,PIT 40,12,30,Matt Moore pass incomplete short left intended for Kenyan Drake,2.920,2.370
4,2:56,2,10,PIT 40,12,30,Matt Moore pass incomplete short right intended for DeVante Parker,2.370,1.680
4,2:52,3,10,PIT 40,12,30,Matt Moore pass complete short middle to Jarvis Landry for 5 yards (tackle by Lawrence Timmons and Stephon Tuitt),1.680,0.980
4,2:18,4,5,PIT 35,12,30,Matt Moore pass complete short right to Kenny Stills for 8 yards (tackle by Lawrence Timmons),0.980,3.780
4,2:00,1,10,PIT 27,12,30,Matt Moore pass incomplete short left intended for Damien Williams (defended by Jarvis Jones),3.780,3.230
4,1:56,2,10,PIT 27,12,30,Matt Moore sacked by Lawrence Timmons for -11 yards,3.230,1.090
4,1:12,3,21,PIT 38,12,30,Matt Moore sacked by Lawrence Timmons for -10 yards,1.090,0.000
4,0:26,,,,12,30,Timeout #2 by Miami Dolphins,0.000,-0.070
4,0:26,4,31,PIT 48,12,30,Damien Williams right tackle for 15 yards (tackle by Jarvis Jones and Arthur Moats),0.070,-1.140
4,0:15,1,10,PIT 33,12,30,Ben Roethlisberger kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
