Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
2,7:58,1,10,NYG 48,3,0,Russell Wilson left end for 4 yards (tackle by Jon Beason),2.390,2.390
2,7:24,2,6,NYG 44,3,0,Russell Wilson pass complete deep right to Doug Baldwin for 25 yards (tackle by Jon Beason),2.390,4.310
2,6:56,1,10,NYG 19,3,0,Russell Wilson pass complete short middle to Doug Baldwin for 13 yards (tackle by Antrel Rolle),4.310,5.830
2,6:19,1,6,NYG 6,3,0,Marshawn Lynch left tackle for 4 yards (tackle by Will Hill and Justin Tuck),5.830,5.720
2,5:39,2,2,NYG 2,9,0,"Marshawn Lynch right tackle for 2 yards, touchdown",5.720,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,5:39,,,NYG 2,10,0,Steven Hauschka kicks extra point good,0.000,0.000
2,5:39,,,SEA 35,10,0,"Steven Hauschka kicks off 62 yards, returned by Jerrel Jernigan for 31 yards (tackle by Jeremy Lane)",0.000,-1.200
2,5:24,1,10,NYG 34,10,0,Eli Manning pass complete short middle to Andre Brown for 3 yards (tackle by Bruce Irvin),1.200,1.060
2,4:41,2,7,NYG 37,10,0,"Andre Brown left tackle for 3 yards (tackle by Earl Thomas and Tony McDaniel). Penalty on James Brewer: Offensive Holding, 10 yards (no play)",1.060,-0.290
2,4:17,2,17,NYG 27,10,0,Eli Manning pass complete short middle to Hakeem Nicks for 5 yards (tackle by Bobby Wagner and Jeremy Lane),-0.290,-0.300
2,3:36,3,12,NYG 32,10,0,Eli Manning pass complete short left to Andre Brown for 1 yard (tackle by Jeremy Lane),-0.300,-1.180
2,3:00,4,11,NYG 33,10,0,"Steve Weatherford punts 41 yards, returned by Golden Tate for 3 yards (tackle by Michael Cox). Penalty on Michael Cox: Player Out of Bounds on Punt, 5 yards",-1.180,-1.200
2,2:48,1,10,SEA 34,10,0,Russell Wilson pass incomplete deep middle intended for Golden Tate,1.200,0.660
2,2:43,2,10,SEA 34,10,0,Marshawn Lynch left guard for 4 yards (tackle by Ryan Mundy and Mathias Kiwanuka),0.660,0.500
2,2:00,3,6,SEA 38,10,0,Russell Wilson pass complete short middle to Golden Tate for 8 yards (tackle by Prince Amukamara),0.500,1.990
2,1:34,1,10,SEA 46,10,0,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",1.990,1.660
2,1:32,1,15,SEA 41,10,0,Russell Wilson pass complete short right to Marshawn Lynch for 30 yards (tackle by Trumaine McBride and Terrell Thomas),1.660,3.640
2,1:22,1,10,NYG 29,10,0,"Russell Wilson pass complete deep right to Golden Tate for 29 yards. Penalty on Golden Tate: Illegal Touch Pass, 5 yards (no play)",3.640,3.310
2,1:12,1,15,NYG 34,10,0,Russell Wilson up the middle for 4 yards (tackle by Jon Beason and Mathias Kiwanuka),3.310,2.970
2,0:47,2,11,NYG 30,10,0,Russell Wilson left tackle for 11 yards (tackle by Terrell Thomas),2.970,2.970
2,0:37,2,11,NYG 30,10,0,Timeout #1 by Seattle Seahawks,2.970,4.310
2,0:37,1,10,NYG 19,10,0,Russell Wilson sacked by Linval Joseph for -12 yards,4.310,4.310
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
2,0:26,1,10,NYG 19,10,0,Timeout #2 by Seattle Seahawks,4.310,2.140
2,0:26,2,22,NYG 31,10,0,Russell Wilson up the middle for 5 yards (tackle by Trumaine McBride),2.140,2.140
2,0:14,2,22,NYG 31,10,0,Timeout #3 by Seattle Seahawks,2.140,2.150
2,0:14,3,17,NYG 26,10,0,Russell Wilson pass incomplete deep right intended for Jermaine Kearse,2.150,1.740
2,0:07,4,17,NYG 26,13,0,Steven Hauschka 44 yard field goal good,1.740,3.000
2,0:07,,,SEA 35,13,0,"Steven Hauschka kicks off 34 yards, out of bounds",0.000,-1.600
2,0:03,1,10,NYG 40,13,0,"Eli Manning pass incomplete deep left intended for Hakeem Nicks is intercepted by Richard Sherman at SEA-7 and returned for 1 yard. Richard Sherman fumbles, recovered by Richard Sherman at SEA-8",1.600,0.000
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,13,0,"Steven Hauschka kicks off no gain, returned by Jerrel Jernigan for 21 yards (tackle by Jermaine Kearse)",0.000,-0.140
3,14:56,1,10,NYG 16,13,0,Andre Brown left guard for -4 yards (tackle by Brandon Mebane),-0.140,-1.070
3,14:25,2,14,NYG 12,13,0,Andre Brown left guard for no gain (tackle by Michael Bennett),-1.070,-1.890
3,13:43,3,14,NYG 12,13,0,"Eli Manning sacked by Michael Bennett for -8 yards. Eli Manning fumbles (forced by Michael Bennett), recovered by David Diehl at NYG-6",-1.890,-2.490
3,13:08,4,20,NYG 6,13,0,"Steve Weatherford punts 56 yards, returned by Golden Tate for 17 yards (tackle by Zak DeOssie)",-2.490,-2.590
3,12:50,1,10,NYG 45,13,0,Russell Wilson for 16 yards (tackle by Will Hill),2.590,3.640
3,12:23,1,10,NYG 29,13,0,Russell Wilson right end for -2 yards (tackle by Antrel Rolle),3.640,2.830
3,12:01,2,12,NYG 31,13,0,Russell Wilson pass complete short right to Jermaine Kearse for 13 yards (tackle by Trumaine McBride),2.830,4.370
3,11:22,1,10,NYG 18,13,0,Russell Wilson pass complete short right to Jermaine Kearse for 8 yards (tackle by Trumaine McBride),4.370,5.230
3,10:43,2,2,NYG 10,13,0,Marshawn Lynch right tackle for 4 yards (tackle by Cullen Jenkins and Ryan Mundy),5.230,5.830
3,10:11,1,6,NYG 6,13,0,Marshawn Lynch left guard for 4 yards (tackle by Justin Tuck),5.830,5.720
3,9:36,2,2,NYG 2,13,0,Marshawn Lynch right tackle for 1 yard (tackle by Mark Herzlich and Johnathan Hankins),5.720,5.170
3,8:57,3,1,NYG 1,13,0,Russell Wilson pass incomplete short left intended for Zach Miller,5.170,3.550
3,8:50,4,1,NYG 1,13,0,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",3.550,2.990
3,8:50,4,6,NYG 6,16,0,Steven Hauschka 24 yard field goal good,2.990,3.000
3,8:50,,,SEA 35,16,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
3,8:47,1,10,NYG 20,16,0,Eli Manning pass complete short right to Victor Cruz for 9 yards (tackle by Richard Sherman),0.280,0.950
3,8:09,2,1,NYG 29,16,0,Eli Manning pass complete short right to Bear Pascoe for 10 yards (tackle by Richard Sherman),0.950,1.530
3,7:34,1,10,NYG 39,16,0,Andre Brown right tackle for 2 yards (tackle by Red Bryant and Bruce Irvin),1.530,1.260
3,6:52,2,8,NYG 41,16,0,Eli Manning pass incomplete short right intended for Victor Cruz,1.260,0.560
3,6:41,3,8,NYG 41,16,0,"Eli Manning sacked by Cliff Avril and Bobby Wagner for -8 yards. Eli Manning fumbles (forced by Cliff Avril), recovered by David Diehl at NYG-33",0.560,-1.180
3,6:11,4,16,NYG 33,16,0,"Steve Weatherford punts 38 yards, returned by Golden Tate for 5 yards (tackle by Ryan Mundy)",-1.180,-1.200
3,6:04,1,10,SEA 34,16,0,Robert Turbin left tackle for 5 yards (tackle by Markus Kuhn),1.200,1.330
3,5:32,2,5,SEA 39,16,0,Russell Wilson pass complete short right to Luke Willson for 8 yards,1.330,2.060
3,4:57,1,10,SEA 47,16,0,Russell Wilson pass incomplete deep left intended for Golden Tate (defended by Prince Amukamara),2.060,1.520
3,4:44,2,10,SEA 47,16,0,Marshawn Lynch up the middle for 5 yards (tackle by Justin Tuck and Ryan Mundy),1.520,1.490
3,4:08,3,5,NYG 48,16,0,Russell Wilson pass incomplete deep right intended for Doug Baldwin,1.490,0.070
3,4:00,4,5,NYG 48,16,0,Jon Ryan punts 43 yards,0.070,0.380
3,3:51,1,10,NYG 5,16,0,Eli Manning pass complete short middle to Jerrel Jernigan for 14 yards (tackle by Bobby Wagner),-0.380,0.150
3,3:17,1,10,NYG 19,16,0,Peyton Hillis up the middle for 4 yards (tackle by Michael Bennett and Earl Thomas),0.150,0.210
3,2:45,2,6,NYG 23,16,0,Peyton Hillis up the middle for -2 yards (tackle by Michael Bennett and Malcolm Smith),0.210,-0.810
3,2:06,3,8,NYG 21,16,0,Eli Manning pass incomplete deep right intended for Victor Cruz (defended by Jeremy Lane),-0.810,-1.960
,,,,,,,"SEA challenged the pass completion ruling, and the original play was overturned.",,
3,1:59,4,8,NYG 21,16,0,"Steve Weatherford punts 45 yards, returned by Golden Tate for 7 yards (tackle by Zak DeOssie)",-1.960,-1.660
3,1:47,1,10,SEA 41,16,0,Russell Wilson pass complete short left to Zach Miller for 8 yards (tackle by Spencer Paysinger),1.660,2.200
3,1:07,2,2,SEA 49,16,0,Marshawn Lynch left end for 4 yards (tackle by Ryan Mundy),2.200,2.460
3,0:20,1,10,NYG 47,16,0,Russell Wilson pass incomplete deep right intended for Ricardo Lockette is intercepted by Antrel Rolle at NYG-11,2.460,0.370
3,0:10,1,10,NYG 11,16,0,Eli Manning pass complete short middle to Peyton Hillis for 10 yards (tackle by Bobby Wagner),-0.370,0.340
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 21,16,0,Eli Manning pass incomplete short middle intended for Hakeem Nicks is intercepted by Byron Maxwell at NYG-22 and returned for 6 yards (tackle by Peyton Hillis),0.340,-4.510
4,14:53,1,10,NYG 16,16,0,Doug Baldwin left end for 3 yards (tackle by Spencer Paysinger),4.510,4.390
4,14:28,2,7,NYG 13,16,0,Russell Wilson pass incomplete short right intended for Zach Miller,4.390,3.540
4,14:20,3,7,NYG 13,16,0,Russell Wilson up the middle for 8 yards (tackle by Will Hill),3.540,6.060
4,13:45,1,5,NYG 5,16,0,"Russell Wilson pass incomplete short right intended for Kellen Davis. Penalty on Keith Rivers: Defensive Holding, 3 yards (no play)",6.060,6.060
4,13:35,1,5,NYG 5,16,0,Timeout #1 by New York Giants,6.060,6.740
4,13:35,1,2,NYG 2,16,0,Marshawn Lynch right guard for -2 yards (tackle by Mathias Kiwanuka and Linval Joseph),6.740,5.340
4,13:00,2,4,NYG 4,16,0,"Russell Wilson sacked by Mathias Kiwanuka for -8 yards. Russell Wilson fumbles, recovered by Russell Wilson at NYG-12",5.340,3.100
4,12:21,3,12,NYG 12,22,0,"Russell Wilson pass complete short right to Doug Baldwin for 12 yards, touchdown",3.100,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,12:21,,,NYG 2,23,0,Steven Hauschka kicks extra point good,0.000,0.000
4,12:21,,,SEA 35,23,0,"Steven Hauschka kicks off 71 yards, touchback",0.000,-0.280
4,12:13,1,10,NYG 20,23,0,Peyton Hillis up the middle for 6 yards (tackle by Bobby Wagner and Earl Thomas),0.280,0.540
4,11:47,2,4,NYG 26,23,0,Eli Manning pass complete short left to Jerrel Jernigan for 9 yards (tackle by Jeremy Lane),0.540,1.270
4,11:26,1,10,NYG 35,23,0,Eli Manning pass incomplete short left intended for Rueben Randle (defended by Byron Maxwell),1.270,0.720
4,11:20,2,10,NYG 35,23,0,"Peyton Hillis left guard for 2 yards (tackle by Michael Bennett). Penalty on Brandon Mosley: Face Mask (15 Yards), 15 yards (no play)",0.720,-1.300
4,10:53,2,25,NYG 20,23,0,Eli Manning pass complete short middle to Peyton Hillis for 14 yards (tackle by Bruce Irvin),-1.300,-0.100
4,10:25,3,11,NYG 34,23,0,Eli Manning pass incomplete short left intended for Jerrel Jernigan,-0.100,-1.110
4,10:16,4,11,NYG 34,23,0,"Steve Weatherford punts 57 yards, returned by Golden Tate for 22 yards (tackle by Mark Herzlich)",-1.110,-1.000
4,10:02,1,10,SEA 31,23,0,Robert Turbin right end for 3 yards (tackle by Damontre Moore and Jon Beason),1.000,0.870
4,9:22,2,7,SEA 34,23,0,Robert Turbin left tackle for 4 yards (tackle by Spencer Paysinger and Johnathan Hankins),0.870,0.700
4,8:34,3,3,SEA 38,23,0,Robert Turbin left guard for 2 yards (tackle by Antrel Rolle and Justin Tuck),0.700,-0.720
4,7:49,4,1,SEA 40,23,0,"Jon Ryan punts 40 yards. Penalty on DeShawn Shead: Illegal Touch Kick, 5 yards",-0.720,-0.610
4,7:35,1,10,NYG 25,23,0,"Eli Manning pass complete short middle to Jerrel Jernigan for 14 yards (tackle by Kam Chancellor). Penalty on Kam Chancellor: Personal Foul, 15 yards",0.610,2.520
4,7:08,1,10,SEA 46,23,0,"Eli Manning pass complete short middle to Brandon Myers for 12 yards (tackle by Malcolm Smith and Earl Thomas), lateral to Earl Thomas for 5 yards (tackle by Will Beatty)",2.520,3.310
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
4,6:41,1,10,SEA 34,23,0,Eli Manning pass complete short left to Jerrel Jernigan for 7 yards (tackle by Jeremy Lane),3.310,3.720
4,6:11,2,3,SEA 27,23,0,Andre Brown up the middle for 4 yards (tackle by Bobby Wagner),3.720,4.040
4,5:42,1,10,SEA 23,23,0,Eli Manning pass complete short left to Jerrel Jernigan for 5 yards (tackle by Byron Maxwell),4.040,4.210
4,5:06,2,5,SEA 18,23,0,Eli Manning pass complete short middle to Brandon Myers for 5 yards (tackle by Kam Chancellor),4.210,4.710
4,4:31,1,10,SEA 13,23,0,Eli Manning pass incomplete short middle intended for Andre Brown,4.710,4.050
4,4:24,2,10,SEA 13,23,0,Eli Manning pass incomplete deep right intended for Hakeem Nicks is intercepted by Earl Thomas at SEA--4,4.050,-0.280
4,4:17,1,10,SEA 20,23,0,Robert Turbin left end for 2 yards (tackle by Mark Herzlich),0.280,0.000
4,3:45,2,8,SEA 22,23,0,Tarvaris Jackson pass complete short right to Luke Willson for 15 yards (tackle by Jayron Hosley),0.000,1.400
4,2:59,1,10,SEA 37,23,0,Robert Turbin right tackle for 1 yard (tackle by Damontre Moore),1.400,0.990
4,2:16,2,9,SEA 38,23,0,Robert Turbin up the middle for 3 yards (tackle by Cullen Jenkins),0.990,0.700
4,2:00,3,6,SEA 41,23,0,Tarvaris Jackson pass complete short right to Robert Turbin for 1 yard (tackle by Will Hill),0.700,0.700
4,1:51,3,6,SEA 41,23,0,Timeout #2 by New York Giants,0.700,-0.590
4,1:51,4,5,SEA 42,23,0,"Jon Ryan punts 40 yards, fair catch by Rueben Randle",-0.590,-0.040
4,1:45,1,10,NYG 18,23,0,Curtis Painter pass complete short left to Louis Murphy for 7 yards (tackle by Perrish Cox),0.040,0.550
4,1:23,2,3,NYG 25,23,0,Curtis Painter pass complete short middle to Jerrel Jernigan for 9 yards (tackle by Perrish Cox),0.550,1.200
4,0:56,1,10,NYG 34,23,0,Curtis Painter pass complete short right to Andre Brown for 5 yards (tackle by Chris Maragos and Heath Farwell),1.200,1.200
4,0:46,1,10,NYG 34,23,0,Timeout #3 by New York Giants,1.200,1.330
4,0:46,2,5,NYG 39,23,0,Curtis Painter sacked by Jordan Hill for -6 yards,1.330,-0.160
4,0:16,3,11,NYG 33,23,0,Curtis Painter pass complete short middle to Jerrel Jernigan for 9 yards (tackle by Heath Farwell),-0.160,-0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
