Quarter,Time,Down,ToGo,Location,OAK,NWE,Detail,EPB,EPA
1,,,,OAK 2,7,10,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 30,7,10,"Adam Vinatieri kicks off 64 yards, returned by Chris Carr for 27 yards (tackle by Guss Scott)",0.000,1.140
1,1:59,1,10,OAK 33,7,10,LaMont Jordan up the middle for 7 yards (tackle by Chad Brown and Monty Beisel),1.140,1.540
1,1:24,2,3,OAK 40,7,10,LaMont Jordan right tackle for 2 yards (tackle by Chad Brown and Monty Beisel),1.540,1.090
1,0:41,3,1,OAK 42,7,10,LaMont Jordan right guard for 3 yards (tackle by Monty Beisel and Rodney Harrison),1.090,1.930
Quarter,Time,Down,ToGo,Location,OAK,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 45,7,10,LaMont Jordan right guard for 1 yard (tackle by Richard Seymour and Ty Warren),1.930,1.520
2,14:23,2,9,OAK 46,7,10,"LaMont Jordan up the middle for -1 yards (tackle by Monty Beisel). Penalty on Mike Vrabel: Illegal Use of Hands, 5 yards (no play)",1.520,2.320
2,14:08,1,10,NWE 49,7,10,Kerry Collins up the middle for 2 yards (tackle by Ty Warren and Richard Seymour),2.320,2.050
2,13:26,2,8,NWE 47,7,10,LaMont Jordan up the middle for -4 yards (tackle by Richard Seymour and Jarvis Green),2.050,0.830
2,12:46,3,12,OAK 49,7,10,Kerry Collins pass complete to Jerry Porter for 27 yards (tackle by Chad Scott and Eugene Wilson),0.830,3.970
2,12:02,1,10,NWE 24,7,10,Zack Crockett left guard for -1 yards (tackle by Monty Beisel and Jarvis Green),3.970,3.300
2,11:18,2,11,NWE 25,7,10,Kerry Collins pass incomplete intended for Courtney Anderson,3.300,2.610
2,11:13,3,11,NWE 25,7,10,Kerry Collins pass incomplete intended for LaMont Jordan (defended by Richard Seymour),2.610,1.800
2,11:09,4,11,NWE 25,7,10,Sebastian Janikowski 43 yard field goal no good,1.800,-1.140
2,11:04,1,10,NWE 33,7,10,"Kevin Faulk right tackle for 4 yards (tackle by Kirk Morrison and Stanford Routt). Penalty on Deion Branch: Illegal Block Above the , 10 yards (no play)",1.140,0.480
2,10:33,1,20,NWE 23,7,10,Tom Brady pass complete to Troy Brown for 9 yards (tackle by Stanford Routt),0.480,0.460
2,9:50,2,11,NWE 32,7,10,Tom Brady pass incomplete intended for Troy Brown,0.460,-0.230
2,9:46,3,11,NWE 32,7,10,Tom Brady pass complete to Kevin Faulk for 8 yards (tackle by Derrick Gibson and Nnamdi Asomugha),-0.230,-0.720
2,9:16,4,3,NWE 40,7,10,"Josh Miller punts 48 yards, returned by Chris Carr for 15 yards (tackle by Don Davis)",-0.720,-0.740
2,9:04,1,10,OAK 27,13,10,"Kerry Collins pass complete to Randy Moss for 73 yards, touchdown",0.740,7.000
2,,,,NWE 2,14,10,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,14,10,"Sebastian Janikowski kicks off 71 yards, returned by Ellis Hobbs for 37 yards (tackle by Randal Williams)",0.000,1.330
2,8:44,1,10,NWE 36,14,10,Corey Dillon right end for 8 yards (tackle by Kirk Morrison),1.330,1.870
2,8:08,2,2,NWE 44,14,10,Corey Dillon left end for -2 yards (tackle by Charles Woodson),1.870,0.890
2,7:27,3,4,NWE 42,14,10,Tom Brady pass complete to David Givens for 5 yards (tackle by Nnamdi Asomugha and Kirk Morrison),0.890,2.060
2,6:50,1,10,NWE 47,14,10,"Tom Brady pass complete to Corey Dillon for 4 yards (tackle by Kirk Morrison and Danny Clark). Penalty on OAK: Defensive 12 On-field, 5 yards (no play)",2.060,2.790
2,6:10,1,5,OAK 48,14,10,Tom Brady pass complete to David Givens for 26 yards,2.790,4.110
2,5:38,1,10,OAK 22,14,10,Tom Brady pass complete to Daniel Graham for 17 yards (tackle by Derrick Gibson),4.110,6.060
2,4:56,1,5,OAK 5,14,10,Tom Brady pass incomplete intended for David Givens,6.060,5.150
2,4:52,2,5,OAK 5,14,16,"Tom Brady pass complete to Tim Dwight for 5 yards, touchdown",5.150,7.000
2,,,,OAK 2,14,17,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,14,17,"Adam Vinatieri kicks off 67 yards, returned by Chris Carr for 29 yards (tackle by Rodney Harrison)",0.000,1.070
2,4:43,1,10,OAK 32,14,17,Kerry Collins pass incomplete intended for Randy Moss,1.070,0.530
2,4:39,2,10,OAK 32,14,17,"Penalty on Vince Wilfork: Encroachment, 5 yards (no play)",0.530,1.200
2,4:39,2,5,OAK 37,14,17,LaMont Jordan left tackle for 12 yards (tackle by Richard Seymour),1.200,2.190
2,4:01,1,10,OAK 49,14,17,LaMont Jordan left tackle for 1 yard (tackle by Richard Seymour),2.190,1.780
2,3:22,2,9,NWE 50,14,17,Kerry Collins pass complete to LaMont Jordan for -4 yards (tackle by Mike Vrabel),1.780,0.560
2,2:34,3,13,OAK 46,14,17,"Kerry Collins pass incomplete intended for Zack Crockett. Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",0.560,-0.100
2,2:15,3,18,OAK 41,14,17,Zack Crockett right guard for 2 yards (tackle by Jarvis Green and Rodney Harrison),-0.100,-0.520
2,2:00,4,16,OAK 43,14,17,"Shane Lechler punts 41 yards, fair catch by Troy Brown",-0.520,0.140
2,1:53,1,10,NWE 16,14,17,"Tom Brady pass complete to Troy Brown for 4 yards (tackle by Kirk Morrison and Derrick Gibson). Penalty on Derrick Gibson: Face Mask (15 Yards), 15 yards",-0.140,1.270
2,1:45,1,10,NWE 35,14,17,Kevin Faulk right guard for no gain (tackle by Ed Jasper),1.270,0.720
2,1:28,2,10,NWE 35,14,17,Tom Brady pass complete to Kevin Faulk for 6 yards (tackle by Kirk Morrison and Derrick Gibson),0.720,0.830
2,1:07,3,4,NWE 41,14,17,Tom Brady pass incomplete intended for Ben Watson,0.830,-0.650
2,1:02,,,,14,17,Timeout #1 by New England Patriots,0.000,-0.650
2,1:02,4,4,NWE 41,14,17,"Josh Miller punts 46 yards, muffed catch by Chris Carr, ball out of bounds at OAK-11",-0.650,0.370
2,0:53,1,10,OAK 11,14,17,LaMont Jordan right guard for 2 yards (tackle by Richard Seymour and Rodney Harrison),-0.370,-0.630
2,0:32,2,8,OAK 13,14,17,LaMont Jordan left guard for 14 yards (tackle by Rosevelt Colvin),-0.630,0.740
2,0:23,,,,14,17,Timeout #2 by Oakland Raiders,0.000,0.740
2,0:23,1,10,OAK 27,14,17,"Kerry Collins pass incomplete intended for Ronald Curry. Penalty on Alvis Whitted: False Start, 5 yards (no play)",0.740,0.410
2,0:23,1,15,OAK 22,14,17,LaMont Jordan up the middle for 2 yards (tackle by Mike Vrabel),0.410,-0.210
Quarter,Time,Down,ToGo,Location,OAK,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,14,17,"Sebastian Janikowski kicks off 54 yards, returned by Kevin Faulk for 16 yards (tackle by Jarrod Cooper)",0.000,1.070
3,14:56,1,10,NWE 32,14,17,Corey Dillon right tackle for 3 yards (tackle by Danny Clark and Kirk Morrison),1.070,0.930
3,14:13,2,7,NWE 35,14,17,Tom Brady pass complete to Troy Brown for 11 yards (tackle by Stanford Routt),0.930,1.990
3,13:32,1,10,NWE 46,14,17,Corey Dillon left tackle for 2 yards (tackle by Ed Jasper),1.990,1.720
3,12:51,2,8,NWE 48,14,17,Tom Brady pass incomplete intended for David Givens,1.720,1.030
3,12:46,3,8,NWE 48,14,17,Tom Brady pass incomplete intended for Kevin Faulk,1.030,-0.190
3,12:42,4,8,NWE 48,14,17,Josh Miller punts 48 yards,-0.190,0.380
3,12:31,1,10,OAK 4,14,17,LaMont Jordan right tackle for 7 yards (tackle by Mike Vrabel and Ty Warren),-0.380,-0.270
3,11:57,2,3,OAK 11,14,17,LaMont Jordan left tackle for 1 yard (tackle by Willie McGinest),-0.270,-0.480
3,11:15,3,2,OAK 12,14,17,Kerry Collins pass incomplete intended for Randy Moss,-0.480,-2.490
3,11:09,4,2,OAK 12,14,17,"Shane Lechler punts 55 yards, returned by Tim Dwight for 7 yards (tackle by Jarrod Cooper)",-2.490,-1.600
3,10:54,1,10,NWE 40,14,17,Corey Dillon left end for 3 yards (tackle by Warren Sapp and Stuart Schweigert),1.600,1.460
3,10:14,2,7,NWE 43,14,17,Tom Brady pass incomplete intended for Ben Watson,1.460,0.760
3,10:07,3,7,NWE 43,14,17,Tom Brady pass complete to Kevin Faulk for 4 yards (tackle by Derrick Gibson),0.760,-0.260
3,9:30,4,3,NWE 47,14,17,Josh Miller punts 49 yards,-0.260,0.380
3,9:21,1,10,OAK 4,14,17,Kerry Collins pass incomplete intended for LaMont Jordan,-0.380,-0.780
3,9:15,2,10,OAK 4,14,17,LaMont Jordan right guard for 2 yards (tackle by Ty Warren and Monty Beisel),-0.780,-1.190
3,8:32,3,8,OAK 6,14,17,Kerry Collins pass incomplete intended for Randy Moss,-1.190,-2.490
3,8:25,4,8,OAK 6,14,17,"Shane Lechler punts 47 yards, returned by Tim Dwight for 8 yards (tackle by Zeron Flemister). Penalty on Zeron Flemister: Ineligible Downfield Kic, 5 yards",-2.490,-2.920
3,8:16,1,10,OAK 40,14,17,Corey Dillon right end for no gain (tackle by Derrick Burgess and Charles Woodson),2.920,2.370
3,7:41,2,10,OAK 40,14,17,Tom Brady pass complete to Corey Dillon for 5 yards (tackle by Derrick Gibson),2.370,2.340
3,7:17,3,5,OAK 35,14,17,Kevin Faulk right guard for 4 yards (tackle by Ed Jasper and Renaldo Hill),2.340,1.410
3,6:43,4,1,OAK 31,14,17,Corey Dillon right guard for no gain (tackle by Bobby Hamilton and Danny Clark),1.410,-1.000
3,6:37,1,10,OAK 31,14,17,LaMont Jordan left tackle for 2 yards (tackle by Richard Seymour and Monty Beisel),1.000,0.730
3,5:58,2,8,OAK 33,14,17,"Kerry Collins sacked by Jarvis Green for -13 yards. Kerry Collins fumbles (forced by Jarvis Green), recovered by Vince Wilfork at OAK-20 (tackle by Kerry Collins)",0.730,-4.240
3,5:52,1,10,OAK 20,14,17,Tom Brady pass incomplete intended for Deion Branch,4.240,3.690
3,5:46,2,10,OAK 20,14,17,Tom Brady pass complete to Deion Branch for 12 yards (tackle by Stanford Routt),3.690,5.370
3,5:10,1,8,OAK 8,14,23,"Corey Dillon left tackle for 8 yards, touchdown",5.370,7.000
3,,,,OAK 2,14,23,Adam Vinatieri kicks extra point no good,0.000,-1.000
3,,,,NWE 30,14,23,"Adam Vinatieri kicks off 66 yards, returned by Chris Carr for 27 yards (tackle by Rodney Harrison). Penalty on Tim Johnson: Offensive Holding, 10 yards",0.000,-0.370
3,4:59,1,10,OAK 11,14,23,Kerry Collins pass incomplete intended for Randy Moss,-0.370,-0.780
3,4:50,2,10,OAK 11,14,23,Kerry Collins pass complete to LaMont Jordan for 3 yards (tackle by Chad Brown and Mike Vrabel),-0.780,-1.070
3,4:06,3,7,OAK 14,14,23,Kerry Collins pass incomplete intended for Jerry Porter,-1.070,-2.470
3,4:01,4,7,OAK 14,14,23,"Shane Lechler punts 43 yards, returned by Tim Dwight for 28 yards (tackle by Omar Easy). Penalty on Chad Brown: Illegal Block Above the (Declined), Penalty on Wesly Mallard: Illegal Block Above the , 10 yards",-2.470,-1.270
3,3:49,1,10,NWE 35,14,23,Corey Dillon left end for 5 yards (tackle by Nnamdi Asomugha),1.270,1.400
3,3:25,2,5,NWE 40,14,23,Corey Dillon left tackle for 1 yard (tackle by Warren Sapp),1.400,0.830
3,2:45,3,4,NWE 41,14,23,Tom Brady pass incomplete intended for Deion Branch,0.830,-0.650
3,2:42,4,4,NWE 41,14,23,"Josh Miller punts 37 yards, returned by Chris Carr for no gain",-0.650,-0.410
3,2:34,1,10,OAK 22,14,23,Zack Crockett left end for 19 yards (tackle by Eugene Wilson),0.410,1.660
3,2:01,1,10,OAK 41,14,23,"Zack Crockett left guard for 7 yards (tackle by Eugene Wilson and Rodney Harrison). Penalty on Jake Grove: Offensive Holding, 10 yards (no play)",1.660,1.000
3,1:36,1,20,OAK 31,14,23,Kerry Collins pass complete to Randy Moss for 6 yards (tackle by Chad Scott),1.000,0.580
3,1:05,2,14,OAK 37,14,23,Kerry Collins sacked by Mike Vrabel for -6 yards,0.580,-0.890
3,0:30,3,20,OAK 31,14,23,Kerry Collins pass incomplete intended for Zack Crockett,-0.890,-1.310
3,0:25,4,20,OAK 31,14,23,"Shane Lechler punts 45 yards. Penalty on Tim Johnson: Ineligible Downfield Kic, 5 yards (no play)",-1.310,-1.630
3,0:16,4,25,OAK 26,14,23,Shane Lechler punts 48 yards,-1.630,-0.670
3,0:04,1,10,NWE 26,14,23,Corey Dillon right guard for 4 yards (tackle by Danny Clark),0.670,0.670
Quarter,Time,Down,ToGo,Location,OAK,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NWE 30,14,23,Tom Brady pass complete to Troy Brown for 4 yards (tackle by Charles Woodson and Danny Clark),0.670,0.500
4,14:19,3,2,NWE 34,14,23,Tom Brady pass incomplete intended for Ben Watson (defended by Ed Jasper),0.500,-1.110
4,14:15,4,2,NWE 34,14,23,Josh Miller punts 39 yards,-1.110,-0.740
4,14:08,1,10,OAK 27,14,23,"Kerry Collins pass complete to Alvis Whitted for 16 yards (tackle by Randall Gay). Penalty on Ron Stone: Face Mask (15 Yards), 13 yards (no play)",0.740,-0.570
4,13:50,1,23,OAK 14,14,23,Kerry Collins pass complete to Randy Moss for 18 yards (tackle by Asante Samuel),-0.570,0.870
4,13:12,2,5,OAK 32,14,23,Kerry Collins pass incomplete intended for Alvis Whitted,0.870,0.170
4,13:11,3,5,OAK 32,14,23,Kerry Collins pass complete to Alvis Whitted for 22 yards (tackle by Randall Gay),0.170,2.520
4,12:27,,,,14,23,Timeout #1 by Oakland Raiders,0.000,2.520
4,12:27,1,10,NWE 46,14,23,Kerry Collins pass incomplete intended for Alvis Whitted,2.520,1.980
4,12:20,2,10,NWE 46,14,23,Kerry Collins pass incomplete intended for Randy Moss,1.980,1.290
4,12:15,3,10,NWE 46,14,23,Kerry Collins pass incomplete intended for Alvis Whitted. Penalty on Robert Gallery: Offensive Holding (Declined),1.290,0.200
4,12:09,4,10,NWE 46,14,23,"Shane Lechler punts 35 yards, fair catch by Troy Brown. Penalty on Randal Williams: Illegal Motion, 5 yards",0.200,0.140
4,12:03,1,10,NWE 16,14,23,Corey Dillon left end for 10 yards (tackle by Nnamdi Asomugha),-0.140,0.670
4,11:32,1,10,NWE 26,14,23,"Tom Brady pass complete to Deion Branch for 6 yards (tackle by Stanford Routt). Penalty on Stanford Routt: Unnecessary Roughness, 15 yards",0.670,2.060
4,10:56,1,10,NWE 47,14,23,Tom Brady pass complete to Troy Brown for 3 yards (tackle by Stanford Routt),2.060,1.920
4,10:15,2,7,NWE 50,14,23,Tom Brady pass complete to Corey Dillon for 25 yards (tackle by Nnamdi Asomugha),1.920,3.910
4,9:42,1,10,OAK 25,14,23,Tom Brady pass incomplete intended for Deion Branch,3.910,3.360
4,9:37,2,10,OAK 25,14,23,"Tom Brady pass incomplete intended for Troy Brown. Penalty on Stanford Routt: Defensive Pass Interfere, 23 yards (no play)",3.360,6.740
4,9:32,1,2,OAK 2,14,29,"Corey Dillon right tackle for 2 yards, touchdown",6.740,7.000
4,,,,OAK 2,14,30,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,NWE 30,14,30,"Adam Vinatieri kicks off 61 yards, returned by Chris Carr for 28 yards (tackle by Eugene Wilson)",0.000,1.400
4,9:23,1,10,OAK 37,14,30,Kerry Collins pass complete to Jerry Porter for 17 yards (tackle by Rodney Harrison),1.400,2.520
4,8:53,1,10,NWE 46,14,30,Kerry Collins pass complete to Courtney Anderson for 11 yards (tackle by Eugene Wilson),2.520,3.250
4,8:29,1,10,NWE 35,14,30,Kerry Collins pass incomplete intended for Jerry Porter,3.250,2.700
4,8:25,2,10,NWE 35,14,30,Kerry Collins pass complete to LaMont Jordan for 14 yards,2.700,4.170
4,7:54,1,10,NWE 21,14,30,Kerry Collins pass incomplete intended for Randy Moss,4.170,3.630
4,7:48,2,10,NWE 21,14,30,"Kerry Collins pass incomplete. Penalty on Kerry Collins: Intentional Grounding, 13 yards",3.630,1.220
4,7:43,3,23,NWE 34,14,30,Kerry Collins pass incomplete intended for Randy Moss (defended by Eugene Wilson),1.220,1.060
4,7:36,4,23,NWE 34,14,30,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",1.060,0.660
4,7:36,4,28,NWE 39,14,30,Shane Lechler punts 29 yards,0.660,0.380
4,7:26,1,10,NWE 10,14,30,Corey Dillon left end for 7 yards (tackle by Nnamdi Asomugha and Danny Clark),-0.380,-0.090
4,6:42,2,3,NWE 17,14,30,Corey Dillon right tackle for 2 yards (tackle by Charles Woodson),-0.090,-0.370
4,5:57,3,1,NWE 19,14,30,Corey Dillon left tackle for 1 yard (tackle by Grant Irons and Bobby Hamilton),-0.370,0.280
4,5:11,1,10,NWE 20,14,30,"Tom Brady pass incomplete intended for Deion Branch. Penalty on Nnamdi Asomugha: Defensive Holding, 5 yards (no play)",0.280,0.610
4,5:06,1,10,NWE 25,14,30,Tom Brady pass complete to Deion Branch for 5 yards (tackle by Nnamdi Asomugha),0.610,0.740
4,4:36,2,5,NWE 30,14,30,Kevin Faulk right guard for 3 yards (tackle by Danny Clark),0.740,0.430
4,4:29,,,,14,30,Timeout #2 by Oakland Raiders,0.000,0.430
4,4:29,3,2,NWE 33,14,30,Tom Brady pass complete to Deion Branch for 19 yards (tackle by Nnamdi Asomugha),0.430,2.390
4,4:19,1,10,OAK 48,14,30,Corey Dillon left end for -1 yards (tackle by Tommy Kelly),2.390,1.710
4,4:18,2,11,OAK 49,14,30,Tom Brady pass incomplete intended for Daniel Graham,1.710,1.030
4,4:13,3,11,OAK 49,14,30,Kevin Faulk right tackle for no gain (tackle by Derrick Burgess),1.030,0.000
4,4:09,,,,14,30,Timeout #3 by Oakland Raiders,0.000,0.000
4,4:09,4,11,OAK 49,14,30,Josh Miller punts no gain,0.000,-4.170
4,4:01,1,10,NWE 21,14,30,"Kerry Collins pass incomplete intended for Randy Moss. Penalty on Asante Samuel: Defensive Pass Interfere, 6 yards (no play)",4.170,4.580
4,3:57,1,10,NWE 15,14,30,Kerry Collins pass incomplete intended for Randy Moss,4.580,3.950
4,3:53,2,10,NWE 15,14,30,Kerry Collins pass complete to Alvis Whitted for 7 yards (tackle by Randall Gay),3.950,4.450
4,3:19,3,3,NWE 8,14,30,Kerry Collins pass complete to Randy Moss for 4 yards,4.450,6.280
4,3:14,1,4,NWE 4,14,30,Kerry Collins pass complete to LaMont Jordan for -1 yards (tackle by Asante Samuel),6.280,5.150
4,3:09,2,5,NWE 5,20,30,"Kerry Collins pass complete to Courtney Anderson for 5 yards, touchdown",5.150,7.000
4,3:04,,,,20,30,Timeout #1 by New England Patriots,0.000,0.000
4,,,,,20,30,"Two Point Attempt: Kerry Collins pass incomplete intended for Randy Moss, conversion fails. Penalty on Randy Moss: Offensive Pass Interfere (Declined)",1.000,-1.000
4,,,,OAK 30,20,30,Sebastian Janikowski kicks onside 18 yards,0.000,2.390
4,3:04,1,10,OAK 48,20,30,Corey Dillon left guard for 3 yards (tackle by Ted Washington and Bobby Hamilton),2.390,2.250
4,2:20,2,7,OAK 45,20,30,Corey Dillon up the middle for 10 yards (tackle by Danny Clark and Renaldo Hill),2.250,3.250
4,2:00,1,10,OAK 35,20,30,Tom Brady kneels for no gain,3.250,2.700
4,1:15,2,10,OAK 35,20,30,Tom Brady kneels for no gain,2.700,2.010
4,0:36,3,10,OAK 35,20,30,Tom Brady kneels for -1 yards,2.010,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
