Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
1,4:35,2,10,DAL 20,7,0,"Penalty on Pat Sims: Neutral Zone Infraction, 5 yards (no play)",-0.270,0.410
1,4:29,2,5,DAL 25,7,0,DeMarco Murray right end for -1 yards (tackle by Mike Jenkins),0.410,-0.430
1,3:48,3,6,DAL 24,7,0,"Tony Romo pass incomplete short middle intended for Cole Beasley. Penalty on Pat Sims: Roughing the Passer, 15 yards (no play)",-0.430,1.530
1,3:42,1,10,DAL 39,7,0,DeMarco Murray left end for -2 yards (tackle by Kevin Burnett),1.530,0.720
1,3:07,2,12,DAL 37,7,0,Tony Romo pass complete short left to DeMarco Murray for 8 yards (tackle by Usama Young),0.720,1.090
1,2:40,3,4,DAL 45,7,0,Tony Romo pass complete short middle to Terrance Williams for 5 yards (tackle by Mike Jenkins),1.090,2.260
1,1:56,1,10,OAK 50,7,0,Tony Romo pass incomplete deep right intended for Terrance Williams,2.260,1.710
1,1:47,2,10,OAK 50,7,0,Tony Romo pass complete short middle to Cole Beasley for 5 yards (tackle by Nick Roach),1.710,1.690
1,1:08,3,5,OAK 45,7,0,Tony Romo pass incomplete deep middle intended for Miles Austin (defended by Mike Jenkins),1.690,0.270
1,1:02,4,5,OAK 45,7,0,"Chris Jones punts 39 yards, fair catch by Greg Jenkins",0.270,0.380
1,0:53,1,10,OAK 6,7,0,"Matt McGloin for no gain. Stefen Wisniewski fumbles, recovered by Kyle Wilber at OAK-2 (tackle by Rashad Jennings)",-0.380,-6.740
1,0:47,1,2,OAK 2,7,6,"DeMarco Murray left tackle for 2 yards, touchdown",6.740,7.000
1,0:47,,,OAK 2,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,0:47,,,DAL 35,7,7,"Dan Bailey kicks off 70 yards, returned by Taiwan Jones for 26 yards (tackle by Phillip Tanner)",0.000,-0.340
1,0:38,1,10,OAK 21,7,7,Matt McGloin pass incomplete deep left intended for Rod Streater,0.340,-0.200
1,0:31,2,10,OAK 21,7,7,Jacoby Ford left tackle for 3 yards (tackle by Jeff Heath),-0.200,-0.490
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,OAK 24,7,7,Matt McGloin pass complete deep right to Rod Streater for 20 yards,-0.490,1.860
2,15:00,1,10,OAK 44,7,7,Darren McFadden left tackle for 5 yards (tackle by Kyle Wilber and Barry Church),1.860,1.990
2,13:56,2,5,OAK 49,7,7,Matt McGloin pass incomplete short left intended for Andre Holmes (defended by Orlando Scandrick),1.990,1.290
2,13:50,3,5,OAK 49,7,7,Matt McGloin pass complete short left to Mychal Rivera for 22 yards (tackle by Barry Church),1.290,3.640
2,13:06,1,10,DAL 29,7,7,Darren McFadden right tackle for no gain (tackle by Kyle Wilber and Nick Hayden),3.640,3.100
2,12:32,2,10,DAL 29,7,7,Matt McGloin pass complete short left to Jacoby Ford for 1 yard (tackle by Barry Church),3.100,2.540
2,11:48,3,9,DAL 28,7,7,Matt McGloin pass complete deep right to Andre Holmes for 20 yards (tackle by Brandon Carr),2.540,2.540
2,11:10,3,9,DAL 28,7,7,Timeout #1 by Oakland Raiders,2.540,5.370
2,11:10,1,8,DAL 8,7,7,"Penalty on Andre Gurode: False Start, 5 yards (no play)",5.370,4.530
2,11:10,1,13,DAL 13,7,7,Rashad Jennings right guard for -3 yards (tackle by DeMarcus Ware),4.530,3.340
2,10:33,2,16,DAL 16,7,7,Matt McGloin pass complete short right to Andre Holmes for 15 yards (tackle by Brandon Carr),3.340,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
2,10:16,3,1,DAL 1,13,7,"Rashad Jennings right end for 1 yard, touchdown",5.170,7.000
2,10:16,,,DAL 2,14,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,10:16,,,OAK 35,14,7,"Sebastian Janikowski kicks off 73 yards, touchback",0.000,-0.280
2,10:13,1,10,DAL 20,14,7,Tony Romo pass incomplete short left intended for Dez Bryant,0.280,-0.270
2,10:08,2,10,DAL 20,14,7,Tony Romo pass incomplete deep right intended for Terrance Williams,-0.270,-0.960
2,10:01,3,10,DAL 20,14,7,Tony Romo pass incomplete short middle intended for Miles Austin (defended by Tracy Porter),-0.960,-2.030
2,9:54,4,10,DAL 20,14,7,"Chris Jones punts 44 yards, returned by Greg Jenkins for 14 yards (tackle by Cameron Lawrence)",-2.030,-2.260
2,9:42,1,10,DAL 50,14,7,Rashad Jennings right end for no gain (tackle by George Selvie),2.260,1.710
2,9:04,2,10,DAL 50,14,7,"Matt McGloin pass complete short left to Rashad Jennings for 16 yards (tackle by J.J. Wilcox). Penalty on Mychal Rivera: Offensive Holding (Offsetting), Penalty on DeMarcus Ware: Defensive Offside (Offsetting) (no play)",1.710,1.710
2,9:04,2,10,,14,7,Darren McFadden right end for 2 yards (tackle by DeMarcus Ware and Nick Hayden),1.710,1.290
2,7:56,3,8,DAL 48,14,7,Matt McGloin pass complete short middle to Mychal Rivera for 8 yards (tackle by Barry Church),1.290,2.920
2,7:17,1,10,DAL 40,14,7,Rashad Jennings left tackle for 7 yards (tackle by Barry Church and Orlando Scandrick),2.920,3.320
2,6:42,2,3,DAL 33,14,7,Rashad Jennings up the middle for 9 yards (tackle by Barry Church),3.320,3.970
2,6:03,1,10,DAL 24,14,7,Rashad Jennings up the middle for 4 yards (tackle by Everette Brown),3.970,3.970
2,6:03,2,6,DAL 20,14,7,"Penalty on Andre Gurode: False Start, 5 yards (no play)",3.970,3.300
2,5:05,2,11,DAL 25,14,7,Rashad Jennings up the middle for 3 yards (tackle by Ernie Sims),3.300,3.010
2,4:19,3,8,DAL 22,14,7,Matt McGloin pass complete short middle to Andre Holmes for 11 yards (tackle by Brandon Carr),3.010,4.840
2,4:19,1,10,DAL 11,14,7,Rashad Jennings left guard for 1 yard (tackle by Bruce Carter and DeMarcus Ware),4.840,4.320
2,2:57,2,9,DAL 10,14,7,Matt McGloin pass complete short left to Jacoby Ford for 7 yards (tackle by B.W. Webb),4.320,4.320
2,2:08,2,9,DAL 10,14,7,Timeout #2 by Oakland Raiders,4.320,4.890
2,2:08,3,2,DAL 3,14,7,Rashad Jennings left tackle for 2 yards (tackle by Bruce Carter),4.890,6.970
2,2:00,1,1,DAL 1,20,7,"Rashad Jennings up the middle for 1 yard, touchdown",6.970,7.000
2,2:00,,,DAL 2,21,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,2:00,,,OAK 35,21,7,"Sebastian Janikowski kicks off 70 yards, returned by Terrance Williams for 32 yards (tackle by Kaelin Burnett)",0.000,-0.740
2,1:48,1,10,DAL 27,21,7,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Tracy Porter),0.740,1.530
2,1:27,1,10,DAL 39,21,7,Tony Romo pass complete short right to DeMarco Murray for 7 yards (tackle by Nick Roach),1.530,1.930
2,1:03,2,3,DAL 46,21,7,Tony Romo pass complete deep right to Jason Witten for 22 yards (tackle by Charles Woodson),1.930,1.930
2,0:57,2,3,DAL 46,21,7,Timeout #1 by Dallas Cowboys,1.930,3.450
2,0:57,1,10,OAK 32,21,7,"Tony Romo pass complete short middle to Dez Bryant for 3 yards (tackle by Mike Jenkins). Dez Bryant fumbles (forced by Mike Jenkins), recovered by Tyron Smith at OAK-29",3.450,3.450
2,0:47,1,10,OAK 32,21,7,Timeout #2 by Dallas Cowboys,3.450,3.310
2,0:47,2,7,OAK 29,21,7,Tony Romo pass incomplete short middle intended for Miles Austin,3.310,2.610
2,0:42,3,7,OAK 29,21,7,Tony Romo pass complete short middle to Dez Bryant for 25 yards (tackle by Tracy Porter),2.610,2.610
2,0:19,3,7,OAK 29,21,7,Timeout #3 by Oakland Raiders,2.610,6.280
2,0:19,1,4,OAK 4,21,7,Tony Romo pass incomplete intended for Terrance Williams,6.280,5.340
2,0:14,2,4,OAK 4,21,13,"DeMarco Murray up the middle for 4 yards, touchdown",5.340,7.000
2,0:14,,,OAK 2,21,14,Dan Bailey kicks extra point good,0.000,0.000
2,0:14,,,DAL 35,21,14,"Dan Bailey kicks off 36 yards, returned by Mychal Rivera for 3 yards (tackle by Cameron Lawrence)",0.000,-1.070
2,0:10,1,10,OAK 32,21,14,Matt McGloin kneels for -1 yards,1.070,0.390
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,21,14,"Dan Bailey kicks off no gain, returned by Taiwan Jones for 27 yards (tackle by J.J. Wilcox)",0.000,0.280
3,14:54,1,10,OAK 20,21,14,Matt McGloin pass complete short middle to Andre Holmes for 21 yards (tackle by Orlando Scandrick),0.280,1.660
3,14:20,1,10,OAK 41,21,14,Rashad Jennings up the middle for -3 yards (tackle by Jason Hatcher),1.660,0.720
3,13:41,2,13,OAK 38,21,14,"Penalty on Andre Gurode: False Start, 5 yards (no play)",0.720,0.040
3,13:18,2,18,OAK 33,21,14,Matt McGloin pass complete short left to Marcel Reece for no gain,0.040,-0.630
3,13:18,3,18,OAK 33,21,14,"Penalty on George Selvie: Encroachment, 5 yards (no play)",-0.630,0.040
3,12:21,3,13,OAK 38,21,14,Rashad Jennings left tackle for 7 yards (tackle by Bruce Carter),0.040,-0.390
3,11:42,4,6,OAK 45,21,14,"Marquette King punts 47 yards, returned by Cole Beasley for 5 yards (tackle by Jamize Olawale)",-0.390,0.320
3,11:29,1,10,DAL 13,21,14,DeMarco Murray left end for 3 yards (tackle by Tracy Porter),-0.320,-0.440
3,11:02,2,7,DAL 16,21,14,Tony Romo pass complete short middle to Terrance Williams for 4 yards (tackle by Kevin Burnett),-0.440,-0.590
3,10:19,3,3,DAL 20,21,14,"Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Usama Young). Penalty on Jason Witten: Offensive Pass Interference, 10 yards (no play)",-0.590,-1.770
3,9:43,3,13,DAL 10,21,14,Tony Romo pass complete short left to Terrance Williams for 14 yards (tackle by Usama Young),-1.770,0.540
3,9:12,1,10,DAL 24,21,14,Lance Dunbar left tackle for 6 yards (tackle by Pat Sims),0.540,0.810
3,8:39,2,4,DAL 30,21,14,Lance Dunbar left guard for 45 yards (tackle by Phillip Adams),0.810,3.910
3,7:46,1,10,OAK 25,21,14,Tony Romo pass complete short middle to DeMarco Murray for 10 yards (tackle by Tracy Porter and Kevin Burnett),3.910,4.580
3,7:00,1,10,OAK 15,21,14,Lance Dunbar up the middle for 7 yards (tackle by Nick Roach),4.580,5.220
3,6:18,2,3,OAK 8,21,14,"DeMarco Murray right end for 8 yards. Penalty on Doug Free: Offensive Holding, 10 yards (no play)",5.220,3.560
3,6:08,2,13,OAK 18,21,14,Tony Romo pass complete short left to Cole Beasley for 5 yards,3.560,3.400
3,5:53,3,8,OAK 13,21,14,Tony Romo pass complete short left to Cole Beasley for 9 yards (tackle by Phillip Adams),3.400,6.280
3,5:31,1,4,OAK 4,21,20,"Tony Romo pass complete short right to Dez Bryant for 4 yards, touchdown",6.280,7.000
3,5:31,,,OAK 2,21,21,Dan Bailey kicks extra point good,0.000,0.000
3,5:31,,,DAL 35,21,21,"Dan Bailey kicks off 70 yards, returned by Taiwan Jones for 20 yards (tackle by Lance Dunbar). Penalty on Lance Dunbar: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,5:31,,,DAL 30,21,21,"Dan Bailey kicks off 63 yards, returned by Taiwan Jones for 17 yards (tackle by B.W. Webb)",0.000,-0.540
3,5:11,1,10,OAK 24,21,21,Matt McGloin pass incomplete deep left intended for Andre Holmes,0.540,0.000
3,5:03,2,10,OAK 24,21,21,Matt McGloin pass incomplete short right intended for Marcel Reece,0.000,-0.690
3,4:59,3,10,OAK 24,21,21,Matt McGloin pass incomplete short left intended for Mychal Rivera,-0.690,-1.770
3,4:59,4,10,OAK 24,21,21,"Penalty on Marquette King: Delay of Game, 5 yards (no play)",-1.770,-2.140
3,4:53,4,15,OAK 19,21,21,"Marquette King punts 60 yards, returned by Cole Beasley for 14 yards (tackle by Jon Condo)",-2.140,-1.270
3,4:40,1,10,DAL 35,21,21,Lance Dunbar up the middle for 2 yards (tackle by Vance Walker and Daniel Muir),1.270,0.990
3,4:00,2,8,DAL 37,21,21,Tony Romo pass complete short left to Dez Bryant for 2 yards (tackle by Phillip Adams),0.990,0.560
3,3:15,3,6,DAL 39,21,21,Tony Romo pass complete short right to Jason Witten for 19 yards (tackle by Nick Roach),0.560,2.790
3,2:40,1,10,OAK 42,21,21,Lance Dunbar right tackle for 9 yards (tackle by Charles Woodson),2.790,3.460
3,1:56,2,1,OAK 33,21,21,Lance Dunbar up the middle for 4 yards (tackle by Pat Sims),3.460,3.640
3,1:10,1,10,OAK 29,21,21,Tony Romo pass complete short middle to DeMarco Murray for 7 yards (tackle by Jack Crawford),3.640,4.050
3,0:22,2,3,OAK 22,21,21,Lance Dunbar left end for 5 yards (tackle by Phillip Adams),4.050,4.440
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,OAK 17,21,21,"DeMarco Murray up the middle for 3 yards (tackle by Lamarr Houston). Penalty on Sio Moore: Unnecessary Roughness, 7 yards",4.440,5.600
4,14:26,1,7,OAK 7,21,27,"DeMarco Murray right tackle for 7 yards, touchdown",5.600,7.000
4,14:26,,,OAK 2,21,28,Dan Bailey kicks extra point good,0.000,0.000
4,14:26,,,DAL 35,21,28,"Dan Bailey kicks off 68 yards, returned by Taiwan Jones for 24 yards (tackle by Sterling Moore)",0.000,-0.340
4,14:12,1,10,OAK 21,21,28,Darren McFadden left end for no gain (tackle by Kyle Wilber),0.340,-0.200
4,13:31,2,10,OAK 21,21,28,Darren McFadden left guard for 6 yards (tackle by George Selvie and Jeff Heath),-0.200,-0.100
4,13:00,3,4,OAK 27,21,28,Matt McGloin pass incomplete deep right intended for Andre Holmes,-0.100,-1.570
4,12:53,4,4,OAK 27,21,28,"Marquette King punts 59 yards, returned by Cole Beasley for 12 yards (tackle by Brandian Ross)",-1.570,-0.670
4,12:40,1,10,DAL 26,21,28,Lance Dunbar right tackle for 4 yards (tackle by Vance Walker and Nick Roach),0.670,0.670
4,11:56,2,6,DAL 30,21,28,Lance Dunbar left end for no gain (tackle by Lamarr Houston),0.670,-0.030
4,11:09,3,6,DAL 30,21,28,"Tony Romo sacked by Nick Roach for -7 yards. Tony Romo fumbles (forced by Nick Roach), recovered by Tony Romo at DAL-23",-0.030,-1.830
4,10:25,4,13,DAL 23,21,28,"Chris Jones punts 47 yards, returned by Greg Jenkins for 14 yards (tackle by Jeff Heath)",-1.830,-1.860
4,10:21,1,10,OAK 44,21,28,Matt McGloin pass complete short middle to Andre Holmes for 35 yards (tackle by Jeff Heath),1.860,4.170
4,9:35,1,10,DAL 21,21,28,Matt McGloin pass incomplete deep middle intended for Marcel Reece (defended by Jeff Heath),4.170,3.630
4,9:29,2,10,DAL 21,21,28,Rashad Jennings up the middle for 1 yard (tackle by Drake Nevis and Kyle Wilber),3.630,3.070
4,8:46,3,9,DAL 20,21,28,Matt McGloin pass incomplete deep right intended for Jacoby Ford is intercepted by Brandon Carr at DAL--7,3.070,-0.280
4,8:39,1,10,DAL 20,21,28,DeMarco Murray right end for 8 yards (tackle by Brandian Ross),0.280,0.810
4,8:03,2,2,DAL 28,21,28,Lance Dunbar right tackle for 1 yard (tackle by Tracy Porter),0.810,0.230
4,7:11,3,1,DAL 29,21,28,DeMarco Murray left guard for 4 yards (tackle by Nick Roach),0.230,1.140
4,6:26,1,10,DAL 33,21,28,Lance Dunbar up the middle for 4 yards (tackle by Nick Roach),1.140,1.130
4,5:45,2,6,DAL 37,21,28,"Tony Romo pass incomplete short left intended for Dez Bryant. Penalty on Chimdi Chekwa: Defensive Pass Interference, 14 yards (no play)",1.130,2.320
4,5:40,1,10,OAK 49,21,28,Lance Dunbar left end for -5 yards (tackle by Tracy Porter),2.320,1.110
4,5:19,2,15,DAL 46,21,28,"Penalty on Travis Frederick: False Start, 5 yards (no play)",1.110,0.430
4,5:02,2,20,DAL 41,21,28,"Penalty on Lamarr Houston: Neutral Zone Infraction, 5 yards (no play)",0.430,1.110
4,4:41,2,15,DAL 46,21,28,Tony Romo pass complete short left to Dez Bryant for 14 yards (tackle by Brandian Ross),1.110,2.280
4,4:32,3,1,OAK 40,21,28,DeMarco Murray left tackle for 2 yards (tackle by Tracy Porter and Miles Burris),2.280,3.050
4,3:46,1,10,OAK 38,21,28,DeMarco Murray left end for 11 yards (tackle by Charles Woodson),3.050,3.780
4,3:39,1,10,OAK 27,21,28,Tony Romo pass complete short left to Dez Bryant for 9 yards (tackle by Phillip Adams),3.780,3.780
4,3:32,1,10,OAK 27,21,28,Timeout #1 by Oakland Raiders,3.780,4.530
4,3:32,2,1,OAK 18,21,28,DeMarco Murray right end for 8 yards (tackle by Tracy Porter),4.530,4.530
4,3:21,2,1,OAK 18,21,28,Timeout #2 by Oakland Raiders,4.530,4.910
4,3:21,1,10,OAK 10,21,28,DeMarco Murray left tackle for 3 yards (tackle by Phillip Adams),4.910,4.760
4,2:35,2,7,OAK 7,21,28,Tony Romo pass complete short left to Dez Bryant for 4 yards (tackle by Phillip Adams),4.760,4.760
4,2:30,2,7,OAK 7,21,28,Timeout #3 by Oakland Raiders,4.760,4.720
4,2:30,3,3,OAK 3,21,28,DeMarco Murray up the middle for 2 yards (tackle by Vance Walker),4.720,3.550
4,2:00,4,1,OAK 1,21,31,Dan Bailey 19 yard field goal good,3.550,3.000
4,2:00,,,DAL 35,21,31,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,1:56,1,10,OAK 20,21,31,Matt McGloin pass complete short middle to Rashad Jennings for 8 yards (tackle by Barry Church),0.280,0.810
4,1:33,2,2,OAK 28,21,31,Matt McGloin pass complete short middle to Rod Streater for 10 yards (tackle by Jeff Heath),0.810,1.470
4,1:16,1,10,OAK 38,21,31,Matt McGloin pass incomplete short left intended for Darren McFadden,1.470,0.920
4,1:11,2,10,OAK 38,21,31,"Penalty on DeMarcus Ware: Neutral Zone Infraction, 5 yards (no play)",0.920,1.600
4,1:11,2,5,OAK 43,21,31,"Penalty on Jared Veldheer: False Start, 5 yards (no play)",1.600,0.920
4,1:11,2,10,OAK 38,21,31,Matt McGloin pass complete deep right to Andre Holmes for 24 yards,0.920,3.050
4,1:05,1,10,DAL 38,21,31,Matt McGloin pass complete short middle to Jacoby Ford for 11 yards (tackle by Jeff Heath),3.050,3.780
4,0:46,1,10,DAL 27,21,31,Matt McGloin pass incomplete deep left intended for Andre Holmes,3.780,3.230
4,0:38,2,10,DAL 27,24,31,Sebastian Janikowski 45 yard field goal good,3.230,3.000
4,0:35,2,10,DAL 27,24,31,Timeout #1 by Dallas Cowboys,3.230,0.000
4,0:38,,,OAK 35,24,31,"Sebastian Janikowski kicks onside 7 yards, recovered by Jeff Heath",0.000,-2.790
4,0:35,1,10,OAK 42,24,31,Tony Romo kneels for -1 yards,2.790,2.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
