Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
2,0:41,,,,10,20,Timeout #2 by Denver Broncos,0.000,1.400
2,0:41,1,10,DEN 37,10,20,Jay Cutler pass complete short middle to Brandon Marshall for 9 yards (tackle by Terry Cousin),1.400,2.070
2,0:24,2,1,DEN 46,10,20,Jay Cutler pass incomplete short right intended for Eddie Royal (defended by Corey Williams),2.070,1.360
2,0:21,3,1,DEN 46,10,20,Jay Cutler up the middle for 9 yards (tackle by Willie McGinest),1.360,2.590
2,0:16,,,,10,20,Timeout #3 by Denver Broncos,0.000,2.590
2,0:16,1,10,CLE 45,10,20,Jay Cutler pass incomplete deep right intended for Brandon Marshall,2.590,2.040
2,0:12,2,10,CLE 45,10,20,Jay Cutler right guard for 4 yards (tackle by D'Qwell Jackson),2.040,1.880
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,10,20,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,CLE 20,10,20,Brady Quinn pass complete short right to Braylon Edwards for 15 yards (tackle by Dre' Bly),0.280,1.270
3,15:00,1,10,CLE 35,10,20,Jamal Lewis left tackle for 1 yard (tackle by Wesley Woodyard),1.270,0.860
3,13:46,2,9,CLE 36,10,20,Brady Quinn pass complete short right to Charles Ali for 1 yard (tackle by Jamie Winborn),0.860,0.300
3,13:04,3,8,CLE 37,10,20,Brady Quinn pass complete short left to Donte Stallworth for 19 yards (tackle by Calvin Lowry),0.300,2.650
3,12:32,,,,10,20,Timeout #1 by Cleveland Browns,0.000,2.650
3,12:32,1,10,DEN 44,10,20,Brady Quinn pass incomplete short left intended for Braylon Edwards,2.650,2.110
3,12:27,2,10,DEN 44,10,20,Josh Cribbs right end for 27 yards (tackle by Wesley Woodyard),2.110,4.440
3,11:39,1,10,DEN 17,10,20,Brady Quinn for 3 yards (tackle by John Engelberger),4.440,4.320
3,11:23,2,7,DEN 14,10,20,Jamal Lewis left tackle for -2 yards (tackle by Wesley Woodyard),4.320,3.190
3,11:13,3,9,DEN 16,10,20,Brady Quinn pass incomplete short left intended for Kellen Winslow Jr.,3.190,2.380
3,10:25,4,9,DEN 16,10,23,Phil Dawson 33 yard field goal good,2.380,3.000
3,,,,CLE 30,10,23,"Phil Dawson kicks off 53 yards, returned by Peyton Hillis for 11 yards (tackle by Josh Cribbs)",0.000,0.810
3,10:17,1,10,DEN 28,10,23,Jay Cutler pass complete deep left to Eddie Royal for 16 yards (tackle by Brandon McDonald),0.810,1.860
3,9:43,1,10,DEN 44,10,23,Peyton Hillis left guard for 4 yards (tackle by Corey Williams),1.860,1.860
3,9:09,2,6,DEN 48,10,23,Jay Cutler pass complete deep middle to Tony Scheffler for 24 yards (tackle by D'Qwell Jackson),1.860,3.710
3,8:32,1,10,CLE 28,10,23,Peyton Hillis left guard for -1 yards (tackle by Kamerion Wimbley and Andra Davis),3.710,3.030
3,7:57,2,11,CLE 29,10,23,Jay Cutler pass complete short middle to Nate Jackson for 10 yards (tackle by Brodney Pool),3.030,3.720
3,7:17,3,1,CLE 19,10,23,Peyton Hillis right guard for 4 yards (tackle by Sean Jones),3.720,4.580
3,6:40,1,10,CLE 15,10,23,Peyton Hillis right guard for 5 yards (tackle by Shaun Rogers),4.580,4.840
3,6:10,2,5,CLE 10,10,23,Jay Cutler up the middle for -2 yards (tackle by Andra Davis),4.840,3.580
3,5:55,3,7,CLE 12,10,23,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Brandon McDonald),3.580,2.630
3,5:40,4,7,CLE 12,13,23,Matt Prater 30 yard field goal good,2.630,3.000
3,,,,DEN 30,13,23,"Matt Prater kicks off 75 yards, returned by Josh Cribbs for 34 yards (tackle by Jack Williams)",0.000,0.870
3,5:30,1,10,CLE 29,13,23,Jamal Lewis right tackle for 1 yard (tackle by Wesley Woodyard),0.870,0.460
3,4:54,2,9,CLE 30,13,23,Brady Quinn pass incomplete short right intended for Braylon Edwards,0.460,-0.230
3,4:50,3,9,CLE 30,13,23,Brady Quinn pass complete short middle to Kellen Winslow Jr. for 14 yards (tackle by Marquand Manuel),-0.230,1.860
3,4:08,1,10,CLE 44,13,23,Brady Quinn pass complete short left to Jamal Lewis for 6 yards (tackle by Jamie Winborn),1.860,2.130
3,3:28,2,4,,13,23,Jamal Lewis left guard for 2 yards (tackle by Marquand Manuel),2.130,1.690
3,2:50,3,2,DEN 48,13,23,Jason Wright left end for 1 yard (tackle by Elvis Dumervil),1.690,0.130
3,2:02,4,1,DEN 47,13,23,Jamal Lewis right guard for 2 yards (tackle by Marquand Manuel),0.130,2.590
3,1:22,1,10,DEN 45,13,23,Jamal Lewis right tackle for 3 yards (tackle by Ebenezer Ekuban),2.590,2.450
3,0:39,2,7,DEN 42,13,23,"Penalty on Braylon Edwards: False Start, 5 yards (no play)",2.450,1.770
3,0:14,2,12,DEN 47,13,23,Brady Quinn pass complete short left to Steve Heiden for 6 yards (tackle by Jamie Winborn),1.770,1.880
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,DEN 41,13,23,"Brady Quinn pass complete short right to Braylon Edwards for 15 yards (tackle by Josh Bell). Penalty on Kellen Winslow Jr.: Offensive Pass Interference, 10 yards (no play)",1.880,0.560
4,14:31,3,16,CLE 49,13,23,Brady Quinn pass complete short right to Donte Stallworth for 6 yards (tackle by Louis Green),0.560,0.270
4,13:55,4,10,DEN 45,13,23,"Dave Zastudil punts 38 yards, fair catch by Eddie Royal",0.270,0.380
4,13:43,1,10,DEN 7,19,23,"Jay Cutler pass complete deep left to Eddie Royal for 93 yards, touchdown",-0.380,7.000
4,,,,CLE 2,20,23,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,20,23,"Matt Prater kicks off 63 yards, returned by Josh Cribbs for 43 yards (tackle by Karl Paymah)",0.000,2.260
4,13:19,1,10,,20,23,Brady Quinn pass incomplete short right intended for Braylon Edwards,2.260,1.710
4,13:11,2,10,,20,23,Jerome Harrison left tackle for 4 yards (tackle by Wesley Woodyard),1.710,1.550
4,12:48,3,6,DEN 46,20,23,"Brady Quinn pass complete short right to Kellen Winslow Jr. for 8 yards (tackle by Dre' Bly). Kellen Winslow Jr. fumbles (forced by Dre' Bly), recovered by Karl Paymah at DEN-38 (tackle by Donte Stallworth)",1.550,-1.470
4,12:41,1,10,DEN 38,20,23,Jay Cutler pass incomplete short right intended for Tony Scheffler,1.470,0.920
4,12:34,2,10,DEN 38,20,23,Jay Cutler pass incomplete deep left intended for Eddie Royal (defended by Brandon McDonald),0.920,0.230
4,12:26,3,10,DEN 38,20,23,Jay Cutler pass complete deep right to Eddie Royal for 22 yards (tackle by Willie McGinest),0.230,2.920
4,11:51,1,10,CLE 40,20,23,Jay Cutler sacked by Kamerion Wimbley for -6 yards,2.920,1.560
4,11:21,2,16,CLE 46,20,23,Jay Cutler pass complete deep middle to Nate Jackson for 19 yards (tackle by Brodney Pool),1.560,3.780
4,10:44,1,10,CLE 27,20,23,Peyton Hillis right guard for -1 yards (tackle by Willie McGinest),3.780,3.100
4,10:05,2,11,CLE 28,20,23,Jay Cutler pass incomplete short right intended for Nate Jackson,3.100,2.410
4,10:00,3,11,CLE 28,26,23,"Jay Cutler pass complete short left to Daniel Graham for 28 yards, touchdown",2.410,7.000
4,,,,CLE 2,27,23,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,27,23,"Matt Prater kicks off 58 yards, returned by Josh Cribbs for 10 yards (tackle by Roderick Rogers)",0.000,0.410
4,9:45,1,10,CLE 22,27,23,Brady Quinn pass incomplete short right intended for Donte Stallworth,0.410,-0.130
4,9:41,2,10,CLE 22,27,23,Josh Cribbs left end for 21 yards (tackle by Dre' Bly),-0.130,1.800
4,8:58,1,10,CLE 43,27,23,Jamal Lewis for 3 yards,1.800,1.660
4,8:29,2,7,CLE 46,27,23,Brady Quinn pass complete short middle to Kellen Winslow Jr. for 30 yards (tackle by Marquand Manuel),1.660,3.970
4,7:58,1,10,DEN 24,27,23,Josh Cribbs left end for no gain (tackle by Wesley Woodyard),3.970,3.430
4,7:20,2,10,DEN 24,27,23,Brady Quinn pass complete short middle to Jamal Lewis for 18 yards (tackle by Jamie Winborn),3.430,5.830
4,6:30,1,6,DEN 6,27,23,Brady Quinn pass complete short left to Donte Stallworth for 5 yards (tackle by Karl Paymah),5.830,5.910
4,5:48,2,1,DEN 1,27,23,Jamal Lewis up the middle for no gain (tackle by Jamie Winborn),5.910,5.170
4,5:00,3,1,DEN 1,27,29,"Jamal Lewis right guard for 1 yard, touchdown",5.170,7.000
,,,,,,,"DEN challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,DEN 2,27,30,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,27,30,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
4,4:57,1,10,DEN 20,27,30,Peyton Hillis left tackle for 10 yards (tackle by Kamerion Wimbley),0.280,0.940
4,4:47,1,10,DEN 30,27,30,"Peyton Hillis right guard for 1 yard (tackle by Willie McGinest). Penalty on Shaun Rogers: Defensive Holding, 5 yards",0.940,1.330
4,4:43,1,10,DEN 36,27,30,Jay Cutler pass incomplete short middle intended for Daniel Graham (defended by Corey Williams),1.330,0.790
4,4:38,2,10,DEN 36,27,30,Jay Cutler pass incomplete deep middle intended for Nate Jackson (defended by Willie McGinest),0.790,0.100
4,4:29,3,10,DEN 36,27,30,Jay Cutler pass complete short middle to Brandon Stokley for 9 yards (tackle by D'Qwell Jackson),0.100,-0.390
4,3:58,,,,27,30,Timeout #2 by Denver Broncos,0.000,-0.390
4,3:58,4,1,DEN 45,27,30,Peyton Hillis right guard for 2 yards (tackle by Sean Jones),-0.390,2.060
4,3:37,1,10,DEN 47,27,30,Jay Cutler pass incomplete short right intended for Peyton Hillis,2.060,1.520
4,3:28,2,10,DEN 47,27,30,Jay Cutler pass complete short middle to Daniel Graham for 8 yards (tackle by Terry Cousin),1.520,1.880
4,3:28,3,2,CLE 45,27,30,Jay Cutler left guard for 2 yards (tackle by Kamerion Wimbley),1.880,2.720
4,2:27,1,10,CLE 43,27,30,Jay Cutler pass complete short middle to Daniel Graham for 14 yards (tackle by D'Qwell Jackson),2.720,3.640
4,2:00,1,10,CLE 29,27,30,Jay Cutler up the middle for 18 yards (tackle by Sean Jones),3.640,4.840
4,1:24,1,10,CLE 11,27,30,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Brandon McDonald),4.840,4.140
4,1:17,2,10,CLE 11,33,30,"Jay Cutler pass complete short left to Brandon Marshall for 11 yards, touchdown",4.140,7.000
4,,,,CLE 2,34,30,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,34,30,"Matt Prater kicks off 48 yards, returned by Josh Cribbs for 11 yards (tackle by Spencer Larsen)",0.000,1.140
4,1:14,1,10,CLE 33,34,30,Brady Quinn pass complete short right to Kellen Winslow Jr. for 9 yards (tackle by Jamie Winborn),1.140,1.810
4,1:03,2,1,CLE 42,34,30,Brady Quinn pass incomplete short right intended for Kellen Winslow Jr.,1.810,1.090
4,0:58,3,1,CLE 42,34,30,Brady Quinn pass incomplete short middle intended for Jason Wright,1.090,-0.590
4,0:54,4,1,CLE 42,34,30,Brady Quinn pass incomplete short left intended for Kellen Winslow Jr.,-0.590,-2.790
4,0:50,1,10,CLE 42,34,30,Jay Cutler kneels for -1 yards,2.790,2.110
4,0:13,2,11,CLE 43,34,30,Jay Cutler kneels for -1 yards,2.110,1.290
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
