Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
2,8:54,2,4,LAR 28,13,3,Cam Akers up the middle for 3 yards (tackle by Neil Farrell and Clelin Ferrell),0.680,0.370
2,8:19,3,1,LAR 31,13,3,Cam Akers left tackle for 5 yards (tackle by Clelin Ferrell and Sam Webb),0.370,1.330
2,7:41,1,10,LAR 36,13,3,Baker Mayfield pass complete short left to Tutu Atwell for 22 yards (tackle by Duron Harmon),1.330,2.790
2,7:05,1,10,LVR 42,13,3,Baker Mayfield up the middle for -1 yards (tackle by Maxx Crosby),2.790,2.110
2,6:21,2,11,LVR 43,13,3,Cam Akers up the middle for -2 yards (tackle by Trevon Moehrig),2.110,1.160
2,5:37,,,,,,Timeout #1 by Los Angeles Rams,,
2,5:37,3,13,LVR 45,13,3,Baker Mayfield pass complete deep middle to Ben Skowronek for 22 yards (tackle by Sidney Jones),1.160,4.040
2,4:56,1,10,LVR 23,13,3,"Cam Akers left guard for 3 yards. Cam Akers fumbles (forced by Chandler Jones), recovered by Chandler Jones at LV-17 (tackle by Chandler Jones)",4.040,0.060
2,4:45,1,10,LVR 17,13,3,Josh Jacobs up the middle for 8 yards (tackle by Taylor Rapp and Bobby Wagner),-0.060,0.620
2,4:10,2,2,LVR 25,13,3,Josh Jacobs left tackle for 2 yards (tackle by Jonah Williams),0.620,0.740
2,3:28,1,10,LVR 27,13,3,Derek Carr pass complete short left to Josh Jacobs for 8 yards (tackle by Bobby Wagner),0.740,1.280
2,2:47,2,2,LVR 35,13,3,Josh Jacobs right end for 8 yards (tackle by Troy Hill),1.280,1.800
2,2:00,1,10,LVR 43,13,3,Mack Hollins left end for 7 yards (tackle by Troy Hill),1.800,2.200
2,1:23,2,3,LVR 50,13,3,Josh Jacobs left tackle for no gain (tackle by Greg Gaines),2.200,1.490
2,1:17,,,,,,Timeout #2 by Las Vegas Raiders,,
2,1:17,3,3,LVR 50,13,3,Derek Carr pass complete deep left to Davante Adams for 35 yards (tackle by Jalen Ramsey),1.490,4.580
2,1:11,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:11,1,10,LAR 15,13,3,Derek Carr scrambles right end for 1 yard (tackle by Greg Gaines),4.580,4.110
2,1:04,2,9,LAR 14,13,3,Derek Carr pass complete short middle to Davante Adams for 4 yards (tackle by Bobby Wagner),4.110,4.000
2,0:56,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:56,3,5,LAR 10,13,3,Derek Carr pass short middle intended for Mack Hollins is intercepted by Ernest Jones in end zone and returned for no gain,4.000,-0.280
2,0:49,1,10,LAR 20,13,3,Baker Mayfield pass incomplete short right intended for Tyler Higbee,0.280,-0.270
2,0:45,2,10,LAR 20,13,3,Baker Mayfield pass incomplete short left intended for Austin Trammell (defended by Sam Webb),-0.270,-0.960
2,0:41,3,10,LAR 20,13,3,Malcolm Brown up the middle for 5 yards (tackle by Jerry Tillery),-0.960,-1.700
Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,13,3,"Daniel Carlson kicks off 60 yards, returned by Brandon Powell for 13 yards (tackle by Brandon Bolden)",0.000,0.040
3,14:54,1,10,LAR 18,13,3,Baker Mayfield pass incomplete short left intended for Van Jefferson,0.040,-0.490
3,14:51,2,10,LAR 18,13,3,Baker Mayfield scrambles left end for 6 yards (tackle by Luke Masterson),-0.490,-0.400
3,14:08,3,4,LAR 24,13,3,Baker Mayfield pass complete short right to Austin Trammell for 5 yards (tackle by Nate Hobbs),-0.400,0.870
3,13:25,1,10,LAR 29,13,3,Baker Mayfield sacked by Bilal Nichols for -9 yards,0.870,-0.890
3,12:38,2,19,LAR 20,13,3,Baker Mayfield pass incomplete short right intended for Kyren Williams,-0.890,-1.550
3,12:32,3,19,LAR 20,13,3,"Baker Mayfield pass incomplete short right intended for Brandon Powell. Penalty on Rob Havenstein: Ineligible Downfield Pass, 5 yards (declined)",-1.550,-2.030
3,12:28,4,19,LAR 20,13,3,"Riley Dixon punts 60 yards out of bounds. Penalty on Jacob Harris: Kick Catch Interference, 15 yards (offset) . Penalty on Isaiah Pola-Mao: Offensive Holding, 10 yards (offset) (no play)",-2.030,-2.030
3,12:19,4,19,LAR 20,13,3,Riley Dixon punts 38 yards out of bounds,-2.030,-1.730
3,12:10,1,10,LVR 42,13,3,"Josh Jacobs up the middle for no gain (tackle by Bobby Wagner). Penalty on Jakob Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.730,1.070
3,11:40,1,20,LVR 32,13,3,Derek Carr pass incomplete short middle intended for Foster Moreau,1.070,-0.160
3,11:36,2,20,LVR 32,13,3,Josh Jacobs up the middle for 15 yards (tackle by Russ Yeast),-0.160,1.160
3,10:49,3,5,LVR 47,13,3,Derek Carr scrambles right end for 4 yards (tackle by Bobby Wagner),1.160,0.000
3,10:26,4,1,LAR 49,13,3,"AJ Cole punts 36 yards, fair catch by Brandon Powell at LA-13",0.000,0.320
3,10:18,1,10,LAR 13,13,3,Kyren Williams up the middle for 9 yards (tackle by Tyler Hall and Denzel Perryman),-0.320,0.490
3,9:45,2,1,LAR 22,13,3,Kyren Williams left end for 8 yards (tackle by Sam Webb),0.490,0.940
3,9:03,1,10,LAR 30,13,3,Baker Mayfield pass incomplete short middle intended for Van Jefferson,0.940,0.390
3,9:00,,,,,,Timeout #1 by Los Angeles Rams,,
3,9:00,2,10,LAR 30,13,3,Baker Mayfield pass incomplete short right intended for Brandon Powell (defended by Maxx Crosby),0.390,-0.300
3,8:56,3,10,LAR 30,13,3,Baker Mayfield sacked by and Chandler Jones for no gain and Maxx Crosby for no gain,-0.300,-1.370
3,8:15,4,10,LAR 30,13,3,Riley Dixon punts 53 yards out of bounds,-1.370,0.060
3,8:08,1,10,LVR 17,13,3,Zamir White left end for 8 yards (tackle by Troy Hill and Earnest Brown),-0.060,0.620
3,7:32,2,2,LVR 25,13,3,Zamir White up the middle for no gain (tackle by Bobby Wagner and Earnest Brown),0.620,-0.240
3,6:50,3,2,LVR 25,13,3,Derek Carr pass incomplete deep left intended for Davante Adams,-0.240,-1.700
3,6:45,4,2,LVR 25,13,3,"AJ Cole punts 48 yards, returned by Brandon Powell for no gain (tackle by Luke Masterson and Curtis Bolton). Penalty on Robert Rochell: Offensive Holding, 10 yards (accepted)",-1.700,0.060
3,6:33,1,10,LAR 17,13,3,Cam Akers right tackle for 5 yards (tackle by Denzel Perryman and Neil Farrell),-0.060,0.210
3,5:59,2,5,LAR 22,13,3,Baker Mayfield pass complete short left to Ben Skowronek for 7 yards (tackle by Sam Webb),0.210,0.870
3,5:16,1,10,LAR 29,13,3,"Baker Mayfield pass incomplete deep middle intended for Tutu Atwell. Penalty on Trevon Moehrig: Defensive Pass Interference, 41 yards (accepted) (no play)",0.870,3.580
3,5:08,1,10,LVR 30,13,3,Tutu Atwell right end for 1 yard (tackle by Nate Hobbs),3.580,3.170
3,4:25,2,9,LVR 29,13,3,Baker Mayfield sacked by Amik Robertson for -1 yards,3.170,2.340
3,3:44,3,10,LVR 30,13,3,"Baker Mayfield pass complete to Tutu Atwell for 4 yards (tackle by Trevon Moehrig). Penalty on Rob Havenstein: Offensive Holding, 10 yards (accepted)",2.340,1.550
3,3:13,3,16,LVR 36,13,3,Baker Mayfield pass complete short right to Brycen Hopkins for 8 yards (tackle by Isaiah Pola-Mao and Denzel Perryman),1.550,1.590
3,2:55,4,8,LVR 28,13,3,"Penalty on Coleman Shelton: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.590,0.400
3,2:48,4,23,LVR 43,13,3,Matt Gay 61 yard field goal no good,0.400,-2.320
3,2:42,1,10,LAR 49,13,3,Josh Jacobs right tackle for 1 yard (tackle by Bobby Wagner and Marquise Copeland),2.320,1.920
3,1:57,2,9,LAR 48,13,3,Derek Carr pass complete short left to Josh Jacobs for 7 yards (tackle by Nick Scott),1.920,2.150
3,1:19,3,2,LAR 41,13,3,Josh Jacobs left tackle for 4 yards (tackle by Ernest Jones and Michael Hoecht),2.150,3.120
3,0:35,1,10,LAR 37,13,3,Derek Carr pass incomplete short right,3.120,2.570
3,0:25,2,10,LAR 37,13,3,Josh Jacobs up the middle for 8 yards (tackle by Troy Hill),2.570,2.940
Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,LAR 29,13,3,Josh Jacobs left tackle for 1 yard (tackle by Ernest Jones and Leonard Floyd),2.940,1.720
4,14:27,4,1,LAR 28,13,3,Derek Carr up the middle for 3 yards (tackle by Bobby Wagner and Greg Gaines),1.720,3.910
4,13:46,1,10,LAR 25,13,3,Josh Jacobs left tackle for 3 yards (tackle by Ernest Jones and Marquise Copeland),3.910,3.770
4,13:08,2,7,LAR 22,13,3,Derek Carr pass incomplete short middle intended for Davante Adams,3.770,3.070
4,13:03,3,7,LAR 22,13,3,Derek Carr pass complete short left to Ameer Abdullah for 4 yards (tackle by Taylor Rapp),3.070,2.350
4,12:25,4,3,LAR 18,16,3,Daniel Carlson 36 yard field goal good,2.350,3.000
4,12:20,,,LVR 35,16,3,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,12:20,1,10,LAR 25,16,3,Baker Mayfield pass complete short left to Tyler Higbee for 5 yards (tackle by Sam Webb),0.610,0.740
4,11:49,2,5,LAR 30,16,3,Kyren Williams left tackle for 2 yards (tackle by Kyle Peko),0.740,0.300
4,11:06,3,3,LAR 32,16,3,"Baker Mayfield pass incomplete deep right intended for Tutu Atwell. Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",0.300,-1.240
4,11:02,4,3,LAR 32,16,3,"Penalty on Clelin Ferrell: Defensive Offside, 6 yards (accepted) Penalty on Sam Webb: Offensive Holding, 10 yards (declined) (no play)",-1.240,1.400
4,10:53,1,10,LAR 37,16,3,"Baker Mayfield pass complete deep left to Van Jefferson for no gain. Penalty on Ty Nsekhe: Offensive Holding, 10 yards (accepted) (no play)",1.400,0.810
4,10:23,1,19,LAR 28,16,3,Baker Mayfield pass complete short left to Kyren Williams for 10 yards (tackle by Denzel Perryman),0.810,0.990
4,9:57,2,9,LAR 38,16,3,Baker Mayfield pass complete short middle to Ben Skowronek for 14 yards (tackle by Nate Hobbs),0.990,2.390
4,9:16,1,10,LVR 48,16,3,Baker Mayfield pass incomplete deep left intended for Tutu Atwell,2.390,1.850
4,9:10,2,10,LVR 48,16,3,"Baker Mayfield pass complete short right to Ben Skowronek for 6 yards (tackle by Nate Hobbs) LVR challenged the pass completion ruling, and the play was upheld.",1.850,1.950
4,8:41,3,4,LVR 42,16,3,"Penalty on Maxx Crosby: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.950,3.120
4,8:41,1,10,LVR 37,16,3,Cam Akers right tackle for 7 yards (tackle by Luke Masterson and Nate Hobbs),3.120,3.520
4,8:00,2,3,LVR 30,16,3,Baker Mayfield pass complete short left to Tyler Higbee for 6 yards (tackle by Tyler Hall),3.520,3.970
4,7:18,1,10,LVR 24,16,3,Baker Mayfield pass complete short left to Ben Skowronek for no gain (tackle by Luke Masterson),3.970,3.430
4,6:38,2,10,LVR 24,16,3,Baker Mayfield pass incomplete short right intended for Ben Skowronek,3.430,2.740
4,6:32,3,10,LVR 24,16,3,Baker Mayfield pass complete short right to Tutu Atwell for 13 yards (tackle by Nate Hobbs),2.740,4.840
4,5:59,1,10,LVR 11,16,3,Baker Mayfield pass complete short right to Tutu Atwell for 3 yards (tackle by Nate Hobbs),4.840,4.700
4,5:20,2,7,LVR 8,16,3,Cam Akers up the middle for 3 yards (tackle by Sam Webb and Denzel Perryman),4.700,4.440
4,4:39,3,4,LVR 5,16,3,Baker Mayfield pass complete short right to Malcolm Brown for 3 yards (tackle by Amik Robertson),4.440,3.250
4,3:55,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:55,4,1,LVR 2,16,3,Baker Mayfield pass complete short left to Cam Akers for 1 yard (tackle by Trevon Moehrig),3.250,6.970
4,3:25,1,1,LVR 1,16,9,"Cam Akers up the middle for 1 yard, touchdown",6.970,7.000
4,3:19,,,LVR 15,16,10,Matt Gay kicks extra point good,0.000,0.000
4,3:19,,,LAR 35,16,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,3:19,1,10,LVR 25,16,10,Josh Jacobs up the middle for 1 yard (tackle by Troy Hill),0.610,0.200
4,3:15,,,,,,Timeout #3 by Los Angeles Rams,,
4,3:15,2,9,LVR 26,16,10,Josh Jacobs up the middle for 8 yards (tackle by Michael Hoecht),0.200,0.560
4,2:38,3,1,LVR 34,16,10,Josh Jacobs up the middle for no gain (tackle by Bobby Wagner and Marquise Copeland),0.560,-1.110
4,2:00,4,1,LVR 34,16,10,AJ Cole punts 64 yards downed by Ameer Abdullah,-1.110,0.380
4,1:45,1,10,LAR 2,16,10,Baker Mayfield pass incomplete short left intended for Tutu Atwell,-0.380,-0.780
4,1:41,2,10,LAR 2,16,10,Baker Mayfield pass complete short left to Tutu Atwell for 8 yards (tackle by Amik Robertson),-0.780,-0.370
4,1:37,3,1,LAR 11,16,10,"Baker Mayfield pass deep left is intercepted by Duron Harmon at LA-28 and returned for no gain. Penalty on Amik Robertson: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.370,0.410
4,1:30,1,10,LAR 22,16,10,Baker Mayfield sacked by and Maxx Crosby for -9 yards and Chandler Jones for -9 yards,0.410,-1.430
4,1:20,2,19,LAR 13,16,10,"Penalty on Jerry Tillery: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",-1.430,0.810
4,1:20,1,10,LAR 28,16,10,Baker Mayfield pass complete deep right to Ben Skowronek for 32 yards (tackle by Nate Hobbs),0.810,2.920
4,0:56,1,10,LVR 40,16,10,Baker Mayfield pass complete short middle to Malcolm Brown for 9 yards (tackle by Isaiah Pola-Mao and Denzel Perryman),2.920,3.590
4,0:33,2,1,LVR 31,16,10,Baker Mayfield pass complete short left to Ben Skowronek for 8 yards (tackle by Nate Hobbs),3.590,4.040
4,0:16,1,10,LVR 23,16,10,Baker Mayfield spiked the ball,4.040,3.500
4,0:15,2,10,LVR 23,16,16,"Baker Mayfield pass complete deep left to Van Jefferson for 23 yards, touchdown",3.500,7.000
4,0:10,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:10,,,LVR 15,16,17,Matt Gay kicks extra point good,0.000,0.000
4,0:10,,,LAR 35,16,17,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,0:10,1,10,LVR 25,16,17,Derek Carr pass deep middle intended for Davante Adams is intercepted by Taylor Rapp at LV-49 and returned for no gain (tackle by Davante Adams),0.610,-2.320
4,0:02,1,10,LVR 49,16,17,Baker Mayfield kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
