Quarter,Time,Down,ToGo,Location,SEA,SDG,Detail,EPB,EPA
3,13:17,1,10,SDG 29,14,20,Donald Brown up the middle for 16 yards (tackle by Marcus Burley),0.870,1.930
3,12:30,1,10,SDG 45,14,20,Philip Rivers pass incomplete short middle intended for Donald Brown,1.930,1.380
3,12:25,2,10,SDG 45,14,20,Donald Brown left end for 2 yards (tackle by Marcus Burley),1.380,0.960
3,11:47,3,8,SDG 47,14,20,Philip Rivers pass incomplete deep right intended for Eddie Royal (defended by Josh Thomas),0.960,-0.260
3,11:40,4,8,SDG 47,14,20,"Mike Scifres punts 53 yards, touchback",-0.260,-0.280
3,11:32,1,10,SEA 20,14,20,"Penalty on Zach Miller: False Start, 5 yards (no play)",0.280,-0.310
3,11:32,1,15,SEA 15,14,20,Ricardo Lockette right end for 2 yards (tackle by Richard Marshall),-0.310,-0.790
3,10:51,2,13,SEA 17,14,20,Russell Wilson pass complete short left to Marshawn Lynch for 8 yards (tackle by Eric Weddle and Marcus Gilchrist),-0.790,-0.300
3,10:01,3,5,SEA 25,14,20,Russell Wilson pass incomplete. Penalty on Doug Baldwin: Offensive Pass Interference (Declined),-0.300,-1.700
3,9:52,4,5,SEA 25,14,20,"Jon Ryan punts 61 yards, returned by Eddie Royal for 17 yards (tackle by DeShawn Shead). Penalty on K.J. Wright: Offensive Holding, 10 yards (no play)",-1.700,-2.440
3,9:33,4,15,SEA 15,14,20,"Jon Ryan punts 66 yards, returned by Eddie Royal for 6 yards (tackle by Ricardo Lockette)",-2.440,-0.610
3,9:25,1,10,SDG 25,14,20,Danny Woodhead up the middle for 1 yard (tackle by Brandon Mebane and Tony McDaniel),0.610,0.200
3,8:46,2,9,SDG 26,14,20,Philip Rivers pass complete short right to Antonio Gates for 19 yards (tackle by Richard Sherman),0.200,1.930
3,8:05,1,10,SDG 45,14,20,Philip Rivers pass complete short left to Eddie Royal for -1 yards (tackle by Marcus Burley),1.930,1.250
3,7:20,2,11,SDG 44,14,20,Philip Rivers for 12 yards (tackle by K.J. Wright),1.250,2.650
3,7:20,1,10,SEA 44,14,20,Donald Brown right end for no gain (tackle by Kam Chancellor),2.650,2.110
3,6:14,2,10,SEA 44,14,20,Danny Woodhead up the middle for 1 yard (tackle by Jordan Hill),2.110,1.550
3,5:35,3,9,SEA 43,14,20,Philip Rivers pass complete short right to Eddie Royal for 16 yards (tackle by Richard Sherman),1.550,3.780
3,4:59,1,10,SEA 27,14,20,Danny Woodhead left end for 3 yards (tackle by K.J. Wright and Marcus Burley),3.780,3.640
3,4:20,2,7,SEA 24,14,20,Philip Rivers pass incomplete deep right intended for Eddie Royal,3.640,2.940
3,4:13,3,7,SEA 24,14,20,"Philip Rivers right end for 1 yard (tackle by Bruce Irvin). Penalty on Bruce Irvin: Unnecessary Roughness, 12 yards",2.940,4.840
3,3:40,1,10,SEA 11,14,20,"Donald Brown left end for -3 yards (tackle by Kam Chancellor). Penalty on Willie Smith: Offensive Holding, 10 yards (no play)",4.840,4.170
3,3:14,1,20,SEA 21,14,20,Philip Rivers pass incomplete,4.170,2.940
3,3:08,2,20,SEA 21,14,26,"Philip Rivers pass complete deep left to Antonio Gates for 21 yards, touchdown",2.940,7.000
3,3:08,,,SEA 2,14,27,Nick Novak kicks extra point good,0.000,0.000
3,3:08,,,SDG 35,14,27,"Nick Novak kicks off 48 yards, returned by Luke Willson for 13 yards (tackle by Darrell Stuckey)",0.000,-0.940
3,2:54,1,10,SEA 30,14,27,Russell Wilson pass complete short right to Jermaine Kearse for 9 yards (tackle by Jason Verrett),0.940,1.610
3,2:35,2,1,SEA 39,14,27,Marshawn Lynch right tackle for 10 yards (tackle by Jason Verrett and Melvin Ingram),1.610,2.190
3,2:08,1,10,SEA 49,14,27,Russell Wilson pass complete short right to Jermaine Kearse for 15 yards (tackle by Jason Verrett and Manti Te'o),2.190,3.180
3,1:39,1,10,SDG 36,14,27,Russell Wilson pass incomplete,3.180,2.640
3,1:32,2,10,SDG 36,14,27,Russell Wilson pass complete deep right to Bryan Walters for 17 yards (tackle by Shareece Wright),2.640,4.310
3,0:59,1,10,SDG 19,14,27,Russell Wilson pass incomplete deep left intended for Doug Baldwin (defended by Shareece Wright),4.310,3.750
3,0:50,2,10,SDG 19,14,27,Marshawn Lynch up the middle for 5 yards (tackle by Eric Weddle and Shareece Wright),3.750,3.760
3,0:13,3,5,SDG 14,20,27,"Russell Wilson pass complete short left to Marshawn Lynch for 14 yards, touchdown",3.760,7.000
3,0:13,,,SDG 2,21,27,Steven Hauschka kicks extra point good,0.000,0.000
3,0:13,,,SEA 35,21,27,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
3,0:03,1,10,SDG 20,21,27,Ryan Mathews up the middle for 6 yards (tackle by Earl Thomas),0.280,0.540
Quarter,Time,Down,ToGo,Location,SEA,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,SDG 26,21,27,Ryan Mathews left end for 6 yards (tackle by Malcolm Smith and Earl Thomas),0.540,1.070
4,14:25,1,10,SDG 32,21,27,Ryan Mathews right end for 5 yards (tackle by K.J. Wright),1.070,1.200
4,13:46,2,5,SDG 37,21,27,Ryan Mathews up the middle for 3 yards (tackle by Malcolm Smith and Tony McDaniel),1.200,0.890
4,13:07,3,2,SDG 40,21,27,Philip Rivers up the middle for 4 yards (tackle by Kevin Williams),0.890,1.860
4,12:22,1,10,SDG 44,21,27,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Eddie Royal at SDG-42",1.860,1.050
4,11:42,2,12,SDG 42,21,27,Philip Rivers pass complete short right to Donald Brown for -1 yards (tackle by Jeron Johnson),1.050,0.230
4,11:03,3,13,SDG 41,21,27,Philip Rivers pass complete short left to Eddie Royal for 10 yards (tackle by Bobby Wagner and DeShawn Shead),0.230,0.000
4,10:24,4,3,SEA 49,21,27,"Mike Scifres punts 35 yards, fair catch by Bryan Walters",0.000,0.280
4,10:16,1,10,SEA 14,21,27,Russell Wilson pass complete short left to Jermaine Kearse for 7 yards (tackle by Shareece Wright),-0.280,0.280
4,9:45,2,3,SEA 21,21,27,Marshawn Lynch up the middle for 7 yards (tackle by Tourek Williams and Donald Butler),0.280,0.810
4,9:18,1,10,SEA 28,21,27,Russell Wilson pass incomplete,0.810,0.260
4,9:09,2,10,SEA 28,21,27,Russell Wilson pass incomplete short right intended for Doug Baldwin,0.260,0.260
4,9:01,2,10,SEA 28,21,27,Timeout #1 by Seattle Seahawks,0.260,-0.430
4,9:01,3,10,SEA 28,21,27,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",-0.430,-1.090
4,9:01,3,15,SEA 23,21,27,Russell Wilson right end for 13 yards (tackle by Donald Butler),-1.090,-0.980
4,8:07,4,2,SEA 36,21,27,"Jon Ryan punts 64 yards, touchback",-0.980,-0.280
4,7:57,1,10,SDG 20,21,27,Donald Brown up the middle for 2 yards (tackle by Kam Chancellor),0.280,0.000
4,7:21,2,8,SDG 22,21,27,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by DeShawn Shead),0.000,1.140
4,6:50,1,10,SDG 33,21,27,Donald Brown right tackle for 1 yard (tackle by Tony McDaniel),1.140,0.730
4,6:11,2,9,SDG 34,21,27,Danny Woodhead up the middle for 1 yard (tackle by Michael Bennett),0.730,0.170
4,5:32,3,8,SDG 35,21,27,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by K.J. Wright),0.170,2.260
4,4:47,1,10,,21,27,Donald Brown right end for no gain (tackle by Kam Chancellor),2.260,1.710
4,4:00,2,10,,21,27,Philip Rivers pass complete short middle to Donald Brown for 3 yards (tackle by Bruce Irvin and Marcus Burley),1.710,1.420
4,3:21,3,7,SEA 47,21,27,Philip Rivers pass incomplete,1.420,0.130
4,3:08,4,7,SEA 47,21,27,"Mike Scifres punts 36 yards, out of bounds",0.130,0.370
4,3:04,1,10,SEA 11,21,27,Percy Harvin left end for -6 yards (tackle by Shareece Wright),-0.370,-1.220
4,2:25,2,16,SEA 5,21,27,Russell Wilson pass complete short right to Marshawn Lynch for 4 yards (tackle by Melvin Ingram and Marcus Gilchrist),-1.220,-1.650
4,2:00,3,12,SEA 9,21,27,Russell Wilson pass complete short middle to Marshawn Lynch for 1 yard (tackle by Darrell Stuckey),-1.650,-1.650
4,1:51,3,12,SEA 9,21,27,Timeout #2 by Seattle Seahawks,-1.650,-2.490
4,1:51,4,11,SEA 10,21,27,"Russell Wilson pass incomplete deep right intended for Jermaine Kearse. Penalty on Zach Miller: Unnecessary Roughness, 5 yards",-2.490,-6.060
4,1:46,1,5,SEA 5,21,27,Philip Rivers kneels for -2 yards,6.060,6.060
4,1:45,1,5,SEA 5,21,27,Timeout #3 by Seattle Seahawks,6.060,4.760
4,1:45,2,7,SEA 7,21,27,Philip Rivers up the middle for -2 yards (tackle by Kam Chancellor),4.760,4.760
4,1:02,2,7,SEA 7,21,27,Timeout #1 by San Diego Chargers,4.760,3.360
4,1:02,3,9,SEA 9,21,27,Philip Rivers up the middle for -1 yards (tackle by Brandon Mebane),3.360,3.360
4,0:20,3,9,SEA 9,21,27,Timeout #2 by San Diego Chargers,3.360,2.760
4,0:20,4,10,SEA 10,21,30,Nick Novak 28 yard field goal good,2.760,3.000
4,0:20,,,SDG 35,21,30,"Nick Novak kicks off 43 yards, returned by Doug Baldwin for 9 yards (tackle by Seyi Ajirotutu)",0.000,-1.000
4,0:13,1,10,SEA 31,21,30,Russell Wilson pass incomplete short left intended for Doug Baldwin,1.000,0.460
4,0:04,2,10,SEA 31,21,30,Russell Wilson pass complete short left to Doug Baldwin for 14 yards (tackle by Steve Williams),0.460,1.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
