Quarter,Time,Down,ToGo,Location,LAR,WAS,Detail,EPB,EPA
2,2:00,1,10,WAS 35,20,7,Alex Smith pass complete short right to J.D. McKissic for 6 yards (tackle by John Johnson),1.270,1.530
2,1:53,2,4,WAS 41,20,7,Alex Smith pass incomplete short middle intended for Terry McLaurin,1.530,0.830
2,1:47,3,4,WAS 41,20,7,Alex Smith sacked by Aaron Donald for -4 yards,0.830,-0.910
2,1:40,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:40,4,8,WAS 37,20,7,"Tress Way punts 42 yards, returned by Cooper Kupp for 3 yards (tackle by Danny Johnson)",-0.910,-0.540
2,1:32,1,10,LAR 24,20,7,Malcolm Brown right end for 12 yards (tackle by Ronald Darby),0.540,1.330
2,1:13,1,10,LAR 36,20,7,Jared Goff pass complete short right to Tyler Higbee for 3 yards (tackle by Ronald Darby),1.330,1.200
2,0:59,2,7,LAR 39,20,7,Jared Goff pass incomplete short middle intended for Cooper Kupp,1.200,0.500
2,0:55,3,7,LAR 39,20,7,Jared Goff pass deep left intended for Cooper Kupp is intercepted by Kendall Fuller at WAS-41 and returned for no gain,0.500,-1.660
2,0:49,1,10,WAS 41,20,7,Alex Smith pass complete short middle to J.D. McKissic for 12 yards (tackle by Taylor Rapp),1.660,2.460
2,0:41,,,,,,Timeout #1 by Washington Football Team,,
2,0:41,1,10,LAR 47,20,7,Alex Smith pass complete short middle to J.D. McKissic for 9 yards (tackle by Troy Reeder),2.460,3.130
2,0:18,2,1,LAR 38,20,7,Alex Smith pass complete short left to Terry McLaurin for 5 yards (tackle by Jordan Fuller),3.130,3.380
2,0:14,,,,,,Timeout #2 by Washington Football Team,,
2,0:14,1,10,LAR 33,20,7,Alex Smith pass complete short right to Isaiah Wright for 3 yards (tackle by John Johnson),3.380,3.240
2,0:03,,,,,,Timeout #3 by Washington Football Team,,
2,0:03,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:03,2,7,LAR 30,20,10,Dustin Hopkins 48 yard field goal good,3.240,3.000
Quarter,Time,Down,ToGo,Location,LAR,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,20,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,20,10,Darrell Henderson right end for -1 yards (tackle by Landon Collins and Montez Sweat),0.610,-0.070
3,14:26,2,11,LAR 24,20,10,"Jared Goff sacked by Montez Sweat for -9 yards. Jared Goff fumbles (forced by Montez Sweat), recovered by Rob Havenstein at LA-15",-0.070,-2.350
3,13:37,3,20,LAR 15,20,10,Malcolm Brown left tackle for 2 yards (tackle by Jonathan Allen),-2.350,-2.320
3,13:05,4,18,LAR 17,20,10,"Johnny Hekker punts 47 yards, returned by Isaiah Wright for 13 yards (tackle by Troy Reeder)",-2.320,-2.190
3,12:54,1,10,WAS 49,20,10,Alex Smith pass complete short right to Dontrelle Inman for -2 yards (tackle by Leonard Floyd),2.190,1.380
3,12:15,2,12,WAS 47,20,10,Alex Smith pass complete short right to Antonio Gibson for -1 yards (tackle by Darious Williams),1.380,0.560
3,11:33,3,13,WAS 46,20,10,Alex Smith sacked by Aaron Donald for -7 yards,0.560,-0.780
3,11:04,4,20,WAS 39,20,10,"Tress Way punts 61 yards, touchback.",-0.780,-0.280
3,10:55,1,10,LAR 20,20,10,Darrell Henderson right guard for no gain (tackle by Jonathan Allen),0.280,-0.270
3,10:16,2,10,LAR 20,20,10,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by Ronald Darby),-0.270,-0.300
3,9:41,3,5,LAR 25,20,10,Jared Goff pass complete short middle to Gerald Everett for 10 yards (tackle by Kendall Fuller),-0.300,1.270
3,9:16,1,10,LAR 35,20,10,Jared Goff pass incomplete short left,1.270,0.720
3,9:11,2,10,LAR 35,20,10,Jared Goff pass complete short middle to Cooper Kupp for 6 yards (tackle by Jonathan Bostic),0.720,0.830
3,8:28,3,4,LAR 41,20,10,Jared Goff pass complete short middle to Cooper Kupp for 49 yards (tackle by Troy Apke),0.830,4.910
3,7:52,1,10,WAS 10,20,10,Jared Goff pass incomplete short left intended for Malcolm Brown,4.910,4.190
3,7:50,2,10,WAS 10,20,10,Malcolm Brown left end for no gain (tackle by Montez Sweat),4.190,3.130
3,7:12,3,10,WAS 10,20,10,Jared Goff pass incomplete short middle intended for Cooper Kupp (defended by Thomas Davis),3.130,2.760
3,7:08,4,10,WAS 10,23,10,Sam Sloman 28 yard field goal good,2.760,3.000
3,7:04,,,LAR 35,23,10,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
3,7:04,1,10,WAS 25,23,10,Antonio Gibson up the middle for no gain (tackle by Sebastian Joseph),0.610,0.060
3,6:26,2,10,WAS 25,23,10,Alex Smith up the middle for 1 yard (tackle by Troy Reeder),0.060,-0.490
3,5:46,3,9,WAS 26,23,10,Alex Smith pass incomplete short right intended for Logan Thomas (defended by Taylor Rapp),-0.490,-1.630
3,5:42,4,9,WAS 26,23,10,"Tress Way punts 52 yards, returned by Nsimba Webster for 8 yards (tackle by Deshazor Everett)",-1.630,-0.940
3,5:29,1,10,LAR 30,23,10,Cam Akers right guard for 2 yards (tackle by Daron Payne and Kevin Pierre-Louis),0.940,0.660
3,4:43,2,8,LAR 32,23,10,Jared Goff pass complete short left to Cooper Kupp for 2 yards (tackle by Kamren Curl and Montez Sweat),0.660,0.230
3,4:05,3,6,LAR 34,23,10,Malcolm Brown right tackle for 4 yards (tackle by Kamren Curl and Landon Collins),0.230,-0.850
3,3:30,4,2,LAR 38,23,10,"Johnny Hekker punts 56 yards, fair catch by Isaiah Wright at WAS-6",-0.850,0.380
3,3:22,1,10,WAS 6,23,10,Alex Smith pass complete short middle to Logan Thomas for 4 yards (tackle by Kenny Young),-0.380,-0.490
3,2:52,2,6,WAS 10,23,10,Alex Smith sacked by Troy Reeder for -3 yards,-0.490,-1.300
3,2:08,3,9,WAS 7,23,10,Alex Smith sacked by Jachai Polite for -6 yards,-1.300,-2.490
3,1:24,4,15,WAS 1,23,10,"Tress Way punts 44 yards, returned by Cooper Kupp for 2 yards (tackle by Khaleke Hudson)",-2.490,-2.720
3,1:14,1,10,WAS 43,23,10,Jared Goff pass incomplete short left intended for Darrell Henderson,2.720,2.180
3,1:10,2,10,WAS 43,23,10,Malcolm Brown up the middle for 9 yards (tackle by Landon Collins),2.180,2.680
3,0:48,3,1,WAS 34,23,10,Malcolm Brown up the middle for no gain (tackle by Jonathan Bostic and Ronald Darby),2.680,1.100
Quarter,Time,Down,ToGo,Location,LAR,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,WAS 34,23,10,Jared Goff pass incomplete deep left intended for Robert Woods,1.100,-1.270
4,14:55,1,10,WAS 35,23,10,Antonio Gibson right guard for 4 yards (tackle by Leonard Floyd and Michael Brockers),1.270,1.260
4,14:19,2,6,WAS 39,23,10,Antonio Gibson right end for 4 yards (tackle by John Johnson and Michael Brockers),1.260,1.090
4,13:38,3,2,WAS 43,23,10,Alex Smith pass incomplete short left intended for J.D. McKissic,1.090,-0.520
4,13:35,4,2,WAS 43,23,10,Alex Smith pass incomplete short right intended for Logan Thomas (defended by Darious Williams),-0.520,-2.720
4,13:32,1,10,WAS 43,23,10,Darrell Henderson right guard for no gain (tackle by Landon Collins and Tim Settle),2.720,2.180
4,12:50,2,10,WAS 43,23,10,Darrell Henderson left end for 5 yards (tackle by Jonathan Bostic),2.180,2.150
4,12:09,3,5,WAS 38,23,10,Malcolm Brown right guard for -2 yards (tackle by Landon Collins),2.150,0.590
4,11:21,4,7,WAS 40,23,10,"Penalty on LAR: Delay of Game, 5 yards (no play)",0.590,0.270
4,11:21,4,12,WAS 45,23,10,Johnny Hekker punts 37 yards out of bounds,0.270,0.380
4,11:11,1,10,WAS 8,23,10,Alex Smith pass incomplete deep middle intended for Terry McLaurin,-0.380,-0.780
4,11:05,2,10,WAS 8,23,10,Antonio Gibson right tackle for 4 yards (tackle by Kenny Young and Morgan Fox),-0.780,-0.950
4,10:22,3,6,WAS 12,23,10,Alex Smith sacked by Troy Reeder for -9 yards,-0.950,-2.490
4,9:43,4,15,WAS 3,23,10,"Tress Way punts 58 yards, returned by Cooper Kupp for 10 yards (tackle by Cam Sims)",-2.490,-2.190
4,9:31,1,10,LAR 49,23,10,Darrell Henderson up the middle for 6 yards (tackle by Troy Apke),2.190,2.460
4,8:50,2,4,WAS 45,23,10,Darrell Henderson left guard for 4 yards (tackle by Jonathan Allen),2.460,2.850
4,8:10,1,10,WAS 41,23,10,Jared Goff pass complete deep middle to Josh Reynolds for 29 yards (tackle by Landon Collins and Kevin Pierre-Louis),2.850,4.780
4,7:19,1,10,WAS 12,23,10,Darrell Henderson right end for 1 yard (tackle by Daron Payne),4.780,4.270
4,6:42,2,9,WAS 11,29,10,"Jared Goff pass complete short middle to Darrell Henderson for 11 yards, touchdown",4.270,7.000
4,6:37,,,WAS 15,30,10,Sam Sloman kicks extra point good,0.000,0.000
4,6:37,,,LAR 35,30,10,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
4,6:37,1,10,WAS 25,30,10,Alex Smith pass incomplete deep middle intended for Logan Thomas (defended by John Johnson),0.610,0.060
4,6:32,2,10,WAS 25,30,10,Alex Smith pass incomplete deep left intended for Terry McLaurin,0.060,-0.620
4,6:27,3,10,WAS 25,30,10,"Alex Smith sacked by Aaron Donald for -2 yards. Alex Smith fumbles (forced by Aaron Donald), recovered by Alex Smith at WAS-21",-0.620,-1.830
4,5:46,4,12,WAS 23,30,10,"Tress Way punts 57 yards, returned by Nsimba Webster for no gain (tackle by Danny Johnson)",-1.830,-0.280
4,5:37,1,10,LAR 20,30,10,Cam Akers right end for 46 yards (tackle by Montez Sweat),0.280,3.310
4,4:44,1,10,WAS 34,30,10,Cam Akers right end for -6 yards (tackle by James Smith-Williams),3.310,1.960
4,4:03,2,16,WAS 40,30,10,Cam Akers left guard for no gain (tackle by Jonathan Allen and Montez Sweat),1.960,1.290
4,3:23,3,16,WAS 40,30,10,Malcolm Brown right guard for 5 yards (tackle by Daron Payne and Jonathan Allen),1.290,0.970
4,2:36,4,11,WAS 35,30,10,Johnny Hekker punts 28 yards downed by Nsimba Webster,0.970,0.380
4,2:27,1,10,WAS 7,30,10,Antonio Gibson up the middle for 6 yards (tackle by Troy Reeder and Sebastian Joseph),-0.380,-0.340
4,2:06,2,4,WAS 13,30,10,Alex Smith pass complete short left to Antonio Gibson for 1 yard (tackle by Troy Reeder and Jordan Fuller),-0.340,-0.600
4,1:59,3,3,WAS 14,30,10,Alex Smith pass incomplete short left intended for J.D. McKissic (defended by Jordan Fuller),-0.600,-2.470
4,1:55,4,3,WAS 14,30,10,"Tress Way punts 56 yards, returned by Nsimba Webster for 3 yards (tackle by Cam Sims)",-2.470,-1.140
4,1:45,1,10,LAR 33,30,10,Cam Akers left tackle for 2 yards (tackle by Tim Settle),1.140,0.860
4,1:04,2,8,LAR 35,30,10,Jared Goff kneels for -1 yards,0.860,0.040
4,0:35,3,9,LAR 34,30,10,Jared Goff kneels for -1 yards,0.040,-1.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
