Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
1,9:10,1,10,NYG 37,0,0,Rashad Jennings right guard for 2 yards (tackle by Lawrence Timmons and Sean Davis),1.400,1.130
1,8:34,2,8,NYG 39,0,0,Eli Manning pass complete short right to Rashad Jennings for 4 yards (tackle by Lawrence Timmons and Ross Cockrell),1.130,0.960
1,7:49,3,4,NYG 43,0,0,Eli Manning pass incomplete deep left intended for Jerell Adams,0.960,-0.520
1,7:39,4,4,NYG 43,0,0,"Brad Wing punts 57 yards, touchback",-0.520,-0.280
1,7:31,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short right to Jesse James for 16 yards (tackle by Andrew Adams and Keenan Robinson),0.280,1.330
1,6:51,1,10,PIT 36,0,0,Le'Veon Bell right guard for no gain (tackle by Damon Harrison and Jason Pierre-Paul),1.330,0.790
1,6:08,2,10,PIT 36,0,0,"Penalty on Le'Veon Bell: False Start, 5 yards (no play)",0.790,0.120
1,5:57,2,15,PIT 31,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 21 yards (tackle by Keenan Robinson),0.120,2.390
1,5:11,1,10,NYG 48,0,0,"Le'Veon Bell left tackle for 12 yards (tackle by Jonathan Casillas and Jason Pierre-Paul). Penalty on PIT: Illegal Formation (Declined), Penalty on David Johnson: Offensive Holding, 10 yards (no play)",2.390,1.730
1,4:52,1,20,PIT 42,0,0,Ben Roethlisberger pass incomplete short right intended for Le'Veon Bell,1.730,0.500
1,4:48,2,20,PIT 42,0,0,Ben Roethlisberger pass complete short left to Antonio Brown for 9 yards,0.500,1.030
1,4:13,3,11,NYG 49,0,0,Ben Roethlisberger pass incomplete short middle intended for Eli Rogers (defended by Landon Collins),1.030,0.000
1,4:07,4,11,NYG 49,0,0,"Jordan Berry punts 40 yards, fair catch by Dwayne Harris",0.000,0.380
1,4:00,1,10,NYG 9,0,0,"Eli Manning pass incomplete deep left intended for Odell Beckham. Penalty on Odell Beckham: Offensive Pass Interference, 4 yards (no play)",-0.380,-0.530
1,3:54,1,14,NYG 5,0,0,Eli Manning pass incomplete short left intended for Sterling Shepard,-0.530,-1.070
1,3:49,2,14,NYG 5,0,0,Paul Perkins middle for no gain (tackle by Sean Davis),-1.070,-1.890
1,3:11,3,14,NYG 5,0,2,"Eli Manning pass complete short middle to Odell Beckham for 15 yards (tackle by Ross Cockrell), safety. Penalty on Ereck Flowers: Offensive Holding, 5 yards",-1.890,-2.000
1,3:04,,,NYG 20,0,2,"Brad Wing kicks off 67 yards, returned by Antonio Brown for 23 yards (tackle by Brad Wing)",0.000,-1.330
1,2:54,1,10,PIT 36,0,2,Le'Veon Bell middle for 3 yards (tackle by Romeo Okwara and Damon Harrison),1.330,1.200
1,2:19,2,7,PIT 39,0,2,Ben Roethlisberger pass incomplete short middle intended for Ladarius Green,1.200,0.500
1,2:15,3,7,PIT 39,0,2,Ben Roethlisberger pass complete deep right to Ladarius Green for 37 yards (tackle by Leon Hall),0.500,3.970
1,1:34,1,10,NYG 24,0,2,Le'Veon Bell left guard for -1 yards (tackle by Jonathan Casillas and Landon Collins),3.970,3.300
1,0:54,2,11,NYG 25,0,2,Le'Veon Bell pass incomplete,3.300,2.610
1,0:48,3,11,NYG 25,0,2,Ben Roethlisberger pass complete short right to Cobi Hamilton for -1 yards (tackle by Eli Apple),2.610,1.740
1,0:08,4,12,NYG 26,0,5,Randy Bullock 44 yard field goal good,1.740,3.000
1,0:04,,,PIT 35,0,5,"Randy Bullock kicks off 58 yards, returned by Dwayne Harris for 22 yards (tackle by Shamarko Thomas)",0.000,-0.870
Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 29,0,5,Eli Manning pass complete short middle to Sterling Shepard for 10 yards (tackle by Artie Burns),0.870,1.530
2,14:29,1,10,NYG 39,0,5,Rashad Jennings middle for 5 yards (tackle by Javon Hargrave),1.530,1.660
2,13:52,2,5,NYG 44,0,5,"Eli Manning pass incomplete deep left intended for Odell Beckham. Penalty on Ryan Shazier: Defensive Offside (Declined), Penalty on Ross Cockrell: Defensive Pass Interference, 15 yards (no play)",1.660,2.850
2,13:48,1,10,PIT 41,0,5,Eli Manning pass complete short right to Rashad Jennings for 2 yards (tackle by Ryan Shazier),2.850,2.580
2,13:12,2,8,PIT 39,0,5,Eli Manning pass complete short right to Sterling Shepard for 3 yards (tackle by William Gay),2.580,2.280
2,12:29,3,5,PIT 36,0,5,Rashad Jennings right guard for 6 yards (tackle by Bud Dupree),2.280,3.580
2,11:55,1,10,PIT 30,0,5,Rashad Jennings right guard for -1 yards (tackle by Sean Davis),3.580,2.900
2,11:15,2,11,PIT 31,0,5,"Eli Manning pass complete deep middle to Sterling Shepard for 21 yards (tackle by Ross Cockrell). Penalty on John Jerry: Offensive Holding, 10 yards (no play)",2.900,1.550
2,10:40,2,21,PIT 41,0,5,Eli Manning pass complete short middle to Will Tye for 16 yards (tackle by Sean Davis),1.550,3.010
2,9:54,3,5,PIT 25,0,5,Eli Manning pass complete short middle to Odell Beckham for 10 yards (tackle by Sean Davis),3.010,4.580
2,9:10,1,10,PIT 15,0,5,Eli Manning pass complete short left to Will Tye for 6 yards (tackle by James Harrison and Mike Mitchell),4.580,5.030
2,8:33,2,4,PIT 9,0,5,Eli Manning pass incomplete short right intended for Larry Donnell is intercepted by Lawrence Timmons at PIT-2 and returned for 58 yards,5.030,-2.920
2,8:21,1,10,NYG 40,0,5,Ben Roethlisberger pass complete short right to Jesse James for 11 yards (tackle by Jonathan Casillas and Eli Apple),2.920,3.640
2,7:50,1,10,NYG 29,0,5,Le'Veon Bell left end for 7 yards (tackle by Devon Kennard),3.640,4.050
2,7:20,2,3,NYG 22,0,11,"Ben Roethlisberger pass complete deep right to Antonio Brown for 22 yards, touchdown",4.050,7.000
2,7:10,,,NYG 2,0,11,"Two Point Attempt: Ben Roethlisberger pass incomplete intended for Antonio Brown, conversion fails",0.000,-1.000
2,7:10,,,PIT 35,0,11,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
2,7:10,1,10,NYG 25,0,11,Eli Manning pass incomplete short middle intended for Sterling Shepard,0.610,0.060
2,7:07,2,10,NYG 25,0,11,Paul Perkins middle for 7 yards (tackle by William Gay and Lawrence Timmons),0.060,0.300
2,6:27,3,3,NYG 32,0,11,Eli Manning pass incomplete short left intended for Will Tye,0.300,-1.240
2,6:23,4,3,NYG 32,0,11,"Brad Wing punts 38 yards, fair catch by Antonio Brown. Penalty on Artie Burns: Offensive Holding (Declined), Penalty on Fitzgerald Toussaint: Offensive Holding, 10 yards",-1.240,-0.280
2,6:16,1,10,PIT 20,0,11,Ben Roethlisberger pass incomplete short right intended for David Johnson,0.280,-0.270
2,6:12,2,10,PIT 20,0,11,Le'Veon Bell middle for 7 yards (tackle by Kelvin Sheppard and Keenan Robinson),-0.270,-0.030
2,5:31,3,3,PIT 27,0,11,Ben Roethlisberger pass complete short right to Ladarius Green for 9 yards (tackle by Keenan Robinson),-0.030,1.330
2,4:50,1,10,PIT 36,0,11,Le'Veon Bell middle for 4 yards (tackle by Landon Collins),1.330,1.330
2,4:06,2,6,PIT 40,0,11,Ben Roethlisberger pass incomplete deep middle intended for Ladarius Green (defended by Landon Collins),1.330,0.630
2,4:01,3,6,PIT 40,0,11,Ben Roethlisberger pass complete short left to Cobi Hamilton for 12 yards (tackle by Eli Apple),0.630,2.390
2,3:27,1,10,NYG 48,0,11,Ben Roethlisberger pass complete short left to Le'Veon Bell for 7 yards (tackle by Keenan Robinson),2.390,2.790
2,2:48,2,3,NYG 41,0,11,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards,2.790,3.250
2,2:16,1,10,NYG 35,0,11,Le'Veon Bell left guard for 3 yards (tackle by Jay Bromley),3.250,3.110
2,2:00,2,7,NYG 32,0,11,Le'Veon Bell left tackle for no gain (tackle by Jonathan Casillas),3.110,0.000
2,1:50,,,,0,11,Timeout #1 by New York Giants,0.000,-2.410
2,1:50,3,7,NYG 32,0,11,"Ben Roethlisberger pass complete short middle to Eli Rogers for 11 yards (tackle by Landon Collins). Penalty on Ladarius Green: Offensive Pass Interference, 10 yards (no play)",2.410,1.090
2,1:45,3,17,NYG 42,0,11,Ben Roethlisberger pass complete short right to Eli Rogers for 18 yards (tackle by Trevin Wade and Devon Kennard),1.090,0.000
2,1:35,,,,0,11,Timeout #2 by New York Giants,0.000,-3.970
2,1:35,1,10,NYG 24,0,11,Ben Roethlisberger sacked by Olivier Vernon for -7 yards,3.970,0.000
2,1:28,,,,0,11,Timeout #1 by Pittsburgh Steelers,0.000,-2.490
2,1:28,2,17,NYG 31,0,11,Ben Roethlisberger pass complete short middle to Ladarius Green for 1 yard (tackle by Olivier Vernon),2.490,0.000
2,1:18,,,,0,11,Timeout #3 by New York Giants,0.000,-1.950
2,1:18,3,16,NYG 30,0,11,Ben Roethlisberger pass complete short left to Le'Veon Bell for 14 yards (tackle by Jonathan Casillas and Romeo Okwara),1.950,0.000
2,0:28,,,,0,11,Timeout #2 by Pittsburgh Steelers,0.000,-2.500
2,0:28,4,2,NYG 16,0,14,Randy Bullock 34 yard field goal good,2.500,3.000
2,0:24,,,PIT 35,0,14,"Randy Bullock kicks off 67 yards, returned by Dwayne Harris for 18 yards (tackle by Fitzgerald Toussaint)",0.000,0.140
2,0:24,1,10,NYG 16,0,14,Eli Manning kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,0,14,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NYG 25,0,14,Eli Manning pass complete short left to Odell Beckham for 4 yards (tackle by Ross Cockrell),0.610,0.600
3,14:35,2,6,NYG 29,0,14,Eli Manning pass incomplete short left intended for Odell Beckham (defended by Ross Cockrell),0.600,-0.100
3,14:30,3,6,NYG 29,0,14,Eli Manning sacked by James Harrison for -9 yards,-0.100,-2.030
3,13:52,4,15,NYG 20,0,14,"Brad Wing punts 42 yards. Penalty on Sammie Coates: Face Mask (15 Yards), 15 yards",-2.030,-0.480
3,13:41,1,10,PIT 23,0,14,"Le'Veon Bell left guard for no gain (tackle by Damon Harrison and Johnathan Hankins). Penalty on David DeCastro: Offensive Holding, 10 yards (no play)",0.480,-0.590
3,13:20,1,20,PIT 13,0,14,Ben Roethlisberger pass complete short left to Antonio Brown for -1 yards (tackle by Janoris Jenkins),-0.590,-1.580
3,12:39,2,21,PIT 12,0,14,Le'Veon Bell middle for 4 yards (tackle by Landon Collins and Damon Harrison),-1.580,-1.960
3,12:00,3,17,PIT 16,0,14,Ben Roethlisberger pass incomplete short left intended for Ladarius Green,-1.960,-2.390
3,11:53,4,17,PIT 16,0,14,"Jordan Berry punts 44 yards, out of bounds",-2.390,-1.600
3,11:46,1,10,NYG 40,0,14,Eli Manning pass complete deep right to Odell Beckham for 23 yards (tackle by Mike Mitchell),1.600,3.120
3,11:13,1,10,PIT 37,0,14,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Artie Burns),3.120,3.520
3,10:36,2,3,PIT 30,0,14,Paul Perkins left guard for 18 yards (tackle by Mike Mitchell and Sean Davis),3.520,4.780
3,9:53,1,10,PIT 12,0,14,Eli Manning pass incomplete short middle intended for Odell Beckham,4.780,4.100
3,9:48,2,10,PIT 12,0,14,Eli Manning pass incomplete short left intended for Odell Beckham,4.100,3.120
3,9:42,3,10,PIT 12,0,14,Eli Manning pass complete short left to Odell Beckham for 9 yards (tackle by Artie Burns),3.120,3.060
3,8:58,4,1,PIT 3,0,14,Eli Manning pass incomplete short middle intended for Will Tye (defended by Ryan Shazier),3.060,0.380
3,8:54,1,10,PIT 3,0,14,Le'Veon Bell right tackle for 2 yards (tackle by Damon Harrison),-0.380,-0.630
3,8:13,2,8,PIT 5,0,14,Ben Roethlisberger pass incomplete short left intended for Cobi Hamilton (defended by Landon Collins),-0.630,-1.190
3,8:08,3,8,PIT 5,0,14,Ben Roethlisberger pass complete short middle to Ladarius Green for 10 yards (tackle by Dominique Rodgers-Cromartie),-1.190,-0.220
3,7:23,1,10,PIT 15,0,14,"Le'Veon Bell middle for 2 yards (tackle by Jonathan Casillas and Damon Harrison). Le'Veon Bell fumbles (forced by Jonathan Casillas), recovered by Eli Apple at PIT-17 (tackle by Ramon Foster)",-0.220,-4.440
3,7:12,1,10,PIT 17,0,14,Rashad Jennings left guard for 4 yards (tackle by Ricardo Mathews and Lawrence Timmons),4.440,4.500
3,6:37,2,6,PIT 13,6,14,"Eli Manning pass complete short right to Rashad Jennings for 13 yards, touchdown",4.500,7.000
3,6:30,,,PIT 15,7,14,Robbie Gould kicks extra point good,0.000,0.000
3,6:30,,,NYG 35,7,14,"Robbie Gould kicks off 67 yards, returned by Sammie Coates for 24 yards (tackle by Deontae Skinner). Penalty on Vince Williams: Offensive Holding, 10 yards",0.000,0.350
3,6:26,1,10,PIT 12,7,14,Ben Roethlisberger pass complete deep middle to Ladarius Green for 33 yards (tackle by Andrew Adams),-0.350,1.930
3,5:43,1,10,PIT 45,7,14,Le'Veon Bell middle for 12 yards (tackle by Andrew Adams),1.930,2.720
3,5:24,1,10,NYG 43,7,14,Le'Veon Bell middle for 4 yards (tackle by Kerry Wynn),2.720,2.720
3,4:48,2,6,NYG 39,7,14,Ben Roethlisberger pass complete short left to Antonio Brown for 13 yards (tackle by Janoris Jenkins),2.720,3.840
3,4:31,1,10,NYG 26,7,14,Le'Veon Bell middle for 1 yard (tackle by Kelvin Sheppard and Landon Collins),3.840,3.430
3,3:55,2,9,NYG 25,7,14,Ben Roethlisberger pass complete short right to Le'Veon Bell for 5 yards (tackle by Kelvin Sheppard),3.430,3.400
3,3:14,3,4,NYG 20,7,20,"Ben Roethlisberger pass complete short left to Ladarius Green for 20 yards, touchdown",3.400,7.000
3,3:09,,,NYG 15,7,21,Randy Bullock kicks extra point good,0.000,0.000
3,3:09,,,PIT 35,7,21,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
3,3:09,1,10,NYG 25,7,21,Eli Manning pass complete short right to Sterling Shepard for 7 yards (tackle by Lawrence Timmons),0.610,1.010
3,2:36,2,3,NYG 32,7,21,Eli Manning pass complete short right to Rashad Jennings for -4 yards (tackle by Ross Cockrell),1.010,-0.230
3,1:54,3,7,NYG 28,7,21,Eli Manning pass incomplete short middle intended for Odell Beckham (defended by Mike Mitchell),-0.230,-1.500
3,1:49,4,7,NYG 28,7,21,Brad Wing punts 40 yards,-1.500,-1.070
3,1:38,1,10,PIT 32,7,21,Ben Roethlisberger sacked by Olivier Vernon for -10 yards,1.070,-0.820
3,0:54,2,20,PIT 22,7,21,Ben Roethlisberger pass incomplete deep right intended for Eli Rogers is intercepted by Eli Apple at NYG-47,-0.820,-2.060
3,0:44,1,10,NYG 47,7,21,Eli Manning pass complete short middle to Jerell Adams for 10 yards (tackle by Ryan Shazier),2.060,2.720
Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 43,7,21,Paul Perkins right tackle for 3 yards (tackle by Ryan Shazier and Lawrence Timmons),2.720,2.580
4,14:28,2,7,PIT 40,7,21,Paul Perkins left guard for 6 yards (tackle by Artie Burns and Sean Davis),2.580,2.680
4,14:03,3,1,PIT 34,7,21,Paul Perkins middle for 2 yards (tackle by Bud Dupree and Stephon Tuitt),2.680,3.450
4,13:25,1,10,PIT 32,7,21,Paul Perkins middle for 2 yards (tackle by James Harrison),3.450,3.170
4,12:43,2,8,PIT 30,7,21,Eli Manning pass complete short right to Odell Beckham for no gain,3.170,2.480
4,12:11,3,8,PIT 30,7,21,"Penalty on Ereck Flowers: False Start, 5 yards (no play)",2.480,1.820
4,11:47,3,13,PIT 35,7,21,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Mike Mitchell),1.820,0.970
4,11:42,4,13,PIT 35,7,21,"Eli Manning pass incomplete deep middle intended for Sterling Shepard is intercepted by Sean Davis at PIT-6 and returned for 41 yards. Penalty on Artie Burns: Illegal Block Above the Waist, 3 yards",0.970,0.380
4,11:23,1,10,PIT 3,7,21,Le'Veon Bell middle for 8 yards (tackle by Eli Apple),-0.380,-0.200
4,10:46,2,2,PIT 11,7,21,Le'Veon Bell middle for 4 yards (tackle by Damon Harrison),-0.200,-0.220
4,10:04,1,10,PIT 15,7,21,Le'Veon Bell middle for 4 yards (tackle by Johnathan Hankins),-0.220,-0.110
4,9:22,2,6,PIT 19,7,21,Le'Veon Bell right guard for 3 yards (tackle by Keenan Robinson and Kerry Wynn),-0.110,-0.510
4,8:36,3,3,PIT 22,7,21,Ben Roethlisberger pass incomplete short middle intended for Ladarius Green (defended by Eli Apple),-0.510,-1.900
4,8:29,4,3,PIT 22,7,21,"Jordan Berry punts 34 yards, returned by Dwayne Harris for 1 yard (tackle by Vince Williams). Penalty on PIT: Illegal Substitution, 5 yards",-1.900,-2.260
4,8:22,1,10,,7,21,Eli Manning pass complete short middle to Odell Beckham for 25 yards (tackle by William Gay and Ross Cockrell),2.260,3.910
4,7:49,1,10,PIT 25,7,21,Eli Manning pass complete short middle to Odell Beckham for 1 yard (tackle by Lawrence Timmons and Jarvis Jones),3.910,3.500
4,7:14,2,9,PIT 24,7,21,Eli Manning pass incomplete short right intended for Odell Beckham,3.500,2.810
4,7:09,3,9,PIT 24,7,21,Eli Manning pass incomplete deep middle intended for Sterling Shepard,2.810,1.870
4,7:04,4,9,PIT 24,7,21,Eli Manning sacked by Ricardo Mathews for -8 yards,1.870,-1.070
4,6:56,1,10,PIT 32,7,21,Le'Veon Bell left tackle for 2 yards (tackle by Jonathan Casillas and Damon Harrison),1.070,0.800
4,6:15,2,8,PIT 34,7,21,Le'Veon Bell right tackle for 19 yards (tackle by Olivier Vernon),0.800,2.460
4,5:26,1,10,NYG 47,7,21,Le'Veon Bell right tackle for 12 yards (tackle by Andrew Adams and Kelvin Sheppard),2.460,3.250
4,4:42,1,10,NYG 35,7,21,Le'Veon Bell middle for 3 yards (tackle by Damon Harrison and Devon Kennard),3.250,3.110
4,4:00,2,7,NYG 32,7,21,Le'Veon Bell middle for 4 yards (tackle by Kelvin Sheppard and Landon Collins),3.110,2.940
4,3:16,3,3,NYG 28,7,21,Le'Veon Bell left tackle for no gain (tackle by Devon Kennard and Kelvin Sheppard),2.940,0.000
4,2:29,,,,7,21,Timeout #1 by Pittsburgh Steelers,0.000,-1.680
4,2:29,4,3,NYG 28,7,21,Ben Roethlisberger pass complete short middle to Jesse James for 5 yards (tackle by Dominique Rodgers-Cromartie),1.680,4.040
4,2:00,1,10,NYG 23,7,21,Le'Veon Bell right tackle for 1 yard (tackle by Eli Apple),4.040,0.000
4,1:54,,,,7,21,Timeout #1 by New York Giants,0.000,-3.630
4,1:54,2,9,NYG 22,7,21,Le'Veon Bell middle for 2 yards (tackle by Johnathan Hankins and Kelvin Sheppard),3.630,0.000
4,1:49,,,,7,21,Timeout #2 by New York Giants,0.000,-3.200
4,1:49,3,7,NYG 20,7,21,Ben Roethlisberger pass incomplete deep middle intended for Ladarius Green,3.200,2.120
4,1:43,4,7,NYG 20,7,24,Randy Bullock 38 yard field goal good,2.120,3.000
4,1:39,,,PIT 35,7,24,"Randy Bullock kicks off 55 yards, returned by Bobby Rainey for 38 yards (tackle by Sammie Coates)",0.000,-2.130
4,1:31,1,10,NYG 48,7,24,"Eli Manning pass incomplete short middle intended for Jerell Adams (defended by Stephon Tuitt). Penalty on Stephon Tuitt: Unnecessary Roughness, 15 yards",2.130,3.120
4,1:26,1,10,PIT 37,7,24,Eli Manning pass complete short middle to Odell Beckham for 14 yards,3.120,4.040
4,1:08,1,10,PIT 23,7,24,Eli Manning pass complete short right to Roger Lewis for 8 yards (tackle by Ross Cockrell),4.040,4.750
4,0:55,2,2,PIT 15,7,24,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Artie Burns),4.750,5.370
4,0:38,1,8,PIT 8,7,24,"Eli Manning pass incomplete short left intended for Odell Beckham. Penalty on Mike Mitchell: Defensive Pass Interference, 7 yards (no play)",5.370,6.970
4,0:30,1,1,PIT 1,13,24,"Eli Manning pass complete short right to Sterling Shepard for 1 yard, touchdown",6.970,7.000
4,0:26,,,PIT 15,14,24,Robbie Gould kicks extra point good,0.000,0.000
4,0:26,,,NYG 35,14,24,"Robbie Gould kicks onside 10 yards, recovered by Cobi Hamilton",0.000,-2.590
4,0:22,1,10,NYG 45,14,24,Landry Jones kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
