Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
2,7:11,3,7,KAN 7,16,17,"Justin Herbert pass complete short middle to Gerald Everett for 7 yards, touchdown",3.810,7.000
2,7:06,,,KAN 15,17,17,Cameron Dicker kicks extra point good,0.000,0.000
2,7:06,,,LAC 35,17,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,7:06,1,10,KAN 25,17,17,Patrick Mahomes pass complete short right to Travis Kelce for 16 yards (tackle by Ja'Sir Taylor),0.610,1.660
2,6:26,1,10,KAN 41,17,17,Clyde Edwards-Helaire right end for -2 yards (tackle by Tuli Tuipulotu),1.660,0.850
2,5:56,2,12,KAN 39,17,17,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,0.850,0.170
2,5:52,3,12,KAN 39,17,17,Patrick Mahomes pass deep left intended for Mecole Hardman is intercepted by Asante Samuel at LAC-21 and returned for no gain (tackle by Mecole Hardman),0.170,-0.340
2,5:44,1,10,LAC 21,17,17,Justin Herbert pass incomplete deep left intended for Derius Davis,0.340,-0.200
2,5:39,2,10,LAC 21,17,17,Joshua Kelley right guard for 3 yards (tackle by Willie Gay and Nick Bolton),-0.200,-0.490
2,5:07,3,7,LAC 24,17,17,Justin Herbert pass complete deep right to Quentin Johnston for 20 yards (tackle by Jaylen Watson and Justin Reid),-0.490,1.860
2,4:24,1,10,LAC 44,17,17,Justin Herbert pass incomplete short middle intended for Keenan Allen,1.860,1.320
2,4:19,2,10,LAC 44,17,17,Justin Herbert sacked by Charles Omenihu for -6 yards,1.320,-0.160
2,3:40,3,16,LAC 38,17,17,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Trent McDuffie),-0.160,-0.130
2,2:56,4,5,LAC 49,17,17,JK Scott punts 47 yards downed by Ja'Sir Taylor,-0.130,0.380
2,2:48,1,10,KAN 4,17,17,Patrick Mahomes pass complete short middle to Rashee Rice for 37 yards (tackle by Dean Marlowe),-0.380,1.660
2,2:10,1,10,KAN 41,17,17,Patrick Mahomes pass complete short right to Travis Kelce for 15 yards (tackle by Dean Marlowe),1.660,2.650
2,2:00,1,10,LAC 44,17,17,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Derwin James),2.650,2.780
2,1:29,2,5,LAC 39,17,17,Patrick Mahomes pass complete deep left to Marquez Valdes-Scantling for 28 yards (tackle by Kenneth Murray),2.780,4.840
2,0:43,1,10,LAC 11,17,17,"Patrick Mahomes pass incomplete short right intended for Justyn Ross. Penalty on Justyn Ross: Offensive Pass Interference, 10 yards (accepted) (no play)",4.840,4.170
2,0:38,1,20,LAC 21,17,17,Patrick Mahomes pass complete short right to Jerick McKinnon for -3 yards (tackle by Kenneth Murray),4.170,2.530
2,0:29,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:29,2,23,LAC 24,17,17,"Patrick Mahomes pass incomplete intended for Travis Kelce. Penalty on Eric Kendricks: Defensive Pass Interference, 23 yards (accepted) (no play)",2.530,6.970
2,0:21,1,1,LAC 1,17,23,"Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard, touchdown",6.970,7.000
2,0:15,,,LAC 15,17,24,Harrison Butker kicks extra point good,0.000,0.000
2,0:15,,,KAN 35,17,24,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:15,1,10,LAC 25,17,24,Justin Herbert kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,17,24,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,17,24,Patrick Mahomes pass complete short right to Isiah Pacheco for 12 yards (tackle by Dean Marlowe),0.610,1.400
3,14:40,1,10,KAN 37,17,24,Isiah Pacheco left guard for 2 yards (tackle by Khalil Mack and Dean Marlowe),1.400,1.130
3,14:04,2,8,KAN 39,17,24,Patrick Mahomes pass complete short left to Isiah Pacheco for 6 yards (tackle by Dean Marlowe),1.130,1.220
3,13:21,3,2,KAN 45,17,24,Patrick Mahomes pass complete short right to Travis Kelce for 15 yards (tackle by Dean Marlowe),1.220,2.920
3,12:31,1,10,LAC 40,17,24,Patrick Mahomes pass incomplete deep right intended for Skyy Moore,2.920,2.370
3,12:26,2,10,LAC 40,17,24,Isiah Pacheco left end for 3 yards (tackle by Chris Rumph and Dean Marlowe),2.370,2.080
3,11:43,3,7,LAC 37,17,24,Patrick Mahomes scrambles for 8 yards (tackle by Kenneth Murray),2.080,3.640
3,11:09,1,10,LAC 29,17,24,Jerick McKinnon up the middle for 3 yards (tackle by Eric Kendricks),3.640,3.510
3,10:33,2,7,LAC 26,17,24,"Patrick Mahomes pass complete short left to Blake Bell for 7 yards. Blake Bell fumbles (forced by Eric Kendricks), recovered by Derwin James at LAC-19 (tackle by Eric Kendricks)",3.510,-0.150
3,10:24,1,10,LAC 19,17,24,Austin Ekeler left end for 5 yards (tackle by Bryan Cook and Nick Bolton),0.150,0.340
3,9:46,2,5,LAC 24,17,24,Derius Davis left end for 3 yards (tackle by L'Jarius Sneed),0.340,-0.030
3,9:09,3,2,LAC 27,17,24,Austin Ekeler left guard for 4 yards (tackle by Nick Bolton),-0.030,1.000
3,8:27,1,10,LAC 31,17,24,Justin Herbert pass complete short left to Keenan Allen for 19 yards (tackle by Bryan Cook),1.000,2.260
3,7:56,1,10,KAN 50,17,24,Joshua Kelley right end for 9 yards (tackle by Jaylen Watson),2.260,2.930
3,7:24,2,1,KAN 41,17,24,Joshua Kelley left guard for 4 yards (tackle by Leo Chenal and Michael Danna),2.930,3.120
3,6:51,1,10,KAN 37,17,24,Austin Ekeler right guard for 3 yards (tackle by Michael Danna),3.120,2.980
3,6:13,2,7,KAN 34,17,24,"Justin Herbert pass complete deep left to Josh Palmer for 25 yards (tackle by Trent McDuffie). Penalty on Trent McDuffie: Defensive Pass Interference, 15 yards (declined)",2.980,5.140
3,5:46,1,9,KAN 9,17,24,Austin Ekeler up the middle for 1 yard (tackle by Derrick Nnadi and Nick Bolton),5.140,4.570
3,5:13,2,8,KAN 8,17,24,Justin Herbert pass incomplete short middle intended for Gerald Everett,4.570,3.580
3,5:04,3,8,KAN 8,17,24,Justin Herbert pass short middle (defended by Charles Omenihu) intended for Donald Parham is intercepted by L'Jarius Sneed at KC-6 and returned for 4 yards (tackle by Rashawn Slater and Will Clapp),3.580,0.380
3,4:56,1,10,KAN 10,17,24,Isiah Pacheco right guard for 6 yards (tackle by Scott Matlock and Eric Kendricks),-0.380,-0.230
3,4:18,2,4,KAN 16,17,24,Patrick Mahomes pass complete short left to Skyy Moore for 4 yards (tackle by Eric Kendricks),-0.230,0.280
3,3:42,1,10,KAN 20,17,24,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,0.280,-0.270
3,3:35,2,10,KAN 20,17,24,Jerick McKinnon left end for -1 yards (tackle by Michael Davis and Derwin James),-0.270,-1.140
3,2:57,3,11,KAN 19,17,24,"Penalty on Travis Kelce: False Start, 5 yards (accepted) (no play)",-1.140,-2.030
3,2:33,3,16,KAN 14,17,24,Patrick Mahomes scrambles left end for 23 yards (tackle by Kenneth Murray),-2.030,1.400
3,1:55,1,10,KAN 37,17,24,Isiah Pacheco left guard for no gain (tackle by Kenneth Murray),1.400,0.860
3,1:21,2,10,KAN 37,17,24,Patrick Mahomes pass incomplete deep left,0.860,0.170
3,1:11,3,10,KAN 37,17,24,Patrick Mahomes sacked by Kenneth Murray for -9 yards,0.170,-1.500
3,0:27,4,19,KAN 28,17,24,Tommy Townsend punts 48 yards downed by Joshua Williams,-1.500,-0.540
3,0:16,1,10,LAC 24,17,24,Austin Ekeler left guard for 5 yards (tackle by Tershawn Wharton),0.540,0.670
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,LAC 29,17,24,Austin Ekeler right guard for 2 yards (tackle by Bryan Cook and Tershawn Wharton),0.670,0.230
4,14:29,3,3,LAC 31,17,24,Joshua Kelley right end for 1 yard (tackle by Nick Bolton and George Karlaftis),0.230,-1.240
4,13:45,4,2,LAC 32,17,24,JK Scott punts 65 yards out of bounds,-1.240,0.380
4,13:34,1,10,KAN 3,17,24,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire,-0.380,-0.780
4,13:31,2,10,KAN 3,17,24,Clyde Edwards-Helaire left tackle for 7 yards (tackle by Derwin James and Michael Davis),-0.780,-0.600
4,12:55,3,3,KAN 10,17,24,Patrick Mahomes pass incomplete deep right intended for Rashee Rice,-0.600,-2.490
4,12:48,4,3,KAN 10,17,24,"Tommy Townsend punts 46 yards, fair catch by Derius Davis at LAC-44",-2.490,-1.860
4,12:41,1,10,LAC 44,17,24,Justin Herbert pass incomplete short left intended for Josh Palmer,1.860,1.320
4,12:36,2,10,LAC 44,17,24,"Penalty on Derius Davis: False Start, 5 yards (accepted) (no play)",1.320,0.640
4,12:36,2,15,LAC 39,17,24,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Trent McDuffie),0.640,1.030
4,12:02,3,7,LAC 47,17,24,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Mike Edwards),1.030,-0.260
4,11:59,4,7,LAC 47,17,24,"JK Scott punts 45 yards, fair catch by Mecole Hardman at KC-8",-0.260,0.380
4,11:51,1,10,KAN 8,17,24,"Isiah Pacheco right end for no gain. Penalty on Trey Smith: Offensive Holding, 4 yards (accepted) (no play)",-0.380,-0.530
4,11:19,1,14,KAN 4,17,24,Isiah Pacheco up the middle for 5 yards (tackle by Kenneth Murray and Austin Johnson),-0.530,-0.710
4,10:50,2,9,KAN 9,17,24,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 10 yards (tackle by Asante Samuel),-0.710,0.150
4,10:12,1,10,KAN 19,17,24,Isiah Pacheco right end for no gain (tackle by Ja'Sir Taylor),0.150,-0.390
4,9:35,2,10,KAN 19,17,24,"Patrick Mahomes pass complete short left to Travis Kelce for 14 yards (tackle by Derwin James). Penalty on Derwin James: Defensive Holding, 5 yards (declined)",-0.390,1.140
4,9:03,1,10,KAN 33,17,24,Patrick Mahomes pass incomplete short right,1.140,0.590
4,8:53,2,10,KAN 33,17,24,Patrick Mahomes pass complete short right to Isiah Pacheco for 2 yards (tackle by Eric Kendricks),0.590,0.170
4,8:12,3,8,KAN 35,17,24,Patrick Mahomes pass incomplete deep left intended for Travis Kelce (defended by Ja'Sir Taylor),0.170,-1.040
4,8:07,4,8,KAN 35,17,24,"Tommy Townsend punts 43 yards, fair catch by Derius Davis at LAC-22",-1.040,-0.410
4,8:00,1,10,LAC 22,17,24,Justin Herbert pass complete short left to Keenan Allen for 2 yards (tackle by Nick Bolton),0.410,0.140
4,7:22,2,8,LAC 24,17,24,Austin Ekeler left end for 3 yards (tackle by Felix Anudike-Uzomah and Michael Danna),0.140,-0.160
4,6:37,3,5,LAC 27,17,24,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Willie Gay),-0.160,-1.570
4,6:32,4,5,LAC 27,17,24,"JK Scott punts 58 yards, returned by Mecole Hardman for 50 yards (tackle by Daiyan Henley)",-1.570,-3.250
4,6:16,1,10,LAC 35,17,24,"Isiah Pacheco right guard for 5 yards (tackle by Eric Kendricks) LAC challenged the runner was down by contact ruling, and the play was upheld.",3.250,3.380
4,5:57,2,5,LAC 30,17,24,Patrick Mahomes pass complete short left to Rashee Rice for 12 yards (tackle by Dean Marlowe),3.380,4.370
4,5:10,1,10,LAC 18,17,24,Isiah Pacheco up the middle for -3 yards (tackle by Eric Kendricks),4.370,3.420
4,4:29,2,13,LAC 21,17,24,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Ja'Sir Taylor),3.420,3.630
4,3:48,3,6,LAC 14,17,24,Patrick Mahomes pass complete short right to Mecole Hardman for 6 yards (tackle by Asante Samuel),3.630,5.370
4,3:35,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:35,1,8,LAC 8,17,30,"Patrick Mahomes pass complete short right to Isiah Pacheco for 8 yards, touchdown",5.370,7.000
4,3:30,,,LAC 15,17,31,Harrison Butker kicks extra point good,0.000,0.000
4,3:30,,,KAN 35,17,31,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,3:30,1,10,LAC 25,17,31,Justin Herbert pass incomplete deep middle intended for Donald Parham (defended by Drue Tranquill),0.610,0.060
4,3:24,2,10,LAC 25,17,31,Justin Herbert pass incomplete deep left intended for Josh Palmer (defended by Justin Reid),0.060,-0.620
4,3:19,3,10,LAC 25,17,31,Justin Herbert sacked by Michael Danna for -6 yards,-0.620,-2.140
4,2:38,4,16,LAC 19,17,31,Justin Herbert pass complete deep right to Josh Palmer for 19 yards (tackle by L'Jarius Sneed),-2.140,1.470
4,2:19,1,10,LAC 38,17,31,Justin Herbert pass complete short right to Stone Smartt for 5 yards (tackle by L'Jarius Sneed),1.470,1.600
4,2:10,2,5,LAC 43,17,31,Justin Herbert pass incomplete deep right intended for Quentin Johnston,1.600,0.890
4,2:03,3,5,LAC 43,17,31,Justin Herbert pass complete short right to Josh Palmer for 22 yards (tackle by Drue Tranquill),0.890,3.250
4,1:57,1,10,KAN 35,17,31,Justin Herbert sacked by Drue Tranquill for -9 yards,3.250,1.490
4,1:27,2,19,KAN 44,17,31,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",1.490,0.810
4,1:20,2,24,KAN 49,17,31,Justin Herbert pass deep left intended for Keenan Allen is intercepted by Bryan Cook at KC-22 and returned for 9 yards (tackle by Josh Palmer),0.810,-1.000
4,1:07,1,10,KAN 31,17,31,Patrick Mahomes kneels for -1 yards,1.000,0.320
4,0:41,2,11,KAN 30,17,31,Patrick Mahomes kneels for -1 yards,0.320,-0.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
