Quarter,Time,Down,ToGo,Location,ARI,LAC,Detail,EPB,EPA
3,8:01,,,ARI 15,10,35,Michael Badgley kicks extra point good,0.000,0.000
3,8:01,,,LAC 35,10,35,"Michael Badgley kicks off 65 yards, returned by T.J. Logan for no gain (tackle by Tre'von Johnson)",0.000,0.540
3,7:54,1,10,ARI 24,10,35,David Johnson left guard for 1 yard (tackle by Darius Philon and Jatavis Brown),0.540,0.130
3,7:11,2,9,ARI 25,10,35,Josh Rosen pass complete short right to Jermaine Gresham for 1 yard (tackle by Derwin James),0.130,-0.300
3,6:23,3,7,ARI 27,10,35,Josh Rosen pass incomplete short right. Penalty on Andre Smith: Offensive Holding (Declined),-0.300,-1.570
3,6:15,4,7,ARI 27,10,35,"Andy Lee punts 51 yards, returned by Desmond King for 5 yards (tackle by Chase Edmonds)",-1.570,-0.740
3,6:04,1,10,LAC 27,10,35,Philip Rivers pass incomplete short middle intended for Austin Ekeler,0.740,0.200
3,5:59,2,10,LAC 27,10,35,Philip Rivers pass complete short left to Austin Ekeler for 15 yards (tackle by Leonard Johnson),0.200,1.730
3,5:17,1,10,LAC 42,10,35,Austin Ekeler right guard for 9 yards (tackle by Haason Reddick and Patrick Peterson),1.730,2.400
3,4:32,2,1,ARI 49,10,35,Justin Jackson up the middle for 10 yards (tackle by Antoine Bethea),2.400,2.980
3,3:48,1,10,ARI 39,10,35,Philip Rivers pass complete short right to Travis Benjamin for 15 yards (tackle by Antoine Bethea),2.980,3.970
3,2:59,1,10,ARI 24,10,35,Justin Jackson up the middle for 1 yard (tackle by Olsen Pierre and Gerald Hodges),3.970,3.570
3,2:23,2,9,ARI 23,10,35,Philip Rivers pass complete short left to Austin Ekeler for 5 yards (tackle by Haason Reddick and David Amerson),3.570,3.570
3,1:41,3,4,ARI 18,10,35,Philip Rivers right end for 3 yards (tackle by Gerald Hodges),3.570,2.590
3,0:54,,,,,,Timeout #2 by Los Angeles Chargers,,
3,0:54,4,1,ARI 15,10,35,Austin Ekeler left end for 13 yards (tackle by Tre Boston),2.590,6.740
3,0:04,1,2,ARI 2,10,41,"Austin Ekeler up the middle for 2 yards, touchdown",6.740,7.000
3,0:00,,,ARI 15,10,42,Michael Badgley kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,ARI,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,LAC 35,10,42,"Michael Badgley kicks off 58 yards, returned by T.J. Logan for no gain (tackle by Geremy Davis)",0.000,0.480
4,14:55,1,10,ARI 23,10,42,David Johnson up the middle for 4 yards (tackle by T.Y. McGill and Jatavis Brown),0.480,0.470
4,14:20,2,6,ARI 27,10,42,David Johnson up the middle for -2 yards (tackle by Melvin Ingram and Casey Hayward),0.470,-0.490
4,13:37,3,8,ARI 25,10,42,Josh Rosen sacked by Joey Bosa for -7 yards,-0.490,-2.240
4,13:06,4,15,ARI 18,10,42,"Andy Lee punts 52 yards, fair catch by Desmond King at LAC-30",-2.240,-0.940
4,12:59,1,10,LAC 30,10,42,Justin Jackson left end for -1 yards (tackle by Rodney Gunter),0.940,0.260
4,12:18,2,11,LAC 29,10,42,Geno Smith pass incomplete short left intended for Geremy Davis (defended by Rodney Gunter),0.260,-0.430
4,12:11,3,11,LAC 29,10,42,Geno Smith pass incomplete short right,-0.430,-1.440
4,12:04,4,11,LAC 29,10,42,Donnie Jones punts 52 yards downed by Kyle Emanuel,-1.440,-0.150
4,11:53,1,10,ARI 19,10,42,David Johnson right end for 3 yards (tackle by Melvin Ingram),0.150,0.070
4,11:15,2,7,ARI 22,10,42,David Johnson right tackle for 6 yards (tackle by Jahleel Addae and Justin Jones),0.070,0.100
4,10:49,3,1,ARI 28,10,42,David Johnson up the middle for 2 yards (tackle by Justin Jones),0.100,0.940
4,10:16,1,10,ARI 30,10,42,David Johnson up the middle for 5 yards (tackle by Adrian Phillips),0.940,1.070
4,9:41,2,5,ARI 35,10,42,David Johnson left guard for 2 yards (tackle by Derwin James),1.070,0.630
4,9:03,3,3,ARI 37,10,42,Chase Edmonds left end for no gain (tackle by Jatavis Brown and Isaac Rochell),0.630,-0.910
4,8:30,4,3,ARI 37,10,42,"Andy Lee punts 38 yards, fair catch by Desmond King at LAC-25",-0.910,-0.610
4,8:23,1,10,LAC 25,10,42,Justin Jackson up the middle for 3 yards (tackle by Antoine Bethea and Markus Golden),0.610,0.470
4,7:46,2,7,LAC 28,10,42,Justin Jackson left end for 20 yards,0.470,2.130
4,6:59,1,10,LAC 48,10,42,Geno Smith up the middle for 9 yards (tackle by Gerald Hodges),2.130,2.800
4,6:19,2,1,ARI 43,10,42,Detrez Newsome up the middle for 6 yards (tackle by Bene Benwikere),2.800,3.120
4,5:32,1,10,ARI 37,10,42,"Detrez Newsome right end for 6 yards (tackle by Haason Reddick). Penalty on Haason Reddick: Horse Collar Tackle, 15 yards",3.120,4.510
4,5:03,1,10,ARI 16,10,42,Detrez Newsome left tackle for 2 yards (tackle by Corey Peters),4.510,4.210
4,4:17,2,8,ARI 14,10,42,Detrez Newsome left end for 1 yard (tackle by Antoine Bethea and Gerald Hodges),4.210,3.540
4,3:33,3,7,ARI 13,10,42,Geno Smith pass incomplete short middle intended for Virgil Green (defended by Antoine Bethea),3.540,2.570
4,3:28,4,7,ARI 13,10,45,Michael Badgley 31 yard field goal good,2.570,3.000
4,3:25,,,LAC 35,10,45,"Michael Badgley kicks off 63 yards, returned by T.J. Logan for no gain (tackle by Michael Davis)",0.000,0.940
4,3:18,1,10,ARI 30,10,45,Chase Edmonds right tackle for 2 yards (tackle by Hayes Pullard),0.940,0.660
4,2:40,2,8,ARI 32,10,45,Chase Edmonds up the middle for -3 yards (tackle by Isaac Rochell),0.660,-0.430
4,2:00,3,11,ARI 29,10,45,Josh Rosen pass complete short right to T.J. Logan for 5 yards (tackle by Derwin James),-0.430,-1.110
4,1:21,4,6,ARI 34,10,45,Josh Rosen pass complete short left to Larry Fitzgerald for 5 yards (tackle by Michael Davis and Desmond King),-1.110,-2.980
4,1:12,1,10,ARI 39,10,45,Geno Smith kneels for -1 yards,2.980,2.300
4,0:35,2,11,ARI 40,10,45,Geno Smith kneels for -1 yards,2.300,1.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
