Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
2,3:15,1,10,MIN 46,14,17,Drew Brees pass complete short left to Latavius Murray for 7 yards (tackle by Shamar Stephen),2.520,2.920
2,2:41,2,3,MIN 39,14,17,Michael Burton right guard for 3 yards (tackle by Blake Lynch),2.920,3.180
2,2:02,1,10,MIN 36,14,17,Drew Brees pass incomplete deep left intended for Marquez Callaway (defended by Eric Wilson),3.180,2.640
2,1:54,2,10,MIN 36,14,17,Drew Brees pass complete short right to Marquez Callaway for 11 yards (tackle by Jeff Gladney),2.640,3.910
2,1:30,1,10,MIN 25,14,17,Drew Brees pass complete short middle to Jared Cook for 19 yards (tackle by Hardy Nickerson),3.910,5.830
2,0:48,1,6,MIN 6,14,17,Taysom Hill pass complete short left to Alvin Kamara for 1 yard (tackle by Ifeadi Odenigbo and Hardy Nickerson),5.830,5.150
2,0:42,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:42,2,5,MIN 5,14,23,"Alvin Kamara left tackle for 5 yards, touchdown",5.150,7.000
2,0:38,,,MIN 15,14,24,Wil Lutz kicks extra point good,0.000,0.000
2,0:38,,,NOR 35,14,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,0:38,1,10,MIN 25,14,24,Kirk Cousins pass incomplete short right intended for Irv Smith (defended by Janoris Jenkins),0.610,0.060
2,0:33,2,10,MIN 25,14,24,Kirk Cousins pass complete short right to Irv Smith for 13 yards (tackle by P.J. Williams and Marshon Lattimore),0.060,1.470
2,0:12,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:12,1,10,MIN 38,14,24,Kirk Cousins pass complete short middle to Tyler Conklin for 8 yards (tackle by Malcolm Jenkins),1.470,2.000
Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,14,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIN 25,14,24,Dalvin Cook left guard for no gain (tackle by Demario Davis),0.610,0.060
3,14:27,2,10,MIN 25,14,24,Kirk Cousins pass complete short left to Irv Smith for 14 yards (tackle by Chauncey Gardner-Johnson),0.060,1.530
3,13:48,1,10,MIN 39,14,24,Kirk Cousins pass complete short right to Tyler Conklin for 5 yards (tackle by Janoris Jenkins and Demario Davis),1.530,1.660
3,13:12,2,5,MIN 44,14,24,Kirk Cousins pass complete short right to Adam Thielen for 1 yard (tackle by Janoris Jenkins),1.660,1.090
3,12:30,3,4,MIN 45,14,24,Kirk Cousins pass incomplete short middle intended for Adam Thielen,1.090,-0.390
3,12:27,4,4,MIN 45,14,24,"Britton Colquitt punts 46 yards, returned by Austin Carr for 1 yard (tackle by Harrison Hand)",-0.390,0.380
3,12:19,1,10,NOR 10,14,24,Alvin Kamara left guard for 9 yards (tackle by Jeff Gladney and Blake Lynch),-0.380,0.240
3,11:41,2,1,NOR 19,14,24,Latavius Murray left guard for 4 yards (tackle by Blake Lynch),0.240,0.480
3,11:00,1,10,NOR 23,14,24,Drew Brees pass short right intended for Emmanuel Sanders is intercepted by Hardy Nickerson at NO-23 and returned for 5 yards,0.480,-4.370
3,10:53,1,10,NOR 18,14,24,Dalvin Cook left guard for 5 yards (tackle by Malcolm Jenkins),4.370,4.610
3,10:18,2,5,NOR 13,14,24,Dalvin Cook left end for 11 yards (tackle by P.J. Williams),4.610,6.740
3,9:46,1,2,NOR 2,20,24,"Kirk Cousins pass complete short left to Irv Smith for 2 yards, touchdown",6.740,7.000
3,9:41,,,NOR 15,20,24,Dan Bailey kicks extra point no good wide left,0.000,-1.000
3,9:41,,,MIN 35,20,24,"Dan Bailey kicks off 63 yards, returned by Ty Montgomery for 24 yards (tackle by Ryan Connelly)",0.000,0.670
3,9:36,1,10,NOR 26,20,24,Alvin Kamara right guard for 2 yards (tackle by Hercules Mata'afa and Armon Watts),0.670,0.400
3,9:01,2,8,NOR 28,20,24,Latavius Murray left end for 3 yards (tackle by Blake Lynch),0.400,0.100
3,8:40,3,5,NOR 31,20,24,Drew Brees pass complete short right to Latavius Murray for 9 yards (tackle by Jeff Gladney and Eric Wilson),0.100,1.600
3,8:02,1,10,NOR 40,20,24,Drew Brees pass complete deep middle to Emmanuel Sanders for 26 yards (tackle by Harrison Smith),1.600,3.310
3,7:20,1,10,MIN 34,20,24,Taysom Hill right end for 5 yards (tackle by Anthony Harris and Blake Lynch),3.310,3.450
3,6:44,2,5,MIN 29,20,24,Drew Brees pass complete short right to Emmanuel Sanders for 3 yards (tackle by Chris Jones),3.450,3.140
3,6:18,3,2,MIN 26,20,24,Taysom Hill left guard for 1 yard (tackle by Jaleel Johnson and Armon Watts),3.140,1.950
3,5:47,4,1,MIN 25,20,24,Taysom Hill right guard for 2 yards (tackle by Eric Wilson),1.950,4.040
3,5:10,1,10,MIN 23,20,24,Alvin Kamara left guard for 17 yards (tackle by Anthony Harris and Harrison Smith),4.040,5.830
3,4:42,1,6,MIN 6,20,30,"Alvin Kamara left guard for 6 yards, touchdown",5.830,7.000
3,4:38,,,MIN 15,20,31,Wil Lutz kicks extra point good,0.000,0.000
3,4:38,,,NOR 35,20,31,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,4:38,1,10,MIN 25,20,31,Kirk Cousins pass incomplete short middle intended for Irv Smith,0.610,0.060
3,4:33,2,10,MIN 25,20,31,Kirk Cousins pass complete short right to Dalvin Cook for 4 yards (tackle by Demario Davis),0.060,-0.100
3,3:54,3,6,MIN 29,20,31,Kirk Cousins pass complete short right to Irv Smith for 6 yards (tackle by Malcolm Jenkins),-0.100,1.270
3,3:33,1,10,MIN 35,20,31,Dalvin Cook left guard for 7 yards (tackle by Marcus Davenport and Chauncey Gardner-Johnson),1.270,1.670
3,2:56,2,3,MIN 42,20,31,Kirk Cousins pass complete short left to Adam Thielen for 24 yards (tackle by Janoris Jenkins),1.670,3.310
3,2:24,1,10,NOR 34,20,31,"Kirk Cousins pass incomplete deep right intended for Olabisi Johnson. Penalty on Tyler Conklin: Offensive Holding, 10 yards (no play)",3.310,2.650
3,2:16,1,20,NOR 44,20,31,Dalvin Cook left end for 2 yards (tackle by Cameron Jordan and David Onyemata),2.650,1.690
3,1:41,2,18,NOR 42,20,31,Kirk Cousins pass complete short middle to Tyler Conklin for 9 yards (tackle by Demario Davis),1.690,2.210
3,1:17,3,9,NOR 33,20,31,"Kirk Cousins pass incomplete short left intended for Irv Smith. Penalty on Malcolm Jenkins: Defensive Holding (Declined) . Penalty on Carl Granderson: Roughing the Passer, 15 yards (no play)",2.210,4.370
3,1:12,1,10,NOR 18,20,31,"Kirk Cousins pass incomplete deep left intended for Adam Thielen. Penalty on Malcolm Jenkins: Defensive Pass Interference, 17 yards (no play)",4.370,6.970
3,1:06,1,1,NOR 1,20,31,Dalvin Cook left guard for -3 yards (tackle by Demario Davis and David Onyemata),6.970,5.340
3,0:28,2,4,NOR 4,26,31,"Kirk Cousins pass complete short left to Irv Smith for 4 yards, touchdown",5.340,7.000
3,0:22,,,NOR 15,27,31,Dan Bailey kicks extra point good,0.000,0.000
3,0:22,,,MIN 35,27,31,"Dan Bailey kicks off 49 yards, returned by Dwayne Washington for 17 yards (tackle by Ryan Connelly)",0.000,1.140
3,0:19,1,10,NOR 33,27,31,Latavius Murray right tackle for 4 yards (tackle by Blake Lynch),1.140,1.130
Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NOR 37,27,31,Drew Brees pass incomplete short right intended for Ty Montgomery (defended by Harrison Hand),1.130,0.430
4,14:53,3,6,NOR 37,27,31,Drew Brees pass complete short left to Jared Cook for 44 yards (tackle by Chris Jones),0.430,4.310
4,14:12,1,10,MIN 19,27,31,Alvin Kamara left guard for 7 yards (tackle by Blake Lynch),4.310,4.920
4,13:32,2,3,MIN 12,27,31,Alvin Kamara left tackle for 2 yards (tackle by Jeff Gladney),4.920,4.690
4,12:50,3,1,MIN 10,27,31,Latavius Murray left tackle for 3 yards (tackle by Jaleel Johnson),4.690,5.600
4,12:07,1,7,MIN 7,27,37,"Alvin Kamara right guard for 7 yards, touchdown",5.600,7.000
4,12:01,,,MIN 15,27,38,Wil Lutz kicks extra point good,0.000,0.000
4,12:01,,,NOR 35,27,38,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,12:01,1,10,MIN 25,27,38,Kirk Cousins pass complete short left to Justin Jefferson for 5 yards (tackle by Demario Davis),0.610,0.740
4,11:18,2,5,MIN 30,27,38,Kirk Cousins pass incomplete short left intended for Tyler Conklin,0.740,0.040
4,11:13,3,5,MIN 30,27,38,"Kirk Cousins sacked by Cameron Jordan for -11 yards. Kirk Cousins fumbles (forced by Cameron Jordan), recovered by Riley Reiff at MIN-19",0.040,-2.140
4,10:33,4,16,MIN 19,27,38,"Britton Colquitt punts 55 yards, returned by Marquez Callaway for 16 yards (tackle by Dan Chisena)",-2.140,-1.730
4,10:22,1,10,NOR 42,27,38,Latavius Murray right guard for 2 yards (tackle by Harrison Smith and Blake Lynch),1.730,1.460
4,9:45,2,8,NOR 44,27,38,Drew Brees pass complete deep right to Emmanuel Sanders for 23 yards (tackle by Harrison Smith),1.460,3.380
4,9:00,1,10,MIN 33,27,38,Latavius Murray right guard for 5 yards (tackle by Hercules Mata'afa),3.380,3.510
4,8:22,2,5,MIN 28,27,38,Taysom Hill pass complete short right to Alvin Kamara for 7 yards (tackle by Eric Wilson),3.510,4.170
4,7:40,1,10,MIN 21,27,38,Drew Brees pass complete short left to Marquez Callaway for 6 yards (tackle by Chris Jones),4.170,4.550
4,6:56,2,4,MIN 15,27,38,Alvin Kamara left tackle for 2 yards (tackle by Eric Wilson),4.550,4.240
4,6:12,3,2,MIN 13,27,38,Drew Brees pass complete short left to Adam Trautman for 4 yards (tackle by Shamar Stephen),4.240,5.140
4,5:25,1,9,MIN 9,27,38,Alvin Kamara left end for 4 yards (tackle by Eric Wilson),5.140,5.150
4,4:49,2,5,MIN 5,27,38,Drew Brees pass complete short right to Michael Burton for 4 yards (tackle by Eric Wilson),5.150,5.170
4,4:03,,,,,,Timeout #1 by New Orleans Saints,,
4,4:03,3,1,MIN 1,27,44,"Taysom Hill right tackle for 1 yard, touchdown",5.170,7.000
4,4:00,,,MIN 15,27,45,Wil Lutz kicks extra point good,0.000,0.000
4,4:00,,,NOR 35,27,45,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,4:00,1,10,MIN 25,27,45,"Penalty on Dakota Dozier: False Start, 5 yards (no play)",0.610,0.280
4,4:00,1,15,MIN 20,27,45,Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Marshon Lattimore),0.280,1.280
4,3:40,2,1,MIN 34,27,45,Kirk Cousins pass complete deep right to Adam Thielen for 21 yards (tackle by D.J. Swearinger),1.280,2.590
4,3:35,1,10,NOR 45,27,45,Kirk Cousins pass complete short left to Justin Jefferson for 11 yards (tackle by Demario Davis),2.590,3.310
4,3:10,1,10,NOR 34,27,45,Kirk Cousins pass complete short left to Justin Jefferson for 19 yards (tackle by Alex Anzalone),3.310,4.580
4,2:45,1,10,NOR 15,27,45,Kirk Cousins pass complete short middle to Irv Smith for 14 yards (tackle by D.J. Swearinger),4.580,6.970
4,2:25,1,1,NOR 1,27,45,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Marshon Lattimore),6.970,5.910
4,2:21,,,,,,Timeout #2 by New Orleans Saints,,
4,2:21,2,1,NOR 1,27,45,Kirk Cousins pass incomplete short left intended for Irv Smith (defended by Chauncey Gardner-Johnson),5.910,5.170
4,2:18,3,1,NOR 1,27,45,Kirk Cousins pass incomplete short left intended for Ameer Abdullah (defended by Shy Tuttle),5.170,3.550
4,2:15,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:15,4,1,NOR 1,33,45,"Kirk Cousins pass complete short right to Adam Thielen for 1 yard, touchdown. Penalty on Janoris Jenkins: Unnecessary Roughness (Declined) . Penalty on Malcolm Jenkins: Unnecessary Roughness, 1 yard",3.550,7.000
4,2:10,,,NOR 1,33,45,"Two Point Attempt: Kirk Cousins pass incomplete intended for Justin Jefferson, conversion fails",1.000,-1.000
4,2:10,,,MIN 35,33,45,"Dan Bailey kicks onside 13 yards, returned by Taysom Hill for no gain",0.000,2.390
4,2:09,1,10,MIN 48,33,45,Latavius Murray left guard for 4 yards (tackle by Hercules Mata'afa),2.390,2.390
4,2:05,,,,,,Timeout #2 by Minnesota Vikings,,
4,2:05,2,6,MIN 44,33,45,Drew Brees pass complete short right to Adam Trautman for 41 yards (tackle by Hardy Nickerson),2.390,6.510
4,1:55,1,3,MIN 3,33,51,"Alvin Kamara right guard for 3 yards, touchdown",6.510,7.000
4,1:50,,,MIN 15,33,52,Wil Lutz kicks extra point good,0.000,0.000
4,1:50,,,NOR 35,33,52,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,1:50,1,10,MIN 25,33,52,Kirk Cousins pass incomplete short left,0.610,0.060
4,1:43,2,10,MIN 25,33,52,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,0.060,-0.620
4,1:39,3,10,MIN 25,33,52,Kirk Cousins pass incomplete short right,-0.620,-1.700
4,1:33,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:33,4,10,MIN 25,33,52,Kirk Cousins pass complete short right to Adam Thielen for 8 yards (tackle by D.J. Swearinger),-1.700,-3.380
4,1:27,1,10,MIN 33,33,52,Drew Brees kneels for -1 yards,3.380,2.700
4,0:45,2,11,MIN 34,33,52,Drew Brees kneels for -1 yards,2.700,1.880
4,0:06,3,12,MIN 35,33,52,Drew Brees kneels for -1 yards,1.880,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
