Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
2,0:26,,,,,,Timeout #1 by New Orleans Saints,0.000,-0.040
2,0:26,3,20,LAR 45,10,17,Jared Goff pass complete short left to Cooper Kupp for 10 yards (tackle by P.J. Williams),0.040,0.000
2,0:02,,,,,,Timeout #3 by Los Angeles Rams,0.000,0.000
2,0:02,,,,,,Timeout #2 by New Orleans Saints,0.000,-0.270
2,0:02,4,10,NOR 45,10,17,Greg Zuerlein 63 yard field goal no good,0.270,2.390
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,10,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NOR 25,10,17,Mark Ingram right tackle for 2 yards (tackle by Michael Brockers),0.610,0.330
3,14:22,2,8,NOR 27,10,17,"Drew Brees pass incomplete short middle intended for Michael Thomas (defended by Alec Ogletree). Penalty on Alec Ogletree: Defensive Pass Interference, 4 yards (no play)",0.330,1.000
3,14:17,1,10,NOR 31,10,17,Mark Ingram left end for 2 yards (tackle by Mark Barron),1.000,0.730
3,13:37,2,8,NOR 33,10,17,Alvin Kamara right end for no gain (tackle by John Johnson),0.730,0.040
3,12:58,3,8,NOR 33,10,17,Drew Brees pass incomplete deep left intended for Ted Ginn. Penalty on NOR: Illegal Shift (Declined),0.040,-1.180
3,12:52,4,8,NOR 33,10,17,"Thomas Morstead punts 58 yards, returned by Pharoh Cooper for 40 yards (tackle by Gerald Hodges)",-1.180,-2.190
3,12:34,1,10,LAR 49,10,17,Jared Goff pass incomplete short left intended for Todd Gurley (defended by Cameron Jordan),2.190,1.650
3,12:30,2,10,LAR 49,10,17,Jared Goff pass complete short middle to Tavon Austin for -8 yards (tackle by Craig Robertson and David Onyemata),1.650,-0.100
3,11:44,3,18,LAR 41,10,17,Todd Gurley middle for 10 yards (tackle by Rafael Bush),-0.100,0.000
3,11:08,4,8,NOR 49,10,17,"Johnny Hekker punts 40 yards, fair catch by Tommylee Lewis",0.000,0.380
3,11:03,1,10,NOR 9,10,17,Mark Ingram left tackle for 5 yards (tackle by Tyrunn Walker and Samson Ebukam),-0.380,-0.390
3,10:24,2,5,NOR 14,10,17,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Trumaine Johnson),-0.390,-0.370
3,9:44,3,1,NOR 18,10,17,Mark Ingram middle for 1 yard (tackle by John Johnson and Aaron Donald),-0.370,0.150
3,9:02,1,10,NOR 19,10,17,"Drew Brees pass complete short middle to Michael Thomas for 13 yards (tackle by Alec Ogletree and Trumaine Johnson). Penalty on Terron Armstead: Offensive Holding, 9 yards (no play)",0.150,-0.720
3,8:26,1,19,NOR 10,10,17,Drew Brees pass complete short left to Ted Ginn for 5 yards (tackle by Alec Ogletree),-0.720,-1.000
3,7:44,2,14,NOR 15,10,17,Drew Brees pass incomplete short left intended for Mark Ingram,-1.000,0.000
3,7:41,,,,,,Timeout #1 by New Orleans Saints,0.000,1.760
