Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
2,7:34,4,10,DAL 20,7,3,"Bryan Anger punts 61 yards, returned by Braxton Berrios for 16 yards (tackle by Peyton Hendershot)",-2.030,-1.270
2,7:21,1,10,MIA 35,7,3,Jeff Wilson right guard for 6 yards (tackle by Donovan Wilson),1.270,1.530
2,6:37,2,4,MIA 41,7,3,Tua Tagovailoa pass complete deep right to Tyreek Hill for 20 yards (tackle by Damone Clark),1.530,2.980
2,5:57,1,10,DAL 39,7,3,Tua Tagovailoa pass complete short left to Durham Smythe for 6 yards (tackle by Markquese Bell),2.980,3.250
2,5:16,2,4,DAL 33,7,3,De'Von Achane right guard for -1 yards (tackle by Micah Parsons and Markquese Bell),3.250,2.410
2,4:39,3,5,DAL 34,7,3,Tua Tagovailoa pass incomplete short right intended for De'Von Achane,2.410,1.070
2,4:36,4,5,DAL 34,7,6,Jason Sanders 52 yard field goal good,1.070,3.000
2,4:31,,,MIA 35,7,6,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,4:31,1,10,DAL 25,7,6,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,4:31,1,15,DAL 20,7,6,Tony Pollard up the middle for 2 yards (tackle by Christian Wilkins),0.280,-0.340
2,3:55,2,13,DAL 22,7,6,Tony Pollard left end for 7 yards (tackle by Christian Wilkins and Zach Sieler),-0.340,-0.100
2,3:12,3,6,DAL 29,7,6,Dak Prescott sacked by Zach Sieler for -2 yards,-0.100,-1.570
2,2:33,4,8,DAL 27,7,6,"Bryan Anger punts 60 yards, returned by Braxton Berrios for 16 yards (tackle by Luke Schoonmaker)",-1.570,-0.870
2,2:23,1,10,MIA 29,7,6,Tua Tagovailoa pass complete short left to Durham Smythe for 11 yards (tackle by Damone Clark),0.870,1.600
2,2:01,1,10,MIA 40,7,6,Tua Tagovailoa pass incomplete deep left intended for De'Von Achane,1.600,1.050
2,1:56,2,10,MIA 40,7,6,Tua Tagovailoa pass complete short middle to Cedrick Wilson for 15 yards (tackle by Markquese Bell),1.050,2.590
2,1:19,1,10,DAL 45,7,6,De'Von Achane up the middle for 9 yards (tackle by Jourdan Lewis and Markquese Bell),2.590,3.260
2,0:57,2,1,DAL 36,7,6,Tua Tagovailoa pass complete short right to Durham Smythe for 8 yards (tackle by Donovan Wilson),3.260,3.710
2,0:34,1,10,DAL 28,7,6,Tua Tagovailoa pass complete short middle to Durham Smythe for 10 yards (tackle by Donovan Wilson),3.710,4.370
2,0:28,,,,,,Timeout #2 by Miami Dolphins,,
2,0:28,1,10,DAL 18,7,6,Tua Tagovailoa pass complete short right to Tyreek Hill for 9 yards (tackle by Stephon Gilmore),4.370,5.420
2,0:26,,,,,,Timeout #3 by Miami Dolphins,,
2,0:26,2,1,DAL 9,7,6,"Tua Tagovailoa pass incomplete short right intended for Cedrick Wilson (defended by Stephon Gilmore). Penalty on Micah Parsons: Roughing the Passer, 5 yards (accepted) (no play)",5.420,6.280
2,0:21,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:21,1,4,DAL 4,7,12,"Tua Tagovailoa pass complete short left to Raheem Mostert for 4 yards, touchdown",6.280,7.000
2,0:17,,,DAL 15,7,13,Jason Sanders kicks extra point good,0.000,0.000
2,0:17,,,MIA 35,7,13,"Jason Sanders kicks off 41 yards, recovered by Rico Dowdle at DAL-23 (tackle by Chase Claypool and Channing Tindall)",0.000,0.540
2,0:12,1,10,DAL 24,7,13,Dak Prescott kneels for -1 yards,0.540,-0.140
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,7,13,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,7,13,Raheem Mostert up the middle for 14 yards (tackle by Donovan Wilson and DaRon Bland),0.610,1.530
3,14:17,1,10,MIA 39,7,13,Raheem Mostert left end for 1 yard (tackle by Micah Parsons and Donovan Wilson),1.530,1.120
3,13:36,2,9,MIA 40,7,13,De'Von Achane up the middle for no gain (tackle by Osa Odighizuwa and Jourdan Lewis),1.120,0.430
3,12:55,3,9,MIA 40,7,13,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,0.430,-0.720
3,12:53,4,9,MIA 40,7,13,Jake Bailey punts 58 yards downed by Elijah Campbell,-0.720,0.380
3,12:43,1,10,DAL 2,7,13,Tony Pollard right tackle for 1 yard (tackle by Xavien Howard),-0.380,-0.710
3,12:08,2,9,DAL 3,7,13,Dak Prescott pass incomplete short left intended for Jake Ferguson,-0.710,-1.300
3,12:06,3,9,DAL 3,7,13,Dak Prescott pass incomplete short right intended for Jake Ferguson,-1.300,-2.490
3,12:00,4,9,DAL 3,7,13,Bryan Anger punts 57 yards out of bounds,-2.490,-1.600
3,11:53,1,10,MIA 40,7,13,Tua Tagovailoa pass complete short right to Tyreek Hill for 17 yards (tackle by Stephon Gilmore),1.600,2.720
3,11:14,1,10,DAL 43,7,13,Jeff Wilson up the middle for 1 yard (tackle by Sam Williams),2.720,2.310
3,10:34,2,9,DAL 42,7,13,Tua Tagovailoa pass complete short right to Tyreek Hill for 8 yards (tackle by Micah Parsons),2.310,2.680
3,9:48,3,1,DAL 34,7,13,De'Von Achane left end for -2 yards (tackle by Sam Williams and Damone Clark),2.680,0.890
3,9:04,4,3,DAL 36,7,16,Jason Sanders 54 yard field goal good,0.890,3.000
3,8:59,,,MIA 35,7,16,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,8:59,1,10,DAL 25,7,16,Dak Prescott pass complete short right to Brandin Cooks for 6 yards (tackle by Andrew Van Ginkel),0.610,0.870
3,8:29,2,4,DAL 31,7,16,Dak Prescott pass complete deep right to Jalen Tolbert for 45 yards (tackle by Xavien Howard),0.870,3.970
3,7:48,1,10,MIA 24,7,16,Tony Pollard left tackle for 3 yards (tackle by Andrew Van Ginkel),3.970,3.840
3,7:12,2,7,MIA 21,7,16,Dak Prescott pass complete short left to Michael Gallup for -4 yards (tackle by Bradley Chubb),3.840,2.610
3,6:34,3,11,MIA 25,7,16,Dak Prescott scrambles right tackle for no gain (tackle by DeShon Elliott) (no play),2.610,1.950
3,6:14,3,16,MIA 30,7,16,Dak Prescott pass complete short middle to Tony Pollard for 5 yards (tackle by Duke Riley),1.950,1.800
3,5:32,4,11,MIA 25,10,16,Brandon Aubrey 43 yard field goal good,1.800,3.000
3,5:28,,,DAL 35,10,16,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
3,5:28,1,10,MIA 25,10,16,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 18 yards (tackle by Donovan Wilson),0.610,1.800
3,4:49,1,10,MIA 43,10,16,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-38 and returned for 5 yards Tua Tagovailoa pass complete short middle to Durham Smythe for 21 yards (tackle by Malik Hooker)",1.800,3.180
3,4:06,1,10,DAL 36,10,16,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,3.180,2.640
3,4:01,2,10,DAL 36,10,16,Jaylen Waddle right end for 2 yards (tackle by Jourdan Lewis),2.640,2.210
3,3:32,,,,,,Timeout #1 by Miami Dolphins,,
3,3:32,3,8,DAL 34,10,16,Tua Tagovailoa pass complete short left to Tyreek Hill for 14 yards (tackle by Donovan Wilson),2.210,4.240
3,2:52,1,10,DAL 20,10,16,De'Von Achane up the middle for 5 yards (tackle by Micah Parsons and Chauncey Golston),4.240,4.450
3,2:15,2,5,DAL 15,10,16,Tua Tagovailoa pass complete short middle to Tyreek Hill for -2 yards (tackle by Markquese Bell),4.450,3.360
3,1:32,3,7,DAL 17,10,16,Tua Tagovailoa pass incomplete short right intended for Cedrick Wilson,3.360,2.310
3,1:28,4,7,DAL 17,10,19,Jason Sanders 35 yard field goal good,2.310,3.000
3,1:24,,,MIA 35,10,19,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,1:24,1,10,DAL 25,10,19,Tony Pollard up the middle for 3 yards (tackle by Zach Sieler and Andrew Van Ginkel),0.610,0.470
3,0:42,2,7,DAL 28,10,19,Dak Prescott pass complete short left to Jake Ferguson for 7 yards (tackle by David Long),0.470,1.270
3,0:21,1,10,DAL 35,10,19,Dak Prescott pass complete short right to Jake Ferguson for 11 yards (tackle by Andrew Van Ginkel and Duke Riley),1.270,1.990
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 46,10,19,Dak Prescott scrambles up the middle for 22 yards (tackle by Brandon Jones),1.990,3.450
4,14:25,1,10,MIA 32,10,19,CeeDee Lamb right end for 5 yards (tackle by Kader Kohou),3.450,3.580
4,13:57,2,5,MIA 27,10,19,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Andrew Van Ginkel),3.580,2.870
4,13:52,3,5,MIA 27,10,19,"Dak Prescott pass incomplete short right intended for Brandin Cooks. Penalty on Nik Needham: Illegal Contact, 5 yards (accepted) (no play)",2.870,4.110
4,13:48,1,10,MIA 22,10,19,Dak Prescott pass complete short left to Jalen Tolbert for 6 yards (tackle by Jalen Ramsey),4.110,4.460
4,13:17,2,4,MIA 16,10,19,Tony Pollard right tackle for 1 yard (tackle by Brandon Jones and David Long),4.460,3.930
4,12:40,3,3,MIA 15,10,19,Dak Prescott pass incomplete short right intended for Rico Dowdle,3.930,2.540
4,12:35,4,3,MIA 15,13,19,Brandon Aubrey 33 yard field goal good,2.540,3.000
4,12:31,,,DAL 35,13,19,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
4,12:31,1,10,MIA 25,13,19,De'Von Achane left end for 7 yards (tackle by Markquese Bell and Donovan Wilson),0.610,1.010
4,11:53,2,3,MIA 32,13,19,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,1.010,0.300
4,11:48,3,3,MIA 32,13,19,"Penalty on Lester Cotton: False Start, 5 yards (accepted) (no play)",0.300,-0.360
4,11:48,3,8,MIA 27,13,19,Tua Tagovailoa sacked by and Dorance Armstrong for -9 yards and Micah Parsons for -9 yards,-0.360,-2.240
4,11:17,4,17,MIA 18,13,19,"Jake Bailey punts 53 yards, returned by KaVontae Turpin for 2 yards (tackle by Channing Tindall and Elijah Campbell)",-2.240,-1.000
4,11:06,1,10,DAL 31,13,19,Dak Prescott pass complete short left to KaVontae Turpin for 4 yards (tackle by Duke Riley),1.000,1.000
4,10:30,2,6,DAL 35,13,19,Dak Prescott pass incomplete short left intended for Jake Ferguson,1.000,0.300
4,10:25,3,6,DAL 35,13,19,Dak Prescott pass complete short right to CeeDee Lamb for 14 yards,0.300,2.190
4,9:49,1,10,DAL 49,13,19,Dak Prescott pass complete short left to Luke Schoonmaker for 4 yards (tackle by Kader Kohou),2.190,2.190
4,9:06,2,6,MIA 47,13,19,KaVontae Turpin right end for 4 yards (tackle by DeShon Elliott),2.190,2.010
4,8:31,3,2,MIA 43,13,19,Dak Prescott pass incomplete short right intended for CeeDee Lamb,2.010,0.400
4,8:25,4,2,MIA 43,13,19,Dak Prescott pass complete short right to CeeDee Lamb for 11 yards (tackle by Xavien Howard),0.400,3.450
4,7:45,1,10,MIA 32,13,19,Dak Prescott pass complete short left to Jake Ferguson for 7 yards (tackle by Brandon Jones),3.450,3.850
4,7:08,2,3,MIA 25,13,19,Rico Dowdle left tackle for 4 yards (tackle by Jalen Ramsey),3.850,4.170
4,6:28,1,10,MIA 21,13,19,Dak Prescott pass complete short left to Michael Gallup for 8 yards (tackle by Jalen Ramsey),4.170,4.950
4,5:47,2,2,MIA 13,13,19,Tony Pollard right guard for 6 yards (tackle by Melvin Ingram and Brandon Jones),4.950,5.600
4,5:11,1,7,MIA 7,13,19,Tony Pollard up the middle for 3 yards (tackle by Brandon Jones),5.600,5.340
4,4:33,2,4,MIA 4,13,19,Dak Prescott pass incomplete short right intended for CeeDee Lamb,5.340,4.490
4,4:30,3,4,MIA 4,13,19,Dak Prescott pass incomplete short right intended for Peyton Hendershot,4.490,3.030
4,4:23,4,4,MIA 4,13,19,"Dak Prescott pass incomplete short right intended for KaVontae Turpin. Penalty on DeShon Elliott: Defensive Pass Interference, 3 yards (accepted) . Penalty on Xavien Howard: Defensive Pass Interference, 15 yards (declined) (no play)",3.030,6.970
4,4:19,1,1,MIA 1,13,19,Dak Prescott sacked by and Bradley Chubb for -7 yards and Andrew Van Ginkel for -7 yards,6.970,4.570
4,3:38,2,8,MIA 8,13,19,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Xavien Howard),4.570,3.580
4,3:32,3,8,MIA 8,19,19,"Dak Prescott pass complete short left to Brandin Cooks for 8 yards, touchdown",3.580,7.000
4,3:27,,,MIA 15,20,19,Brandon Aubrey kicks extra point good,0.000,0.000
4,3:27,,,DAL 35,20,19,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
4,3:27,1,10,MIA 25,20,19,"De'Von Achane right end for 6 yards (tackle by Damone Clark). Penalty on Damone Clark: Face Mask (15 Yards), 15 yards (accepted)",0.610,1.990
4,3:19,1,10,MIA 46,20,19,Tua Tagovailoa pass complete short right to Cedrick Wilson for 9 yards (tackle by Stephon Gilmore),1.990,2.670
4,2:56,2,1,DAL 45,20,19,Tua Tagovailoa pass complete short right to Tyreek Hill for 5 yards (tackle by Jayron Kearse),2.670,2.920
4,2:13,1,10,DAL 40,20,19,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,2.920,2.370
4,2:10,2,10,DAL 40,20,19,Tua Tagovailoa pass complete short right to Alec Ingold for 7 yards (tackle by Markquese Bell),2.370,2.610
4,2:00,3,3,DAL 33,20,19,Tua Tagovailoa pass complete short left to Tyreek Hill for 10 yards (tackle by Jayron Kearse),2.610,4.040
4,1:53,,,,,,Timeout #1 by Dallas Cowboys,,
4,1:53,1,10,DAL 23,20,19,Jeff Wilson right end for 8 yards (tackle by Malik Hooker and Stephon Gilmore),4.040,4.750
4,1:47,,,,,,Timeout #2 by Dallas Cowboys,,
4,1:47,2,2,DAL 15,20,19,Jeff Wilson right guard for no gain (tackle by Damone Clark and DeMarcus Lawrence),4.750,4.050
4,1:42,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:42,3,2,DAL 15,20,19,Jeff Wilson up the middle for 6 yards (tackle by Donovan Wilson and DeMarcus Lawrence),4.050,5.140
4,0:58,1,9,DAL 9,20,19,Tua Tagovailoa kneels for -1 yards,5.140,4.190
4,0:16,2,10,DAL 10,20,19,Tua Tagovailoa kneels for -1 yards,4.190,3.120
4,0:02,,,,,,Timeout #2 by Miami Dolphins,,
4,0:02,3,11,DAL 11,20,22,Jason Sanders 29 yard field goal good,3.120,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
