Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
2,1:57,3,11,CHI 34,10,0,Mitch Trubisky sacked by Matt Judon for -8 yards,-0.100,0.000
2,1:51,,,,,,Timeout #1 by Baltimore Ravens,0.000,1.630
2,1:51,4,19,CHI 26,10,0,"Pat O'Donnell punts 47 yards, returned by Michael Campanaro for 9 yards (tackle by Josh Bellamy)",-1.630,-1.330
2,1:40,1,10,BAL 36,10,0,Joe Flacco pass complete short right to Chris Moore for 15 yards (tackle by Bryce Callahan),1.330,2.320
2,1:15,1,10,CHI 49,10,0,Joe Flacco pass complete short left to Michael Campanaro for 1 yard (tackle by Bryce Callahan),2.320,1.920
2,1:13,2,9,CHI 48,10,0,Joe Flacco pass complete short left to Javorius Allen for 2 yards (tackle by Adrian Amos),1.920,1.490
2,1:08,3,7,CHI 46,10,0,Joe Flacco pass complete short middle to Michael Campanaro for 13 yards (tackle by Eddie Jackson),1.490,0.000
2,1:02,,,,,,Timeout #2 by Baltimore Ravens,0.000,-3.380
2,1:02,1,10,CHI 33,10,0,Joe Flacco pass complete short middle to Chris Moore for 17 yards (tackle by Kyle Fuller),3.380,0.000
2,0:55,,,,,,Timeout #3 by Baltimore Ravens,0.000,-4.510
2,0:55,1,10,CHI 16,10,0,Joe Flacco sacked by Pernell McPhee for -2 yards,4.510,3.640
2,0:34,2,12,CHI 18,10,0,Joe Flacco pass incomplete deep right intended for Chris Moore,3.640,2.940
2,0:29,3,12,CHI 18,10,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",2.940,0.000
2,0:29,,,,,,Timeout #1 by Chicago Bears,0.000,-2.340
2,0:29,3,17,CHI 23,10,0,"Joe Flacco pass complete short right to Bobby Rainey for 5 yards (tackle by Christian Jones). Penalty on Christian Jones: Unnecessary Roughness, 9 yards",2.340,5.140
2,0:23,1,9,CHI 9,10,0,Joe Flacco pass incomplete short right intended for Ben Watson (defended by Kyle Fuller),5.140,4.380
2,0:18,2,9,CHI 9,10,0,Joe Flacco pass incomplete short right intended for Mike Wallace,4.380,3.360
2,0:14,3,9,CHI 9,10,0,Joe Flacco pass incomplete short middle intended for Chris Matthews,3.360,2.830
2,0:08,4,9,CHI 9,10,3,Justin Tucker 27 yard field goal good,2.830,3.000
2,0:03,,,BAL 35,10,3,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,0:03,1,10,CHI 25,10,3,Mitch Trubisky kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,10,3,"Justin Tucker kicks off 62 yards, returned by Benny Cunningham for 23 yards (tackle by Chris Matthews)",0.000,-0.670
3,14:53,1,10,CHI 26,10,3,Jordan Howard left guard for 4 yards (tackle by Patrick Onwuasor),0.670,0.670
3,14:15,2,6,CHI 30,10,3,Jordan Howard right tackle for 5 yards (tackle by C.J. Mosley),0.670,0.630
3,13:32,3,1,CHI 35,10,3,Jordan Howard right guard for 11 yards (tackle by Tony Jefferson and C.J. Mosley),0.630,1.990
3,12:57,1,10,CHI 46,10,3,Jordan Howard right guard for 6 yards (tackle by Matt Judon),1.990,2.260
3,12:29,2,4,BAL 48,10,3,Jordan Howard left guard for no gain (tackle by Terrell Suggs),2.260,1.550
3,12:00,3,4,BAL 48,10,3,Mitch Trubisky pass incomplete short right intended for Dion Sims,1.550,0.070
3,11:52,4,4,BAL 48,10,3,"Pat O'Donnell punts 32 yards, fair catch by Lardarius Webb",0.070,0.140
3,11:44,1,10,BAL 16,10,3,Alex Collins left guard for -3 yards (tackle by Eddie Goldman),-0.140,-0.990
3,11:09,2,13,BAL 13,10,3,Joe Flacco sacked by Akiem Hicks for -5 yards,-0.990,-2.360
3,10:33,3,18,BAL 8,10,3,Joe Flacco pass complete short middle to Chris Moore for 12 yards (tackle by Adrian Amos and Christian Jones),-2.360,-2.030
3,9:58,4,6,BAL 20,10,3,"Sam Koch punts 67 yards, returned by Tarik Cohen for 21 yards (tackle by Chuck Clark)",-2.030,-1.200
3,9:42,1,10,CHI 34,10,3,Tarik Cohen left tackle for 5 yards (tackle by Tyus Bowser),1.200,1.330
3,9:05,2,5,CHI 39,10,3,Mitch Trubisky pass complete deep middle to Kendall Wright for 18 yards (tackle by Patrick Onwuasor),1.330,2.720
3,8:30,1,10,BAL 43,10,3,Tarik Cohen left guard for 4 yards (tackle by Michael Pierce),2.720,2.720
3,7:54,2,6,BAL 39,10,3,Tarik Cohen right guard for 9 yards (tackle by Patrick Onwuasor and Brandon Carr),2.720,3.580
3,7:18,1,10,BAL 30,10,3,"Tarik Cohen left guard for no gain (tackle by Kamalei Correa). Penalty on Tre McBride: Illegal Block Above the Waist, 10 yards (no play)",3.580,2.920
3,7:02,1,20,BAL 40,10,3,Jordan Howard left guard for 7 yards (tackle by C.J. Mosley),2.920,2.630
3,6:27,2,13,BAL 33,10,3,Jordan Howard right tackle for 6 yards (tackle by Matt Judon),2.630,2.740
3,6:06,3,7,BAL 27,16,3,"Mitch Trubisky pass complete deep right to Dion Sims for 27 yards, touchdown",2.740,7.000
3,6:01,,,BAL 15,17,3,Connor Barth kicks extra point good,0.000,0.000
3,6:01,,,CHI 35,17,9,"Connor Barth kicks off 61 yards, returned by Bobby Rainey for 96 yards, touchdown",0.000,-7.000
3,5:47,,,CHI 15,17,10,Justin Tucker kicks extra point good,0.000,0.000
3,5:47,,,BAL 35,17,10,"Justin Tucker kicks off 60 yards, returned by Benny Cunningham for 15 yards (tackle by Tony McRae)",0.000,-0.280
3,5:41,1,10,CHI 20,17,10,Jordan Howard left end for -7 yards (tackle by Terrell Suggs),0.280,-1.280
3,5:02,2,17,CHI 13,17,10,Mitch Trubisky for no gain. Cody Whitehair fumbles,-1.280,0.000
3,4:54,,,,,,Timeout #1 by Chicago Bears,0.000,2.190
3,4:54,3,17,CHI 13,17,10,Tarik Cohen left guard for 7 yards (tackle by C.J. Mosley),-2.190,-2.030
3,4:21,4,10,CHI 20,17,10,"Pat O'Donnell punts 67 yards, returned by Michael Campanaro for 17 yards (tackle by Jonathan Anderson)",-2.030,-0.940
3,4:12,1,10,BAL 30,17,10,Joe Flacco pass incomplete short left intended for Mike Wallace,0.940,0.390
3,4:08,2,10,BAL 30,17,10,"Joe Flacco pass incomplete. Penalty on James Hurst: Offensive Holding, 10 yards (no play)",0.390,-0.960
3,4:00,2,20,BAL 20,17,10,Alex Collins right guard for 10 yards (tackle by Kyle Fuller),-0.960,-0.300
3,3:15,3,10,BAL 30,17,10,Joe Flacco pass complete short right to Ben Watson for 3 yards (tackle by Kyle Fuller),-0.300,-1.180
3,2:39,4,7,BAL 33,17,10,"Sam Koch punts 62 yards, returned by Tarik Cohen for 16 yards (tackle by Anthony Levine)",-1.180,-0.340
3,2:27,1,10,CHI 21,17,10,Jordan Howard left guard for 6 yards (tackle by Jimmy Smith),0.340,0.610
3,1:51,2,4,CHI 27,17,10,Jordan Howard left guard for 6 yards (tackle by Tony Jefferson),0.610,1.140
3,1:15,1,10,CHI 33,17,10,Tarik Cohen right tackle for 8 yards (tackle by Patrick Ricard),1.140,1.670
3,0:32,2,2,CHI 41,17,10,"Tarik Cohen right guard for -2 yards (tackle by Eric Weddle). Tarik Cohen fumbles (forced by Eric Weddle), recovered by Michael Pierce at CHI-39 (tackle by Kyle Long)",1.670,-2.980
3,0:24,1,10,CHI 39,17,10,Alex Collins right guard for 3 yards (tackle by Mitch Unrein),2.980,2.850
3,0:03,2,7,CHI 36,17,10,Alex Collins left end for 6 yards (tackle by Adrian Amos),2.850,2.940
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CHI 30,17,10,Javorius Allen middle for 2 yards (tackle by Leonard Floyd and Christian Jones),2.940,3.710
4,14:21,1,10,CHI 28,17,10,Alex Collins left guard for 4 yards (tackle by Eddie Jackson),3.710,3.710
4,13:38,2,6,CHI 24,17,10,Javorius Allen left guard for 3 yards (tackle by Danny Trevathan),3.710,3.400
4,13:03,3,3,CHI 21,17,10,Joe Flacco pass complete short right to Nick Boyle for 12 yards (tackle by Christian Jones and Adrian Amos),3.400,5.140
4,12:23,1,9,CHI 9,17,10,Joe Flacco pass complete short right to Ben Watson for -1 yards (tackle by Adrian Amos),5.140,4.190
4,11:44,2,10,CHI 10,17,10,Joe Flacco pass incomplete short right intended for Nick Boyle,4.190,3.130
4,11:39,3,10,CHI 10,17,10,"Joe Flacco right guard for 2 yards. Penalty on Joe Flacco: Illegal Forward Pass, 5 yards",3.130,2.570
4,11:39,4,13,CHI 13,17,13,Justin Tucker 31 yard field goal good,2.570,3.000
4,11:26,,,BAL 35,17,13,"Justin Tucker kicks off 63 yards, returned by Tarik Cohen for 37 yards (tackle by Justin Tucker). Penalty on Anthony Levine: Offside on Free Kick, 5 yards",0.000,-1.860
4,11:18,1,10,CHI 44,17,13,Mitch Trubisky pass complete short left to Michael Burton for 8 yards,1.860,2.400
4,10:57,2,2,BAL 48,17,13,Jordan Howard right tackle for 3 yards (tackle by Matt Judon),2.400,2.590
4,10:21,1,10,BAL 45,17,13,Jordan Howard right tackle for 2 yards (tackle by Chris Wormley),2.590,2.310
4,9:53,2,8,BAL 43,17,13,Jordan Howard right guard for no gain (tackle by Patrick Onwuasor),2.310,1.620
4,9:29,3,8,BAL 43,17,13,"Mitch Trubisky sacked by Lardarius Webb for -9 yards. Mitch Trubisky fumbles (forced by Lardarius Webb), recovered by C.J. Mosley at BAL-48 (tackle by Kyle Long)",1.620,-2.130
4,9:21,1,10,BAL 48,17,13,Javorius Allen middle for 11 yards (tackle by Eddie Jackson),2.130,2.850
4,8:39,1,10,CHI 41,17,13,Alex Collins right tackle for 2 yards (tackle by Sam Acho),2.850,2.580
4,7:59,2,8,CHI 39,17,13,Javorius Allen middle for 2 yards (tackle by Eddie Goldman),2.580,2.150
4,7:22,3,6,CHI 37,17,13,Joe Flacco pass complete short middle to Chris Matthews for 5 yards (tackle by Christian Jones),2.150,0.000
4,6:31,,,,,,Timeout #1 by Baltimore Ravens,0.000,-1.310
4,6:31,4,1,CHI 32,17,13,Javorius Allen left guard for 2 yards (tackle by Eddie Jackson),1.310,3.580
4,6:01,1,10,CHI 30,17,13,Alex Collins right end for no gain (tackle by Bryce Callahan),3.580,3.030
4,5:29,2,10,CHI 30,23,13,"Joe Flacco pass incomplete deep right intended for Chris Moore is intercepted by Adrian Amos at CHI-10 and returned for 90 yards, touchdown",3.030,-7.000
4,,,,BAL 15,24,13,Connor Barth kicks extra point good,,
4,5:08,,,CHI 35,24,13,"Connor Barth kicks off 67 yards, returned by Bobby Rainey for 27 yards (tackle by Cre'von LeBlanc)",0.000,-0.610
4,5:02,1,10,BAL 25,24,13,Joe Flacco pass complete short middle to Javorius Allen for 14 yards (tackle by Bryce Callahan and Danny Trevathan),0.610,1.530
4,4:40,1,10,BAL 39,24,13,Joe Flacco pass incomplete short middle intended for Javorius Allen,1.530,0.990
4,4:37,2,10,BAL 39,24,13,Joe Flacco pass complete short middle to Ben Watson for 13 yards (tackle by Pernell McPhee),0.990,2.390
4,4:15,1,10,CHI 48,24,13,Joe Flacco pass complete short middle to Mike Wallace for 6 yards (tackle by Christian Jones),2.390,2.660
4,3:53,2,4,CHI 42,24,13,Joe Flacco pass incomplete short right intended for Vince Mayle (defended by Adrian Amos),2.660,1.950
4,3:49,3,4,CHI 42,24,13,Joe Flacco pass incomplete short right intended for Chris Matthews (defended by Kyle Fuller),1.950,0.460
4,3:47,4,4,CHI 42,24,13,"Penalty on Leonard Floyd: Neutral Zone Infraction, 5 yards (no play)",0.460,3.120
4,3:47,1,10,CHI 37,24,13,Joe Flacco pass incomplete deep right intended for Michael Campanaro,3.120,2.570
4,3:38,2,10,CHI 37,24,13,Joe Flacco pass incomplete deep right intended for Chris Moore,2.570,1.880
4,3:33,3,10,CHI 37,24,13,Joe Flacco pass complete short right to Bobby Rainey for 6 yards (tackle by Kyle Fuller),1.880,0.000
4,3:01,,,,,,Timeout #2 by Baltimore Ravens,0.000,-1.370
4,3:01,4,4,CHI 31,24,16,Justin Tucker 50 yard field goal good,1.370,3.000
4,2:56,,,BAL 35,24,16,"Justin Tucker kicks off 55 yards, returned by Tarik Cohen for 7 yards (tackle by Vince Mayle)",0.000,0.060
4,2:52,1,10,CHI 17,24,16,Jordan Howard left guard for 1 yard (tackle by C.J. Mosley and Patrick Onwuasor),-0.060,-0.420
4,2:07,2,9,CHI 18,24,16,Jordan Howard left guard for 8 yards (tackle by Matt Judon),-0.420,-0.120
4,2:00,3,1,CHI 26,24,16,Jordan Howard right guard for -2 yards (tackle by Patrick Ricard),-0.120,0.000
4,1:55,,,,,,Timeout #3 by Baltimore Ravens,0.000,1.770
4,1:55,4,3,CHI 24,24,22,"Pat O'Donnell punts 53 yards, returned by Michael Campanaro for 77 yards, touchdown",-1.770,-7.000
4,,,,,24,24,"Two Point Attempt: Joe Flacco pass complete to Nick Boyle, conversion succeeds",,
4,1:37,,,BAL 35,24,24,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,1:37,1,10,CHI 25,24,24,"Mitch Trubisky pass complete short middle to Tarik Cohen for 4 yards (tackle by Willie Henry). Penalty on Zach Miller: Offensive Pass Interference, 10 yards (no play)",0.610,-0.410
4,1:31,1,20,CHI 15,24,24,"Mitch Trubisky pass complete short right to Zach Miller for 4 yards (tackle by Tony Jefferson). Mitch Trubisky fumbles, recovered by Mitch Trubisky at CHI-14",-0.410,-0.810
4,1:09,2,16,CHI 19,24,24,Mitch Trubisky sacked by Matt Judon for -4 yards,-0.810,-2.350
4,0:31,3,20,CHI 15,24,24,Jordan Howard right guard for 8 yards (tackle by Lardarius Webb),-2.350,-1.830
4,0:23,4,12,CHI 23,24,24,"Pat O'Donnell punts 49 yards, returned by Michael Campanaro for 16 yards",-1.830,-1.860
4,0:12,1,10,BAL 44,24,24,Joe Flacco pass complete short right to Mike Wallace for 16 yards (tackle by Eddie Jackson),1.860,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
,,,,,,,"Bears won the coin toss, Bears to receive the overtime kickoff.",,
OT,10:00,,,BAL 35,24,24,"Justin Tucker kicks off 68 yards, returned by Tarik Cohen for 23 yards (tackle by Chris Matthews)",0.000,-0.280
OT,9:55,1,10,CHI 20,24,24,Jordan Howard left tackle for 10 yards (tackle by Patrick Onwuasor),0.280,0.940
OT,9:18,1,10,CHI 30,24,24,"Jordan Howard left guard for 1 yard (tackle by Patrick Onwuasor). Penalty on Bobby Massie: Offensive Holding, 10 yards (no play)",0.940,0.280
OT,8:58,1,20,CHI 20,24,24,Mitch Trubisky sacked by Terrell Suggs and Willie Henry for -6 yards,0.280,-1.900
OT,8:13,2,26,CHI 14,24,24,Mitch Trubisky pass complete short right to Jordan Howard for 9 yards (tackle by Matt Judon),-1.900,-1.220
OT,7:33,3,17,CHI 23,24,24,Mitch Trubisky right end for 9 yards (tackle by Anthony Levine),-1.220,-1.240
OT,7:08,4,8,CHI 32,24,24,"Pat O'Donnell punts 28 yards, out of bounds",-1.240,-1.600
OT,7:04,1,10,BAL 40,24,24,Javorius Allen right guard for 6 yards (tackle by Eddie Goldman),1.600,1.860
OT,6:32,2,4,BAL 46,24,24,Javorius Allen middle for 2 yards (tackle by Mitch Unrein),1.860,1.420
OT,5:53,3,2,BAL 48,24,24,Joe Flacco pass incomplete short middle intended for Chris Moore,1.420,-0.190
OT,5:48,4,2,BAL 48,24,24,Sam Koch punts 45 yards,-0.190,0.380
OT,5:40,1,10,CHI 7,24,24,Jordan Howard left tackle for 53 yards (tackle by Brandon Carr),-0.380,2.920
OT,5:09,1,10,BAL 40,24,24,Tarik Cohen left guard for -1 yards (tackle by Eric Weddle),2.920,2.240
OT,5:09,2,11,BAL 41,24,24,Mitch Trubisky pass incomplete short left intended for Zach Miller,2.240,1.550
OT,4:26,3,11,BAL 41,24,24,Mitch Trubisky pass complete deep middle to Kendall Wright for 18 yards (tackle by Lardarius Webb),1.550,4.040
OT,3:43,1,10,BAL 23,24,24,Jordan Howard right guard for -2 yards (tackle by Willie Henry),4.040,3.230
OT,3:00,2,12,BAL 25,24,24,Jordan Howard left guard for 1 yard (tackle by Michael Pierce),3.230,2.680
OT,2:16,3,11,BAL 24,24,24,Jordan Howard left tackle for 2 yards (tackle by Matt Judon),2.680,0.000
OT,2:11,,,,,,Timeout #1 by Baltimore Ravens,0.000,-1.990
OT,2:11,4,9,BAL 22,27,24,Connor Barth 40 yard field goal good,1.990,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
