Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
1,1:59,2,6,BAL 45,10,0,Joe Flacco pass incomplete deep left intended for Ed Dickson,1.660,0.960
1,1:54,3,6,BAL 45,10,0,"Penalty on Corey Wootton: Neutral Zone Infraction, 5 yards (no play)",0.960,1.620
1,1:54,3,1,,10,0,Ricky Wagner for 1 yard (tackle by Landon Cohen),1.620,2.320
1,1:21,1,10,CHI 49,10,0,Joe Flacco right end for 4 yards (tackle by James Anderson),2.320,2.320
1,0:45,2,6,CHI 45,10,0,Ray Rice right guard for -1 yards (tackle by Julius Peppers),2.320,1.490
1,0:07,3,7,CHI 46,10,0,Joe Flacco left end for 11 yards,1.490,3.250
Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 35,10,0,Bernard Pierce left guard for 4 yards (tackle by David Bass),3.250,3.240
2,14:27,2,6,CHI 31,10,0,"Joe Flacco pass complete short left to Bernard Pierce for -1 yards (tackle by Major Wright). Penalty on Marshal Yanda: Offensive Holding, 10 yards (no play)",3.240,1.890
2,14:07,2,16,CHI 41,10,0,Joe Flacco sacked by Julius Peppers for -8 yards,1.890,0.170
2,13:36,3,24,CHI 49,10,0,Joe Flacco pass incomplete short left intended for Ray Rice,0.170,0.000
2,13:32,4,24,CHI 49,10,0,"Sam Koch punts 49 yards, touchback. Penalty on Zackary Bowman: Illegal Use of Hands, 10 yards",0.000,0.380
2,13:23,1,10,CHI 10,10,0,"Eben Britton for 20 yards (tackle by Lardarius Webb). Penalty on Lardarius Webb: Horse Collar Tackle, 15 yards",-0.380,1.930
2,12:59,1,10,CHI 45,10,0,Matt Forte right guard for 2 yards (tackle by Pernell McPhee),1.930,1.650
2,12:23,2,8,CHI 47,10,0,Josh McCown pass complete short left to Martellus Bennett for 5 yards (tackle by Matt Elam),1.650,1.620
2,11:41,3,3,BAL 48,10,0,Josh McCown pass complete short left to Brandon Marshall for 13 yards (tackle by Matt Elam),1.620,3.250
2,11:04,1,10,BAL 35,10,0,Alshon Jeffery left end for 11 yards (tackle by Jameel McClain and James Ihedigbo),3.250,3.970
2,10:24,1,10,BAL 24,10,0,Josh McCown pass complete short middle to Alshon Jeffery for 18 yards (tackle by James Ihedigbo),3.970,5.830
2,9:53,1,6,BAL 6,10,0,Josh McCown pass incomplete short right intended for Alshon Jeffery (defended by Corey Graham),5.830,4.950
2,9:49,2,6,BAL 6,10,0,Eben Britton for 3 yards (tackle by Terrence Cody),4.950,4.950
2,9:11,2,6,BAL 6,10,0,Timeout #1 by Baltimore Ravens,4.950,4.720
2,9:11,3,3,BAL 3,10,0,"Josh McCown pass incomplete short left intended for Alshon Jeffery. Penalty on Jimmy Smith: Defensive Holding, 1 yards (no play)",4.720,6.740
2,9:05,1,2,BAL 2,10,0,Josh McCown pass incomplete short right intended for Brandon Marshall,6.740,5.720
2,9:03,2,2,BAL 2,10,0,Josh McCown pass incomplete short right intended for Tony Fiammetta,5.720,4.950
2,8:59,3,2,BAL 2,10,0,Josh McCown pass incomplete short left intended for Brandon Marshall (defended by Jimmy Smith),4.950,3.250
2,8:55,4,2,BAL 2,10,3,Robbie Gould 20 yard field goal good,3.250,3.000
2,8:55,,,CHI 35,10,3,"Robbie Gould kicks off 71 yards, returned by Jacoby Jones for 34 yards (tackle by Craig Steltz)",0.000,-0.810
2,8:45,1,10,BAL 28,10,9,"Joe Flacco pass incomplete short right intended for Vonta Leach is intercepted by David Bass at BAL-24 and returned for 24 yards, touchdown",0.810,-7.000
2,8:38,,,BAL 2,10,10,Robbie Gould kicks extra point good,0.000,0.000
2,8:38,,,CHI 35,10,10,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
2,8:38,1,10,BAL 20,10,10,Bernard Pierce right tackle for no gain (tackle by Khaseem Greene and Julius Peppers),0.280,-0.270
2,8:07,2,10,BAL 20,10,10,Joe Flacco pass complete short right to Ray Rice for 1 yard (tackle by Tim Jennings),-0.270,-0.820
2,7:29,3,9,BAL 21,10,10,Joe Flacco pass complete short right to Ray Rice for 12 yards (tackle by James Anderson),-0.820,1.140
2,6:40,1,10,BAL 33,10,10,Joe Flacco pass complete deep left to Tandon Doss for 16 yards,1.140,2.190
2,6:24,1,10,BAL 49,10,10,Bernard Pierce left tackle for 7 yards (tackle by Jonathan Bostic),2.190,2.590
2,5:51,2,3,CHI 44,10,10,"Joe Flacco right tackle for 4 yards (tackle by Julius Peppers). Penalty on Julius Peppers: Unnecessary Roughness, 15 yards, Penalty on CHI: Defensive Offside (Declined)",2.590,3.910
2,5:31,1,10,CHI 25,10,10,Joe Flacco pass complete short middle to Torrey Smith for 13 yards (tackle by Major Wright),3.910,4.780
2,4:53,1,10,CHI 12,10,10,Ray Rice right guard for 7 yards (tackle by Julius Peppers and James Anderson),4.780,5.410
2,4:13,2,3,CHI 5,16,10,"Joe Flacco pass complete short left to Torrey Smith for 5 yards, touchdown. Penalty on Zackary Bowman: Defensive Pass Interference (Declined)",5.410,7.000
2,4:13,,,CHI 2,17,10,Justin Tucker kicks extra point good,0.000,0.000
2,4:13,,,BAL 35,17,10,"Justin Tucker kicks off 67 yards, returned by Devin Hester for 28 yards (tackle by Corey Graham)",0.000,-0.670
2,4:04,1,10,CHI 26,17,10,Josh McCown pass complete short left to Matt Forte for 6 yards (tackle by Jimmy Smith),0.670,0.940
2,3:21,2,4,CHI 32,17,10,"Matt Forte left guard for no gain (tackle by Matt Elam). Penalty on Brandon Marshall: Offensive Holding, 10 yards (no play)",0.940,-0.410
2,2:53,2,14,CHI 22,17,10,"Penalty on Martellus Bennett: False Start, 5 yards (no play)",-0.410,-1.220
2,2:35,2,19,CHI 17,17,10,Josh McCown pass complete short middle to Matt Forte for 9 yards (tackle by Chris Canty),-1.220,-0.560
2,2:00,3,10,CHI 26,17,10,Josh McCown pass incomplete short middle intended for Brandon Marshall,-0.560,-1.630
2,1:55,4,10,CHI 26,17,10,Adam Podlesh punts 46 yards,-1.630,-0.810
2,1:45,1,10,BAL 28,17,10,Joe Flacco sacked by Julius Peppers for -4 yards,0.810,-0.280
2,1:12,2,14,BAL 24,17,10,"Penalty on Marshal Yanda: False Start, 5 yards (no play)",-0.280,-1.010
2,1:11,2,19,BAL 19,17,10,Ray Rice left guard for 3 yards (tackle by Julius Peppers),-1.010,-1.010
2,1:07,2,19,BAL 19,17,10,Timeout #1 by Chicago Bears,-1.010,-1.220
2,1:07,3,16,BAL 22,17,10,Joe Flacco pass incomplete deep middle intended for Dallas Clark is intercepted by Jonathan Bostic at 50,-1.220,-2.260
2,1:00,1,10,,17,10,Josh McCown pass complete short middle to Brandon Marshall for 13 yards (tackle by Daryl Smith),2.260,3.120
2,0:37,1,10,BAL 37,17,10,Josh McCown pass complete short right to Alshon Jeffery for 7 yards (tackle by Corey Graham),3.120,3.120
2,0:25,1,10,BAL 37,17,10,Timeout #2 by Chicago Bears,3.120,3.520
2,0:25,2,3,BAL 30,17,10,Josh McCown pass complete short right to Matt Forte for 12 yards (tackle by Corey Graham),3.520,4.370
2,0:18,1,10,BAL 18,17,10,"Josh McCown pass incomplete deep right intended for Martellus Bennett. Penalty on Roberto Garza: Offensive Holding, 10 yards (no play)",4.370,4.370
2,0:10,1,10,BAL 18,17,10,Timeout #2 by Baltimore Ravens,4.370,3.710
2,0:10,1,20,BAL 28,17,10,Josh McCown pass incomplete deep left intended for Brandon Marshall (defended by Jimmy Smith),3.710,2.480
2,0:03,2,20,BAL 28,17,13,Robbie Gould 46 yard field goal good,2.480,3.000
Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,17,13,Robbie Gould kicks off 36 yards,0.000,-0.870
3,14:59,1,10,BAL 29,17,13,Ray Rice right end for 6 yards (tackle by Isaiah Frey and David Bass),0.870,1.140
3,14:28,2,4,BAL 35,17,13,Ray Rice left end for -2 yards (tackle by James Anderson),1.140,0.170
3,13:56,3,6,BAL 33,17,13,Joe Flacco pass complete short middle to Tandon Doss for 10 yards (tackle by Isaiah Frey),0.170,1.800
3,13:24,1,10,BAL 43,17,13,Ray Rice right guard for 7 yards (tackle by Khaseem Greene),1.800,2.200
3,12:37,2,3,,17,13,Ricky Wagner for 2 yards (tackle by Khaseem Greene),2.200,1.750
3,11:45,3,1,CHI 48,17,13,Ricky Wagner for 1 yard (tackle by Landon Cohen and David Bass),1.750,2.460
3,11:01,1,10,CHI 47,17,13,Bernard Pierce right end for -3 yards (tackle by Jonathan Bostic),2.460,1.510
3,10:24,2,13,,17,13,Ray Rice left guard for no gain (tackle by Julius Peppers),1.510,0.830
3,9:49,3,13,,17,13,"Penalty on Julius Peppers: Neutral Zone Infraction, 5 yards (no play)",0.830,1.490
3,9:36,3,8,CHI 45,17,13,Joe Flacco pass complete short middle to Tandon Doss for 11 yards (tackle by Isaiah Frey),1.490,3.310
3,8:58,1,10,CHI 34,17,13,Ray Rice right guard for 1 yard (tackle by Zackary Bowman),3.310,2.910
3,8:27,2,9,CHI 33,17,13,Ray Rice left tackle for 1 yard (tackle by Jonathan Bostic),2.910,2.350
3,7:49,3,8,CHI 32,17,13,Joe Flacco pass incomplete short right intended for Torrey Smith,2.350,1.240
3,7:45,4,8,CHI 32,17,13,"Joe Flacco sacked by Cheta Ozougwu for -8 yards. Joe Flacco fumbles (forced by Cheta Ozougwu), recovered by Joe Flacco at CHI-39",1.240,-1.530
3,7:37,1,10,CHI 39,17,13,Eben Britton for 3 yards (tackle by Lardarius Webb),1.530,1.390
3,7:00,2,7,CHI 42,17,13,Eben Britton for 3 yards (tackle by Lardarius Webb),1.390,1.090
3,6:21,3,4,CHI 45,17,13,Alshon Jeffery right end for 7 yards (tackle by Lardarius Webb),1.090,2.390
3,5:51,1,10,BAL 48,17,13,Matt Forte left guard for 3 yards (tackle by Josh Bynes),2.390,2.250
3,5:14,2,7,BAL 45,17,13,Eben Britton for 3 yards (tackle by Chris Canty),2.250,1.950
3,4:36,3,4,BAL 42,17,13,Matt Forte right guard for no gain (tackle by Arthur Jones),1.950,0.460
3,3:56,4,4,BAL 42,17,13,"Adam Podlesh punts 29 yards, out of bounds",0.460,0.320
3,3:49,1,10,BAL 13,17,13,Ricky Wagner for 8 yards (tackle by Tim Jennings),-0.320,0.350
3,3:17,2,2,BAL 21,17,13,Bernard Pierce left tackle for -1 yards (tackle by David Bass),0.350,-0.590
3,2:37,3,3,BAL 20,17,13,Bernard Pierce left tackle for 2 yards (tackle by Major Wright),-0.590,-1.900
3,1:43,4,1,BAL 22,17,13,"Sam Koch punts 51 yards, returned by Devin Hester for 6 yards (tackle by Brynden Trawick). Penalty on Zackary Bowman: Illegal Block Above the Waist, 10 yards",-1.900,0.060
3,1:32,1,10,CHI 17,17,13,Eben Britton for 5 yards (tackle by James Ihedigbo),-0.060,0.210
3,0:44,2,5,CHI 22,17,13,Eben Britton for 4 yards (tackle by Courtney Upshaw),0.210,-0.120
Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CHI 26,17,13,"Eben Britton for no gain. Penalty on Martellus Bennett: False Start, 5 yards (no play)",-0.120,-0.750
4,15:00,3,6,CHI 21,17,13,Josh McCown pass complete short left to Alshon Jeffery for 15 yards (tackle by Corey Graham),-0.750,1.330
4,14:16,1,10,CHI 36,17,13,Josh McCown pass complete deep left to Brandon Marshall for 16 yards (tackle by Jimmy Smith),1.330,2.390
4,14:08,1,10,BAL 48,17,13,Michael Bush right tackle for 2 yards (tackle by Jameel McClain),2.390,2.120
4,13:29,2,8,BAL 46,17,13,Josh McCown pass complete short right to Alshon Jeffery for 15 yards (tackle by Corey Graham),2.120,3.510
4,12:51,1,10,BAL 31,17,13,Josh McCown pass incomplete short left intended for Brandon Marshall,3.510,2.970
4,12:48,2,10,BAL 31,17,13,". Alshon Jeffery fumbles (forced by Daryl Smith), recovered by Alshon Jeffery at BAL-23",2.970,3.340
,,,,,,,"BAL challenged the pass completion ruling, and the play was upheld.",,
4,12:01,3,2,BAL 23,17,13,Matt Forte left end for 10 yards (tackle by Matt Elam),3.340,4.710
4,11:14,1,10,BAL 13,17,13,Josh McCown sacked by DeAngelo Tyson for -1 yards,4.710,3.900
4,10:42,2,11,BAL 14,17,19,"Josh McCown pass complete short right to Matt Forte for 14 yards, touchdown",3.900,7.000
4,10:42,,,BAL 2,17,20,Robbie Gould kicks extra point good,0.000,0.000
4,10:42,,,CHI 35,17,20,"Robbie Gould kicks off 60 yards, returned by Jacoby Jones for 5 yards (tackle by Sherrick McManis)",0.000,0.380
4,10:28,1,10,BAL 10,17,20,Ricky Wagner for no gain (tackle by Julius Peppers and Corey Wootton),-0.380,-0.780
4,9:59,2,10,BAL 10,17,20,Joe Flacco pass complete short right to Jacoby Jones for 9 yards (tackle by Zackary Bowman),-0.780,-0.370
4,9:20,3,1,BAL 19,17,20,Joe Flacco pass incomplete short right intended for Tandon Doss,-0.370,-2.140
4,9:16,4,1,BAL 19,17,20,Sam Koch punts 51 yards,-2.140,-0.940
4,9:05,1,10,CHI 30,17,20,Eben Britton for 2 yards (tackle by Arthur Jones),0.940,0.660
4,8:27,2,8,CHI 32,17,20,Alshon Jeffery right end for -1 yards (tackle by Daryl Smith),0.660,-0.160
4,7:40,3,9,CHI 31,17,20,"Josh McCown pass complete short right to Matt Forte for 1 yard (tackle by Matt Elam). Penalty on Elvis Dumervil: Roughing the Passer, 15 yards",-0.160,2.060
4,7:10,1,10,CHI 47,17,20,Michael Bush left tackle for 5 yards (tackle by James Ihedigbo),2.060,2.190
4,6:23,2,5,BAL 48,17,20,Michael Bush left tackle for -2 yards (tackle by Jameel McClain),2.190,1.220
4,5:41,3,7,,17,20,Josh McCown pass complete short right to Alshon Jeffery for 6 yards (tackle by Corey Graham),1.220,0.330
4,4:55,4,1,BAL 44,17,20,"Adam Podlesh punts 28 yards, fair catch by Lardarius Webb",0.330,0.140
4,4:48,1,10,BAL 16,17,20,Joe Flacco pass incomplete short middle intended for Ray Rice,-0.140,-0.660
4,4:44,2,10,BAL 16,17,20,Joe Flacco pass incomplete short right intended for Deonte Thompson,-0.660,-1.320
4,4:41,3,10,BAL 16,17,20,"Joe Flacco pass complete short left to Torrey Smith for 6 yards (tackle by Zackary Bowman). Penalty on Zackary Bowman: Horse Collar Tackle, 15 yards",-1.320,1.400
4,4:32,1,10,BAL 37,17,20,Ray Rice right guard for 13 yards (tackle by Chris Conte),1.400,2.260
4,3:57,1,10,,17,20,Ray Rice left guard for 6 yards (tackle by Major Wright),2.260,2.520
4,3:17,2,4,CHI 44,17,20,Joe Flacco pass incomplete deep right intended for Deonte Thompson,2.520,1.820
4,3:11,3,4,CHI 44,17,20,Joe Flacco pass incomplete short right intended for Torrey Smith (defended by Corey Wootton),1.820,0.330
4,3:07,4,4,CHI 44,17,20,Joe Flacco pass complete short right to Dallas Clark for 14 yards (tackle by Tim Jennings),0.330,3.580
4,2:24,1,10,CHI 30,17,20,Ray Rice right guard for 3 yards (tackle by James Anderson),3.580,3.440
4,2:00,2,7,CHI 27,17,20,Joe Flacco pass complete short right to Deonte Thompson for 11 yards (tackle by James Anderson),3.440,4.510
4,1:21,1,10,CHI 16,17,20,Ray Rice right guard for 11 yards (tackle by Chris Conte),4.510,6.060
4,0:36,1,5,CHI 5,17,20,Ray Rice right guard for 3 yards (tackle by Corey Wootton),6.060,6.060
4,0:23,1,5,CHI 5,17,20,Timeout #2 by Baltimore Ravens,6.060,5.720
4,0:23,2,2,CHI 2,17,20,Ray Rice left guard for -1 yards (tackle by Chris Conte),5.720,5.720
4,0:11,2,2,CHI 2,17,20,Timeout #3 by Baltimore Ravens,5.720,4.720
4,0:11,3,3,CHI 3,17,20,"Joe Flacco pass incomplete short right intended for Torrey Smith. Gino Gradkowski fumbles, recovered by Gino Gradkowski at BAL-CHI",4.720,4.720
4,0:07,3,3,CHI 3,17,20,Timeout #1 by Chicago Bears,4.720,3.040
4,0:07,4,3,CHI 3,20,20,Justin Tucker 21 yard field goal good,3.040,3.000
4,0:07,,,BAL 35,20,20,"Justin Tucker kicks off 46 yards, returned by Michael Ford for no gain",0.000,-0.150
4,0:00,1,10,CHI 19,20,20,Josh McCown kneels for -1 yards,0.150,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
,,,,,,,"Ravens won the coin toss, Ravens to receive the overtime kickoff.",,
OT,15:00,,,CHI 35,20,20,"Robbie Gould kicks off 65 yards, touchback. Penalty on Michael Ford: Offensive Offside, 5 yards (no play)",0.000,0.000
OT,15:00,,,CHI 30,20,20,"Robbie Gould kicks off 42 yards, returned by Kyle Juszczyk for 8 yards (tackle by Craig Steltz)",0.000,-1.330
OT,14:55,1,10,BAL 36,20,20,Jacoby Jones right end for 4 yards (tackle by Jonathan Bostic),1.330,1.330
OT,14:19,2,6,BAL 40,20,20,Ray Rice right tackle for 9 yards (tackle by Jonathan Bostic),1.330,2.190
OT,13:48,1,10,BAL 49,20,20,Joe Flacco right end for 1 yard (tackle by James Anderson),2.190,1.780
OT,13:15,2,9,,20,20,Ray Rice right tackle for 4 yards (tackle by James Anderson),1.780,1.620
OT,12:35,3,5,CHI 46,20,20,Joe Flacco pass incomplete short right intended for Tandon Doss,1.620,0.200
OT,12:31,4,5,CHI 46,20,20,Sam Koch punts 26 yards,0.200,-0.280
OT,12:19,1,10,CHI 20,20,20,Matt Forte left tackle for 1 yard (tackle by Chris Canty),0.280,-0.130
OT,11:38,2,9,CHI 21,20,20,Josh McCown pass incomplete short left intended for Alshon Jeffery,-0.130,-0.820
OT,11:33,3,9,CHI 21,20,20,Josh McCown pass complete short middle to Alshon Jeffery for 14 yards (tackle by Corey Graham),-0.820,1.270
OT,10:52,1,10,CHI 35,20,20,Josh McCown pass complete deep right to Martellus Bennett for 43 yards (tackle by Corey Graham),1.270,4.110
OT,10:02,1,10,BAL 22,20,20,Eben Britton for 7 yards (tackle by Jimmy Smith and Daryl Smith),4.110,4.650
OT,9:27,2,3,BAL 15,20,20,Matt Forte left end for -5 yards (tackle by Chris Canty),4.650,4.650
OT,8:46,2,3,BAL 15,20,20,Timeout #1 by Chicago Bears,4.650,3.140
OT,8:46,3,8,BAL 20,20,23,Robbie Gould 38 yard field goal good,3.140,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
