Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
2,12:06,2,10,PHI 45,0,3,Carson Wentz pass complete short right to Zach Ertz for 15 yards (tackle by Tashaun Gipson),1.380,2.920
2,11:25,1,10,JAX 40,0,3,Josh Adams right guard for 7 yards (tackle by Taven Bryan),2.920,3.320
2,10:45,2,3,JAX 33,0,3,Carson Wentz pass complete short right to Alshon Jeffery for 13 yards (tackle by Tre Herndon),3.320,4.240
2,10:03,1,10,JAX 20,0,3,Nelson Agholor left end for 14 yards (tackle by Tashaun Gipson),4.240,5.830
2,9:18,1,6,JAX 6,0,3,Corey Clement left tackle for no gain (tackle by Dante Fowler),5.830,4.950
2,8:36,2,6,JAX 6,0,3,Carson Wentz sacked by Calais Campbell for -7 yards,4.950,3.060
2,7:50,3,13,JAX 13,0,3,Carson Wentz pass incomplete short right intended for Nelson Agholor,3.060,2.570
2,7:46,4,13,JAX 13,3,3,Jake Elliott 31 yard field goal good,2.570,3.000
2,7:43,,,PHI 35,3,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,7:43,1,10,JAX 25,3,3,Blake Bortles right end for 5 yards (tackle by Treyvon Hester),0.610,0.740
2,7:10,2,5,JAX 30,3,3,T.J. Yeldon left guard for 3 yards (tackle by Jordan Hicks),0.740,0.430
2,6:36,3,2,JAX 33,3,3,Blake Bortles pass complete short left to Keelan Cole for 5 yards (tackle by Nigel Bradham),0.430,1.470
2,6:02,1,10,JAX 38,3,3,Blake Bortles pass complete short left to DJ Chark for 19 yards (tackle by Ronald Darby and Jordan Hicks),1.470,2.720
2,5:28,1,10,PHI 43,3,3,Carlos Hyde left guard for 1 yard (tackle by Malcolm Jenkins),2.720,2.310
2,4:41,2,9,PHI 42,3,3,Blake Bortles sacked by Jordan Hicks and Michael Bennett for -7 yards,2.310,0.700
2,3:52,3,16,PHI 49,3,3,"Penalty on JAX: Delay of Game, 5 yards (no play)",0.700,0.040
2,3:32,3,21,JAX 46,3,3,Blake Bortles pass complete short right to T.J. Yeldon for 15 yards (tackle by Jalen Mills and Jordan Hicks),0.040,0.660
2,2:48,4,6,PHI 39,3,6,Josh Lambo 57 yard field goal good,0.660,3.000
2,2:43,,,JAX 35,3,6,"Josh Lambo kicks off 65 yards, touchback.. Penalty on D.J. Alexander: Unnecessary Roughness, 13 yards",0.000,-0.350
2,2:43,1,10,PHI 12,3,6,Carson Wentz pass complete short right to Zach Ertz for no gain (tackle by Ronnie Harrison),-0.350,-0.780
2,2:06,2,10,PHI 12,3,6,Wendell Smallwood right tackle for 3 yards (tackle by Telvin Smith and Marcell Dareus),-0.780,-1.070
2,2:00,3,7,PHI 15,3,6,Carson Wentz pass incomplete short right intended for Jordan Matthews (defended by Quenton Meeks),-1.070,-2.440
2,1:54,4,7,PHI 15,3,6,"Cameron Johnston punts 51 yards, returned by Rashad Greene for 8 yards (tackle by Kamu Grugier-Hill and Tre Sullivan)",-2.440,-1.730
2,1:44,1,10,JAX 42,3,6,Blake Bortles pass incomplete short middle intended for Dede Westbrook,1.730,1.190
2,1:40,2,10,JAX 42,3,6,"Blake Bortles pass complete short right to Keelan Cole for 13 yards (tackle by Avonte Maddox). Keelan Cole fumbles (forced by Avonte Maddox), recovered by Malcolm Jenkins at PHI-45 and returned for 11 yards (tackle by Andrew Norwell)",1.190,-2.650
2,1:29,1,10,JAX 44,3,6,Carson Wentz pass incomplete deep right intended for Nelson Agholor,2.650,2.110
2,1:23,2,10,JAX 44,3,6,Corey Clement left tackle for -1 yards (tackle by Calais Campbell and Telvin Smith),2.110,1.290
2,0:46,3,11,JAX 45,3,6,Carson Wentz up the middle for 13 yards (tackle by Calais Campbell and Tashaun Gipson),1.290,3.450
2,0:38,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:38,1,10,JAX 32,9,6,"Carson Wentz pass complete deep left to Dallas Goedert for 32 yards, touchdown",3.450,7.000
2,0:29,,,JAX 15,10,6,Jake Elliott kicks extra point good,0.000,0.000
2,0:29,,,PHI 35,10,6,"Jake Elliott kicks off 69 yards, returned by DJ Chark for no gain (tackle by Corey Clement)",0.000,0.610
2,0:24,1,10,JAX 25,10,6,Blake Bortles sacked by Chris Long for no gain,0.610,0.060
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,10,6,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,10,6,Carlos Hyde left tackle for 3 yards (tackle by Fletcher Cox),0.610,0.470
3,14:27,2,7,JAX 28,10,6,Blake Bortles pass complete deep right to Donte Moncrief for 24 yards (tackle by Dexter McDougle),0.470,2.390
3,14:04,1,10,PHI 48,10,6,Blake Bortles pass incomplete deep left intended for Donte Moncrief,2.390,1.850
3,14:01,2,10,PHI 48,10,6,Blake Bortles pass incomplete short left intended for Keelan Cole,1.850,1.160
3,13:56,3,10,PHI 48,10,6,Blake Bortles pass incomplete short middle intended for Blake Bell (defended by Malcolm Jenkins),1.160,0.070
3,13:48,4,10,PHI 48,10,6,Logan Cooke punts 43 yards downed by Lerentee McCray,0.070,0.380
3,13:39,1,10,PHI 5,10,6,Josh Adams right guard for 1 yard (tackle by Marcell Dareus),-0.380,-0.710
3,12:59,2,9,PHI 6,10,6,Carson Wentz pass incomplete deep left intended for Alshon Jeffery,-0.710,-1.300
3,12:52,,,,,,Timeout #1 by Philadelphia Eagles,,
3,12:52,3,9,PHI 6,10,6,Carson Wentz pass complete short left to Alshon Jeffery for 12 yards (tackle by Jalen Ramsey),-1.300,0.040
3,12:08,1,10,PHI 18,10,6,Carson Wentz pass complete short right to Alshon Jeffery for 4 yards (tackle by Tashaun Gipson),0.040,0.140
3,11:30,2,6,PHI 22,10,6,Josh Adams right guard for 21 yards (tackle by Jalen Ramsey),0.140,1.800
3,10:51,1,10,PHI 43,10,6,Carson Wentz pass complete short left to Josh Adams for 6 yards (tackle by Tashaun Gipson),1.800,2.060
3,10:05,2,4,PHI 49,10,6,Corey Clement left guard for 2 yards (tackle by Abry Jones),2.060,1.620
3,9:24,3,2,JAX 49,10,6,Carson Wentz pass complete short left to Jordan Matthews for 13 yards (tackle by Quenton Meeks),1.620,3.180
3,8:48,1,10,JAX 36,16,6,"Carson Wentz pass complete short left to Wendell Smallwood for 36 yards, touchdown",3.180,7.000
3,8:39,,,JAX 15,17,6,Jake Elliott kicks extra point good,0.000,0.000
3,8:39,,,PHI 35,17,6,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,8:38,1,10,JAX 25,17,6,Blake Bortles pass complete short middle to Donte Moncrief for 19 yards (tackle by Avonte Maddox),0.610,1.860
3,8:07,1,10,JAX 44,17,6,Blake Bortles pass complete short middle to David Grinnage for 8 yards (tackle by Jordan Hicks),1.860,2.400
3,7:34,2,2,PHI 48,17,6,Blake Bortles pass incomplete short left intended for Dede Westbrook,2.400,1.690
3,7:31,3,2,PHI 48,17,6,Blake Bortles pass complete deep left to David Grinnage for 24 yards (tackle by Avonte Maddox),1.690,3.970
3,6:50,1,10,PHI 24,17,6,Blake Bortles pass complete short middle to DJ Chark for 6 yards (tackle by Jordan Hicks),3.970,4.290
3,6:09,2,4,PHI 18,17,6,T.J. Yeldon left guard for 4 yards (tackle by Brandon Graham),4.290,4.650
3,5:25,,,,,,Timeout #1 by Jacksonville Jaguars,,
3,5:25,1,10,PHI 14,17,6,Blake Bortles pass incomplete short middle intended for David Grinnage,4.650,4.000
3,5:19,2,10,PHI 14,17,6,Blake Bortles pass complete short right to Donte Moncrief for 3 yards (tackle by Ronald Darby),4.000,3.620
3,4:38,3,7,PHI 11,17,12,"Blake Bortles pass complete short middle to Dede Westbrook for 11 yards, touchdown",3.620,7.000
3,4:33,,,PHI 2,17,12,"Two Point Attempt: Blake Bortles pass incomplete intended for Dede Westbrook, conversion fails",0.000,-1.000
3,4:33,,,JAX 35,17,12,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
3,4:33,1,10,PHI 25,17,12,Carson Wentz pass incomplete short left intended for Wendell Smallwood,0.610,0.060
3,4:30,2,10,PHI 25,17,12,Wendell Smallwood left guard for 1 yard (tackle by Leon Jacobs),0.060,-0.490
3,3:59,3,9,PHI 26,17,12,Carson Wentz sacked by Myles Jack for -11 yards,-0.490,-2.440
3,3:22,4,20,PHI 15,17,12,"Cameron Johnston punts 60 yards, returned by Dede Westbrook for 23 yards (tackle by Kamu Grugier-Hill)",-2.440,-2.130
3,3:07,1,10,JAX 48,17,12,Blake Bortles pass complete short middle to Rashad Greene for 9 yards (tackle by Jordan Hicks),2.130,2.800
3,2:24,2,1,PHI 43,17,12,Blake Bortles sacked by Jordan Hicks for -6 yards,2.800,1.290
3,1:40,3,7,PHI 49,17,12,Blake Bortles left guard for 8 yards (tackle by Brandon Graham),1.290,2.850
3,1:04,1,10,PHI 41,17,12,Blake Bortles pass complete short right to DJ Chark for 4 yards (tackle by Ronald Darby),2.850,2.850
3,0:28,2,6,PHI 37,17,12,Blake Bortles pass complete short left to T.J. Yeldon for 7 yards (tackle by Rasul Douglas),2.850,3.580
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 30,17,12,"Blake Bortles pass incomplete short left. Penalty on Donte Moncrief: Offensive Pass Interference, 10 yards (no play)",3.580,2.920
4,14:55,1,20,PHI 40,17,12,Blake Bortles pass complete short middle to Blake Bell for 13 yards (tackle by Dexter McDougle),2.920,3.440
4,14:14,2,7,PHI 27,17,12,Blake Bortles pass complete short left to DJ Chark for 12 yards (tackle by Nigel Bradham),3.440,4.580
4,13:30,1,10,PHI 15,17,12,Blake Bortles pass incomplete short right intended for Dede Westbrook (defended by Dexter McDougle),4.580,3.950
4,13:26,2,10,PHI 15,17,12,Blake Bortles pass incomplete short right intended for Dede Westbrook (defended by Malcolm Jenkins),3.950,3.100
4,13:21,3,10,PHI 15,17,12,Blake Bortles pass incomplete short middle intended for David Grinnage (defended by Nigel Bradham),3.100,2.440
4,13:14,4,10,PHI 15,17,15,Josh Lambo 33 yard field goal good,2.440,3.000
4,13:10,,,JAX 35,17,15,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
4,13:10,1,10,PHI 25,17,15,Carson Wentz pass complete deep left to Jordan Matthews for 36 yards (tackle by Tre Herndon). Penalty on Tre Herndon: Defensive Pass Interference (Declined),0.610,2.980
4,12:40,1,10,JAX 39,17,15,Carson Wentz right tackle for 9 yards (tackle by Myles Jack),2.980,3.660
4,11:51,2,1,JAX 30,17,15,Carson Wentz pass complete short right to Wendell Smallwood for 6 yards (tackle by Telvin Smith),3.660,3.970
4,11:16,1,10,JAX 24,17,15,Josh Adams left guard for 17 yards (tackle by Tre Herndon),3.970,5.600
4,10:33,1,7,JAX 7,17,15,Josh Adams left guard for 2 yards (tackle by Telvin Smith and Myles Jack),5.600,5.150
4,10:00,2,5,JAX 5,23,15,"Carson Wentz pass complete short left to Zach Ertz for 5 yards, touchdown",5.150,7.000
4,9:55,,,JAX 15,24,15,Jake Elliott kicks extra point good,0.000,0.000
4,9:55,,,PHI 35,24,15,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,9:55,1,10,JAX 25,24,15,Blake Bortles pass complete short middle to T.J. Yeldon for 6 yards (tackle by Nigel Bradham),0.610,0.870
4,9:22,2,4,JAX 31,24,15,"Blake Bortles pass complete short right to Dede Westbrook for 20 yards (tackle by Ronald Darby). Penalty on Dede Westbrook: Taunting, 15 yards",0.870,1.330
4,9:12,1,10,JAX 36,24,15,Blake Bortles pass incomplete short left intended for T.J. Yeldon,1.330,0.790
4,9:07,2,10,JAX 36,24,15,Blake Bortles pass complete short right to T.J. Yeldon for 6 yards (tackle by Nigel Bradham),0.790,0.890
4,8:31,3,4,JAX 42,24,15,Blake Bortles pass complete short right to T.J. Yeldon for 37 yards (tackle by Jordan Hicks),0.890,4.170
4,7:55,1,10,PHI 21,24,15,"Blake Bortles right tackle for 5 yards (tackle by Nigel Bradham). Penalty on Nigel Bradham: Unnecessary Roughness, 8 yards",4.170,5.370
4,7:37,1,8,PHI 8,24,15,Blake Bortles up the middle for 2 yards (tackle by Jordan Hicks),5.370,4.950
4,7:08,2,6,PHI 6,24,15,Blake Bortles pass incomplete short middle intended for Carlos Hyde,4.950,4.040
4,7:05,3,6,PHI 6,24,15,Blake Bortles pass incomplete short middle intended for DJ Chark,4.040,2.990
4,7:00,4,6,PHI 6,24,18,Josh Lambo 24 yard field goal good,2.990,3.000
4,6:57,,,JAX 35,24,18,"Josh Lambo kicks off 55 yards, returned by Corey Clement for no gain (tackle by Leon Jacobs) Penalty on JAX: Illegal Formation, 5 yards",0.000,1.070
4,6:52,1,10,PHI 32,24,18,Josh Adams right guard for 3 yards (tackle by Abry Jones and Malik Jackson),1.070,0.930
4,6:38,2,7,PHI 35,24,18,Carson Wentz sacked by Yannick Ngakoue for -6 yards,0.930,-0.560
4,5:57,3,13,PHI 29,24,18,Carson Wentz pass complete short right to Nelson Agholor for no gain (tackle by Ronnie Harrison),-0.560,-1.440
4,5:14,4,13,PHI 29,24,18,"Cameron Johnston punts 44 yards, fair catch by Dede Westbrook at JAC-27",-1.440,-0.740
4,5:08,1,10,JAX 27,24,18,Blake Bortles pass complete short middle to T.J. Yeldon for 9 yards (tackle by Malcolm Jenkins and Nigel Bradham),0.740,1.410
4,4:35,2,1,JAX 36,24,18,Blake Bortles pass incomplete short middle intended for Rashad Greene,1.410,0.700
4,4:31,3,1,JAX 36,24,18,Blake Bortles pass incomplete short left intended for T.J. Yeldon (defended by Rasul Douglas),0.700,-0.980
4,4:26,4,1,JAX 36,24,18,Blake Bortles left end for 4 yards (tackle by Jordan Hicks),-0.980,1.600
4,4:18,1,10,JAX 40,24,18,Blake Bortles pass complete short middle to Donte Moncrief for 8 yards (tackle by Dexter McDougle),1.600,2.130
4,3:49,2,2,JAX 48,24,18,Blake Bortles pass incomplete deep right intended for Donte Moncrief,2.130,1.420
4,3:45,3,2,JAX 48,24,18,Blake Bortles pass incomplete short middle intended for Carlos Hyde (defended by Fletcher Cox),1.420,-0.190
4,3:41,4,2,JAX 48,24,18,Blake Bortles pass incomplete short left intended for Donte Moncrief,-0.190,-2.390
4,3:36,1,10,JAX 48,24,18,Wendell Smallwood right guard for no gain (tackle by Calais Campbell and Dante Fowler),2.390,1.850
4,3:32,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:32,2,10,JAX 48,24,18,Carson Wentz pass complete short right to Jordan Matthews for 13 yards (tackle by Telvin Smith),1.850,3.250
4,3:23,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,3:23,1,10,JAX 35,24,18,Wendell Smallwood right guard for 1 yard (tackle by Leon Jacobs),3.250,2.840
4,2:38,2,9,JAX 34,24,18,Wendell Smallwood left guard for 10 yards (tackle by Tashaun Gipson),2.840,3.970
4,2:00,1,10,JAX 24,24,18,Carson Wentz kneels for -1 yards,3.970,3.300
4,1:11,2,11,JAX 25,24,18,Carson Wentz kneels for -1 yards,3.300,2.480
4,0:40,3,12,JAX 26,24,18,Carson Wentz kneels for -1 yards,2.480,1.670
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
