Quarter,Time,Down,ToGo,Location,ARI,NYG,Detail,EPB,EPA
1,1:36,4,6,NYG 31,10,0,Chandler Catanzaro 49 yard field goal good,1.340,3.000
1,1:36,,,ARI 35,10,0,"Chandler Catanzaro kicks off 70 yards, returned by Quintin Demps for 21 yards (tackle by Jaron Brown)",0.000,0.140
1,1:26,1,10,NYG 16,10,0,Eli Manning pass complete short middle to Larry Donnell for 11 yards (tackle by Tony Jefferson),-0.140,0.740
1,0:51,1,10,NYG 27,10,0,Eli Manning pass complete short right to Rueben Randle for 9 yards (tackle by Patrick Peterson and Larry Foote),0.740,1.410
1,0:17,2,1,NYG 36,10,0,Rashad Jennings up the middle for 2 yards (tackle by Kareem Martin),1.410,1.470
Quarter,Time,Down,ToGo,Location,ARI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 38,10,0,"Eli Manning pass incomplete short right intended for Jerrel Jernigan (defended by Patrick Peterson). Penalty on Patrick Peterson: Defensive Pass Interference, 6 yards (no play)",1.470,1.860
2,14:55,1,10,NYG 44,10,0,Rashad Jennings left guard for 3 yards (tackle by Tony Jefferson),1.860,1.720
2,14:25,2,7,NYG 47,10,0,"Eli Manning sacked by Calais Campbell for -7 yards. Eli Manning fumbles (forced by Calais Campbell), recovered by Thomas Keiser at NYG-38 (tackle by Weston Richburg). Penalty on Jerraud Powers: Illegal Contact, 5 yards (no play)",1.720,2.390
2,14:15,1,10,ARI 48,10,0,Andre Williams up the middle for 2 yards (tackle by Calais Campbell and Kevin Minter),2.390,2.120
2,13:49,2,8,ARI 46,10,0,Andre Williams right tackle for 1 yard (tackle by Deone Bucannon),2.120,1.550
2,13:08,3,7,ARI 45,10,0,Eli Manning sacked by Rashad Johnson for -9 yards,1.550,-0.320
2,12:31,4,16,NYG 46,10,0,"Steve Weatherford punts 45 yards, fair catch by Ted Ginn",-0.320,0.380
2,12:21,1,10,ARI 9,10,0,Andre Ellington left tackle for 1 yard (tackle by Johnathan Hankins),-0.380,-0.710
2,11:43,2,9,ARI 10,10,0,Drew Stanton pass complete short right to Larry Fitzgerald for 2 yards (tackle by Walter Thurmond),-0.710,-1.070
2,11:00,3,7,ARI 12,10,0,Drew Stanton pass complete deep left to John Brown for 20 yards (tackle by Jacquian Williams),-1.070,1.070
2,10:24,1,10,ARI 32,10,0,Jonathan Dwyer right guard for 1 yard (tackle by Prince Amukamara and Jameel McClain),1.070,0.660
2,9:45,2,9,ARI 33,10,0,Drew Stanton pass complete short right to Larry Fitzgerald for 9 yards (tackle by Prince Amukamara),0.660,1.730
2,9:14,1,10,ARI 42,10,0,Andre Ellington left tackle for 3 yards (tackle by Jacquian Williams and Jon Beason),1.730,1.590
2,8:37,2,7,ARI 45,10,0,Drew Stanton pass incomplete short right intended for Michael Floyd (defended by Dominique Rodgers-Cromartie),1.590,0.890
2,8:28,3,7,ARI 45,10,0,Drew Stanton pass complete short left to Larry Fitzgerald for 6 yards (tackle by Dominique Rodgers-Cromartie),0.890,0.000
2,7:58,4,1,NYG 49,10,0,"Drew Butler punts 39 yards, fair catch by Preston Parker",0.000,0.380
2,7:50,1,10,NYG 10,10,0,Rashad Jennings up the middle for 5 yards (tackle by Rashad Johnson and Dan Williams),-0.380,-0.350
2,7:18,2,5,NYG 15,10,0,Rashad Jennings right tackle for 7 yards (tackle by Larry Foote and Matt Shaughnessy),-0.350,0.410
2,6:46,1,10,NYG 22,10,0,Rashad Jennings right tackle for 2 yards (tackle by Tommy Kelly and Tony Jefferson),0.410,0.140
2,6:08,2,8,NYG 24,10,0,Eli Manning pass complete short middle to Rueben Randle for 13 yards (tackle by Patrick Peterson),0.140,1.400
2,5:30,1,10,NYG 37,10,0,Andre Williams up the middle for 1 yard (tackle by Calais Campbell and Matt Shaughnessy),1.400,0.990
2,4:48,2,9,NYG 38,10,0,Eli Manning pass complete short left to Larry Donnell for 11 yards (tackle by Tony Jefferson),0.990,2.190
2,4:08,1,10,NYG 49,10,0,Eli Manning pass incomplete deep right intended for Rueben Randle,2.190,1.650
2,3:59,2,10,NYG 49,10,0,Rashad Jennings left end for -1 yards (tackle by Calais Campbell and Larry Foote),1.650,0.830
2,3:18,3,11,NYG 48,10,0,Eli Manning pass complete deep right to Victor Cruz for 27 yards (tackle by Tony Jefferson and Jerraud Powers),0.830,3.910
2,2:32,1,10,ARI 25,10,0,Eli Manning pass complete short middle to Victor Cruz for 7 yards (tackle by Jerraud Powers),3.910,4.370
2,2:00,2,3,ARI 18,10,0,Rashad Jennings up the middle for 4 yards (tackle by Tony Jefferson and Kevin Minter),4.370,4.650
2,1:16,1,10,ARI 14,10,0,Eli Manning pass complete short middle to Victor Cruz for 7 yards (tackle by Jerraud Powers),4.650,5.280
2,0:44,2,3,ARI 7,10,6,"Eli Manning pass complete short right to Rueben Randle for 7 yards, touchdown",5.280,7.000
2,0:44,,,ARI 2,10,7,Josh Brown kicks extra point good,0.000,0.000
2,0:44,,,NYG 35,10,7,"Josh Brown kicks off 65 yards, returned by Ted Ginn for 27 yards (tackle by Josh Brown). Penalty on Robert Hughes: Offensive Holding, 10 yards",0.000,0.380
2,0:30,1,10,ARI 10,10,7,Drew Stanton pass complete deep right to John Carlson for 32 yards (tackle by Jameel McClain),-0.380,-0.380
2,0:21,1,10,ARI 10,10,7,Timeout #3 by Arizona Cardinals,-0.380,1.730
2,0:21,1,10,ARI 42,10,7,"Drew Stanton pass complete deep right to Larry Fitzgerald for 36 yards (tackle by Prince Amukamara). Penalty on Jared Veldheer: Face Mask (15 Yards), 15 yards (no play)",1.730,0.740
2,0:13,1,25,ARI 27,10,7,Drew Stanton pass incomplete deep left intended for Michael Floyd (defended by Dominique Rodgers-Cromartie),0.740,-0.840
2,0:06,2,25,ARI 27,10,7,Drew Stanton kneels for -1 yards,-0.840,-1.620
Quarter,Time,Down,ToGo,Location,ARI,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,7,"Chandler Catanzaro kicks off 69 yards, returned by Quintin Demps for 22 yards (tackle by Sam Acho)",0.000,-0.040
3,14:55,1,10,NYG 18,10,7,Rashad Jennings left guard for 2 yards (tackle by Dan Williams),0.040,-0.130
3,14:20,2,8,NYG 20,10,7,"Rashad Jennings right guard for 1 yard (tackle by Larry Foote). Penalty on Justin Pugh: Unnecessary Roughness, 10 yards",-0.130,-2.240
3,13:46,3,17,NYG 11,10,7,Rashad Jennings right tackle for 3 yards (tackle by Calais Campbell),-2.240,-2.470
3,13:17,4,14,NYG 14,10,7,"Steve Weatherford punts 47 yards, returned by Ted Ginn for 5 yards (tackle by Quintin Demps)",-2.470,-1.860
3,13:07,1,10,ARI 44,10,7,Drew Stanton sacked by Johnathan Hankins for -8 yards,1.860,0.240
3,12:28,2,18,ARI 36,10,7,Drew Stanton pass incomplete deep left intended for Michael Floyd (defended by Stevie Brown),0.240,-0.430
3,12:18,3,18,ARI 36,10,7,Andre Ellington right end for 9 yards (tackle by Antrel Rolle),-0.430,-0.390
3,11:57,4,9,ARI 45,10,7,"Drew Butler punts 27 yards. Penalty on Quintin Demps: Illegal Use of Hands, 10 yards",-0.390,-0.040
3,11:36,1,10,NYG 18,10,7,Eli Manning pass complete short middle to Victor Cruz for 5 yards (tackle by Patrick Peterson),0.040,0.280
3,11:02,2,5,NYG 23,10,7,Andre Williams up the middle for 2 yards (tackle by Dan Williams and Matt Shaughnessy),0.280,-0.270
3,10:23,3,3,NYG 25,10,7,Eli Manning pass complete short middle to Preston Parker for 29 yards (tackle by Jerraud Powers),-0.270,2.520
3,9:49,1,10,ARI 46,10,7,Eli Manning pass incomplete deep left intended for Victor Cruz,2.520,1.980
3,9:42,2,10,ARI 46,10,7,Eli Manning pass complete short left to Larry Donnell for 6 yards (tackle by Deone Bucannon),1.980,2.080
3,9:07,3,4,ARI 40,10,7,Eli Manning pass incomplete deep right intended for Rueben Randle,2.080,0.590
3,8:59,4,4,ARI 40,10,7,"Steve Weatherford punts 40 yards, touchback",0.590,-0.280
3,8:49,1,10,ARI 20,10,7,Andre Ellington up the middle for no gain (tackle by Robert Ayers and Johnathan Hankins),0.280,-0.270
3,8:12,2,10,ARI 20,10,7,Andre Ellington left end for 4 yards (tackle by Jon Beason),-0.270,-0.430
3,7:31,3,6,ARI 24,10,7,Drew Stanton sacked by Mathias Kiwanuka and Jason Pierre-Paul for -3 yards,-0.430,-1.960
3,6:54,4,9,ARI 21,10,7,"Drew Butler punts 51 yards, returned by Preston Parker for -2 yards (tackle by Troy Niklas)",-1.960,-0.670
3,6:40,1,10,NYG 26,10,7,Andre Williams right tackle for 5 yards (tackle by Tommy Kelly),0.670,0.810
3,6:14,2,5,NYG 31,10,7,Andre Williams left tackle for 1 yard (tackle by Kevin Minter),0.810,0.230
3,5:45,3,4,NYG 32,10,7,Eli Manning pass complete short middle to Larry Donnell for 13 yards (tackle by Rashad Johnson),0.230,1.930
3,5:13,1,10,NYG 45,10,7,"Eli Manning up the middle for 5 yards (tackle by Jerraud Powers). Penalty on Patrick Peterson: Defensive Holding, 5 yards, Penalty on Jerraud Powers: Defensive Holding (Declined)",1.930,2.590
3,4:38,1,10,ARI 45,10,7,"Eli Manning pass complete short right to Larry Donnell for 11 yards (tackle by Larry Foote). Penalty on J.D. Walton: Offensive Holding, 10 yards (no play)",2.590,1.930
3,4:16,1,20,NYG 45,10,7,Eli Manning pass complete short left to Rashad Jennings for 15 yards (tackle by Antonio Cromartie),1.930,2.720
3,3:33,2,5,ARI 40,10,7,Eli Manning pass complete short left to Victor Cruz for 14 yards (tackle by Rashad Johnson),2.720,3.840
3,2:49,1,10,ARI 26,10,7,"Eli Manning pass incomplete deep middle intended for Victor Cruz (defended by Patrick Peterson). Penalty on Patrick Peterson: Defensive Pass Interference, 25 yards (no play)",3.840,6.970
3,2:42,1,1,ARI 1,10,7,Rashad Jennings right tackle for no gain (tackle by Calais Campbell and Kevin Minter),6.970,5.910
3,2:11,2,1,ARI 1,10,13,"Eli Manning pass complete short middle to Daniel Fells for 1 yard, touchdown",5.910,7.000
3,2:11,,,ARI 2,10,14,Josh Brown kicks extra point good,0.000,0.000
3,2:11,,,NYG 35,10,14,"Josh Brown kicks off 66 yards, returned by Ted Ginn for 8 yards (tackle by Zackary Bowman)",0.000,0.380
3,1:56,1,10,ARI 7,10,14,Drew Stanton pass complete short left to John Brown for 5 yards (tackle by Walter Thurmond),-0.380,-0.420
3,1:30,2,5,ARI 12,10,14,Andre Ellington up the middle for 4 yards (tackle by Jay Bromley and Antrel Rolle),-0.420,-0.370
3,0:51,3,1,ARI 16,10,14,Robert Hughes left guard for 2 yards (tackle by Damontre Moore and Robert Ayers),-0.370,0.040
3,0:07,1,10,ARI 18,10,14,"Drew Stanton pass incomplete deep right intended for Larry Fitzgerald (defended by Dominique Rodgers-Cromartie). Penalty on Antrel Rolle: Illegal Contact, 5 yards (no play)",0.040,0.480
3,0:02,1,10,ARI 23,10,14,Drew Stanton pass complete short right to Andre Ellington for 10 yards (tackle by Antrel Rolle),0.480,1.140
Quarter,Time,Down,ToGo,Location,ARI,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 33,10,14,John Brown left end for 2 yards (tackle by Damontre Moore),1.140,0.860
4,14:24,2,8,ARI 35,10,14,"Drew Stanton sacked by Robert Ayers and Cullen Jenkins for -8 yards. Penalty on Trumaine McBride: Defensive Holding (Declined), Penalty on Dominique Rodgers-Cromartie: Illegal Contact, 5 yards (no play)",0.860,1.600
4,14:01,1,10,ARI 40,10,14,Drew Stanton pass incomplete,1.600,1.050
4,13:51,2,10,ARI 40,10,14,Andre Ellington right tackle for 15 yards (tackle by Mark Herzlich),1.050,2.590
4,13:22,1,10,NYG 45,10,14,Drew Stanton pass complete short left to Larry Fitzgerald for 10 yards (tackle by Dominique Rodgers-Cromartie),2.590,3.250
4,12:49,1,10,NYG 35,10,14,Drew Stanton pass complete short middle to John Carlson for 11 yards (tackle by Antrel Rolle),3.250,3.970
4,12:06,1,10,NYG 24,10,14,"Drew Stanton pass incomplete short left intended for Andre Ellington. Penalty on Mark Herzlich: Defensive Holding, 5 yards (no play)",3.970,4.310
4,11:58,1,10,NYG 19,10,14,Drew Stanton pass incomplete short middle intended for Robert Hughes (defended by Mark Herzlich),4.310,3.750
4,11:53,2,10,NYG 19,10,14,Drew Stanton pass incomplete deep left intended for John Brown,3.750,3.030
4,11:47,3,10,NYG 19,10,14,Drew Stanton pass incomplete deep middle intended for Larry Fitzgerald (defended by Jason Pierre-Paul),3.030,2.180
4,11:42,4,10,NYG 19,13,14,Chandler Catanzaro 37 yard field goal good,2.180,3.000
4,11:42,,,ARI 35,13,14,"Chandler Catanzaro kicks off 67 yards, returned by Quintin Demps for 24 yards (tackle by Robert Hughes)",0.000,-0.410
4,11:33,1,10,NYG 22,13,14,Rashad Jennings left end for no gain (tackle by Rashad Johnson),0.410,-0.130
4,11:11,2,10,NYG 22,13,14,Rashad Jennings right guard for 4 yards (tackle by Calais Campbell),-0.130,-0.290
4,10:36,3,6,NYG 26,13,14,Eli Manning pass incomplete short left intended for Victor Cruz,-0.290,-1.630
4,10:28,4,6,NYG 26,19,14,"Steve Weatherford punts 45 yards, returned by Ted Ginn for 71 yards, touchdown",-1.630,-7.000
4,10:10,,,,19,14,"Two Point Attempt: Jonathan Dwyer left guard, conversion fails",0.000,-1.000
4,10:10,,,ARI 35,19,14,"Chandler Catanzaro kicks off 69 yards, returned by Quintin Demps for 26 yards (tackle by Kenny Demens). Quintin Demps fumbles, recovered by Robert Hughes at NYG-21",0.000,4.170
4,10:02,1,10,NYG 21,19,14,Drew Stanton pass incomplete deep right intended for Michael Floyd (defended by Prince Amukamara),4.170,3.630
4,9:57,2,10,NYG 21,19,14,Andre Ellington right end for 7 yards (tackle by Dominique Rodgers-Cromartie),3.630,4.020
4,9:24,3,3,NYG 14,19,14,Drew Stanton pass incomplete short right intended for Larry Fitzgerald,4.020,2.610
4,9:15,4,3,NYG 14,22,14,Chandler Catanzaro 32 yard field goal good,2.610,3.000
4,9:15,,,ARI 35,22,14,"Chandler Catanzaro kicks off 67 yards, returned by Quintin Demps for 22 yards (tackle by Robert Hughes)",0.000,-0.280
4,9:04,1,10,NYG 20,22,14,Eli Manning pass incomplete deep right intended for Victor Cruz,0.280,-0.270
4,8:58,2,10,NYG 20,22,14,Eli Manning pass incomplete short right intended for Victor Cruz,-0.270,-0.960
4,8:53,3,10,NYG 20,22,14,"Penalty on Tommy Kelly: Neutral Zone Infraction, 5 yards (no play)",-0.960,-0.300
4,8:53,3,5,NYG 25,22,14,Eli Manning pass complete short right to Larry Donnell for 7 yards (tackle by Tyrann Mathieu),-0.300,1.070
4,8:27,1,10,NYG 32,22,14,Rashad Jennings right guard for 2 yards (tackle by Calais Campbell and Deone Bucannon),1.070,0.800
4,7:51,2,8,NYG 34,22,14,Eli Manning pass complete deep middle to Larry Donnell for 23 yards (tackle by Deone Bucannon),0.800,2.720
4,7:17,1,10,ARI 43,22,14,Eli Manning pass incomplete short right intended for Andre Williams,2.720,2.180
4,7:12,2,10,ARI 43,22,14,Rashad Jennings left tackle for 11 yards (tackle by Antonio Cromartie),2.180,3.450
4,6:45,1,10,ARI 32,22,14,Andre Williams right tackle for 1 yard (tackle by Larry Foote and Thomas Keiser),3.450,3.040
4,6:13,2,9,ARI 31,22,14,Eli Manning pass complete short right to Jerrel Jernigan for 4 yards (tackle by Patrick Peterson),3.040,2.870
4,5:32,3,5,ARI 27,22,14,Eli Manning pass complete short left to Larry Donnell for 10 yards (tackle by Deone Bucannon),2.870,4.440
4,4:48,1,10,ARI 17,22,14,Eli Manning pass incomplete deep middle intended for Preston Parker,4.440,3.850
4,4:42,2,10,ARI 17,22,14,"Eli Manning pass complete short left to Rashad Jennings for 2 yards. Rashad Jennings fumbles, recovered by Rashad Johnson at ARI-14 (tackle by Will Beatty)",3.850,0.280
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
4,4:30,1,10,ARI 14,22,14,Andre Ellington up the middle for 1 yard (tackle by Mark Herzlich),-0.280,-0.280
4,4:23,1,10,ARI 14,22,14,Timeout #1 by New York Giants,-0.280,-0.640
4,4:23,2,9,ARI 15,22,14,Drew Stanton pass complete short middle to Troy Niklas for 16 yards (tackle by Mark Herzlich),-0.640,1.000
4,3:39,1,10,ARI 31,22,14,Andre Ellington left tackle for 3 yards (tackle by Jameel McClain and Johnathan Hankins),1.000,1.000
4,3:34,1,10,ARI 31,22,14,Timeout #2 by New York Giants,1.000,0.870
4,3:34,2,7,ARI 34,22,14,Drew Stanton pass incomplete short right intended for Michael Floyd,0.870,0.170
4,3:30,3,7,ARI 34,22,14,Andre Ellington left end for 6 yards (tackle by Prince Amukamara). Penalty on Ted Larsen: Offensive Holding (Declined),0.170,-0.720
4,3:22,4,1,ARI 40,22,14,"Drew Butler punts 47 yards, returned by Preston Parker for 2 yards (tackle by Justin Bethel)",-0.720,0.220
4,3:19,1,10,NYG 15,22,14,Eli Manning pass complete short middle to Andre Williams for 4 yards (tackle by Deone Bucannon),-0.220,-0.110
4,2:55,2,6,NYG 19,22,14,Eli Manning pass incomplete short right intended for Andre Williams,-0.110,-0.880
4,2:48,3,6,NYG 19,22,14,Eli Manning pass incomplete deep left intended for Rueben Randle (defended by Antonio Cromartie),-0.880,-2.140
4,2:41,4,6,NYG 19,22,14,Eli Manning pass incomplete short right intended for Larry Donnell,-2.140,-4.310
4,2:36,1,10,NYG 19,22,14,Jonathan Dwyer up the middle for 1 yard (tackle by Jacquian Williams and Johnathan Hankins),4.310,4.310
4,2:30,1,10,NYG 19,22,14,Timeout #3 by New York Giants,4.310,3.880
4,2:30,2,9,NYG 18,22,14,Jonathan Dwyer right guard for 2 yards (tackle by Jameel McClain and Prince Amukamara),3.880,3.410
4,2:00,3,7,NYG 16,22,14,Andre Ellington right tackle for 2 yards (tackle by Mathias Kiwanuka),3.410,3.410
4,1:17,3,7,NYG 16,22,14,Timeout #1 by Arizona Cardinals,3.410,2.560
4,1:17,4,5,NYG 14,25,14,Chandler Catanzaro 33 yard field goal good,2.560,3.000
4,1:17,,,ARI 35,25,14,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
4,1:13,1,10,NYG 20,25,14,Eli Manning pass complete short right to Rashad Jennings for 9 yards (tackle by Tommy Kelly),0.280,0.950
4,0:50,2,1,NYG 29,25,14,Eli Manning sacked by Calais Campbell for -8 yards,0.950,-0.820
4,0:27,3,9,NYG 21,25,14,Rashad Jennings up the middle for 13 yards (tackle by Tony Jefferson),-0.820,1.200
4,0:09,1,10,NYG 34,25,14,Eli Manning pass incomplete deep middle intended for Larry Donnell is intercepted by Larry Foote at 50,1.200,-2.260
4,0:04,1,10,,25,14,Drew Stanton kneels for -1 yards,2.260,1.580
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
