Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
2,9:08,3,19,MIN 27,17,0,Kirk Cousins pass complete short right to Ameer Abdullah for 5 yards (tackle by Justin Simmons),-1.090,-1.240
2,8:37,4,14,MIN 32,17,0,"Britton Colquitt punts 52 yards, fair catch by Diontae Spencer at DEN-16",-1.240,0.140
2,8:28,1,10,DEN 16,17,0,Phillip Lindsay right guard for -1 yards (tackle by Eric Wilson),-0.140,-0.780
2,7:42,2,11,DEN 15,17,0,Brandon Allen pass incomplete short right Penalty on DEN: Illegal Formation (Declined),-0.780,-1.470
2,7:38,3,11,DEN 15,17,0,"Brandon Allen pass complete short middle to Courtland Sutton for 3 yards (tackle by Harrison Smith). Penalty on Everson Griffen: Illegal Use of Hands, 5 yards (no play)",-1.470,0.280
2,7:03,1,10,DEN 20,17,0,Royce Freeman left end for 9 yards (tackle by Mike Hughes),0.280,0.950
2,6:20,2,1,DEN 29,17,0,Brandon Allen pass complete short left to Phillip Lindsay for 7 yards (tackle by Harrison Smith). Penalty on Garett Bolles: Offensive Holding (Offsetting) Penalty on MIN: Defensive Holding (Offsetting) (no play),0.950,0.950
2,5:56,2,1,DEN 29,17,0,Phillip Lindsay right guard for no gain (tackle by Jayron Kearse),0.950,0.230
2,5:21,3,1,DEN 29,17,0,Brandon Allen up the middle for 2 yards (tackle by Jalyn Holmes and Eric Kendricks),0.230,1.000
2,4:41,1,10,DEN 31,17,0,Brandon Allen pass complete short middle to Noah Fant for 15 yards (tackle by Jayron Kearse and Anthony Barr),1.000,1.990
2,3:58,1,10,DEN 46,17,0,Brandon Allen pass incomplete short right,1.990,1.450
2,3:53,2,10,DEN 46,17,0,Brandon Allen pass complete short left to Phillip Lindsay for 1 yard (tackle by Harrison Smith),1.450,0.890
2,3:17,3,9,DEN 47,17,0,Brandon Allen pass incomplete short middle intended for Devontae Booker (defended by Eric Kendricks),0.890,-0.260
2,3:13,4,9,DEN 47,17,0,"Colby Wadman punts 33 yards, muffed catch by Mike Hughes, recovered by Mike Hughes at MIN-20, returned by Mike Hughes for no gain (tackle by Joseph Jones)",-0.260,-0.280
2,3:05,1,10,MIN 20,17,0,"Kirk Cousins pass complete short right to C.J. Ham for 1 yard (tackle by Todd Davis). Penalty on Von Miller: Defensive Offside, 5 yards (no play)",0.280,1.010
2,2:46,1,5,MIN 25,17,0,"Kirk Cousins sacked by Shelby Harris for -8 yards. Kirk Cousins fumbles (forced by Shelby Harris), recovered by Alexander Johnson at MIN-17 (tackle by Dakota Dozier)",1.010,-4.440
2,2:40,1,10,MIN 17,17,0,Phillip Lindsay right tackle for 3 yards (tackle by Jaleel Johnson and Danielle Hunter),4.440,4.320
2,2:00,2,7,MIN 14,17,0,Brandon Allen pass complete short left to Andy Janovich for 3 yards (tackle by Eric Wilson),4.320,4.100
2,1:14,,,,,,Timeout #2 by Denver Broncos,,
2,1:14,3,4,MIN 11,17,0,Brandon Allen pass incomplete short right intended for Courtland Sutton,4.100,2.770
2,1:10,4,4,MIN 11,20,0,Brandon McManus 29 yard field goal good,2.770,3.000
2,1:06,,,DEN 35,20,0,"Brandon McManus kicks off 68 yards, returned by Ameer Abdullah for 19 yards (tackle by Will Parks and Devontae Booker). Ameer Abdullah fumbles (forced by Will Parks), recovered by Josey Jewell at MIN-17 (tackle by C.J. Ham)",0.000,-4.440
2,1:00,1,10,MIN 17,20,0,Brandon Allen pass short middle intended for Noah Fant is intercepted by Andrew Sendejo at MIN-2 and returned for 21 yards,4.440,-0.480
2,0:52,1,10,MIN 23,20,0,Kirk Cousins pass complete short middle to Kyle Rudolph for 10 yards (tackle by Alexander Johnson and Todd Davis),0.480,1.140
2,0:34,1,10,MIN 33,20,0,Kirk Cousins pass complete short right to Kyle Rudolph for 14 yards (tackle by Justin Simmons),1.140,2.060
2,0:29,1,10,MIN 47,20,0,Kirk Cousins pass complete short left to Dalvin Cook for -3 yards (tackle by Alexander Johnson and Todd Davis),2.060,1.110
2,0:18,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:18,2,13,MIN 44,20,0,Kirk Cousins sacked by Shelby Harris for -10 yards,1.110,-0.890
2,0:13,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:13,3,23,MIN 34,20,0,Kirk Cousins pass complete short left to Kyle Rudolph for 6 yards (tackle by Duke Dawson),-0.890,-0.720
2,0:09,4,17,MIN 40,20,0,Britton Colquitt punts 53 yards downed by Kris Boyd,-0.720,1.600
Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,20,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIN 25,20,0,Kirk Cousins pass complete short right to Olabisi Johnson for 9 yards (tackle by Davontae Harris),0.610,1.280
3,14:37,2,1,MIN 34,20,0,Dalvin Cook left guard for 2 yards (tackle by Shelby Harris),1.280,1.330
3,14:16,1,10,MIN 36,20,0,Kirk Cousins pass incomplete short middle intended for Olabisi Johnson (defended by Davontae Harris),1.330,0.790
3,14:10,2,10,MIN 36,20,0,Kirk Cousins pass complete short left to Olabisi Johnson for 9 yards (tackle by Todd Davis),0.790,1.290
3,13:42,3,1,MIN 45,20,0,Dalvin Cook up the middle for no gain (tackle by Adam Gotsis),1.290,-0.390
3,13:13,4,1,MIN 45,20,0,Kirk Cousins up the middle for 1 yard (tackle by Todd Davis and Adam Gotsis),-0.390,1.990
3,12:46,1,10,MIN 46,20,0,Kirk Cousins pass complete deep left to Stefon Diggs for 44 yards (tackle by Davontae Harris),1.990,4.910
3,12:09,1,10,DEN 10,20,0,Dalvin Cook left guard for no gain (tackle by Shelby Harris),4.910,4.190
3,11:34,2,10,DEN 10,20,6,"Kirk Cousins pass complete short middle to Irv Smith Jr. for 10 yards, touchdown",4.190,7.000
3,11:29,,,DEN 15,20,7,Dan Bailey kicks extra point good,0.000,0.000
3,11:29,,,MIN 35,20,7,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,11:29,1,10,DEN 25,20,7,Phillip Lindsay right end for 7 yards (tackle by Andrew Sendejo),0.610,1.010
3,11:00,2,3,DEN 32,20,7,Brandon Allen sacked by Everson Griffen for -5 yards,1.010,-0.360
3,10:13,3,8,DEN 27,20,7,Brandon Allen pass complete short left to Courtland Sutton for 5 yards (tackle by Xavier Rhodes),-0.360,-1.240
3,9:40,4,3,DEN 32,20,7,"Penalty on Eric Wilson: Neutral Zone Infraction, 5 yards (no play)",-1.240,1.400
3,9:23,1,10,DEN 37,20,7,Brandon Allen right end for 5 yards (tackle by Eric Wilson),1.400,1.530
3,8:35,2,5,DEN 42,20,7,"Penalty on Elijah Wilkinson: False Start, 5 yards (no play)",1.530,0.860
3,8:13,2,10,DEN 37,20,7,Brandon Allen pass complete short left to Phillip Lindsay for 7 yards (tackle by Eric Kendricks),0.860,1.090
3,7:24,3,3,DEN 44,20,7,Brandon Allen pass complete short right to Courtland Sutton for 5 yards (tackle by Andrew Sendejo and Xavier Rhodes),1.090,2.190
3,6:41,1,10,DEN 49,20,7,Noah Fant right end for -2 yards (tackle by Stephen Weatherly),2.190,1.380
3,5:58,2,12,DEN 47,20,7,Brandon Allen pass complete deep left to Tim Patrick for 29 yards (tackle by Andrew Sendejo and Mike Hughes),1.380,3.970
3,5:16,1,10,MIN 24,20,7,Royce Freeman right guard for 1 yard (tackle by Andrew Sendejo),3.970,3.570
3,4:35,2,9,MIN 23,20,7,Brandon Allen pass incomplete short left intended for Noah Fant,3.570,2.870
3,4:31,3,9,MIN 23,20,7,Brandon Allen pass incomplete short left intended for Devontae Booker,2.870,1.930
3,4:27,4,9,MIN 23,23,7,Brandon McManus 41 yard field goal good,1.930,3.000
3,4:23,,,DEN 35,23,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,4:23,1,10,MIN 25,23,7,Kirk Cousins pass complete short middle to Dalvin Cook for 2 yards (tackle by Todd Davis),0.610,0.330
3,4:02,2,8,MIN 27,23,7,Kirk Cousins pass complete short middle to Stefon Diggs for 7 yards (tackle by Todd Davis),0.330,0.560
3,3:42,3,1,MIN 34,23,7,Kirk Cousins up the middle for no gain (tackle by Todd Davis),0.560,-1.110
3,3:02,4,1,MIN 34,23,7,Dalvin Cook up the middle for 2 yards (tackle by Mike Purcell),-1.110,1.330
3,2:30,1,10,MIN 36,23,7,Kirk Cousins pass complete short left to Kyle Rudolph for 5 yards (tackle by Alexander Johnson),1.330,1.470
3,2:16,2,5,MIN 41,23,7,Kirk Cousins sacked by Dre'Mont Jones for -9 yards,1.470,-0.430
3,1:50,3,14,MIN 32,23,7,Kirk Cousins pass complete deep middle to Tyler Conklin for 20 yards (tackle by Davontae Harris and Kareem Jackson),-0.430,2.390
3,1:25,1,10,DEN 48,23,7,Kirk Cousins pass incomplete deep left intended for Olabisi Johnson,2.390,1.850
3,1:19,2,10,DEN 48,23,7,Kirk Cousins pass incomplete short right intended for Laquon Treadwell,1.850,1.160
3,1:15,3,10,DEN 48,23,7,"Kirk Cousins pass incomplete short left intended for Irv Smith Jr.. Penalty on Duke Dawson: Defensive Pass Interference, 5 yards (no play)",1.160,2.720
3,1:11,1,10,DEN 43,23,7,Ameer Abdullah left guard for 5 yards (tackle by Kareem Jackson),2.720,2.850
3,0:48,2,5,DEN 38,23,7,Kirk Cousins pass complete short middle to Ameer Abdullah for 6 yards (tackle by Todd Davis and Mike Purcell),2.850,3.450
3,0:27,1,10,DEN 32,23,7,Kirk Cousins pass incomplete deep left intended for Olabisi Johnson,3.450,2.900
3,0:20,2,10,DEN 32,23,7,Dalvin Cook right guard for 5 yards (tackle by Alexander Johnson and Todd Davis),2.900,2.870
Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,DEN 27,23,7,Kirk Cousins pass complete short left to Stefon Diggs for 7 yards (tackle by Davontae Harris),2.870,4.240
4,14:47,1,10,DEN 20,23,7,Kirk Cousins pass complete short left to Dalvin Cook for 9 yards (tackle by Kareem Jackson),4.240,5.260
4,14:21,2,1,DEN 11,23,7,Dalvin Cook right tackle for 5 yards (tackle by Justin Simmons and Kareem Jackson),5.260,5.830
4,13:50,1,6,DEN 6,23,7,Kirk Cousins pass complete short right to Olabisi Johnson for 3 yards (tackle by Davontae Harris),5.830,5.530
4,13:30,2,3,DEN 3,23,13,"Dalvin Cook right end for 3 yards, touchdown",5.530,7.000
4,13:25,,,DEN 2,23,13,"Two Point Attempt: Kirk Cousins pass complete to Dalvin Cook, conversion fails",1.000,-1.000
4,13:25,,,MIN 35,23,13,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,13:25,1,10,DEN 25,23,13,Phillip Lindsay left guard for 6 yards (tackle by Jayron Kearse),0.610,0.870
4,12:42,2,4,DEN 31,23,13,Phillip Lindsay up the middle for 3 yards (tackle by Jaleel Johnson and Danielle Hunter),0.870,0.560
4,11:56,3,1,DEN 34,23,13,Noah Fant right end for -5 yards (tackle by Trae Waynes),0.560,-1.440
4,11:05,4,6,DEN 29,23,13,"Colby Wadman punts 36 yards, muffed catch by Mike Hughes, recovered by Mike Hughes at MIN-38 (tackle by Eric Kendricks)",-1.440,-1.470
4,10:56,1,10,MIN 38,23,13,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Adam Gotsis),1.470,0.920
4,10:52,2,10,MIN 38,23,13,Kirk Cousins pass complete short middle to Tyler Conklin for 8 yards (tackle by Todd Davis and Malik Reed),0.920,1.290
4,10:29,3,2,MIN 46,23,19,"Kirk Cousins pass complete deep middle to Stefon Diggs for 54 yards, touchdown",1.290,7.000
4,10:21,,,DEN 15,23,20,Dan Bailey kicks extra point good,0.000,0.000
4,10:21,,,MIN 35,23,20,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,10:21,1,10,DEN 25,23,20,Brandon Allen pass incomplete short right intended for Tim Patrick,0.610,0.060
4,10:17,,,,,,Timeout #1 by Denver Broncos,,
4,10:17,2,10,DEN 25,23,20,Brandon Allen pass complete deep middle to Courtland Sutton for 43 yards (tackle by Xavier Rhodes and Harrison Smith),0.060,3.450
4,9:34,1,10,MIN 32,23,20,Royce Freeman up the middle for 3 yards (tackle by Jaleel Johnson and Everson Griffen),3.450,3.310
4,9:01,2,7,MIN 29,23,20,Brandon Allen pass incomplete short right intended for Troy Fumagalli,3.310,2.610
4,8:56,3,7,MIN 29,23,20,Devontae Booker right tackle for 4 yards (tackle by Ifeadi Odenigbo),2.610,1.900
4,8:19,4,3,MIN 25,23,20,Brandon McManus 43 yard field goal no good,1.900,-1.140
4,8:15,1,10,MIN 33,23,20,Kirk Cousins pass complete short right to Dalvin Cook for 21 yards (tackle by Justin Simmons and Todd Davis),1.140,2.520
4,7:45,1,10,DEN 46,23,20,Kirk Cousins pass complete short right to Olabisi Johnson for 6 yards (tackle by Isaac Yiadom),2.520,2.790
4,7:21,2,4,DEN 40,23,20,Kirk Cousins sacked by Shelby Harris for -1 yards,2.790,1.950
4,6:37,3,5,DEN 41,23,20,Kirk Cousins pass complete short right to Stefon Diggs for 9 yards (tackle by Duke Dawson),1.950,3.450
4,6:10,1,10,DEN 32,23,26,"Kirk Cousins pass complete short left to Kyle Rudolph for 32 yards, touchdown",3.450,7.000
4,6:01,,,DEN 15,23,27,Dan Bailey kicks extra point good,0.000,0.000
4,6:01,,,MIN 35,23,27,"Dan Bailey kicks off 67 yards, returned by Diontae Spencer for 42 yards (tackle by Mackensie Alexander)",0.000,1.600
4,5:55,1,10,DEN 40,23,27,Brandon Allen pass incomplete deep left intended for Courtland Sutton,1.600,1.050
4,5:50,2,10,DEN 40,23,27,Brandon Allen sacked by Jaleel Johnson for -3 yards,1.050,-0.030
4,5:06,3,13,DEN 37,23,27,Brandon Allen pass complete short right to Royce Freeman for 14 yards (tackle by Anthony Barr),-0.030,2.320
4,4:58,1,10,MIN 49,23,27,Royce Freeman left guard for 2 yards (tackle by Armon Watts and Danielle Hunter),2.320,2.050
4,4:22,2,8,MIN 47,23,27,"Phillip Lindsay left end for 5 yards (tackle by Trae Waynes). Penalty on Andrew Beck: Offensive Holding, 10 yards",2.050,1.380
4,4:16,2,13,DEN 48,23,27,Brandon Allen pass complete short left to Courtland Sutton for 12 yards (tackle by Anthony Barr),1.380,2.280
4,3:32,3,1,MIN 40,23,27,"Penalty on Garett Bolles: False Start, 5 yards (no play)",2.280,1.620
4,3:32,3,6,MIN 45,23,27,Brandon Allen pass incomplete short right,1.620,0.270
4,3:27,4,6,MIN 45,23,27,Brandon Allen pass complete short middle to Noah Fant for 11 yards (tackle by Anthony Barr),0.270,3.310
4,2:46,1,10,MIN 34,23,27,Phillip Lindsay up the middle for 4 yards (tackle by Jayron Kearse),3.310,3.310
4,2:04,2,6,MIN 30,23,27,Brandon Allen pass incomplete short middle intended for Troy Fumagalli (defended by Jayron Kearse),3.310,2.610
4,2:01,3,6,MIN 30,23,27,Brandon Allen pass incomplete deep right intended for Noah Fant,2.610,1.430
4,1:57,4,6,MIN 30,23,27,Brandon Allen pass complete short middle to Tim Patrick for 6 yards (tackle by Mike Hughes),1.430,3.970
4,1:32,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:32,1,10,MIN 24,23,27,Phillip Lindsay left guard for 5 yards (tackle by Eric Kendricks),3.970,4.120
4,1:05,2,5,MIN 19,23,27,Brandon Allen pass incomplete deep left intended for Tim Patrick,4.120,3.410
4,0:59,3,5,MIN 19,23,27,Brandon Allen pass complete short middle to Tim Patrick for 4 yards (tackle by Trae Waynes),3.410,2.590
4,0:33,,,,,,Timeout #3 by Denver Broncos,,
4,0:33,4,1,MIN 15,23,27,Brandon Allen right end for 11 yards (tackle by Jayron Kearse),2.590,6.280
4,0:10,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:10,1,4,MIN 4,23,27,Brandon Allen pass incomplete short right intended for Tim Patrick (defended by Trae Waynes),6.280,5.340
4,0:06,2,4,MIN 4,23,27,Brandon Allen pass incomplete short left intended for Noah Fant (defended by Jayron Kearse),5.340,4.490
4,0:02,3,4,MIN 4,23,27,Brandon Allen pass incomplete short right intended for Noah Fant,4.490,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
