Quarter,Time,Down,ToGo,Location,LAC,DAL,Detail,EPB,EPA
2,3:40,3,4,DAL 29,0,0,Philip Rivers pass complete short middle to Hunter Henry for 22 yards (tackle by Xavier Woods),2.810,5.600
2,3:13,1,7,DAL 7,0,0,Austin Ekeler right end for -2 yards (tackle by Jaylon Smith),5.600,0.000
2,2:35,,,,,,Timeout #1 by Dallas Cowboys,0.000,-4.380
2,2:35,2,9,DAL 9,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Jaylon Smith),4.380,0.000
2,2:29,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-3.360
2,2:29,3,9,DAL 9,0,0,Philip Rivers pass complete short middle to Austin Ekeler for 5 yards (tackle by Byron Jones),3.360,3.030
2,2:00,4,4,DAL 4,3,0,Nick Novak 22 yard field goal good,3.030,3.000
2,1:56,,,LAC 35,3,0,"Drew Kaser kicks off 65 yards, returned by Ryan Switzer for 33 yards (tackle by Desmond King)",0.000,-1.140
2,1:49,1,10,DAL 33,3,0,Dak Prescott pass complete short middle to Jason Witten for 6 yards (tackle by Adrian Phillips and Denzel Perryman),1.140,1.400
2,1:26,2,4,DAL 39,3,0,Dak Prescott pass complete short right to Terrance Williams for 7 yards (tackle by Trevor Williams),1.400,1.990
2,1:10,1,10,DAL 46,3,0,"Dak Prescott pass complete short right to Terrance Williams for 6 yards (tackle by Trevor Williams). Penalty on Terrance Williams: Offensive Pass Interference, 10 yards (no play)",1.990,1.330
2,1:03,1,20,DAL 36,3,0,Dak Prescott pass complete short right to Rod Smith for 3 yards (tackle by Casey Hayward),1.330,0.510
2,0:38,2,17,DAL 39,3,0,Dak Prescott pass complete short left to Jason Witten for 8 yards (tackle by Desmond King),0.510,0.000
2,0:33,,,,,,Timeout #2 by Dallas Cowboys,0.000,-0.890
2,0:33,3,9,DAL 47,3,0,Dak Prescott pass complete short middle to Jason Witten for 4 yards (tackle by Adrian Phillips),0.890,0.000
2,0:25,,,,,,Timeout #2 by Los Angeles Chargers,0.000,0.000
2,0:25,4,5,LAC 49,3,0,"Chris Jones punts 33 yards, fair catch by Travis Benjamin",0.000,0.140
2,0:16,1,10,LAC 16,3,0,Philip Rivers kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,LAC,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,3,0,"Dan Bailey kicks off 58 yards, returned by Desmond King for 16 yards (tackle by Kyle Wilber)",0.000,-0.480
3,14:54,1,10,LAC 23,3,0,Melvin Gordon left end for 11 yards (tackle by Jeff Heath),0.480,1.200
3,14:14,1,10,LAC 34,3,0,Melvin Gordon right tackle for 7 yards (tackle by Demarcus Lawrence and Anthony Hitchens),1.200,1.600
3,13:36,2,3,LAC 41,3,0,Melvin Gordon middle for 1 yard (tackle by Anthony Hitchens),1.600,1.030
3,12:53,3,2,LAC 42,3,0,Philip Rivers pass complete deep left to Austin Ekeler for 38 yards (tackle by Jeff Heath),1.030,4.240
3,12:14,1,10,DAL 20,3,0,Melvin Gordon middle for 1 yard (tackle by Maliek Collins and Benson Mayowa),4.240,3.820
3,11:40,2,9,DAL 19,3,0,Melvin Gordon middle for 5 yards (tackle by Anthony Hitchens),3.820,3.890
3,10:57,3,4,DAL 14,3,0,Philip Rivers pass complete short right to Keenan Allen for 10 yards (tackle by Anthony Brown),3.890,6.280
3,10:22,1,4,DAL 4,3,0,Melvin Gordon right guard for no gain (tackle by Justin Durant),6.280,5.340
3,9:45,2,4,DAL 4,3,0,Melvin Gordon left end for 1 yard (tackle by Justin Durant),5.340,4.720
3,9:06,3,3,DAL 3,9,0,"Philip Rivers pass complete short middle to Hunter Henry for 3 yards, touchdown",4.720,7.000
3,8:59,,,DAL 15,9,0,Nick Novak kicks extra point no good,0.000,-1.000
3,8:59,,,LAC 35,9,0,"Drew Kaser kicks off 63 yards, returned by Ryan Switzer for 32 yards (tackle by Desmond King)",0.000,-1.200
3,8:54,1,10,DAL 34,9,0,Dak Prescott pass complete short left to Dez Bryant for 10 yards (tackle by Casey Hayward),1.200,1.860
3,8:27,1,10,DAL 44,9,0,Alfred Morris middle for 3 yards (tackle by Denzel Perryman),1.860,1.720
3,7:54,2,7,DAL 47,9,0,Dak Prescott pass incomplete deep left intended for Dez Bryant,1.720,1.030
3,7:49,3,7,DAL 47,9,0,Dak Prescott pass complete short middle to Cole Beasley for 12 yards (tackle by Denzel Perryman),1.030,2.850
3,7:16,1,10,LAC 41,9,0,Alfred Morris left tackle for 5 yards (tackle by Jahleel Addae and Tre Boston),2.850,2.980
3,6:46,2,5,LAC 36,9,0,Alfred Morris middle for 2 yards (tackle by Denzel Perryman),2.980,2.540
3,6:10,3,3,LAC 34,9,0,"Dak Prescott left end for 34 yards. Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",2.540,1.220
3,6:02,3,13,LAC 44,9,0,Dak Prescott pass incomplete,1.220,0.330
3,5:53,4,13,LAC 44,9,0,"Chris Jones punts 36 yards, fair catch by Travis Benjamin",0.330,0.380
3,5:45,1,10,LAC 8,9,0,Melvin Gordon middle for 6 yards (tackle by Jeff Heath),-0.380,-0.320
3,5:06,2,4,LAC 14,9,0,Philip Rivers pass complete short middle to Melvin Gordon for 16 yards (tackle by Orlando Scandrick),-0.320,0.940
3,4:25,1,10,LAC 30,9,0,Philip Rivers pass complete short right to Travis Benjamin for -1 yards (tackle by Demarcus Lawrence and Damien Wilson),0.940,0.260
3,3:42,2,11,LAC 29,9,0,Philip Rivers pass incomplete deep middle intended for Tyrell Williams (defended by Anthony Brown),0.260,-0.430
3,3:36,3,11,LAC 29,9,0,Philip Rivers pass complete short right to Tyrell Williams for 31 yards (tackle by Xavier Woods),-0.430,2.920
3,3:01,1,10,DAL 40,9,0,Melvin Gordon left end for no gain (tackle by Jaylon Smith),2.920,2.370
3,2:22,2,10,DAL 40,9,0,Philip Rivers pass complete short middle to Keenan Allen for 13 yards (tackle by Orlando Scandrick). Penalty on Maliek Collins: Defensive Offside (Declined),2.370,3.780
3,1:52,1,10,DAL 27,15,0,"Philip Rivers pass complete deep right to Tyrell Williams for 27 yards, touchdown",3.780,7.000
3,1:46,,,DAL 15,16,0,Drew Kaser kicks extra point good,0.000,0.000
3,1:46,,,LAC 35,16,0,"Drew Kaser kicks off 65 yards, returned by Ryan Switzer for 19 yards (tackle by Derek Watt)",0.000,-0.150
3,1:42,1,10,DAL 19,16,0,Alfred Morris left tackle for 5 yards (tackle by Joey Bosa),0.150,0.340
3,1:13,2,5,DAL 24,16,0,"Dak Prescott middle for 2 yards (tackle by Damion Square). Penalty on La'el Collins: Offensive Holding, 10 yards (no play)",0.340,-1.110
3,0:53,2,15,DAL 14,16,0,Dak Prescott pass complete short right to Alfred Morris for 13 yards (tackle by Jahleel Addae),-1.110,-0.030
3,0:17,3,2,DAL 27,16,0,Rod Smith middle for 3 yards (tackle by Corey Liuget and Melvin Ingram),-0.030,0.940
Quarter,Time,Down,ToGo,Location,LAC,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 30,16,0,Dak Prescott pass complete short middle to Rod Smith for 4 yards (tackle by Adrian Phillips),0.940,0.930
4,14:35,2,6,DAL 34,16,0,"Dak Prescott pass incomplete deep right intended for Terrance Williams (defended by Trevor Williams). Penalty on Trevor Williams: Defensive Pass Interference, 36 yards, Penalty on Corey Liuget: Defensive Offside (Declined) (no play)",0.930,3.580
4,14:26,1,10,LAC 30,16,0,Rod Smith right guard for 4 yards (tackle by Joey Bosa),3.580,3.570
4,13:56,2,6,LAC 26,16,0,Dak Prescott pass incomplete deep left intended for Terrance Williams,3.570,2.870
4,13:50,3,6,LAC 26,16,0,Dak Prescott pass complete deep right to Dez Bryant for 18 yards (tackle by Trevor Williams),2.870,5.370
4,13:19,1,8,LAC 8,16,0,Rod Smith middle for 6 yards (tackle by Jahleel Addae and Tre Boston),5.370,5.720
4,12:51,2,2,LAC 2,16,6,"Rod Smith middle for 2 yards, touchdown",5.720,7.000
4,12:48,,,LAC 2,16,6,"Two Point Attempt: Dak Prescott pass incomplete intended for Terrance Williams, conversion fails",0.000,-1.000
4,12:48,,,DAL 35,16,6,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
4,12:48,1,10,LAC 25,16,6,Philip Rivers pass complete short middle to Keenan Allen for 14 yards (tackle by Jeff Heath),0.610,1.530
4,12:13,1,10,LAC 39,16,6,Travis Benjamin left end for 6 yards (tackle by Jeff Heath),1.530,1.800
4,11:43,2,4,LAC 45,16,6,Melvin Gordon right end for 9 yards (tackle by Jaylon Smith),1.800,2.520
4,10:58,1,10,DAL 46,16,6,Philip Rivers pass incomplete short left intended for Keenan Allen,2.520,1.980
4,10:52,2,10,DAL 46,16,6,Philip Rivers pass complete short right to Melvin Gordon for 4 yards (tackle by Lewis Neal),1.980,1.820
4,10:10,3,6,DAL 42,22,6,"Philip Rivers pass complete short left to Keenan Allen for 42 yards, touchdown",1.820,7.000
4,9:58,,,DAL 15,22,6,Drew Kaser kicks extra point no good,0.000,-1.000
4,9:58,,,LAC 35,22,6,"Drew Kaser kicks off 65 yards, touchback",0.000,-0.610
4,9:58,1,10,DAL 25,22,6,Dak Prescott pass complete short right to Terrance Williams for 7 yards (tackle by Trevor Williams and Adrian Phillips),0.610,1.010
4,9:34,2,3,DAL 32,22,6,Dak Prescott pass complete deep middle to Terrance Williams for 38 yards (tackle by Trevor Williams),1.010,3.580
4,9:01,1,10,LAC 30,22,6,Dak Prescott pass incomplete deep left intended for Dez Bryant (defended by Casey Hayward),3.580,3.030
4,8:56,2,10,LAC 30,22,6,Dak Prescott for no gain. Travis Frederick fumbles,3.030,3.530
4,8:26,3,1,LAC 21,22,6,Dak Prescott pass complete short right to Jason Witten for 8 yards (tackle by Tre Boston),3.530,4.710
4,8:00,1,10,LAC 13,28,6,"Dak Prescott pass incomplete short left intended for Cole Beasley is intercepted by Desmond King at LAC-10 and returned for 90 yards, touchdown",4.710,-7.000
4,,,,DAL 15,28,6,Drew Kaser kicks extra point no good,,
4,7:41,,,LAC 35,28,6,"Drew Kaser kicks off 65 yards, touchback",0.000,-0.610
4,7:41,1,10,DAL 25,28,6,Dak Prescott pass complete short middle to Jason Witten for 7 yards (tackle by Denzel Perryman),0.610,1.010
4,7:18,2,3,DAL 32,28,6,Dak Prescott pass complete short left to Cole Beasley for 7 yards (tackle by Desmond King),1.010,1.530
4,6:49,1,10,DAL 39,28,6,Dak Prescott pass incomplete deep left intended for Brice Butler is intercepted by Casey Hayward at LAC-43,1.530,-1.800
4,6:42,1,10,LAC 43,28,6,Melvin Gordon middle for -2 yards (tackle by Lewis Neal),1.800,0.000
4,6:38,,,,,,Timeout #1 by Dallas Cowboys,0.000,-0.980
4,6:38,2,12,LAC 41,28,6,Melvin Gordon left end for 3 yards (tackle by Jaylon Smith),0.980,0.000
4,6:31,,,,,,Timeout #2 by Dallas Cowboys,0.000,-0.690
4,6:31,3,9,LAC 44,28,6,"Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Jourdan Lewis: Defensive Pass Interference, 10 yards (no play)",0.690,2.520
4,6:27,1,10,DAL 46,28,6,Melvin Gordon left end for 2 yards (tackle by Anthony Hitchens),2.520,2.250
4,5:49,2,8,DAL 44,28,6,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",2.250,1.570
4,5:31,2,13,DAL 49,28,6,Melvin Gordon right end for 8 yards (tackle by Jaylon Smith),1.570,0.000
4,5:24,,,,,,Timeout #3 by Dallas Cowboys,0.000,-1.950
4,5:24,3,5,DAL 41,28,6,Philip Rivers pass complete short middle to Keenan Allen for 18 yards (tackle by Anthony Brown),1.950,4.040
4,4:43,1,10,DAL 23,28,6,Melvin Gordon left tackle for 1 yard (tackle by Richard Ash),4.040,3.630
4,3:58,2,9,DAL 22,28,6,Melvin Gordon right tackle for 9 yards (tackle by Anthony Hitchens),3.630,4.710
4,3:16,1,10,DAL 13,28,6,Austin Ekeler right tackle for 7 yards (tackle by Chidobe Awuzie and Jaylon Smith),4.710,5.340
4,2:32,2,3,DAL 6,28,6,Austin Ekeler middle for 1 yard (tackle by Richard Ash and Demarcus Lawrence),5.340,4.780
4,2:00,3,2,DAL 5,28,6,"Penalty on Richard Ash: Encroachment, 3 yards (no play)",4.780,6.740
4,2:00,1,2,DAL 2,28,6,Philip Rivers kneels for -2 yards,6.740,5.340
4,1:18,2,4,DAL 4,28,6,Philip Rivers kneels for -1 yards,5.340,4.260
4,0:38,3,5,DAL 5,28,6,Philip Rivers kneels for -1 yards,4.260,2.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
