Quarter,Time,Down,ToGo,Location,HOU,NOR,Detail,EPB,EPA
4,1:57,1,10,HOU 44,21,24,Alvin Kamara right guard for 11 yards (tackle by Johnathan Joseph),2.650,3.380
4,1:51,,,,,,Timeout #1 by Houston Texans,,
4,1:51,1,10,HOU 33,21,24,Latavius Murray right tackle for 4 yards (tackle by Benardrick McKinney),3.380,3.380
4,1:47,,,,,,Timeout #2 by Houston Texans,,
4,1:47,2,6,HOU 29,21,24,Alvin Kamara left end for -5 yards (tackle by Zach Cunningham),3.380,2.010
4,1:41,,,,,,Timeout #3 by Houston Texans,,
4,1:41,3,11,HOU 34,21,24,Alvin Kamara left tackle for 5 yards (tackle by Jahleel Addae),2.010,1.520
4,0:55,,,,,,Timeout #2 by New Orleans Saints,,
4,0:55,4,6,HOU 29,21,27,Wil Lutz 47 yard field goal good,1.520,3.000
4,0:50,,,NOR 35,21,27,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,0:50,1,10,HOU 25,21,27,Deshaun Watson pass complete deep left to DeAndre Hopkins for 38 yards (tackle by Marshon Lattimore),0.610,3.120
4,0:43,1,10,NOR 37,27,27,"Deshaun Watson pass complete deep middle to Kenny Stills for 37 yards, touchdown, touchdown",3.120,7.000
4,0:37,,,NOR 15,27,27,"Ka'imi Fairbairn kicks extra point no good wide right. Penalty on Chauncey Gardner-Johnson: Roughing the Kicker, 8 yards (no play)",0.000,0.000
4,0:37,,,NOR 7,28,27,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,0:37,,,HOU 35,28,27,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,0:37,1,10,NOR 25,28,27,Drew Brees pass complete short right to Ted Ginn for 15 yards (tackle by Johnathan Joseph),0.610,1.600
4,0:21,1,10,NOR 40,28,27,Drew Brees spiked the ball,1.600,1.050
4,0:20,2,10,NOR 40,28,27,Drew Brees pass complete short left to Michael Thomas for 11 yards (tackle by Justin Reid and Keion Crossen),1.050,2.320
4,0:07,1,10,HOU 49,28,27,Drew Brees spiked the ball,2.320,1.780
4,0:06,2,10,HOU 49,28,27,Drew Brees pass complete short right to Ted Ginn for 9 yards (tackle by Aaron Colvin),1.780,2.280
4,0:02,,,,,,Timeout #3 by New Orleans Saints,,
4,0:02,3,1,HOU 40,28,30,Wil Lutz 58 yard field goal good,2.280,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
