Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
2,12:30,1,10,JAX 22,3,0,"Blaine Gabbert pass complete short left to Zach Potter for 2 yards (tackle by Josh Robinson). Penalty on Guy Whimper: Offensive Holding, 10 yards (no play)",0.410,-0.660
2,12:06,1,20,JAX 12,3,0,Blaine Gabbert pass complete short right to Rashad Jennings for 9 yards (tackle by Chad Greenway),-0.660,-0.270
2,11:19,2,11,JAX 21,3,0,Blaine Gabbert pass complete deep right to Laurent Robinson for 26 yards (tackle by Harrison Smith and Chris Cook),-0.270,2.060
2,10:37,1,10,JAX 47,3,0,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 8 yards (tackle by Erin Henderson),2.060,2.600
2,10:10,2,2,MIN 45,3,0,Rashad Jennings right guard for 4 yards (tackle by Jasper Brinkley),2.600,2.850
2,9:33,1,10,MIN 41,3,0,"Blaine Gabbert for 2 yards. Penalty on Jasper Brinkley: Defensive Holding, 5 yards",2.850,3.310
2,9:06,1,10,MIN 34,3,0,Maurice Jones-Drew left end for 4 yards (tackle by Christian Ballard),3.310,3.310
2,8:21,2,6,MIN 30,3,0,Maurice Jones-Drew up the middle for 2 yards (tackle by Erin Henderson and Harrison Smith),3.310,2.870
2,7:35,3,4,MIN 28,3,0,Blaine Gabbert pass complete short left to Cecil Shorts for 7 yards (tackle by Josh Robinson),2.870,4.170
2,6:53,1,10,MIN 21,3,0,Rashad Jennings left tackle for 9 yards (tackle by Mistral Raymond),4.170,5.160
2,6:11,2,1,MIN 12,3,0,Maurice Jones-Drew up the middle for 11 yards (tackle by Jasper Brinkley and Harrison Smith),5.160,6.970
2,5:27,1,1,MIN 1,9,0,"Blaine Gabbert pass complete short right to Marcedes Lewis for 1 yard, touchdown",6.970,7.000
2,5:27,,,MIN 2,9,0,Josh Scobee kicks extra point no good,0.000,-1.000
2,5:21,,,JAX 35,9,0,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
2,5:21,1,10,MIN 20,9,0,Christian Ponder pass incomplete short left intended for Michael Jenkins,0.280,-0.270
2,5:17,2,10,MIN 20,9,0,Christian Ponder pass complete short right to Kyle Rudolph for 2 yards (tackle by Aaron Ross and Russell Allen),-0.270,-0.690
2,4:34,3,8,MIN 22,9,0,Christian Ponder pass complete short right to Kyle Rudolph for 15 yards (tackle by Dwight Lowery),-0.690,1.400
2,3:58,1,10,MIN 37,9,0,Christian Ponder pass incomplete short left intended for Michael Jenkins (defended by Paul Posluszny),1.400,0.860
2,3:51,2,10,MIN 37,9,0,Toby Gerhart left end for 7 yards (tackle by William Middleton),0.860,1.090
2,3:11,3,3,MIN 44,9,0,Christian Ponder pass incomplete short right intended for Kyle Rudolph (defended by Rashean Mathis),1.090,-0.460
2,3:06,4,3,MIN 44,9,0,"Chris Kluwe punts 41 yards, returned by Maurice Jones-Drew for 4 yards (tackle by Rhett Ellison)",-0.460,-0.150
2,2:54,1,10,JAX 19,9,0,Maurice Jones-Drew up the middle for 1 yard (tackle by Chad Greenway),0.150,0.000
2,2:46,,,,9,0,Timeout #1 by Minnesota Vikings,0.000,-0.200
2,2:46,2,9,JAX 20,9,0,Maurice Jones-Drew right guard for 1 yard (tackle by Jasper Brinkley),-0.200,0.000
2,2:42,,,,9,0,Timeout #2 by Minnesota Vikings,0.000,-0.810
2,2:42,3,8,JAX 21,9,0,Blaine Gabbert pass incomplete short middle intended for Maurice Jones-Drew,-0.810,-1.960
2,2:40,4,8,JAX 21,9,0,"Bryan Anger punts 45 yards, returned by Marcus Sherels for 7 yards (tackle by Antwon Blake)",-1.960,-1.660
2,2:28,1,10,MIN 41,9,0,Christian Ponder pass complete short left to Percy Harvin for 16 yards (tackle by Aaron Ross),1.660,2.720
2,2:01,1,10,JAX 43,9,0,Christian Ponder pass complete short left to Percy Harvin for 5 yards,2.720,2.850
2,1:56,2,5,JAX 38,9,0,Christian Ponder pass complete short right to Percy Harvin for 11 yards (tackle by Dawan Landry),2.850,3.780
2,1:50,1,10,JAX 27,9,0,Adrian Peterson right tackle for 8 yards (tackle by Dwight Lowery),3.780,4.350
2,1:29,2,2,JAX 19,9,0,Christian Ponder pass complete short right to Michael Jenkins for 14 yards (tackle by Aaron Ross),4.350,0.000
2,1:15,,,,9,0,Timeout #1 by Jacksonville Jaguars,0.000,6.060
2,1:15,1,5,JAX 5,9,0,Adrian Peterson right tackle for 2 yards (tackle by Russell Allen and Dwight Lowery),6.060,5.530
2,0:45,2,3,JAX 3,9,6,"Adrian Peterson up the middle for 3 yards, touchdown",5.530,7.000
2,0:45,,,JAX 2,9,7,Blair Walsh kicks extra point good,0.000,0.000
2,0:41,,,MIN 35,9,7,"Blair Walsh kicks off 69 yards, returned by Jalen Parmele for 20 yards (tackle by Christian Ballard)",0.000,-0.140
2,0:37,1,10,JAX 16,9,7,Blaine Gabbert kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,9,7,"Blair Walsh kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,JAX 20,9,7,Maurice Jones-Drew right tackle for 3 yards (tackle by Letroy Guion and Erin Henderson),0.280,0.140
3,14:17,2,7,JAX 23,9,7,"Penalty on Guy Whimper: False Start, 5 yards (no play)",0.140,-0.630
3,14:02,2,12,JAX 18,9,7,Blaine Gabbert pass complete short left to Laurent Robinson for 7 yards (tackle by Chad Greenway),-0.630,-0.300
3,13:18,3,5,JAX 25,9,7,Blaine Gabbert pass complete short right to Montell Owens for 8 yards (tackle by Antoine Winfield),-0.300,1.140
3,13:00,1,10,JAX 33,9,7,Maurice Jones-Drew left guard for 4 yards (tackle by Chad Greenway),1.140,1.130
3,12:20,2,6,JAX 37,9,7,Maurice Jones-Drew left guard for 7 yards (tackle by Harrison Smith),1.130,1.860
3,11:41,1,10,JAX 44,9,7,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Kevin Williams at JAX-44",1.860,-2.650
3,11:36,1,10,JAX 44,9,7,Adrian Peterson right end for 19 yards (tackle by Dawan Landry),2.650,3.910
3,11:17,1,10,JAX 25,9,7,Christian Ponder pass complete short middle to Percy Harvin for 19 yards (tackle by Dwight Lowery),3.910,5.830
3,10:25,1,6,JAX 6,9,7,Adrian Peterson up the middle for 4 yards (tackle by Tyson Alualu),5.830,5.720
3,9:46,2,2,JAX 2,9,13,"Adrian Peterson up the middle for 2 yards, touchdown",5.720,7.000
3,9:46,,,JAX 2,9,14,Blair Walsh kicks extra point good,0.000,0.000
3,9:42,,,MIN 35,9,14,"Blair Walsh kicks off 69 yards, returned by Jalen Parmele for 22 yards (tackle by Brandon Burton)",0.000,0.040
3,9:38,1,10,JAX 18,9,14,Maurice Jones-Drew left end for no gain (tackle by Chad Greenway and Erin Henderson),0.040,-0.490
3,8:59,2,10,JAX 18,9,14,Blaine Gabbert pass complete short right to Greg Jones for 9 yards (tackle by Harrison Smith and Erin Henderson),-0.490,-0.020
3,8:28,3,1,JAX 27,9,14,Maurice Jones-Drew left end for 10 yards (tackle by Chad Greenway),-0.020,1.400
3,7:46,1,10,JAX 37,9,14,Blaine Gabbert pass complete short left to Laurent Robinson for 6 yards (tackle by Chad Greenway and Jasper Brinkley),1.400,1.670
3,7:07,2,4,JAX 43,9,14,Jalen Parmele up the middle for no gain (tackle by Chad Greenway),1.670,0.960
3,6:22,3,4,JAX 43,9,14,Blaine Gabbert pass incomplete short right intended for Justin Blackmon (defended by Brian Robison),0.960,-0.520
3,6:18,4,4,JAX 43,9,14,"Bryan Anger punts 57 yards, touchback",-0.520,-0.280
3,6:12,1,10,MIN 20,9,14,"Christian Ponder sacked by Terrance Knighton for -4 yards. Christian Ponder fumbles (forced by Terrance Knighton), recovered by C.J. Mosley at MIN-16",0.280,-4.510
3,6:05,1,10,MIN 16,9,14,Blaine Gabbert right tackle for 4 yards (tackle by Erin Henderson),4.510,4.570
3,5:33,2,6,MIN 12,9,14,Maurice Jones-Drew left guard for 4 yards (tackle by Jasper Brinkley),4.570,4.620
3,4:48,3,2,MIN 8,9,14,Blaine Gabbert pass incomplete short middle intended for Maurice Jones-Drew,4.620,2.990
3,4:44,4,2,MIN 8,12,14,Josh Scobee 26 yard field goal good,2.990,3.000
3,4:40,,,JAX 35,12,14,"Josh Scobee kicks off 72 yards, returned by Percy Harvin for 30 yards (tackle by Kevin Rutland)",0.000,0.480
3,4:35,1,10,MIN 23,12,14,Christian Ponder pass complete short right to Michael Jenkins for 15 yards (tackle by Russell Allen and C.J. Mosley),0.480,1.470
3,3:58,1,10,MIN 38,12,14,Toby Gerhart left end for 6 yards (tackle by Paul Posluszny),1.470,1.730
3,3:22,2,4,MIN 44,12,14,Percy Harvin up the middle for 9 yards (tackle by Dawan Landry),1.730,2.460
3,2:45,1,10,JAX 47,12,14,Christian Ponder pass complete short left to Percy Harvin for 13 yards (tackle by Kevin Rutland),2.460,3.310
3,2:22,1,10,JAX 34,12,14,Toby Gerhart left end for 2 yards (tackle by Dwight Lowery and William Middleton),3.310,3.040
3,1:43,2,8,JAX 32,12,14,Christian Ponder sacked by Tyson Alualu for 0 yards,3.040,2.350
3,0:57,3,8,JAX 32,12,14,Christian Ponder pass complete deep left to Kyle Rudolph for 29 yards (tackle by Kevin Rutland),2.350,6.510
3,0:28,1,3,JAX 3,12,14,Percy Harvin up the middle for -1 yards (tackle by Kyle Bosworth),6.510,5.340
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,JAX 4,12,14,Christian Ponder pass complete short right to Matt Asiata for 2 yards (tackle by Paul Posluszny),5.340,4.950
4,14:17,3,2,JAX 2,12,14,Christian Ponder pass incomplete short right intended for John Carlson (defended by Russell Allen),4.950,3.250
4,14:12,4,2,JAX 2,12,17,Blair Walsh 20 yard field goal good,3.250,3.000
4,14:09,,,MIN 35,12,17,"Blair Walsh kicks off 71 yards, touchback",0.000,0.280
4,14:09,1,10,JAX 20,12,17,Blaine Gabbert pass complete deep middle to Laurent Robinson for 19 yards (tackle by Harrison Smith),0.280,1.530
4,13:32,1,10,JAX 39,12,17,Blaine Gabbert pass complete short left to Justin Blackmon for 1 yard (tackle by Josh Robinson),1.530,1.120
4,12:50,2,9,JAX 40,12,17,"Blaine Gabbert sacked by Erin Henderson for -7 yards. Penalty on Letroy Guion: Unnecessary Roughness, 22 yards",1.120,2.590
4,12:50,1,10,MIN 45,12,17,Maurice Jones-Drew right end for 1 yard (tackle by Brian Robison),2.590,2.180
4,11:49,2,9,MIN 44,12,17,Blaine Gabbert pass incomplete deep middle intended for Mike Thomas (defended by Mistral Raymond),2.180,1.490
4,11:43,3,9,MIN 44,12,17,Blaine Gabbert pass complete short right to Marcedes Lewis for 12 yards (tackle by Chad Greenway),1.490,3.450
4,11:03,1,10,MIN 32,12,17,Maurice Jones-Drew up the middle for 3 yards (tackle by Fred Evans),3.450,3.310
4,10:24,2,7,MIN 29,12,17,Maurice Jones-Drew right guard for no gain (tackle by Chad Greenway),3.310,2.610
4,9:45,3,7,MIN 29,12,17,Blaine Gabbert pass incomplete short right intended for Cecil Shorts (defended by Chad Greenway),2.610,1.500
4,9:40,4,7,MIN 29,15,17,Josh Scobee 47 yard field goal good,1.500,3.000
4,9:35,,,JAX 35,15,17,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
4,9:35,1,10,MIN 20,15,17,Adrian Peterson up the middle for 5 yards (tackle by Tyson Alualu and Jeremy Mincey),0.280,0.410
4,9:35,2,5,MIN 25,15,17,Christian Ponder pass complete deep right to Michael Jenkins for 16 yards,0.410,1.660
4,8:42,1,10,MIN 41,15,17,Christian Ponder pass complete short left to Percy Harvin for 20 yards (tackle by Rashean Mathis),1.660,2.980
4,7:58,1,10,JAX 39,15,17,Adrian Peterson left guard for 1 yard (tackle by Russell Allen and Paul Posluszny),2.980,2.580
4,7:25,2,9,JAX 38,15,17,Christian Ponder pass complete short left to Devin Aromashodu for 18 yards (tackle by Russell Allen),2.580,4.240
4,6:45,1,10,JAX 20,15,17,Percy Harvin up the middle for 7 yards (tackle by Jeremy Mincey),4.240,4.830
4,6:08,2,3,JAX 13,15,17,Christian Ponder pass incomplete short left intended for Percy Harvin,4.830,4.100
4,6:03,3,3,JAX 13,15,17,"Christian Ponder left end for 2 yards. Penalty on Charlie Johnson: Offensive Holding, 10 yards (no play)",4.100,2.610
4,5:43,3,13,JAX 23,15,17,Christian Ponder pass incomplete short middle intended for Kyle Rudolph,2.610,1.930
4,5:38,4,13,JAX 23,15,20,Blair Walsh 42 yard field goal good,1.930,3.000
4,5:33,,,MIN 35,15,20,"Blair Walsh kicks off 73 yards, touchback",0.000,0.280
4,5:33,1,10,JAX 20,15,20,Blaine Gabbert pass complete short left to Laurent Robinson for 8 yards (tackle by Chris Cook),0.280,0.000
4,5:06,,,,15,20,Timeout #1 by Jacksonville Jaguars,0.000,0.810
4,5:06,2,2,JAX 28,15,20,Maurice Jones-Drew left tackle for 1 yard (tackle by Erin Henderson),0.810,0.230
4,4:21,3,1,JAX 29,15,20,Blaine Gabbert up the middle for 1 yard,0.230,0.940
4,3:41,1,10,JAX 30,15,20,Blaine Gabbert sacked by Chris Cook for -11 yards,0.940,-1.150
4,3:06,2,21,JAX 19,15,20,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 3 yards (tackle by Antoine Winfield),-1.150,-1.350
4,2:30,3,18,JAX 22,15,20,Blaine Gabbert pass complete short right to Marcedes Lewis for 8 yards (tackle by Chris Cook),-1.350,-1.370
4,2:00,4,10,JAX 30,15,20,"Bryan Anger punts 56 yards, fair catch by Marcus Sherels",-1.370,0.280
4,1:51,1,10,MIN 14,15,20,Adrian Peterson left guard for 1 yard (tackle by Tyson Alualu),-0.280,0.000
4,1:46,,,,15,20,Timeout #2 by Jacksonville Jaguars,0.000,-0.640
4,1:46,2,9,MIN 15,15,20,Adrian Peterson right end for 3 yards (tackle by Aaron Ross and Paul Posluszny). Penalty on Michael Jenkins: Illegal Cut (Declined),-0.640,-0.920
4,1:35,3,6,MIN 18,15,20,Toby Gerhart left guard for -1 yards (tackle by Jeremy Mincey),-0.920,0.000
4,1:31,,,,15,20,Timeout #3 by Jacksonville Jaguars,0.000,-2.320
4,1:31,4,7,MIN 17,15,20,Chris Kluwe punts 59 yards,-2.320,-0.540
4,1:18,1,10,JAX 24,15,20,Blaine Gabbert pass complete short right to Cecil Shorts for 20 yards (tackle by Mistral Raymond),0.540,1.860
4,1:03,1,10,JAX 44,15,20,Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 7 yards (tackle by Erin Henderson),1.860,2.260
4,0:43,2,3,MIN 49,15,20,Blaine Gabbert pass incomplete short right intended for Cecil Shorts,2.260,1.550
4,0:36,3,3,MIN 49,15,20,Blaine Gabbert pass incomplete short right intended for Justin Blackmon (defended by Chad Greenway),1.550,0.000
4,0:32,4,3,MIN 49,15,20,Blaine Gabbert pass complete short left to Justin Blackmon for 10 yards,0.000,2.980
4,0:27,1,10,MIN 39,21,20,"Blaine Gabbert pass complete deep right to Cecil Shorts for 39 yards, touchdown",2.980,7.000
4,0:27,,,,23,20,"Two Point Attempt: Blaine Gabbert pass complete to Justin Blackmon, conversion succeeds",0.000,1.000
4,0:20,,,JAX 35,23,20,"Josh Scobee kicks off 56 yards, returned by Matt Asiata for 22 yards (tackle by Montell Owens)",0.000,1.000
4,0:14,1,10,MIN 31,23,20,Christian Ponder pass complete deep right to Devin Aromashodu for 26 yards (tackle by Montell Owens),1.000,2.720
4,0:07,1,10,JAX 43,23,20,Christian Ponder pass complete short right to Kyle Rudolph for 6 yards (tackle by Dawan Landry),2.720,2.990
4,0:04,2,4,JAX 37,23,23,Blair Walsh 55 yard field goal good,2.990,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,
OT,15:00,,,JAX 35,23,23,"Josh Scobee kicks off 70 yards, returned by Percy Harvin for 30 yards (tackle by William Middleton)",0.000,0.610
OT,14:53,1,10,MIN 25,23,23,Adrian Peterson right guard for 10 yards (tackle by Paul Posluszny and Dawan Landry),0.610,1.270
OT,14:13,1,10,MIN 35,23,23,Christian Ponder pass complete short middle to Adrian Peterson for 3 yards (tackle by Russell Allen and C.J. Mosley),1.270,1.130
OT,13:38,2,7,MIN 38,23,23,Adrian Peterson up the middle for 20 yards (tackle by William Middleton and Dawan Landry),1.130,2.790
OT,12:55,1,10,JAX 42,23,23,Christian Ponder pass complete deep right to Devin Aromashodu for 17 yards (tackle by Dawan Landry),2.790,3.910
OT,12:46,1,10,JAX 25,23,23,Percy Harvin left end for 1 yard (tackle by Aaron Ross),3.910,3.500
OT,12:08,2,9,JAX 24,23,23,Adrian Peterson left guard for -4 yards (tackle by Daryl Smith),3.500,2.280
OT,11:36,3,13,JAX 28,23,23,Christian Ponder pass complete short left to Toby Gerhart for 8 yards (tackle by Dwight Lowery),2.280,2.170
OT,11:11,4,5,JAX 20,23,26,Blair Walsh 38 yard field goal good,2.170,3.000
OT,11:06,,,MIN 35,23,26,"Blair Walsh kicks off 63 yards, returned by Jalen Parmele for 21 yards (tackle by Tyrone McKenzie)",0.000,0.480
OT,11:00,1,10,JAX 23,23,26,Blaine Gabbert pass incomplete short left intended for Laurent Robinson,0.480,-0.070
OT,10:57,2,10,JAX 23,23,26,Maurice Jones-Drew right tackle for 8 yards (tackle by Kevin Williams and Chad Greenway),-0.070,0.300
OT,10:16,3,2,JAX 31,23,26,Blaine Gabbert pass incomplete short right intended for Laurent Robinson (defended by Harrison Smith),0.300,-1.310
OT,10:12,4,2,JAX 31,23,26,Blaine Gabbert pass incomplete deep right intended for Laurent Robinson,-1.310,0.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
