Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA
2,5:39,2,18,SEA 21,7,7,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Marcus Trufant and Jordan Babineaux),3.080,3.880
2,4:59,3,6,SEA 9,7,7,Matt Ryan pass incomplete short left intended for Roddy White (defended by Kelly Jennings),3.880,2.850
2,4:54,4,6,SEA 9,10,7,Matt Bryant 27 yard field goal good,2.850,3.000
2,,,,ATL 30,10,7,"Michael Koenen kicks off 65 yards, returned by Leon Washington for 23 yards (tackle by Ovie Mughelli)",0.000,0.810
2,4:45,1,10,SEA 28,10,7,Matt Hasselbeck pass incomplete deep left intended for Mike Williams,0.810,0.260
2,4:40,2,10,SEA 28,10,7,Matt Hasselbeck pass incomplete deep middle intended for Ben Obomanu,0.260,-0.430
2,4:35,,,,10,7,Timeout #2 by Seattle Seahawks,0.000,-0.430
2,4:35,3,10,SEA 28,10,7,Matt Hasselbeck pass incomplete deep left intended for Mike Williams,-0.430,-1.500
2,4:30,4,10,SEA 28,10,7,Jon Ryan punts 39 yards,-1.500,-1.140
2,4:21,1,10,ATL 33,10,7,Matt Ryan pass incomplete deep middle intended for Michael Jenkins,1.140,0.590
2,4:14,2,10,ATL 33,10,7,Matt Ryan pass incomplete short right intended for Roddy White,0.590,-0.100
2,4:10,3,10,ATL 33,10,7,Matt Ryan pass incomplete short left intended for Roddy White is intercepted by Jordan Babineaux at ATL-44 and returned for 17 yards,-0.100,-3.780
2,4:00,1,10,ATL 27,10,7,Marshawn Lynch left tackle for 4 yards (tackle by Mike Peterson),3.780,3.770
2,3:28,2,6,ATL 23,10,7,Marshawn Lynch left end for -2 yards (tackle by Corey Peters),3.770,2.810
2,2:48,3,8,ATL 25,10,7,Matt Hasselbeck pass complete short left to Brandon Stokley for 5 yards (tackle by Dunta Robinson),2.810,2.220
2,2:09,4,3,ATL 20,10,10,Olindo Mare 38 yard field goal good,2.220,3.000
2,,,,SEA 30,10,10,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
2,2:05,1,10,ATL 20,10,10,Jason Snelling middle for 1 yard (tackle by Raheem Brock),0.280,-0.130
2,2:00,2,9,ATL 21,10,10,Matt Ryan pass complete short right to Tony Gonzalez for 7 yards (tackle by Earl Thomas),-0.130,0.100
2,1:39,3,2,ATL 28,10,10,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Marcus Trufant),0.100,1.270
2,1:32,,,,10,10,Timeout #1 by Atlanta Falcons,0.000,1.270
2,1:32,1,10,ATL 35,10,10,Matt Ryan pass complete short left to Tony Gonzalez for 8 yards (tackle by Will Herring and Lawyer Milloy),1.270,1.800
2,1:07,2,2,ATL 43,10,10,Matt Ryan pass incomplete deep right intended for Roddy White,1.800,1.090
2,1:03,3,2,ATL 43,10,10,"Matt Ryan pass complete short right to Harry Douglas for 4 yards. Penalty on Kam Chancellor: Illegal Use of Hands, 5 yards (no play)",1.090,2.130
2,0:59,1,10,ATL 48,10,10,Matt Ryan pass incomplete deep left intended for Harry Douglas,2.130,1.580
2,0:54,2,10,ATL 48,10,10,"Matt Ryan sacked by Raheem Brock for -6 yards. Penalty on Raheem Brock: Face Mask (15 Yards), 15 yards",1.580,2.720
2,0:48,1,10,SEA 43,10,10,Matt Ryan pass incomplete deep middle intended for Tony Gonzalez,2.720,2.180
2,0:44,2,10,SEA 43,10,10,Matt Ryan pass incomplete short left intended for Harry Douglas,2.180,1.490
2,0:41,3,10,SEA 43,10,10,Matt Ryan pass complete short right to Roddy White for 15 yards (tackle by Kam Chancellor),1.490,3.710
2,0:35,,,,10,10,Timeout #2 by Atlanta Falcons,0.000,3.710
2,0:35,1,10,SEA 28,10,10,Matt Ryan pass incomplete short right intended for Tony Gonzalez,3.710,3.170
2,0:30,2,10,SEA 28,10,10,Matt Ryan for 4 yards,3.170,3.010
2,0:24,3,6,SEA 24,16,10,"Matt Ryan pass complete deep right to Michael Jenkins for 24 yards, touchdown",3.010,7.000
2,,,,SEA 2,17,10,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 30,17,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,0:19,1,10,SEA 20,17,10,Matt Hasselbeck kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,17,10,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,ATL 20,17,10,"Michael Turner left tackle for 18 yards (tackle by Kelly Jennings). Penalty on Harvey Dahl: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,14:33,1,20,ATL 10,17,10,"Michael Turner right tackle for 1 yard (tackle by Lawyer Milloy). Penalty on Craig Terrill: Defensive Offside, 5 yards (no play)",-0.760,-0.310
3,14:09,1,15,ATL 15,17,10,Michael Turner middle for 4 yards (tackle by Brandon Mebane),-0.310,-0.460
3,13:25,2,11,ATL 19,17,10,Matt Ryan pass complete short right to Michael Jenkins for 12 yards (tackle by Lawyer Milloy),-0.460,1.000
3,12:45,1,10,ATL 31,17,10,Jason Snelling right tackle for no gain (tackle by David Hawthorne),1.000,0.460
3,12:05,2,10,ATL 31,17,10,Matt Ryan pass complete short right to Jason Snelling for 7 yards (tackle by Kennard Cox),0.460,0.700
3,11:37,3,3,ATL 38,17,10,Matt Ryan pass complete short right to Jason Snelling for 2 yards (tackle by Will Herring),0.700,-0.720
3,10:48,4,1,ATL 40,17,10,Michael Koenen punts 56 yards,-0.720,0.380
3,10:33,1,10,SEA 4,23,10,"Matt Hasselbeck sacked by Jamaal Anderson for -4 yards. Matt Hasselbeck fumbles (forced by Jamaal Anderson), recovered by Jonathan Babineaux at SEA--4, touchdown",-0.380,-7.000
3,,,,SEA 2,24,10,Matt Bryant kicks extra point good,0.000,0.000
3,,,,ATL 30,24,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
3,10:12,1,10,SEA 20,24,10,Marshawn Lynch middle for 3 yards (tackle by Curtis Lofton),0.280,0.140
3,9:39,2,7,SEA 23,24,10,Matt Hasselbeck pass incomplete deep right intended for Ben Obomanu (defended by Brent Grimes),0.140,-0.560
3,9:32,3,7,SEA 23,24,10,Matt Hasselbeck pass complete short right to Mike Williams for 11 yards (tackle by Brent Grimes),-0.560,1.200
3,9:13,1,10,SEA 34,24,10,Matt Hasselbeck pass complete short left to Mike Williams for 3 yards (tackle by Thomas DeCoud),1.200,1.060
3,8:37,2,7,SEA 37,24,10,Matt Hasselbeck pass incomplete deep middle intended for Ben Obomanu,1.060,0.370
3,8:33,3,7,SEA 37,24,10,"Penalty on Russell Okung: False Start, 5 yards (no play)",0.370,-0.300
3,8:33,3,12,SEA 32,24,10,Matt Hasselbeck pass incomplete deep right intended for Ben Obomanu is intercepted by Brent Grimes at SEA-48 and returned for 11 yards,-0.300,-3.120
3,8:25,1,10,SEA 37,24,10,Matt Ryan pass complete short right to Michael Jenkins for 12 yards (tackle by Earl Thomas),3.120,3.910
3,7:31,1,10,SEA 25,24,10,"Michael Turner right end for no gain (tackle by Lofa Tatupu). Penalty on Brandon Mebane: Defensive Offside (Offsetting), Penalty on Tyson Clabo: Offensive Holding (Offsetting) (no play)",3.910,3.910
3,7:13,1,10,SEA 25,24,10,"Matt Ryan pass complete short left to Michael Turner for 8 yards (tackle by Kelly Jennings). Penalty on Earl Thomas: Illegal Contact, 5 yards (no play)",3.910,4.240
3,6:52,1,10,SEA 20,24,10,Michael Turner right tackle for 8 yards (tackle by Aaron Curry and Lawyer Milloy),4.240,5.040
3,6:13,2,2,SEA 12,24,10,Michael Turner left guard for -2 yards (tackle by Brandon Mebane and Lofa Tatupu),5.040,3.890
3,5:37,3,4,SEA 14,24,10,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Kennard Cox),3.890,5.370
3,5:17,1,8,SEA 8,24,10,Jason Snelling middle for 1 yard (tackle by Colin Cole and Lofa Tatupu),5.370,4.760
3,4:37,2,7,SEA 7,24,10,Matt Ryan pass incomplete short left intended for Roddy White,4.760,3.810
3,4:28,3,7,SEA 7,24,10,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,3.810,2.970
3,4:25,4,7,SEA 7,27,10,Matt Bryant 25 yard field goal good,2.970,3.000
3,,,,ATL 30,27,10,"Michael Koenen kicks off 67 yards, returned by Leon Washington for 15 yards (tackle by Eric Weems)",0.000,0.040
3,4:15,1,10,SEA 18,27,10,Marshawn Lynch left end for 6 yards (tackle by Curtis Lofton),0.040,0.410
3,3:57,2,4,SEA 24,27,10,Marshawn Lynch middle for 6 yards (tackle by William Moore),0.410,0.940
3,3:24,1,10,SEA 30,27,10,Matt Hasselbeck pass incomplete deep right intended for Ben Obomanu is intercepted by William Moore at SEA-48 and returned for 27 yards,0.940,-4.170
3,3:12,1,10,SEA 21,27,10,Michael Turner right end for 15 yards (tackle by Kennard Cox),4.170,5.830
3,2:27,1,6,SEA 6,27,10,Michael Turner left guard for 2 yards (tackle by Colin Cole),5.830,5.340
3,1:40,2,4,SEA 4,27,10,Michael Turner right tackle for -1 yards (tackle by Colin Cole and Aaron Curry),5.340,4.260
3,0:57,3,5,SEA 5,33,10,"Matt Ryan pass complete short left to Roddy White for 5 yards, touchdown",4.260,7.000
3,,,,SEA 2,34,10,Matt Bryant kicks extra point good,0.000,0.000
3,,,,ATL 30,34,10,"Michael Koenen kicks off 64 yards, returned by Leon Washington for 21 yards (tackle by Kroy Biermann)",0.000,0.740
3,0:47,1,10,SEA 27,34,10,Charlie Whitehurst pass complete short right to Ben Obomanu for 7 yards (tackle by Thomas DeCoud and Chauncey Davis),0.740,1.140
3,0:07,2,3,SEA 34,34,10,Charlie Whitehurst pass incomplete short right intended for Mike Williams (defended by Brent Grimes),1.140,0.430
3,0:04,3,3,SEA 34,34,10,Charlie Whitehurst pass incomplete short left intended for Ben Obomanu,0.430,-1.110
Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,3,SEA 34,34,10,Jon Ryan punts 47 yards,-1.110,-0.150
4,14:50,1,10,ATL 19,34,10,Michael Turner right guard for 4 yards (tackle by Kentwan Balmer),0.150,0.210
4,14:07,2,6,ATL 23,34,10,Michael Turner left guard for 1 yard (tackle by Colin Cole),0.210,-0.420
4,13:23,3,5,ATL 24,34,10,Matt Ryan pass incomplete short right intended for Roddy White (defended by Kennard Cox),-0.420,-1.770
4,13:19,4,5,ATL 24,34,10,"Michael Koenen punts 56 yards, returned by Leon Washington for 3 yards (tackle by Chris Owens). Penalty on Michael Robinson: Personal Foul, 11 yards",-1.770,0.350
4,13:09,1,10,SEA 12,34,10,Marshawn Lynch right tackle for no gain (tackle by Corey Peters and William Moore),-0.350,-0.780
4,12:27,2,10,SEA 12,34,10,Charlie Whitehurst pass complete short right to Mike Williams for 17 yards (tackle by Jonathan Babineaux),-0.780,0.870
4,11:47,1,10,SEA 29,34,10,Charlie Whitehurst pass incomplete deep left intended for Mike Williams,0.870,0.330
4,11:41,2,10,SEA 29,34,10,Marshawn Lynch middle for 9 yards (tackle by John Abraham),0.330,0.830
4,11:08,3,1,SEA 38,34,10,Marshawn Lynch left guard for 4 yards (tackle by Curtis Lofton),0.830,1.730
4,10:33,1,10,SEA 42,34,10,"Charlie Whitehurst pass complete short left to John Carlson for 31 yards (tackle by William Moore). Penalty on Kroy Biermann: Roughing the Passer, 14 yards",1.730,4.710
4,10:09,1,10,ATL 13,34,10,Charlie Whitehurst pass incomplete short middle intended for Justin Forsett,4.710,4.050
4,10:05,2,10,ATL 13,34,10,Charlie Whitehurst pass incomplete short middle intended for Brandon Stokley (defended by William Moore),4.050,3.120
4,10:01,3,10,ATL 13,34,10,Charlie Whitehurst pass complete short left to Mike Williams for 6 yards (tackle by Dunta Robinson and Thomas DeCoud),3.120,2.990
4,9:18,4,4,ATL 7,34,10,Charlie Whitehurst middle for 6 yards (tackle by Stephen Nicholas),2.990,6.970
4,8:35,1,1,ATL 1,34,16,"Charlie Whitehurst right guard for 1 yard, touchdown",6.970,7.000
4,,,,,34,16,"Two Point Attempt: Charlie Whitehurst pass incomplete intended for John Carlson, conversion fails. Penalty on William Moore: Defensive Pass Interfere, 1 yards (no play)",1.000,1.000
4,,,,,34,18,"Two Point Attempt: Charlie Whitehurst pass complete to Ben Obomanu, conversion succeeds",1.000,1.000
4,,,,SEA 30,34,18,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
4,8:29,1,10,ATL 20,34,18,Michael Turner middle for no gain (tackle by Aaron Curry and Lawyer Milloy),0.280,-0.270
4,7:43,2,10,ATL 20,34,18,Michael Turner middle for 5 yards (tackle by Will Herring and Colin Cole),-0.270,-0.300
4,7:02,3,5,ATL 25,34,18,Gartrell Johnson left end for 4 yards (tackle by Chris Clemons and Kelly Jennings),-0.300,-1.440
4,6:36,4,1,ATL 29,34,18,"Michael Koenen punts 41 yards, returned by Leon Washington for 4 yards (tackle by Ovie Mughelli). Penalty on Kennard Cox: Illegal Block Above the , 10 yards",-1.440,-0.280
4,6:25,1,10,SEA 20,34,18,Charlie Whitehurst pass complete short right to Justin Forsett for 4 yards (tackle by Sean Weatherspoon),0.280,0.270
4,6:02,2,6,SEA 24,34,18,"Penalty on Chris Spencer: False Start, 5 yards (no play)",0.270,-0.460
4,5:42,2,11,SEA 19,34,18,Charlie Whitehurst pass incomplete short middle intended for Justin Forsett,-0.460,-1.140
4,5:37,3,11,SEA 19,34,18,"Penalty on Russell Okung: False Start, 5 yards (no play)",-1.140,-2.030
4,5:37,3,16,SEA 14,34,18,Charlie Whitehurst pass complete short right to Michael Robinson for 4 yards (tackle by William Moore and Brian Williams),-2.030,-2.240
4,5:03,4,12,SEA 18,34,18,Jon Ryan punts 35 yards,-2.240,-2.060
4,4:54,1,10,ATL 47,34,18,Michael Turner left end for 13 yards (tackle by Aaron Curry),2.060,2.920
4,4:47,1,10,SEA 40,34,18,Michael Turner middle for 1 yard (tackle by Kentwan Balmer),2.920,2.510
4,4:02,2,9,SEA 39,34,18,Michael Turner left guard for 2 yards (tackle by Will Herring and Colin Cole),2.510,2.080
4,3:52,,,,34,18,Timeout #1 by Seattle Seahawks,0.000,2.080
4,3:52,3,7,SEA 37,34,18,Harry Douglas right end for no gain (tackle by Lofa Tatupu and Raheem Brock),2.080,0.790
4,3:46,,,,34,18,Timeout #2 by Seattle Seahawks,0.000,0.790
4,3:46,4,7,SEA 37,34,18,"Michael Koenen punts 27 yards, fair catch by Leon Washington",0.790,0.380
4,3:39,1,10,SEA 10,34,18,Charlie Whitehurst pass complete short left to Mike Williams for 8 yards (tackle by Dunta Robinson),-0.380,0.070
4,3:20,2,2,SEA 18,34,18,"Charlie Whitehurst pass incomplete short right intended for Ben Obomanu. Charlie Whitehurst fumbles, recovered by Charlie Whitehurst at SEA-14",0.070,-0.480
4,3:15,3,2,SEA 18,34,18,Leon Washington middle for 6 yards (tackle by John Abraham and Stephen Nicholas),-0.480,0.540
4,2:51,1,10,SEA 24,34,18,Charlie Whitehurst sacked by John Abraham for -7 yards,0.540,-1.080
4,2:35,2,17,SEA 17,34,18,Charlie Whitehurst left tackle for 3 yards (tackle by Brian Williams),-1.080,-1.220
4,2:04,3,14,SEA 20,34,18,Charlie Whitehurst pass complete short left to Mike Williams for 6 yards,-1.220,-1.630
4,2:01,4,8,SEA 26,34,18,Charlie Whitehurst pass incomplete short right intended for Mike Williams (defended by Brent Grimes),-1.630,-3.840
4,1:56,1,10,SEA 26,34,18,Matt Ryan kneels for -1 yards,3.840,3.160
4,1:15,2,11,SEA 27,34,18,Matt Ryan kneels for -1 yards,3.160,2.350
4,0:35,3,12,SEA 28,34,18,Matt Ryan kneels for -1 yards,2.350,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
