Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
2,0:23,1,10,WAS 10,14,14,Kyle Orton pass incomplete short middle intended for Knowshon Moreno (defended by Albert Haynesworth),4.910,4.190
2,0:20,2,10,WAS 10,14,14,Kyle Orton pass incomplete short middle intended for Eddie Royal,4.190,3.130
2,0:16,3,10,WAS 10,14,14,Kyle Orton middle for 3 yards (tackle by Brian Orakpo),3.130,2.970
2,0:07,,,,14,14,Timeout #2 by Denver Broncos,0.000,2.970
2,0:07,4,7,WAS 7,17,14,Matt Prater 24 yard field goal good,2.970,3.000
2,,,,DEN 30,17,14,"Matt Prater kicks off 62 yards, returned by Rock Cartwright for 28 yards (tackle by Darcel McBath)",0.000,0.940
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,17,14,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,WAS 20,17,14,Jason Campbell pass complete short middle to Fred Davis for 10 yards (tackle by Le Kevin Smith and Champ Bailey),0.280,0.940
3,14:24,1,10,WAS 30,17,14,Ladell Betts right end for no gain (tackle by Brian Dawkins and Champ Bailey),0.940,0.390
3,14:06,2,10,WAS 30,17,14,Jason Campbell pass complete short left to Santana Moss for 3 yards (tackle by Andre' Goodman),0.390,0.100
3,13:24,3,7,WAS 33,17,14,Jason Campbell sacked by Darrell Reid and Elvis Dumervil for -5 yards,0.100,-1.500
3,13:00,4,12,WAS 28,17,14,"Hunter Smith punts 44 yards, fair catch by Eddie Royal",-1.500,-0.810
3,12:55,1,10,DEN 28,17,14,Knowshon Moreno right end for 9 yards (tackle by DeAngelo Hall and Rocky McIntosh),0.810,1.480
3,12:14,2,1,DEN 37,17,14,Knowshon Moreno right tackle for 2 yards (tackle by Andre Carter and Reed Doughty),1.480,1.530
3,11:30,1,10,DEN 39,17,14,Chris Simms pass incomplete short left intended for Correll Buckhalter,1.530,0.990
3,11:25,2,10,DEN 39,17,14,"Chris Simms pass complete short left to Jabar Gaffney for 8 yards (tackle by London Fletcher and LaRon Landry). Penalty on Eddie Royal: Offensive Pass Interfere, 10 yards (no play)",0.990,-0.360
3,11:00,2,20,DEN 29,17,14,Knowshon Moreno right end for 18 yards (tackle by Justin Tryon and Reed Doughty),-0.360,1.360
3,10:13,3,2,DEN 47,17,14,Chris Simms pass complete short right to Brandon Marshall for 5 yards (tackle by DeAngelo Hall),1.360,2.390
3,9:33,1,10,WAS 48,17,14,Chris Simms pass incomplete short left intended for Tony Scheffler,2.390,1.850
3,9:27,2,10,WAS 48,17,14,Chris Simms pass incomplete short middle intended for Jabar Gaffney,1.850,1.160
3,9:21,3,10,WAS 48,17,14,Chris Simms pass incomplete short left intended for Brandon Stokley,1.160,0.070
3,9:10,4,10,WAS 48,17,14,Mitch Berger punts 16 yards,0.070,-1.070
3,9:03,1,10,WAS 32,17,14,Ladell Betts middle for 8 yards (tackle by Brian Dawkins and Andra Davis),1.070,1.610
3,8:33,2,2,WAS 40,17,14,Ladell Betts left end for 11 yards (tackle by Champ Bailey),1.610,2.320
3,7:59,1,10,DEN 49,17,14,Jason Campbell sacked by Andra Davis for -7 yards,2.320,0.840
3,7:31,2,17,WAS 44,17,14,Jason Campbell pass complete short middle to Fred Davis for 9 yards (tackle by D.J. Williams),0.840,1.360
3,6:55,3,8,DEN 47,17,14,Jason Campbell pass complete short right to Devin Thomas for 10 yards (tackle by Ty Law),1.360,3.120
3,6:18,1,10,DEN 37,17,14,Rock Cartwright left end for 6 yards (tackle by Andra Davis),3.120,3.380
3,5:49,2,4,DEN 31,17,14,Rock Cartwright middle for no gain (tackle by Andra Davis and Vonnie Holliday),3.380,2.680
3,5:06,3,4,DEN 31,17,14,Ladell Betts right guard for 3 yards (tackle by D.J. Williams and Alphonso Smith),2.680,1.720
3,4:37,4,1,DEN 28,17,14,Rock Cartwright right end for -2 yards (tackle by Brian Dawkins). Penalty on Mike Sellers: Offensive Holding (Declined),1.720,-1.000
3,4:31,1,10,DEN 31,17,14,Knowshon Moreno right end for 1 yard (tackle by Reed Doughty and Kedric Golston),1.000,0.600
3,3:54,2,9,DEN 32,17,14,Chris Simms pass complete short left to Tony Scheffler for 1 yard (tackle by Fred Smoot),0.600,0.040
3,3:12,3,8,DEN 33,17,14,Chris Simms sacked by Andre Carter and Brian Orakpo for -7 yards,0.040,-1.630
3,3:08,4,15,DEN 26,17,14,Mitch Berger punts 65 yards,-1.630,0.380
3,2:55,1,10,WAS 9,17,14,Ladell Betts middle for 8 yards (tackle by Brian Dawkins and Andra Davis),-0.380,-0.020
3,2:20,2,2,WAS 17,17,14,Jason Campbell pass complete short left to Santana Moss for 5 yards (tackle by Andre' Goodman),-0.020,0.410
3,1:44,1,10,WAS 22,17,14,Ladell Betts left tackle for 5 yards (tackle by Vonnie Holliday),0.410,0.540
3,1:06,2,5,WAS 27,17,14,Ladell Betts middle for 7 yards (tackle by Brian Dawkins and Andre' Goodman),0.540,1.200
3,0:30,1,10,WAS 34,17,14,Quinton Ganther left tackle for 1 yard (tackle by Andra Davis and Ronald Fields),1.200,0.790
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,WAS 35,17,14,Jason Campbell pass complete short middle to Malcolm Kelly for 18 yards (tackle by Renaldo Hill),0.790,2.460
4,14:24,1,10,DEN 47,17,14,Ladell Betts left tackle for 18 yards (tackle by Ty Law),2.460,3.640
4,13:41,1,10,DEN 29,17,14,Rock Cartwright middle for 4 yards (tackle by Le Kevin Smith and D.J. Williams),3.640,3.640
4,13:00,2,6,DEN 25,17,14,Rock Cartwright right end for 10 yards (tackle by Ty Law and Brian Dawkins),3.640,4.580
4,12:15,1,10,DEN 15,17,14,Jason Campbell left end for 2 yards (tackle by Wesley Woodyard),4.580,4.280
4,12:08,2,8,DEN 13,17,14,Ladell Betts left end for no gain (tackle by Wesley Woodyard),4.280,3.400
4,11:24,3,8,DEN 13,17,14,Jason Campbell pass complete short left to Rock Cartwright for 1 yard (tackle by D.J. Williams and Vonnie Holliday),3.400,2.630
4,10:43,4,7,DEN 12,17,17,Shaun Suisham 30 yard field goal good,2.630,3.000
4,,,,WAS 30,17,17,Shaun Suisham kicks off 68 yards,0.000,1.600
4,10:40,1,10,DEN 40,17,17,Knowshon Moreno right tackle for 3 yards (tackle by Andre Carter),1.600,1.460
4,10:03,2,7,DEN 43,17,17,Knowshon Moreno left end for 11 yards (tackle by Reed Doughty),1.460,2.520
4,9:21,1,10,WAS 46,17,17,Chris Simms pass incomplete deep middle intended for Brandon Marshall is intercepted by DeAngelo Hall at WAS--3 and returned for 30 yards,2.520,-1.600
4,8:57,1,10,WAS 40,17,17,Jason Campbell sacked by Elvis Dumervil for -2 yards,1.600,0.780
4,8:30,2,12,WAS 38,17,17,Ladell Betts left tackle for 11 yards (tackle by D.J. Williams),0.780,1.550
4,7:48,3,1,WAS 49,17,17,Rock Cartwright middle for 1 yard (tackle by Vonnie Holliday),1.550,2.260
4,7:09,1,10,,17,17,Ladell Betts left end for 2 yards (tackle by Kenny Peterson),2.260,1.980
4,6:34,2,8,DEN 48,17,17,Jason Campbell pass complete short middle to Antwaan Randle El for 9 yards (tackle by Brian Dawkins),1.980,2.980
4,5:56,1,10,DEN 39,17,17,Rock Cartwright middle for 3 yards (tackle by Marcus Thomas and Brian Dawkins),2.980,2.850
4,5:19,2,7,DEN 36,17,17,Ladell Betts middle for 4 yards (tackle by Brian Dawkins and D.J. Williams),2.850,2.680
4,4:37,,,,17,17,Timeout #1 by Denver Broncos,0.000,2.680
4,4:37,3,3,DEN 32,17,17,Jason Campbell pass complete short right to Devin Thomas for 27 yards (tackle by Ty Law),2.680,6.060
4,3:48,1,5,DEN 5,17,17,Ladell Betts right tackle for 2 yards (tackle by Andra Davis),6.060,5.530
4,3:05,2,3,DEN 3,17,17,Ladell Betts left guard for 2 yards (tackle by Ronald Fields),5.530,5.170
4,2:49,,,,17,17,Timeout #2 by Denver Broncos,0.000,5.170
4,2:49,3,1,DEN 1,17,23,"Ladell Betts left end for 1 yard, touchdown",5.170,7.000
4,,,,DEN 2,17,24,Shaun Suisham kicks extra point good,0.000,0.000
4,,,,WAS 30,17,24,"Shaun Suisham kicks off 73 yards, returned by Eddie Royal for 30 yards (tackle by Byron Westbrook)",0.000,0.740
4,2:36,1,10,DEN 27,17,24,Chris Simms pass incomplete short middle intended for Daniel Graham,0.740,0.200
4,2:32,2,10,DEN 27,17,24,Chris Simms pass incomplete short middle intended for Knowshon Moreno,0.200,-0.490
4,2:27,3,10,DEN 27,17,24,Chris Simms pass incomplete deep middle intended for Brandon Marshall (defended by Reed Doughty),-0.490,-1.570
4,2:20,4,10,DEN 27,17,24,Chris Simms pass incomplete short left intended for Brandon Marshall,-1.570,-3.780
4,2:14,1,10,DEN 27,17,24,Ladell Betts left tackle for 1 yard (tackle by Andra Davis and Ronald Fields),3.780,3.370
4,2:08,,,,17,24,Timeout #3 by Denver Broncos,0.000,3.370
4,2:08,2,9,DEN 26,17,24,Ladell Betts left tackle for no gain (tackle by Renaldo Hill and Elvis Dumervil),3.370,2.680
4,2:00,3,9,DEN 26,17,24,Ladell Betts right tackle for 8 yards (tackle by Brian Dawkins),2.680,2.400
4,1:15,,,,17,24,Timeout #1 by Washington Redskins,0.000,2.400
4,1:15,4,1,DEN 18,17,27,Shaun Suisham 35 yard field goal good,2.400,3.000
4,,,,WAS 30,17,27,"Shaun Suisham kicks off 54 yards, returned by Eddie Royal for 10 yards (tackle by Chris Wilson)",0.000,0.670
4,1:06,1,10,DEN 26,17,27,Chris Simms sacked by Andre Carter for -4 yards,0.670,-0.410
4,0:37,2,14,DEN 22,17,27,Chris Simms pass complete short middle to Knowshon Moreno for 7 yards (tackle by DeAngelo Hall),-0.410,-0.160
4,0:29,3,7,DEN 29,17,27,Chris Simms sacked by Brian Orakpo for -10 yards,-0.160,-2.140
4,0:03,4,17,DEN 19,17,27,Chris Simms pass incomplete deep middle intended for Daniel Graham,-2.140,0.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
