Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
1,6:27,1,10,PIT 14,0,0,Tony Pollard right end for -1 yards (tackle by Vince Williams),4.650,3.850
1,5:46,2,11,PIT 15,0,0,Garrett Gilbert pass complete short middle to Tony Pollard for 1 yard (tackle by Vince Williams),3.850,3.110
1,4:45,3,10,PIT 14,0,0,Garrett Gilbert sacked by Alex Highsmith for -6 yards,3.110,2.120
1,3:59,4,16,PIT 20,0,3,Greg Zuerlein 38 yard field goal good,2.120,3.000
1,3:55,,,DAL 35,0,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,3:55,1,10,PIT 25,0,3,Ben Roethlisberger pass complete short right to James Conner for -4 yards (tackle by DeMarcus Lawrence),0.610,-0.480
1,3:11,2,14,PIT 21,0,3,Benny Snell right tackle for -2 yards (tackle by Neville Gallimore and DeMarcus Lawrence),-0.480,-1.510
1,2:31,3,16,PIT 19,0,3,Ben Roethlisberger pass complete short left to Diontae Johnson for 6 yards (tackle by Trevon Diggs),-1.510,-1.700
1,1:55,4,10,PIT 25,0,3,"Jordan Berry punts 57 yards, returned by Cedrick Wilson for 3 yards (tackle by Jayrone Elliott)",-1.700,-0.340
1,1:44,1,10,DAL 21,0,3,Ezekiel Elliott up the middle for -1 yards (tackle by Stephon Tuitt),0.340,-0.340
1,1:12,2,11,DAL 20,0,3,Garrett Gilbert pass complete short right to Dalton Schultz for 10 yards (tackle by Robert Spillane),-0.340,0.300
1,0:36,3,1,DAL 30,0,3,Ezekiel Elliott right tackle for no gain (tackle by Cameron Heyward and Vince Williams),0.300,-1.370
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,DAL 30,0,3,"Hunter Niswander punts 40 yards, fair catch by Joe Haden at PIT-30",-1.370,-0.940
2,14:51,1,10,PIT 30,0,3,Ben Roethlisberger pass complete short middle to Chase Claypool for 14 yards (tackle by Anthony Brown),0.940,1.860
2,14:08,1,10,PIT 44,0,3,Ben Roethlisberger pass complete short left to Anthony McFarland for 7 yards (tackle by Sean Lee),1.860,2.260
2,13:40,2,3,DAL 49,0,3,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 5 yards (tackle by Trevon Diggs),2.260,2.650
2,13:12,1,10,DAL 44,0,3,Ben Roethlisberger pass complete short right to Anthony McFarland for 8 yards (tackle by Leighton Vander Esch),2.650,3.190
2,12:33,2,2,DAL 36,0,3,Anthony McFarland right tackle for 1 yard (tackle by Randy Gregory),3.190,2.610
2,11:59,3,1,DAL 35,0,3,Anthony McFarland up the middle for no gain (tackle by Leighton Vander Esch and Neville Gallimore),2.610,1.000
2,11:30,,,,,,Timeout #1 by Dallas Cowboys,,
2,11:30,4,1,DAL 35,0,3,Benny Snell left tackle for no gain (tackle by Neville Gallimore and Randy Gregory),1.000,-1.270
2,11:26,1,10,DAL 35,0,3,Garrett Gilbert left end for 15 yards (tackle by Minkah Fitzpatrick),1.270,2.260
2,10:41,1,10,DAL 50,0,3,Garrett Gilbert pass incomplete short right intended for Michael Gallup (defended by T.J. Watt),2.260,1.710
2,10:38,2,10,DAL 50,0,3,Garrett Gilbert right end for 11 yards (tackle by Robert Spillane),1.710,2.980
2,10:00,1,10,PIT 39,0,3,Tony Pollard right tackle for no gain (tackle by Isaiah Buggs),2.980,2.440
2,9:22,2,10,PIT 39,0,3,Garrett Gilbert pass complete short left to Dalton Schultz for 16 yards (tackle by Joe Haden),2.440,4.040
2,8:38,1,10,PIT 23,0,3,Ezekiel Elliott left tackle for 3 yards (tackle by Carlos Davis),4.040,3.900
2,7:56,2,7,PIT 20,0,3,Garrett Gilbert pass incomplete short middle intended for Michael Gallup,3.900,3.200
2,7:52,3,7,PIT 20,0,9,"Garrett Gilbert pass complete deep right to CeeDee Lamb for 20 yards, touchdown",3.200,7.000
2,7:45,,,PIT 15,0,10,Greg Zuerlein kicks extra point good,0.000,0.000
2,7:45,,,DAL 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,7:45,1,10,PIT 25,0,10,James Conner left end for 6 yards (tackle by Trevon Diggs),0.610,0.870
2,7:05,2,4,PIT 31,0,10,James Conner left tackle for 1 yard (tackle by DeMarcus Lawrence),0.870,0.300
2,6:27,3,3,PIT 32,0,10,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,0.300,-1.240
2,6:23,4,3,PIT 32,0,10,"Jordan Berry punts 62 yards, returned by Cedrick Wilson for no gain, lateral to C.J. Goodwin for 73 yards, lateral to Jordan Dangerfield for 73 yards. Penalty on Darian Thompson: Illegal Block Above the Waist, 10 yards",-1.240,-3.510
2,6:01,1,10,PIT 31,0,10,Ezekiel Elliott right tackle for 3 yards (tackle by Isaiah Buggs),3.510,3.370
2,5:19,2,7,PIT 28,0,10,Ezekiel Elliott right tackle for -2 yards (tackle by Vince Williams),3.370,2.410
2,4:37,3,9,PIT 30,0,10,Garrett Gilbert pass complete short left to Amari Cooper for 4 yards (tackle by Steven Nelson),2.410,1.790
2,3:50,4,5,PIT 26,0,13,Greg Zuerlein 44 yard field goal good,1.790,3.000
2,3:46,,,DAL 35,0,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,3:46,1,10,PIT 25,0,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Leighton Vander Esch and Jourdan Lewis),0.610,1.140
2,3:19,2,2,PIT 33,0,13,Ben Roethlisberger pass complete short right to Chase Claypool for 9 yards (tackle by Anthony Brown),1.140,1.730
2,2:44,1,10,PIT 42,0,13,Ben Roethlisberger pass complete short middle to Diontae Johnson for 13 yards (tackle by Trevon Diggs),1.730,2.590
2,2:00,1,10,DAL 45,0,13,Ben Roethlisberger pass incomplete deep middle intended for Chase Claypool,2.590,2.040
2,1:53,2,10,DAL 45,0,13,Ben Roethlisberger pass complete short right to Diontae Johnson for 4 yards (tackle by Jaylon Smith),2.040,1.880
2,1:31,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:31,3,6,DAL 41,0,13,Ben Roethlisberger pass complete short right to Eric Ebron for 9 yards (tackle by Xavier Woods),1.880,3.450
2,1:27,1,10,DAL 32,0,13,Ben Roethlisberger pass complete short left to Chase Claypool for 10 yards,3.450,4.110
2,1:21,1,10,DAL 22,0,13,Ben Roethlisberger pass complete short right to Eric Ebron for 5 yards (tackle by Anthony Brown),4.110,4.290
2,1:16,2,5,DAL 17,6,13,"Ben Roethlisberger pass complete deep right to James Washington for 17 yards, touchdown",4.290,7.000
2,1:10,,,DAL 15,6,13,Chris Boswell kicks extra point no good wide left,0.000,-1.000
2,1:10,,,PIT 35,6,13,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,1:10,1,10,DAL 25,6,13,"Garrett Gilbert pass complete short middle to Dalton Schultz for 20 yards (tackle by Bud Dupree). Penalty on Terence Steele: Illegal Formation, 5 yards (no play)",0.610,0.280
2,1:03,1,15,DAL 20,6,13,"Garrett Gilbert pass complete short right to CeeDee Lamb for 14 yards (tackle by Cameron Sutton). CeeDee Lamb fumbles (forced by Cameron Sutton), recovered by Minkah Fitzpatrick at DAL-38 and returned for -1 yards (tackle by CeeDee Lamb)",0.280,-2.980
2,0:52,1,10,DAL 39,6,13,Mason Rudolph pass complete short right to Chase Claypool for 1 yard (tackle by Xavier Woods),2.980,2.580
2,0:46,2,9,DAL 38,6,13,Mason Rudolph pass complete short middle to James Conner for 2 yards (tackle by Jaylon Smith),2.580,2.150
2,0:18,3,7,DAL 36,6,13,Mason Rudolph pass complete deep middle to JuJu Smith-Schuster for 18 yards (tackle by Steven Parker). Penalty on Anthony Brown: Defensive Holding (Offsetting) Penalty on PIT: Illegal Formation (Offsetting) (no play),2.150,2.150
2,0:07,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:07,3,7,DAL 36,6,13,Mason Rudolph pass incomplete short right intended for Eric Ebron,2.150,0.880
2,0:02,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:02,4,7,DAL 36,6,13,"Chris Boswell yard field goal no good. Penalty on Cameron Heyward: False Start, 5 yards (no play)",0.880,0.530
2,0:02,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:02,4,12,DAL 41,9,13,Chris Boswell 59 yard field goal good,0.530,3.000
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,9,13,"Chris Boswell kicks off 65 yards, returned by Tony Pollard for 23 yards (tackle by Alex Highsmith)",0.000,0.480
3,14:53,1,10,DAL 23,9,13,Ezekiel Elliott left guard for 5 yards (tackle by Robert Spillane),0.480,0.610
3,14:16,2,5,DAL 28,9,13,Garrett Gilbert pass complete short middle to Michael Gallup for 10 yards (tackle by Joe Haden),0.610,1.470
3,13:44,1,10,DAL 38,9,13,Amari Cooper left end for 8 yards (tackle by Minkah Fitzpatrick),1.470,2.000
3,13:04,2,2,DAL 46,9,13,Ezekiel Elliott right tackle for 3 yards (tackle by Stephon Tuitt),2.000,2.190
3,12:22,1,10,DAL 49,9,13,Garrett Gilbert pass incomplete short right intended for Cedrick Wilson,2.190,1.650
3,12:19,2,10,DAL 49,9,13,Garrett Gilbert pass complete short left to Amari Cooper for 8 yards,1.650,2.010
3,11:51,3,2,PIT 43,9,13,Tony Pollard right tackle for 20 yards (tackle by Minkah Fitzpatrick),2.010,4.040
3,11:12,1,10,PIT 23,9,13,Garrett Gilbert pass complete short left to Blake Bell for -4 yards (tackle by Carlos Davis),4.040,2.960
3,10:33,2,14,PIT 27,9,13,Garrett Gilbert pass incomplete deep right intended for Michael Gallup,2.960,2.280
3,10:27,3,14,PIT 27,9,13,Garrett Gilbert pass incomplete short right intended for Dalton Schultz,2.280,1.670
3,10:22,4,14,PIT 27,9,16,Greg Zuerlein 45 yard field goal good,1.670,3.000
3,10:17,,,DAL 35,9,16,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,10:17,1,10,PIT 25,9,16,Ben Roethlisberger pass complete short left to Vance McDonald for 2 yards (tackle by Donovan Wilson),0.610,0.330
3,9:40,2,8,PIT 27,9,16,Diontae Johnson right end for 4 yards (tackle by Anthony Brown),0.330,0.170
3,8:56,3,4,PIT 31,9,16,Ben Roethlisberger pass incomplete deep right intended for James Washington,0.170,-1.310
3,8:51,4,4,PIT 31,9,16,"Jordan Berry punts 50 yards, returned by CeeDee Lamb for 6 yards (tackle by James Pierre)",-1.310,-0.610
3,8:39,1,10,DAL 25,9,16,Garrett Gilbert pass incomplete short right intended for Tony Pollard,0.610,0.060
3,8:35,2,10,DAL 25,9,16,Tony Pollard left tackle for 5 yards (tackle by Bud Dupree),0.060,0.040
3,7:59,3,5,DAL 30,9,16,Tony Pollard left tackle for 12 yards (tackle by Marcus Allen and Terrell Edmunds),0.040,1.730
3,7:23,1,10,DAL 42,9,16,Tony Pollard up the middle for -2 yards (tackle by Cameron Heyward),1.730,0.920
3,6:45,2,12,DAL 40,9,16,Garrett Gilbert pass complete short middle to Ezekiel Elliott for 16 yards (tackle by Terrell Edmunds),0.920,2.650
3,6:04,1,10,PIT 44,9,16,Ezekiel Elliott left guard for no gain (tackle by Vince Williams and Terrell Edmunds),2.650,2.110
3,5:29,2,10,PIT 44,9,16,Garrett Gilbert pass complete short left to Dalton Schultz for 8 yards (tackle by Vince Williams),2.110,2.480
3,4:49,3,2,PIT 36,9,16,Garrett Gilbert pass complete short right to CeeDee Lamb for 5 yards (tackle by Robert Spillane),2.480,3.510
3,4:05,1,10,PIT 31,9,16,Ezekiel Elliott left tackle for 1 yard (tackle by Isaiah Buggs),3.510,3.100
3,3:22,2,9,PIT 30,9,16,Ezekiel Elliott left tackle for no gain (tackle by Cameron Heyward),3.100,2.410
3,2:46,3,9,PIT 30,9,16,Ezekiel Elliott left tackle for 8 yards (tackle by Justin Layne),2.410,2.140
3,2:17,4,1,PIT 22,9,19,Greg Zuerlein 39 yard field goal good,2.140,3.000
3,2:13,,,DAL 35,9,19,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,2:13,1,10,PIT 25,9,19,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 20 yards (tackle by Xavier Woods),0.610,1.930
3,1:37,1,10,PIT 45,9,19,Ben Roethlisberger pass incomplete short right intended for Eric Ebron,1.930,1.380
3,1:33,2,10,PIT 45,9,19,Ben Roethlisberger pass incomplete short left intended for Chase Claypool,1.380,0.700
3,1:28,3,10,PIT 45,9,19,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 20 yards (tackle by Darian Thompson and Xavier Woods),0.700,3.250
3,0:48,1,10,DAL 35,9,19,"Ben Roethlisberger pass incomplete deep left intended for Chase Claypool. Penalty on Randy Gregory: Defensive Offside, 5 yards (no play)",3.250,3.980
3,0:42,1,5,DAL 30,9,19,"Ben Roethlisberger pass complete short left to Eric Ebron for 1 yard (tackle by Sean Lee). Penalty on Eric Ebron: Offensive Holding, 10 yards (no play)",3.980,2.920
3,0:14,1,15,DAL 40,9,19,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Trevon Diggs),2.920,3.240
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DAL 31,15,19,"Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 31 yards, touchdown. Penalty on Randy Gregory: Unnecessary Roughness, 15 yards",3.240,7.000
4,14:51,,,DAL 15,15,19,Chris Boswell kicks extra point blocked by Tyrone Crawford,0.000,-1.000
4,14:51,,,PIT 50,15,19,"Chris Boswell kicks off 50 yards, returned by Rico Dowdle for 64 yards (tackle by Cameron Sutton)",0.000,3.180
4,14:41,1,10,PIT 36,15,19,Garrett Gilbert pass complete short left to Dalton Schultz for 14 yards (tackle by Vince Williams),3.180,4.110
4,13:56,1,10,PIT 22,15,19,Ezekiel Elliott left tackle for 5 yards (tackle by Terrell Edmunds),4.110,4.290
4,13:16,2,5,PIT 17,15,19,Ezekiel Elliott right tackle for 10 yards (tackle by Minkah Fitzpatrick),4.290,5.600
4,12:39,1,7,PIT 7,15,19,Ezekiel Elliott left tackle for 2 yards (tackle by Robert Spillane),5.600,5.150
4,11:57,2,5,PIT 5,15,19,Garrett Gilbert pass incomplete short left intended for Blake Bell (defended by T.J. Watt),5.150,4.260
4,11:54,3,5,PIT 5,15,19,"Garrett Gilbert pass short middle intended for Cedrick Wilson is intercepted by Minkah Fitzpatrick at PIT-0 and returned for 7 yards. Penalty on Terrell Edmunds: Illegal Blindside Block, 1 yard",4.260,0.380
4,11:45,1,10,PIT 1,15,19,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,-0.380,-0.780
4,11:42,2,10,PIT 1,15,19,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for 8 yards (tackle by Trevon Diggs),-0.780,-0.480
4,11:11,3,2,PIT 9,15,19,Ben Roethlisberger pass complete short right to Chase Claypool for 7 yards (tackle by Jaylon Smith and Darian Thompson),-0.480,-0.140
4,10:36,1,10,PIT 16,15,19,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for 8 yards (tackle by Trevon Diggs),-0.140,0.550
4,9:54,2,2,PIT 24,15,19,Ben Roethlisberger pass complete short left to Diontae Johnson for 9 yards (tackle by Steven Parker),0.550,1.140
4,9:16,1,10,PIT 33,15,19,Ben Roethlisberger pass complete short left to Chase Claypool for 14 yards (tackle by Jaylon Smith). Penalty on Aldon Smith: Defensive Offside (Declined),1.140,2.060
4,8:46,1,10,PIT 47,15,19,"Ben Roethlisberger sacked by Tyrone Crawford for no gain. Ben Roethlisberger fumbles (forced by Tyrone Crawford), recovered by Aldon Smith at PIT-43 (tackle by Matt Feiler). Penalty on Jaylon Smith: Illegal Contact, 5 yards (no play)",2.060,2.390
4,8:36,1,10,DAL 48,15,19,"Anthony McFarland right end for 6 yards (tackle by Leighton Vander Esch). Penalty on Leighton Vander Esch: Unnecessary Roughness, 15 yards",2.390,3.780
4,8:03,1,10,DAL 27,15,19,Ben Roethlisberger pass incomplete short middle intended for Eric Ebron (defended by Jaylon Smith),3.780,3.230
4,7:58,2,10,DAL 27,15,19,Ben Roethlisberger pass complete short right to Diontae Johnson for 3 yards (tackle by Anthony Brown),3.230,2.940
4,7:18,3,7,DAL 24,15,19,Ben Roethlisberger pass incomplete short right intended for Chase Claypool (defended by DeMarcus Lawrence),2.940,1.870
4,7:15,4,7,DAL 24,18,19,Chris Boswell 43 yard field goal good,1.870,3.000
4,7:11,,,PIT 35,18,19,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,7:11,1,10,DAL 25,18,19,Garrett Gilbert pass incomplete short right intended for Dalton Schultz (defended by T.J. Watt),0.610,0.060
4,7:07,2,10,DAL 25,18,19,Garrett Gilbert pass complete short right to Amari Cooper for 9 yards (tackle by Terrell Edmunds),0.060,0.560
4,6:22,3,1,DAL 34,18,19,Ezekiel Elliott left tackle for 3 yards (tackle by Stephon Tuitt),0.560,1.400
4,5:42,1,10,DAL 37,18,19,Tony Pollard left tackle for 4 yards (tackle by Robert Spillane),1.400,1.400
4,5:02,2,6,DAL 41,18,19,Tony Pollard left guard for -1 yards (tackle by Henry Mondeaux),1.400,0.560
4,4:24,3,7,DAL 40,18,19,Garrett Gilbert pass incomplete short right intended for Amari Cooper,0.560,-0.720
4,4:19,4,7,DAL 40,18,19,"Hunter Niswander punts 39 yards, returned by Ray-Ray McCloud for no gain (tackle by C.J. Goodwin)",-0.720,-0.340
4,4:11,1,10,PIT 21,18,19,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,0.340,-0.200
4,4:08,2,10,PIT 21,18,19,Ben Roethlisberger pass incomplete short right intended for Chase Claypool,-0.200,-0.890
4,4:03,3,10,PIT 21,18,19,"Ben Roethlisberger pass incomplete deep right intended for Chase Claypool. Penalty on Jaylon Smith: Roughing the Passer, 15 yards (no play)",-0.890,1.330
4,3:58,1,10,PIT 36,18,19,Ben Roethlisberger pass complete short right to Chase Claypool for 9 yards (tackle by Jaylon Smith),1.330,2.010
4,3:18,2,1,PIT 45,18,19,Ben Roethlisberger pass complete short left to Diontae Johnson for 42 yards (tackle by Xavier Woods),2.010,4.710
4,2:24,1,10,DAL 13,18,19,Ben Roethlisberger pass complete short right to Chase Claypool for 5 yards (tackle by Jourdan Lewis),4.710,4.960
4,2:19,2,5,DAL 8,24,19,"Ben Roethlisberger pass complete short left to Eric Ebron for 8 yards, touchdown",4.960,7.000
4,2:14,,,DAL 2,24,19,"Two Point Attempt: Ben Roethlisberger pass incomplete intended for Chase Claypool, conversion fails",1.000,-1.000
4,2:14,,,PIT 35,24,19,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,2:14,1,10,DAL 25,24,19,Garrett Gilbert pass complete short left to Amari Cooper for 14 yards (tackle by Joe Haden and Minkah Fitzpatrick),0.610,1.530
4,2:00,1,10,DAL 39,24,19,Garrett Gilbert pass incomplete short left intended for Dalton Schultz,1.530,0.990
4,1:56,2,10,DAL 39,24,19,Garrett Gilbert pass incomplete deep right intended for CeeDee Lamb,0.990,0.300
4,1:51,3,10,DAL 39,24,19,Garrett Gilbert pass complete short right to Ezekiel Elliott for 2 yards (tackle by Joe Haden),0.300,-0.650
4,1:45,,,,,,Timeout #1 by Dallas Cowboys,,
4,1:45,4,8,DAL 41,24,19,Garrett Gilbert sacked by and Cameron Heyward for -17 yards and T.J. Watt for -17 yards,-0.650,-3.970
4,1:37,1,10,DAL 24,24,19,James Conner left tackle for 2 yards (tackle by Donovan Wilson),3.970,3.700
4,1:31,,,,,,Timeout #2 by Dallas Cowboys,,
4,1:31,2,8,DAL 22,24,19,James Conner left guard for 3 yards (tackle by Jaylon Smith),3.700,3.410
4,1:27,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:27,3,5,DAL 19,24,19,Chase Claypool left end for 4 yards (tackle by Leighton Vander Esch),3.410,2.590
4,0:43,4,1,DAL 15,24,19,James Conner left tackle for -4 yards (tackle by Randy Gregory),2.590,-0.150
4,0:38,1,10,DAL 19,24,19,Garrett Gilbert pass complete deep left to CeeDee Lamb for 32 yards,0.150,2.320
4,0:31,1,10,PIT 49,24,19,Garrett Gilbert pass incomplete deep middle intended for CeeDee Lamb,2.320,1.780
4,0:27,2,10,PIT 49,24,19,Garrett Gilbert pass incomplete short left intended for Ezekiel Elliott,1.780,1.090
4,0:23,3,10,PIT 49,24,19,Garrett Gilbert pass complete deep middle to Michael Gallup for 20 yards (tackle by Cameron Sutton),1.090,3.640
4,0:08,1,10,PIT 29,24,19,Garrett Gilbert spiked the ball,3.640,3.100
4,0:07,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,0:07,2,10,PIT 29,24,19,Garrett Gilbert pass complete short left to Cedrick Wilson for 6 yards,3.100,3.200
4,0:04,3,4,PIT 23,24,19,Garrett Gilbert pass incomplete deep middle intended for CeeDee Lamb (defended by Minkah Fitzpatrick),3.200,2.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
