Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA
2,9:22,1,10,TEN 49,14,3,LenDale White right end for 5 yards (tackle by Greg Ellis and Terence Newman),2.190,2.320
2,8:43,2,5,DAL 46,14,3,LenDale White right tackle for 7 yards (tackle by Bradie James),2.320,2.980
2,8:02,1,10,DAL 39,14,3,David Givens right end for 3 yards (tackle by Roy Williams),2.980,2.850
2,7:23,2,7,DAL 36,14,3,Chris Brown middle for 2 yards (tackle by Kenyon Coleman),2.850,2.410
2,6:40,3,5,DAL 34,14,3,"Vince Young right end for -5 yards (tackle by Greg Ellis). Vince Young fumbles (forced by Greg Ellis), ball out of bounds at DAL-39",2.410,0.660
2,6:07,4,10,DAL 39,14,3,"Craig Hentrich punts 21 yards, fair catch by Patrick Crayton",0.660,-0.040
2,6:00,1,10,DAL 18,14,3,Julius Jones middle for 2 yards (tackle by Albert Haynesworth and Chris Hope),0.040,-0.130
2,5:23,2,8,DAL 20,14,3,Drew Bledsoe pass complete deep left to Terrell Owens for 46 yards (tackle by Reynaldo Hill),-0.130,3.310
2,4:44,1,10,TEN 34,14,3,Julius Jones right guard for 5 yards (tackle by Kyle Vanden Bosch),3.310,3.450
2,4:06,2,5,TEN 29,14,3,Julius Jones left tackle for 4 yards (tackle by David Thornton),3.450,3.270
2,4:06,3,1,TEN 25,14,3,Drew Bledsoe pass complete short right to Terry Glenn for 12 yards (tackle by Lamont Thompson),3.270,4.710
2,2:47,1,10,TEN 13,14,3,Marion Barber right tackle for 6 yards (tackle by Adam Jones and Keith Bulluck),4.710,5.150
2,2:00,2,4,TEN 7,14,3,Drew Bledsoe pass incomplete intended for Terrell Owens (defended by Adam Jones),5.150,4.330
2,1:54,3,4,TEN 7,14,3,Drew Bledsoe pass incomplete short right intended for Anthony Fasano,4.330,2.990
2,1:48,4,4,TEN 7,14,3,Mike Vanderjagt 26 yard field goal no good,2.990,-0.280
2,1:45,1,10,TEN 20,14,3,Chris Brown right tackle for 4 yards (tackle by Akin Ayodele and Jason Ferguson),0.280,0.270
2,1:16,2,6,TEN 24,14,3,Vince Young pass complete short right to Ben Troupe for 4 yards (tackle by Terence Newman),0.270,0.100
2,1:11,3,2,TEN 28,14,3,Vince Young pass complete short left to Bobby Wade for 3 yards (tackle by Pat Watkins and Kevin Burnett),0.100,1.000
2,1:03,,,,14,3,Timeout #1 by Tennessee Titans,0.000,1.000
2,1:03,1,10,TEN 31,14,3,Vince Young pass complete deep middle to Bobby Wade for 24 yards (tackle by Akin Ayodele),1.000,2.590
2,0:39,1,10,DAL 45,14,3,Vince Young pass complete short middle to Bo Scaife for 16 yards (tackle by Roy Williams),2.590,3.640
2,0:32,,,,14,3,Timeout #2 by Tennessee Titans,0.000,3.640
2,0:32,1,10,DAL 29,14,3,Vince Young pass complete short left to Drew Bennett for 7 yards (tackle by Anthony Henry),3.640,4.050
2,0:25,2,3,DAL 22,14,3,Vince Young middle for 1 yard (tackle by DeMarcus Ware and Jay Ratliff),4.050,3.470
2,0:02,,,,14,3,Timeout #3 by Tennessee Titans,0.000,3.470
2,0:02,3,2,DAL 21,14,6,Rob Bironas 39 yard field goal good,3.470,3.000
Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,14,6,"Mike Vanderjagt kicks off 60 yards, returned by Bobby Wade for 17 yards (tackle by Oliver Hoyte)",0.000,0.740
3,14:55,1,10,TEN 27,14,6,Vince Young pass complete short middle to Bo Scaife for 18 yards (tackle by Roy Williams and Akin Ayodele),0.740,1.930
3,14:20,1,10,TEN 45,14,6,LenDale White left guard for 3 yards (tackle by Marcus Spears and Jason Ferguson),1.930,1.790
3,13:43,2,7,TEN 48,14,6,Vince Young pass incomplete short right intended for David Givens is intercepted by Aaron Glenn at DAL-37 and returned for 7 yards,1.790,-1.860
3,13:31,1,10,DAL 44,14,6,Julius Jones right end for 24 yards (tackle by Lamont Thompson and Keith Bulluck),1.860,3.450
3,12:58,1,10,TEN 32,14,6,Terry Glenn right end for 22 yards (tackle by David Thornton and Reynaldo Hill),3.450,4.910
3,12:25,1,10,TEN 10,14,6,Julius Jones left guard for 5 yards (tackle by Albert Haynesworth and Chris Hope),4.910,5.150
3,11:56,2,5,TEN 5,20,6,"Julius Jones middle for 5 yards, touchdown. Penalty on Albert Haynesworth: Unsportsmanlike Conduct, 15 yards, Penalty on Albert Haynesworth: Disqualification, 15 yards",5.150,7.000
3,,,,TEN 2,21,6,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,TEN 40,21,6,"Mike Vanderjagt kicks off 34 yards, returned by Adam Jones for 5 yards (tackle by Jacques Reeves)",0.000,-0.370
3,11:49,1,10,TEN 11,21,6,"Chris Brown right end for 7 yards (tackle by Roy Williams). Penalty on Bo Scaife: Offensive Holding, 5 yards (no play)",-0.370,-0.570
3,11:23,1,15,TEN 6,21,6,Chris Brown middle for no gain (tackle by Greg Ellis and Bradie James),-0.570,-1.150
3,10:44,2,15,TEN 6,21,6,Vince Young pass incomplete deep middle intended for David Givens,-1.150,-2.010
3,10:39,3,15,TEN 6,21,6,Vince Young pass incomplete short left intended for Chris Brown (defended by DeMarcus Ware),-2.010,-2.490
3,10:32,4,15,TEN 6,21,6,"Craig Hentrich punts 39 yards, returned by Terence Newman for 1 yard (tackle by Donnie Nickey)",-2.490,-2.650
3,10:23,1,10,TEN 44,21,6,Julius Jones left guard for 3 yards (tackle by Chris Hope and Robaire Smith),2.650,2.520
3,9:45,2,7,TEN 41,21,6,Drew Bledsoe pass complete short right to Terry Glenn for 5 yards (tackle by Andre Woolfolk and Cortland Finnegan),2.520,2.480
3,9:13,3,2,TEN 36,21,6,Marion Barber middle for 16 yards (tackle by Lamont Thompson and Reynaldo Hill),2.480,4.240
3,8:37,1,10,TEN 20,21,6,Marion Barber middle for 6 yards (tackle by Chris Hope),4.240,4.640
3,8:00,2,4,TEN 14,21,6,Marion Barber middle for 13 yards (tackle by Lamont Thompson),4.640,6.970
3,7:20,1,1,TEN 1,21,6,Marion Barber right tackle for no gain (tackle by Keith Bulluck and Stephen Tulloch),6.970,5.910
3,6:43,2,1,TEN 1,27,6,"Marion Barber left guard for 1 yard, touchdown",5.910,7.000
3,,,,TEN 2,28,6,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,DAL 30,28,6,"Mike Vanderjagt kicks off 66 yards, returned by Bobby Wade for 19 yards (tackle by Ryan Fowler)",0.000,0.480
3,6:31,1,10,TEN 23,28,6,"Vince Young pass incomplete deep right intended for Brandon Jones. Penalty on Terence Newman: Defensive Pass Interfere, 36 yards (no play)",0.480,2.850
3,6:24,1,10,DAL 41,28,6,Vince Young pass complete short left to Brandon Jones for 10 yards (tackle by Terence Newman),2.850,3.510
3,5:50,1,10,DAL 31,28,6,LenDale White right tackle for 2 yards (tackle by Chris Canty and Akin Ayodele),3.510,3.240
3,5:07,2,8,DAL 29,28,6,Vince Young for 9 yards (tackle by Anthony Henry),3.240,4.240
3,4:32,1,10,DAL 20,28,6,Vince Young pass incomplete deep right intended for Roydell Williams,4.240,3.690
3,4:26,2,10,DAL 20,28,6,LenDale White right guard for 3 yards (tackle by Greg Ellis and Marcus Spears),3.690,3.360
3,3:47,3,7,DAL 17,28,12,"Vince Young pass complete short right to Ben Troupe for 17 yards, touchdown",3.360,7.000
3,,,,,28,14,Two Point Attempt: conversion succeeds,1.000,1.000
3,,,,TEN 30,28,14,"Rob Bironas kicks off 71 yards, returned by Tyson Thompson for 16 yards (tackle by Stephen Tulloch)",0.000,-0.220
3,3:36,1,10,DAL 15,28,14,Julius Jones left end for 9 yards (tackle by Reynaldo Hill),-0.220,0.620
3,2:58,2,1,DAL 24,28,14,Julius Jones middle for 2 yards (tackle by Chris Hope and Keith Bulluck),0.620,0.670
3,2:16,1,10,DAL 26,28,14,Marion Barber left guard for 2 yards (tackle by David Thornton),0.670,0.400
3,1:41,2,8,DAL 28,28,14,Drew Bledsoe pass complete short right to Marion Barber for 18 yards (tackle by Andre Woolfolk and Lamont Thompson),0.400,1.990
3,0:56,1,10,DAL 46,28,14,Drew Bledsoe pass complete short right to Terrell Owens for 11 yards (tackle by Robaire Smith and Peter Sirmon),1.990,2.720
3,0:16,1,10,TEN 43,28,14,Marion Barber left end for 4 yards (tackle by Keith Bulluck),2.720,2.720
Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,TEN 39,28,14,Julius Jones middle for 12 yards (tackle by David Thornton and Reynaldo Hill),2.720,3.780
4,14:26,1,10,TEN 27,28,14,Drew Bledsoe pass incomplete short right intended for Terrell Owens,3.780,3.230
4,14:23,2,10,TEN 27,28,14,Julius Jones middle for -1 yards (tackle by Antwan Odom),3.230,2.410
4,13:44,3,11,TEN 28,28,14,Drew Bledsoe pass complete short right to Terrell Owens for 4 yards (tackle by David Thornton),2.410,1.870
4,13:44,4,7,TEN 24,31,14,Mike Vanderjagt 43 yard field goal good,1.870,3.000
4,,,,DAL 30,31,14,"Mike Vanderjagt kicks off 69 yards, returned by Bobby Wade for 32 yards (tackle by Sam Hurd). Bobby Wade fumbles (forced by Sam Hurd), recovered by Ben Troupe at TEN-34",0.000,1.200
4,12:55,1,10,TEN 34,31,14,Vince Young pass incomplete deep left intended for Drew Bennett (defended by Pat Watkins),1.200,0.660
4,12:49,2,10,TEN 34,31,14,Vince Young pass complete short right to Bobby Wade for 18 yards (tackle by Terence Newman and Pat Watkins),0.660,2.390
4,12:05,1,10,DAL 48,31,14,Vince Young pass incomplete deep right intended for Bobby Wade (defended by Pat Watkins),2.390,1.850
4,11:59,2,10,DAL 48,31,14,Vince Young pass complete short left to Drew Bennett for 3 yards (tackle by DeMarcus Ware),1.850,1.550
4,11:17,3,7,DAL 45,31,14,Vince Young pass incomplete short left intended for Chris Brown,1.550,0.270
4,11:12,4,7,DAL 45,31,14,Vince Young pass incomplete short middle intended for Bo Scaife,0.270,-1.930
4,11:08,1,10,DAL 45,31,14,Julius Jones right guard for 4 yards (tackle by Peter Sirmon and Travis LaBoy),1.930,1.920
4,10:27,2,6,DAL 49,31,14,Julius Jones right tackle for 2 yards (tackle by Robaire Smith and Keith Bulluck),1.920,1.490
4,9:46,3,4,TEN 49,31,14,"Penalty on Jason Witten: False Start, 5 yards (no play)",1.490,0.830
4,9:24,3,9,DAL 46,31,14,Marion Barber middle for 7 yards (tackle by Jesse Mahelona),0.830,0.130
4,8:37,4,2,TEN 47,31,14,"Mat McBriar punts 40 yards, fair catch by Bobby Wade",0.130,0.380
4,8:31,1,10,TEN 7,37,14,"Vince Young pass incomplete short right intended for Ben Troupe is intercepted by Bradie James at TEN-15 and returned for 15 yards, touchdown",-0.380,-7.000
4,,,,TEN 2,38,14,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,DAL 30,38,14,"Mike Vanderjagt kicks off 48 yards, returned by Bo Scaife for 18 yards (tackle by Kevin Burnett)",0.000,1.600
4,8:18,1,10,TEN 40,38,14,Vince Young pass incomplete deep right intended for David Givens,1.600,1.050
4,8:12,2,10,TEN 40,38,14,Vince Young pass complete short middle to Brandon Jones for 8 yards (tackle by Anthony Henry),1.050,1.420
4,7:33,3,2,TEN 48,38,14,Chris Brown right end for 5 yards (tackle by Ryan Fowler and Alshermond Singleton),1.420,2.460
4,6:55,1,10,DAL 47,38,14,Vince Young pass incomplete deep right intended for David Givens (defended by Aaron Glenn),2.460,1.910
4,6:49,2,10,DAL 47,38,14,"Vince Young left end for 4 yards (tackle by Alshermond Singleton). Vince Young fumbles (forced by Alshermond Singleton), recovered by Pat Watkins at DAL-36 and returned for 53 yards (tackle by Brandon Jones)",1.910,-4.840
4,6:31,1,10,TEN 11,38,14,Tyson Thompson middle for 4 yards (tackle by Lamont Thompson and Kyle Vanden Bosch),4.840,4.890
4,5:46,2,6,TEN 7,44,14,"Tyson Thompson middle for 7 yards, touchdown",4.890,7.000
4,,,,TEN 2,45,14,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,DAL 30,45,14,"Mike Vanderjagt kicks off 71 yards, returned by Bobby Wade for 19 yards (tackle by Keith Davis)",0.000,0.040
4,5:38,1,10,TEN 18,45,14,LenDale White left end for 2 yards (tackle by Jason Hatcher and Kevin Burnett),0.040,-0.130
4,4:59,2,8,TEN 20,45,14,Vince Young sacked by Kevin Burnett for -2 yards,-0.130,-1.170
4,4:24,3,10,TEN 18,45,14,Vince Young sacked by Chris Canty for -2 yards,-1.170,-2.390
4,3:48,4,12,TEN 16,45,14,Craig Hentrich punts 24 yards,-2.390,-2.920
4,3:40,1,10,TEN 40,45,14,Tyson Thompson right guard for 1 yard (tackle by Travis LaBoy and Robaire Smith),2.920,2.510
4,2:53,2,9,TEN 39,45,14,Tyson Thompson right tackle for 4 yards (tackle by Peter Sirmon),2.510,2.340
4,2:04,3,5,TEN 35,45,14,Tyson Thompson right tackle for 2 yards (tackle by Jesse Mahelona and Robaire Smith),2.340,1.190
4,1:57,4,3,TEN 33,45,14,Tony Romo left end for 4 yards (tackle by Keith Bulluck),1.190,3.640
4,1:07,1,10,TEN 29,45,14,Tony Romo kneels for -2 yards,3.640,2.830
4,0:26,2,12,TEN 31,45,14,Tony Romo kneels for -2 yards,2.830,1.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
