Quarter,Time,Down,ToGo,Location,DAL,DET,Detail,EPB,EPA
2,8:19,1,10,DAL 37,7,13,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Travis Fisher),1.400,1.670
2,7:39,2,4,DAL 43,7,13,Julius Jones up the middle for 2 yards (tackle by Shaun Rogers and Gerald Alexander),1.670,1.220
2,6:59,3,2,DAL 45,7,13,Tony Romo pass incomplete short right intended for Patrick Crayton (defended by Fernando Bryant),1.220,-0.390
2,6:52,4,2,DAL 45,7,13,"Mat McBriar punts 55 yards, touchback",-0.390,-0.280
2,6:45,1,10,DET 20,7,13,Jon Kitna pass complete deep right to Calvin Johnson for 19 yards,0.280,1.530
2,6:23,1,10,DET 39,7,13,Kevin Jones up the middle for 16 yards (tackle by Ken Hamlin),1.530,2.590
2,5:46,1,10,DAL 45,7,13,Jon Kitna pass complete short right to Shaun McDonald for 9 yards (tackle by Terence Newman),2.590,3.260
2,5:11,2,1,DAL 36,7,13,T.J. Duckett right tackle for 2 yards (tackle by Chris L. Canty and Akin Ayodele),3.260,3.310
2,4:31,1,10,DAL 34,7,13,Kevin Jones left tackle for 3 yards (tackle by Jason Hatcher),3.310,3.180
2,3:55,2,7,DAL 31,7,13,Jon Kitna pass complete short right to Calvin Johnson for 18 yards (tackle by Roy Williams),3.180,4.710
2,3:15,1,10,DAL 13,7,13,T.J. Duckett left tackle for 3 yards (tackle by Chris L. Canty),4.710,4.580
2,2:36,2,7,DAL 10,7,13,T.J. Duckett right end for 9 yards (tackle by Roy Williams and Terence Newman),4.580,6.970
2,2:00,1,1,DAL 1,7,13,Kevin Jones right tackle for -1 yards (tackle by Bradie James),6.970,5.720
2,1:52,,,,7,13,Timeout #1 by Dallas Cowboys,0.000,5.720
2,1:52,2,2,DAL 2,7,13,Jon Kitna pass incomplete short left intended for Calvin Johnson (defended by Ken Hamlin),5.720,4.950
2,1:46,3,2,DAL 2,7,19,"Kevin Jones up the middle for 2 yards, touchdown",4.950,7.000
2,,,,DAL 2,7,20,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,7,20,"Jason Hanson kicks off 48 yards, returned by Nate Jones for 13 yards (tackle by Aveion Cason)",0.000,1.270
2,1:36,1,10,DAL 35,7,20,Tony Romo pass complete short left to Marion Barber for 2 yards (tackle by Ernie Sims),1.270,0.990
2,1:29,2,8,DAL 37,7,20,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Travis Fisher),0.990,1.990
2,1:07,1,10,DAL 46,7,20,Tony Romo pass complete short right to Jason Witten for 9 yards (tackle by Gerald Alexander),1.990,2.670
2,1:01,2,1,DET 45,7,20,Tony Romo up the middle for 15 yards (tackle by Ernie Sims),2.670,3.580
2,0:47,,,,7,20,Timeout #1 by Detroit Lions,0.000,3.580
2,0:47,1,10,DET 30,7,20,Tony Romo pass complete short middle to Jason Witten for 12 yards (tackle by Ernie Sims),3.580,4.370
2,0:41,,,,7,20,Timeout #2 by Dallas Cowboys,0.000,4.370
2,0:41,1,10,DET 18,7,20,Tony Romo pass complete short left to Marion Barber for 10 yards (tackle by Gerald Alexander),4.370,5.370
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
2,0:33,1,8,DET 8,13,20,"Tony Romo pass complete short left to Marion Barber for 8 yards, touchdown",5.370,7.000
2,,,,DET 2,14,20,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,14,20,"Nick Folk kicks off 46 yards, returned by Blaine Saipaia for 11 yards (tackle by Keith Davis)",0.000,1.270
2,0:23,1,10,DET 35,14,20,Jon Kitna pass complete short right to Aveion Cason for 4 yards (tackle by Nate Jones),1.270,1.260
2,0:18,2,6,DET 39,14,20,Jon Kitna pass incomplete deep left intended for Calvin Johnson,1.260,0.560
2,0:12,3,6,DET 39,14,20,"Penalty on Edwin Mulitalo: False Start, 5 yards (no play)",0.560,-0.100
2,0:12,3,11,DET 34,14,20,Jon Kitna pass incomplete deep middle intended for Calvin Johnson (defended by Pat Watkins),-0.100,-1.110
2,0:07,4,11,DET 34,14,20,Nick Harris punts 58 yards,-1.110,1.200
Quarter,Time,Down,ToGo,Location,DAL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,14,20,"Nick Folk kicks off 62 yards, returned by Aveion Cason for 28 yards (tackle by Justin Rogers)",0.000,1.330
3,14:53,1,10,DET 36,14,20,Kevin Jones left tackle for 7 yards (tackle by Roy Williams),1.330,1.740
3,14:21,2,3,DET 43,14,20,Kevin Jones right tackle for 2 yards (tackle by Chris L. Canty),1.740,1.290
3,13:40,3,1,DET 45,14,20,Jon Kitna pass incomplete deep right intended for Sean McHugh,1.290,-0.390
3,13:34,4,1,DET 45,14,20,Nick Harris punts 52 yards,-0.390,0.380
3,13:26,1,10,DAL 3,14,20,Julius Jones right tackle for 2 yards (tackle by Paris Lenon and Kenoy Kennedy),-0.380,-0.630
3,12:49,2,8,DAL 5,14,20,Tony Romo pass complete short right to Terrell Owens for 4 yards (tackle by Travis Fisher). Penalty on Terrell Owens: Offensive Pass Interference (Declined),-0.630,-0.720
3,12:18,3,4,DAL 9,14,20,Tony Romo pass complete short right to Terrell Owens for 13 yards (tackle by Ernie Sims),-0.720,0.410
3,11:50,1,10,DAL 22,14,20,Tony Romo pass incomplete short middle intended for Jason Witten,0.410,-0.130
3,11:44,2,10,DAL 22,14,20,Julius Jones left end for 1 yard (tackle by Travis Fisher and Dewayne White),-0.130,-0.690
3,10:55,3,9,DAL 23,14,20,"Penalty on Tony Romo: Delay of Game, 5 yards, Penalty on Tony Romo: Delay of Game (Declined) (no play)",-0.690,-1.490
3,10:52,3,14,DAL 18,14,20,Tony Romo sacked by Dewayne White for -9 yards,-1.490,-2.490
3,10:16,4,23,DAL 9,14,20,Mat McBriar punts 32 yards,-2.490,-2.850
3,10:08,1,10,DAL 41,14,20,Jon Kitna pass complete short right to Calvin Johnson for no gain,2.850,2.310
3,9:29,2,10,DAL 41,14,20,Kevin Jones right tackle for 1 yard (tackle by Bradie James),2.310,1.750
3,8:43,3,9,DAL 40,14,20,Jon Kitna pass complete short right to Calvin Johnson for 13 yards,1.750,3.780
3,8:23,1,10,DAL 27,14,20,T.J. Duckett left tackle for 6 yards (tackle by Roy Williams and Jason Hatcher),3.780,4.040
3,7:46,2,4,DAL 21,14,20,T.J. Duckett up the middle for 5 yards (tackle by DeMarcus Ware and Anthony Henry),4.040,4.510
3,7:08,1,10,DAL 16,14,20,Kevin Jones right end for no gain (tackle by Akin Ayodele),4.510,3.900
3,6:28,2,10,DAL 16,14,20,Jon Kitna pass complete short right to Mike Furrey for 5 yards (tackle by Terence Newman),3.900,3.940
3,5:43,3,5,DAL 11,14,20,Jon Kitna pass complete short left to Brandon Middleton for 6 yards (tackle by Pat Watkins),3.940,6.060
3,5:04,1,5,DAL 5,14,20,Kevin Jones up the middle for 2 yards (tackle by DeMarcus Ware and Akin Ayodele),6.060,5.530
3,4:24,2,3,DAL 3,14,26,"Kevin Jones up the middle for 3 yards, touchdown",5.530,7.000
3,,,,DAL 2,14,27,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 30,14,27,"Jason Hanson kicks off 45 yards, returned by Nate Jones for 19 yards (tackle by Dovonte Edwards)",0.000,1.860
3,4:11,1,10,DAL 44,14,27,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Travis Fisher),1.860,2.590
3,3:35,1,10,DET 45,14,27,Tony Romo pass complete short left to Marion Barber for 8 yards (tackle by Travis Fisher),2.590,3.120
3,3:06,2,2,DET 37,14,27,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Ernie Sims),3.120,3.640
3,2:33,1,10,DET 29,14,27,Marion Barber left tackle for 7 yards (tackle by Paris Lenon),3.640,4.050
3,1:57,2,3,DET 22,14,27,Tony Romo pass complete short left to Terrell Owens for 4 yards (tackle by Keith Smith),4.050,4.370
3,1:19,1,10,DET 18,14,27,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Travis Fisher),4.370,5.600
3,0:55,1,7,DET 7,14,27,Marion Barber right end for 1 yard (tackle by Greg Blue),5.600,4.950
3,0:13,2,6,DET 6,14,27,Tony Romo pass complete short right to Marion Barber for 3 yards (tackle by Greg Blue),4.950,4.720
Quarter,Time,Down,ToGo,Location,DAL,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,DET 3,14,27,Tony Romo pass complete short right to Marion Barber for 2 yards (tackle by Gerald Alexander),4.720,3.550
4,14:14,4,1,DET 1,20,27,"Marion Barber up the middle for 1 yard, touchdown",3.550,7.000
4,,,,DET 2,21,27,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,21,27,"Nick Folk kicks off 70 yards, returned by Aveion Cason for 36 yards (tackle by Jacques Reeves)",0.000,1.330
4,14:03,1,10,DET 36,21,27,Jon Kitna pass complete short right to Shaun McDonald for 13 yards (tackle by Terence Newman),1.330,2.190
4,13:30,1,10,DET 49,21,27,Kevin Jones left tackle for 18 yards (tackle by Ken Hamlin),2.190,3.380
4,12:43,1,10,DAL 33,21,27,T.J. Duckett up the middle for no gain (tackle by Bradie James),3.380,2.840
4,12:04,2,10,DAL 33,21,27,Jon Kitna pass complete short left to Sean McHugh for 20 yards (tackle by Ken Hamlin),2.840,4.710
4,11:25,1,10,DAL 13,21,27,Jon Kitna pass incomplete short right intended for Shaun McDonald,4.710,4.050
4,11:19,2,10,DAL 13,21,27,"Jon Kitna pass complete short right to Calvin Johnson for 1 yard (tackle by Terence Newman). Penalty on Calvin Johnson: Delay of Game, 5 yards",4.050,2.880
4,10:55,3,14,DAL 17,21,27,Jon Kitna pass incomplete deep right intended for Mike Furrey,2.880,2.310
4,10:49,4,14,DAL 17,21,27,Jason Hanson 35 yard field goal no good,2.310,-0.610
4,10:45,1,10,DAL 25,21,27,Tony Romo pass incomplete short right intended for Jason Witten,0.610,0.060
4,10:40,2,10,DAL 25,21,27,Tony Romo pass complete deep right to Patrick Crayton for 30 yards (tackle by Travis Fisher),0.060,2.590
4,10:07,1,10,DET 45,21,27,Tony Romo pass complete short right to Julius Jones for 8 yards (tackle by Dovonte Edwards),2.590,3.120
4,9:20,2,2,DET 37,21,27,Tony Romo pass complete short right to Sam Hurd for 7 yards (tackle by Dovonte Edwards),3.120,3.580
4,8:43,1,10,DET 30,21,27,Tony Romo pass incomplete deep left intended for Patrick Crayton,3.580,3.030
4,8:35,2,10,DET 30,21,27,Tony Romo pass complete short middle to Julius Jones for 5 yards (tackle by Ernie Sims),3.030,3.010
4,7:51,3,5,DET 25,21,27,Tony Romo pass complete short left to Jason Witten for 8 yards (tackle by Travis Fisher),3.010,4.440
4,7:09,1,10,DET 17,21,27,Tony Romo pass complete short middle to Patrick Crayton for 12 yards (tackle by Greg Blue),4.440,6.060
4,6:36,1,5,DET 5,21,27,"Penalty on Jason Witten: False Start, 5 yards (no play)",6.060,4.910
4,6:11,,,,21,27,Timeout #1 by Dallas Cowboys,0.000,4.910
4,6:11,1,10,DET 10,21,27,"Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Ernie Sims). Jason Witten fumbles (forced by Ernie Sims), recovered by Greg Blue at DET-1 (tackle by Jason Witten)",4.910,0.380
4,5:47,1,10,DET 1,21,27,Kevin Jones left tackle for 4 yards (tackle by Anthony Henry),-0.380,-0.490
4,5:04,2,6,DET 5,21,27,Kevin Jones up the middle for -4 yards (tackle by Jay Ratliff),-0.490,-1.420
4,4:23,3,10,DET 1,21,27,Jon Kitna pass complete short left to Shaun McDonald for 13 yards,-1.420,-0.280
4,4:18,1,10,DET 14,21,27,"T.J. Duckett up the middle for 2 yards (tackle by Greg Ellis). Penalty on Sean McHugh: Illegal Shift, 5 yards (no play)",-0.280,-0.570
4,4:13,1,15,DET 9,21,27,Jon Kitna pass complete short left to Shaun McDonald for 8 yards (tackle by Anthony Henry),-0.570,-0.370
4,4:08,2,7,DET 17,21,27,Jon Kitna pass incomplete short right intended for Shaun McDonald,-0.370,-1.040
4,4:02,3,7,DET 17,21,27,Jon Kitna pass complete short right to Shaun McDonald for 19 yards (tackle by Jacques Reeves),-1.040,1.330
4,3:20,1,10,DET 36,21,27,Kevin Jones right tackle for 3 yards (tackle by Akin Ayodele and Marcus R. Spears),1.330,1.200
4,2:37,2,7,DET 39,21,27,Kevin Jones left tackle for -2 yards (tackle by Jay Ratliff),1.200,0.230
4,2:26,,,,21,27,Timeout #3 by Dallas Cowboys,0.000,0.230
4,2:26,3,9,DET 37,21,27,Jon Kitna pass incomplete short right intended for Shaun McDonald (defended by Greg Ellis),0.230,-0.910
4,2:21,4,9,DET 37,21,27,Nick Harris punts 46 yards,-0.910,0.060
4,2:15,1,10,DAL 17,21,27,Tony Romo pass complete short left to Marion Barber for 6 yards (tackle by Keith Smith),-0.060,0.350
4,2:00,2,4,DAL 23,21,27,Tony Romo pass incomplete short left intended for Sam Hurd,0.350,-0.490
4,1:56,3,4,DAL 23,21,27,Tony Romo pass complete short right to Jason Witten for 13 yards (tackle by Greg Blue),-0.490,1.330
4,1:36,1,10,DAL 36,21,27,Tony Romo pass complete short right to Jason Witten for 4 yards (tackle by Dovonte Edwards),1.330,1.330
4,1:31,2,6,DAL 40,21,27,Tony Romo pass incomplete short right intended for Terrell Owens,1.330,0.630
4,1:28,3,6,DAL 40,21,27,"Tony Romo sacked by Jared DeVries for 0 yards. Tony Romo fumbles (forced by Jared DeVries), recovered by Kyle Kosier at DAL-40",0.630,-0.720
4,0:57,4,6,DAL 40,21,27,Tony Romo pass complete short left to Marion Barber for 13 yards (tackle by Keith Smith),-0.720,2.460
4,0:45,1,10,DET 47,21,27,"Tony Romo spiked the ball. Penalty on DET: Defensive 12 On-field, 5 yards (no play)",2.460,3.190
4,0:43,1,5,DET 42,21,27,Tony Romo pass complete short right to Jason Witten for 6 yards (tackle by Dovonte Edwards),3.190,3.180
4,0:34,1,10,DET 36,21,27,Tony Romo pass complete deep right to Sam Hurd for 16 yards (tackle by Dovonte Edwards),3.180,4.240
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:26,1,10,DET 20,21,27,Tony Romo pass complete short right to Marion Barber for 4 yards (tackle by Dovonte Edwards),4.240,4.280
4,0:22,2,6,DET 16,27,27,"Tony Romo pass complete deep middle to Jason Witten for 16 yards, touchdown",4.280,7.000
4,,,,DET 2,28,27,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,28,27,"Nick Folk kicks off 67 yards, returned by Brandon Middleton for 13 yards (tackle by Keith Davis)",0.000,-0.140
4,0:09,1,10,DET 16,28,27,Jon Kitna pass incomplete deep left intended for Shaun McDonald,-0.140,-0.660
4,0:06,2,10,DET 16,28,27,Jon Kitna pass incomplete short middle intended for Kevin Jones,-0.660,-1.320
4,0:02,3,10,DET 16,28,27,"Jon Kitna sacked by Greg Ellis for -9 yards. Jon Kitna fumbles (forced by Greg Ellis), recovered by Jon Kitna at DET-5",-1.320,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
