Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
2,7:14,3,7,STL 33,0,17,Sam Bradford pass complete short right to Greg Salas for 3 yards (tackle by Charles Woodson),0.100,-0.980
2,6:40,4,4,STL 36,0,17,Donnie Jones punts 31 yards,-0.980,-1.140
2,6:34,1,10,GNB 33,0,17,Ryan Grant right end for no gain (tackle by Fred Robbins and Justin King),1.140,0.590
2,6:01,2,10,GNB 33,0,17,"Aaron Rodgers pass incomplete short middle intended for Greg Jennings (defended by Justin Bannan). Penalty on Justin King: Illegal Contact, 5 yards (no play)",0.590,1.470
2,5:58,1,10,GNB 38,0,17,Aaron Rodgers pass complete short left to Greg Jennings for 7 yards (tackle by Al Harris),1.470,1.870
2,5:25,2,3,GNB 45,0,17,Aaron Rodgers for 3 yards (tackle by James Laurinaitis),1.870,2.130
2,5:03,1,10,GNB 48,0,17,Aaron Rodgers pass complete short right to Ryan Grant for 15 yards (tackle by Chris Chamberlain),2.130,3.120
2,4:21,1,10,STL 37,0,17,Ryan Grant left end for 2 yards (tackle by James Hall and Darell Scott),3.120,2.840
2,3:40,2,8,STL 35,0,17,Aaron Rodgers pass complete short middle to Greg Jennings for 17 yards (tackle by Craig Dahl),2.840,4.370
2,3:03,1,10,STL 18,0,17,James Starks right end for 2 yards (tackle by Darian Stewart and Quintin Mikell),4.370,4.090
2,2:30,2,8,STL 16,0,17,Aaron Rodgers pass incomplete deep left intended for Greg Jennings (defended by Justin King),4.090,3.300
2,2:25,3,8,STL 16,0,17,Aaron Rodgers left end for 9 yards (tackle by James Laurinaitis),3.300,5.600
2,2:00,1,7,STL 7,0,17,Aaron Rodgers pass incomplete short right intended for Greg Jennings,5.600,4.760
2,1:56,2,7,STL 7,0,23,"Aaron Rodgers pass complete short left to Donald Driver for 7 yards, touchdown",4.760,7.000
2,,,,STL 2,0,24,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 35,0,24,"Mason Crosby kicks off 71 yards, returned by Quinn Porter for 26 yards (tackle by Brad Jones)",0.000,0.280
2,1:45,1,10,STL 20,0,24,Sam Bradford sacked by Charles Woodson for -6 yards,0.280,-1.180
2,1:06,2,16,STL 14,0,24,Steven Jackson left guard for 6 yards (tackle by Desmond Bishop),-1.180,-0.960
2,1:01,,,,0,24,Timeout #1 by Green Bay Packers,0.000,-0.960
2,1:01,3,10,STL 20,0,24,Sam Bradford pass complete deep middle to Brandon Gibson for 21 yards (tackle by Morgan Burnett and Charles Woodson),-0.960,1.660
2,0:40,1,10,STL 41,0,24,Sam Bradford pass incomplete short left intended for Brandon Gibson,1.660,1.120
2,0:36,2,10,STL 41,0,24,Sam Bradford pass complete short middle to Greg Salas for 16 yards (tackle by Tramon Williams),1.120,2.720
2,0:28,1,10,GNB 43,0,24,Sam Bradford pass incomplete short right intended for Brandon Gibson,2.720,2.180
2,0:24,2,10,GNB 43,0,24,Sam Bradford pass complete short middle to Brandon Gibson for 14 yards (tackle by Tramon Williams),2.180,3.640
2,0:16,,,,0,24,Timeout #2 by St. Louis Rams,0.000,3.640
2,0:16,1,10,GNB 29,0,24,Sam Bradford pass incomplete short middle intended for Brandon Gibson (defended by Clay Matthews),3.640,3.100
2,0:12,2,10,GNB 29,0,24,Sam Bradford pass complete short right to Steven Jackson for 11 yards (tackle by Morgan Burnett),3.100,4.370
2,0:07,1,10,GNB 18,3,24,Josh Brown 36 yard field goal good,4.370,3.000
2,,,,STL 35,3,24,"Josh Brown kicks off 39 yards, returned by Tom Crabtree for 11 yards (tackle by Josh Hull)",0.000,1.270
Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,3,24,"Josh Brown kicks off 68 yards, returned by Randall Cobb for 16 yards (tackle by Darian Stewart). Penalty on Ryan Taylor: Offensive Holding, 6 yards, Penalty on M.D. Jennings: Offensive Holding (Declined)",0.000,-0.380
3,14:55,1,10,GNB 7,3,24,James Starks right guard for 10 yards (tackle by Darian Stewart),-0.380,-0.060
3,14:32,1,10,GNB 17,3,24,Aaron Rodgers pass complete short right to Donald Driver for 12 yards (tackle by Justin King),-0.060,0.870
3,14:06,1,10,GNB 29,3,24,Aaron Rodgers pass complete short left to Greg Jennings for 15 yards (tackle by Fred Robbins and Chris Chamberlain),0.870,1.860
3,13:22,1,10,GNB 44,3,24,Aaron Rodgers pass incomplete short middle intended for Greg Jennings (defended by Darian Stewart),1.860,1.320
3,13:18,2,10,GNB 44,3,24,James Starks left end for no gain (tackle by Chris Chamberlain),1.320,0.630
3,12:44,3,10,GNB 44,3,24,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley,0.630,-0.460
3,12:41,4,10,GNB 44,3,24,Tim Masthay punts 32 yards,-0.460,-0.540
3,12:34,1,10,STL 24,3,24,Steven Jackson left end for 7 yards (tackle by Frank Zombo),0.540,0.940
3,12:06,2,3,STL 31,3,24,Steven Jackson left guard for 1 yard (tackle by Desmond Bishop and A.J. Hawk),0.940,0.370
3,11:24,3,2,STL 32,3,24,Sam Bradford pass complete short middle to Greg Salas for 18 yards (tackle by Tramon Williams),0.370,2.260
3,11:00,1,10,,3,24,Sam Bradford pass incomplete short left intended for Greg Salas,2.260,1.710
3,10:57,2,10,,3,24,Steven Jackson left end for 4 yards (tackle by A.J. Hawk),1.710,1.550
3,10:38,3,6,GNB 46,3,24,Sam Bradford pass complete short left to Steven Jackson for 2 yards (tackle by Desmond Bishop),1.550,0.330
3,10:20,4,4,GNB 44,3,24,"Donnie Jones punts 30 yards, fair catch by Randall Cobb",0.330,0.280
3,10:12,1,10,GNB 14,3,24,Ryan Grant left end for 1 yard (tackle by Darell Scott and Brady Poppinga),-0.280,-0.640
3,9:29,2,9,GNB 15,3,24,Aaron Rodgers right end for 1 yard (tackle by Robert Quinn and Brady Poppinga),-0.640,-1.160
3,8:42,3,8,GNB 16,3,24,Aaron Rodgers pass complete deep middle to Greg Jennings for 24 yards (tackle by Craig Dahl),-1.160,1.600
3,7:59,1,10,GNB 40,3,24,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Justin King and Darian Stewart),1.600,1.860
3,7:14,2,4,GNB 46,3,24,Ryan Grant left tackle for 2 yards (tackle by Justin Bannan and James Hall),1.860,1.420
3,6:30,,,,3,24,Timeout #1 by Green Bay Packers,0.000,1.420
3,6:30,3,2,GNB 48,3,24,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,1.420,-0.190
3,6:26,4,2,GNB 48,3,24,"Tim Masthay punts 52 yards, touchback",-0.190,-0.280
3,6:18,1,10,STL 20,3,24,Sam Bradford pass complete deep right to Greg Salas for 19 yards (tackle by Tramon Williams),0.280,1.530
3,5:59,1,10,STL 39,3,24,Steven Jackson right end for 7 yards (tackle by B.J. Raji),1.530,1.930
3,5:29,2,3,STL 46,3,24,Steven Jackson up the middle for 2 yards (tackle by Desmond Bishop and Charlie Peprah),1.930,1.490
3,5:04,3,1,STL 48,3,24,Sam Bradford up the middle for no gain (tackle by Ryan Pickett),1.490,-0.190
3,4:42,4,1,STL 48,3,24,Steven Jackson left end for 4 yards (tackle by A.J. Hawk and Charlie Peprah),-0.190,2.390
3,4:06,1,10,GNB 48,3,24,Sam Bradford pass complete deep left to Danario Alexander for 21 yards (tackle by Desmond Bishop),2.390,3.780
3,3:33,1,10,GNB 27,3,24,Sam Bradford pass incomplete short right intended for Greg Salas (defended by Clay Matthews),3.780,3.230
3,3:29,2,10,GNB 27,3,24,Sam Bradford pass complete short middle to Cadillac Williams for 9 yards (tackle by Morgan Burnett),3.230,3.840
3,2:57,3,1,GNB 18,3,24,Steven Jackson up the middle for 8 yards (tackle by Morgan Burnett),3.840,4.910
3,2:21,1,10,GNB 10,3,24,Sam Bradford pass incomplete deep left intended for Danario Alexander is intercepted by Sam Shields,4.910,-0.280
3,2:11,1,10,GNB 20,3,24,James Starks left end for 7 yards (tackle by Quintin Mikell),0.280,0.680
3,1:32,2,3,GNB 27,3,24,Aaron Rodgers left tackle for 5 yards (tackle by Chris Chamberlain),0.680,1.070
3,0:50,1,10,GNB 32,3,24,James Starks right end for 2 yards (tackle by Chris Chamberlain),1.070,0.800
3,0:50,2,8,GNB 34,3,24,"Penalty on Randall Cobb: False Start, 5 yards (no play)",0.800,0.120
Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,GNB 29,3,24,Aaron Rodgers pass incomplete short middle intended for D.J. Williams,0.120,-0.560
4,14:56,3,13,GNB 29,3,24,Aaron Rodgers pass incomplete deep right intended for Jermichael Finley,-0.560,-1.440
4,14:47,4,13,GNB 29,3,24,"Tim Masthay punts 67 yards, returned by Austin Pettis for 17 yards (tackle by Tom Crabtree)",-1.440,-0.340
4,14:34,1,10,STL 21,3,24,Sam Bradford pass complete short left to Lance Kendricks for 9 yards (tackle by Desmond Bishop),0.340,1.020
4,14:26,2,1,STL 30,3,24,Sam Bradford pass complete short right to Cadillac Williams for 7 yards (tackle by A.J. Hawk and Desmond Bishop),1.020,1.400
4,13:51,1,10,STL 37,3,24,Sam Bradford pass complete deep left to Danario Alexander for 32 yards (tackle by Jarrett Bush),1.400,3.510
4,13:40,1,10,GNB 31,3,24,"Sam Bradford for no gain. Sam Bradford fumbles, ball out of bounds at GNB-47",3.510,0.810
4,13:35,2,26,GNB 47,3,24,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",0.810,0.130
4,13:18,2,31,STL 48,3,24,Sam Bradford pass complete short left to Greg Salas for 2 yards (tackle by Jarrett Bush),0.130,-0.230
4,13:04,3,29,,3,24,Sam Bradford pass complete short middle to Lance Kendricks for 9 yards (tackle by Frank Zombo),-0.230,0.530
4,12:28,4,20,GNB 41,3,24,"Donnie Jones punts 29 yards, fair catch by Randall Cobb",0.530,0.350
4,12:21,1,10,GNB 12,3,24,Aaron Rodgers pass complete short left to Jordy Nelson for 11 yards (tackle by Chris Chamberlain),-0.350,0.480
4,11:51,1,10,GNB 23,3,24,James Starks right end for 1 yard (tackle by Chris Chamberlain),0.480,0.070
4,11:10,2,9,GNB 24,3,24,Aaron Rodgers pass complete short right to Donald Driver for 6 yards (tackle by Darian Stewart),0.070,0.170
4,10:28,3,3,GNB 30,3,24,Aaron Rodgers pass incomplete short middle intended for Donald Driver,0.170,-1.370
4,10:25,4,3,GNB 30,3,24,"Tim Masthay punts 46 yards, returned by Austin Pettis for 39 yards (tackle by Tim Masthay)",-1.370,-3.120
4,10:09,1,10,GNB 37,3,24,Sam Bradford pass complete short middle to Danario Alexander for 8 yards (tackle by Desmond Bishop),3.120,3.650
4,9:37,2,2,GNB 29,3,24,"Steven Jackson up the middle for 9 yards (tackle by Morgan Burnett). Steven Jackson fumbles (forced by Morgan Burnett), recovered by Michael Hoomanawanui at GNB-19",3.650,4.310
4,8:57,1,10,GNB 19,3,24,Sam Bradford pass incomplete short left intended for Cadillac Williams,4.310,3.750
4,8:53,2,10,GNB 19,3,24,Sam Bradford pass complete short left to Cadillac Williams for 1 yard (tackle by Morgan Burnett),3.750,3.140
4,8:53,3,9,GNB 18,3,24,"Penalty on Jason Smith: False Start, 5 yards (no play)",3.140,2.540
4,7:51,3,14,GNB 23,3,24,Sam Bradford pass complete short middle to Brandon Gibson for 8 yards (tackle by A.J. Hawk),2.540,2.470
4,7:14,4,6,GNB 15,3,24,Sam Bradford pass incomplete short middle intended for Lance Kendricks,2.470,0.220
4,7:10,1,10,GNB 15,3,24,Ryan Grant right end for 3 yards (tackle by Justin Bannan),-0.220,-0.280
4,6:27,2,7,GNB 18,3,24,Ryan Grant left tackle for 2 yards (tackle by Justin Bannan and James Hall),-0.280,-0.760
4,5:45,3,5,GNB 20,3,24,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings is intercepted by Craig Dahl at GNB-48 and returned for -3 yards (tackle by Greg Jennings),-0.760,-2.190
4,5:37,1,10,STL 49,3,24,Steven Jackson left tackle for 6 yards (tackle by Frank Zombo and Charlie Peprah),2.190,2.460
4,5:05,2,4,GNB 45,3,24,Sam Bradford pass complete short right to Steven Jackson for 13 yards (tackle by Charlie Peprah),2.460,3.450
4,4:59,1,10,GNB 32,3,24,Sam Bradford pass incomplete deep right intended for Brandon Gibson,3.450,2.900
4,4:54,2,10,GNB 32,3,24,Sam Bradford pass complete short left to Steven Jackson for 3 yards (tackle by Charlie Peprah),2.900,2.610
4,4:17,3,7,GNB 29,3,24,Sam Bradford pass incomplete short right intended for Steven Jackson,2.610,1.500
4,4:17,4,7,GNB 29,3,24,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",1.500,1.060
4,4:13,4,12,GNB 34,3,24,Sam Bradford sacked by Clay Matthews for -7 yards,1.060,-1.730
4,4:08,1,10,GNB 42,3,24,James Starks left end for 2 yards (tackle by Darell Scott),1.730,1.460
4,3:25,2,8,GNB 44,3,24,James Starks right end for 1 yard (tackle by James Laurinaitis),1.460,0.890
4,3:18,,,,3,24,Timeout #1 by St. Louis Rams,0.000,0.890
4,3:18,3,7,GNB 45,3,24,Aaron Rodgers pass complete short middle to Greg Jennings for 8 yards (tackle by Craig Dahl),0.890,2.460
4,2:37,1,10,STL 47,3,24,James Starks left tackle for 5 yards (tackle by James Hall and James Laurinaitis),2.460,2.590
4,2:31,,,,3,24,Timeout #2 by St. Louis Rams,0.000,2.590
4,2:31,2,5,STL 42,3,24,James Starks left tackle for 2 yards (tackle by Chris Long and James Laurinaitis),2.590,2.150
4,2:25,,,,3,24,Timeout #3 by St. Louis Rams,0.000,2.150
4,2:25,3,3,STL 40,3,24,James Starks up the middle for 5 yards (tackle by Chris Long),2.150,3.250
4,2:00,1,10,STL 35,3,24,Aaron Rodgers kneels for -1 yards,3.250,2.570
4,1:19,2,11,STL 36,3,24,Aaron Rodgers kneels for -1 yards,2.570,1.750
4,0:40,3,12,STL 37,3,24,Aaron Rodgers kneels for -1 yards,1.750,0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
