Quarter,Time,Down,ToGo,Location,WAS,OAK,Detail,EPB,EPA
2,9:41,3,2,OAK 27,10,14,Matt Flynn pass complete short right to Rashad Jennings for 1 yard (tackle by Brandon Meriweather),-0.030,-1.500
2,9:10,4,1,OAK 28,10,14,Taiwan Jones left end for 19 yards (tackle by Niles Paul),-1.500,2.060
2,8:29,1,10,OAK 47,10,14,Matt Flynn pass incomplete deep middle intended for Jeron Mastrud,2.060,1.520
2,8:23,2,10,OAK 47,10,14,Matt Flynn pass complete short left to Rashad Jennings for 8 yards (tackle by Stephen Bowen and Josh Wilson),1.520,1.880
2,7:44,3,2,WAS 45,10,14,Matt Flynn pass incomplete short right intended for Brice Butler,1.880,0.270
2,7:36,4,2,WAS 45,10,14,"Marquette King punts 45 yards, touchback",0.270,-0.280
2,7:27,1,10,WAS 20,10,14,Robert Griffin pass incomplete short right intended for Niles Paul,0.280,-0.270
2,7:20,2,10,WAS 20,10,14,Alfred Morris right end for 3 yards (tackle by Vance Walker and Jack Crawford),-0.270,-0.560
2,6:41,3,7,WAS 23,10,14,Robert Griffin pass complete short middle to Pierre Garcon for 16 yards (tackle by Nick Roach),-0.560,1.530
2,6:13,1,10,WAS 39,10,14,Roy Helu left tackle for no gain (tackle by Lamarr Houston and Vance Walker),1.530,0.990
2,5:35,2,10,WAS 39,10,14,Robert Griffin pass incomplete short right intended for Roy Helu,0.990,0.300
2,5:29,3,10,WAS 39,10,14,Robert Griffin pass complete short left to Roy Helu for 15 yards (tackle by Nick Roach),0.300,2.520
2,4:48,1,10,OAK 46,10,14,Alfred Morris right tackle for 4 yards (tackle by Pat Sims and Kaluka Maiava),2.520,2.520
2,4:22,2,6,OAK 42,10,14,Alfred Morris left guard for 3 yards (tackle by Christo Bilukidi),2.520,2.210
2,3:49,3,3,OAK 39,10,14,Alfred Morris left tackle for no gain (tackle by Christo Bilukidi),2.210,2.210
2,3:04,3,3,OAK 39,10,14,Timeout #2 by Washington Redskins,2.210,0.660
2,3:03,4,3,OAK 39,10,14,Robert Griffin sacked by Charles Woodson for -10 yards,0.660,-2.190
2,2:59,1,10,OAK 49,10,14,Rashad Jennings up the middle for 5 yards (tackle by London Fletcher),2.190,2.320
2,2:21,2,5,WAS 46,10,14,Rashad Jennings left end for -1 yards (tackle by Stephen Bowen and Brian Orakpo),2.320,1.490
2,2:00,3,6,WAS 47,10,14,Matt Flynn sacked by Ryan Kerrigan for -7 yards. Penalty on Khalif Barnes: Offensive Holding (Declined),1.490,-0.320
2,1:53,4,13,OAK 46,10,14,"Marquette King punts 46 yards, returned by Chris Thompson for 11 yards (tackle by Kaelin Burnett)",-0.320,-0.150
2,1:42,1,10,WAS 19,10,14,Robert Griffin pass complete short left to Pierre Garcon for 5 yards (tackle by Kevin Burnett),0.150,0.340
2,1:19,2,5,WAS 24,10,14,Robert Griffin pass incomplete short left intended for Pierre Garcon,0.340,-0.420
2,1:16,3,5,WAS 24,10,14,Robert Griffin pass complete short middle to Leonard Hankerson for 2 yards (tackle by Tracy Porter),-0.420,-0.420
2,1:11,3,5,WAS 24,10,14,Timeout #1 by Oakland Raiders,-0.420,-1.630
2,1:11,4,3,WAS 26,10,14,"Saverio Rocca punts 42 yards, fair catch by Jacoby Ford",-1.630,-1.070
2,1:04,1,10,OAK 32,10,14,Matt Flynn pass complete short right to Rashad Jennings for 7 yards (tackle by DeAngelo Hall and London Fletcher),1.070,1.070
2,0:50,1,10,OAK 32,10,14,Timeout #3 by Washington Redskins,1.070,1.470
2,0:50,2,3,OAK 39,10,14,Rashad Jennings up the middle for 2 yards (tackle by Ryan Kerrigan and Stephen Bowen),1.470,1.030
2,0:30,3,1,OAK 41,10,14,Matt Flynn up the middle for 2 yards,1.030,1.030
2,0:27,3,1,OAK 41,10,14,Timeout #2 by Oakland Raiders,1.030,1.800
2,0:27,1,10,OAK 43,10,14,Matt Flynn pass incomplete short right intended for Mychal Rivera,1.800,1.250
2,0:23,2,10,OAK 43,10,14,Matt Flynn pass incomplete deep middle intended for Mychal Rivera,1.250,0.560
2,0:19,3,10,OAK 43,10,14,Matt Flynn pass complete short middle to Rashad Jennings for 4 yards (tackle by Perry Riley and Ryan Kerrigan),0.560,-0.260
Quarter,Time,Down,ToGo,Location,WAS,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,10,14,"John Potter kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,OAK 20,10,14,Matt Flynn pass incomplete short right intended for Denarius Moore,0.280,-0.270
3,14:53,2,10,OAK 20,10,14,Rashad Jennings left tackle for 4 yards (tackle by London Fletcher),-0.270,-0.430
3,14:13,3,6,OAK 24,10,14,Matt Flynn pass incomplete short left intended for Brice Butler,-0.430,-1.770
3,14:07,4,6,OAK 24,10,14,"Marquette King punts 46 yards, returned by Chris Thompson for no gain",-1.770,-0.940
3,14:00,1,10,WAS 30,10,14,"Robert Griffin right end for 7 yards. Penalty on Pierre Garcon: Offensive Holding, 10 yards",0.940,0.740
3,13:38,1,13,WAS 27,10,14,Robert Griffin pass incomplete,0.740,-0.010
3,13:33,2,13,WAS 27,10,14,Robert Griffin pass complete short left to Josh Morgan for 6 yards (tackle by Kevin Burnett),-0.010,0.100
3,12:45,3,7,WAS 33,10,14,Robert Griffin pass incomplete deep right intended for Leonard Hankerson,0.100,-1.180
3,12:37,4,7,WAS 33,10,14,"Saverio Rocca punts 39 yards, returned by Jacoby Ford for 9 yards (tackle by Darryl Tapp)",-1.180,-1.400
3,12:27,1,10,OAK 37,10,14,Rashad Jennings up the middle for 2 yards (tackle by Chris Baker and Kedric Golston),1.400,1.130
3,11:52,2,8,OAK 39,10,14,Rashad Jennings right tackle for 1 yard (tackle by London Fletcher),1.130,0.560
3,11:11,3,7,OAK 40,10,14,Matt Flynn pass complete short middle to Jeremy Stewart for 5 yards (tackle by Perry Riley and London Fletcher),0.560,-0.390
3,10:25,4,2,OAK 45,10,14,"Marquette King punts 44 yards, out of bounds",-0.390,0.370
3,10:13,1,10,WAS 11,10,14,Alfred Morris right guard for -1 yards,-0.370,-0.850
3,9:48,2,11,WAS 10,10,14,Robert Griffin left end for 2 yards (tackle by Kevin Burnett),-0.850,-1.300
3,9:05,3,9,WAS 12,10,14,"Robert Griffin pass complete deep middle to Logan Paulsen for 33 yards (tackle by Nick Roach). Logan Paulsen fumbles (forced by Nick Roach), recovered by Kevin Burnett at WAS-45 and returned for 3 yards (tackle by Pierre Garcon)",-1.300,-2.790
3,8:51,1,10,WAS 42,10,14,Matt Flynn pass complete short left to Denarius Moore for 7 yards (tackle by Perry Riley),2.790,3.190
3,8:17,2,3,WAS 35,10,14,Rashad Jennings left tackle for 2 yards (tackle by Kedric Golston),3.190,2.740
3,7:33,3,1,WAS 33,10,14,Rashad Jennings up the middle for no gain (tackle by Brian Orakpo),2.740,1.210
3,6:55,4,1,WAS 33,10,14,Sebastian Janikowski 52 yard field goal no good,1.210,-1.730
3,6:51,1,10,WAS 42,10,14,Robert Griffin pass complete short right to Niles Paul for 4 yards (tackle by Kaluka Maiava),1.730,1.730
3,6:24,2,6,WAS 46,10,14,"Alfred Morris right end for no gain (tackle by Jack Crawford). Penalty on Sio Moore: Defensive Offside, 5 yards (no play)",1.730,2.400
3,6:13,2,1,OAK 49,10,14,Alfred Morris left end for 13 yards (tackle by Jack Crawford),2.400,3.180
3,5:45,1,10,OAK 36,10,14,Alfred Morris right tackle for 7 yards (tackle by Mike Jenkins and Charles Woodson),3.180,3.580
3,5:13,2,3,OAK 29,10,14,Robert Griffin pass incomplete deep left intended for Fred Davis,3.580,2.870
3,5:05,3,3,OAK 29,10,14,Robert Griffin pass complete short middle to Leonard Hankerson for 17 yards (tackle by Brandian Ross and Charles Woodson),2.870,4.780
3,4:20,1,10,OAK 12,10,14,Alfred Morris right end for 9 yards (tackle by Kaluka Maiava),4.780,5.790
3,3:47,2,1,OAK 3,10,14,Roy Helu right tackle for -2 yards (tackle by Kevin Burnett and Jack Crawford),5.790,4.610
3,3:03,3,3,OAK 5,16,14,"Robert Griffin pass complete short middle to Pierre Garcon for 5 yards, touchdown",4.610,7.000
3,3:03,,,OAK 2,17,14,John Potter kicks extra point good,0.000,0.000
3,3:03,,,WAS 35,17,14,"John Potter kicks off 65 yards, touchback",0.000,-0.280
3,2:58,1,10,OAK 20,17,14,Matt Flynn pass complete short right to Jamize Olawale for 11 yards (tackle by Brandon Meriweather and Reed Doughty),0.280,1.000
3,2:30,1,10,OAK 31,17,14,"Rashad Jennings left end for no gain (tackle by DeAngelo Hall and Reed Doughty). Penalty on Jeron Mastrud: Offensive Holding, 10 yards (no play)",1.000,0.340
3,2:08,1,20,OAK 21,17,14,Matt Flynn pass complete short left to Rashad Jennings for 8 yards (tackle by DeAngelo Hall and Perry Riley),0.340,0.190
3,1:26,2,12,OAK 29,17,14,Matt Flynn sacked by Barry Cofield for -6 yards,0.190,-1.290
3,0:49,3,18,OAK 23,17,14,Matt Flynn sacked by Brian Orakpo for -6 yards,-1.290,-2.320
3,0:28,4,24,OAK 17,17,14,Marquette King punts 47 yards,-2.320,-1.330
3,0:15,1,10,WAS 36,17,14,Roy Helu left guard for 4 yards (tackle by Brian Sanford and Kaluka Maiava),1.330,1.330
Quarter,Time,Down,ToGo,Location,WAS,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,WAS 40,17,14,Robert Griffin pass complete short middle to Logan Paulsen for 13 yards (tackle by Tracy Porter),1.330,2.460
4,14:33,1,10,OAK 47,17,14,Roy Helu left tackle for 7 yards (tackle by Nick Roach and Kaluka Maiava),2.460,2.860
4,14:03,2,3,OAK 40,17,14,Roy Helu left end for -1 yards (tackle by Vance Walker),2.860,2.860
4,13:39,2,3,OAK 40,17,14,Timeout #1 by Oakland Raiders,2.860,2.010
4,13:39,3,4,OAK 41,17,14,Robert Griffin pass incomplete deep right intended for Santana Moss,2.010,0.530
4,13:32,4,4,OAK 41,17,14,"Saverio Rocca punts 27 yards, fair catch by Phillip Adams",0.530,0.280
4,13:26,1,10,OAK 14,17,14,Matt Flynn pass complete short middle to Rashad Jennings for 14 yards (tackle by Reed Doughty),-0.280,0.810
4,12:47,1,10,OAK 28,17,14,Rashad Jennings up the middle for 2 yards (tackle by Reed Doughty),0.810,0.530
4,12:06,2,8,OAK 30,17,14,Matt Flynn pass incomplete short left intended for Rod Streater,0.530,-0.160
4,12:03,3,8,OAK 30,17,14,Matt Flynn sacked by Barry Cofield for -2 yards,-0.160,-1.500
4,11:31,4,10,OAK 28,17,14,"Marquette King punts 48 yards, out of bounds",-1.500,-0.540
4,11:25,1,10,WAS 24,17,14,Roy Helu left tackle for -1 yards (tackle by Tracy Porter),0.540,-0.140
4,10:53,2,11,WAS 23,17,14,Robert Griffin pass complete short left to Darrel Young for 4 yards (tackle by Kaluka Maiava),-0.140,-0.300
4,10:17,3,7,WAS 27,17,14,"Robert Griffin pass complete short middle to Roy Helu for no gain (tackle by Charles Woodson). Vance Walker fumbles (forced by Chris Chester), recovered by Brandian Ross at WAS-26 (tackle by Chris Chester). Penalty on Lamarr Houston: Defensive Offside, 5 yards (no play)",-0.300,0.370
4,10:07,3,2,WAS 32,17,14,Robert Griffin pass incomplete short right intended for Santana Moss,0.370,-1.240
4,10:02,4,2,WAS 32,17,14,"Saverio Rocca punts 44 yards, returned by Jacoby Ford for 6 yards (tackle by Darrel Young)",-1.240,-0.940
4,9:50,1,10,OAK 30,17,14,Matt Flynn up the middle for 2 yards (tackle by London Fletcher),0.940,0.660
4,9:04,2,8,OAK 32,17,14,Matt Flynn pass complete short right to Denarius Moore for 13 yards (tackle by David Amerson),0.660,1.930
4,8:40,1,10,OAK 45,17,14,Rashad Jennings right tackle for 4 yards (tackle by Perry Riley),1.930,1.920
4,8:03,2,6,OAK 49,17,14,"Matt Flynn sacked by Ryan Kerrigan for -8 yards. Matt Flynn fumbles (forced by Ryan Kerrigan), recovered by Barry Cofield at OAK-42 (tackle by Andre Gurode)",1.920,-2.790
4,7:54,1,10,OAK 42,17,14,Robert Griffin pass complete short right to Roy Helu for 28 yards (tackle by Nick Roach),2.790,4.650
4,7:05,1,10,OAK 14,23,14,"Roy Helu up the middle for 14 yards, touchdown",4.650,7.000
4,7:05,,,OAK 2,24,14,John Potter kicks extra point good,0.000,0.000
4,7:05,,,WAS 35,24,14,"John Potter kicks off 60 yards, returned by Jeremy Stewart for 24 yards (tackle by Evan Royster)",0.000,-0.870
4,6:52,1,10,OAK 29,24,14,Matt Flynn pass complete short left to Rod Streater for 14 yards (tackle by Reed Doughty),0.870,1.800
4,6:14,1,10,OAK 43,24,14,Rashad Jennings left guard for 5 yards (tackle by Kedric Golston and London Fletcher),1.800,1.930
4,5:40,2,5,OAK 48,24,14,Matt Flynn pass complete deep middle to Mychal Rivera for 26 yards (tackle by E.J. Biggers),1.930,3.840
4,4:57,1,10,WAS 26,24,14,"Rashad Jennings left guard for 5 yards (tackle by London Fletcher). Penalty on Jeron Mastrud: Illegal Formation, 5 yards (no play)",3.840,3.510
4,4:51,1,15,WAS 31,24,14,Matt Flynn pass complete short right to Jeron Mastrud for 8 yards (tackle by Josh Wilson),3.510,3.700
4,4:10,2,7,WAS 23,24,14,Rashad Jennings left guard for 6 yards (tackle by London Fletcher),3.700,3.950
4,3:38,3,1,WAS 17,24,14,Matt Flynn pass incomplete short right intended for Mychal Rivera,3.950,2.460
4,3:32,4,1,WAS 17,24,14,"Matt Flynn up the middle for no gain. Matt Flynn fumbles, recovered by Matt Flynn at WAS-17",2.460,0.140
4,3:23,1,10,WAS 16,24,14,Roy Helu left tackle for -1 yards,-0.140,-0.780
4,2:42,2,11,WAS 15,24,14,Roy Helu up the middle for 3 yards (tackle by Jack Crawford and Pat Sims),-0.780,-0.780
4,2:36,2,11,WAS 15,24,14,Timeout #2 by Oakland Raiders,-0.780,-1.070
4,2:36,3,8,WAS 18,24,14,Roy Helu left end for 9 yards (tackle by Charles Woodson),-1.070,-1.070
4,2:29,3,8,WAS 18,24,14,Timeout #3 by Oakland Raiders,-1.070,0.740
4,2:29,1,10,WAS 27,24,14,Roy Helu left tackle for 2 yards (tackle by Lamarr Houston),0.740,0.470
4,2:00,2,8,WAS 29,24,14,Roy Helu left guard for 4 yards (tackle by Brandian Ross),0.470,0.470
4,1:13,2,8,WAS 29,24,14,Timeout #1 by Washington Redskins,0.470,0.300
4,1:13,3,4,WAS 33,24,14,Roy Helu left tackle for 3 yards (tackle by Nick Roach and Kaluka Maiava),0.300,-0.980
4,0:28,4,1,WAS 36,24,14,"Saverio Rocca punts 34 yards, out of bounds",-0.980,-0.940
4,0:21,1,10,OAK 30,24,14,Matt Flynn pass complete short middle to Rashad Jennings for 17 yards (tackle by London Fletcher),0.940,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
