Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
3,15:00,,,TAM 35,14,20,"Connor Barth kicks off 70 yards, returned by Corey Grant for 42 yards (tackle by Bruce Carter)",0.000,-1.400
3,14:53,1,10,JAX 37,14,20,Blake Bortles pass complete short middle to Allen Robinson for 7 yards (tackle by Danny Lansanah),1.400,1.800
3,14:19,2,3,JAX 44,14,20,Corey Grant left end for 11 yards (tackle by Danny Lansanah),1.800,2.590
3,13:40,1,10,TAM 45,14,20,"Blake Bortles pass complete deep left to Allen Hurns for 24 yards (tackle by Bradley McDougald). Penalty on Nic Jacobs: Illegal Formation (Offsetting), Penalty on Mike Jenkins: Defensive Pass Interference (Offsetting) (no play)",2.590,2.590
3,13:14,1,10,TAM 45,14,20,Blake Bortles pass complete short left to T.J. Yeldon for 3 yards (tackle by Clinton McDonald and Danny Lansanah),2.590,2.450
3,12:38,2,7,TAM 42,14,20,T.J. Yeldon left end for 10 yards (tackle by Mike Jenkins),2.450,3.450
3,12:09,1,10,TAM 32,14,20,Toby Gerhart middle for 2 yards (tackle by Kwon Alexander and Lavonte David),3.450,3.170
3,11:32,2,8,TAM 30,14,20,Blake Bortles pass incomplete short middle intended for Marcedes Lewis (defended by Kwon Alexander),3.170,2.480
3,11:26,3,8,TAM 30,14,20,Blake Bortles pass complete short right to Julius Thomas for 15 yards (tackle by Lavonte David). Penalty on Tim Jennings: Illegal Use of Hands (Declined),2.480,4.580
3,11:01,1,10,TAM 15,14,20,T.J. Yeldon right guard for 2 yards (tackle by Lavonte David and George Johnson),4.580,4.280
3,10:21,2,8,TAM 13,14,20,Blake Bortles pass incomplete,4.280,3.400
3,10:13,3,8,TAM 13,14,20,Blake Bortles pass incomplete short middle intended for Marcedes Lewis (defended by Major Wright),3.400,2.570
3,10:07,4,8,TAM 13,17,20,Jason Myers 31 yard field goal good,2.570,3.000
3,10:07,,,JAX 35,17,20,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
3,10:03,1,10,TAM 20,17,20,Doug Martin left end for 13 yards (tackle by Telvin Smith),0.280,1.140
3,9:26,1,10,TAM 33,17,20,--,1.140,0.810
3,9:04,1,15,TAM 28,17,20,Jameis Winston pass complete short right to Doug Martin for 12 yards (tackle by Davon House and Jonathan Cyprien),0.810,1.540
3,8:26,2,3,TAM 40,17,20,"Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Sergio Brown). Penalty on Ali Marpet: Offensive Holding, 10 yards (no play)",1.540,0.190
3,8:06,2,13,TAM 30,17,20,"Penalty on JAX: Defensive 12 On-field, 5 yards (no play)",0.190,0.860
3,7:44,2,8,TAM 35,17,20,Doug Martin middle for -1 yards (tackle by Abry Jones),0.860,0.040
3,7:09,3,9,TAM 34,17,20,Jameis Winston sacked by Aaron Colvin for -14 yards,0.040,-2.030
3,6:30,4,23,TAM 20,17,20,"Jake Schum punts 49 yards, returned by Nick Marshall for 8 yards (tackle by Danny Lansanah)",-2.030,-1.530
3,6:19,1,10,JAX 39,17,20,Blake Bortles pass complete short right to Allen Robinson for 11 yards,1.530,2.260
3,6:00,1,10,,17,20,T.J. Yeldon right end for 8 yards (tackle by Kwon Alexander),2.260,2.790
3,5:30,2,2,TAM 42,17,20,T.J. Yeldon right guard for -2 yards (tackle by George Johnson),2.790,1.820
3,4:50,3,4,TAM 44,17,20,"Blake Bortles pass complete short right to Allen Hurns for 11 yards (tackle by Lavonte David). Penalty on Tim Jennings: Defensive Pass Interference, 12 yards (no play)",1.820,3.450
3,4:33,1,10,TAM 32,17,20,Blake Bortles pass complete deep right to Allen Robinson for 21 yards (tackle by Tim Jennings),3.450,4.840
3,3:50,1,10,TAM 11,17,20,Blake Bortles pass complete short left to Bryan Walters for 7 yards (tackle by Alterraun Verner),4.840,5.470
3,3:08,2,3,TAM 4,23,20,"Blake Bortles pass complete short left to T.J. Yeldon for 4 yards, touchdown",5.470,7.000
3,3:08,,,TAM 4,24,20,Jason Myers kicks extra point good,0.000,0.000
3,3:08,,,JAX 35,24,20,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
3,2:57,1,10,TAM 20,24,20,Jameis Winston pass incomplete,0.280,-0.270
3,2:47,2,10,TAM 20,24,20,"Charles Sims right tackle for 6 yards (tackle by Sergio Brown). Penalty on Ali Marpet: Illegal Formation, 5 yards (no play)",-0.270,-1.070
3,2:19,2,15,TAM 15,24,20,Jameis Winston pass incomplete short left intended for Donteea Dye (defended by Abry Jones),-1.070,-1.860
3,2:14,3,15,TAM 15,24,20,Jameis Winston pass complete short left to Charles Sims for 56 yards (tackle by Telvin Smith),-1.860,3.640
3,1:21,1,10,JAX 29,24,20,Doug Martin right tackle for no gain (tackle by Michael Bennett and Roy Miller),3.640,3.100
3,0:47,2,10,JAX 29,24,20,Jameis Winston pass incomplete deep right intended for Mike Evans (defended by Davon House),3.100,2.410
3,0:40,3,10,JAX 29,24,20,Jameis Winston pass incomplete deep right intended for Vincent Jackson (defended by Davon House),2.410,1.500
3,0:34,4,10,JAX 29,24,23,Connor Barth 47 yard field goal good,1.500,3.000
3,0:34,,,TAM 35,24,23,"Connor Barth kicks off 68 yards, returned by Corey Grant for 23 yards (tackle by Donteea Dye)",0.000,-0.280
3,0:24,1,10,JAX 20,24,29,"Corey Grant left end for -17 yards (tackle by George Johnson). Corey Grant fumbles (forced by George Johnson), recovered by Jacquies Smith at JAX-3 and returned for 3 yards, touchdown",0.280,-7.000
3,0:15,1,,JAX 20,24,31,"Two Point Attempt: Jameis Winston pass complete to Vincent Jackson, conversion succeeds",4.240,1.000
3,0:15,,,TAM 35,24,31,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
3,0:15,1,10,JAX 20,24,31,T.J. Yeldon left end for -4 yards (tackle by Major Wright),0.280,-0.940
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,JAX 16,24,31,Blake Bortles pass complete short left to T.J. Yeldon for 3 yards (tackle by Lavonte David),-0.940,-1.140
4,14:19,3,11,JAX 19,24,31,Blake Bortles sacked by Lavonte David for -4 yards,-1.140,-2.440
4,13:41,4,15,JAX 15,24,31,"Bryan Anger punts 50 yards, returned by Bobby Rainey for 25 yards (tackle by Jordan Tripp)",-2.440,-2.920
4,13:27,1,10,JAX 40,24,31,Doug Martin right guard for 6 yards (tackle by Telvin Smith),2.920,3.180
4,12:48,2,4,JAX 34,24,31,Doug Martin left end for -2 yards (tackle by Dan Skuta),3.180,2.210
4,12:07,3,6,JAX 36,24,31,Jameis Winston pass complete short left to Charles Sims for 11 yards (tackle by Telvin Smith),2.210,3.910
4,11:26,1,10,JAX 25,24,31,Charles Sims right guard for 3 yards (tackle by Dan Skuta),3.910,3.770
4,10:41,2,7,JAX 22,24,31,Jameis Winston right guard for 9 yards (tackle by Thurston Armbrister),3.770,4.710
4,10:01,1,10,JAX 13,24,31,Charles Sims right end for 9 yards (tackle by Jonathan Cyprien),4.710,5.730
4,9:22,2,1,JAX 4,24,31,"Jameis Winston pass incomplete short right intended for Brandon Myers. Penalty on Jonathan Cyprien: Defensive Holding, 2 yards (no play)",5.730,6.740
4,9:16,1,2,JAX 2,24,31,Charles Sims middle for 1 yard (tackle by Jared Odrick and Abry Jones),6.740,5.910
4,8:30,2,1,JAX 1,24,37,"Doug Martin middle for 1 yard, touchdown",5.910,7.000
4,8:30,,,JAX 1,24,38,Connor Barth kicks extra point good,0.000,0.000
4,8:30,,,TAM 35,24,38,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
4,8:26,1,10,JAX 20,24,38,Blake Bortles pass incomplete short left intended for Marcedes Lewis (defended by Mike Jenkins),0.280,-0.270
4,8:21,2,10,JAX 20,24,38,Blake Bortles pass complete short middle to Allen Hurns for 6 yards (tackle by Danny Lansanah and Lavonte David),-0.270,-0.160
4,7:40,3,4,JAX 26,24,38,Blake Bortles pass incomplete deep right intended for Allen Robinson,-0.160,-1.630
4,7:33,4,4,JAX 26,24,38,"Bryan Anger punts 47 yards, returned by Bobby Rainey for 11 yards (tackle by Josh Evans). Penalty on Donteea Dye: Illegal Block Above the Waist, 10 yards",-1.630,-0.150
4,7:20,1,10,TAM 19,24,38,Doug Martin left guard for 5 yards (tackle by Telvin Smith),0.150,0.340
4,6:35,2,5,TAM 24,24,38,Doug Martin left end for -3 yards (tackle by Tyson Alualu and Roy Miller),0.340,-0.810
4,5:51,3,8,TAM 21,24,38,Jameis Winston pass complete short left to Mike Evans for 14 yards (tackle by Demetrius McCray),-0.810,1.270
4,5:08,1,10,TAM 35,24,38,Doug Martin right guard for 4 yards (tackle by Tyson Alualu),1.270,1.260
4,4:19,2,6,TAM 39,24,38,"Charles Sims for 3 yards. Penalty on Ali Marpet: Offensive Holding, 10 yards",1.260,0.320
4,4:09,2,13,TAM 32,24,38,Charles Sims left tackle for 8 yards (tackle by Tyson Alualu),0.320,0.320
4,3:26,2,13,TAM 32,24,38,Timeout #1 by Tampa Bay Buccaneers,0.320,0.700
4,3:26,3,5,TAM 40,24,38,Jameis Winston pass complete short right to Charles Sims for 12 yards (tackle by Telvin Smith),0.700,2.390
4,3:20,1,10,JAX 48,24,38,Doug Martin left guard for 3 yards (tackle by Dan Skuta),2.390,2.390
4,3:08,1,10,JAX 48,24,38,Timeout #1 by Jacksonville Jaguars,2.390,2.250
4,3:08,2,7,JAX 45,24,38,Doug Martin middle for 4 yards (tackle by Jonathan Cyprien),2.250,2.250
4,3:03,2,7,JAX 45,24,38,Timeout #2 by Jacksonville Jaguars,2.250,2.080
4,3:03,3,3,JAX 41,24,38,Charles Sims right tackle for -2 yards (tackle by Abry Jones and Jared Odrick),2.080,2.080
4,2:59,3,3,JAX 41,24,38,Timeout #3 by Jacksonville Jaguars,2.080,0.400
4,2:59,4,5,JAX 43,24,38,"Jake Schum punts 29 yards, returned by Bryan Walters for no gain",0.400,0.280
4,2:50,1,10,JAX 14,24,38,Blake Bortles pass complete short middle to Allen Hurns for 15 yards (tackle by Bradley McDougald),-0.280,0.870
4,2:26,1,10,JAX 29,24,38,Blake Bortles pass complete short middle to Bryan Walters for 15 yards (tackle by Lavonte David),0.870,1.860
4,2:03,1,10,JAX 44,24,38,Blake Bortles sacked by Kwon Alexander and Gerald McCoy for -5 yards,1.860,0.640
4,1:59,2,15,JAX 39,24,38,Blake Bortles pass incomplete short right intended for Toby Gerhart (defended by Kwon Alexander),0.640,-0.030
4,1:50,3,15,JAX 39,24,38,Blake Bortles sacked by Gerald McCoy for -3 yards,-0.030,-0.980
4,1:22,4,18,JAX 36,24,38,Blake Bortles pass complete deep right to Allen Hurns for 59 yards (tackle by Kwon Alexander),-0.980,6.060
4,1:10,1,5,TAM 5,30,38,"Blake Bortles pass complete short right to Allen Robinson for 5 yards, touchdown",6.060,7.000
4,1:10,,,TAM 5,31,38,Jason Myers kicks extra point good,0.000,0.000
4,1:05,1,5,TAM 5,31,38,Timeout #2 by Tampa Bay Buccaneers,6.060,0.000
4,1:10,,,JAX 35,31,38,Jason Myers kicks onside 11 yards,0.000,-2.520
4,1:04,1,10,JAX 46,31,38,Jameis Winston kneels for -1 yards,2.520,1.840
4,0:30,2,11,JAX 47,31,38,Jameis Winston kneels for -1 yards,1.840,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
