Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,5,13,"Craig Hentrich kicks off 59 yards, returned by Michael Lewis for 19 yards (tackle by Eddie Berlin)",0.000,0.940
3,14:54,1,10,NOR 30,5,13,Aaron Brooks pass complete to Deuce McAllister for 5 yards (tackle by Peter Sirmon),0.940,1.070
3,14:17,2,5,NOR 35,5,13,"Aaron Brooks pass complete to Donte Stallworth for 5 yards (tackle by Peter Sirmon). Donte Stallworth fumbles (forced by Peter Sirmon), recovered by Samari Rolle at NOR-40 and returned for 3 yards (tackle by Jerry Fontenot)",1.070,-3.120
3,14:07,1,10,NOR 37,5,13,Eddie George right end for 7 yards (tackle by Derrick Rodgers),3.120,3.520
3,13:26,2,3,NOR 30,5,13,"Penalty on Grady Jackson: Encroachment, 5 yards (no play)",3.520,3.910
3,13:04,1,10,NOR 25,5,13,Steve McNair pass incomplete intended for Drew Bennett (defended by Fred Thomas),3.910,3.360
3,12:59,2,10,NOR 25,5,13,Eddie George right end for 1 yard (tackle by Willie Whitehead),3.360,2.810
3,12:15,3,9,NOR 24,5,13,Steve McNair pass complete to Drew Bennett for 15 yards (tackle by Fakhir Brown),2.810,5.140
3,11:29,1,9,NOR 9,5,13,Eddie George up the middle for 4 yards (tackle by Roger Knight),5.140,5.150
3,10:50,2,5,NOR 5,5,13,Steve McNair pass incomplete intended for Drew Bennett (defended by Ashley Ambrose),5.150,4.260
3,10:46,3,5,NOR 5,5,19,"Steve McNair pass complete to Drew Bennett for 5 yards, touchdown. Penalty on Ashley Ambrose: Defensive Holding (Declined)",4.260,7.000
3,,,,NOR 2,5,20,Gary Anderson kicks extra point good,0.000,0.000
3,,,,TEN 30,5,20,"Craig Hentrich kicks off 52 yards, returned by Fred McAfee for 20 yards (tackle by Rocky Boiman)",0.000,1.470
3,10:37,1,10,NOR 38,5,20,"Penalty on Donte Stallworth: False Start, 5 yards (no play)",1.470,1.140
3,10:37,1,15,NOR 33,5,20,Aaron Brooks pass complete to Deuce McAllister for 8 yards (tackle by Andre Dyson),1.140,1.330
3,10:01,2,7,NOR 41,5,20,"Penalty on Kevin Carter: Encroachment, 5 yards (no play)",1.330,2.000
3,9:48,2,2,NOR 46,5,20,Aaron Brooks pass incomplete intended for Joe Horn (defended by Samari Rolle),2.000,1.290
3,9:44,3,2,NOR 46,5,20,"Aaron Brooks pass incomplete intended for Joe Horn. Penalty on Rocky Boiman: Illegal Contact, 5 yards (no play)",1.290,2.320
3,9:39,1,10,TEN 49,5,20,Deuce McAllister up the middle for 4 yards (tackle by Lance Schulters),2.320,2.320
3,8:58,2,6,TEN 45,5,20,Aaron Brooks sacked by Kevin Carter for -7 yards,2.320,0.700
3,8:23,3,13,NOR 48,5,20,Aaron Brooks pass incomplete intended for Donte Stallworth,0.700,-0.190
3,8:18,4,13,NOR 48,5,20,"Mitch Berger punts 52 yards, touchback",-0.190,-0.280
3,8:10,1,10,TEN 20,5,20,Eddie George left tackle for 4 yards (tackle by Roger Knight),0.280,0.270
3,7:26,2,6,TEN 24,5,20,Eddie George left tackle for 5 yards (tackle by Roger Knight and Melvin Williams),0.270,0.230
3,6:47,3,1,TEN 29,5,20,Eddie George up the middle for 3 yards (tackle by Jay Bellamy and Melvin Williams),0.230,1.070
3,6:08,1,10,TEN 32,5,20,Eddie George left tackle for -3 yards (tackle by Henry Ford),1.070,0.120
3,5:28,2,13,TEN 29,5,20,Steve McNair left end for 6 yards (tackle by Derrick Rodgers),0.120,0.230
3,4:35,3,7,TEN 35,5,20,Steve McNair pass complete to Derrick Mason for 3 yards (tackle by Fred Thomas),0.230,-0.850
3,4:35,4,4,TEN 38,5,20,Craig Hentrich punts 41 yards,-0.850,-0.340
3,3:41,1,10,NOR 21,5,20,Aaron Brooks pass complete to Jerome Pathon for 19 yards (tackle by Tank Williams),0.340,1.600
3,3:08,1,10,NOR 40,5,20,Deuce McAllister left guard for 2 yards (tackle by Carlos Hall and Robaire Smith),1.600,1.320
3,2:33,2,8,NOR 42,5,20,Deuce McAllister left end for 7 yards (tackle by Keith Bulluck),1.320,1.550
3,2:00,3,1,NOR 49,5,20,Deuce McAllister right tackle for 1 yard (tackle by Keith Bulluck),1.550,2.260
3,1:13,1,10,TEN 50,5,20,Aaron Brooks pass complete to Ernie Conwell for 15 yards (tackle by Lance Schulters),2.260,3.250
3,0:32,1,10,TEN 35,5,20,Deuce McAllister up the middle for 3 yards (tackle by James H. Atkins),3.250,3.110
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,TEN 32,5,20,Aaron Brooks pass complete to Jerome Pathon for 22 yards (tackle by Tank Williams),3.110,4.910
4,14:18,1,10,TEN 10,5,20,Deuce McAllister up the middle for no gain (tackle by James H. Atkins),4.910,4.190
4,13:33,2,10,TEN 10,11,20,"Aaron Brooks pass complete to Jerome Pathon for 10 yards, touchdown",4.190,7.000
4,,,,TEN 2,12,20,John Carney kicks extra point good,0.000,0.000
4,,,,NOR 30,12,20,"Mitch Berger kicks off 66 yards, returned by Jake Schifino for 20 yards (tackle by Michael Lewis)",0.000,0.540
4,13:16,1,10,TEN 24,12,20,Steve McNair pass complete to Shad Meier for 8 yards (tackle by Derrick Rodgers),0.540,1.080
4,12:38,2,2,TEN 32,12,20,Steve McNair pass incomplete intended for Shad Meier,1.080,0.370
4,12:31,3,2,TEN 32,12,20,"Steve McNair pass complete to Erron Kinney for 4 yards (tackle by Jay Bellamy). Penalty on Jay Bellamy: Defensive Holding, 6 yards (no play)",0.370,1.470
4,12:19,1,10,TEN 38,12,20,Eddie George right guard for no gain (tackle by Kenny Smith),1.470,0.920
4,11:38,2,10,TEN 38,12,20,Steve McNair pass complete to Shad Meier for 23 yards (tackle by Darrin Smith),0.920,2.980
4,10:50,1,10,NOR 39,12,20,Robert Holcombe right tackle for -3 yards (tackle by Willie Whitehead),2.980,2.040
4,10:09,2,13,NOR 42,12,20,Steve McNair pass incomplete intended for Justin McCareins,2.040,1.360
4,9:59,3,13,NOR 42,12,20,Steve McNair pass complete to Erron Kinney for 14 yards (tackle by Ashley Ambrose),1.360,3.710
4,9:25,1,10,NOR 28,12,20,"Penalty on Melvin Williams: Encroachment, 5 yards (no play)",3.710,4.440
4,9:08,1,5,NOR 23,12,20,Eddie George right end for 4 yards (tackle by Kenny Smith),4.440,4.420
4,8:37,2,1,NOR 19,12,20,Steve McNair pass incomplete intended for Derrick Mason (defended by Fred Thomas),4.420,3.720
4,8:30,3,1,NOR 19,12,20,Steve McNair up the middle for 2 yards (tackle by Willie Whitehead),3.720,4.440
4,7:49,1,10,NOR 17,12,20,Eddie George up the middle for 2 yards (tackle by Kenny Smith),4.440,4.150
4,7:11,2,8,NOR 15,12,20,Steve McNair pass incomplete intended for Drew Bennett (defended by Ashley Ambrose),4.150,3.340
4,7:07,3,8,NOR 15,12,20,Steve McNair pass complete to Drew Bennett for 9 yards (tackle by Ashley Ambrose),3.340,5.830
4,6:18,1,6,NOR 6,12,26,"Eddie George left tackle for 6 yards, touchdown",5.830,7.000
4,,,,NOR 2,12,27,Gary Anderson kicks extra point good,0.000,0.000
4,,,,TEN 30,12,27,"Craig Hentrich kicks off 58 yards, returned by Michael Lewis for 25 yards (tackle by Ray Wells)",0.000,1.400
4,6:07,1,10,NOR 37,12,27,Aaron Brooks pass complete to Joe Horn for 5 yards (tackle by Keith Bulluck),1.400,1.530
4,5:42,2,5,NOR 42,12,27,Aaron Brooks pass complete to Deuce McAllister for 10 yards (tackle by Keith Bulluck),1.530,2.390
4,5:13,1,10,TEN 48,12,27,Aaron Brooks left end for 11 yards (tackle by Robaire Smith),2.390,3.120
4,4:47,1,10,TEN 37,12,27,Aaron Brooks pass incomplete intended for Joe Horn,3.120,2.570
4,4:43,2,10,TEN 37,12,27,"Aaron Brooks pass complete to Jerome Pathon for 8 yards (tackle by Andre Woolfolk). Penalty on Rien Long: Defensive Offside, 4 yards (no play)",2.570,3.110
4,4:38,2,6,TEN 33,12,27,Aaron Brooks pass incomplete intended for Joe Horn,3.110,2.410
4,4:33,3,6,TEN 33,12,27,"Aaron Brooks sacked by Keith Bulluck for -8 yards. Aaron Brooks fumbles (forced by Keith Bulluck), recovered by Jerry Fontenot at TEN-42",2.410,0.460
4,3:29,4,15,TEN 42,12,27,Aaron Brooks pass incomplete intended for Joe Horn,0.460,-1.730
4,3:22,1,10,TEN 42,12,27,Eddie George right guard for no gain (tackle by Willie Whitehead),1.730,1.190
4,3:15,,,,12,27,Timeout #1 by New Orleans Saints,0.000,1.190
4,3:15,2,10,TEN 42,12,27,Eddie George left tackle for 16 yards (tackle by Derrick Rodgers and Jay Bellamy),1.190,2.790
4,2:28,1,10,NOR 42,12,27,Eddie George left guard for 10 yards (tackle by Roger Knight),2.790,3.450
4,1:59,1,10,NOR 32,12,27,Eddie George up the middle for 6 yards (tackle by Tebucky Jones and Grady Jackson),3.450,3.710
4,1:05,2,4,NOR 26,12,27,Steve McNair kneels for -1 yards,3.710,2.870
4,0:37,3,5,NOR 27,12,27,Steve McNair kneels for no gain,2.870,1.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
