Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
1,1:44,4,5,CAR 39,10,0,"Brad Nortman punts 39 yards, returned by Rueben Randle for 6 yards (tackle by Captain Munnerlyn)",-0.780,-0.810
1,1:42,1,10,NYG 28,10,0,Andre Brown left tackle for 1 yard (tackle by Jon Beason),0.810,0.400
1,1:09,2,9,NYG 29,10,0,Andre Brown up the middle for 19 yards (tackle by Haruki Nakamura and Josh Norman),0.400,2.130
1,0:25,1,10,NYG 48,10,0,Eli Manning pass complete short left to Henry Hynoski for 7 yards (tackle by Josh Norman and James Anderson),2.130,2.530
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CAR 45,10,0,Eli Manning pass complete deep left to Ramses Barden for 20 yards (tackle by Josh Norman),2.530,3.910
2,14:27,1,10,CAR 25,10,0,Andre Brown left guard for 2 yards (tackle by Dwan Edwards and Jon Beason),3.910,3.630
2,13:50,2,8,CAR 23,10,0,Eli Manning pass complete short left to Ramses Barden for 14 yards (tackle by Chris Gamble),3.630,5.140
2,13:15,1,9,CAR 9,10,0,Andre Brown left tackle for 7 yards (tackle by Josh Norman),5.140,5.720
2,12:48,2,2,CAR 2,10,0,Andre Brown up the middle for 1 yard (tackle by James Anderson and Jon Beason),5.720,5.170
2,12:08,3,1,CAR 1,16,0,"Andre Brown left guard for 1 yard, touchdown",5.170,7.000
2,12:08,,,CAR 2,17,0,Lawrence Tynes kicks extra point good,0.000,0.000
2,12:03,,,NYG 35,17,0,"Lawrence Tynes kicks off 70 yards, returned by Joe Adams for 26 yards (tackle by Da'Rel Scott)",0.000,0.340
2,11:57,1,10,CAR 21,17,0,Cam Newton pass incomplete short right intended for Greg Olsen (defended by Jason Pierre-Paul),0.340,-0.200
2,11:54,2,10,CAR 21,17,0,Cam Newton pass incomplete short right intended for Mike Tolbert,-0.200,-0.890
2,11:49,3,10,CAR 21,17,0,Cam Newton pass complete deep right to Brandon LaFell for 27 yards (tackle by Kenny Phillips),-0.890,2.130
2,11:07,1,10,CAR 48,17,0,DeAngelo Williams left guard for 7 yards (tackle by Kenny Phillips and Markus Kuhn),2.130,2.530
2,10:31,2,3,NYG 45,17,0,DeAngelo Williams up the middle for no gain (tackle by Jacquian Williams),2.530,1.820
2,9:49,3,3,NYG 45,17,0,Cam Newton sacked by Osi Umenyiora for -9 yards,1.820,-0.320
2,9:20,4,12,CAR 46,17,0,"Brad Nortman punts 42 yards, fair catch by Rueben Randle",-0.320,0.350
2,9:12,1,10,NYG 12,17,0,Eli Manning pass complete short left to Victor Cruz for 8 yards (tackle by Jon Beason),-0.350,0.290
2,8:38,2,2,NYG 20,17,0,Andre Brown left guard for 3 yards (tackle by Luke Kuechly and Charles Johnson),0.290,0.480
2,7:55,1,10,NYG 23,17,0,Eli Manning pass complete deep left to Ramses Barden for 21 yards (tackle by Josh Norman),0.480,1.860
2,7:12,1,10,NYG 44,17,0,Eli Manning pass incomplete short middle intended for Bear Pascoe,1.860,1.320
2,7:06,2,10,NYG 44,17,0,"Andre Brown right guard for 3 yards (tackle by Charles Godfrey). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",1.320,-0.030
2,6:45,2,20,NYG 34,17,0,Eli Manning pass complete deep right to Ramses Barden for 23 yards (tackle by Haruki Nakamura),-0.030,2.720
2,6:01,1,10,CAR 43,17,0,Andre Brown up the middle for 5 yards (tackle by Captain Munnerlyn and James Anderson),2.720,2.850
2,5:15,2,5,CAR 38,17,0,Eli Manning pass complete short right to Martellus Bennett for 6 yards (tackle by Chris Gamble and James Anderson),2.850,3.450
2,4:39,1,10,CAR 32,17,0,David Wilson up the middle for -2 yards (tackle by James Anderson),3.450,2.630
2,4:01,2,12,CAR 34,17,0,Eli Manning pass complete short left to Victor Cruz for 3 yards (tackle by James Anderson),2.630,2.340
2,3:19,3,9,CAR 31,17,0,Eli Manning pass incomplete short left intended for Rueben Randle,2.340,1.320
2,3:17,4,9,CAR 31,20,0,Lawrence Tynes 49 yard field goal good,1.320,3.000
2,3:13,,,NYG 35,20,0,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
2,3:13,1,10,CAR 20,20,0,Cam Newton pass complete short right to Steve Smith for 13 yards (tackle by Corey Webster),0.280,1.140
2,3:13,1,10,CAR 33,20,0,Cam Newton pass complete short left to Greg Olsen for 18 yards (tackle by Kenny Phillips),1.140,2.320
2,2:15,1,10,NYG 49,20,0,Cam Newton pass complete short right to Greg Olsen for 9 yards (tackle by Prince Amukamara),2.320,3.000
2,2:00,2,1,NYG 40,20,0,Mike Tolbert right guard for 1 yard (tackle by Justin Tuck and Jacquian Williams),3.000,2.980
2,1:30,1,10,NYG 39,20,0,Cam Newton pass incomplete short right intended for Greg Olsen,2.980,2.440
2,1:29,2,10,NYG 39,20,0,"Penalty on Steve Smith: False Start, 5 yards (no play)",2.440,1.770
2,1:29,2,15,NYG 44,20,0,Cam Newton pass incomplete short right intended for Brandon LaFell is intercepted by Jayron Hosley at NYG-41,1.770,-1.660
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,1:18,1,10,NYG 41,20,0,Eli Manning pass complete deep left to Ramses Barden for 16 yards (tackle by Charles Godfrey),1.660,2.720
2,1:02,1,10,CAR 43,20,0,Eli Manning for 1 yard (tackle by Frank Alexander),2.720,2.310
2,0:50,2,9,CAR 42,20,0,Eli Manning pass incomplete short middle intended for Victor Cruz,2.310,1.620
2,0:48,3,9,CAR 42,20,0,Eli Manning pass incomplete middle intended for Martellus Bennett,1.620,0.460
2,0:44,4,9,CAR 42,20,0,Steve Weatherford punts 35 yards,0.460,0.380
2,0:37,1,10,CAR 8,20,0,Mike Tolbert right guard for 3 yards (tackle by Kenny Phillips),-0.380,-0.560
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,20,0,"Lawrence Tynes kicks off 68 yards, returned by Joe Adams for 23 yards (tackle by Spencer Paysinger). Joe Adams fumbles (forced by Spencer Paysinger), recovered by Spencer Paysinger at CAR-19 (tackle by Jeff Byers)",0.000,-4.310
3,14:52,1,10,CAR 19,20,0,Andre Brown left guard for 3 yards (tackle by Charles Godfrey),4.310,4.180
3,14:11,2,7,CAR 16,20,0,Andre Brown right tackle for no gain (tackle by Luke Kuechly and Charles Johnson),4.180,3.410
3,14:11,3,7,CAR 16,20,0,Eli Manning right guard for 4 yards (tackle by Charles Godfrey),3.410,2.730
3,14:11,4,3,CAR 12,23,0,Lawrence Tynes 30 yard field goal good,2.730,3.000
3,12:49,,,NYG 35,23,0,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
3,12:49,1,10,CAR 20,23,0,Cam Newton pass complete short left to Mike Tolbert for 14 yards (tackle by Jayron Hosley and Rocky Bernard),0.280,1.200
3,12:07,1,10,CAR 34,23,0,Cam Newton pass incomplete short right intended for Brandon LaFell,1.200,0.660
3,12:02,2,10,CAR 34,23,0,DeAngelo Williams up the middle for 2 yards (tackle by Linval Joseph),0.660,0.230
3,11:26,3,8,CAR 36,23,0,Cam Newton pass complete deep middle to Steve Smith for 17 yards (tackle by Jayron Hosley),0.230,2.460
3,10:51,1,10,NYG 47,23,0,Mike Tolbert left tackle for no gain (tackle by Jason Pierre-Paul and Jayron Hosley),2.460,1.910
3,10:17,2,10,NYG 47,23,0,Cam Newton pass complete short middle to Greg Olsen for 16 yards (tackle by Michael Boley),1.910,3.510
3,9:47,1,10,NYG 31,23,0,Cam Newton pass complete short left to Louis Murphy for 7 yards (tackle by Antrel Rolle),3.510,3.910
3,9:17,2,3,NYG 24,23,0,DeAngelo Williams left guard for 2 yards (tackle by Antrel Rolle),3.910,3.470
3,8:54,3,1,NYG 22,23,0,Cam Newton up the middle for 2 yards (tackle by Kenny Phillips),3.470,4.240
3,8:12,1,10,NYG 20,23,0,Cam Newton pass complete short left to Greg Olsen for 11 yards (tackle by Michael Boley),4.240,5.140
3,7:38,1,9,NYG 9,23,0,DeAngelo Williams left guard for 8 yards (tackle by Michael Boley),5.140,5.910
3,7:12,2,1,NYG 1,23,0,Cam Newton up the middle for no gain (tackle by Linval Joseph),5.910,5.170
3,6:28,3,1,NYG 1,23,6,"Cam Newton up the middle for 1 yard, touchdown",5.170,7.000
3,6:28,,,NYG 2,23,7,Justin Medlock kicks extra point good,0.000,0.000
3,6:25,,,CAR 35,23,7,"Justin Medlock kicks off 65 yards, returned by David Wilson for 19 yards (tackle by Kenny Onatolu)",0.000,0.150
3,6:19,1,10,NYG 19,23,7,Eli Manning pass complete deep middle to Martellus Bennett for 29 yards (tackle by James Anderson),0.150,2.130
3,5:36,1,10,NYG 48,23,7,Eli Manning pass complete short right to Victor Cruz for 6 yards (tackle by James Anderson and Chris Gamble),2.130,2.390
3,4:54,2,4,CAR 46,23,7,Andre Brown up the middle for 2 yards (tackle by Ron Edwards),2.390,1.950
3,4:14,3,2,CAR 44,23,7,Eli Manning pass complete short middle to Victor Cruz for 7 yards (tackle by James Anderson),1.950,3.120
3,3:35,1,10,CAR 37,23,7,Andre Brown left tackle for 3 yards (tackle by Thomas Keiser and Jon Beason),3.120,2.980
3,2:56,2,7,CAR 34,23,7,Eli Manning pass complete short middle to Martellus Bennett for 8 yards (tackle by Captain Munnerlyn),2.980,3.840
3,2:18,1,10,CAR 26,23,7,Eli Manning pass incomplete short right intended for Andre Brown (defended by Luke Kuechly),3.840,3.300
3,2:12,2,10,CAR 26,23,7,Eli Manning sacked by Frank Alexander for -6 yards,3.300,1.820
3,1:37,3,16,CAR 32,23,7,Eli Manning pass complete short left to Andre Brown for 14 yards (tackle by Josh Norman),1.820,2.370
3,0:53,4,2,CAR 18,26,7,Lawrence Tynes 36 yard field goal good,2.370,3.000
3,0:50,,,NYG 35,26,7,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
3,0:49,1,10,CAR 20,26,7,Cam Newton pass complete short right to Mike Tolbert for 12 yards (tackle by Corey Webster),0.280,1.070
3,0:12,1,10,CAR 32,26,7,"DeAngelo Williams left end for -2 yards (tackle by Rocky Bernard). Penalty on Prince Amukamara: Unnecessary Roughness, 15 yards",1.070,1.930
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 45,26,7,Cam Newton pass complete short left to Greg Olsen for 16 yards (tackle by Antrel Rolle),1.930,2.980
4,14:22,1,10,NYG 39,26,7,Cam Newton sacked by Jason Pierre-Paul and Michael Boley for -12 yards,2.980,0.820
4,13:47,2,22,CAR 49,26,7,Cam Newton pass incomplete deep middle intended for Louis Murphy (defended by Prince Amukamara),0.820,0.170
4,13:42,3,22,CAR 49,26,7,Cam Newton pass incomplete deep middle intended for Greg Olsen is intercepted by Michael Boley at NYG-35 and returned for 17 yards,0.170,-2.390
4,13:31,1,10,CAR 48,26,7,Andre Brown left tackle for 7 yards (tackle by Charles Godfrey and Luke Kuechly),2.390,2.790
4,12:45,2,3,CAR 41,26,7,Eli Manning pass complete short left to Ramses Barden for 10 yards (tackle by Josh Norman),2.790,3.510
4,12:05,1,10,CAR 31,26,7,Andre Brown left end for 1 yard (tackle by James Anderson),3.510,3.100
4,11:40,2,9,CAR 30,26,7,Eli Manning pass complete short right to Ramses Barden for 5 yards (tackle by Frank Alexander),3.100,3.070
4,10:56,3,4,CAR 25,26,7,"Eli Manning pass complete short right to Martellus Bennett for 12 yards (tackle by Chris Gamble and Charles Godfrey). Penalty on Charles Godfrey: Face Mask (15 Yards), 7 yards",3.070,5.830
4,10:25,1,6,CAR 6,26,7,Eli Manning pass incomplete short left intended for Ramses Barden (defended by Josh Norman),5.830,4.950
4,10:20,2,6,CAR 6,26,7,Eli Manning pass complete short right to Andre Brown for 5 yards (tackle by Charles Godfrey and Luke Kuechly),4.950,5.170
4,9:42,3,1,CAR 1,32,7,"Andre Brown left guard for 1 yard, touchdown",5.170,7.000
4,9:42,,,CAR 2,33,7,Lawrence Tynes kicks extra point good,0.000,0.000
4,9:40,,,NYG 35,33,7,"Lawrence Tynes kicks off 68 yards, returned by Joe Adams for 28 yards (tackle by Da'Rel Scott)",0.000,0.610
4,9:34,1,10,CAR 25,33,7,Cam Newton pass complete short left to Steve Smith for 33 yards (tackle by Antrel Rolle),0.610,2.790
4,9:03,1,10,NYG 42,33,7,Cam Newton right end for 3 yards (tackle by Michael Boley),2.790,2.650
4,8:34,2,7,NYG 39,33,7,Cam Newton pass complete short middle to Greg Olsen for 5 yards (tackle by Antrel Rolle),2.650,2.610
4,8:04,3,2,NYG 34,33,7,"Cam Newton pass incomplete deep left intended for Steve Smith. Penalty on Corey Webster: Illegal Contact, 5 yards (no play)",2.610,3.640
4,8:00,1,10,NYG 29,33,7,Cam Newton pass complete short left to Mike Tolbert for 4 yards (tackle by Corey Webster),3.640,3.640
4,7:33,2,6,NYG 25,33,7,Cam Newton pass complete short left to Mike Tolbert for 17 yards (tackle by Michael Boley),3.640,5.370
4,6:53,1,8,NYG 8,33,7,Cam Newton pass incomplete short right intended for Greg Olsen,5.370,4.570
4,6:46,2,8,NYG 8,33,7,Cam Newton pass incomplete short left intended for Greg Olsen,4.570,3.580
4,6:40,3,8,NYG 8,33,7,Cam Newton pass incomplete short middle intended for Greg Olsen,3.580,2.950
4,6:36,4,8,NYG 8,33,7,Cam Newton pass incomplete short middle intended for Brandon LaFell is intercepted by Stevie Brown at NYG--1 and returned for 44 yards (tackle by Kealoha Pilares),2.950,-1.800
4,6:25,1,10,NYG 43,33,7,David Carr pass complete short left to Martellus Bennett for 4 yards (tackle by Charles Godfrey),1.800,1.790
4,5:48,2,6,NYG 47,33,7,Da'Rel Scott right guard for -1 yards (tackle by Luke Kuechly),1.790,0.960
4,5:10,3,7,NYG 46,33,7,"David Carr sacked by Dwan Edwards for -6 yards. David Carr fumbles (forced by Dwan Edwards), recovered by David Carr at NYG-40. Penalty on Jim Cordle: Offensive Holding (Declined)",0.960,-0.720
4,4:39,4,13,NYG 40,33,7,"Steve Weatherford punts 41 yards, muffed catch by Joe Adams, recovered by Justin Tryon and returned for no gain",-0.720,4.310
4,4:26,1,10,CAR 19,33,7,Da'Rel Scott right tackle for 4 yards (tackle by James Anderson),4.310,4.350
4,3:50,2,6,CAR 15,33,7,Da'Rel Scott left guard for 5 yards (tackle by Haruki Nakamura),4.350,4.690
4,3:08,3,1,CAR 10,33,7,Da'Rel Scott left guard for 2 yards (tackle by Charles Johnson),4.690,5.370
4,2:30,1,8,CAR 8,33,7,David Carr pass incomplete short left intended for Rueben Randle,5.370,4.570
4,2:25,2,8,CAR 8,33,7,Da'Rel Scott left guard for -1 yards (tackle by Luke Kuechly),4.570,3.360
4,2:00,3,9,CAR 9,33,7,Da'Rel Scott left tackle for no gain (tackle by Luke Kuechly and James Anderson),3.360,0.000
4,1:13,,,,33,7,Timeout #1 by New York Giants,0.000,2.830
4,1:13,4,9,CAR 9,36,7,Lawrence Tynes 27 yard field goal good,2.830,3.000
4,1:09,,,NYG 35,36,7,"Lawrence Tynes kicks off 64 yards, returned by Armanti Edwards for 27 yards (tackle by Jerrel Jernigan). Penalty on Kealoha Pilares: Offensive Holding, 10 yards",0.000,-0.350
4,1:04,1,10,CAR 12,36,7,"Derek Anderson pass complete short right to Steve Smith for 8 yards (tackle by Justin Tryon). Penalty on Justin Tryon: Defensive Holding, 5 yards (no play)",-0.350,-0.060
4,0:59,1,10,CAR 17,36,7,Derek Anderson pass complete short left to Steve Smith for 23 yards (tackle by Will Hill),-0.060,1.600
4,0:32,1,10,CAR 40,36,7,Derek Anderson pass complete short middle to DeAngelo Williams for 9 yards (tackle by Spencer Paysinger),1.600,2.270
4,0:12,2,1,CAR 49,36,7,Derek Anderson pass complete short middle to DeAngelo Williams for 14 yards (tackle by Mark Herzlich),2.270,3.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
