Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
2,3:52,4,10,SDG 35,0,16,Dave Rayner 53 yard field goal no good,0.970,-1.800
2,3:47,1,10,SDG 43,0,16,Philip Rivers pass complete short left to Malcom Floyd for 15 yards (tackle by Leodis McKelvin),1.800,2.790
2,3:09,1,10,BUF 42,0,16,Ryan Mathews left end for 1 yard (tackle by Dwan Edwards and Jairus Byrd),2.790,2.380
2,2:25,2,9,BUF 41,0,16,Philip Rivers pass complete short right to Vincent Jackson for 4 yards (tackle by George Wilson),2.380,2.210
2,2:00,3,5,BUF 37,0,16,Philip Rivers pass incomplete deep left intended for Vincent Jackson,2.210,0.790
2,1:54,4,5,BUF 37,0,16,Mike Scifres punts 25 yards,0.790,0.350
2,1:46,1,10,BUF 12,0,16,C.J. Spiller up the middle for 1 yard (tackle by Shaun Phillips),-0.350,-0.700
2,1:25,2,9,BUF 13,0,16,Ryan Fitzpatrick pass incomplete short left intended for Brad Smith (defended by Antoine Cason),-0.700,-1.300
2,1:21,3,9,BUF 13,0,16,Ryan Fitzpatrick pass incomplete deep right intended for Derek Hagan (defended by Antoine Cason),-1.300,-2.490
2,1:11,4,9,BUF 13,0,16,"Brian Moorman punts 55 yards, returned by Patrick Crayton for 14 yards (tackle by Bryan Scott)",-2.490,-1.990
2,0:59,1,10,SDG 46,0,16,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.990,1.450
2,0:53,2,10,SDG 46,0,16,Philip Rivers pass complete short left to Vincent Jackson for 5 yards (tackle by Leodis McKelvin),1.450,1.420
2,0:43,,,,0,16,Timeout #2 by San Diego Chargers,0.000,1.420
2,0:43,3,5,BUF 49,0,16,Philip Rivers pass complete short left to Antonio Gates for 8 yards (tackle by Bryan Scott),1.420,2.850
2,0:27,1,10,BUF 41,0,16,Philip Rivers spiked the ball,2.850,2.310
2,0:27,2,10,BUF 41,0,16,Philip Rivers pass incomplete short left intended for Mike Tolbert,2.310,1.620
2,0:24,3,10,BUF 41,0,16,Philip Rivers pass incomplete deep left intended for Vincent Jackson,1.620,0.530
2,0:19,4,10,BUF 41,0,16,Mike Scifres punts 36 yards,0.530,0.380
2,0:11,1,10,BUF 5,0,16,Ryan Fitzpatrick kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,0,16,"Nick Novak kicks off 70 yards, returned by Justin Rogers for 26 yards (tackle by Shareece Wright)",0.000,0.340
3,14:55,1,10,BUF 21,0,16,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,0.340,-0.200
3,14:51,2,10,BUF 21,0,16,Ryan Fitzpatrick pass complete short middle to C.J. Spiller for 5 yards (tackle by Quentin Jammer and Cam Thomas),-0.200,-0.230
3,14:03,3,5,BUF 26,0,16,Ryan Fitzpatrick pass complete deep right to Steve Johnson for 53 yards (tackle by Quentin Jammer),-0.230,4.170
3,13:17,1,10,SDG 21,0,16,Tashard Choice left end for 12 yards (tackle by Corey Liuget and Shaun Phillips),4.170,5.140
3,12:27,1,9,SDG 9,0,16,Ryan Fitzpatrick pass incomplete short right intended for David Nelson,5.140,4.380
3,12:21,2,9,SDG 9,0,16,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,4.380,3.360
3,12:17,3,9,SDG 9,0,16,Ryan Fitzpatrick sacked by Antwan Barnes for -10 yards,3.360,2.180
3,11:47,4,19,SDG 19,3,16,Dave Rayner 37 yard field goal good,2.180,3.000
3,,,,BUF 35,3,16,"Dave Rayner kicks off 71 yards, returned by Richard Goodman for 19 yards (tackle by Arthur Moats)",0.000,-0.320
3,11:37,1,10,SDG 13,3,16,Ryan Mathews left tackle for 4 yards (tackle by Kelvin Sheppard and Chris Kelsay),-0.320,-0.300
3,10:59,2,6,SDG 17,3,16,Ryan Mathews left guard for -1 yards (tackle by Marcell Dareus),-0.300,-1.060
3,10:16,3,7,SDG 16,9,16,"Philip Rivers sacked for -16 yards. Philip Rivers fumbles, recovered by Bryan Scott at SDG-0, touchdown",-1.060,-7.000
3,,,,SDG 2,10,16,Dave Rayner kicks extra point good,0.000,0.000
3,,,,BUF 35,10,16,"Dave Rayner kicks off 66 yards, returned by Richard Goodman for 23 yards (tackle by Arthur Moats)",0.000,0.410
3,10:05,1,10,SDG 22,10,16,Philip Rivers pass complete short middle to Ryan Mathews for 2 yards (tackle by Kelvin Sheppard),0.410,0.140
3,9:23,2,8,SDG 24,10,16,Philip Rivers pass incomplete deep right intended for Antonio Gates (defended by Bryan Scott),0.140,-0.560
3,9:16,3,8,SDG 24,10,16,Philip Rivers pass complete short right to Patrick Crayton for 6 yards (tackle by Bryan Scott),-0.560,-1.370
3,8:33,4,2,SDG 30,10,16,Eric Weddle for 10 yards (tackle by Da'Norris Searcy),-1.370,1.600
3,7:59,1,10,SDG 40,10,16,Ryan Mathews left end for 5 yards (tackle by George Wilson),1.600,1.730
3,7:25,2,5,SDG 45,10,16,Philip Rivers pass complete short right to Vincent Jackson for 16 yards (tackle by Bryan Scott and George Wilson),1.730,2.980
3,6:40,1,10,BUF 39,10,16,Philip Rivers pass complete deep middle to Vincent Jackson for 17 yards (tackle by Drayton Florence and Kelvin Sheppard),2.980,4.110
3,5:53,1,10,BUF 22,10,16,Philip Rivers pass complete short left to Vincent Jackson for 13 yards (tackle by Justin Rogers),4.110,5.140
3,5:16,1,9,BUF 9,10,16,"Philip Rivers right end for 9 yards. Penalty on Jeromey Clary: Offensive Holding, 10 yards (no play)",5.140,4.230
3,5:05,1,19,BUF 19,10,16,Philip Rivers pass complete deep middle to Randy McMichael for 17 yards (tackle by George Wilson),4.230,5.720
3,4:21,2,2,BUF 2,10,16,Philip Rivers pass incomplete short right intended for Kory Sperry,5.720,4.950
3,4:15,,,,10,16,Timeout #1 by San Diego Chargers,0.000,4.950
3,4:15,3,2,BUF 2,10,22,"Philip Rivers pass complete short left to Antonio Gates for 2 yards, touchdown",4.950,7.000
3,,,,BUF 2,10,23,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 35,10,23,"Nick Novak kicks off 71 yards, touchback",0.000,0.280
3,4:11,1,10,BUF 20,10,29,"Ryan Fitzpatrick pass incomplete short right intended for David Nelson is intercepted by Steve Gregory at BUF-26 and returned for 26 yards, touchdown. Penalty on Antoine Cason: Unnecessary Roughness, 15 yards",0.280,-7.000
3,,,,BUF 2,10,30,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 20,10,30,"Nick Novak kicks off 58 yards, returned by Justin Rogers for 5 yards (tackle by Mike Tolbert)",0.000,0.740
3,3:54,1,10,BUF 27,10,30,Ryan Fitzpatrick pass complete short left to Lee Smith for no gain,0.740,0.200
3,3:22,2,10,BUF 27,10,30,"Ryan Fitzpatrick pass complete deep right to Derek Hagan for 17 yards (tackle by Steve Gregory). Penalty on Steve Gregory: Unnecessary Roughness, 15 yards",0.200,2.850
3,2:53,1,10,SDG 41,10,30,Ryan Fitzpatrick pass incomplete short right intended for Tashard Choice,2.850,2.310
3,2:47,2,10,SDG 41,10,30,Ryan Fitzpatrick pass complete short left to Derek Hagan for 11 yards (tackle by Antoine Cason),2.310,3.580
3,2:09,1,10,SDG 30,10,30,Ryan Fitzpatrick left end for 5 yards (tackle by Takeo Spikes and Travis LaBoy),3.580,3.710
3,1:24,2,5,SDG 25,10,30,Ryan Fitzpatrick pass incomplete short middle intended for Tashard Choice (defended by Travis LaBoy),3.710,3.010
3,1:19,3,5,SDG 25,10,30,Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson,3.010,1.850
3,1:13,4,5,SDG 25,10,30,Ryan Fitzpatrick up the middle for 2 yards (tackle by Dante Hughes and Vaughn Martin),1.850,-0.480
3,1:06,1,10,SDG 23,10,30,Ryan Mathews up the middle for 5 yards (tackle by Kelvin Sheppard and Dwan Edwards),0.480,0.610
3,0:31,2,5,SDG 28,10,30,Ryan Mathews left end for 2 yards (tackle by Dwan Edwards),0.610,0.170
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,SDG 30,10,30,Mike Tolbert left end for 13 yards (tackle by Marcell Dareus),0.170,1.800
4,14:19,1,10,SDG 43,10,30,Ryan Mathews up the middle for 1 yard (tackle by George Wilson),1.800,1.390
4,13:39,2,9,SDG 44,10,30,Philip Rivers pass complete short right to Ryan Mathews for 7 yards (tackle by Nick Barnett and Drayton Florence),1.390,1.620
4,12:52,3,2,BUF 49,10,30,Philip Rivers pass complete short left to Ryan Mathews for 6 yards (tackle by Bryan Scott),1.620,2.720
4,12:10,1,10,BUF 43,10,30,Ryan Mathews up the middle for 3 yards (tackle by Spencer Johnson),2.720,2.580
4,11:26,2,7,BUF 40,10,30,Philip Rivers pass complete short right to Ryan Mathews for 10 yards (tackle by Leodis McKelvin),2.580,3.580
4,10:36,1,10,BUF 30,10,30,Mike Tolbert right guard for 4 yards (tackle by Spencer Johnson and Marcell Dareus),3.580,3.570
4,9:55,2,6,BUF 26,10,30,Mike Tolbert up the middle for no gain (tackle by Kelvin Sheppard),3.570,2.870
4,9:10,3,6,BUF 26,10,36,"Philip Rivers pass complete short right to Patrick Crayton for 26 yards, touchdown",2.870,7.000
4,,,,BUF 2,10,37,Nick Novak kicks extra point good,0.000,0.000
4,,,,SDG 35,10,37,"Nick Novak kicks off 70 yards, returned by Justin Rogers for 32 yards (tackle by Dante Hughes)",0.000,0.740
4,8:54,1,10,BUF 27,10,37,"Penalty on Antonio Garay: Neutral Zone Infraction, 5 yards (no play)",0.740,1.470
4,8:54,1,5,BUF 32,10,37,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 6 yards (tackle by Quentin Jammer),1.470,1.470
4,8:14,1,10,BUF 38,10,37,C.J. Spiller up the middle for 12 yards (tackle by Eric Weddle),1.470,2.260
4,7:30,1,10,,10,37,Ryan Fitzpatrick pass incomplete short left intended for Mike Caussin,2.260,1.710
4,7:23,,,,10,37,Timeout #1 by Buffalo Bills,0.000,1.710
4,7:23,2,10,,10,37,Ryan Fitzpatrick pass complete deep right to Steve Johnson for 18 yards (tackle by Eric Weddle and Quentin Jammer),1.710,3.450
4,6:47,1,10,SDG 32,10,37,C.J. Spiller up the middle for 2 yards (tackle by Cam Thomas and Antwan Barnes),3.450,3.170
4,6:12,2,8,SDG 30,10,37,C.J. Spiller up the middle for 16 yards (tackle by Steve Gregory),3.170,4.650
4,5:30,1,10,SDG 14,10,37,C.J. Spiller up the middle for 1 yard (tackle by Antwan Barnes and Na'il Diggs),4.650,4.160
4,4:48,2,9,SDG 13,10,37,Ryan Fitzpatrick pass incomplete short middle intended for Brad Smith,4.160,3.260
4,4:42,,,,10,37,Timeout #2 by Buffalo Bills,0.000,3.260
4,4:42,3,9,SDG 13,10,37,Ryan Fitzpatrick pass incomplete short left intended for C.J. Spiller,3.260,2.570
4,4:36,4,9,SDG 13,10,37,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,2.570,0.320
4,4:31,1,10,SDG 13,10,37,Jacob Hester up the middle for 3 yards (tackle by George Wilson and Dwan Edwards),-0.320,-0.440
4,3:50,2,7,SDG 16,10,37,Jacob Hester up the middle for 3 yards (tackle by Nick Barnett and Marcell Dareus),-0.440,-0.710
4,3:13,3,4,SDG 19,10,37,Jacob Hester up the middle for 1 yard (tackle by Chris Kelsay),-0.710,-2.030
4,2:32,4,3,SDG 20,10,37,"Mike Scifres punts 58 yards, fair catch by Leodis McKelvin",-2.030,-0.410
4,2:24,1,10,BUF 22,10,37,Johnny White right end for 4 yards (tackle by Bront Bird and Quentin Jammer),0.410,0.410
4,2:00,2,6,BUF 26,10,37,Tyler Thigpen pass complete short left to Mike Caussin for 13 yards (tackle by Steve Gregory),0.410,1.530
4,1:34,1,10,BUF 39,10,37,Tyler Thigpen for 8 yards (tackle by Andrew Gachkar),1.530,2.070
4,1:26,2,2,BUF 47,10,37,Tyler Thigpen pass complete short middle to Mike Caussin for 6 yards (tackle by Steve Gregory),2.070,2.460
4,0:59,1,10,SDG 47,10,37,Tyler Thigpen pass incomplete deep left intended for Derek Hagan is intercepted by Marcus Gilchrist at SDG-30 and returned for 21 yards (tackle by Andy Levitre),2.460,-2.320
4,0:50,1,10,BUF 49,10,37,Billy Volek kneels for -1 yards,2.320,1.650
4,0:28,2,11,,10,37,Billy Volek kneels for -1 yards,1.650,0.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
