Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
3,0:29,2,5,MIA 11,6,17,"Ryan Tannehill pass incomplete short right intended for Brian Hartline. Penalty on Chris Long: Roughing the Passer, 15 yards (no play)",-0.420,0.670
3,0:23,1,10,MIA 26,6,17,"Ryan Tannehill right guard for -17 yards (tackle by Jo-Lonn Dunbar). Ryan Tannehill fumbles (forced by Jo-Lonn Dunbar), ball out of bounds at MIA-9",0.670,-2.020
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,27,MIA 9,6,17,Ryan Tannehill pass incomplete short middle intended for Reggie Bush (defended by Kendall Langford),-2.020,-3.410
4,14:56,3,27,MIA 9,6,17,Ryan Tannehill right guard for 10 yards (tackle by James Laurinaitis),-3.410,-2.140
4,14:14,4,17,MIA 19,6,17,"Brandon Fields punts 44 yards, returned by Janoris Jenkins for 1 yard (tackle by Austin Spitler)",-2.140,-1.470
4,14:03,1,10,STL 38,6,17,Sam Bradford pass complete short left to Steven Jackson for 6 yards (tackle by Kevin Burnett),1.470,1.730
4,13:26,2,4,STL 44,6,17,Steven Jackson right end for 7 yards (tackle by Nolan Carroll),1.730,2.320
4,13:13,1,10,MIA 49,6,17,Steven Jackson right tackle for 2 yards (tackle by Kevin Burnett and Kheeston Randall),2.320,2.050
4,12:31,2,8,MIA 47,6,17,Sam Bradford pass complete short right to Matthew Mulligan for 6 yards (tackle by Kheeston Randall),2.050,2.150
4,11:44,3,2,MIA 41,6,17,Sam Bradford pass incomplete short right intended for Steven Jackson (defended by Sean Smith),2.150,0.530
4,11:38,4,2,MIA 41,6,17,Sam Bradford pass complete short right to Brandon Gibson for 8 yards (tackle by Nolan Carroll),0.530,3.380
4,11:00,1,10,MIA 33,6,17,Sam Bradford pass complete short left to Daryl Richardson for 26 yards (tackle by Reshad Jones),3.380,0.000
4,10:14,,,,6,17,Timeout #1 by Miami Dolphins,0.000,5.600
4,10:14,1,7,MIA 7,6,17,Sam Bradford right end for 4 yards (tackle by Karlos Dansby),5.600,5.530
4,9:31,2,3,MIA 3,6,17,Daryl Richardson right tackle for 1 yard (tackle by Karlos Dansby),5.530,4.950
4,8:35,3,2,MIA 2,6,17,Sam Bradford pass complete short right to Brian Quick for 1 yard (tackle by Sean Smith),4.950,3.550
,,,,,,,"STL challenged the runner broke the plane ruling, and the play was upheld.",,
4,8:35,4,1,MIA 1,12,17,"Sam Bradford up the middle for 1 yard, touchdown",3.550,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,8:35,,,,14,17,"Two Point Attempt: Sam Bradford pass complete to Steven Jackson, conversion succeeds",0.000,1.000
4,8:30,,,STL 35,14,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,0.280
4,8:30,1,10,MIA 20,14,17,Ryan Tannehill right end for 5 yards (tackle by Cortland Finnegan),0.280,0.410
4,8:10,2,5,MIA 25,14,17,Reggie Bush left end for 4 yards (tackle by Jo-Lonn Dunbar),0.410,0.230
4,7:10,3,1,MIA 29,14,17,Ryan Tannehill up the middle for 2 yards (tackle by Rocky McIntosh),0.230,1.000
4,6:34,1,10,MIA 31,14,17,Ryan Tannehill pass complete short left to Davone Bess for 9 yards (tackle by Janoris Jenkins),1.000,1.680
4,5:54,2,1,MIA 40,14,17,Reggie Bush left end for no gain (tackle by James Laurinaitis),1.680,0.960
4,5:05,3,1,MIA 40,14,17,Reggie Bush right end for no gain (tackle by James Laurinaitis),0.960,-0.720
4,4:15,4,1,MIA 40,14,17,Chris Clemons up the middle for 3 yards (tackle by Trumaine Johnson),-0.720,1.800
4,3:18,1,10,MIA 43,14,17,Reggie Bush up the middle for 2 yards (tackle by Chris Long),1.800,1.520
4,2:34,2,8,MIA 45,14,17,Ryan Tannehill pass complete short right to Davone Bess for 7 yards (tackle by Cortland Finnegan),1.520,0.000
4,2:20,,,,14,17,Timeout #2 by St. Louis Rams,0.000,1.750
4,2:20,3,1,STL 48,14,17,Reggie Bush up the middle for -1 yards (tackle by Quintin Mikell),1.750,0.000
4,2:00,4,2,STL 49,14,17,"Brandon Fields punts 43 yards, fair catch by Janoris Jenkins. Penalty on Jason Trusnik: Illegal Use of Hands, 10 yards (no play)",0.000,-0.650
4,1:52,4,12,MIA 41,14,17,"Brandon Fields punts 51 yards, returned by Janoris Jenkins for -2 yards (tackle by Jimmy Wilson). Penalty on Josh Hull: Offensive Holding, 3 yards",-0.650,0.380
4,1:41,1,10,STL 3,14,17,Sam Bradford pass complete short left to Steve Smith for 5 yards (tackle by Jimmy Wilson),-0.380,-0.420
4,1:20,2,5,STL 8,14,17,Sam Bradford pass complete short right to Lance Kendricks for 6 yards (tackle by Karlos Dansby),-0.420,-0.280
4,0:55,1,10,STL 14,14,17,Sam Bradford pass complete short right to Steve Smith for 13 yards (tackle by Chris Clemons),-0.280,0.740
4,0:54,1,10,STL 27,14,17,Sam Bradford pass incomplete short left intended for Brian Quick,0.740,0.200
4,0:51,2,10,STL 27,14,17,Sam Bradford pass complete deep left to Brandon Gibson for 22 yards (tackle by Nolan Carroll),0.200,2.190
4,0:46,1,10,STL 49,14,17,Sam Bradford pass complete short left to Brandon Gibson for 6 yards (tackle by Nolan Carroll),2.190,2.460
4,0:42,2,4,MIA 45,14,17,Sam Bradford pass complete short left to Steven Jackson for no gain,2.460,1.750
4,0:37,3,4,MIA 45,14,17,Sam Bradford sacked by Olivier Vernon for -3 yards,1.750,0.000
4,0:04,,,,14,17,Timeout #3 by St. Louis Rams,0.000,0.070
4,0:04,4,7,MIA 48,14,17,Greg Zuerlein 66 yard field goal no good,0.070,2.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
