Quarter,Time,Down,ToGo,Location,CHI,LVR,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,CHI,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 10,0,3,"Justin Fields pass incomplete short middle intended for Allen Robinson. Penalty on Maxx Crosby: Roughing the Passer, 5 yards (accepted) (no play)",,
2,14:56,1,5,LVR 5,0,3,Damien Williams right tackle for no gain (tackle by Denzel Perryman),,
2,14:17,2,5,LVR 5,0,3,"Justin Fields right end for no gain (tackle by Maxx Crosby). Penalty on Johnathan Abram: Illegal Use of Hands / Defense, 3 yards (accepted) (no play)",,
2,13:54,1,2,LVR 2,0,3,Damien Williams up the middle for no gain (tackle by Cory Littleton and Johnathan Abram),,
2,13:18,2,2,LVR 2,6,3,"Justin Fields pass complete short right to Jesper Horsted for 2 yards, touchdown",,
2,13:11,,,LVR 15,7,3,Cairo Santos kicks extra point good,,
2,13:11,,,CHI 35,7,3,"Cairo Santos kicks off 62 yards, returned by Kenyan Drake for 15 yards (tackle by Trevis Gipson and Xavier Crawford)",,
2,13:04,1,10,LVR 18,7,3,Derek Carr pass complete deep left to Henry Ruggs for 29 yards (tackle by Tashaun Gipson),,
2,12:14,1,10,LVR 47,7,3,"Derek Carr pass incomplete deep right intended for Foster Moreau. Penalty on Roquan Smith: Defensive Pass Interference, 17 yards (accepted) (no play)",,
2,12:08,1,10,CHI 36,7,3,Derek Carr pass complete short right to Josh Jacobs for 4 yards (tackle by Duke Shelley),,
2,11:38,2,6,CHI 32,7,3,Josh Jacobs right tackle for 5 yards (tackle by Danny Trevathan),,
2,11:05,3,1,CHI 27,7,3,Derek Carr left tackle for no gain (tackle by Roquan Smith),,
2,10:21,4,1,CHI 27,7,3,Josh Jacobs left guard for no gain (tackle by Khalil Mack),,
2,10:13,1,10,CHI 27,7,3,"Penalty on Mario Edwards: Unnecessary Roughness / Defense, 13 yards (accepted) (no play)",,
2,10:13,1,10,CHI 14,7,3,Khalil Herbert up the middle for 6 yards (tackle by Amik Robertson),,
2,9:33,2,4,CHI 20,7,3,Justin Fields pass complete short left to Damien Williams for 2 yards (tackle by Denzel Perryman),,
2,8:48,3,2,CHI 22,7,3,Damien Williams up the middle for 8 yards (tackle by Nick Kwiatkoski and Johnathan Abram),,
2,8:13,1,10,CHI 30,7,3,Justin Fields pass incomplete deep left intended for Marquise Goodwin,,
2,8:04,2,10,CHI 30,7,3,Damien Williams right guard for 9 yards (tackle by Quinton Jefferson and Cory Littleton),,
2,7:26,3,1,CHI 39,7,3,Justin Fields pass complete short right to Darnell Mooney for 15 yards (tackle by Nick Kwiatkoski),,
2,6:40,1,10,LVR 46,7,3,Justin Fields sacked by Yannick Ngakoue for no gain,,
2,5:58,2,10,LVR 46,7,3,Khalil Herbert right guard for 3 yards (tackle by Denzel Perryman),,
2,5:18,3,7,LVR 43,7,3,Andy Dalton pass complete short left to Marquise Goodwin for 8 yards (tackle by Casey Hayward),,
2,4:44,1,10,LVR 35,7,3,Damien Williams up the middle for 3 yards (tackle by Denzel Perryman and Nate Hobbs),,
2,4:06,2,7,LVR 32,7,3,Justin Fields pass incomplete deep left intended for Cole Kmet,,
2,3:56,3,7,LVR 32,7,3,Justin Fields pass complete short right to Allen Robinson for 12 yards (tackle by Nate Hobbs),,
2,3:33,1,10,LVR 20,7,3,Khalil Herbert left guard for 9 yards (tackle by K.J. Wright and Amik Robertson),,
2,2:49,,,,,,Timeout #2 by Chicago Bears,,
2,2:49,2,1,LVR 11,7,3,Khalil Herbert left tackle for 7 yards (tackle by Nate Hobbs and Trevon Moehrig),,
2,2:11,1,4,LVR 4,7,3,Khalil Herbert for no gain (tackle by Denzel Perryman and Johnathan Abram),,
2,2:00,2,4,LVR 4,13,3,"Damien Williams left tackle for 4 yards, touchdown",,
2,1:56,,,,,,Timeout #3 by Chicago Bears,,
2,1:56,,,LVR 15,14,3,Cairo Santos kicks extra point good,,
2,1:56,,,CHI 35,14,3,"Cairo Santos kicks off 65 yards, touchback.",,
2,1:56,1,10,LVR 25,14,3,Derek Carr pass complete short right to Jalen Richard for 4 yards (tackle by DeAndre Houston-Carson),,
2,1:49,2,6,LVR 29,14,3,"Derek Carr scrambles for 5 yards. Penalty on Bilal Nichols: Illegal Use of Hands / Defense, 5 yards (offset) . Penalty on Alex Leatherwood: Offensive Holding, 10 yards (offset) (no play)",,
2,1:42,2,6,LVR 29,14,3,Derek Carr sacked by Khalil Mack for -8 yards,,
2,1:04,3,14,LVR 21,14,3,Derek Carr pass incomplete deep left intended for Darren Waller,,
2,0:58,4,14,LVR 21,14,3,AJ Cole punts 39 yards out of bounds,,
2,0:50,1,10,CHI 40,14,3,Justin Fields pass complete short right to Cole Kmet for 8 yards (tackle by Roderic Teamer and Denzel Perryman),,
2,0:29,2,2,CHI 48,14,3,Justin Fields pass incomplete short right intended for Darnell Mooney,,
2,0:28,3,2,CHI 48,14,3,Khalil Herbert right tackle for 8 yards (tackle by Nick Kwiatkoski),,
2,0:15,1,10,LVR 44,14,3,Justin Fields spiked the ball,,
2,0:13,2,10,LVR 44,14,3,Justin Fields sacked by Yannick Ngakoue for -10 yards,,
Quarter,Time,Down,ToGo,Location,CHI,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,14,3,"Cairo Santos kicks off 65 yards, touchback.",,
3,15:00,1,10,LVR 25,14,3,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Robert Quinn),,
3,14:36,2,1,LVR 34,14,3,Josh Jacobs up the middle for -1 yards (tackle by Bilal Nichols),,
3,14:01,3,2,LVR 33,14,3,Derek Carr pass incomplete deep left intended for Bryan Edwards,,
3,13:50,4,2,LVR 33,14,3,"AJ Cole punts 70 yards, returned by Jakeem Grant for 21 yards (tackle by Roderic Teamer)",,
3,13:36,1,10,CHI 18,14,3,Khalil Herbert up the middle for 8 yards (tackle by Quinton Jefferson and Amik Robertson),,
3,13:06,2,2,CHI 26,14,3,Khalil Herbert right guard for 1 yard (tackle by Denzel Perryman),,
3,12:35,3,1,CHI 27,14,3,Damien Williams up the middle for no gain (tackle by Quinton Jefferson and Cory Littleton),,
3,11:49,4,1,CHI 27,14,3,"Pat O'Donnell punts 52 yards, fair catch by Hunter Renfrow at LV-21",,
3,11:42,1,10,LVR 21,14,3,Derek Carr pass incomplete short right intended for Darren Waller,,
3,11:38,2,10,LVR 21,14,3,Derek Carr pass complete short right to Zay Jones for 6 yards (tackle by Tashaun Gipson),,
3,11:12,3,4,LVR 27,14,3,Derek Carr pass deep right intended for Zay Jones is intercepted by DeAndre Houston-Carson at CHI-45 and returned for no gain,,
3,11:01,1,10,CHI 45,14,3,Justin Fields pass incomplete short right intended for Darnell Mooney (defended by Casey Hayward),,
3,10:57,2,10,CHI 45,14,3,Khalil Herbert right tackle for no gain (tackle by Denzel Perryman),,
3,10:20,3,10,CHI 45,14,3,Justin Fields pass incomplete deep left intended for Allen Robinson (defended by Nate Hobbs),,
3,10:13,4,10,CHI 45,14,3,"Pat O'Donnell punts 44 yards, fair catch by Hunter Renfrow at LV-11",,
3,10:04,1,10,LVR 11,14,3,Josh Jacobs right guard for 5 yards (tackle by Khalil Mack),,
3,9:26,2,5,LVR 16,14,3,Derek Carr pass incomplete deep right intended for Kenyan Drake,,
3,9:19,3,5,LVR 16,14,3,"Penalty on Brandon Parker: False Start, 5 yards (accepted) (no play)",,
3,9:19,3,10,LVR 11,14,3,Derek Carr pass complete deep left to Hunter Renfrow for 17 yards (tackle by Duke Shelley),,
3,8:43,1,10,LVR 28,14,3,Derek Carr pass complete to Josh Jacobs for 5 yards (tackle by Roquan Smith and Danny Trevathan),,
3,8:11,2,5,LVR 33,14,3,Josh Jacobs right tackle for 5 yards (tackle by Trevis Gipson and Danny Trevathan),,
3,7:29,1,10,LVR 38,14,3,Derek Carr sacked by Trevis Gipson for -8 yards,,
3,6:47,2,18,LVR 30,14,3,Derek Carr pass incomplete short middle intended for Darren Waller,,
3,6:40,3,18,LVR 30,14,3,Derek Carr pass complete short right to Darren Waller for 6 yards (tackle by Eddie Jackson and Duke Shelley),,
3,5:58,4,12,LVR 36,14,3,"AJ Cole punts 47 yards, fair catch by Jakeem Grant at CHI-17",,
3,5:51,1,10,CHI 17,14,3,Damien Williams right end for 6 yards (tackle by Casey Hayward),,
3,5:19,2,4,CHI 23,14,3,Justin Fields pass complete short right to Allen Robinson for 9 yards (tackle by Amik Robertson and Johnathan Abram),,
3,4:38,1,10,CHI 32,14,3,Khalil Herbert up the middle for 2 yards (tackle by Nate Hobbs),,
3,4:03,2,8,CHI 34,14,3,Justin Fields pass complete short middle to Darnell Mooney for 7 yards (tackle by Nick Kwiatkoski),,
3,3:21,3,1,CHI 41,14,3,Damien Williams up the middle for no gain (tackle by Quinton Jefferson),,
3,2:34,4,1,CHI 41,14,3,"Pat O'Donnell punts 42 yards, returned by Hunter Renfrow for 9 yards (tackle by Xavier Crawford)",,
3,2:20,1,10,LVR 26,14,3,Josh Jacobs left tackle for 4 yards (tackle by Khalil Mack and Roquan Smith),,
3,1:44,2,6,LVR 30,14,3,Derek Carr pass complete short middle to Henry Ruggs for 18 yards (tackle by Alec Ogletree),,
3,1:16,1,10,LVR 48,14,3,Derek Carr pass complete to Darren Waller for 3 yards (tackle by Khalil Mack),,
3,0:42,2,7,CHI 49,14,3,Derek Carr pass complete short right to Josh Jacobs for 2 yards (tackle by Kindle Vildor and Roquan Smith),,
3,0:04,3,5,CHI 47,14,3,"Penalty on Eddie Jackson: Neutral Zone Infraction, 4 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,CHI,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CHI 43,14,3,Derek Carr up the middle for 2 yards (tackle by Roquan Smith),,
4,14:39,1,10,CHI 41,14,3,Josh Jacobs left tackle for 7 yards (tackle by Eddie Jackson and Jaylon Johnson),,
4,13:59,2,3,CHI 34,14,3,Josh Jacobs up the middle for 1 yard (tackle by Khalil Mack),,
4,13:22,3,2,CHI 33,14,3,Nathan Peterman scrambles up the middle for 1 yard (tackle by Khalil Mack),,
4,12:48,4,1,CHI 32,14,3,"Nathan Peterman up the middle for 1 yard (tackle by Bilal Nichols and Roquan Smith) CHI challenged the short of the line to gain ruling, and the play was upheld.",,
4,12:18,1,10,CHI 31,14,3,Derek Carr pass complete short right to Henry Ruggs for 4 yards (tackle by Kindle Vildor),,
4,11:46,2,6,CHI 27,14,3,"Josh Jacobs right guard for no gain (tackle by Mario Edwards and Roquan Smith). Penalty on Mario Edwards: Unnecessary Roughness / Defense, 14 yards (accepted)",,
4,11:19,1,10,CHI 13,14,3,Derek Carr pass complete short right to Hunter Renfrow for 6 yards (tackle by Khalil Mack),,
4,10:39,2,4,CHI 7,14,3,Josh Jacobs left tackle for 1 yard (tackle by Bilal Nichols),,
4,10:00,3,3,CHI 6,14,3,Derek Carr pass complete short middle to Willie Snead for 3 yards (tackle by Alec Ogletree),,
4,9:16,1,3,CHI 3,14,3,Derek Carr pass incomplete short right intended for Darren Waller,,
4,9:10,2,3,CHI 3,14,3,"Derek Carr pass incomplete short right intended for Willie Snead. Penalty on Roquan Smith: Unnecessary Roughness / Defense, 2 yards (accepted) (no play)",,
4,9:05,1,1,CHI 1,14,9,"Josh Jacobs for 1 yard, touchdown",,
4,9:01,,,CHI 2,14,9,"Two Point Attempt: Derek Carr pass incomplete, sacked by Khalil Mack for no gain",,
4,9:01,,,LVR 35,14,9,"Daniel Carlson kicks off 63 yards, returned by Jakeem Grant for 13 yards (tackle by Dallin Leavitt)",,
4,8:56,1,10,CHI 15,14,9,"Justin Fields pass incomplete deep left intended for Allen Robinson. Penalty on Amik Robertson: Defensive Pass Interference, 14 yards (accepted) (no play)",,
4,8:52,1,10,CHI 29,14,9,Khalil Herbert left guard for 7 yards (tackle by Nate Hobbs),,
4,8:16,2,3,CHI 36,14,9,"Justin Fields pass incomplete short right intended for Cole Kmet. Penalty on Allen Robinson: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,8:08,2,13,CHI 26,14,9,Khalil Herbert up the middle for 1 yard (tackle by Darius Philon),,
4,7:26,3,12,CHI 27,14,9,Justin Fields pass complete short middle to Darnell Mooney for 13 yards (tackle by Nick Kwiatkoski),,
4,6:46,1,10,CHI 40,14,9,Justin Fields pass complete short middle to Cole Kmet for 14 yards (tackle by Johnathan Abram and Trevon Moehrig),,
4,6:00,1,10,LVR 46,14,9,Damien Williams left tackle for 6 yards (tackle by Casey Hayward),,
4,5:15,2,4,LVR 40,14,9,Khalil Herbert up the middle for 6 yards (tackle by Darius Philon),,
4,4:30,1,10,LVR 34,14,9,Khalil Herbert left end for 5 yards (tackle by Denzel Perryman),,
4,3:44,2,5,LVR 29,14,9,Khalil Herbert left tackle for no gain (tackle by Johnathan Hankins),,
4,2:58,3,5,LVR 29,14,9,Justin Fields left tackle for 1 yard (tackle by Denzel Perryman),,
4,2:50,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:50,4,4,LVR 28,17,9,Cairo Santos 46 yard field goal good,,
4,2:45,,,CHI 35,17,9,"Cairo Santos kicks off 65 yards, touchback.",,
4,2:45,1,10,LVR 25,17,9,Derek Carr sacked by Tashaun Gipson for -2 yards,,
4,2:15,2,12,LVR 23,17,9,Derek Carr pass incomplete short right intended for Hunter Renfrow,,
4,2:10,3,12,LVR 23,17,9,"Penalty on Brandon Parker: False Start, 5 yards (accepted) (no play)",,
4,2:10,3,17,LVR 18,17,9,Derek Carr pass complete short left to Hunter Renfrow for 12 yards (tackle by Eddie Jackson),,
4,2:00,4,5,LVR 30,17,9,Derek Carr pass incomplete deep middle intended for Bryan Edwards,,
4,1:55,1,10,LVR 30,17,9,Khalil Herbert up the middle for no gain (tackle by K.J. Wright),,
4,1:51,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:51,2,10,LVR 30,17,9,Khalil Herbert left tackle for 1 yard (tackle by Denzel Perryman),,
4,1:46,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:46,3,9,LVR 29,17,9,Damien Williams up the middle for 1 yard (tackle by Cory Littleton),,
4,1:01,,,,,,Timeout #2 by Chicago Bears,,
4,1:01,4,9,LVR 29,20,9,Cairo Santos 46 yard field goal good,,
4,0:56,,,CHI 35,20,9,"Cairo Santos kicks off 66 yards, returned by Kenyan Drake for 20 yards (tackle by Deon Bush)",,
4,0:50,1,10,LVR 19,20,9,Derek Carr pass complete short right to Darren Waller for 7 yards (tackle by Kindle Vildor),,
4,0:45,2,3,LVR 26,20,9,Derek Carr pass complete short right to Bryan Edwards for 10 yards (tackle by Kindle Vildor),,
4,0:13,1,10,LVR 36,20,9,"Derek Carr pass incomplete deep right. Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",,
4,0:05,1,20,LVR 26,20,9,Derek Carr scrambles for 8 yards (tackle by Roquan Smith),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
