Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
2,2:25,4,4,TAM 22,3,6,Matt Prater 40 yard field goal good,2.070,3.000
2,,,,DEN 30,3,6,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,2:21,1,10,TAM 20,3,6,"Penalty on Ebenezer Ekuban: Encroachment, 5 yards (no play)",0.280,1.010
2,2:21,1,5,TAM 25,3,6,Warrick Dunn right guard for 13 yards (tackle by Kenny Peterson),1.010,1.470
2,2:00,1,10,TAM 38,3,6,Brian Griese pass complete short left to Warrick Dunn for 4 yards (tackle by Boss Bailey),1.470,1.460
2,1:37,2,6,TAM 42,3,6,Brian Griese pass complete short right to Ike Hilliard for 5 yards (tackle by Champ Bailey),1.460,1.420
2,1:14,3,1,TAM 47,3,6,Warrick Dunn right guard for 3 yards (tackle by D.J. Williams),1.420,2.260
2,1:10,,,,3,6,Timeout #2 by Tampa Bay Buccaneers,0.000,2.260
2,1:10,1,10,,3,6,Brian Griese pass incomplete short left intended for Antonio Bryant (defended by Marquand Manuel),2.260,1.710
2,1:06,2,10,,3,6,Brian Griese pass complete short middle to Earnest Graham for 4 yards (tackle by Boss Bailey),1.710,1.550
2,0:42,3,6,DEN 46,3,6,Brian Griese pass complete short left to Antonio Bryant for 17 yards (tackle by Marquand Manuel),1.550,3.640
2,0:23,1,10,DEN 29,3,6,Brian Griese spiked the ball,3.640,3.100
2,0:23,2,10,DEN 29,3,6,Brian Griese pass complete short right to Michael Clayton for 12 yards (tackle by Champ Bailey),3.100,4.440
2,0:18,1,10,DEN 17,3,6,Warrick Dunn right end for 4 yards (tackle by Nate Webster),4.440,4.500
2,0:03,,,,3,6,Timeout #3 by Tampa Bay Buccaneers,0.000,4.500
2,0:03,2,6,DEN 13,6,6,Matt Bryant 31 yard field goal good,4.500,3.000
Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,6,6,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,TAM 20,6,6,Earnest Graham right end for 14 yards (tackle by D.J. Williams),0.280,1.200
3,14:35,1,10,TAM 34,6,6,Earnest Graham up the middle for 1 yard (tackle by Dewayne Robertson),1.200,0.790
3,13:55,2,9,TAM 35,6,6,Brian Griese pass complete short left to Earnest Graham for 5 yards (tackle by Dre' Bly),0.790,0.760
3,13:16,3,4,TAM 40,6,6,Brian Griese pass complete short right to Antonio Bryant for 5 yards (tackle by Champ Bailey),0.760,1.930
3,12:36,1,10,TAM 45,6,6,Brian Griese pass complete short middle to Alex Smith for 11 yards (tackle by Boss Bailey),1.930,2.650
3,11:57,1,10,DEN 44,6,6,Earnest Graham right tackle for 1 yard (tackle by D.J. Williams),2.650,2.250
3,11:15,2,9,DEN 43,6,6,Brian Griese pass incomplete short right intended for Earnest Graham,2.250,1.550
3,11:09,3,9,DEN 43,6,6,Brian Griese pass incomplete short right intended for Maurice Stovall (defended by D.J. Williams),1.550,0.400
3,11:03,4,9,DEN 43,6,6,Josh Bidwell punts 40 yards,0.400,0.380
3,10:52,1,10,DEN 4,6,6,Jay Cutler pass complete short right to Tony Scheffler for 33 yards (tackle by Jermaine Phillips),-0.380,1.400
3,10:17,1,10,DEN 37,6,6,Selvin Young left tackle for 7 yards (tackle by Jermaine Phillips),1.400,1.800
3,9:43,2,3,DEN 44,6,6,Jay Cutler pass incomplete short left intended for Selvin Young,1.800,1.090
3,9:38,3,3,DEN 44,6,6,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Jimmy Wilkerson),1.090,-0.460
3,9:34,4,3,DEN 44,6,6,"Brett Kern punts 45 yards, returned by Dexter Jackson for no gain",-0.460,0.370
3,9:25,1,10,TAM 11,6,6,Warrick Dunn left tackle for -1 yards (tackle by Nate Webster and Kenny Peterson),-0.370,-0.850
3,8:46,2,11,TAM 10,6,6,Brian Griese pass incomplete,-0.850,-1.540
3,8:39,3,11,TAM 10,6,6,Jeff Garcia pass complete short left to Antonio Bryant for 2 yards (tackle by D.J. Williams),-1.540,-2.490
3,8:04,4,9,TAM 12,6,6,"Josh Bidwell punts 41 yards, returned by Eddie Royal for 6 yards (tackle by Matt McCoy)",-2.490,-2.460
3,7:52,1,10,TAM 47,6,6,Jay Cutler pass incomplete short right intended for Selvin Young (defended by Kevin Carter),2.460,1.910
3,7:46,2,10,TAM 47,6,6,Selvin Young left end for 5 yards (tackle by Barrett Ruud),1.910,1.880
3,7:16,3,5,TAM 42,6,6,Michael Pittman up the middle for 16 yards (tackle by Cato June),1.880,3.840
3,6:38,1,10,TAM 26,6,6,Jay Cutler pass complete short left to Tony Scheffler for 16 yards (tackle by Barrett Ruud),3.840,4.910
3,5:51,1,10,TAM 10,6,12,"Jay Cutler pass complete short right to Brandon Stokley for 10 yards, touchdown",4.910,7.000
3,,,,TAM 2,6,13,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,6,13,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
3,5:41,1,10,TAM 20,6,13,"Penalty on Arron Sears: False Start, 5 yards (no play)",0.280,-0.310
3,5:41,1,15,TAM 15,6,13,Jeff Garcia pass complete short left to Antonio Bryant for 4 yards (tackle by D.J. Williams),-0.310,-0.460
3,5:03,2,11,TAM 19,6,13,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",-0.460,-1.180
3,4:36,2,16,TAM 14,6,13,Jeff Garcia pass incomplete deep left intended for Antonio Bryant,-1.180,-2.030
3,4:29,3,16,TAM 14,6,13,Warrick Dunn up the middle for 6 yards (tackle by Nate Webster and Kenny Peterson),-2.030,-2.030
3,4:29,4,10,TAM 20,6,13,"Josh Bidwell punts 57 yards, returned by Glenn Martinez for 6 yards (tackle by Andrew Economos)",-2.030,-0.870
3,3:41,1,10,DEN 29,6,13,Selvin Young left end for 1 yard (tackle by Ronde Barber),0.870,0.460
3,3:16,2,9,DEN 30,6,13,Jay Cutler pass complete short right to Brandon Stokley for 7 yards (tackle by Phillip Buchanon),0.460,0.700
3,2:43,3,2,DEN 37,6,13,Jay Cutler pass complete short left to Brandon Stokley for 8 yards (tackle by Ronde Barber),0.700,1.930
3,2:08,1,10,DEN 45,6,13,Selvin Young left end for 2 yards (tackle by Derrick Brooks),1.930,1.650
3,1:35,2,8,DEN 47,6,13,Jay Cutler pass incomplete deep left intended for Brandon Marshall,1.650,0.960
3,1:29,3,8,DEN 47,6,13,Jay Cutler pass complete short right to Glenn Martinez for 12 yards (tackle by Phillip Buchanon),0.960,2.850
3,0:59,1,10,TAM 41,6,13,Jay Cutler pass complete short left to Brandon Stokley for 11 yards (tackle by Ronde Barber). Penalty on Kevin Carter: Defensive Holding (Declined),2.850,3.580
3,0:29,1,10,TAM 30,6,13,Jay Cutler pass complete short right to Brandon Stokley for 5 yards (tackle by Phillip Buchanon),3.580,3.710
Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,TAM 25,6,13,Jay Cutler pass complete short middle to Tony Scheffler for 4 yards (tackle by Jermaine Phillips),3.710,3.530
4,14:26,3,1,TAM 21,6,13,Michael Pittman left guard for 4 yards (tackle by Jermaine Phillips),3.530,4.440
4,13:51,1,10,TAM 17,6,13,Michael Pittman left tackle for 6 yards (tackle by Derrick Brooks),4.440,4.890
4,13:12,2,4,TAM 11,6,13,Andre Hall left end for 2 yards (tackle by Adam Hayward and Gaines Adams),4.890,4.570
4,12:33,3,2,TAM 9,6,13,Jay Cutler pass incomplete short right intended for Daniel Graham,4.570,2.950
4,12:28,4,2,TAM 9,6,16,Matt Prater 27 yard field goal good,2.950,3.000
4,,,,DEN 30,6,16,"Matt Prater kicks off 67 yards, returned by Dexter Jackson for 16 yards (tackle by Andre Hall)",0.000,0.150
4,12:20,1,10,TAM 19,6,16,Earnest Graham right tackle for 5 yards (tackle by Nate Webster and Jamie Winborn),0.150,0.340
4,11:44,2,5,TAM 24,6,16,Jeff Garcia pass complete short middle to Earnest Graham for 3 yards (tackle by Jamie Winborn),0.340,-0.030
4,11:02,3,2,TAM 27,6,16,"Jeff Garcia pass incomplete short middle intended for Antonio Bryant is intercepted by Marcus Thomas at TAM-31 and returned for 11 yards (tackle by Warrick Dunn). Marcus Thomas fumbles (forced by Warrick Dunn), recovered by Arron Sears at TAM-12 (tackle by Boss Bailey)",-0.030,-0.350
4,10:47,1,10,TAM 12,6,16,Jeff Garcia pass complete short middle to Warrick Dunn for 7 yards (tackle by Dre' Bly),-0.350,0.100
4,10:14,2,3,TAM 19,6,16,Warrick Dunn up the middle for 1 yard (tackle by Nate Webster),0.100,-0.480
4,9:28,3,2,TAM 20,6,16,Warrick Dunn left end for no gain (tackle by Marlon McCree),-0.480,-2.030
4,9:09,4,2,TAM 20,6,16,"Josh Bidwell punts 53 yards, returned by Glenn Martinez for 20 yards (tackle by Andrew Economos). Penalty on Spencer Larsen: Illegal Block Above the Waist (Declined), Penalty on Karl Paymah: Offensive Holding, 10 yards",-2.030,-0.280
4,8:54,1,10,DEN 20,6,16,Selvin Young up the middle for 2 yards (tackle by Adam Hayward),0.280,0.000
4,8:19,2,8,DEN 22,6,16,Jay Cutler pass complete short right to Brandon Marshall for 6 yards (tackle by Phillip Buchanon),0.000,0.100
4,7:41,3,2,DEN 28,6,16,Jay Cutler pass incomplete short right intended for Brandon Stokley,0.100,-1.500
4,7:37,4,2,DEN 28,6,16,"Brett Kern punts 63 yards, returned by Dexter Jackson for 1 yard (tackle by Niko Koutouvides)",-1.500,0.380
4,7:24,1,10,TAM 10,6,16,Jeff Garcia pass complete short right to Warrick Dunn for 2 yards (tackle by Nate Webster),-0.380,-0.630
4,6:53,2,8,TAM 12,6,16,Jeff Garcia pass complete short right to Ike Hilliard for 6 yards (tackle by Jamie Winborn),-0.630,-0.480
4,6:24,3,2,TAM 18,6,16,Earnest Graham right guard for 12 yards (tackle by D.J. Williams and Marcus Thomas),-0.480,0.940
4,5:48,1,10,TAM 30,6,16,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",0.940,0.610
4,5:27,1,15,TAM 25,6,16,Jeff Garcia pass incomplete deep right intended for Jerramy Stevens,0.610,-0.280
4,5:22,2,15,TAM 25,6,16,Jeff Garcia pass complete short left to Jerramy Stevens for 12 yards (tackle by D.J. Williams),-0.280,0.630
4,4:47,3,3,TAM 37,6,16,"Jeff Garcia sacked by Nic Clemons for -5 yards. Penalty on Boss Bailey: Defensive Holding (Offsetting), Penalty on Jeff Faine: Unnecessary Roughness (Offsetting) (no play)",0.630,0.630
4,4:41,3,3,TAM 37,6,16,Jeff Garcia pass complete short right to Antonio Bryant for 4 yards (tackle by Marquand Manuel),0.630,1.660
4,4:05,1,10,TAM 41,6,16,Jeff Garcia pass complete short middle to Antonio Bryant for 14 yards (tackle by Dre' Bly),1.660,2.590
4,3:40,,,,6,16,Timeout #1 by Denver Broncos,0.000,2.590
4,3:40,1,10,DEN 45,6,16,Jeff Garcia up the middle for 6 yards (tackle by Elvis Dumervil),2.590,2.850
4,3:14,2,4,DEN 39,6,16,Jeff Garcia pass complete short left to Maurice Stovall for 9 yards,2.850,3.580
4,3:09,1,10,DEN 30,6,16,Jeff Garcia pass incomplete short middle intended for Ike Hilliard (defended by Kenny Peterson),3.580,3.030
4,3:05,2,10,DEN 30,6,16,Jeff Garcia pass complete short left to Antonio Bryant for 12 yards (tackle by Dre' Bly),3.030,4.370
4,2:37,1,10,DEN 18,6,16,Jeff Garcia pass complete short middle to Ike Hilliard for 11 yards (tackle by Boss Bailey),4.370,5.600
4,2:08,1,7,DEN 7,12,16,"Jeff Garcia pass complete short left to Ike Hilliard for 7 yards, touchdown",5.600,7.000
4,,,,DEN 2,13,16,Matt Bryant kicks extra point good,0.000,0.000
4,,,,TAM 30,13,16,"Matt Bryant kicks off 56 yards, returned by Glenn Martinez for no gain",0.000,-0.280
4,1:56,1,10,DEN 14,13,16,Jay Cutler pass complete short right to Tony Scheffler for 12 yards (tackle by Adam Hayward),-0.280,0.670
4,1:47,,,,13,16,Timeout #1 by Tampa Bay Buccaneers,0.000,0.670
4,1:47,1,10,DEN 26,13,16,Michael Pittman left guard for 6 yards (tackle by Kevin Carter),0.670,0.940
4,1:43,,,,13,16,Timeout #2 by Tampa Bay Buccaneers,0.000,0.940
4,1:43,2,4,DEN 32,13,16,Michael Pittman up the middle for 6 yards (tackle by Adam Hayward),0.940,1.470
4,1:38,,,,13,16,Timeout #3 by Tampa Bay Buccaneers,0.000,1.470
4,1:38,1,10,DEN 38,13,16,Jay Cutler kneels for -1 yards,1.470,0.790
4,0:57,2,11,DEN 37,13,16,Jay Cutler kneels for -2 yards,0.790,-0.160
4,0:28,3,13,DEN 35,13,16,Jay Cutler kneels for -1 yards,-0.160,-1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
