Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
2,9:13,4,4,TAM 45,14,7,"Bradley Pinion punts 44 yards, fair catch by Jalen Reagor at PHI-11",,
2,9:06,1,10,PHI 11,14,7,Jalen Hurts right end for -1 yards (tackle by Jason Pierre-Paul),,
2,8:24,2,11,PHI 10,14,7,Jalen Hurts pass complete short right to Zach Ertz for 16 yards (tackle by Devin White),,
2,7:42,1,10,PHI 26,14,7,Jalen Hurts pass deep left intended for Quez Watkins is intercepted by Jamel Dean at TB-28 and returned for no gain (tackle by Quez Watkins),,
2,7:32,1,10,TAM 28,14,7,Tom Brady pass incomplete deep right intended for Mike Evans,,
2,7:26,2,10,TAM 28,14,7,Tom Brady pass complete short middle to Cameron Brate for 12 yards (tackle by Alex Singleton),,
2,6:51,1,10,TAM 40,14,7,Leonard Fournette left end for 2 yards (tackle by Derek Barnett and Davion Taylor),,
2,6:14,2,8,TAM 42,14,7,Tom Brady pass complete short right to Antonio Brown for 14 yards (tackle by Marcus Epps),,
2,5:35,1,10,PHI 44,14,7,Tom Brady pass complete short right to Leonard Fournette for 18 yards (tackle by Marcus Epps and Milton Williams),,
2,4:51,1,10,PHI 26,14,7,Leonard Fournette up the middle for 3 yards (tackle by Tarron Jackson),,
2,4:15,2,7,PHI 23,14,7,Tom Brady pass complete short right to O.J. Howard for 10 yards (tackle by Steven Nelson),,
2,3:34,1,10,PHI 13,14,7,Tom Brady pass complete short right to Chris Godwin for 3 yards (tackle by Davion Taylor),,
2,2:52,2,7,PHI 10,14,7,Tom Brady pass complete short middle to Chris Godwin for 6 yards (tackle by Alex Singleton and Avonte Maddox),,
2,2:08,3,1,PHI 4,14,7,Leonard Fournette right guard for 2 yards (tackle by Alex Singleton and Avonte Maddox),,
2,2:00,1,2,PHI 2,20,7,"Leonard Fournette up the middle for 2 yards, touchdown",,
2,1:56,,,PHI 15,21,7,Ryan Succop kicks extra point good,,
2,1:56,,,TAM 35,21,7,"Bradley Pinion kicks off 65 yards, touchback.",,
2,1:56,1,10,PHI 25,21,7,Jalen Hurts pass incomplete short right intended for Zach Ertz (defended by Devin White),,
2,1:49,2,10,PHI 25,21,7,Jalen Hurts scrambles left end for 5 yards (tackle by Devin White),,
2,1:42,3,5,PHI 30,21,7,Jalen Hurts pass incomplete deep left intended for Kenneth Gainwell,,
2,1:34,4,5,PHI 30,21,7,"Arryn Siposs punts 39 yards, returned by Jaydon Mickens for 4 yards (tackle by Shaun Bradley)",,
2,1:24,1,10,TAM 35,21,7,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",,
2,1:24,1,15,TAM 30,21,7,Tom Brady pass incomplete deep left intended for Mike Evans,,
2,1:19,2,15,TAM 30,21,7,Tom Brady pass incomplete short left intended for Antonio Brown,,
2,1:14,3,15,TAM 30,21,7,"Tom Brady pass deep left intended for Antonio Brown is intercepted by Anthony Harris at PHI-26 and returned for 2 yards, lateral to Darius Slay for no gain (tackle by Giovani Bernard)",,
2,0:57,1,10,PHI 32,21,7,Jalen Hurts pass incomplete short left intended for Jalen Reagor (defended by Jamel Dean),,
2,0:53,2,10,PHI 32,21,7,Jalen Hurts pass incomplete short left,,
2,0:46,3,10,PHI 32,21,7,Jalen Hurts scrambles left end for 6 yards (tackle by Joe Tryon-Shoyinka),,
2,0:37,4,4,PHI 38,21,7,"Arryn Siposs punts 40 yards, fair catch by Jaydon Mickens at TB-22",,
2,0:31,1,10,TAM 22,21,7,Tom Brady pass complete short right to Giovani Bernard for -4 yards (tackle by Josh Sweat),,
Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,21,7,"Bradley Pinion kicks off 65 yards, touchback.",,
3,15:00,1,10,PHI 25,21,7,Jalen Hurts pass complete short right to Zach Ertz for 2 yards (tackle by Mike Edwards),,
3,14:27,2,8,PHI 27,21,7,Miles Sanders right tackle for 2 yards (tackle by Vita Vea),,
3,13:47,3,6,PHI 29,21,7,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Jamel Dean),,
3,13:42,4,6,PHI 29,21,7,"Arryn Siposs punts 55 yards, returned by Jaydon Mickens for 5 yards (tackle by Shaun Bradley)",,
3,13:28,1,10,TAM 21,21,7,Tom Brady pass complete short middle to O.J. Howard for 5 yards (tackle by T.J. Edwards),,
3,12:53,2,5,TAM 26,21,7,Tom Brady pass complete short left to Antonio Brown for 4 yards (tackle by Avonte Maddox),,
3,12:14,3,1,TAM 30,21,7,Leonard Fournette right tackle for 20 yards (tackle by Eric Wilson and Darius Slay),,
3,11:27,1,10,TAM 50,21,7,Leonard Fournette left end for 5 yards (tackle by Avonte Maddox and Alex Singleton),,
3,10:47,2,5,PHI 45,21,7,Tom Brady pass complete short right to Leonard Fournette for 4 yards (tackle by Alex Singleton),,
3,10:05,3,1,PHI 41,21,7,Leonard Fournette up the middle for 6 yards (tackle by Avonte Maddox),,
3,9:28,1,10,PHI 35,21,7,Ronald Jones up the middle for 2 yards (tackle by Rodney McLeod and Alex Singleton),,
3,8:47,2,8,PHI 33,21,7,Tom Brady pass complete short right to O.J. Howard for 9 yards (tackle by Hassan Ridgeway and Alex Singleton),,
3,7:58,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
3,7:58,1,10,PHI 24,21,7,Tom Brady pass complete short middle to O.J. Howard for 15 yards (tackle by Anthony Harris),,
3,7:17,1,9,PHI 9,21,7,Leonard Fournette left end for 7 yards (tackle by Anthony Harris),,
3,6:37,2,2,PHI 2,21,7,"Tom Brady pass incomplete short left intended for Mike Evans. Penalty on Darius Slay: Defensive Pass Interference, 1 yard (accepted) (no play)",,
3,6:32,1,1,PHI 1,21,7,Leonard Fournette up the middle for no gain (tackle by Fletcher Cox),,
3,5:50,2,1,PHI 1,27,7,"Leonard Fournette up the middle for 1 yard, touchdown",,
3,5:47,,,PHI 15,28,7,Ryan Succop kicks extra point good,,
3,5:47,,,TAM 35,28,7,"Bradley Pinion kicks off 65 yards, touchback.",,
3,5:47,1,10,PHI 25,28,7,"Jalen Hurts pass incomplete deep right intended for Jalen Reagor. Penalty on Mike Edwards: Defensive Pass Interference, 50 yards (accepted) (no play)",,
3,5:39,1,10,TAM 25,28,7,Jalen Hurts pass complete short left to Kenneth Gainwell for 1 yard (tackle by Devin White),,
3,4:59,2,9,TAM 24,28,7,Jalen Hurts pass complete short left to Zach Ertz for 6 yards (tackle by Jordan Whitehead),,
3,4:19,3,3,TAM 18,28,7,Miles Sanders left tackle for 5 yards (tackle by Ross Cockrell and Jordan Whitehead),,
3,3:53,1,10,TAM 13,28,7,Miles Sanders left tackle for -2 yards (tackle by Shaquil Barrett and William Gholston),,
3,3:15,2,12,TAM 15,28,7,Jalen Hurts left end for 9 yards (tackle by Shaquil Barrett),,
3,2:28,3,3,TAM 6,28,7,Jalen Hurts pass incomplete short left intended for Quez Watkins (defended by Jamel Dean),,
3,2:21,4,3,TAM 6,28,13,"Jalen Hurts scrambles right end for 6 yards, touchdown",,
3,2:15,,,TAM 15,28,14,Jake Elliott kicks extra point good,,
3,2:15,,,PHI 35,28,14,"Jake Elliott kicks off 65 yards, touchback.",,
3,2:15,1,10,TAM 25,28,14,Tom Brady pass incomplete deep right intended for Antonio Brown,,
3,2:10,2,10,TAM 25,28,14,Tom Brady pass complete short right to Antonio Brown for no gain (tackle by Avonte Maddox),,
3,1:30,3,10,TAM 25,28,14,Tom Brady pass complete short right to Giovani Bernard for 8 yards (tackle by Eric Wilson and Javon Hargrave),,
3,0:49,4,2,TAM 33,28,14,"Bradley Pinion punts 42 yards, returned by Jalen Reagor for no gain (tackle by Pat O'Connor). Penalty on Josiah Scott: Offensive Holding, 10 yards (accepted)",,
3,0:38,1,10,PHI 15,28,14,Jalen Hurts pass complete short left to Quez Watkins for -3 yards (tackle by Shaquil Barrett),,
Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,PHI 12,28,14,"Jalen Hurts pass incomplete deep right intended for Quez Watkins PHI challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass complete deep right to Quez Watkins for 24 yards",,
4,14:41,1,10,PHI 36,28,14,Jalen Hurts pass incomplete short right,,
4,14:35,2,10,PHI 36,28,14,Jalen Hurts pass complete deep middle to DeVonta Smith for 25 yards (tackle by Jordan Whitehead),,
4,14:03,1,10,TAM 39,28,14,Miles Sanders left end for 11 yards (tackle by Kevin Minter and Ross Cockrell),,
4,13:37,1,10,TAM 28,28,14,Jalen Hurts sacked by Shaquil Barrett for no gain,,
4,12:55,2,10,TAM 28,28,14,Jalen Hurts pass incomplete short right intended for Miles Sanders (defended by Ross Cockrell),,
4,12:51,3,10,TAM 28,28,14,Jalen Hurts pass incomplete short right intended for Miles Sanders,,
4,12:43,4,10,TAM 28,28,14,Jake Elliott 46 yard field goal no good,,
4,12:38,1,10,TAM 36,28,14,Ronald Jones left tackle for 9 yards (tackle by Davion Taylor and T.J. Edwards),,
4,12:05,2,1,TAM 45,28,14,Ronald Jones up the middle for 2 yards (tackle by Genard Avery and Javon Hargrave),,
4,11:28,1,10,TAM 47,28,14,"Ronald Jones left end for no gain (tackle by Davion Taylor and Marcus Epps). Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",,
4,11:07,1,20,TAM 37,28,14,Tom Brady pass complete short left to Mike Evans for 5 yards (tackle by Darius Slay),,
4,10:29,2,15,TAM 42,28,14,Tom Brady pass complete short middle to Cameron Brate for 4 yards (tackle by Alex Singleton),,
4,9:47,3,11,TAM 46,28,14,Tom Brady pass complete short right to O.J. Howard for 8 yards (tackle by Genard Avery),,
4,9:04,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,9:04,4,3,PHI 46,28,14,Tom Brady pass incomplete deep right intended for O.J. Howard,,
4,8:59,1,10,PHI 46,28,14,Jalen Hurts pass complete deep right to Miles Sanders for 6 yards (tackle by Dee Delaney),,
4,8:34,2,3,TAM 48,28,14,Miles Sanders left tackle for 23 yards (tackle by Devin White and Mike Edwards),,
4,8:11,1,10,TAM 25,28,14,Miles Sanders right end for 14 yards (tackle by Dee Delaney),,
4,7:42,1,10,TAM 11,28,14,Jalen Hurts right end for 7 yards (tackle by Kevin Minter),,
4,7:14,2,3,TAM 4,28,14,Miles Sanders left tackle for 3 yards (tackle by Joe Tryon-Shoyinka and Mike Edwards),,
4,6:47,1,1,TAM 1,28,14,Jalen Hurts pass incomplete short right intended for Quez Watkins. Penalty on Dee Delaney: Defensive Holding (accepted) (no play),,
4,6:41,1,1,TAM 1,28,14,Miles Sanders up the middle for -1 yards (tackle by Ndamukong Suh),,
4,5:56,2,2,TAM 2,28,20,"Jalen Hurts right tackle for 2 yards, touchdown",,
4,5:54,,,TAM 2,28,22,Two Point Attempt: Jalen Hurts pass complete to to Quez Watkins for no gain,,
4,5:54,,,PHI 35,28,22,"Jake Elliott kicks off 65 yards, touchback.",,
4,5:54,1,10,TAM 25,28,22,"Leonard Fournette left end for 2 yards (tackle by Steven Nelson and Genard Avery). Penalty on Genard Avery: Taunting / Defense, 15 yards (accepted)",,
4,5:32,1,10,TAM 42,28,22,Leonard Fournette right end for no gain (tackle by Derek Barnett and Josh Sweat),,
4,4:52,2,10,TAM 42,28,22,Tom Brady pass complete short left to Antonio Brown for 10 yards (tackle by Rodney McLeod),,
4,4:07,1,10,PHI 48,28,22,Leonard Fournette up the middle for 1 yard (tackle by Javon Hargrave),,
4,3:28,2,9,PHI 47,28,22,Tom Brady pass complete short right to Leonard Fournette for 2 yards (tackle by Alex Singleton),,
4,3:24,,,,,,Timeout #1 by Philadelphia Eagles,,
4,3:24,3,7,PHI 45,28,22,Tom Brady pass complete deep right to Antonio Brown for 27 yards (tackle by Marcus Epps),,
4,2:40,1,10,PHI 18,28,22,Leonard Fournette left guard for -1 yards (tackle by Avonte Maddox and Josh Sweat),,
4,2:35,,,,,,Timeout #2 by Philadelphia Eagles,,
4,2:35,2,11,PHI 19,28,22,Tom Brady pass complete short right to Cameron Brate for 10 yards (tackle by Alex Singleton),,
4,2:27,,,,,,Timeout #3 by Philadelphia Eagles,,
4,2:27,3,1,PHI 9,28,22,Tom Brady up the middle for 3 yards (tackle by Javon Hargrave),,
4,2:00,1,6,PHI 6,28,22,Tom Brady kneels for -1 yards,,
4,1:19,2,7,PHI 7,28,22,Tom Brady kneels for -1 yards,,
4,0:39,3,8,PHI 8,28,22,Tom Brady kneels for no gain,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
