Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
2,4:48,3,4,KAN 8,14,3,"Patrick Mahomes pass incomplete intended for Marquez Valdes-Scantling. Penalty on Maxx Crosby: Roughing the Passer, 14 yards (accepted) (no play)",-0.720,0.410
2,4:42,1,10,KAN 22,14,3,Patrick Mahomes pass complete short right to Travis Kelce for 15 yards (tackle by Duron Harmon),0.410,1.400
2,4:00,1,10,KAN 37,14,3,"Isiah Pacheco for 6 yards. Penalty on Maxx Crosby: Defensive Offside, 5 yards (accepted) (no play)",1.400,2.130
2,3:49,1,5,KAN 42,14,3,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 13 yards (tackle by Amik Robertson),2.130,2.590
2,3:19,1,10,LVR 45,14,3,Isiah Pacheco up the middle for 5 yards (tackle by Clelin Ferrell and Bilal Nichols),2.590,2.720
2,2:37,2,5,LVR 40,14,3,Patrick Mahomes pass complete short left to Kadarius Toney for 10 yards (tackle by Duron Harmon),2.720,3.580
2,2:00,1,10,LVR 30,14,3,Patrick Mahomes pass complete short middle to Jerick McKinnon for -2 yards (tackle by Isaiah Pola-Mao),3.580,2.760
2,1:24,2,12,LVR 32,14,3,Patrick Mahomes scrambles right end for 2 yards (tackle by Luke Masterson),2.760,2.340
2,1:18,3,10,LVR 30,14,3,Patrick Mahomes scrambles left tackle for 14 yards (tackle by Maxx Crosby),2.340,4.510
2,1:09,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:09,1,10,LVR 16,14,3,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 7 yards (tackle by Roderic Teamer),4.510,5.160
2,1:02,,,,,,Timeout #1 by Las Vegas Raiders,,
2,1:02,2,3,LVR 9,14,3,"Patrick Mahomes pass complete short left to Kadarius Toney for 8 yards, touchdown. Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted)",5.160,4.760
2,0:53,2,5,LVR 11,20,3,"Kadarius Toney left end for 11 yards, touchdown",4.760,7.000
2,0:47,,,LVR 15,21,3,Harrison Butker kicks extra point good,0.000,0.000
2,0:47,,,KAN 35,21,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:47,1,10,LVR 25,21,3,Jarrett Stidham pass complete deep middle to Davante Adams for 22 yards (tackle by Nick Bolton),0.610,1.990
2,0:42,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:42,1,10,LVR 46,21,3,"Jarrett Stidham pass incomplete intended for Davante Adams. Penalty on L'Jarius Sneed: Defensive Pass Interference, 8 yards (accepted) (no play)",1.990,2.590
2,0:38,1,10,KAN 45,21,3,Jarrett Stidham sacked by and George Karlaftis for -7 yards and Chris Jones for -7 yards,2.590,1.100
2,0:32,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:32,2,17,LVR 48,21,3,"Jarrett Stidham pass complete to Davante Adams for no gain. Penalty on Dylan Parham: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.100,-0.250
2,0:24,2,27,LVR 38,21,3,Jarrett Stidham pass incomplete short right,-0.250,-0.890
2,0:17,3,27,LVR 38,21,3,"Jarrett Stidham sacked by Michael Danna for -8 yards. Jarrett Stidham fumbles (forced by Michael Danna), recovered by George Karlaftis at LV-30 (tackle by Alex Bars). Penalty on Darren Waller: Illegal Shift, 5 yards (declined)",-0.890,-3.580
2,0:09,1,10,LVR 30,21,3,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 4 yards (tackle by Sidney Jones),3.580,3.570
2,0:05,2,6,LVR 26,24,3,Harrison Butker 44 yard field goal good,3.570,3.000
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,24,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,24,3,Jarrett Stidham scrambles left guard for 5 yards (tackle by Leo Chenal),0.610,0.740
3,14:22,2,5,LVR 30,24,3,Jarrett Stidham pass complete short middle to Josh Jacobs for 4 yards (tackle by Willie Gay),0.740,0.560
3,13:36,3,1,LVR 34,24,3,Jarrett Stidham scrambles right end for 5 yards (tackle by Willie Gay),0.560,1.530
3,12:54,1,10,LVR 39,24,3,Josh Jacobs right guard for 3 yards (tackle by Chris Jones),1.530,1.390
3,12:11,2,7,LVR 42,24,3,Zamir White left end for 4 yards (tackle by Juan Thornhill and Nick Bolton),1.390,1.220
3,11:32,3,3,LVR 46,24,3,Jarrett Stidham pass complete short right to Hunter Renfrow for 16 yards (tackle by L'Jarius Sneed),1.220,3.050
3,10:50,1,10,KAN 38,24,3,Jarrett Stidham pass complete short right to Jakob Johnson for 3 yards (tackle by Trent McDuffie),3.050,2.910
3,10:05,2,7,KAN 35,24,3,"Jarrett Stidham pass complete to Josh Jacobs for no gain. Penalty on Michael Danna: Defensive Offside, 5 yards (accepted) (no play)",2.910,3.590
3,9:41,2,2,KAN 30,24,3,Josh Jacobs left guard for 1 yard (tackle by Khalen Saunders),3.590,3.010
3,9:03,3,1,KAN 29,24,3,Josh Jacobs left tackle for 10 yards (tackle by Juan Thornhill),3.010,4.310
3,8:30,1,10,KAN 19,24,3,Josh Jacobs left tackle for no gain (tackle by Chris Jones and Khalen Saunders),4.310,3.750
3,7:49,2,10,KAN 19,24,3,Jarrett Stidham pass incomplete deep middle intended for Darren Waller,3.750,3.030
3,7:44,3,10,KAN 19,24,3,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",3.030,2.410
3,7:44,3,15,KAN 24,24,3,Jarrett Stidham pass complete short right to Hunter Renfrow for 4 yards (tackle by Nick Bolton),2.410,2.120
3,7:00,4,11,KAN 20,24,6,Daniel Carlson 38 yard field goal good,2.120,3.000
3,6:55,,,LVR 35,24,6,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,6:55,1,10,KAN 25,24,6,Isiah Pacheco right guard for 3 yards (tackle by Luke Masterson and Sidney Jones),0.610,0.470
3,6:17,2,7,KAN 28,24,6,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,0.470,-0.230
3,6:14,3,7,KAN 28,24,6,Patrick Mahomes sacked by Maxx Crosby for -10 yards,-0.230,-2.240
3,5:25,4,17,KAN 18,24,6,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",-2.240,-2.490
3,5:25,4,22,KAN 13,24,6,"Tommy Townsend punts 59 yards, returned by Hunter Renfrow for no gain (tackle by Darius Harris and Nazeeh Johnson)",-2.490,-0.810
3,5:09,1,10,LVR 28,24,6,Jarrett Stidham scrambles right end for 7 yards (tackle by Trent McDuffie),0.810,1.210
3,4:31,2,3,LVR 35,24,6,Josh Jacobs right guard for no gain (tackle by Willie Gay),1.210,0.500
3,3:44,3,3,LVR 35,24,6,Jarrett Stidham pass incomplete deep right intended for Darren Waller (defended by Justin Reid),0.500,-1.040
3,3:42,4,3,LVR 35,24,6,AJ Cole punts 63 yards out of bounds,-1.040,0.380
3,3:34,1,10,KAN 2,24,6,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Roderic Teamer and Luke Masterson),-0.380,-0.420
3,2:58,2,5,KAN 7,24,6,Jerick McKinnon left guard for 7 yards (tackle by Clelin Ferrell and Sidney Jones),-0.420,-0.280
3,2:20,1,10,KAN 14,24,6,Patrick Mahomes pass incomplete deep right intended for Justin Watson (defended by Sidney Jones),-0.280,-0.750
3,2:13,2,10,KAN 14,24,6,Patrick Mahomes scrambles right end for 13 yards (tackle by Isaiah Pola-Mao),-0.750,0.740
3,1:34,1,10,KAN 27,24,6,Jerick McKinnon up the middle for -1 yards (tackle by Roderic Teamer),0.740,0.060
3,0:53,2,11,KAN 26,24,6,Ronald Jones left guard for 9 yards (tackle by Roderic Teamer),0.060,0.560
3,0:15,3,2,KAN 35,24,6,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,0.560,-1.040
3,0:13,4,2,KAN 35,24,6,Tommy Townsend punts 61 yards downed by Nazeeh Johnson,-1.040,0.380
3,0:02,1,10,LVR 4,24,6,Josh Jacobs up the middle for -1 yards (tackle by George Karlaftis),-0.380,-0.850
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,LVR 3,24,6,Jarrett Stidham pass complete short middle to Hunter Renfrow for 5 yards (tackle by Nick Bolton),-0.850,-0.950
4,14:19,3,6,LVR 8,24,6,Jarrett Stidham pass incomplete short right intended for Davante Adams (defended by Carlos Dunlap),-0.950,-2.490
4,14:14,4,6,LVR 8,24,6,"AJ Cole punts 59 yards, returned by Kadarius Toney for 5 yards (tackle by Brandon Bolden)",-2.490,-1.470
4,14:04,1,10,KAN 38,24,6,Patrick Mahomes pass complete short right to Travis Kelce for 11 yards (tackle by Trevon Moehrig),1.470,2.190
4,13:29,1,10,KAN 49,24,6,Isiah Pacheco right guard for 8 yards (tackle by Sidney Jones),2.190,2.730
4,12:54,2,2,LVR 43,24,6,"Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 10 yards (tackle by Tyler Hall). Penalty on Sidney Jones: Illegal Contact, 5 yards (declined)",2.730,3.380
4,12:31,1,10,LVR 33,24,6,Isiah Pacheco right guard for 31 yards (tackle by Duron Harmon),3.380,6.740
4,11:50,1,2,LVR 2,24,6,Patrick Mahomes pass incomplete short right,6.740,5.720
4,11:46,2,2,LVR 2,24,6,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Duron Harmon),5.720,5.170
4,11:06,3,1,LVR 1,30,6,"Isiah Pacheco left guard for 1 yard, touchdown",5.170,7.000
4,11:03,,,LVR 15,31,6,Harrison Butker kicks extra point good,0.000,0.000
4,11:03,,,KAN 35,31,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,11:03,1,10,LVR 25,31,6,Jarrett Stidham pass complete deep right to Davante Adams for 18 yards (tackle by Trent McDuffie),0.610,1.800
4,10:22,1,10,LVR 43,31,6,Jarrett Stidham pass complete short right to Mack Hollins for 3 yards (tackle by Nick Bolton),1.800,1.660
4,9:40,2,7,LVR 46,31,6,Jarrett Stidham pass complete short middle to Darren Waller for 11 yards (tackle by Bryan Cook),1.660,2.720
4,9:00,1,10,KAN 43,31,6,Jarrett Stidham pass complete short middle to Hunter Renfrow for 14 yards (tackle by Trent McDuffie),2.720,3.640
4,8:29,1,10,KAN 29,31,6,Jarrett Stidham pass complete short right to Keelan Cole for 5 yards (tackle by Trent McDuffie),3.640,3.780
4,7:54,2,5,KAN 24,31,6,Jarrett Stidham pass complete short right to Josh Jacobs for 1 yard (tackle by L'Jarius Sneed and Nick Bolton),3.780,3.200
4,7:26,3,4,KAN 23,31,6,Jarrett Stidham pass complete short right to Davante Adams for 12 yards (tackle by Nick Bolton),3.200,4.840
4,6:51,1,10,KAN 11,31,6,Jarrett Stidham pass incomplete short middle intended for Ameer Abdullah (defended by Willie Gay),4.840,4.140
4,6:48,2,10,KAN 11,31,6,Jarrett Stidham pass incomplete short right intended for Darren Waller (defended by Justin Reid),4.140,3.130
4,6:43,3,10,KAN 11,31,12,"Jarrett Stidham pass complete short left to Hunter Renfrow for 11 yards, touchdown",3.130,7.000
4,6:37,,,KAN 15,31,13,Daniel Carlson kicks extra point good,0.000,0.000
4,6:37,,,LVR 35,31,13,"Daniel Carlson kicks onside 8 yards, returned by Noah Gray for no gain",0.000,2.720
4,6:36,1,10,LVR 43,31,13,Ronald Jones right guard for 5 yards (tackle by Duron Harmon),2.720,2.720
4,6:29,,,,,,Timeout #1 by Las Vegas Raiders,,
4,6:29,2,5,LVR 40,31,13,Patrick Mahomes pass incomplete intended for Marquez Valdes-Scantling (defended by Amik Robertson),2.720,2.150
4,6:24,3,5,LVR 38,31,13,Patrick Mahomes sacked by Clelin Ferrell for -11 yards,2.150,0.000
4,6:18,,,,,,Timeout #2 by Las Vegas Raiders,,
4,6:18,4,14,LVR 49,31,13,"Tommy Townsend punts 39 yards, returned by Hunter Renfrow for 8 yards (tackle by James Winchester)",0.000,-0.040
4,6:07,1,10,LVR 18,31,13,Josh Jacobs up the middle for 12 yards (tackle by Justin Reid),0.040,0.940
4,5:46,1,10,LVR 30,31,13,Jarrett Stidham pass incomplete short right intended for Josh Jacobs,0.940,0.390
4,5:41,2,10,LVR 30,31,13,"Jarrett Stidham sacked by Michael Danna for no gain. Jarrett Stidham fumbles (forced by Michael Danna), recovered by Davante Adams at LV-30",0.390,-0.300
4,4:57,3,10,LVR 30,31,13,Jarrett Stidham pass complete short middle to Hunter Renfrow for 9 yards (tackle by Nick Bolton and Trent McDuffie),-0.300,-0.780
4,4:57,4,1,LVR 39,31,13,"Penalty on Nick Bolton: Face Mask (15 Yards), 15 yards (accepted) (no play)",-0.780,2.520
4,4:45,1,10,KAN 46,31,13,Jarrett Stidham pass incomplete short left,2.520,0.490
4,4:43,2,21,LVR 43,31,13,Jarrett Stidham pass incomplete deep middle intended for Davante Adams,0.490,-0.160
4,4:38,3,21,LVR 43,31,13,Jarrett Stidham pass incomplete deep middle intended for Keelan Cole (defended by Trent McDuffie),-0.160,-0.520
4,4:31,4,21,LVR 43,31,13,Jarrett Stidham sacked by Chris Jones for -9 yards,-0.520,-3.310
4,4:24,1,10,LVR 34,31,13,Ronald Jones right guard for 9 yards (tackle by Luke Masterson and Duron Harmon),3.310,3.990
4,3:42,2,1,LVR 25,31,13,Ronald Jones right guard for 4 yards (tackle by Jerry Tillery and Bilal Nichols),3.990,4.170
4,2:56,1,10,LVR 21,31,13,Ronald Jones right guard for 1 yard (tackle by Andrew Billings),4.170,3.760
4,2:15,2,9,LVR 20,31,13,Ronald Jones left tackle for -1 yards (tackle by Maxx Crosby and Trevon Moehrig),3.760,2.940
4,2:00,3,10,LVR 21,31,13,Ronald Jones left tackle for 13 yards (tackle by Trevon Moehrig and Roderic Teamer),2.940,5.370
4,1:10,1,8,LVR 8,31,13,Chad Henne kneels for -1 yards,5.370,4.380
4,0:30,2,9,LVR 9,31,13,Chad Henne kneels for -1 yards,4.380,3.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
