Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
2,14:35,1,10,NYJ 22,0,7,Kolby Smith left guard for 3 yards (tackle by Calvin Pace and Kris Jenkins),4.110,3.970
2,13:58,2,7,NYJ 19,6,7,"Tyler Thigpen pass complete short left to Tony Gonzalez for 19 yards, touchdown",3.970,7.000
2,,,,NYJ 2,7,7,Connor Barth kicks extra point good,0.000,0.000
2,,,,KAN 30,7,7,"Connor Barth kicks off 70 yards, returned by Leon Washington for 28 yards (tackle by Rocky Boiman)",0.000,0.810
2,13:44,1,10,NYJ 28,7,7,Thomas Jones right guard for 5 yards (tackle by Donnie Edwards),0.810,0.940
2,13:07,2,5,NYJ 33,7,7,Leon Washington left end for 2 yards (tackle by Turk McBride and Tank Tyler),0.940,0.500
2,12:27,3,3,NYJ 35,7,7,"Penalty on Alan Faneca: False Start, 5 yards (no play)",0.500,-0.160
2,11:59,3,8,NYJ 30,7,7,Brett Favre pass incomplete deep middle intended for Jerricho Cotchery,-0.160,-1.370
2,11:52,4,8,NYJ 30,7,7,"Reggie Hodges punts 48 yards, returned by Dantrell Savage for -4 yards (tackle by Ahmad Carroll). Penalty on Brandon Carr: Offensive Holding, 9 yards",-1.370,0.380
2,11:42,1,10,KAN 9,7,7,Tyler Thigpen for 8 yards (tackle by Bryan Thomas),-0.380,-0.020
2,11:14,2,2,KAN 17,7,7,Jamaal Charles right guard for 8 yards (tackle by Kerry Rhodes and David Harris),-0.020,0.610
2,10:55,1,10,KAN 25,7,7,Jamaal Charles right end for 6 yards (tackle by Dwight Lowery),0.610,0.870
2,10:25,2,4,KAN 31,7,7,Tyler Thigpen pass complete short middle to Dwayne Bowe for 36 yards (tackle by Kerry Rhodes),0.870,3.380
2,9:51,1,10,NYJ 33,7,7,Jamaal Charles right end for -3 yards (tackle by Kerry Rhodes and Kris Jenkins),3.380,2.430
2,9:20,2,13,NYJ 36,7,7,Tyler Thigpen pass complete short right to Jamaal Charles for 4 yards (tackle by Dwight Lowery),2.430,2.280
2,8:43,3,9,NYJ 32,7,7,Tyler Thigpen sacked by Drew Coleman for -12 yards,2.280,0.330
2,8:18,4,21,NYJ 44,7,7,"Steve Weatherford punts 44 yards, touchback. Penalty on Weston Dacus: Offensive Holding (Offsetting), Penalty on Ahmad Carroll: Offensive Holding (Offsetting) (no play)",0.330,0.330
2,8:09,4,21,NYJ 44,7,7,"Steve Weatherford punts 44 yards, touchback",0.330,-0.280
2,8:01,1,10,NYJ 20,7,7,Brett Favre pass complete short right to Jerricho Cotchery for 6 yards (tackle by Derrick O. Johnson),0.280,0.540
2,7:18,2,4,NYJ 26,7,7,Brett Favre pass complete short left to Dustin Keller for 4 yards (tackle by Bernard Pollard),0.540,0.940
2,6:31,1,10,NYJ 30,7,7,Thomas Jones left guard for 3 yards (tackle by Donnie Edwards and Tank Tyler),0.940,0.800
2,5:53,2,7,NYJ 33,7,7,Brett Favre pass incomplete deep right intended for Laveranues Coles is intercepted by Jarrad Page at KAN-27,0.800,-0.740
2,5:43,1,10,KAN 27,7,7,Kolby Smith right guard for 1 yard (tackle by Mike DeVito and Sione Pouha),0.740,0.330
2,5:11,2,9,KAN 28,7,7,Tyler Thigpen pass complete short left to Brad Cottam for 6 yards (tackle by Calvin Pace),0.330,0.430
2,4:35,3,3,KAN 34,7,7,Tyler Thigpen pass complete short right to Brad Cottam for 10 yards (tackle by Eric Barton),0.430,1.860
2,4:05,1,10,KAN 44,7,7,Tyler Thigpen pass incomplete short right intended for Mark Bradley (defended by Dwight Lowery),1.860,1.320
2,3:59,2,10,KAN 44,7,7,Jamaal Charles left tackle for 4 yards (tackle by Kenyon Coleman and Eric Barton),1.320,1.160
2,3:16,3,6,KAN 48,7,7,Tyler Thigpen pass complete short right to Devard Darling for 4 yards (tackle by Dwight Lowery),1.160,0.070
2,3:16,4,2,NYJ 48,7,7,"Penalty on Rocky Boiman: False Start, 5 yards (no play)",0.070,-0.260
2,2:43,4,7,KAN 47,7,7,"Steve Weatherford punts 43 yards, fair catch by Leon Washington",-0.260,0.380
2,2:34,1,10,NYJ 10,7,7,Brett Favre pass incomplete short left intended for Jerricho Cotchery,-0.380,-0.780
2,2:28,2,10,NYJ 10,7,7,Brett Favre pass complete short middle to Jerricho Cotchery for 24 yards (tackle by Jarrad Page). Penalty on Alfonso Boone: Defensive Offside (Declined),-0.780,1.200
2,2:04,1,10,NYJ 34,7,7,Brett Favre pass complete short right to Dustin Keller for 6 yards (tackle by Pat Thomas),1.200,1.470
2,1:57,2,4,NYJ 40,7,13,"Leon Washington up the middle for 60 yards, touchdown",1.470,7.000
2,,,,KAN 2,7,14,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,14,"Jay Feely kicks off 67 yards, returned by Dantrell Savage for 23 yards (tackle by Jesse Chatman)",0.000,0.670
2,1:41,1,10,KAN 26,7,14,Tyler Thigpen pass incomplete short left intended for Will Franklin (defended by Drew Coleman),0.670,0.130
2,1:36,2,10,KAN 26,7,14,Tyler Thigpen pass incomplete deep right intended for Dwayne Bowe (defended by Eric Smith),0.130,-0.560
2,1:30,3,10,KAN 26,7,14,Jamaal Charles right guard for 30 yards (tackle by Eric Smith),-0.560,2.650
2,1:01,1,10,NYJ 44,7,14,Tyler Thigpen pass complete short left to Tony Gonzalez for 21 yards (tackle by Kerry Rhodes),2.650,4.040
2,0:51,,,,7,14,Timeout #1 by Kansas City Chiefs,0.000,4.040
2,0:51,1,10,NYJ 23,7,14,Tyler Thigpen pass incomplete deep right intended for Mark Bradley,4.040,3.500
2,0:42,2,10,NYJ 23,7,14,"Tyler Thigpen pass complete short left to Dwayne Bowe for 14 yards (tackle by Dwight Lowery). Penalty on Tony Gonzalez: Offensive Pass Interference, 10 yards (no play)",3.500,2.150
2,0:39,2,20,NYJ 33,7,14,Tyler Thigpen pass complete short left to Kolby Smith for 7 yards (tackle by Eric Barton),2.150,2.410
2,0:30,,,,7,14,Timeout #2 by Kansas City Chiefs,0.000,0.000
2,0:30,,,,7,14,Timeout #1 by New York Jets,0.000,2.410
2,0:30,3,13,NYJ 26,7,14,Tyler Thigpen pass complete short middle to Dwayne Bowe for 15 yards (tackle by Eric Barton),2.410,4.840
2,0:30,1,10,NYJ 11,7,14,Tyler Thigpen spiked the ball,4.840,4.140
2,0:10,2,10,NYJ 11,13,14,"Tyler Thigpen pass complete short left to Mark Bradley for 11 yards, touchdown",4.140,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,,,,NYJ 2,14,14,Connor Barth kicks extra point good,0.000,0.000
2,,,,KAN 30,14,14,"Connor Barth kicks off 63 yards, returned by Leon Washington for 23 yards (tackle by Rocky Boiman)",0.000,0.940
Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,14,14,"Jay Feely kicks off 76 yards, returned by Dantrell Savage for 28 yards (tackle by Cody Spencer)",0.000,0.410
3,14:55,1,10,KAN 22,14,14,Tyler Thigpen right end for 5 yards (tackle by Bryan Thomas),0.410,0.540
3,14:27,2,5,KAN 27,14,14,Kolby Smith left end for 1 yard (tackle by Calvin Pace and Kenyon Coleman),0.540,-0.030
3,13:52,3,4,KAN 28,14,14,Tyler Thigpen pass complete short right to Dwayne Bowe for 12 yards (tackle by Darrelle Revis),-0.030,1.600
3,13:23,1,10,KAN 40,14,14,Tyler Thigpen pass complete short right to Kolby Smith for 8 yards (tackle by Bryan Thomas),1.600,2.130
3,12:54,2,2,KAN 48,14,14,Tyler Thigpen pass complete short left to Brad Cottam for 7 yards (tackle by David Bowens),2.130,2.590
,,,,,,,"NYJ challenged the runner was down by contact ruling, and the original play was overturned.",,
3,12:13,1,10,NYJ 45,14,14,Tyler Thigpen pass complete short right to Mark Bradley for 12 yards (tackle by Kerry Rhodes),2.590,3.380
3,11:42,1,10,NYJ 33,14,14,Tyler Thigpen pass complete short middle to Tony Gonzalez for 11 yards (tackle by Abram Elam),3.380,4.110
3,11:14,1,10,NYJ 22,14,14,Tyler Thigpen pass complete short right to Mark Bradley for 13 yards (tackle by Dwight Lowery),4.110,5.140
3,10:43,1,9,NYJ 9,14,14,Tyler Thigpen pass incomplete short middle intended for Brad Cottam,5.140,4.380
3,10:38,2,9,NYJ 9,14,14,Tyler Thigpen up the middle for -3 yards (tackle by Calvin Pace and Bryan Thomas),4.380,3.100
3,10:02,3,12,NYJ 12,14,14,Tyler Thigpen pass incomplete short middle intended for Brad Cottam,3.100,2.630
3,9:56,4,12,NYJ 12,17,14,Connor Barth 30 yard field goal good,2.630,3.000
3,,,,KAN 30,17,14,"Connor Barth kicks off 67 yards, returned by Justin Miller for 22 yards (tackle by Dimitri Patterson)",0.000,0.610
3,9:44,1,10,NYJ 25,17,14,Brett Favre pass incomplete deep left intended for Dustin Keller,0.610,0.060
3,9:37,2,10,NYJ 25,17,14,Brett Favre pass complete short right to Jerricho Cotchery for 9 yards (tackle by Tank Tyler),0.060,0.560
3,8:48,3,1,NYJ 34,17,14,Brett Favre pass incomplete deep right intended for Jerricho Cotchery,0.560,-1.110
3,8:40,4,1,NYJ 34,17,14,"Reggie Hodges punts 45 yards, returned by Dantrell Savage for 11 yards (tackle by Cody Spencer)",-1.110,-1.070
3,8:29,1,10,KAN 32,17,14,Kolby Smith right end for -4 yards (tackle by Bryan Thomas),1.070,-0.010
3,7:54,2,14,KAN 28,17,14,Tyler Thigpen pass complete short left to Dwayne Bowe for 12 yards (tackle by Hank Poteat),-0.010,0.890
3,7:14,3,2,KAN 40,17,14,Tyler Thigpen pass incomplete short right intended for Dwayne Bowe,0.890,-0.720
3,7:08,4,2,KAN 40,17,14,Steve Weatherford punts 32 yards,-0.720,-0.810
3,7:00,1,10,NYJ 28,17,14,Thomas Jones up the middle for 3 yards (tackle by Donnie Edwards and Bernard Pollard),0.810,0.670
3,6:29,2,7,NYJ 31,17,14,Brett Favre pass complete short left to Laveranues Coles for 7 yards (tackle by Brandon Flowers). Penalty on Tamba Hali: Defensive Offside (Declined),0.670,1.470
3,6:09,1,10,NYJ 38,17,14,Thomas Jones right guard for 1 yard (tackle by Tamba Hali and Turk McBride),1.470,1.060
3,5:29,2,9,NYJ 39,17,14,Brett Favre pass complete short left to Laveranues Coles for 15 yards,1.060,2.520
3,5:02,1,10,KAN 46,17,14,"Brett Favre pass complete short left to Laveranues Coles for 4 yards (tackle by Derrick O. Johnson). Laveranues Coles fumbles (forced by Derrick O. Johnson), recovered by Laveranues Coles at KAN-42",2.520,2.520
3,4:21,2,6,KAN 42,17,14,Brad Smith pass incomplete deep right intended for Laveranues Coles,2.520,1.820
3,4:12,3,6,KAN 42,17,14,Brett Favre pass complete short left to Jerricho Cotchery for 13 yards (tackle by Brandon Carr),1.820,3.640
3,3:44,1,10,KAN 29,17,14,Thomas Jones left guard for 17 yards (tackle by Bernard Pollard and Jon McGraw),3.640,4.780
3,2:59,1,10,KAN 12,17,14,Thomas Jones left tackle for 2 yards (tackle by Pat Thomas),4.780,4.450
3,2:18,2,8,KAN 10,17,14,Brett Favre pass incomplete short left intended for Chansi Stuckey (defended by Derrick O. Johnson),4.450,3.480
3,2:14,3,8,KAN 10,17,14,Brett Favre pass complete short left to Leon Washington for 8 yards (tackle by Glenn Dorsey),3.480,6.740
3,1:32,1,2,KAN 2,17,14,Thomas Jones right tackle for 1 yard (tackle by Jon McGraw and Demorrio Williams),6.740,5.910
3,0:52,2,1,KAN 1,17,20,"Thomas Jones right guard for 1 yard, touchdown",5.910,7.000
3,,,,KAN 2,17,21,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYJ 30,17,21,"Jay Feely kicks off 62 yards, returned by Dantrell Savage for 26 yards (tackle by Hank Poteat)",0.000,1.200
3,0:42,1,10,KAN 34,17,21,Kolby Smith left guard for 4 yards (tackle by Sione Pouha),1.200,1.200
Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,KAN 38,17,21,Tyler Thigpen pass complete short right to Mark Bradley for 2 yards (tackle by Dwight Lowery),1.200,0.760
4,14:23,3,4,KAN 40,17,21,Tyler Thigpen pass incomplete short right intended for Dwayne Bowe (defended by Darrelle Revis),0.760,-0.720
4,14:18,4,4,KAN 40,17,21,"Steve Weatherford punts 38 yards, fair catch by Leon Washington",-0.720,-0.410
4,14:10,1,10,NYJ 22,17,21,Brett Favre pass complete short right to Laveranues Coles for 7 yards (tackle by Brandon Carr),0.410,0.810
4,13:36,2,3,NYJ 29,17,21,Thomas Jones left guard for 4 yards (tackle by Tank Tyler),0.810,1.140
4,12:57,1,10,NYJ 33,17,21,Laveranues Coles left end for 6 yards (tackle by Brandon Carr),1.140,1.400
4,12:33,2,4,NYJ 39,17,21,Thomas Jones right guard for 2 yards (tackle by Donnie Edwards),1.400,0.960
4,12:33,3,2,NYJ 41,17,21,Brett Favre pass complete short left to Laveranues Coles for 9 yards (tackle by Brandon Carr),0.960,2.260
4,11:16,1,10,,17,21,"Jesse Chatman right guard for 5 yards (tackle by Ron Edwards). Penalty on Bernard Pollard: Taunting, 15 yards",2.260,3.580
4,10:44,1,10,KAN 30,17,21,Jesse Chatman right guard for 3 yards (tackle by Ron Edwards),3.580,3.440
4,10:44,2,7,KAN 27,17,21,Brett Favre pass complete short left to Chansi Stuckey for 11 yards (tackle by Bernard Pollard),3.440,4.510
4,9:29,1,10,KAN 16,17,21,Jesse Chatman right end for 1 yard (tackle by Bernard Pollard),4.510,4.050
4,9:29,2,9,KAN 15,17,21,Brett Favre pass complete short right to Jerricho Cotchery for 7 yards (tackle by Patrick Surtain),4.050,4.620
4,9:29,3,2,KAN 8,23,21,"Brett Favre pass incomplete short middle intended for Chansi Stuckey is intercepted by Brandon Flowers at KAN-9 and returned for 91 yards, touchdown",4.620,-7.000
4,,,,NYJ 2,24,21,Connor Barth kicks extra point good,0.000,0.000
4,,,,KAN 30,24,21,"Connor Barth kicks off 66 yards, returned by Leon Washington for 26 yards (tackle by Dantrell Savage)",0.000,0.940
4,7:48,1,10,NYJ 30,24,21,"Penalty on Chansi Stuckey: False Start, 5 yards (no play)",0.940,0.610
4,7:42,1,15,NYJ 25,24,21,Brett Favre pass incomplete short left intended for Leon Washington,0.610,-0.280
4,7:37,2,15,NYJ 25,24,21,Brett Favre pass complete short right to Jerricho Cotchery for 14 yards (tackle by Bernard Pollard),-0.280,0.890
4,6:51,3,1,NYJ 39,24,21,Brett Favre pass complete short right to Thomas Jones for 6 yards (tackle by Brandon Carr),0.890,1.930
4,6:21,1,10,NYJ 45,24,21,Thomas Jones right guard for 5 yards (tackle by Tamba Hali and Jon McGraw),1.930,2.060
4,5:42,2,5,,24,21,Brett Favre pass incomplete short left intended for Laveranues Coles,2.060,1.360
4,5:36,3,5,,24,21,Brett Favre pass incomplete short right intended for Chansi Stuckey. Penalty on Thomas Jones: Chop Block (Declined),1.360,-0.060
4,5:31,4,5,,24,21,"Reggie Hodges punts 50 yards, touchback",-0.060,-0.280
4,5:20,1,10,KAN 20,24,21,Kolby Smith left tackle for 3 yards (tackle by Bryan Thomas and Kenyon Coleman),0.280,0.140
4,4:40,2,7,KAN 23,24,21,Kolby Smith left tackle for 4 yards (tackle by Eric Barton and Calvin Pace),0.140,-0.030
4,3:57,3,3,KAN 27,24,21,Kolby Smith left tackle for 2 yards (tackle by Kris Jenkins),-0.030,-1.440
4,3:20,4,1,KAN 29,24,21,"Steve Weatherford punts 54 yards, returned by Leon Washington for 37 yards (tackle by Steve Weatherford)",-1.440,-2.520
4,3:01,1,10,KAN 46,24,21,Brett Favre sacked by Tamba Hali for -5 yards,2.520,1.300
4,2:30,2,15,NYJ 49,24,21,Brett Favre pass complete deep left to Chansi Stuckey for 18 yards (tackle by Jarrad Page),1.300,3.380
4,2:00,1,10,KAN 33,24,21,Brett Favre pass complete short right to Dustin Keller for 5 yards (tackle by Derrick O. Johnson),3.380,3.510
4,1:38,2,5,KAN 28,24,21,Brett Favre pass complete short middle to Leon Washington for 8 yards (tackle by Brandon Flowers),3.510,4.240
4,1:17,1,10,KAN 20,24,21,Leon Washington left tackle for 5 yards (tackle by Turk McBride),4.240,4.450
4,1:05,,,,24,21,Timeout #1 by Kansas City Chiefs,0.000,4.450
4,1:05,2,5,KAN 15,24,27,"Brett Favre pass complete short left to Laveranues Coles for 15 yards, touchdown",4.450,7.000
4,,,,KAN 2,24,28,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,24,28,"Jay Feely kicks off 69 yards, returned by Dantrell Savage for 35 yards (tackle by David Bowens)",0.000,1.330
4,0:53,1,10,KAN 36,24,28,"Tyler Thigpen sacked by Kris Jenkins for -6 yards. Penalty on Kris Jenkins: Encroachment, 5 yards (no play)",1.330,2.060
4,0:53,1,5,KAN 41,24,28,Tyler Thigpen pass complete short middle to Tony Gonzalez for 9 yards (tackle by Kerry Rhodes),2.060,2.260
4,0:45,,,,24,28,Timeout #2 by Kansas City Chiefs,0.000,2.260
4,0:45,1,10,,24,28,Tyler Thigpen for 10 yards,2.260,2.920
4,0:38,1,10,NYJ 40,24,28,Tyler Thigpen sacked by David Bowens and Shaun Ellis for -6 yards,2.920,1.560
4,0:31,,,,24,28,Timeout #3 by Kansas City Chiefs,0.000,1.560
4,0:31,2,16,NYJ 46,24,28,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,1.560,0.890
4,0:27,3,16,NYJ 46,24,28,Tyler Thigpen pass complete short left to Dwayne Bowe for 15 yards (tackle by Dwight Lowery),0.890,1.410
4,0:21,,,,24,28,Timeout #1 by New York Jets,0.000,1.410
4,0:21,4,1,NYJ 31,24,28,Tyler Thigpen pass incomplete short left intended for Will Franklin (defended by Drew Coleman),1.410,-1.070
4,0:17,1,10,NYJ 32,24,28,Brett Favre kneels for -1 yards,1.070,0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
