Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
3,14:57,1,10,GNB 30,3,17,Aaron Jones right end for 3 yards (tackle by Desmond Trufant),,
3,14:21,2,7,GNB 33,3,17,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 10 yards (tackle by Marcus Williams),,
3,13:35,1,10,GNB 43,3,17,Aaron Rodgers pass complete short left to Marcedes Lewis for 19 yards (tackle by Paulson Adebo),,
3,12:53,1,10,NOR 38,3,17,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,,
3,12:43,2,10,NOR 38,3,17,Aaron Rodgers pass complete short left to Aaron Jones for 7 yards (tackle by Malcolm Jenkins),,
3,12:04,3,3,NOR 31,3,17,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,,
3,11:56,4,3,NOR 31,3,17,"Aaron Rodgers pass incomplete short right intended for Robert Tonyan. Penalty on Malcolm Jenkins: Defensive Pass Interference, 6 yards (accepted) (no play)",,
3,11:50,1,10,NOR 25,3,17,Aaron Rodgers pass complete short right to Davante Adams for 8 yards (tackle by Zack Baun),,
3,11:10,2,2,NOR 17,3,17,Aaron Rodgers pass complete short middle to Robert Tonyan for 5 yards (tackle by Christian Ringo),,
3,10:24,1,10,NOR 12,3,17,Aaron Jones up the middle for 3 yards (tackle by Zack Baun),,
3,9:43,2,7,NOR 9,3,17,Aaron Rodgers pass short left intended for Davante Adams is intercepted by Paulson Adebo at NO-7 and returned for 33 yards (tackle by Elgton Jenkins),,
3,9:30,1,10,NOR 40,3,17,Jameis Winston pass complete short middle to Adam Trautman for 6 yards (tackle by Krys Barnes),,
3,8:57,2,4,NOR 46,3,17,Alvin Kamara right tackle for 3 yards (tackle by Kenny Clark),,
3,8:17,3,1,NOR 49,3,17,Jameis Winston up the middle for 2 yards (tackle by Dean Lowry),,
3,7:36,1,10,GNB 49,3,17,"Penalty on Adam Trautman: False Start, 5 yards (accepted) (no play)",,
3,7:12,1,15,NOR 46,3,17,Jameis Winston pass complete short middle to Adam Trautman for 4 yards (tackle by Krys Barnes),,
3,6:33,2,11,GNB 50,3,17,Jameis Winston pass incomplete short right intended for Alvin Kamara,,
3,6:27,3,11,GNB 50,3,17,Jameis Winston pass incomplete short left intended for Adam Trautman (defended by Eric Stokes),,
3,6:22,4,11,GNB 50,3,17,Blake Gillikin punts 45 yards downed by Ty Montgomery,,
3,6:11,1,10,GNB 5,3,17,Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling,,
3,6:04,2,10,GNB 5,3,17,Aaron Rodgers pass complete short left to Aaron Jones for no gain (tackle by Demario Davis) (no play),,
3,5:59,2,12,GNB 3,3,17,AJ Dillon for 5 yards (tackle by Demario Davis and Shy Tuttle),,
3,4:50,3,8,GNB 8,3,17,Aaron Rodgers pass deep middle intended for Marquez Valdes-Scantling is intercepted by Marcus Williams at NO-35 and returned for 53 yards (tackle by Elgton Jenkins),,
3,4:33,1,10,GNB 12,3,17,Alvin Kamara up the middle for 1 yard (tackle by Preston Smith),,
3,3:53,2,9,GNB 11,3,17,Alvin Kamara left guard for 1 yard (tackle by Preston Smith),,
3,3:14,3,8,GNB 10,3,23,"Jameis Winston pass complete short middle to Chris Hogan for 10 yards, touchdown",,
3,3:07,,,GNB 15,3,24,Aldrick Rosas kicks extra point good,,
3,3:07,,,NOR 35,3,24,"Aldrick Rosas kicks off 64 yards, returned by Kylin Hill for 12 yards (tackle by J.T. Gray)",,
3,3:00,1,10,GNB 13,3,24,Aaron Jones left end for 3 yards (tackle by Demario Davis),,
3,2:37,2,7,GNB 16,3,24,Aaron Rodgers pass incomplete short right,,
3,2:28,3,7,GNB 16,3,24,Aaron Rodgers pass complete short middle to Davante Adams for 6 yards (tackle by P.J. Williams),,
3,1:43,4,1,GNB 22,3,24,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Marshon Lattimore),,
3,1:35,1,10,GNB 22,3,24,Jameis Winston pass incomplete short right intended for Adam Trautman,,
3,1:29,2,10,GNB 21,3,24,Alvin Kamara right guard for 1 yard (tackle by Kenny Clark),,
3,0:47,3,9,GNB 20,3,24,"Jameis Winston pass is intercepted by Darnell Savage in end zone and returned for no gain. Penalty on Za'Darius Smith: Roughing the Passer, 10 yards (accepted) (no play)",,
3,0:34,1,10,GNB 10,3,24,Alvin Kamara right end for 2 yards (tackle by Tedarrell Slaton),,
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,GNB 8,3,30,"Jameis Winston pass complete to Juwan Johnson for 8 yards, touchdown",,
4,14:54,,,GNB 15,3,31,Aldrick Rosas kicks extra point good,,
4,14:54,,,NOR 35,3,31,"Aldrick Rosas kicks off 57 yards, returned by Kylin Hill for 17 yards (tackle by J.T. Gray)",,
4,14:48,1,10,GNB 25,3,31,Aaron Rodgers pass complete short left to Allen Lazard for 2 yards (tackle by Malcolm Jenkins),,
4,14:19,2,8,GNB 27,3,31,Aaron Rodgers pass complete short left to AJ Dillon for 7 yards (tackle by Albert Huggins),,
4,13:45,3,1,GNB 34,3,31,"Aaron Jones up the middle for no gain (tackle by C.J. Gardner-Johnson). Penalty on Allen Lazard: Illegal Crackback, 14 yards (accepted) (no play)",,
4,13:23,3,15,GNB 20,3,31,"Aaron Rodgers pass incomplete intended for AJ Dillon. Penalty on Lucas Patrick: Offensive Holding, 10 yards (declined)",,
4,13:14,4,15,GNB 20,3,31,"Corey Bojorquez punts 59 yards, returned by Deonte Harty for 13 yards (tackle by Ty Summers)",,
4,13:00,1,10,NOR 34,3,31,Alvin Kamara up the middle for 7 yards (tackle by Tedarrell Slaton),,
4,12:19,2,3,NOR 41,3,31,Alvin Kamara up the middle for 4 yards (tackle by Preston Smith),,
4,11:43,1,10,NOR 45,3,31,Tony Jones left end for no gain (tackle by De'Vondre Campbell),,
4,10:55,,,,,,Timeout #1 by New Orleans Saints,,
4,10:55,2,10,NOR 45,3,37,"Jameis Winston pass complete deep left to Deonte Harty for 55 yards, touchdown",,
4,10:46,,,GNB 15,3,38,Aldrick Rosas kicks extra point good,,
4,10:46,,,NOR 35,3,38,"Aldrick Rosas kicks off 65 yards, touchback.",,
4,10:46,1,10,GNB 25,3,38,AJ Dillon left end for 2 yards (tackle by Tanoh Kpassagnon),,
4,9:59,2,8,GNB 27,3,38,Kylin Hill left end for 1 yard (tackle by Malcolm Roach),,
4,9:16,3,7,GNB 28,3,38,Jordan Love pass complete short left to Amari Rodgers for 19 yards (tackle by Zack Baun),,
4,8:33,1,10,GNB 47,3,38,Kylin Hill up the middle for 2 yards (tackle by Zack Baun),,
4,7:59,2,8,GNB 49,3,38,Jordan Love pass complete short left to Robert Tonyan for 3 yards (tackle by Malcolm Jenkins),,
4,7:19,3,5,NOR 48,3,38,Jordan Love pass incomplete deep left intended for Malik Taylor,,
4,7:12,4,5,NOR 48,3,38,Corey Bojorquez punts 32 yards out of bounds,,
4,7:01,1,10,NOR 16,3,38,Tony Jones up the middle for 2 yards (tackle by Isaac Yiadom),,
4,6:22,2,8,NOR 18,3,38,Tony Jones up the middle for 6 yards (tackle by Adrian Amos),,
4,5:35,3,2,NOR 24,3,38,"Tony Jones up the middle for no gain (tackle by Krys Barnes). Penalty on James Hurst: Offensive Holding, 10 yards (accepted) (no play)",,
4,5:04,3,12,NOR 14,3,38,Tony Jones right end for 3 yards (tackle by Oren Burks),,
4,4:21,4,9,NOR 17,3,38,"Blake Gillikin punts, returned by Amari Rodgers for no gain. Penalty on Dominique Dafney: Defensive Offside, 5 yards (accepted) (no play)",,
4,4:09,4,4,NOR 22,3,38,"Blake Gillikin punts 58 yards, returned by Amari Rodgers for 17 yards (tackle by Ty Montgomery and Jeff Heath)",,
4,3:57,1,10,GNB 37,3,38,Kylin Hill left end for 1 yard (tackle by Albert Huggins and Shy Tuttle),,
4,3:16,2,9,GNB 38,3,38,Jordan Love pass complete deep left to Randall Cobb for 32 yards (tackle by C.J. Gardner-Johnson),,
4,3:05,1,10,NOR 30,3,38,Randall Cobb right end for 1 yard (tackle by Jeff Heath),,
4,2:59,2,9,NOR 29,3,38,Jordan Love pass incomplete deep left intended for Allen Lazard (defended by P.J. Williams),,
4,2:53,3,9,NOR 29,3,38,Kylin Hill up the middle for 8 yards (tackle by Jeff Heath),,
4,2:12,4,1,NOR 21,3,38,Kylin Hill up the middle for 2 yards (tackle by Christian Ringo and Andrew Dowell),,
4,2:00,1,10,NOR 19,3,38,Jordan Love pass complete to Malik Taylor for 7 yards (tackle by J.T. Gray),,
4,1:55,2,3,NOR 12,3,38,Jordan Love pass complete short left to Malik Taylor for 7 yards (tackle by Paulson Adebo and J.T. Gray),,
4,1:11,1,5,NOR 5,3,38,"Jordan Love sacked by Tanoh Kpassagnon for -4 yards. Jordan Love fumbles (forced by Tanoh Kpassagnon), recovered by Kaden Elliss at NO-2 (tackle by Josh Myers)",,
4,1:01,1,10,NOR 2,3,38,Jameis Winston for no gain,,
4,0:25,2,10,NOR 2,3,38,Jameis Winston kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
