Quarter,Time,Down,ToGo,Location,DEN,HOU,Detail,EPB,EPA
2,,,,DEN 30,3,7,"Todd Sauerbrun kicks off 63 yards, returned by Andre' Davis for 50 yards (tackle by Jamie Winborn)",0.000,2.720
2,8:37,1,10,DEN 43,3,7,Sage Rosenfels pass complete deep right to Andre' Davis for 20 yards (tackle by John Lynch),2.720,4.040
2,7:59,1,10,DEN 23,3,7,Sage Rosenfels pass incomplete deep right intended for Andre Johnson,4.040,3.500
2,7:53,2,10,DEN 23,3,7,Sage Rosenfels pass incomplete deep middle intended for Vonta Leach,3.500,2.810
2,7:47,3,10,DEN 23,3,7,Sage Rosenfels pass incomplete short right intended for Andre' Davis (defended by Kenny Peterson),2.810,1.930
2,7:42,4,10,DEN 23,3,10,Kris Brown 41 yard field goal good,1.930,3.000
2,,,,HOU 30,3,10,"Kris Brown kicks off 70 yards, returned by Glenn Martinez for 23 yards (tackle by Curome Cox)",0.000,0.480
2,7:32,1,10,DEN 23,3,10,Jay Cutler pass complete short left to Brandon Marshall for 12 yards (tackle by Anthony Weaver),0.480,1.270
2,7:04,1,10,DEN 35,3,10,"Travis Henry left tackle for 2 yards (tackle by Anthony Weaver and Morlon Greenwood). Penalty on Travis Johnson: Defensive Holding, 5 yards",1.270,1.730
2,6:44,1,10,DEN 42,3,10,Jay Cutler pass complete short left to Brandon Marshall for 14 yards (tackle by Von Hutchins),1.730,2.650
2,6:06,1,10,HOU 44,3,10,Jay Cutler pass complete deep middle to Brandon Marshall for 17 yards (tackle by Will Demps),2.650,3.780
2,5:28,1,10,HOU 27,3,10,Travis Henry left tackle for -2 yards (tackle by Amobi Okoye and Mario Williams),3.780,2.960
2,4:47,2,12,HOU 29,3,10,Jay Cutler pass incomplete short middle intended for Javon Walker,2.960,2.280
2,4:41,3,12,HOU 29,3,10,Jay Cutler pass incomplete deep left intended for Brandon Marshall (defended by Jamar Fletcher),2.280,1.500
2,4:34,4,12,HOU 29,6,10,Jason Elam 47 yard field goal good,1.500,3.000
2,,,,DEN 30,6,10,"Todd Sauerbrun kicks off 59 yards, returned by Andre' Davis for 23 yards (tackle by Taylor Jacobs)",0.000,1.200
2,4:23,1,10,HOU 34,6,10,Sage Rosenfels pass complete deep middle to Andre Johnson for 15 yards (tackle by D.J. Williams),1.200,2.190
2,3:42,1,10,HOU 49,6,10,Darius Walker right end for 3 yards (tackle by Steven Harris),2.190,2.050
2,3:04,2,7,DEN 48,6,10,Sage Rosenfels pass incomplete short middle intended for Kevin Walter (defended by Champ Bailey),2.050,1.360
2,2:59,3,7,DEN 48,6,10,Sage Rosenfels pass incomplete short middle intended for Kevin Walter (defended by Dre' Bly),1.360,0.070
2,2:54,4,7,DEN 48,6,10,Matt Turk punts 35 yards (tackle by Joel Dreessen),0.070,-0.480
2,2:39,1,10,DEN 23,6,10,"Jay Cutler pass complete short left to Brandon Marshall for 8 yards (tackle by Morlon Greenwood). Penalty on Will Demps: Face Mask (5 Yards), 5 yards",0.480,1.330
2,2:16,1,10,DEN 36,6,10,Selvin Young left guard for 1 yard (tackle by Mario Williams and DeMeco Ryans),1.330,0.930
2,2:00,2,9,DEN 37,6,10,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by Will Demps),0.930,0.230
2,1:54,3,9,DEN 37,6,10,Jay Cutler pass incomplete short middle intended for Chad Mustard (defended by N.D. Kalu),0.230,-0.910
2,1:51,4,9,DEN 37,6,10,Todd Sauerbrun punts 39 yards,-0.910,-0.610
2,1:43,1,10,HOU 25,6,10,Sage Rosenfels pass incomplete short right intended for Owen Daniels,0.610,0.060
2,1:40,2,10,HOU 25,6,10,Darius Walker up the middle for 2 yards (tackle by Dre' Bly),0.060,-0.360
2,1:01,3,8,HOU 27,6,10,Sage Rosenfels pass complete short middle to Kevin Walter for 6 yards (tackle by John Lynch),-0.360,-1.180
2,0:56,,,,6,10,Timeout #1 by Denver Broncos,0.000,-1.180
2,0:56,4,2,HOU 33,6,10,Matt Turk punts 34 yards,-1.180,-1.140
2,0:47,1,10,DEN 33,6,10,Jay Cutler pass complete short right to Brandon Marshall for 3 yards (tackle by Fred Bennett),1.140,1.000
2,0:42,2,7,DEN 36,6,10,Jay Cutler sacked by N.D. Kalu for -1 yards,1.000,0.170
Quarter,Time,Down,ToGo,Location,DEN,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,6,10,"Kris Brown kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,6,10,Jay Cutler pass complete short left to Brandon Marshall for 14 yards (tackle by Von Hutchins),0.280,1.200
3,14:24,1,10,DEN 34,6,10,Selvin Young up the middle for -1 yards (tackle by Anthony Weaver),1.200,0.520
3,13:51,2,11,DEN 33,6,10,Jay Cutler pass complete short left to Tony Scheffler for 12 yards (tackle by Morlon Greenwood),0.520,1.930
3,13:30,1,10,DEN 45,6,10,Selvin Young up the middle for 4 yards (tackle by Earl Cochran),1.930,1.920
3,12:51,2,6,DEN 49,6,10,Jay Cutler pass complete short right to Brandon Marshall for 10 yards (tackle by Fred Bennett),1.920,2.850
3,12:16,1,10,HOU 41,6,10,Selvin Young up the middle for 2 yards (tackle by Will Demps and Charlie Anderson),2.850,2.580
3,11:44,2,8,HOU 39,6,10,Jay Cutler pass complete short middle to Tony Scheffler for 5 yards (tackle by Von Hutchins),2.580,2.540
3,11:05,3,3,HOU 34,6,10,Jay Cutler sacked by Mario Williams for -4 yards,2.540,0.720
3,10:46,4,7,HOU 38,6,10,Jay Cutler pass complete short left to Selvin Young for 4 yards (tackle by Morlon Greenwood),0.720,-1.200
3,10:38,1,10,HOU 34,6,10,Ron Dayne right tackle for 8 yards (tackle by D.J. Williams),1.200,1.740
3,10:03,2,2,HOU 42,6,10,Ron Dayne left guard for 4 yards (tackle by John Engelberger and John Lynch),1.740,1.990
3,9:25,1,10,HOU 46,6,10,Sage Rosenfels pass complete short middle to Ron Dayne for 4 yards (tackle by D.J. Williams),1.990,1.990
3,8:45,2,6,,6,10,Ron Dayne left tackle for 2 yards (tackle by Nate Webster),1.990,1.550
3,8:02,3,4,DEN 48,6,10,Darius Walker right end for 9 yards (tackle by Hamza Abdullah),1.550,2.980
3,7:20,1,10,DEN 39,6,10,Darius Walker left guard for 4 yards (tackle by Elvis Dumervil),2.980,2.980
3,6:37,2,6,DEN 35,6,10,"Penalty on Owen Daniels: False Start, 5 yards (no play)",2.980,2.300
3,6:23,2,11,DEN 40,6,10,Sage Rosenfels pass complete deep middle to Owen Daniels for 29 yards (tackle by Jamie Winborn),2.300,4.840
3,5:46,1,10,DEN 11,6,10,"Ron Dayne up the middle for no gain (tackle by John Engelberger). Penalty on DEN: Defensive 12 On-field, 5 yards (no play)",4.840,5.990
3,5:46,1,5,DEN 6,6,10,Sage Rosenfels pass incomplete short right intended for Andre' Davis,5.990,5.080
3,5:19,2,5,DEN 6,6,16,"Ron Dayne up the middle for 6 yards, touchdown",5.080,7.000
3,,,,DEN 2,6,17,Kris Brown kicks extra point good,0.000,0.000
3,,,,HOU 30,6,17,"Kris Brown kicks off 69 yards, returned by Glenn Martinez for 30 yards (tackle by Joel Dreessen)",0.000,1.000
3,5:10,1,10,DEN 31,6,17,Travis Henry right tackle for 4 yards (tackle by Anthony Weaver),1.000,1.000
3,4:37,2,6,DEN 35,6,17,Jay Cutler pass complete deep middle to Tony Scheffler for 30 yards (tackle by Morlon Greenwood),1.000,3.250
3,3:58,1,10,HOU 35,6,17,Jay Cutler pass incomplete deep middle intended for Javon Walker (defended by C.C. Brown),3.250,2.700
3,3:50,2,10,HOU 35,6,17,Travis Henry right end for no gain (tackle by Morlon Greenwood),2.700,2.010
3,3:04,3,10,HOU 35,6,17,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Fred Bennett),2.010,0.970
3,2:59,4,10,HOU 35,6,17,Jay Cutler pass incomplete deep left intended for Javon Walker,0.970,-1.270
3,2:53,1,10,HOU 35,6,17,Ron Dayne right end for 1 yard (tackle by Jamie Winborn),1.270,0.860
3,2:17,2,9,HOU 36,6,17,Sage Rosenfels pass incomplete deep middle intended for Andre Johnson is intercepted by Dre' Bly at DEN-36 and returned for 37 yards (tackle by Owen Daniels). Penalty on Ephraim Salaam: Offensive Holding (Declined),0.860,-3.780
3,2:00,1,10,HOU 27,6,17,Jay Cutler pass complete short left to Tony Scheffler for 7 yards (tackle by Von Hutchins),3.780,4.180
3,1:21,2,3,HOU 20,6,17,Jay Cutler left end for 8 yards (tackle by Charlie Anderson),4.180,4.780
3,0:53,1,10,HOU 12,12,17,"Jay Cutler pass complete short left to Tony Scheffler for 12 yards, touchdown",4.780,7.000
,,,,,,,"HOU challenged the runner broke the plane ruling, and the play was upheld.",,
3,,,,HOU 2,13,17,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,13,17,"Todd Sauerbrun kicks off 58 yards, returned by Andre' Davis for 14 yards (tackle by Jordan Beck)",0.000,0.670
3,0:30,1,10,HOU 26,13,17,Ron Dayne right guard for 2 yards (tackle by John Lynch),0.670,0.400
Quarter,Time,Down,ToGo,Location,DEN,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,HOU 28,13,17,Sage Rosenfels pass complete short middle to Andre Johnson for 5 yards (tackle by Nate Webster),0.400,0.370
4,14:13,3,3,HOU 33,13,17,Sage Rosenfels pass complete deep right to Kevin Walter for 25 yards (tackle by Hamza Abdullah),0.370,2.790
4,13:28,1,10,DEN 42,13,17,Ron Dayne right tackle for 13 yards (tackle by Josh Mallard and Steven Harris),2.790,3.640
4,12:39,1,10,DEN 29,13,17,Darius Walker left end for 2 yards (tackle by Josh Mallard),3.640,3.370
4,12:01,2,8,DEN 27,13,17,"Darius Walker up the middle for 14 yards (tackle by Hamza Abdullah and Marcus Thomas). Penalty on Elvis Dumervil: Face Mask (5 Yards), 5 yards",3.370,5.370
4,11:41,1,8,DEN 8,13,17,Ron Dayne left guard for 3 yards (tackle by John Engelberger),5.370,5.150
4,10:57,2,5,DEN 5,13,17,Sage Rosenfels pass complete short right to Kevin Walter for 1 yard (tackle by Champ Bailey),5.150,4.490
4,10:11,3,4,DEN 4,13,23,"Sage Rosenfels pass complete short left to Andre Johnson for 4 yards, touchdown",4.490,7.000
4,,,,DEN 2,13,24,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,13,24,"Kris Brown kicks off 66 yards, returned by Glenn Martinez for 28 yards (tackle by Joel Dreessen)",0.000,1.070
4,9:58,1,10,DEN 32,13,24,Travis Henry right end for 3 yards (tackle by C.C. Brown),1.070,0.930
4,9:24,2,7,DEN 35,13,24,Travis Henry left end for 2 yards (tackle by DeMeco Ryans and Jeff Zgonina),0.930,0.500
4,8:58,3,5,DEN 37,13,24,Jay Cutler sacked by Mario Williams for -4 yards,0.500,-1.180
4,8:31,4,9,DEN 33,13,24,"Todd Sauerbrun punts 40 yards, returned by Jacoby Jones for 4 yards (tackle by Andre Hall)",-1.180,-1.000
4,8:21,1,10,HOU 31,13,24,Ron Dayne right tackle for 25 yards (tackle by Hamza Abdullah),1.000,2.650
4,7:33,1,10,DEN 44,13,24,Darius Walker left end for 9 yards (tackle by John Lynch),2.650,3.330
4,6:48,2,1,DEN 35,13,24,Darius Walker right tackle for 3 yards (tackle by D.J. Williams),3.330,3.450
4,6:05,1,10,DEN 32,13,24,Ron Dayne right tackle for 3 yards (tackle by Alvin McKinley and John Engelberger),3.450,3.310
4,5:22,2,7,DEN 29,13,24,Sage Rosenfels pass complete deep left to Andre Johnson for 28 yards (tackle by Champ Bailey),3.310,6.970
4,4:48,1,1,DEN 1,13,24,Darius Walker up the middle for no gain (tackle by Hamza Abdullah),6.970,5.910
4,4:06,2,1,DEN 1,13,24,Ron Dayne left tackle for no gain (tackle by D.J. Williams),5.910,5.170
4,3:23,3,1,DEN 1,13,30,"Vonta Leach up the middle for 1 yard, touchdown",5.170,7.000
4,,,,DEN 2,13,31,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,13,31,"Kris Brown kicks off 58 yards, returned by Glenn Martinez for 25 yards (tackle by Jamar Fletcher)",0.000,1.400
4,3:14,1,10,DEN 37,13,31,Jay Cutler pass complete short middle to Tony Scheffler for 9 yards (tackle by DeMeco Ryans),1.400,2.070
4,2:52,2,1,DEN 46,13,31,Jay Cutler pass complete short left to Selvin Young for no gain,2.070,1.360
4,2:52,3,1,DEN 46,13,31,Jay Cutler right guard for 3 yards (tackle by Morlon Greenwood and N.D. Kalu),1.360,2.190
4,2:01,1,10,DEN 49,13,31,Jay Cutler pass incomplete short right intended for Tony Scheffler (defended by Fred Bennett),2.190,1.650
4,1:55,2,10,DEN 49,13,31,Jay Cutler pass complete short middle to Selvin Young for 4 yards (tackle by Anthony Maddox),1.650,1.490
4,1:55,3,6,HOU 47,13,31,Jay Cutler sacked by N.D. Kalu and Mario Williams for -6 yards,1.490,-0.260
4,1:38,,,,13,31,Timeout #1 by Denver Broncos,0.000,-0.260
4,1:38,4,12,DEN 47,13,31,Jay Cutler pass complete short right to Javon Walker for 11 yards (tackle by Morlon Greenwood),-0.260,-1.730
4,1:23,1,10,HOU 42,13,31,Sage Rosenfels kneels for no gain,1.730,1.190
4,0:49,2,10,HOU 42,13,31,Sage Rosenfels kneels for -1 yards,1.190,0.370
4,0:26,3,11,HOU 41,13,31,Sage Rosenfels kneels for -1 yards,0.370,-0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
